time,LA Lakers,pts.away,score,pts.home,Portland
3:06.0,N. Young makes free throw 1 of 2,1,53-52,,
3:06.0,N. Young makes free throw 2 of 2,1,54-52,,
3:06.0,T. Mozgov enters the game for I. Zubac,,53-52,,
3:06.0,,,53-52,,C. McCollum enters the game for A. Crabbe
2:55.0,,,54-54,2,E. Turner makes 2-pt shot from 15 ft
2:40.0,Offensive foul by T. Mozgov,,54-54,,
2:40.0,Turnover by T. Mozgov (offensive foul),,54-54,,
2:40.0,Official timeout,,54-54,,
2:27.0,,,54-54,,Shooting foul by T. Mozgov (drawn by M. Plumlee)
2:27.0,,,54-54,,M. Plumlee misses free throw 1 of 2
2:27.0,,,54-54,,Offensive rebound by Team
2:27.0,,,54-55,1,M. Plumlee makes free throw 2 of 2
2:16.0,J. Clarkson misses 2-pt shot from 5 ft,,54-55,,
2:15.0,,,54-55,,Defensive rebound by C. McCollum
2:06.0,,,54-57,2,C. McCollum makes 2-pt shot from 4 ft
1:48.0,L. Deng misses 3-pt shot from 22 ft,,54-57,,
1:48.0,Offensive rebound by T. Mozgov,,54-57,,
1:37.0,N. Young misses 3-pt shot from 23 ft,,54-57,,
1:36.0,,,54-57,,Defensive rebound by M. Plumlee
1:29.0,,,54-57,,D. Lillard misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by J. Clarkson,,54-57,,
1:16.0,J. Randle makes 2-pt shot from 3 ft,2,56-57,,
1:16.0,Shooting foul by M. Plumlee (drawn by J. Randle),,56-57,,
1:16.0,J. Randle misses free throw 1 of 1,,56-57,,
1:13.0,,,56-57,,Defensive rebound by E. Turner
1:00.0,,,56-59,2,D. Lillard makes 2-pt shot from 2 ft
0:47.0,J. Clarkson makes 2-pt shot from 16 ft,2,58-59,,
0:35.0,,,58-59,,Offensive foul by N. Vonleh
0:35.0,,,58-59,,Turnover by N. Vonleh (offensive foul)
0:15.0,J. Randle misses 2-pt shot from 11 ft,,58-59,,
0:14.0,,,58-59,,Defensive rebound by M. Plumlee
0:03.0,,,58-59,,D. Lillard misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by L. Deng,,58-59,,
0:00.0,L. Deng misses 3-pt shot from 60 ft,,58-59,,
0:00.0,Offensive rebound by Team,,58-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Inbound foul by N. Young,,58-59,,
11:49.0,,,58-60,1,C. McCollum makes free throw 1 of 1
11:46.0,,,58-62,2,N. Vonleh makes 2-pt shot from 22 ft (assist by E. Turner)
11:23.0,J. Randle makes 2-pt shot from 22 ft (assist by J. Calderon),2,60-62,,
11:00.0,,,60-62,,E. Turner misses 3-pt shot from 25 ft
10:59.0,,,60-62,,Offensive rebound by N. Vonleh
10:59.0,,,60-64,2,N. Vonleh makes 2-pt shot from 1 ft
10:31.0,Turnover by Team (shot clock),,60-64,,
10:09.0,,,60-64,,N. Vonleh misses 2-pt shot from 5 ft
10:09.0,Defensive rebound by T. Mozgov,,60-64,,
9:51.0,L. Deng misses 3-pt shot from 25 ft,,60-64,,
9:51.0,,,60-64,,Defensive rebound by N. Vonleh
9:41.0,,,60-66,2,D. Lillard makes 2-pt shot from 3 ft
9:30.0,Turnover by J. Calderon (bad pass),,60-66,,
9:30.0,LA Lakers full timeout,,60-66,,
9:30.0,J. Clarkson enters the game for L. Deng,,60-66,,
9:30.0,I. Zubac enters the game for J. Randle,,60-66,,
9:30.0,T. Black enters the game for T. Mozgov,,60-66,,
9:30.0,B. Ingram enters the game for N. Young,,60-66,,
9:30.0,L. Williams enters the game for J. Calderon,,60-66,,
9:10.0,,,60-66,,Turnover by M. Plumlee (bad pass; steal by J. Clarkson)
9:04.0,L. Williams misses 3-pt shot from 24 ft,,60-66,,
9:03.0,,,60-66,,Defensive rebound by N. Vonleh
8:54.0,,,60-66,,D. Lillard misses 2-pt shot from 1 ft (block by I. Zubac)
8:52.0,Defensive rebound by T. Black,,60-66,,
8:45.0,J. Clarkson misses 2-pt shot from 2 ft,,60-66,,
8:44.0,,,60-66,,Defensive rebound by N. Vonleh
8:39.0,,,60-66,,Shooting foul by T. Black (drawn by M. Plumlee)
8:39.0,,,60-68,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
8:39.0,,,60-68,,M. Plumlee misses free throw 1 of 1
8:39.0,Defensive rebound by Team,,60-68,,
8:29.0,Turnover by I. Zubac (lost ball; steal by M. Plumlee),,60-68,,
8:25.0,,,60-70,2,M. Plumlee makes 2-pt shot at rim
8:03.0,Turnover by I. Zubac (lost ball),,60-70,,
7:51.0,,,60-70,,C. McCollum misses 2-pt shot from 16 ft (block by B. Ingram)
7:50.0,Defensive rebound by I. Zubac,,60-70,,
7:43.0,L. Williams misses 3-pt shot from 24 ft,,60-70,,
7:41.0,,,60-70,,Defensive rebound by M. Plumlee
7:32.0,,,60-70,,Shooting foul by T. Black (drawn by D. Lillard)
7:32.0,,,60-71,1,D. Lillard makes free throw 1 of 2
7:32.0,,,60-72,1,D. Lillard makes free throw 2 of 2
7:32.0,L. Nance enters the game for T. Black,,60-71,,
7:16.0,I. Zubac makes 2-pt shot from 9 ft (assist by L. Williams),2,62-72,,
7:03.0,,,62-72,,M. Plumlee misses 2-pt shot from 1 ft (block by I. Zubac)
7:02.0,,,62-72,,Offensive rebound by N. Vonleh
7:02.0,,,62-72,,N. Vonleh misses 2-pt shot from 3 ft
7:01.0,Defensive rebound by L. Williams,,62-72,,
6:52.0,Turnover by L. Williams (bad pass; steal by E. Turner),,62-72,,
6:48.0,,,62-72,,E. Turner misses 2-pt shot from 2 ft
6:48.0,,,62-72,,Offensive rebound by N. Vonleh
6:45.0,,,62-74,2,N. Vonleh makes 2-pt shot at rim
6:28.0,L. Nance misses 2-pt shot from 20 ft,,62-74,,
6:27.0,,,62-74,,Defensive rebound by E. Turner
6:19.0,,,62-74,,C. McCollum misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by Team,,62-74,,
6:04.0,Shooting foul by C. McCollum (drawn by J. Clarkson),,62-74,,
6:04.0,J. Clarkson makes free throw 1 of 2,1,63-74,,
6:04.0,J. Clarkson makes free throw 2 of 2,1,64-74,,
6:04.0,,,63-74,,A. Crabbe enters the game for C. McCollum
6:04.0,,,63-74,,A. Aminu enters the game for N. Vonleh
5:48.0,,,64-76,2,E. Turner makes 2-pt shot from 14 ft
5:28.0,B. Ingram misses 3-pt shot from 25 ft,,64-76,,
5:27.0,,,64-76,,Defensive rebound by A. Aminu
5:18.0,,,64-78,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
4:53.0,J. Clarkson makes 2-pt shot from 6 ft,2,66-78,,
4:38.0,,,66-78,,Shooting foul by I. Zubac (drawn by M. Plumlee)
4:38.0,,,66-78,,M. Plumlee misses free throw 1 of 2
4:38.0,,,66-78,,Offensive rebound by Team
4:38.0,,,66-79,1,M. Plumlee makes free throw 2 of 2
4:21.0,I. Zubac makes 2-pt shot from 9 ft (assist by L. Williams),2,68-79,,
4:05.0,,,68-81,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:44.0,L. Williams misses 2-pt shot from 11 ft,,68-81,,
3:43.0,,,68-81,,Defensive rebound by M. Plumlee
3:34.0,,,68-81,,Turnover by A. Crabbe (bad pass)
3:34.0,LA Lakers full timeout,,68-81,,
3:34.0,,,68-81,,M. Leonard enters the game for M. Plumlee
3:34.0,,,68-81,,P. Connaughton enters the game for E. Turner
3:19.0,J. Clarkson misses 2-pt shot from 5 ft,,68-81,,
3:18.0,,,68-81,,Defensive rebound by A. Aminu
3:10.0,,,68-81,,Turnover by A. Crabbe (bad pass)
2:59.0,L. Williams makes 2-pt shot from 1 ft,2,70-81,,
2:43.0,,,70-81,,Turnover by A. Crabbe (traveling)
2:43.0,,,70-81,,Portland full timeout
2:43.0,,,70-81,,C. McCollum enters the game for D. Lillard
2:27.0,Offensive charge foul by B. Ingram,,70-81,,
2:27.0,Turnover by B. Ingram (offensive foul),,70-81,,
2:08.0,Violation by L. Williams (kicked ball),,70-81,,
1:58.0,,,70-81,,Turnover by A. Aminu (bad pass; steal by L. Williams)
1:46.0,Shooting foul by C. McCollum,,70-81,,
1:46.0,L. Williams makes free throw 1 of 2,1,71-81,,
1:46.0,L. Williams makes free throw 2 of 2,1,72-81,,
1:46.0,N. Young enters the game for L. Nance,,71-81,,
1:32.0,,,72-83,2,A. Crabbe makes 2-pt shot from 22 ft
1:18.0,J. Clarkson makes 3-pt shot from 25 ft (assist by B. Ingram),3,75-83,,
1:03.0,,,75-83,,C. McCollum misses 2-pt shot from 3 ft
1:03.0,Defensive rebound by I. Zubac,,75-83,,
0:46.0,Turnover by I. Zubac (traveling),,75-83,,
0:31.0,,,75-83,,C. McCollum misses 2-pt shot from 3 ft
0:30.0,,,75-83,,Offensive rebound by Team
0:26.0,,,75-83,,M. Leonard misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by N. Young,,75-83,,
0:05.0,I. Zubac misses 2-pt shot from 1 ft (block by M. Leonard),,75-83,,
0:03.0,Offensive rebound by I. Zubac,,75-83,,
0:03.0,Turnover by Team (shot clock),,75-83,,
0:03.0,,,75-83,,D. Lillard enters the game for M. Leonard
0:03.0,L. Deng enters the game for I. Zubac,,75-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by A. Crabbe (drawn by J. Clarkson),,75-83,,
11:45.0,J. Clarkson makes free throw 1 of 2,1,76-83,,
11:45.0,J. Clarkson makes free throw 2 of 2,1,77-83,,
11:34.0,,,77-85,2,A. Crabbe makes 2-pt shot from 19 ft (assist by C. McCollum)
11:11.0,J. Clarkson misses 2-pt shot from 3 ft,,77-85,,
11:10.0,,,77-85,,Defensive rebound by A. Crabbe
11:04.0,,,77-85,,A. Aminu misses 2-pt shot from 2 ft (block by L. Deng)
11:04.0,Defensive rebound by N. Young,,77-85,,
10:57.0,N. Young misses 2-pt shot from 20 ft,,77-85,,
10:56.0,,,77-85,,Defensive rebound by M. Leonard
10:45.0,,,77-87,2,C. McCollum makes 2-pt shot from 9 ft
10:44.0,LA Lakers full timeout,,77-87,,
10:33.0,L. Williams misses 2-pt shot from 21 ft,,77-87,,
10:32.0,,,77-87,,Defensive rebound by M. Leonard
10:23.0,,,77-87,,M. Leonard misses 2-pt shot at rim
10:22.0,Defensive rebound by Team,,77-87,,
10:06.0,L. Williams makes 3-pt shot from 25 ft,3,80-87,,
9:52.0,,,80-87,,P. Connaughton misses 2-pt shot from 1 ft (block by I. Zubac)
9:51.0,Defensive rebound by J. Clarkson,,80-87,,
9:47.0,L. Williams makes 3-pt shot from 26 ft (assist by J. Clarkson),3,83-87,,
9:31.0,,,83-89,2,A. Crabbe makes 2-pt shot from 21 ft (assist by M. Leonard)
9:07.0,L. Williams makes 3-pt shot from 25 ft,3,86-89,,
9:06.0,,,86-89,,Portland full timeout
9:06.0,,,86-89,,E. Turner enters the game for C. McCollum
9:06.0,,,86-89,,D. Lillard enters the game for P. Connaughton
9:06.0,J. Calderon enters the game for J. Clarkson,,86-89,,
8:48.0,,,86-89,,E. Turner misses 2-pt shot from 15 ft
8:47.0,Defensive rebound by I. Zubac,,86-89,,
8:40.0,Shooting foul by E. Turner,,86-89,,
8:40.0,L. Williams makes free throw 1 of 2,1,87-89,,
8:40.0,L. Williams makes free throw 2 of 2,1,88-89,,
8:30.0,,,88-89,,D. Lillard misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by J. Calderon,,88-89,,
8:23.0,L. Williams misses 3-pt shot from 25 ft,,88-89,,
8:22.0,Offensive rebound by I. Zubac,,88-89,,
8:22.0,,,88-89,,Personal foul by M. Leonard (drawn by I. Zubac)
8:22.0,,,88-89,,M. Plumlee enters the game for M. Leonard
8:03.0,L. Williams misses 2-pt shot from 3 ft,,88-89,,
8:03.0,,,88-89,,Defensive rebound by A. Aminu
7:53.0,,,88-89,,A. Aminu misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by N. Young,,88-89,,
7:30.0,I. Zubac misses 2-pt shot from 8 ft,,88-89,,
7:29.0,,,88-89,,Defensive rebound by D. Lillard
7:18.0,,,88-89,,M. Plumlee misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by L. Deng,,88-89,,
7:04.0,I. Zubac misses 2-pt shot from 3 ft (block by A. Aminu),,88-89,,
7:03.0,,,88-89,,Defensive rebound by D. Lillard
6:56.0,,,88-89,,D. Lillard misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by L. Williams,,88-89,,
6:48.0,Turnover by N. Young (bad pass; steal by M. Plumlee),,88-89,,
6:40.0,,,88-91,2,A. Crabbe makes 2-pt shot from 17 ft
6:38.0,LA Lakers full timeout,,88-91,,
6:38.0,J. Randle enters the game for I. Zubac,,88-91,,
6:38.0,L. Nance enters the game for L. Williams,,88-91,,
6:23.0,N. Young makes 3-pt shot from 24 ft (assist by L. Nance),3,91-91,,
6:07.0,Personal foul by J. Randle (drawn by A. Crabbe),,91-91,,
5:58.0,,,91-91,,A. Crabbe misses 2-pt shot from 2 ft (block by L. Nance)
5:57.0,Defensive rebound by L. Nance,,91-91,,
5:41.0,N. Young makes 3-pt shot from 25 ft,3,94-91,,
5:19.0,,,94-91,,E. Turner misses 2-pt shot from 17 ft
5:18.0,Defensive rebound by N. Young,,94-91,,
4:56.0,J. Randle misses 2-pt shot from 2 ft,,94-91,,
4:54.0,Offensive rebound by J. Randle,,94-91,,
4:49.0,J. Randle misses 2-pt shot from 2 ft,,94-91,,
4:47.0,,,94-91,,Defensive rebound by M. Plumlee
4:41.0,,,94-91,,Shooting foul by J. Calderon (drawn by D. Lillard)
4:41.0,,,94-92,1,D. Lillard makes free throw 1 of 3
4:41.0,,,94-93,1,D. Lillard makes free throw 2 of 3
4:41.0,,,94-94,1,D. Lillard makes free throw 3 of 3
4:41.0,J. Clarkson enters the game for J. Calderon,,94-91,,
4:41.0,,,94-93,,C. McCollum enters the game for A. Crabbe
4:26.0,N. Young misses 3-pt shot from 23 ft,,94-94,,
4:25.0,,,94-94,,Defensive rebound by M. Plumlee
4:14.0,,,94-94,,D. Lillard misses 2-pt shot from 23 ft
4:14.0,Defensive rebound by L. Nance,,94-94,,
4:08.0,J. Randle misses 2-pt shot from 1 ft,,94-94,,
4:07.0,,,94-94,,Defensive rebound by Team
3:53.0,,,94-94,,Turnover by D. Lillard (traveling)
3:32.0,L. Deng misses 3-pt shot from 25 ft,,94-94,,
3:32.0,Offensive rebound by Team,,94-94,,
3:32.0,,,94-94,,Loose ball foul by A. Aminu (drawn by L. Nance)
3:25.0,J. Clarkson misses 2-pt shot from 17 ft,,94-94,,
3:23.0,,,94-94,,Defensive rebound by C. McCollum
3:14.0,,,94-97,3,C. McCollum makes 3-pt shot from 25 ft
2:56.0,L. Nance misses 2-pt shot from 2 ft,,94-97,,
