time,Golden State,pts.away,score,pts.home,Houston
11:15.0,K. Durant makes 2-pt shot from 1 ft,2,66-59,,
11:02.0,,,66-59,,Turnover by J. Harden (bad pass; steal by Z. Pachulia)
10:51.0,Shooting foul by J. Harden (drawn by Z. Pachulia),,66-59,,
10:51.0,Z. Pachulia makes free throw 1 of 2,1,67-59,,
10:51.0,Z. Pachulia makes free throw 2 of 2,1,68-59,,
10:47.0,,,68-59,,Shooting foul by D. Green (drawn by C. Brewer)
10:47.0,,,68-60,1,C. Brewer makes free throw 1 of 2
10:47.0,,,68-61,1,C. Brewer makes free throw 2 of 2
10:35.0,,,68-61,,Personal foul by J. Harden (drawn by D. Green)
10:26.0,,,68-61,,Personal foul by P. Beverley (drawn by K. Durant)
10:20.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,70-61,,
10:03.0,,,70-61,,Turnover by J. Harden (bad pass; steal by K. Thompson)
9:59.0,Shooting foul by T. Ariza (drawn by Z. Pachulia),,70-61,,
9:59.0,Z. Pachulia makes free throw 1 of 2,1,71-61,,
9:59.0,Z. Pachulia makes free throw 2 of 2,1,72-61,,
9:46.0,,,72-61,,Turnover by T. Ariza (bad pass)
9:22.0,S. Curry misses 3-pt shot from 27 ft,,72-61,,
9:22.0,,,72-61,,Defensive rebound by Team
9:11.0,,,72-61,,M. Harrell misses 2-pt shot from 3 ft
9:10.0,Defensive rebound by Z. Pachulia,,72-61,,
9:03.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,74-61,,
8:40.0,,,74-61,,Houston full timeout
8:40.0,,,74-61,,C. Capela enters the game for M. Harrell
8:40.0,,,74-61,,E. Gordon enters the game for C. Brewer
8:34.0,,,74-63,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
8:09.0,Turnover by S. Curry (bad pass; steal by P. Beverley),,74-63,,
8:03.0,,,74-63,,E. Gordon misses 3-pt shot from 25 ft
8:01.0,,,74-63,,Offensive rebound by C. Capela
7:50.0,,,74-65,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:37.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,77-65,,
7:15.0,,,77-67,2,C. Capela makes 2-pt shot from 6 ft
7:03.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,79-67,,
6:55.0,,,79-67,,T. Ariza misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by D. Green,,79-67,,
6:38.0,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia),2,81-67,,
6:25.0,,,81-67,,C. Capela misses 2-pt shot from 2 ft
6:24.0,Defensive rebound by K. Durant,,81-67,,
6:14.0,S. Curry makes 3-pt shot from 28 ft (assist by K. Durant),3,84-67,,
6:14.0,,,84-67,,Houston full timeout
6:14.0,,,84-67,,S. Dekker enters the game for P. Beverley
6:05.0,,,84-67,,Turnover by C. Capela (bad pass; steal by K. Durant)
5:58.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,87-67,,
5:45.0,,,87-69,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:30.0,K. Durant misses 3-pt shot from 27 ft,,87-69,,
5:29.0,,,87-69,,Defensive rebound by C. Capela
5:20.0,,,87-71,2,T. Ariza makes 2-pt shot from 4 ft (assist by J. Harden)
5:08.0,,,87-71,,Personal foul by S. Dekker (drawn by S. Curry)
5:08.0,S. Curry makes free throw 1 of 2,1,88-71,,
5:08.0,S. Curry misses free throw 2 of 2,,88-71,,
5:08.0,,,88-71,,Defensive rebound by J. Harden
5:08.0,J. McAdoo enters the game for D. Green,,88-71,,
5:08.0,A. Iguodala enters the game for Z. Pachulia,,88-71,,
5:02.0,Violation by K. Thompson (kicked ball),,88-71,,
4:53.0,,,88-71,,J. Harden misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by K. Durant,,88-71,,
4:44.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,91-71,,
4:28.0,,,91-71,,S. Dekker misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by A. Iguodala,,91-71,,
4:10.0,S. Curry misses 2-pt shot from 2 ft,,91-71,,
4:08.0,,,91-71,,Defensive rebound by E. Gordon
4:02.0,,,91-73,2,J. Harden makes 2-pt shot from 2 ft
3:54.0,Golden State full timeout,,91-73,,
3:44.0,K. Thompson misses 3-pt shot from 26 ft,,91-73,,
3:44.0,Offensive rebound by Team,,91-73,,
3:31.0,K. Durant misses 3-pt shot from 25 ft,,91-73,,
3:31.0,Offensive rebound by Team,,91-73,,
3:31.0,,,91-73,,Loose ball foul by C. Capela (drawn by J. McAdoo)
3:31.0,J. McAdoo makes free throw 1 of 2,1,92-73,,
3:31.0,J. McAdoo makes free throw 2 of 2,1,93-73,,
3:31.0,I. Clark enters the game for K. Thompson,,92-73,,
3:12.0,,,93-73,,S. Dekker misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by A. Iguodala,,93-73,,
3:04.0,J. McAdoo makes 2-pt shot at rim (assist by A. Iguodala),2,95-73,,
2:53.0,,,95-73,,J. Harden misses 2-pt shot from 8 ft (block by I. Clark)
2:53.0,,,95-73,,Offensive rebound by Team
2:53.0,,,95-73,,M. Harrell enters the game for C. Capela
2:48.0,,,95-73,,E. Gordon misses 3-pt shot from 24 ft
2:48.0,,,95-73,,Offensive rebound by Team
2:48.0,Loose ball foul by K. Durant (drawn by S. Dekker),,95-73,,
2:44.0,,,95-75,2,T. Ariza makes 2-pt shot at rim (assist by M. Harrell)
2:31.0,J. McAdoo makes 2-pt shot at rim (assist by S. Curry),2,97-75,,
2:20.0,Personal foul by I. Clark (drawn by T. Ariza),,97-75,,
2:16.0,,,97-77,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
1:54.0,Turnover by K. Durant (palming),,97-77,,
1:45.0,,,97-77,,J. Harden misses 3-pt shot from 24 ft
1:43.0,,,97-77,,Offensive rebound by S. Dekker
1:42.0,,,97-79,2,S. Dekker makes 2-pt shot from 2 ft
1:25.0,S. Curry misses 3-pt shot from 27 ft,,97-79,,
1:24.0,,,97-79,,Defensive rebound by S. Dekker
1:16.0,,,97-79,,Turnover by J. Harden (bad pass; steal by K. Durant)
1:08.0,K. Durant makes 2-pt shot from 7 ft,2,99-79,,
0:54.0,,,99-79,,E. Gordon misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by K. Durant,,99-79,,
0:41.0,K. Durant misses 3-pt shot from 26 ft,,99-79,,
0:40.0,,,99-79,,Defensive rebound by E. Gordon
0:36.0,Personal block foul by I. Clark (drawn by E. Gordon),,99-79,,
0:36.0,D. Green enters the game for K. Durant,,99-79,,
0:24.0,,,99-79,,E. Gordon misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by A. Iguodala,,99-79,,
0:02.0,S. Curry misses 3-pt shot from 25 ft,,99-79,,
0:01.0,,,99-79,,Defensive rebound by S. Dekker
0:00.0,,,99-79,,S. Dekker misses 3-pt shot from 71 ft
0:00.0,,,99-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
