time,Detroit,pts.away,score,pts.home,Houston
4:53.0,,,12-19,,Turnover by M. Harrell (offensive foul)
4:46.0,I. Smith misses 2-pt shot from 14 ft,,12-19,,
4:43.0,Offensive rebound by Team,,12-19,,
4:43.0,,,12-19,,Personal foul by T. Ariza (drawn by B. Marjanovic)
4:36.0,M. Morris misses 3-pt shot from 24 ft,,12-19,,
4:34.0,,,12-19,,Defensive rebound by E. Gordon
4:10.0,,,12-19,,M. Harrell misses 2-pt shot from 18 ft
4:10.0,,,12-19,,Offensive rebound by Team
4:10.0,,,12-19,,Turnover by Team (shot clock)
4:00.0,Turnover by K. Caldwell-Pope (bad pass; steal by T. Ariza),,12-19,,
3:57.0,,,12-19,,Shooting foul by K. Caldwell-Pope (drawn by T. Ariza)
3:57.0,,,12-20,1,T. Ariza makes free throw 1 of 2
3:57.0,,,12-21,1,T. Ariza makes free throw 2 of 2
3:49.0,I. Smith makes 2-pt shot from 1 ft (assist by B. Marjanovic),2,14-21,,
3:32.0,,,14-24,3,E. Gordon makes 3-pt shot from 28 ft (assist by T. Ariza)
3:05.0,B. Marjanovic misses 2-pt shot from 10 ft,,14-24,,
3:04.0,Offensive rebound by K. Caldwell-Pope,,14-24,,
3:04.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,16-24,,
2:52.0,,,16-24,,E. Gordon misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by I. Smith,,16-24,,
2:45.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,16-24,,
2:44.0,,,16-24,,Defensive rebound by L. Williams
2:36.0,,,16-27,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
2:27.0,Detroit full timeout,,16-27,,
2:27.0,,,16-27,,Houston full timeout
2:27.0,S. Johnson enters the game for M. Morris,,16-27,,
2:27.0,B. Udrih enters the game for I. Smith,,16-27,,
2:16.0,B. Marjanovic makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope),2,18-27,,
2:03.0,,,18-27,,J. Harden misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by B. Marjanovic,,18-27,,
1:53.0,B. Marjanovic makes 2-pt shot from 3 ft (assist by B. Udrih),2,20-27,,
1:41.0,,,20-30,3,L. Williams makes 3-pt shot from 24 ft (assist by J. Harden)
1:19.0,B. Marjanovic makes 2-pt shot from 10 ft,2,22-30,,
1:09.0,,,22-30,,Turnover by E. Gordon (bad pass; steal by B. Udrih)
0:59.0,B. Marjanovic makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,24-30,,
0:44.0,,,24-30,,Turnover by M. Harrell (lost ball)
0:34.0,B. Marjanovic misses 2-pt shot from 14 ft,,24-30,,
0:33.0,,,24-30,,Defensive rebound by E. Gordon
0:27.0,,,24-30,,J. Harden misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by B. Marjanovic,,24-30,,
0:07.0,B. Udrih misses 2-pt shot from 20 ft,,24-30,,
0:05.0,,,24-30,,Defensive rebound by E. Gordon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,S. Johnson misses 2-pt shot from 19 ft,,24-30,,
11:49.0,,,24-30,,Defensive rebound by L. Williams
11:41.0,,,24-30,,Shooting foul by A. Drummond (drawn by M. Harrell)
11:41.0,,,24-30,,M. Harrell misses free throw 1 of 2
11:41.0,,,24-30,,Offensive rebound by Team
11:41.0,,,24-31,1,M. Harrell makes free throw 2 of 2
11:29.0,B. Udrih misses 2-pt shot from 5 ft (block by M. Harrell),,24-31,,
11:27.0,,,24-31,,Defensive rebound by R. Anderson
11:24.0,,,24-33,2,M. Harrell makes 2-pt shot from 1 ft (assist by P. Beverley)
11:12.0,T. Harris makes 3-pt shot from 25 ft (assist by B. Udrih),3,27-33,,
10:56.0,,,27-33,,L. Williams misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by S. Johnson,,27-33,,
10:43.0,A. Drummond misses 2-pt shot from 8 ft,,27-33,,
10:42.0,,,27-33,,Defensive rebound by P. Beverley
10:33.0,,,27-33,,E. Gordon misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by Team,,27-33,,
10:22.0,T. Harris misses 2-pt shot from 16 ft,,27-33,,
10:21.0,,,27-33,,Defensive rebound by P. Beverley
10:07.0,,,27-33,,Shooting foul by A. Drummond (drawn by P. Beverley)
10:07.0,,,27-34,1,P. Beverley makes free throw 1 of 2
10:07.0,,,27-34,,P. Beverley misses free throw 2 of 2
10:07.0,Defensive rebound by B. Marjanovic,,27-34,,
10:07.0,B. Marjanovic enters the game for A. Drummond,,27-34,,
9:43.0,S. Johnson makes 3-pt shot from 27 ft (assist by R. Bullock),3,30-34,,
9:29.0,,,30-34,,L. Williams misses 2-pt shot from 19 ft
9:28.0,Defensive rebound by Team,,30-34,,
9:10.0,T. Harris makes 2-pt shot from 6 ft (assist by R. Bullock),2,32-34,,
8:46.0,,,32-34,,E. Gordon misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by B. Marjanovic,,32-34,,
8:39.0,B. Marjanovic misses 2-pt shot from 3 ft (block by R. Anderson),,32-34,,
8:39.0,Offensive rebound by Team,,32-34,,
8:39.0,Official timeout,,32-34,,
8:36.0,R. Bullock misses 2-pt shot from 17 ft,,32-34,,
8:34.0,,,32-34,,Defensive rebound by M. Harrell
8:20.0,,,32-34,,P. Beverley misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by T. Harris,,32-34,,
8:03.0,R. Bullock misses 2-pt shot from 4 ft (block by P. Beverley),,32-34,,
8:01.0,,,32-34,,Defensive rebound by P. Beverley
8:01.0,Personal take foul by B. Marjanovic (drawn by P. Beverley),,32-34,,
7:41.0,,,32-34,,L. Williams misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by T. Harris,,32-34,,
7:31.0,B. Udrih makes 2-pt shot from 6 ft,2,34-34,,
7:18.0,,,34-34,,R. Anderson misses 3-pt shot from 29 ft
7:17.0,,,34-34,,Offensive rebound by P. Beverley
7:00.0,,,34-36,2,L. Williams makes 2-pt shot from 10 ft
6:46.0,T. Harris makes 3-pt shot from 26 ft (assist by B. Udrih),3,37-36,,
6:37.0,,,37-36,,E. Gordon misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by S. Johnson,,37-36,,
6:22.0,B. Marjanovic makes 2-pt shot from 3 ft (assist by R. Bullock),2,39-36,,
6:14.0,,,39-39,3,P. Beverley makes 3-pt shot from 25 ft
5:57.0,B. Udrih makes 2-pt shot from 15 ft,2,41-39,,
5:57.0,,,41-39,,Houston full timeout
5:57.0,,,41-39,,J. Harden enters the game for R. Anderson
5:57.0,,,41-39,,N. Hilario enters the game for P. Beverley
5:57.0,,,41-39,,T. Ariza enters the game for L. Williams
5:57.0,,,41-39,,T. Williams enters the game for M. Harrell
5:41.0,,,41-39,,Shooting foul by S. Johnson (drawn by J. Harden)
5:41.0,,,41-40,1,J. Harden makes free throw 1 of 2
5:41.0,,,41-41,1,J. Harden makes free throw 2 of 2
5:26.0,B. Marjanovic makes 2-pt shot from 7 ft (assist by T. Harris),2,43-41,,
5:00.0,,,43-41,,E. Gordon misses 3-pt shot from 24 ft
5:00.0,,,43-41,,Offensive rebound by Team
5:00.0,,,43-41,,Turnover by Team (shot clock)
5:00.0,H. Ellenson enters the game for T. Harris,,43-41,,
5:00.0,I. Smith enters the game for B. Udrih,,43-41,,
4:47.0,B. Marjanovic makes 2-pt shot from 10 ft,2,45-41,,
4:47.0,Shooting foul by N. Hilario (drawn by B. Marjanovic),,45-41,,
4:47.0,B. Marjanovic makes free throw 1 of 1,1,46-41,,
4:34.0,,,46-43,2,E. Gordon makes 2-pt shot from 11 ft (assist by J. Harden)
4:13.0,H. Ellenson makes 2-pt shot from 19 ft (assist by R. Bullock),2,48-43,,
4:06.0,,,48-43,,Shooting foul by B. Marjanovic (drawn by J. Harden)
4:06.0,,,48-44,1,J. Harden makes free throw 1 of 2
4:06.0,,,48-45,1,J. Harden makes free throw 2 of 2
4:06.0,,,48-44,,P. Beverley enters the game for E. Gordon
3:48.0,H. Ellenson misses 2-pt shot from 12 ft (block by J. Harden),,48-45,,
3:46.0,,,48-45,,Defensive rebound by P. Beverley
3:43.0,,,48-45,,Shooting foul by R. Bullock (drawn by N. Hilario)
3:43.0,,,48-45,,N. Hilario misses free throw 1 of 2
3:43.0,,,48-45,,Offensive rebound by Team
3:43.0,,,48-45,,N. Hilario misses free throw 2 of 2
3:43.0,Defensive rebound by H. Ellenson,,48-45,,
3:26.0,B. Marjanovic misses 2-pt shot from 10 ft,,48-45,,
3:26.0,,,48-45,,Defensive rebound by P. Beverley
3:21.0,,,48-47,2,N. Hilario makes 2-pt shot at rim (assist by P. Beverley)
3:12.0,Detroit full timeout,,48-47,,
3:03.0,S. Johnson misses 2-pt shot from 20 ft,,48-47,,
3:02.0,,,48-47,,Defensive rebound by T. Williams
2:52.0,,,48-49,2,T. Williams makes 2-pt shot from 4 ft (assist by J. Harden)
2:36.0,I. Smith misses 2-pt shot from 21 ft,,48-49,,
2:35.0,,,48-49,,Defensive rebound by T. Ariza
2:29.0,,,48-52,3,J. Harden makes 3-pt shot from 26 ft
2:15.0,H. Ellenson misses 3-pt shot from 25 ft,,48-52,,
2:14.0,Offensive rebound by R. Bullock,,48-52,,
2:14.0,,,48-52,,Personal foul by T. Williams (drawn by R. Bullock)
2:14.0,,,48-52,,Technical foul by P. Beverley
2:14.0,Technical foul by R. Bullock,,48-52,,
2:00.0,B. Marjanovic makes 2-pt shot from 6 ft (assist by I. Smith),2,50-52,,
1:43.0,,,50-52,,P. Beverley misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by B. Marjanovic,,50-52,,
1:36.0,Offensive charge foul by S. Johnson,,50-52,,
1:36.0,Turnover by S. Johnson (offensive foul),,50-52,,
1:19.0,,,50-54,2,J. Harden makes 2-pt shot from 12 ft
0:58.0,I. Smith misses 3-pt shot from 24 ft,,50-54,,
0:57.0,,,50-54,,Defensive rebound by J. Harden
0:50.0,,,50-54,,J. Harden misses 3-pt shot from 27 ft
0:50.0,Defensive rebound by H. Ellenson,,50-54,,
0:39.0,H. Ellenson makes 2-pt shot from 2 ft,2,52-54,,
0:29.0,,,52-54,,T. Ariza misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by H. Ellenson,,52-54,,
0:05.0,H. Ellenson misses 3-pt shot from 24 ft,,52-54,,
0:04.0,Offensive rebound by R. Bullock,,52-54,,
0:00.0,R. Bullock misses 2-pt shot from 11 ft,,52-54,,
0:00.0,,,52-54,,Defensive rebound by J. Harden
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Morris misses 2-pt shot from 16 ft,,52-54,,
11:41.0,,,52-54,,Defensive rebound by P. Beverley
11:30.0,Personal foul by I. Smith (drawn by T. Williams),,52-54,,
11:26.0,,,52-57,3,J. Harden makes 3-pt shot from 26 ft (assist by M. Harrell)
11:07.0,I. Smith misses 2-pt shot from 5 ft (block by M. Harrell),,52-57,,
11:05.0,,,52-57,,Defensive rebound by P. Beverley
11:01.0,,,52-57,,J. Harden misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by I. Smith,,52-57,,
10:55.0,I. Smith makes 2-pt shot from 1 ft,2,54-57,,
10:43.0,,,54-57,,T. Williams misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by A. Drummond,,54-57,,
10:37.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,54-57,,
10:34.0,Offensive rebound by H. Ellenson,,54-57,,
10:32.0,Turnover by H. Ellenson (bad pass; steal by T. Williams),,54-57,,
10:22.0,,,54-57,,T. Ariza misses 3-pt shot from 24 ft
10:21.0,,,54-57,,Offensive rebound by P. Beverley
10:05.0,,,54-57,,Shooting foul by H. Ellenson (drawn by M. Harrell)
10:05.0,,,54-58,1,M. Harrell makes free throw 1 of 2
10:05.0,,,54-59,1,M. Harrell makes free throw 2 of 2
9:58.0,I. Smith makes 2-pt shot from 17 ft (assist by A. Drummond),2,56-59,,
9:30.0,,,56-59,,T. Williams misses 2-pt shot from 3 ft
9:28.0,Defensive rebound by H. Ellenson,,56-59,,
9:13.0,I. Smith makes 2-pt shot from 12 ft (assist by M. Morris),2,58-59,,
9:07.0,,,58-61,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
9:06.0,Detroit full timeout,,58-61,,
8:51.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,58-61,,
8:50.0,,,58-61,,Defensive rebound by T. Ariza
8:43.0,,,58-61,,Shooting foul by I. Smith (drawn by P. Beverley)
8:43.0,,,58-62,1,P. Beverley makes free throw 1 of 2
8:43.0,,,58-63,1,P. Beverley makes free throw 2 of 2
8:27.0,H. Ellenson misses 3-pt shot from 26 ft,,58-63,,
8:26.0,Offensive rebound by A. Drummond,,58-63,,
8:26.0,,,58-63,,Personal foul by M. Harrell (drawn by A. Drummond)
8:14.0,H. Ellenson makes 3-pt shot from 25 ft (assist by I. Smith),3,61-63,,
8:13.0,Violation by Team (jump ball),,61-63,,
7:53.0,,,61-63,,Turnover by T. Ariza (lost ball; steal by K. Caldwell-Pope)
7:43.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,61-63,,
7:42.0,,,61-63,,Defensive rebound by P. Beverley
7:36.0,,,61-63,,T. Ariza misses 3-pt shot from 25 ft
7:34.0,,,61-63,,Offensive rebound by T. Williams
7:29.0,,,61-63,,Turnover by T. Williams (bad pass)
7:29.0,,,61-63,,Houston full timeout
7:20.0,A. Drummond misses 2-pt shot from 7 ft,,61-63,,
7:20.0,Offensive rebound by A. Drummond,,61-63,,
7:20.0,Shooting foul by P. Beverley (drawn by A. Drummond),,61-63,,
7:20.0,A. Drummond misses free throw 1 of 2,,61-63,,
7:20.0,Offensive rebound by Team,,61-63,,
7:20.0,A. Drummond misses free throw 2 of 2,,61-63,,
7:20.0,,,61-63,,Defensive rebound by T. Ariza
7:00.0,,,61-66,3,J. Harden makes 3-pt shot from 24 ft (assist by M. Harrell)
6:47.0,A. Drummond misses 2-pt shot at rim,,61-66,,
6:46.0,,,61-66,,Defensive rebound by T. Ariza
6:40.0,,,61-66,,T. Williams misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by H. Ellenson,,61-66,,
6:22.0,A. Drummond misses 2-pt shot from 10 ft,,61-66,,
6:22.0,Offensive rebound by Team,,61-66,,
6:22.0,,,61-66,,Personal foul by T. Williams (drawn by M. Morris)
6:22.0,,,61-66,,L. Williams enters the game for P. Beverley
6:22.0,,,61-66,,E. Gordon enters the game for T. Williams
6:11.0,I. Smith misses 2-pt shot from 20 ft,,61-66,,
6:09.0,,,61-66,,Defensive rebound by T. Ariza
6:02.0,,,61-69,3,J. Harden makes 3-pt shot from 25 ft
5:48.0,H. Ellenson misses 3-pt shot from 26 ft,,61-69,,
5:46.0,Offensive rebound by I. Smith,,61-69,,
5:43.0,I. Smith misses 2-pt shot from 5 ft,,61-69,,
5:41.0,Offensive rebound by A. Drummond,,61-69,,
5:40.0,A. Drummond makes 2-pt shot from 2 ft,2,63-69,,
5:34.0,,,63-69,,E. Gordon misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by A. Drummond,,63-69,,
5:28.0,Turnover by I. Smith (step out of bounds),,63-69,,
5:28.0,T. Harris enters the game for M. Morris,,63-69,,
5:28.0,S. Johnson enters the game for H. Ellenson,,63-69,,
5:28.0,B. Marjanovic enters the game for A. Drummond,,63-69,,
5:14.0,,,63-71,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
4:51.0,I. Smith makes 2-pt shot from 5 ft,2,65-71,,
4:38.0,,,65-71,,E. Gordon misses 3-pt shot from 24 ft
4:37.0,,,65-71,,Offensive rebound by J. Harden
4:34.0,,,65-71,,J. Harden misses 2-pt shot from 2 ft
4:33.0,,,65-71,,Offensive rebound by J. Harden
4:26.0,,,65-73,2,J. Harden makes 2-pt shot from 1 ft
4:03.0,Shooting foul by M. Harrell (drawn by B. Marjanovic),,65-73,,
4:03.0,B. Marjanovic misses free throw 1 of 2,,65-73,,
4:03.0,Offensive rebound by Team,,65-73,,
4:03.0,B. Marjanovic makes free throw 2 of 2,1,66-73,,
4:03.0,,,65-73,,C. Onuaku enters the game for M. Harrell
3:54.0,,,66-76,3,J. Harden makes 3-pt shot from 26 ft
3:35.0,T. Harris misses 2-pt shot from 19 ft,,66-76,,
3:34.0,,,66-76,,Defensive rebound by J. Harden
3:21.0,,,66-76,,T. Ariza misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by S. Johnson,,66-76,,
3:09.0,T. Harris makes 2-pt shot from 9 ft,2,68-76,,
2:48.0,,,68-76,,J. Harden misses 2-pt shot from 15 ft
2:47.0,Defensive rebound by B. Marjanovic,,68-76,,
2:43.0,I. Smith makes 2-pt shot from 2 ft (assist by B. Marjanovic),2,70-76,,
2:33.0,,,70-76,,C. Onuaku misses 2-pt shot from 6 ft
2:33.0,,,70-76,,Offensive rebound by Team
2:33.0,B. Udrih enters the game for I. Smith,,70-76,,
2:27.0,,,70-76,,J. Harden misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by B. Marjanovic,,70-76,,
2:16.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,73-76,,
2:04.0,,,73-76,,Shooting foul by B. Udrih (drawn by L. Williams)
2:04.0,,,73-77,1,L. Williams makes free throw 1 of 3
2:04.0,,,73-78,1,L. Williams makes free throw 2 of 3
2:04.0,,,73-79,1,L. Williams makes free throw 3 of 3
2:04.0,,,73-78,,T. Williams enters the game for T. Ariza
1:54.0,T. Harris misses 3-pt shot from 26 ft,,73-79,,
1:53.0,Offensive rebound by B. Udrih,,73-79,,
1:41.0,S. Johnson misses 3-pt shot from 26 ft,,73-79,,
1:40.0,,,73-79,,Defensive rebound by E. Gordon
1:35.0,,,73-81,2,L. Williams makes 2-pt shot from 1 ft (assist by J. Harden)
1:35.0,Detroit full timeout,,73-81,,
1:21.0,T. Harris misses 2-pt shot from 6 ft,,73-81,,
1:20.0,,,73-81,,Defensive rebound by J. Harden
1:14.0,,,73-83,2,T. Williams makes 2-pt shot from 2 ft (assist by J. Harden)
1:01.0,Turnover by B. Udrih (bad pass; steal by C. Onuaku),,73-83,,
1:01.0,Personal foul by B. Udrih (drawn by L. Williams),,73-83,,
1:01.0,,,73-84,1,L. Williams makes free throw 1 of 2
1:01.0,,,73-85,1,L. Williams makes free throw 2 of 2
1:01.0,R. Bullock enters the game for K. Caldwell-Pope,,73-84,,
0:43.0,B. Udrih misses 2-pt shot from 3 ft (block by C. Onuaku),,73-85,,
0:43.0,Offensive rebound by Team,,73-85,,
0:39.0,Shooting foul by J. Harden (drawn by T. Harris),,73-85,,
0:39.0,T. Harris makes free throw 1 of 2,1,74-85,,
0:39.0,T. Harris makes free throw 2 of 2,1,75-85,,
0:27.0,,,75-85,,Turnover by C. Onuaku (bad pass; steal by T. Harris)
0:08.0,B. Udrih misses 2-pt shot from 20 ft,,75-85,,
0:08.0,,,75-85,,Defensive rebound by Team
0:01.0,,,75-87,2,J. Harden makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Def 3 sec tech foul by A. Drummond,,75-87,,
11:47.0,,,75-87,,P. Beverley misses technical free throw
11:47.0,,,75-87,,Offensive rebound by Team
11:45.0,,,75-87,,Turnover by E. Gordon (bad pass; steal by A. Drummond)
11:38.0,A. Drummond misses 2-pt shot from 5 ft,,75-87,,
11:38.0,Offensive rebound by T. Harris,,75-87,,
11:38.0,T. Harris misses 2-pt shot from 1 ft,,75-87,,
11:36.0,Offensive rebound by S. Johnson,,75-87,,
11:30.0,R. Bullock makes 3-pt shot from 24 ft (assist by S. Johnson),3,78-87,,
11:22.0,,,78-87,,Turnover by L. Williams (lost ball)
11:12.0,R. Bullock makes 3-pt shot from 23 ft (assist by B. Udrih),3,81-87,,
10:58.0,,,81-89,2,E. Gordon makes 2-pt shot from 10 ft (assist by C. Onuaku)
10:43.0,B. Udrih misses 2-pt shot from 16 ft,,81-89,,
10:42.0,Offensive rebound by A. Drummond,,81-89,,
10:30.0,T. Harris misses 2-pt shot from 21 ft,,81-89,,
10:29.0,,,81-89,,Defensive rebound by P. Beverley
10:09.0,,,81-91,2,L. Williams makes 2-pt shot from 10 ft (assist by P. Beverley)
9:53.0,R. Bullock misses 3-pt shot from 24 ft,,81-91,,
9:51.0,,,81-91,,Defensive rebound by P. Beverley
9:43.0,,,81-93,2,C. Onuaku makes 2-pt shot at rim (assist by P. Beverley)
9:43.0,Detroit full timeout,,81-93,,
9:19.0,S. Johnson makes 2-pt shot from 13 ft (assist by T. Harris),2,83-93,,
9:09.0,,,83-93,,Turnover by C. Onuaku (traveling)
8:56.0,T. Harris misses 2-pt shot from 11 ft,,83-93,,
8:55.0,Offensive rebound by A. Drummond,,83-93,,
8:55.0,A. Drummond makes 2-pt shot from 1 ft,2,85-93,,
8:45.0,,,85-93,,E. Gordon misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by R. Bullock,,85-93,,
8:35.0,Turnover by A. Drummond (bad pass),,85-93,,
8:25.0,Personal foul by T. Harris (drawn by T. Williams),,85-93,,
8:13.0,,,85-93,,L. Williams misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by Team,,85-93,,
7:57.0,S. Johnson misses 2-pt shot from 19 ft,,85-93,,
7:56.0,Offensive rebound by T. Harris,,85-93,,
7:49.0,A. Drummond makes 2-pt shot at rim (assist by S. Johnson),2,87-93,,
7:36.0,Def 3 sec tech foul by A. Drummond,,87-93,,
7:36.0,,,87-94,1,L. Williams makes technical free throw
7:36.0,,,87-94,,T. Ariza enters the game for L. Williams
7:36.0,,,87-94,,J. Harden enters the game for T. Williams
7:36.0,,,87-94,,M. Harrell enters the game for C. Onuaku
7:32.0,,,87-94,,J. Harden misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by T. Harris,,87-94,,
7:21.0,A. Drummond makes 2-pt shot from 11 ft (assist by B. Udrih),2,89-94,,
7:16.0,H. Ellenson enters the game for T. Harris,,89-94,,
7:16.0,B. Marjanovic enters the game for A. Drummond,,89-94,,
7:07.0,,,89-94,,T. Ariza misses 3-pt shot from 23 ft
7:06.0,,,89-94,,Offensive rebound by Team
7:00.0,,,89-94,,E. Gordon misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by B. Marjanovic,,89-94,,
6:46.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by S. Johnson),2,91-94,,
6:19.0,,,91-94,,T. Ariza misses 2-pt shot from 8 ft
6:18.0,,,91-94,,Offensive rebound by T. Ariza
6:18.0,,,91-94,,T. Ariza misses 2-pt shot from 2 ft
6:17.0,Defensive rebound by B. Marjanovic,,91-94,,
5:58.0,B. Marjanovic makes 2-pt shot at rim (assist by S. Johnson),2,93-94,,
5:42.0,,,93-97,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
5:30.0,Official timeout,,93-97,,
5:30.0,,,93-97,,T. Williams enters the game for P. Beverley
