time,New Orleans,pts.away,score,pts.home,Golden State
4:28.0,,,40-47,,Defensive rebound by D. Green
4:20.0,,,40-50,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
4:14.0,New Orleans full timeout,,40-50,,
4:14.0,T. Frazier enters the game for S. Hill,,40-50,,
4:14.0,B. Hield enters the game for L. Galloway,,40-50,,
4:14.0,,,40-50,,K. Durant enters the game for D. West
4:14.0,,,40-50,,A. Iguodala enters the game for S. Livingston
4:01.0,D. Cunningham misses 3-pt shot from 24 ft,,40-50,,
4:00.0,,,40-50,,Defensive rebound by K. Thompson
3:54.0,,,40-53,3,S. Curry makes 3-pt shot from 26 ft
3:29.0,Turnover by Team (shot clock),,40-53,,
3:14.0,,,40-53,,S. Curry misses 2-pt shot from 8 ft
3:13.0,,,40-53,,Offensive rebound by D. Green
3:06.0,,,40-55,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
2:56.0,A. Davis misses 2-pt shot from 6 ft (block by K. Durant),,40-55,,
2:54.0,,,40-55,,Defensive rebound by D. Green
2:48.0,Personal foul by T. Frazier (drawn by S. Curry),,40-55,,
2:33.0,,,40-57,2,K. Thompson makes 2-pt shot from 10 ft
2:29.0,Turnover by A. Davis (bad pass; steal by K. Durant),,40-57,,
2:24.0,Personal foul by B. Hield (drawn by K. Durant),,40-57,,
2:24.0,,,40-58,1,K. Durant makes free throw 1 of 2
2:24.0,,,40-59,1,K. Durant makes free throw 2 of 2
2:12.0,B. Hield misses 3-pt shot from 26 ft,,40-59,,
2:11.0,,,40-59,,Defensive rebound by D. Green
2:00.0,,,40-61,2,S. Curry makes 2-pt shot from 1 ft
1:51.0,D. Cunningham makes 3-pt shot from 26 ft (assist by T. Frazier),3,43-61,,
1:37.0,,,43-61,,D. Green misses 2-pt shot from 4 ft (block by A. Davis)
1:36.0,,,43-61,,Offensive rebound by S. Curry
1:35.0,Personal foul by T. Frazier (drawn by S. Curry),,43-61,,
1:35.0,L. Galloway enters the game for T. Frazier,,43-61,,
1:27.0,,,43-61,,Turnover by D. Green (bad pass)
1:12.0,L. Galloway misses 3-pt shot from 24 ft,,43-61,,
1:12.0,Offensive rebound by E. Moore,,43-61,,
1:10.0,E. Moore makes 2-pt shot from 3 ft,2,45-61,,
0:50.0,,,45-61,,Turnover by S. Curry (palming)
0:38.0,E. Moore misses 2-pt shot from 13 ft,,45-61,,
0:37.0,,,45-61,,Defensive rebound by D. Green
0:29.0,,,45-61,,Turnover by S. Curry (bad pass; steal by L. Galloway)
0:26.0,E. Moore makes 2-pt shot from 1 ft (assist by L. Galloway),2,47-61,,
0:26.0,,,47-61,,Golden State full timeout
0:26.0,,,47-61,,Violation by Team (jump ball)
0:07.0,,,47-63,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
0:01.0,,,47-63,,Personal foul by K. Thompson (drawn by E. Moore)
0:01.0,E. Moore makes free throw 1 of 2,1,48-63,,
0:01.0,E. Moore makes free throw 2 of 2,1,49-63,,
0:01.0,,,49-63,,S. Curry misses 3-pt shot from 56 ft
0:00.0,,,49-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,A. Davis misses 2-pt shot from 11 ft,,49-63,,
11:48.0,,,49-63,,Defensive rebound by K. Thompson
11:32.0,,,49-63,,D. Green misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by T. Frazier,,49-63,,
11:24.0,E. Moore misses 3-pt shot from 23 ft,,49-63,,
11:23.0,,,49-63,,Defensive rebound by D. Green
11:13.0,,,49-66,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
11:03.0,O. Asik makes 2-pt shot from 2 ft (assist by T. Frazier),2,51-66,,
11:03.0,Shooting foul by Z. Pachulia (drawn by O. Asik),,51-66,,
11:03.0,O. Asik makes free throw 1 of 1,1,52-66,,
10:57.0,,,52-66,,Turnover by S. Curry (lost ball; steal by T. Frazier)
10:36.0,T. Frazier makes 2-pt shot from 18 ft,2,54-66,,
10:17.0,,,54-68,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
10:01.0,A. Davis makes 2-pt shot from 6 ft (assist by T. Frazier),2,56-68,,
9:51.0,,,56-68,,K. Durant misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by O. Asik,,56-68,,
9:32.0,T. Frazier misses 3-pt shot from 26 ft,,56-68,,
9:31.0,,,56-68,,Defensive rebound by D. Green
9:13.0,,,56-70,2,S. Curry makes 2-pt shot from 14 ft (assist by D. Green)
8:51.0,T. Frazier makes 2-pt shot from 2 ft,2,58-70,,
8:40.0,,,58-70,,K. Durant misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by S. Hill,,58-70,,
8:38.0,,,58-70,,Personal foul by D. Green (drawn by T. Frazier)
8:22.0,E. Moore makes 2-pt shot from 9 ft (assist by T. Frazier),2,60-70,,
8:09.0,,,60-70,,K. Durant misses 2-pt shot from 13 ft
8:09.0,,,60-70,,Offensive rebound by K. Durant
8:07.0,,,60-70,,K. Durant misses 2-pt shot from 6 ft
8:05.0,Defensive rebound by A. Davis,,60-70,,
7:55.0,A. Davis makes 2-pt shot from 3 ft (assist by T. Frazier),2,62-70,,
7:55.0,Shooting foul by K. Thompson (drawn by A. Davis),,62-70,,
7:55.0,,,62-70,,Golden State full timeout
7:55.0,A. Davis makes free throw 1 of 1,1,63-70,,
7:43.0,,,63-70,,S. Curry misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by A. Davis,,63-70,,
7:19.0,E. Moore makes 3-pt shot from 24 ft (assist by T. Frazier),3,66-70,,
7:01.0,,,66-70,,K. Durant misses 2-pt shot from 15 ft
7:00.0,Defensive rebound by A. Davis,,66-70,,
6:39.0,T. Frazier misses 3-pt shot from 25 ft,,66-70,,
6:39.0,Offensive rebound by A. Davis,,66-70,,
6:37.0,Shooting foul by Z. Pachulia (drawn by A. Davis),,66-70,,
6:37.0,A. Davis makes free throw 1 of 2,1,67-70,,
6:37.0,A. Davis makes free throw 2 of 2,1,68-70,,
6:37.0,,,67-70,,K. Looney enters the game for Z. Pachulia
6:37.0,,,67-70,,A. Iguodala enters the game for K. Durant
6:22.0,,,68-72,2,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green)
6:10.0,Shooting foul by K. Looney (drawn by S. Hill),,68-72,,
6:10.0,S. Hill makes free throw 1 of 2,1,69-72,,
6:10.0,S. Hill makes free throw 2 of 2,1,70-72,,
5:59.0,,,70-72,,S. Curry misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by Team,,70-72,,
5:59.0,,,70-72,,Loose ball foul by K. Looney (drawn by O. Asik)
5:59.0,O. Asik misses free throw 1 of 2,,70-72,,
5:59.0,Offensive rebound by Team,,70-72,,
5:59.0,O. Asik makes free throw 2 of 2,1,71-72,,
5:41.0,,,71-72,,S. Curry misses 2-pt shot from 19 ft
5:41.0,Defensive rebound by O. Asik,,71-72,,
5:30.0,A. Davis misses 3-pt shot from 27 ft,,71-72,,
5:30.0,,,71-72,,Defensive rebound by S. Curry
5:17.0,,,71-72,,K. Thompson misses 2-pt shot from 16 ft
5:17.0,Defensive rebound by O. Asik,,71-72,,
4:56.0,A. Davis misses 2-pt shot from 18 ft,,71-72,,
4:55.0,,,71-72,,Defensive rebound by A. Iguodala
4:32.0,,,71-72,,A. Iguodala misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by A. Davis,,71-72,,
4:14.0,A. Davis makes 2-pt shot from 8 ft (assist by T. Frazier),2,73-72,,
4:14.0,,,73-72,,Golden State full timeout
4:14.0,,,73-72,,I. Clark enters the game for K. Thompson
4:14.0,,,73-72,,K. Durant enters the game for K. Looney
4:06.0,Personal foul by E. Moore (drawn by S. Curry),,73-72,,
4:06.0,T. Jones enters the game for O. Asik,,73-72,,
4:06.0,D. Cunningham enters the game for S. Hill,,73-72,,
3:59.0,,,73-75,3,S. Curry makes 3-pt shot from 26 ft
3:37.0,T. Jones misses 2-pt shot from 18 ft,,73-75,,
3:36.0,,,73-75,,Defensive rebound by I. Clark
3:24.0,,,73-75,,Turnover by I. Clark (bad pass)
3:24.0,L. Galloway enters the game for E. Moore,,73-75,,
3:14.0,T. Frazier misses 2-pt shot from 17 ft,,73-75,,
3:13.0,Offensive rebound by T. Frazier,,73-75,,
3:04.0,A. Davis makes 2-pt shot from 14 ft (assist by T. Frazier),2,75-75,,
2:49.0,,,75-75,,K. Durant misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by L. Galloway,,75-75,,
2:37.0,,,75-75,,Def 3 sec tech foul by K. Durant
2:37.0,A. Davis makes technical free throw,1,76-75,,
2:23.0,D. Cunningham misses 2-pt shot from 23 ft,,76-75,,
2:23.0,,,76-75,,Defensive rebound by Team
2:23.0,Loose ball foul by A. Davis (drawn by D. Green),,76-75,,
2:08.0,,,76-77,2,K. Durant makes 2-pt shot at rim
1:50.0,A. Davis misses 2-pt shot from 19 ft,,76-77,,
1:50.0,,,76-77,,Defensive rebound by I. Clark
1:45.0,Personal foul by T. Frazier (drawn by S. Curry),,76-77,,
1:45.0,,,76-77,,Technical foul by S. Curry
1:45.0,L. Galloway misses technical free throw,,76-77,,
1:45.0,,,76-77,,Offensive rebound by Team
1:45.0,B. Hield enters the game for A. Davis,,76-77,,
1:41.0,,,76-80,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
1:22.0,B. Hield misses 2-pt shot from 20 ft,,76-80,,
1:22.0,,,76-80,,Defensive rebound by K. Durant
1:11.0,,,76-80,,S. Curry misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by T. Frazier,,76-80,,
1:05.0,Turnover by T. Jones (bad pass),,76-80,,
0:58.0,,,76-80,,Turnover by D. Green (lost ball; steal by T. Frazier)
0:52.0,L. Galloway misses 2-pt shot from 3 ft,,76-80,,
0:49.0,Offensive rebound by L. Galloway,,76-80,,
0:49.0,Shooting foul by S. Curry (drawn by T. Frazier),,76-80,,
0:49.0,T. Frazier makes free throw 1 of 2,1,77-80,,
0:49.0,T. Frazier makes free throw 2 of 2,1,78-80,,
0:49.0,,,77-80,,D. West enters the game for D. Green
0:38.0,,,78-80,,Shooting foul by D. Cunningham (drawn by K. Durant)
0:38.0,,,78-81,1,K. Durant makes free throw 1 of 2
0:38.0,,,78-81,,K. Durant misses free throw 2 of 2
0:37.0,Defensive rebound by B. Hield,,78-81,,
0:31.0,T. Frazier misses 2-pt shot from 3 ft (block by I. Clark),,78-81,,
0:31.0,,,78-81,,Defensive rebound by Team
0:10.0,,,78-84,3,S. Curry makes 3-pt shot from 25 ft (assist by I. Clark)
0:04.0,Turnover by T. Frazier (lost ball; steal by D. West),,78-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-84,,Turnover by K. Durant (bad pass; steal by L. Galloway)
11:39.0,L. Galloway makes 2-pt shot from 3 ft,2,80-84,,
11:21.0,,,80-86,2,S. Livingston makes 2-pt shot from 2 ft (assist by D. West)
11:03.0,B. Hield makes 3-pt shot from 25 ft,3,83-86,,
10:50.0,,,83-86,,D. West misses 2-pt shot from 8 ft
10:50.0,Defensive rebound by B. Hield,,83-86,,
10:32.0,E. Moore enters the game for T. Frazier,,83-86,,
10:29.0,T. Jones misses 3-pt shot from 25 ft,,83-86,,
10:28.0,,,83-86,,Defensive rebound by A. Iguodala
10:11.0,,,83-86,,K. Durant misses 3-pt shot from 25 ft
10:10.0,,,83-86,,Offensive rebound by S. Livingston
10:02.0,,,83-86,,Shooting foul by D. Cunningham (drawn by D. West)
10:02.0,,,83-87,1,D. West makes free throw 1 of 2
10:02.0,,,83-88,1,D. West makes free throw 2 of 2
9:41.0,L. Galloway makes 3-pt shot from 24 ft (assist by E. Moore),3,86-88,,
9:26.0,,,86-90,2,K. Durant makes 2-pt shot from 16 ft (assist by A. Iguodala)
9:00.0,Turnover by D. Cunningham (bad pass; steal by A. Iguodala),,86-90,,
8:59.0,Personal foul by B. Hield (drawn by A. Iguodala),,86-90,,
8:59.0,Official timeout,,86-90,,
8:41.0,,,86-90,,K. Thompson misses 3-pt shot from 26 ft
8:40.0,,,86-90,,Offensive rebound by D. West
8:29.0,,,86-92,2,K. Durant makes 2-pt shot at rim (assist by A. Iguodala)
8:07.0,E. Moore makes 2-pt shot from 10 ft,2,88-92,,
7:46.0,,,88-94,2,K. Thompson makes 2-pt shot from 3 ft (assist by K. Durant)
7:30.0,D. Cunningham makes 3-pt shot from 26 ft (assist by E. Moore),3,91-94,,
7:11.0,,,91-94,,K. Thompson misses 2-pt shot from 20 ft
7:10.0,Defensive rebound by B. Hield,,91-94,,
6:57.0,Turnover by B. Hield (bad pass; steal by K. Thompson),,91-94,,
6:48.0,,,91-96,2,D. West makes 2-pt shot at rim (assist by K. Durant)
6:48.0,New Orleans full timeout,,91-96,,
6:48.0,,,91-96,,S. Curry enters the game for K. Durant
6:48.0,,,91-96,,D. Green enters the game for A. Iguodala
6:48.0,A. Davis enters the game for B. Hield,,91-96,,
6:48.0,S. Hill enters the game for T. Jones,,91-96,,
6:31.0,Turnover by E. Moore (bad pass; steal by S. Curry),,91-96,,
6:31.0,Personal foul by E. Moore (drawn by D. Green),,91-96,,
6:31.0,T. Frazier enters the game for L. Galloway,,91-96,,
6:31.0,,,91-96,,I. Clark enters the game for D. West
6:12.0,,,91-96,,I. Clark misses 3-pt shot from 27 ft
6:12.0,,,91-96,,Offensive rebound by S. Curry
6:02.0,,,91-96,,S. Curry misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by A. Davis,,91-96,,
5:48.0,A. Davis misses 2-pt shot from 16 ft,,91-96,,
5:48.0,Offensive rebound by D. Cunningham,,91-96,,
5:43.0,,,91-96,,Personal foul by S. Livingston (drawn by E. Moore)
5:36.0,Turnover by E. Moore (bad pass; steal by K. Thompson),,91-96,,
5:17.0,,,91-98,2,D. Green makes 2-pt shot from 8 ft (assist by S. Curry)
4:59.0,Turnover by A. Davis (lost ball; steal by D. Green),,91-98,,
4:46.0,,,91-100,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
4:45.0,New Orleans full timeout,,91-100,,
4:45.0,B. Hield enters the game for D. Cunningham,,91-100,,
4:31.0,Turnover by E. Moore (bad pass),,91-100,,
4:17.0,,,91-100,,K. Thompson misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by E. Moore,,91-100,,
4:08.0,E. Moore makes 2-pt shot from 12 ft,2,93-100,,
3:51.0,,,93-100,,D. Green misses 2-pt shot from 10 ft
3:51.0,,,93-100,,Offensive rebound by D. Green
3:51.0,,,93-100,,D. Green misses 2-pt shot from 10 ft
3:50.0,Defensive rebound by E. Moore,,93-100,,
3:47.0,B. Hield makes 2-pt shot from 2 ft (assist by E. Moore),2,95-100,,
3:47.0,,,95-100,,Golden State full timeout
3:47.0,,,95-100,,A. Iguodala enters the game for I. Clark
3:47.0,,,95-100,,K. Durant enters the game for S. Livingston
3:43.0,Personal foul by B. Hield (drawn by A. Iguodala),,95-100,,
3:34.0,,,95-103,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:16.0,T. Frazier makes 2-pt shot from 17 ft,2,97-103,,
2:54.0,,,97-106,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
2:32.0,B. Hield misses 2-pt shot from 17 ft,,97-106,,
2:32.0,,,97-106,,Defensive rebound by D. Green
2:23.0,,,97-109,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
2:23.0,New Orleans full timeout,,97-109,,
2:12.0,Turnover by T. Frazier (bad pass; steal by A. Iguodala),,97-109,,
1:54.0,,,97-109,,Turnover by A. Iguodala (bad pass; steal by S. Hill)
1:51.0,,,97-109,,Personal foul by D. Green (drawn by S. Hill)
