time,Charlotte,pts.away,score,pts.home,Portland
10:05.0,Defensive rebound by M. Kidd-Gilchrist,,24-37,,
10:02.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by A. Crabbe),,24-37,,
10:01.0,,,24-37,,Defensive rebound by Team
9:44.0,,,24-37,,M. Leonard misses 2-pt shot from 23 ft
9:44.0,Defensive rebound by M. Kidd-Gilchrist,,24-37,,
9:37.0,Shooting foul by C. McCollum (drawn by R. Sessions),,24-37,,
9:37.0,R. Sessions makes free throw 1 of 2,1,25-37,,
9:37.0,R. Sessions makes free throw 2 of 2,1,26-37,,
9:24.0,,,26-37,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Crabbe)
9:24.0,,,26-38,1,A. Crabbe makes free throw 1 of 3
9:24.0,,,26-39,1,A. Crabbe makes free throw 2 of 3
9:24.0,,,26-40,1,A. Crabbe makes free throw 3 of 3
9:13.0,S. Hawes makes 2-pt shot at rim (assist by M. Belinelli),2,28-40,,
9:01.0,,,28-40,,A. Aminu misses 2-pt shot from 2 ft (block by M. Williams)
9:00.0,Defensive rebound by R. Sessions,,28-40,,
8:53.0,S. Hawes misses 3-pt shot from 25 ft,,28-40,,
8:52.0,,,28-40,,Defensive rebound by A. Crabbe
8:45.0,,,28-42,2,C. McCollum makes 2-pt shot from 2 ft
8:23.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by M. Leonard),,28-42,,
8:20.0,,,28-42,,Defensive rebound by A. Aminu
8:12.0,,,28-42,,M. Leonard misses 2-pt shot from 19 ft
8:08.0,,,28-42,,Offensive rebound by A. Aminu
8:08.0,K. Walker enters the game for M. Belinelli,,28-42,,
7:52.0,,,28-42,,A. Crabbe misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by S. Hawes,,28-42,,
7:39.0,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker),2,30-42,,
7:39.0,Shooting foul by M. Leonard (drawn by M. Williams),,30-42,,
7:39.0,M. Williams makes free throw 1 of 1,1,31-42,,
7:25.0,,,31-42,,A. Aminu misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by S. Hawes,,31-42,,
7:17.0,K. Walker misses 3-pt shot from 25 ft,,31-42,,
7:17.0,,,31-42,,Defensive rebound by Team
6:58.0,,,31-44,2,C. McCollum makes 2-pt shot from 21 ft
6:41.0,S. Hawes misses 2-pt shot from 3 ft,,31-44,,
6:40.0,Offensive rebound by S. Hawes,,31-44,,
6:38.0,S. Hawes misses 2-pt shot from 1 ft,,31-44,,
6:37.0,,,31-44,,Defensive rebound by A. Aminu
6:29.0,,,31-44,,A. Aminu misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by S. Hawes,,31-44,,
6:23.0,S. Hawes makes 2-pt shot from 2 ft (assist by R. Sessions),2,33-44,,
6:22.0,,,33-44,,Technical foul by A. Aminu
6:22.0,,,33-44,,Portland full timeout
6:22.0,K. Walker makes technical free throw,1,34-44,,
6:22.0,F. Kaminsky enters the game for S. Hawes,,33-44,,
6:22.0,N. Batum enters the game for R. Sessions,,33-44,,
6:22.0,,,33-44,,E. Turner enters the game for M. Leonard
6:22.0,,,33-44,,M. Plumlee enters the game for A. Crabbe
6:05.0,,,34-44,,E. Turner misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by M. Williams,,34-44,,
5:56.0,Turnover by K. Walker (lost ball; steal by M. Plumlee),,34-44,,
5:49.0,,,34-44,,Turnover by M. Plumlee (bad pass; steal by K. Walker)
5:39.0,M. Williams makes 2-pt shot at rim (assist by N. Batum),2,36-44,,
5:15.0,,,36-46,2,E. Turner makes 2-pt shot from 13 ft (assist by M. Plumlee)
4:59.0,K. Walker misses 2-pt shot from 2 ft,,36-46,,
4:58.0,,,36-46,,Defensive rebound by A. Aminu
4:49.0,,,36-46,,Turnover by C. McCollum (bad pass)
4:49.0,,,36-46,,D. Lillard enters the game for C. McCollum
4:38.0,Shooting foul by D. Lillard (drawn by N. Batum),,36-46,,
4:38.0,N. Batum makes free throw 1 of 3,1,37-46,,
4:38.0,N. Batum makes free throw 2 of 3,1,38-46,,
4:38.0,N. Batum misses free throw 3 of 3,,38-46,,
4:37.0,,,38-46,,Defensive rebound by A. Aminu
4:19.0,,,38-46,,Turnover by M. Plumlee (lost ball)
4:19.0,,,38-46,,A. Crabbe enters the game for M. Harkless
4:06.0,N. Batum makes 2-pt shot from 20 ft,2,40-46,,
3:39.0,,,40-49,3,A. Aminu makes 3-pt shot from 24 ft (assist by E. Turner)
3:16.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,43-49,,
3:01.0,,,43-49,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Crabbe)
3:01.0,,,43-50,1,A. Crabbe makes free throw 1 of 2
3:01.0,,,43-51,1,A. Crabbe makes free throw 2 of 2
3:01.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,43-50,,
2:50.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,46-51,,
2:31.0,,,46-51,,Offensive foul by A. Aminu
2:31.0,,,46-51,,Turnover by A. Aminu (offensive foul)
2:31.0,Official timeout,,46-51,,
2:17.0,F. Kaminsky makes 2-pt shot from 1 ft,2,48-51,,
2:01.0,,,48-51,,A. Aminu misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by M. Williams,,48-51,,
1:51.0,N. Batum misses 2-pt shot from 12 ft,,48-51,,
1:50.0,,,48-51,,Defensive rebound by A. Aminu
1:35.0,,,48-51,,D. Lillard misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by M. Belinelli,,48-51,,
1:21.0,M. Williams misses 3-pt shot from 26 ft,,48-51,,
1:19.0,,,48-51,,Defensive rebound by A. Crabbe
1:10.0,,,48-54,3,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu)
0:49.0,K. Walker makes 2-pt shot from 19 ft,2,50-54,,
0:32.0,,,50-56,2,D. Lillard makes 2-pt shot from 18 ft
0:07.0,K. Walker misses 2-pt shot from 4 ft,,50-56,,
0:05.0,,,50-56,,Defensive rebound by M. Plumlee
0:00.0,,,50-56,,M. Plumlee misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by M. Williams,,50-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-58,2,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Lillard)
11:14.0,N. Batum misses 2-pt shot from 18 ft,,50-58,,
11:13.0,,,50-58,,Defensive rebound by D. Lillard
11:02.0,,,50-60,2,E. Turner makes 2-pt shot from 16 ft
10:44.0,R. Hibbert misses 2-pt shot from 5 ft,,50-60,,
10:44.0,,,50-60,,Defensive rebound by N. Vonleh
10:31.0,,,50-60,,E. Turner misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by N. Batum,,50-60,,
10:15.0,K. Walker misses 2-pt shot from 19 ft,,50-60,,
10:15.0,,,50-60,,Defensive rebound by N. Vonleh
10:07.0,,,50-60,,Turnover by M. Plumlee (bad pass; steal by K. Walker)
10:00.0,Turnover by N. Batum (lost ball; steal by D. Lillard),,50-60,,
9:52.0,,,50-60,,D. Lillard misses 3-pt shot from 28 ft
9:52.0,Defensive rebound by R. Hibbert,,50-60,,
9:41.0,K. Walker makes 2-pt shot from 18 ft,2,52-60,,
9:22.0,,,52-60,,Turnover by D. Lillard (bad pass)
9:08.0,K. Walker misses 2-pt shot from 10 ft,,52-60,,
9:07.0,Offensive rebound by R. Hibbert,,52-60,,
9:03.0,,,52-60,,Personal foul by N. Vonleh (drawn by M. Williams)
8:48.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,52-60,,
8:47.0,,,52-60,,Defensive rebound by M. Plumlee
8:39.0,,,52-60,,D. Lillard misses 2-pt shot from 20 ft
8:38.0,,,52-60,,Offensive rebound by N. Vonleh
8:36.0,,,52-60,,N. Vonleh misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by K. Walker,,52-60,,
8:27.0,M. Williams misses 3-pt shot from 25 ft,,52-60,,
8:26.0,,,52-60,,Defensive rebound by M. Plumlee
8:13.0,,,52-60,,Shooting foul by R. Hibbert (drawn by M. Plumlee)
8:13.0,,,52-61,1,M. Plumlee makes free throw 1 of 2
8:13.0,,,52-61,,M. Plumlee misses free throw 2 of 2
8:12.0,Defensive rebound by R. Hibbert,,52-61,,
7:54.0,K. Walker misses 2-pt shot from 1 ft,,52-61,,
7:53.0,,,52-61,,Defensive rebound by N. Vonleh
7:42.0,,,52-63,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:21.0,M. Williams misses 3-pt shot from 25 ft,,52-63,,
7:20.0,,,52-63,,Defensive rebound by M. Plumlee
7:09.0,,,52-65,2,C. McCollum makes 2-pt shot from 15 ft
7:09.0,Charlotte full timeout,,52-65,,
7:09.0,F. Kaminsky enters the game for R. Hibbert,,52-65,,
6:54.0,Turnover by N. Batum (lost ball; steal by E. Turner),,52-65,,
6:54.0,Personal foul by F. Kaminsky (drawn by C. McCollum),,52-65,,
6:47.0,,,52-65,,Turnover by N. Vonleh (offensive foul)
6:47.0,,,52-65,,Offensive foul by N. Vonleh
6:33.0,Turnover by K. Walker (lost ball; steal by M. Plumlee),,52-65,,
6:26.0,,,52-65,,Shooting foul by M. Williams (drawn by M. Plumlee)
6:26.0,,,52-66,1,M. Plumlee makes free throw 1 of 2
6:26.0,,,52-67,1,M. Plumlee makes free throw 2 of 2
6:12.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,55-67,,
5:55.0,,,55-69,2,C. McCollum makes 2-pt shot from 17 ft
5:41.0,N. Batum misses 3-pt shot from 25 ft,,55-69,,
5:40.0,,,55-69,,Defensive rebound by N. Vonleh
5:33.0,,,55-69,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Lillard)
5:33.0,,,55-70,1,D. Lillard makes free throw 1 of 2
5:33.0,,,55-71,1,D. Lillard makes free throw 2 of 2
5:33.0,,,55-70,,A. Crabbe enters the game for C. McCollum
5:33.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,55-70,,
5:20.0,Shooting foul by N. Vonleh (drawn by M. Williams),,55-71,,
5:20.0,M. Williams makes free throw 1 of 2,1,56-71,,
5:20.0,M. Williams makes free throw 2 of 2,1,57-71,,
5:04.0,,,57-71,,D. Lillard misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by N. Batum,,57-71,,
4:55.0,,,57-71,,Personal foul by E. Turner (drawn by M. Williams)
4:55.0,,,57-71,,Technical foul by E. Turner (drawn by M. Williams)
4:55.0,N. Batum misses technical free throw,,57-71,,
4:55.0,Offensive rebound by Team,,57-71,,
4:47.0,M. Belinelli makes 2-pt shot from 1 ft (assist by N. Batum),2,59-71,,
4:38.0,,,59-73,2,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee)
4:25.0,F. Kaminsky misses 3-pt shot from 24 ft,,59-73,,
4:25.0,Offensive rebound by Team,,59-73,,
4:25.0,,,59-73,,Loose ball foul by N. Vonleh (drawn by M. Williams)
4:25.0,,,59-73,,M. Harkless enters the game for E. Turner
4:25.0,,,59-73,,A. Aminu enters the game for N. Vonleh
4:06.0,K. Walker misses 3-pt shot from 25 ft,,59-73,,
4:04.0,,,59-73,,Defensive rebound by M. Plumlee
3:53.0,,,59-73,,A. Aminu misses 3-pt shot from 25 ft
3:51.0,,,59-73,,Offensive rebound by M. Plumlee
3:39.0,,,59-75,2,D. Lillard makes 2-pt shot from 1 ft
3:21.0,Shooting foul by D. Lillard (drawn by F. Kaminsky),,59-75,,
3:21.0,F. Kaminsky misses free throw 1 of 2,,59-75,,
3:21.0,Offensive rebound by Team,,59-75,,
3:21.0,F. Kaminsky makes free throw 2 of 2,1,60-75,,
3:21.0,R. Hibbert enters the game for M. Williams,,59-75,,
3:21.0,,,59-75,,M. Leonard enters the game for M. Plumlee
3:08.0,,,60-78,3,D. Lillard makes 3-pt shot from 25 ft
3:07.0,Charlotte full timeout,,60-78,,
3:07.0,M. Kidd-Gilchrist enters the game for R. Hibbert,,60-78,,
2:47.0,M. Belinelli misses 2-pt shot from 19 ft,,60-78,,
2:47.0,Offensive rebound by Team,,60-78,,
2:47.0,,,60-78,,Loose ball foul by M. Leonard (drawn by M. Kidd-Gilchrist)
2:47.0,,,60-78,,Portland full timeout
2:47.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,61-78,,
2:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,62-78,,
2:47.0,,,60-78,,C. McCollum enters the game for D. Lillard
2:34.0,,,62-80,2,M. Harkless makes 2-pt shot from 2 ft
2:08.0,Turnover by F. Kaminsky (lost ball),,62-80,,
2:08.0,Loose ball foul by M. Kidd-Gilchrist (drawn by M. Leonard),,62-80,,
2:08.0,,,62-81,1,M. Leonard makes free throw 1 of 2
2:08.0,,,62-82,1,M. Leonard makes free throw 2 of 2
1:46.0,F. Kaminsky misses 2-pt shot from 2 ft,,62-82,,
1:45.0,,,62-82,,Defensive rebound by A. Aminu
1:31.0,,,62-82,,M. Harkless misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by M. Kidd-Gilchrist,,62-82,,
1:18.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,65-82,,
0:53.0,,,65-82,,Shooting foul by M. Kidd-Gilchrist (drawn by C. McCollum)
0:53.0,,,65-83,1,C. McCollum makes free throw 1 of 2
0:53.0,,,65-84,1,C. McCollum makes free throw 2 of 2
0:53.0,M. Williams enters the game for M. Kidd-Gilchrist,,65-83,,
0:42.0,K. Walker makes 3-pt shot from 24 ft,3,68-84,,
0:26.0,,,68-86,2,A. Aminu makes 2-pt shot from 3 ft
0:02.0,M. Williams misses 3-pt shot from 26 ft,,68-86,,
0:02.0,Offensive rebound by Team,,68-86,,
0:02.0,Turnover by Team (shot clock),,68-86,,
0:01.0,,,68-86,,Turnover by A. Aminu (lost ball; steal by F. Kaminsky)
0:00.0,F. Kaminsky misses 3-pt shot from 51 ft,,68-86,,
0:00.0,Offensive rebound by Team,,68-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,F. Kaminsky makes 2-pt shot from 10 ft (assist by N. Batum),2,70-86,,
11:26.0,,,70-88,2,M. Leonard makes 2-pt shot from 17 ft (assist by C. McCollum)
11:12.0,N. Batum misses 3-pt shot from 25 ft,,70-88,,
11:11.0,,,70-88,,Defensive rebound by M. Leonard
11:01.0,,,70-88,,C. McCollum misses 2-pt shot from 12 ft
11:01.0,Defensive rebound by N. Batum,,70-88,,
10:52.0,Turnover by N. Batum (bad pass; steal by C. McCollum),,70-88,,
10:48.0,,,70-90,2,C. McCollum makes 2-pt shot at rim
10:30.0,F. Kaminsky makes 2-pt shot from 14 ft,2,72-90,,
10:15.0,,,72-90,,M. Leonard misses 2-pt shot from 3 ft
10:11.0,,,72-90,,Offensive rebound by M. Harkless
10:11.0,,,72-90,,M. Harkless misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by N. Batum,,72-90,,
10:05.0,Turnover by R. Sessions (lost ball; steal by A. Aminu),,72-90,,
10:01.0,,,72-92,2,A. Crabbe makes 2-pt shot from 1 ft (assist by A. Aminu)
9:42.0,Turnover by R. Sessions (lost ball; steal by C. McCollum),,72-92,,
9:38.0,,,72-94,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
9:37.0,Charlotte full timeout,,72-94,,
9:26.0,M. Belinelli misses 2-pt shot from 4 ft,,72-94,,
9:25.0,,,72-94,,Defensive rebound by A. Crabbe
9:12.0,,,72-94,,A. Crabbe misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by M. Williams,,72-94,,
9:00.0,M. Belinelli makes 2-pt shot from 22 ft (assist by N. Batum),2,74-94,,
8:39.0,,,74-94,,C. McCollum misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by N. Batum,,74-94,,
8:30.0,Shooting foul by M. Leonard (drawn by R. Sessions),,74-94,,
8:30.0,R. Sessions makes free throw 1 of 2,1,75-94,,
8:30.0,R. Sessions makes free throw 2 of 2,1,76-94,,
8:30.0,K. Walker enters the game for N. Batum,,75-94,,
8:30.0,,,75-94,,D. Lillard enters the game for C. McCollum
8:19.0,,,76-96,2,M. Leonard makes 2-pt shot from 19 ft (assist by A. Aminu)
8:00.0,K. Walker makes 2-pt shot from 15 ft,2,78-96,,
7:43.0,,,78-98,2,D. Lillard makes 2-pt shot from 1 ft
7:26.0,F. Kaminsky makes 2-pt shot from 2 ft,2,80-98,,
7:26.0,Shooting foul by M. Leonard (drawn by F. Kaminsky),,80-98,,
7:26.0,F. Kaminsky makes free throw 1 of 1,1,81-98,,
7:16.0,,,81-100,2,M. Harkless makes 2-pt shot from 6 ft (assist by D. Lillard)
7:03.0,F. Kaminsky misses 3-pt shot from 24 ft,,81-100,,
7:02.0,,,81-100,,Defensive rebound by Team
6:48.0,,,81-100,,A. Crabbe misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by M. Williams,,81-100,,
6:42.0,Shooting foul by D. Lillard (drawn by K. Walker),,81-100,,
6:42.0,K. Walker makes free throw 1 of 2,1,82-100,,
6:42.0,K. Walker makes free throw 2 of 2,1,83-100,,
6:29.0,,,83-102,2,M. Harkless makes 2-pt shot from 9 ft
6:25.0,Charlotte full timeout,,83-102,,
6:25.0,S. Hawes enters the game for M. Williams,,83-102,,
6:25.0,B. Roberts enters the game for K. Walker,,83-102,,
6:25.0,C. Wood enters the game for M. Belinelli,,83-102,,
6:25.0,T. Graham enters the game for F. Kaminsky,,83-102,,
6:25.0,J. Lamb enters the game for R. Sessions,,83-102,,
6:05.0,S. Hawes misses 3-pt shot from 25 ft,,83-102,,
6:03.0,Offensive rebound by T. Graham,,83-102,,
5:58.0,C. Wood misses 3-pt shot from 23 ft,,83-102,,
5:56.0,,,83-102,,Defensive rebound by M. Harkless
5:43.0,,,83-102,,M. Leonard misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by C. Wood,,83-102,,
5:27.0,B. Roberts misses 2-pt shot from 13 ft,,83-102,,
5:26.0,,,83-102,,Defensive rebound by M. Leonard
5:09.0,,,83-102,,M. Leonard misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by J. Lamb,,83-102,,
5:00.0,J. Lamb misses 3-pt shot from 26 ft,,83-102,,
4:59.0,,,83-102,,Defensive rebound by A. Crabbe
4:37.0,,,83-105,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Leonard)
4:22.0,J. Lamb misses 2-pt shot from 15 ft,,83-105,,
4:21.0,,,83-105,,Defensive rebound by D. Lillard
