time,Brooklyn,pts.away,score,pts.home,LA Clippers
4:09.0,,,7-31,1,J. Redick makes free throw 3 of 3
4:09.0,R. Foye enters the game for S. Kilpatrick,,7-30,,
4:09.0,T. Booker enters the game for A. Bennett,,7-30,,
3:58.0,Turnover by L. Scola (bad pass; steal by C. Paul),,7-31,,
3:52.0,,,7-33,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:37.0,J. Harris misses 2-pt shot from 2 ft (block by D. Jordan),,7-33,,
3:36.0,,,7-33,,Defensive rebound by B. Griffin
3:30.0,,,7-33,,C. Paul misses 2-pt shot from 17 ft
3:28.0,Defensive rebound by T. Booker,,7-33,,
3:23.0,Turnover by T. Booker (lost ball; steal by L. Mbah a Moute),,7-33,,
3:03.0,,,7-35,2,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul)
2:44.0,T. Booker misses 2-pt shot from 19 ft,,7-35,,
2:44.0,,,7-35,,Defensive rebound by D. Jordan
2:20.0,,,7-35,,B. Griffin misses 2-pt shot from 19 ft
2:20.0,Defensive rebound by R. Foye,,7-35,,
2:19.0,,,7-35,,Personal take foul by C. Paul (drawn by R. Foye)
2:19.0,,,7-35,,A. Rivers enters the game for C. Paul
2:19.0,,,7-35,,J. Crawford enters the game for J. Redick
2:19.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,7-35,,
2:19.0,,,7-35,,B. Bass enters the game for B. Griffin
2:04.0,J. Harris makes 2-pt shot from 2 ft (assist by L. Scola),2,9-35,,
1:38.0,,,9-35,,J. Crawford misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by B. Bogdanovic,,9-35,,
1:26.0,L. Scola misses 3-pt shot from 24 ft,,9-35,,
1:26.0,,,9-35,,Defensive rebound by D. Jordan
1:13.0,,,9-37,2,L. Mbah a Moute makes 2-pt shot from 20 ft
1:01.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,11-37,,
1:01.0,Shooting foul by A. Rivers (drawn by B. Bogdanovic),,11-37,,
1:01.0,B. Bogdanovic makes free throw 1 of 1,1,12-37,,
1:01.0,,,11-37,,R. Felton enters the game for L. Mbah a Moute
1:01.0,,,11-37,,M. Speights enters the game for D. Jordan
0:50.0,,,12-37,,J. Crawford misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by T. Booker,,12-37,,
0:34.0,R. Foye misses 3-pt shot from 26 ft,,12-37,,
0:33.0,,,12-37,,Defensive rebound by M. Speights
0:30.0,,,12-37,,Turnover by M. Speights (bad pass; steal by T. Booker)
0:27.0,T. Booker makes 2-pt shot from 2 ft,2,14-37,,
0:08.0,,,14-39,2,A. Rivers makes 2-pt shot from 7 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Hamilton misses 2-pt shot from 8 ft,,14-39,,
11:44.0,,,14-39,,Defensive rebound by M. Speights
11:28.0,,,14-42,3,R. Felton makes 3-pt shot from 25 ft (assist by J. Crawford)
11:12.0,A. Bennett misses 3-pt shot from 24 ft,,14-42,,
11:12.0,Offensive rebound by Team,,14-42,,
11:12.0,,,14-42,,Loose ball foul by R. Felton (drawn by J. Hamilton)
11:03.0,B. Bogdanovic misses 3-pt shot from 24 ft,,14-42,,
11:02.0,,,14-42,,Defensive rebound by M. Speights
10:54.0,,,14-42,,M. Speights misses 2-pt shot from 3 ft
10:53.0,Defensive rebound by A. Bennett,,14-42,,
10:41.0,A. Bennett misses 2-pt shot from 1 ft (block by M. Speights),,14-42,,
10:41.0,Offensive rebound by J. Hamilton,,14-42,,
10:41.0,,,14-42,,Personal foul by A. Rivers (drawn by J. Hamilton)
10:41.0,Technical foul by Team,,14-42,,
10:41.0,,,14-43,1,J. Crawford makes technical free throw
10:25.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by R. Foye),3,17-43,,
10:12.0,,,17-43,,A. Rivers misses 2-pt shot from 20 ft
10:12.0,Jump ball: A. Bennett vs. M. Speights (R. Foye gains possession),,,,Jump ball: A. Bennett vs. M. Speights (R. Foye gains possession)
10:12.0,Offensive rebound by Team,,17-43,,
9:59.0,A. Bennett misses 3-pt shot from 24 ft,,17-43,,
9:58.0,,,17-43,,Defensive rebound by B. Bass
9:37.0,,,17-46,3,R. Felton makes 3-pt shot from 29 ft (assist by A. Rivers)
9:25.0,Turnover by A. Bennett (lost ball; steal by M. Speights),,17-46,,
9:15.0,,,17-46,,M. Speights misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by Y. Ferrell,,17-46,,
9:07.0,,,17-46,,Personal foul by R. Felton (drawn by Y. Ferrell)
8:59.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,20-46,,
8:44.0,,,20-49,3,J. Crawford makes 3-pt shot from 25 ft
8:29.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,22-49,,
8:11.0,,,22-51,2,B. Bass makes 2-pt shot from 14 ft (assist by J. Crawford)
7:57.0,Y. Ferrell misses 2-pt shot from 19 ft,,22-51,,
7:56.0,Offensive rebound by A. Bennett,,22-51,,
7:52.0,A. Bennett makes 2-pt shot from 2 ft,2,24-51,,
7:41.0,,,24-51,,J. Crawford misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by A. Bennett,,24-51,,
7:24.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,26-51,,
7:05.0,,,26-51,,A. Rivers misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by A. Bennett,,26-51,,
6:56.0,Shooting foul by R. Felton (drawn by A. Bennett),,26-51,,
6:56.0,Official timeout,,26-51,,
6:56.0,Violation by Team (jump ball),,26-51,,
6:56.0,A. Bennett makes free throw 1 of 2,1,27-51,,
6:56.0,A. Bennett makes free throw 2 of 2,1,28-51,,
6:56.0,,,26-51,,C. Paul enters the game for B. Bass
6:56.0,,,26-51,,B. Griffin enters the game for R. Felton
6:43.0,,,28-51,,J. Crawford misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by J. Hamilton,,28-51,,
6:36.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by R. Foye),2,30-51,,
6:10.0,,,30-51,,M. Speights misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by A. Bennett,,30-51,,
6:01.0,Y. Ferrell makes 2-pt shot from 2 ft,2,32-51,,
5:35.0,,,32-54,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Crawford)
5:21.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,34-54,,
5:07.0,,,34-56,2,J. Crawford makes 2-pt shot from 2 ft (assist by B. Griffin)
4:50.0,R. Foye makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,37-56,,
4:50.0,,,37-56,,LA Clippers full timeout
4:50.0,,,37-56,,D. Jordan enters the game for M. Speights
4:50.0,,,37-56,,L. Mbah a Moute enters the game for J. Crawford
4:50.0,,,37-56,,J. Redick enters the game for A. Rivers
4:50.0,T. Booker enters the game for B. Bogdanovic,,37-56,,
4:50.0,J. Harris enters the game for A. Bennett,,37-56,,
4:32.0,,,37-58,2,B. Griffin makes 2-pt shot from 3 ft (assist by J. Redick)
4:11.0,Y. Ferrell makes 2-pt shot from 18 ft (assist by R. Foye),2,39-58,,
3:54.0,,,39-58,,Turnover by D. Jordan (bad pass)
3:54.0,R. Hollis-Jefferson enters the game for R. Foye,,39-58,,
3:38.0,Y. Ferrell misses 3-pt shot from 24 ft,,39-58,,
3:38.0,,,39-58,,Defensive rebound by D. Jordan
3:29.0,,,39-58,,D. Jordan misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by T. Booker,,39-58,,
3:22.0,J. Harris misses 3-pt shot from 25 ft,,39-58,,
3:20.0,,,39-58,,Defensive rebound by J. Redick
3:13.0,,,39-60,2,J. Redick makes 2-pt shot from 1 ft
3:13.0,,,39-60,,Shooting foul by J. Harris (drawn by J. Redick)
3:13.0,,,39-61,1,J. Redick makes free throw 1 of 1
3:13.0,S. Kilpatrick enters the game for Y. Ferrell,,39-60,,
2:58.0,J. Hamilton makes 3-pt shot from 23 ft (assist by J. Harris),3,42-61,,
2:45.0,,,42-63,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
2:40.0,,,42-63,,Personal foul by C. Paul (drawn by R. Hollis-Jefferson)
2:40.0,Brooklyn full timeout,,42-63,,
2:40.0,R. Hollis-Jefferson makes free throw 1 of 2,1,43-63,,
2:40.0,R. Hollis-Jefferson makes free throw 2 of 2,1,44-63,,
2:40.0,L. Scola enters the game for J. Hamilton,,42-63,,
2:29.0,Personal foul by T. Booker (drawn by B. Griffin),,44-63,,
2:23.0,,,44-63,,Shooting foul by L. Scola (drawn by B. Griffin)
2:23.0,,,44-64,1,B. Griffin makes free throw 1 of 2
2:23.0,,,44-64,,B. Griffin misses free throw 2 of 2
2:22.0,Defensive rebound by L. Scola,,44-64,,
2:13.0,Turnover by S. Kilpatrick (bad pass; steal by B. Griffin),,44-64,,
1:55.0,,,44-66,2,C. Paul makes 2-pt shot from 1 ft (assist by B. Griffin)
1:47.0,Turnover by S. Kilpatrick (lost ball),,44-66,,
1:40.0,,,44-66,,Turnover by C. Paul (bad pass; steal by S. Kilpatrick)
1:36.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by T. Booker),2,46-66,,
1:36.0,Shooting foul by B. Griffin (drawn by S. Kilpatrick),,46-66,,
1:36.0,S. Kilpatrick makes free throw 1 of 1,1,47-66,,
1:17.0,,,47-66,,J. Redick misses 2-pt shot from 16 ft
1:15.0,,,47-66,,Offensive rebound by D. Jordan
1:12.0,,,47-66,,D. Jordan misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by S. Kilpatrick,,47-66,,
1:10.0,Turnover by S. Kilpatrick (lost ball; steal by J. Redick),,47-66,,
0:53.0,Personal foul by R. Hollis-Jefferson (drawn by C. Paul),,47-66,,
0:44.0,,,47-68,2,C. Paul makes 2-pt shot from 17 ft
0:35.0,Turnover by T. Booker (bad pass; steal by C. Paul),,47-68,,
0:32.0,,,47-70,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
0:32.0,Technical foul by T. Booker,,47-70,,
0:32.0,,,47-71,1,C. Paul makes technical free throw
0:17.0,S. Kilpatrick misses 2-pt shot from 22 ft,,47-71,,
0:16.0,,,47-71,,Defensive rebound by C. Paul
0:03.0,,,47-71,,J. Redick misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by R. Hollis-Jefferson,,47-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by S. Kilpatrick (bad pass; steal by D. Jordan),,47-71,,
11:34.0,,,47-71,,J. Redick misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by Team,,47-71,,
11:17.0,R. Hollis-Jefferson makes 2-pt shot from 16 ft,2,49-71,,
10:53.0,,,49-73,2,J. Redick makes 2-pt shot from 22 ft
10:40.0,S. Kilpatrick misses 2-pt shot from 8 ft,,49-73,,
10:36.0,Offensive rebound by S. Kilpatrick,,49-73,,
10:36.0,S. Kilpatrick misses 2-pt shot from 1 ft,,49-73,,
10:35.0,,,49-73,,Defensive rebound by D. Jordan
10:24.0,,,49-73,,Shooting foul by R. Hollis-Jefferson (drawn by D. Jordan)
10:24.0,,,49-74,1,D. Jordan makes free throw 1 of 2
10:24.0,,,49-74,,D. Jordan misses free throw 2 of 2
10:23.0,Defensive rebound by J. Hamilton,,49-74,,
10:09.0,J. Hamilton misses 3-pt shot from 24 ft,,49-74,,
10:08.0,,,49-74,,Defensive rebound by L. Mbah a Moute
9:59.0,,,49-74,,B. Griffin misses 2-pt shot from 2 ft
9:58.0,,,49-74,,Offensive rebound by D. Jordan
9:54.0,,,49-74,,D. Jordan misses 2-pt shot from 5 ft
9:53.0,Defensive rebound by S. Kilpatrick,,49-74,,
9:37.0,S. Kilpatrick misses 3-pt shot from 23 ft,,49-74,,
9:37.0,,,49-74,,Defensive rebound by D. Jordan
9:19.0,,,49-77,3,C. Paul makes 3-pt shot from 25 ft
9:04.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,52-77,,
8:54.0,Personal foul by B. Bogdanovic (drawn by J. Redick),,52-77,,
8:54.0,Y. Ferrell enters the game for S. Kilpatrick,,52-77,,
8:52.0,,,52-77,,Turnover by J. Redick (bad pass; steal by T. Booker)
8:37.0,Turnover by J. Hamilton (lost ball; steal by B. Griffin),,52-77,,
8:31.0,,,52-80,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
8:14.0,B. Bogdanovic makes 2-pt shot from 18 ft (assist by R. Hollis-Jefferson),2,54-80,,
7:52.0,,,54-82,2,C. Paul makes 2-pt shot from 16 ft
7:36.0,J. Hamilton misses 3-pt shot from 26 ft,,54-82,,
7:35.0,,,54-82,,Defensive rebound by B. Griffin
7:13.0,,,54-82,,J. Redick misses 2-pt shot from 18 ft
7:11.0,,,54-82,,Offensive rebound by D. Jordan
7:09.0,,,54-82,,LA Clippers full timeout
7:09.0,A. Bennett enters the game for T. Booker,,54-82,,
7:08.0,,,54-82,,Turnover by B. Griffin (traveling)
7:00.0,Turnover by Y. Ferrell (bad pass; steal by C. Paul),,54-82,,
6:49.0,,,54-84,2,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin)
6:37.0,,,54-84,,Personal foul by L. Mbah a Moute (drawn by R. Hollis-Jefferson)
6:26.0,,,54-84,,Personal foul by B. Griffin (drawn by R. Hollis-Jefferson)
6:20.0,,,54-84,,Personal foul by J. Redick (drawn by B. Bogdanovic)
6:05.0,B. Bogdanovic makes 2-pt shot from 13 ft (assist by Y. Ferrell),2,56-84,,
5:45.0,,,56-86,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by J. Redick)
5:27.0,,,56-86,,Personal foul by J. Redick (drawn by B. Bogdanovic)
5:27.0,J. Harris enters the game for B. Bogdanovic,,56-86,,
5:19.0,J. Hamilton misses 3-pt shot from 25 ft,,56-86,,
5:19.0,,,56-86,,Defensive rebound by D. Jordan
5:14.0,,,56-86,,Turnover by D. Jordan (bad pass; steal by J. Harris)
5:08.0,J. Harris makes 3-pt shot from 25 ft,3,59-86,,
4:50.0,,,59-88,2,L. Mbah a Moute makes 2-pt shot from 1 ft
4:50.0,,,59-88,,Shooting foul by R. Hollis-Jefferson (drawn by L. Mbah a Moute)
4:50.0,,,59-89,1,L. Mbah a Moute makes free throw 1 of 1
4:38.0,Offensive charge foul by R. Hollis-Jefferson,,59-89,,
4:38.0,Turnover by R. Hollis-Jefferson (offensive foul),,59-89,,
4:38.0,R. Foye enters the game for R. Hollis-Jefferson,,59-89,,
4:19.0,,,59-91,2,B. Griffin makes 2-pt shot at rim (assist by J. Redick)
3:54.0,J. Harris misses 3-pt shot from 24 ft,,59-91,,
3:54.0,,,59-91,,Defensive rebound by C. Paul
3:47.0,,,59-91,,C. Paul misses 3-pt shot from 24 ft
3:46.0,,,59-91,,Offensive rebound by D. Jordan
3:32.0,,,59-93,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:32.0,Brooklyn full timeout,,59-93,,
3:32.0,,,59-93,,R. Felton enters the game for L. Mbah a Moute
3:32.0,,,59-93,,J. Crawford enters the game for J. Redick
3:32.0,,,59-93,,A. Rivers enters the game for C. Paul
3:32.0,T. Booker enters the game for J. Hamilton,,59-93,,
3:32.0,L. Scola enters the game for A. Bennett,,59-93,,
3:15.0,R. Foye misses 3-pt shot from 24 ft,,59-93,,
3:14.0,,,59-93,,Defensive rebound by D. Jordan
2:57.0,,,59-93,,B. Griffin misses 2-pt shot from 8 ft
2:57.0,,,59-93,,Offensive rebound by Team
2:57.0,Personal foul by T. Booker (drawn by D. Jordan),,59-93,,
2:57.0,,,59-93,,B. Bass enters the game for B. Griffin
2:57.0,,,59-93,,M. Speights enters the game for D. Jordan
2:54.0,,,59-93,,Shooting foul by J. Harris (drawn by A. Rivers)
2:54.0,,,59-93,,A. Rivers misses free throw 1 of 2
2:54.0,,,59-93,,Offensive rebound by Team
2:54.0,,,59-94,1,A. Rivers makes free throw 2 of 2
2:38.0,Shooting foul by A. Rivers (drawn by T. Booker),,59-94,,
2:38.0,T. Booker makes free throw 1 of 2,1,60-94,,
2:38.0,T. Booker makes free throw 2 of 2,1,61-94,,
2:22.0,,,61-94,,R. Felton misses 2-pt shot from 11 ft
2:21.0,Defensive rebound by L. Scola,,61-94,,
2:17.0,Turnover by Y. Ferrell (lost ball; steal by J. Crawford),,61-94,,
2:01.0,,,61-94,,J. Crawford misses 3-pt shot from 24 ft
2:01.0,,,61-94,,Offensive rebound by Team
1:58.0,Personal foul by R. Foye (drawn by J. Crawford),,61-94,,
1:58.0,,,61-95,1,J. Crawford makes free throw 1 of 2
1:58.0,,,61-96,1,J. Crawford makes free throw 2 of 2
1:48.0,Y. Ferrell makes 2-pt shot from 17 ft,2,63-96,,
1:21.0,,,63-98,2,J. Crawford makes 2-pt shot from 20 ft
1:09.0,Y. Ferrell misses 2-pt shot from 10 ft,,63-98,,
1:08.0,Offensive rebound by J. Harris,,63-98,,
1:08.0,J. Harris makes 2-pt shot from 1 ft,2,65-98,,
0:50.0,,,65-98,,B. Bass misses 2-pt shot from 12 ft
0:49.0,Defensive rebound by R. Foye,,65-98,,
0:40.0,Turnover by R. Foye (bad pass; steal by R. Felton),,65-98,,
0:28.0,,,65-98,,A. Rivers misses 3-pt shot from 26 ft
0:28.0,,,65-98,,Offensive rebound by M. Speights
0:27.0,,,65-98,,Shooting foul by J. Harris (drawn by M. Speights)
0:27.0,,,65-98,,M. Speights misses free throw 1 of 2
0:27.0,,,65-98,,Offensive rebound by Team
0:27.0,,,65-99,1,M. Speights makes free throw 2 of 2
0:03.0,Y. Ferrell misses 3-pt shot from 24 ft,,65-99,,
0:01.0,,,65-99,,Defensive rebound by B. Bass
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-99,,A. Rivers misses 2-pt shot from 5 ft (block by C. McCullough)
11:44.0,Defensive rebound by A. Bennett,,65-99,,
11:30.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by M. Speights),,65-99,,
11:30.0,Offensive rebound by S. Kilpatrick,,65-99,,
11:30.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,67-99,,
11:30.0,Shooting foul by R. Felton (drawn by S. Kilpatrick),,67-99,,
11:30.0,S. Kilpatrick makes free throw 1 of 1,1,68-99,,
11:14.0,,,68-102,3,M. Speights makes 3-pt shot from 24 ft (assist by J. Crawford)
10:54.0,C. McCullough misses 2-pt shot from 1 ft (block by M. Speights),,68-102,,
10:52.0,,,68-102,,Defensive rebound by B. Bass
10:40.0,,,68-102,,M. Speights misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by Team,,68-102,,
10:30.0,B. Bogdanovic misses 2-pt shot from 13 ft (block by B. Bass),,68-102,,
10:30.0,Offensive rebound by Team,,68-102,,
10:19.0,S. Kilpatrick misses 3-pt shot from 25 ft,,68-102,,
10:19.0,Offensive rebound by Team,,68-102,,
10:13.0,Turnover by R. Foye (bad pass; steal by M. Speights),,68-102,,
10:02.0,,,68-102,,M. Speights misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by R. Foye,,68-102,,
9:53.0,C. McCullough makes 3-pt shot from 25 ft (assist by R. Foye),3,71-102,,
9:41.0,Violation by A. Bennett (kicked ball),,71-102,,
9:34.0,,,71-102,,Turnover by J. Crawford (bad pass; steal by B. Bogdanovic)
9:28.0,S. Kilpatrick misses 2-pt shot from 1 ft,,71-102,,
9:26.0,,,71-102,,Defensive rebound by A. Rivers
9:19.0,,,71-104,2,M. Speights makes 2-pt shot at rim (assist by R. Felton)
9:19.0,Brooklyn full timeout,,71-104,,
9:11.0,Turnover by B. Bogdanovic (bad pass; steal by R. Felton),,71-104,,
8:54.0,,,71-106,2,R. Felton makes 2-pt shot from 1 ft
8:43.0,Turnover by B. Bogdanovic (bad pass),,71-106,,
8:25.0,,,71-109,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers)
8:13.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by C. McCullough),2,73-109,,
7:57.0,,,73-112,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers)
7:57.0,,,73-112,,Shooting foul by R. Foye (drawn by J. Crawford)
7:57.0,,,73-113,1,J. Crawford makes free throw 1 of 1
7:57.0,,,73-112,,D. Stone enters the game for M. Speights
7:57.0,Y. Ferrell enters the game for S. Kilpatrick,,73-112,,
7:57.0,J. Harris enters the game for B. Bogdanovic,,73-112,,
7:37.0,A. Bennett makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,76-113,,
7:21.0,,,76-113,,A. Rivers misses 2-pt shot from 2 ft
7:17.0,,,76-113,,Offensive rebound by D. Stone
7:17.0,,,76-113,,D. Stone misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by J. Harris,,76-113,,
7:11.0,Y. Ferrell misses 3-pt shot from 24 ft,,76-113,,
7:11.0,Offensive rebound by C. McCullough,,76-113,,
7:07.0,C. McCullough makes 2-pt shot from 2 ft,2,78-113,,
6:52.0,Personal foul by R. Foye (drawn by R. Felton),,78-113,,
6:45.0,,,78-115,2,B. Bass makes 2-pt shot at rim (assist by A. Rivers)
6:37.0,Shooting foul by D. Stone (drawn by Y. Ferrell),,78-115,,
6:37.0,Y. Ferrell makes free throw 1 of 2,1,79-115,,
6:37.0,Y. Ferrell misses free throw 2 of 2,,79-115,,
6:36.0,,,79-115,,Defensive rebound by D. Stone
6:25.0,Personal foul by C. McCullough (drawn by A. Rivers),,79-115,,
6:11.0,,,79-115,,R. Felton misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by A. Bennett,,79-115,,
6:06.0,Shooting foul by A. Rivers (drawn by R. Foye),,79-115,,
6:06.0,R. Foye makes free throw 1 of 2,1,80-115,,
6:06.0,R. Foye makes free throw 2 of 2,1,81-115,,
5:52.0,,,81-115,,Turnover by R. Felton (bad pass; steal by J. Harris)
5:46.0,C. McCullough makes 2-pt shot from 15 ft (assist by J. Harris),2,83-115,,
5:32.0,,,83-115,,Turnover by A. Rivers (bad pass)
5:32.0,Official timeout,,83-115,,
5:20.0,Shooting foul by D. Stone (drawn by J. Harris),,83-115,,
5:20.0,J. Harris misses free throw 1 of 2,,83-115,,
5:20.0,Offensive rebound by Team,,83-115,,
5:20.0,J. Harris makes free throw 2 of 2,1,84-115,,
5:05.0,,,84-115,,B. Bass misses 2-pt shot from 16 ft
5:05.0,Defensive rebound by R. Foye,,84-115,,
