time,Portland,pts.away,score,pts.home,New York
5:17.0,Offensive rebound by E. Davis,,19-14,,
5:17.0,E. Davis makes 2-pt shot from 1 ft,2,21-14,,
5:05.0,,,21-14,,Shooting foul by E. Davis (drawn by D. Rose)
5:05.0,,,21-15,1,D. Rose makes free throw 1 of 2
5:05.0,,,21-16,1,D. Rose makes free throw 2 of 2
5:05.0,,,21-15,,W. Hernangomez enters the game for K. Porzingis
4:49.0,D. Lillard misses 2-pt shot from 4 ft,,21-16,,
4:48.0,,,21-16,,Defensive rebound by Team
4:48.0,M. Leonard enters the game for M. Plumlee,,21-16,,
4:32.0,,,21-16,,C. Anthony misses 2-pt shot from 7 ft
4:30.0,Defensive rebound by M. Harkless,,21-16,,
4:20.0,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard),2,23-16,,
3:57.0,,,23-16,,C. Lee misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by D. Lillard,,23-16,,
3:51.0,,,23-16,,Personal foul by D. Rose (drawn by D. Lillard)
3:51.0,,,23-16,,J. Holiday enters the game for C. Lee
3:42.0,M. Harkless misses 2-pt shot from 22 ft,,23-16,,
3:41.0,,,23-16,,Defensive rebound by Team
3:35.0,,,23-16,,Turnover by W. Hernangomez (bad pass; steal by M. Harkless)
3:31.0,M. Harkless makes 2-pt shot at rim,2,25-16,,
3:07.0,,,25-18,2,C. Anthony makes 2-pt shot from 5 ft
2:56.0,D. Lillard misses 2-pt shot from 9 ft,,25-18,,
2:55.0,,,25-18,,Defensive rebound by Team
2:55.0,Portland full timeout,,25-18,,
2:55.0,E. Turner enters the game for M. Harkless,,25-18,,
2:55.0,C. McCollum enters the game for D. Lillard,,25-18,,
2:55.0,,,25-18,,M. Ndour enters the game for K. O'Quinn
2:38.0,,,25-20,2,D. Rose makes 2-pt shot from 2 ft
2:26.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,28-20,,
2:15.0,Personal foul by M. Leonard (drawn by C. Anthony),,28-20,,
2:15.0,,,28-20,,B. Jennings enters the game for D. Rose
2:10.0,,,28-23,3,C. Anthony makes 3-pt shot from 24 ft (assist by B. Jennings)
1:55.0,C. McCollum misses 2-pt shot from 2 ft,,28-23,,
1:54.0,,,28-23,,Defensive rebound by J. Holiday
1:48.0,,,28-23,,M. Ndour misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by C. McCollum,,28-23,,
1:29.0,M. Leonard misses 3-pt shot from 25 ft,,28-23,,
1:28.0,,,28-23,,Defensive rebound by J. Holiday
1:23.0,,,28-23,,Shooting foul by M. Leonard (drawn by M. Ndour)
1:23.0,,,28-24,1,M. Ndour makes free throw 1 of 2
1:23.0,,,28-25,1,M. Ndour makes free throw 2 of 2
1:23.0,N. Vonleh enters the game for E. Davis,,28-24,,
1:11.0,,,28-25,,Personal foul by C. Anthony (drawn by E. Turner)
1:05.0,,,28-25,,Personal foul by B. Jennings (drawn by M. Leonard)
1:05.0,M. Leonard makes free throw 1 of 2,1,29-25,,
1:05.0,M. Leonard makes free throw 2 of 2,1,30-25,,
0:53.0,,,30-25,,C. Anthony misses 2-pt shot from 16 ft
0:52.0,Defensive rebound by A. Crabbe,,30-25,,
0:52.0,,,30-25,,Loose ball foul by W. Hernangomez (drawn by N. Vonleh)
0:52.0,N. Vonleh makes free throw 1 of 2,1,31-25,,
0:52.0,N. Vonleh makes free throw 2 of 2,1,32-25,,
0:38.0,,,32-25,,Turnover by J. Holiday (bad pass; steal by M. Leonard)
0:34.0,Shooting foul by M. Ndour (drawn by A. Crabbe),,32-25,,
0:34.0,A. Crabbe misses free throw 1 of 2,,32-25,,
0:34.0,Offensive rebound by Team,,32-25,,
0:34.0,A. Crabbe makes free throw 2 of 2,1,33-25,,
0:12.0,,,33-28,3,J. Holiday makes 3-pt shot from 23 ft (assist by B. Jennings)
0:02.0,C. McCollum misses 2-pt shot from 1 ft (block by M. Ndour),,33-28,,
0:01.0,,,33-28,,Defensive rebound by C. Anthony
0:00.0,,,33-28,,C. Anthony misses 3-pt shot from 56 ft
0:00.0,,,33-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,33-30,2,W. Hernangomez makes 2-pt shot from 1 ft
11:29.0,M. Leonard misses 3-pt shot from 25 ft,,33-30,,
11:28.0,,,33-30,,Defensive rebound by J. Holiday
11:19.0,,,33-30,,Turnover by W. Hernangomez (traveling)
11:04.0,C. McCollum misses 2-pt shot from 7 ft,,33-30,,
11:04.0,,,33-30,,Defensive rebound by K. Porzingis
10:49.0,,,33-30,,B. Jennings misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by A. Crabbe,,33-30,,
10:41.0,C. McCollum misses 3-pt shot from 23 ft,,33-30,,
10:40.0,,,33-30,,Defensive rebound by W. Hernangomez
10:28.0,,,33-32,2,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday)
10:11.0,C. McCollum makes 2-pt shot from 20 ft (assist by M. Leonard),2,35-32,,
9:55.0,,,35-32,,Turnover by M. Kuzminskas (lost ball; steal by E. Turner)
9:41.0,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner),3,38-32,,
9:32.0,,,38-32,,Offensive foul by W. Hernangomez
9:32.0,,,38-32,,Turnover by W. Hernangomez (offensive foul)
9:32.0,,,38-32,,Technical foul by Team
9:32.0,C. McCollum makes technical free throw,1,39-32,,
9:19.0,A. Crabbe misses 2-pt shot at rim,,39-32,,
9:19.0,,,39-32,,Defensive rebound by B. Jennings
9:06.0,,,39-32,,Shooting foul by A. Crabbe (drawn by K. Porzingis)
9:06.0,,,39-33,1,K. Porzingis makes free throw 1 of 2
9:06.0,,,39-34,1,K. Porzingis makes free throw 2 of 2
8:55.0,Turnover by N. Vonleh (lost ball; steal by M. Kuzminskas),,39-34,,
8:36.0,,,39-36,2,K. Porzingis makes 2-pt shot from 5 ft
8:23.0,E. Turner makes 2-pt shot from 6 ft,2,41-36,,
8:06.0,,,41-36,,B. Jennings misses 3-pt shot from 25 ft
8:04.0,,,41-36,,Offensive rebound by K. Porzingis
8:01.0,,,41-36,,K. Porzingis misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by N. Vonleh,,41-36,,
7:55.0,Official timeout,,41-36,,
7:55.0,,,41-36,,Technical foul by B. Jennings
7:55.0,Technical foul by N. Vonleh,,41-36,,
7:55.0,D. Lillard enters the game for C. McCollum,,41-36,,
7:55.0,Jump ball: B. Jennings vs. N. Vonleh (J. Holiday gains possession),,,,Jump ball: B. Jennings vs. N. Vonleh (J. Holiday gains possession)
7:55.0,Turnover by N. Vonleh (lost ball; steal by B. Jennings),,41-36,,
7:47.0,,,41-38,2,J. Holiday makes 2-pt shot from 13 ft
7:34.0,E. Turner misses 2-pt shot from 11 ft,,41-38,,
7:33.0,,,41-38,,Defensive rebound by K. Porzingis
7:23.0,,,41-38,,M. Kuzminskas misses 2-pt shot from 1 ft (block by N. Vonleh)
7:22.0,Defensive rebound by N. Vonleh,,41-38,,
7:15.0,Turnover by D. Lillard (lost ball; steal by B. Jennings),,41-38,,
7:11.0,,,41-40,2,B. Jennings makes 2-pt shot from 1 ft (assist by K. Porzingis)
7:07.0,Portland full timeout,,41-40,,
7:07.0,M. Plumlee enters the game for N. Vonleh,,41-40,,
7:07.0,,,41-40,,D. Rose enters the game for J. Holiday
6:54.0,M. Leonard makes 2-pt shot from 16 ft (assist by M. Plumlee),2,43-40,,
6:42.0,,,43-40,,K. Porzingis misses 2-pt shot from 16 ft
6:42.0,Defensive rebound by Team,,43-40,,
6:32.0,Turnover by M. Plumlee (bad pass; steal by D. Rose),,43-40,,
6:26.0,,,43-42,2,W. Hernangomez makes 2-pt shot at rim (assist by D. Rose)
6:13.0,A. Crabbe misses 3-pt shot from 24 ft,,43-42,,
6:12.0,,,43-42,,Defensive rebound by K. Porzingis
6:01.0,,,43-44,2,B. Jennings makes 2-pt shot at rim
5:45.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,45-44,,
5:35.0,,,45-46,2,K. Porzingis makes 2-pt shot from 16 ft (assist by B. Jennings)
5:21.0,M. Leonard misses 3-pt shot from 25 ft,,45-46,,
5:21.0,,,45-46,,Defensive rebound by D. Rose
5:13.0,,,45-46,,Turnover by W. Hernangomez (offensive foul)
5:13.0,,,45-46,,Offensive foul by W. Hernangomez
5:13.0,,,45-46,,C. Anthony enters the game for W. Hernangomez
5:13.0,E. Davis enters the game for A. Crabbe,,45-46,,
5:13.0,M. Harkless enters the game for M. Leonard,,45-46,,
5:01.0,E. Turner misses 2-pt shot from 18 ft,,45-46,,
5:00.0,,,45-46,,Defensive rebound by B. Jennings
4:54.0,,,45-48,2,M. Kuzminskas makes 2-pt shot at rim (assist by B. Jennings)
4:53.0,Portland full timeout,,45-48,,
4:53.0,,,45-48,,C. Lee enters the game for B. Jennings
4:38.0,M. Harkless misses 2-pt shot from 3 ft,,45-48,,
4:37.0,Offensive rebound by M. Harkless,,45-48,,
4:29.0,Shooting foul by D. Rose (drawn by D. Lillard),,45-48,,
4:29.0,D. Lillard makes free throw 1 of 2,1,46-48,,
4:29.0,D. Lillard makes free throw 2 of 2,1,47-48,,
4:15.0,,,47-50,2,K. Porzingis makes 2-pt shot at rim (assist by M. Kuzminskas)
4:03.0,E. Davis misses 2-pt shot from 3 ft,,47-50,,
4:02.0,Offensive rebound by M. Plumlee,,47-50,,
3:58.0,Shooting foul by K. Porzingis (drawn by M. Harkless),,47-50,,
3:58.0,M. Harkless misses free throw 1 of 2,,47-50,,
3:58.0,Offensive rebound by Team,,47-50,,
3:58.0,M. Harkless makes free throw 2 of 2,1,48-50,,
3:58.0,,,47-50,,K. O'Quinn enters the game for M. Kuzminskas
3:44.0,,,48-52,2,D. Rose makes 2-pt shot from 2 ft
3:29.0,,,48-52,,Personal foul by D. Rose (drawn by D. Lillard)
3:29.0,C. McCollum enters the game for E. Turner,,48-52,,
3:29.0,,,48-52,,B. Jennings enters the game for D. Rose
3:23.0,Turnover by M. Plumlee (traveling),,48-52,,
3:08.0,,,48-52,,K. O'Quinn misses 2-pt shot at rim
3:06.0,Defensive rebound by C. McCollum,,48-52,,
3:00.0,M. Harkless misses 3-pt shot from 23 ft,,48-52,,
3:00.0,,,48-52,,Defensive rebound by C. Lee
2:54.0,,,48-55,3,C. Anthony makes 3-pt shot from 26 ft (assist by B. Jennings)
2:37.0,C. McCollum misses 2-pt shot from 2 ft,,48-55,,
2:36.0,,,48-55,,Defensive rebound by K. Porzingis
2:31.0,,,48-55,,Turnover by K. Porzingis (palming)
2:31.0,,,48-55,,New York full timeout
2:12.0,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee),2,50-55,,
1:54.0,,,50-57,2,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Lee)
1:44.0,D. Lillard misses 2-pt shot from 17 ft,,50-57,,
1:44.0,Offensive rebound by E. Davis,,50-57,,
1:42.0,E. Davis makes 2-pt shot from 1 ft,2,52-57,,
1:25.0,,,52-57,,K. Porzingis misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by E. Davis,,52-57,,
1:10.0,E. Davis makes 2-pt shot from 3 ft (assist by D. Lillard),2,54-57,,
0:52.0,,,54-57,,C. Anthony misses 2-pt shot from 2 ft
0:51.0,Defensive rebound by M. Plumlee,,54-57,,
0:47.0,C. McCollum makes 2-pt shot from 16 ft,2,56-57,,
0:46.0,Personal foul by D. Lillard (drawn by B. Jennings),,56-57,,
0:33.0,,,56-60,3,C. Anthony makes 3-pt shot from 24 ft (assist by B. Jennings)
0:19.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,58-60,,
0:00.0,,,58-60,,C. Lee misses 3-pt shot from 26 ft
0:00.0,,,58-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-60,,C. Lee misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by E. Davis,,58-60,,
11:22.0,C. McCollum misses 2-pt shot from 18 ft,,58-60,,
11:21.0,,,58-60,,Defensive rebound by K. O'Quinn
11:08.0,,,58-60,,K. O'Quinn misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by M. Harkless,,58-60,,
10:56.0,D. Lillard makes 3-pt shot from 28 ft,3,61-60,,
10:44.0,,,61-60,,C. Anthony misses 3-pt shot from 25 ft
10:43.0,,,61-60,,Offensive rebound by Team
10:43.0,Loose ball foul by M. Harkless (drawn by K. Porzingis),,61-60,,
10:35.0,,,61-60,,Turnover by K. O'Quinn (lost ball; steal by D. Lillard)
10:31.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,63-60,,
10:14.0,,,63-62,2,D. Rose makes 2-pt shot from 9 ft
9:49.0,Shooting foul by C. Anthony (drawn by M. Plumlee),,63-62,,
9:49.0,M. Plumlee makes free throw 1 of 2,1,64-62,,
9:49.0,M. Plumlee misses free throw 2 of 2,,64-62,,
9:48.0,,,64-62,,Defensive rebound by K. Porzingis
9:32.0,Personal foul by M. Harkless (drawn by C. Anthony),,64-62,,
9:29.0,,,64-62,,Offensive foul by K. O'Quinn
9:29.0,,,64-62,,Turnover by K. O'Quinn (offensive foul)
9:18.0,,,64-62,,Personal foul by D. Rose (drawn by D. Lillard)
9:18.0,,,64-62,,B. Jennings enters the game for D. Rose
9:17.0,Turnover by C. McCollum (bad pass; steal by C. Lee),,64-62,,
9:09.0,,,64-64,2,K. O'Quinn makes 2-pt shot from 16 ft (assist by B. Jennings)
8:47.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,66-64,,
8:27.0,,,66-64,,C. Lee misses 3-pt shot from 25 ft
8:26.0,,,66-64,,Offensive rebound by B. Jennings
8:23.0,,,66-64,,Turnover by C. Lee (lost ball; steal by D. Lillard)
8:19.0,Shooting foul by C. Anthony (drawn by C. McCollum),,66-64,,
8:19.0,C. McCollum makes free throw 1 of 2,1,67-64,,
8:19.0,C. McCollum makes free throw 2 of 2,1,68-64,,
7:57.0,,,68-67,3,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Lee)
7:46.0,Turnover by M. Harkless (step out of bounds),,68-67,,
7:34.0,,,68-69,2,C. Anthony makes 2-pt shot from 16 ft (assist by B. Jennings)
7:23.0,Turnover by M. Harkless (illegal screen),,68-69,,
7:09.0,,,68-69,,C. Anthony misses 3-pt shot from 23 ft
7:09.0,,,68-69,,Offensive rebound by Team
7:08.0,Loose ball foul by E. Davis (drawn by K. O'Quinn),,68-69,,
6:59.0,,,68-69,,K. O'Quinn misses 2-pt shot from 14 ft
6:59.0,Defensive rebound by M. Harkless,,68-69,,
6:49.0,D. Lillard misses 3-pt shot from 24 ft,,68-69,,
6:48.0,,,68-69,,Defensive rebound by Team
6:33.0,,,68-69,,C. Lee misses 2-pt shot from 13 ft
6:33.0,Defensive rebound by M. Plumlee,,68-69,,
6:24.0,C. McCollum misses 2-pt shot from 7 ft,,68-69,,
6:22.0,,,68-69,,Defensive rebound by K. O'Quinn
6:08.0,,,68-69,,K. Porzingis misses 2-pt shot from 21 ft
6:03.0,,,68-69,,Offensive rebound by C. Anthony
6:03.0,,,68-69,,C. Anthony misses 2-pt shot at rim
6:02.0,Defensive rebound by M. Harkless,,68-69,,
5:48.0,C. McCollum misses 2-pt shot from 11 ft,,68-69,,
5:47.0,,,68-69,,Defensive rebound by K. O'Quinn
5:34.0,,,68-69,,B. Jennings misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by C. McCollum,,68-69,,
5:30.0,M. Plumlee makes 2-pt shot from 11 ft (assist by C. McCollum),2,70-69,,
5:30.0,Shooting foul by C. Lee (drawn by M. Plumlee),,70-69,,
5:30.0,,,70-69,,New York full timeout
5:30.0,M. Plumlee misses free throw 1 of 1,,70-69,,
5:30.0,,,70-69,,J. Holiday enters the game for K. Porzingis
5:30.0,,,70-69,,W. Hernangomez enters the game for C. Lee
5:29.0,,,70-69,,Defensive rebound by W. Hernangomez
5:11.0,,,70-71,2,C. Anthony makes 2-pt shot from 6 ft (assist by J. Holiday)
4:58.0,D. Lillard makes 2-pt shot from 7 ft,2,72-71,,
4:45.0,,,72-71,,C. Anthony misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by M. Plumlee,,72-71,,
4:29.0,M. Harkless misses 3-pt shot from 25 ft,,72-71,,
4:28.0,,,72-71,,Defensive rebound by W. Hernangomez
4:16.0,,,72-71,,J. Holiday misses 2-pt shot from 20 ft
4:16.0,Defensive rebound by Team,,72-71,,
4:16.0,M. Leonard enters the game for M. Plumlee,,72-71,,
4:10.0,A. Crabbe enters the game for C. McCollum,,72-71,,
3:59.0,M. Harkless makes 2-pt shot from 2 ft,2,74-71,,
3:42.0,,,74-71,,C. Anthony misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by M. Harkless,,74-71,,
3:31.0,Turnover by E. Davis (lost ball),,74-71,,
3:16.0,,,74-73,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by J. Holiday)
3:16.0,,,74-73,,Shooting foul by M. Leonard (drawn by W. Hernangomez)
3:16.0,,,74-74,1,W. Hernangomez makes free throw 1 of 1
2:56.0,D. Lillard makes 2-pt shot from 19 ft,2,76-74,,
2:38.0,,,76-74,,W. Hernangomez misses 2-pt shot from 7 ft
2:37.0,Defensive rebound by D. Lillard,,76-74,,
2:27.0,M. Leonard misses 2-pt shot from 17 ft,,76-74,,
2:26.0,,,76-74,,Defensive rebound by J. Holiday
2:21.0,,,76-74,,C. Anthony misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by Team,,76-74,,
2:20.0,Portland full timeout,,76-74,,
2:20.0,,,76-74,,K. Porzingis enters the game for K. O'Quinn
2:08.0,D. Lillard misses 3-pt shot from 25 ft,,76-74,,
2:07.0,Offensive rebound by Team,,76-74,,
2:07.0,,,76-74,,Loose ball foul by J. Holiday (drawn by M. Harkless)
2:07.0,M. Harkless makes free throw 1 of 2,1,77-74,,
2:07.0,M. Harkless misses free throw 2 of 2,,77-74,,
2:03.0,,,77-74,,Defensive rebound by W. Hernangomez
1:49.0,,,77-74,,C. Anthony misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by M. Leonard,,77-74,,
1:40.0,D. Lillard makes 2-pt shot from 1 ft,2,79-74,,
1:21.0,,,79-76,2,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings)
1:02.0,M. Leonard misses 3-pt shot from 24 ft,,79-76,,
1:00.0,,,79-76,,Defensive rebound by J. Holiday
0:53.0,,,79-78,2,J. Holiday makes 2-pt shot from 1 ft (assist by B. Jennings)
0:39.0,Turnover by D. Lillard (lost ball),,79-78,,
0:39.0,,,79-78,,M. Kuzminskas enters the game for C. Anthony
0:39.0,E. Turner enters the game for M. Harkless,,79-78,,
0:39.0,C. McCollum enters the game for D. Lillard,,79-78,,
0:34.0,,,79-78,,B. Jennings misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by E. Davis,,79-78,,
0:20.0,,,79-78,,Personal foul by M. Kuzminskas (drawn by E. Turner)
0:20.0,E. Turner makes free throw 1 of 2,1,80-78,,
0:20.0,E. Turner makes free throw 2 of 2,1,81-78,,
0:05.0,,,81-81,3,M. Kuzminskas makes 3-pt shot from 26 ft (assist by B. Jennings)
0:00.0,C. McCollum misses 3-pt shot from 26 ft,,81-81,,
0:00.0,Offensive rebound by Team,,81-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,E. Turner makes 2-pt shot from 5 ft,2,83-81,,
11:27.0,,,83-81,,K. Porzingis misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by Team,,83-81,,
11:08.0,C. McCollum makes 2-pt shot from 1 ft,2,85-81,,
10:53.0,,,85-83,2,D. Rose makes 2-pt shot from 12 ft
10:37.0,M. Leonard misses 3-pt shot from 25 ft,,85-83,,
10:37.0,,,85-83,,Defensive rebound by M. Kuzminskas
10:35.0,,,85-83,,Offensive foul by K. Porzingis
10:35.0,,,85-83,,Turnover by K. Porzingis (offensive foul)
10:14.0,A. Crabbe misses 3-pt shot from 25 ft,,85-83,,
10:14.0,Offensive rebound by M. Plumlee,,85-83,,
10:09.0,Offensive charge foul by M. Plumlee,,85-83,,
10:09.0,Turnover by M. Plumlee (offensive foul),,85-83,,
9:49.0,,,85-85,2,K. Porzingis makes 2-pt shot from 11 ft
9:30.0,C. McCollum makes 2-pt shot from 1 ft,2,87-85,,
9:17.0,,,87-87,2,W. Hernangomez makes 2-pt shot at rim (assist by D. Rose)
8:53.0,A. Crabbe misses 2-pt shot from 4 ft,,87-87,,
8:52.0,Offensive rebound by A. Crabbe,,87-87,,
8:51.0,A. Crabbe misses 2-pt shot from 1 ft,,87-87,,
8:50.0,,,87-87,,Defensive rebound by M. Kuzminskas
8:41.0,,,87-89,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by D. Rose)
8:40.0,Portland full timeout,,87-89,,
8:40.0,E. Turner makes 2-pt shot from 1 ft,2,89-89,,
8:40.0,Shooting foul by K. Porzingis (drawn by E. Turner),,89-89,,
8:40.0,E. Turner makes free throw 1 of 1,1,90-89,,
8:40.0,M. Harkless enters the game for M. Leonard,,87-89,,
8:40.0,,,87-89,,K. O'Quinn enters the game for W. Hernangomez
8:03.0,,,90-89,,K. Porzingis misses 2-pt shot from 10 ft (block by M. Plumlee)
8:02.0,,,90-89,,Offensive rebound by K. Porzingis
8:01.0,,,90-91,2,K. Porzingis makes 2-pt shot from 14 ft
7:47.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Turner),2,92-91,,
7:34.0,,,92-93,2,K. Porzingis makes 2-pt shot from 16 ft (assist by J. Holiday)
7:23.0,E. Turner misses 2-pt shot from 16 ft,,92-93,,
7:22.0,,,92-93,,Defensive rebound by K. O'Quinn
7:09.0,,,92-93,,D. Rose misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by M. Harkless,,92-93,,
7:02.0,M. Harkless misses 2-pt shot from 1 ft (block by K. Porzingis),,92-93,,
7:00.0,Offensive rebound by M. Plumlee,,92-93,,
7:00.0,Shooting foul by J. Holiday (drawn by A. Crabbe),,92-93,,
7:00.0,A. Crabbe makes free throw 1 of 3,1,93-93,,
7:00.0,A. Crabbe makes free throw 2 of 3,1,94-93,,
7:00.0,A. Crabbe makes free throw 3 of 3,1,95-93,,
7:00.0,,,94-93,,C. Lee enters the game for J. Holiday
7:00.0,,,94-93,,C. Anthony enters the game for K. O'Quinn
7:00.0,D. Lillard enters the game for C. McCollum,,94-93,,
6:42.0,,,95-93,,K. Porzingis misses 2-pt shot from 4 ft
6:41.0,Defensive rebound by D. Lillard,,95-93,,
6:28.0,E. Turner makes 2-pt shot from 8 ft,2,97-93,,
6:20.0,,,97-96,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
5:59.0,A. Crabbe misses 2-pt shot from 5 ft (block by C. Lee),,97-96,,
5:56.0,,,97-96,,Defensive rebound by C. Anthony
5:49.0,,,97-96,,K. Porzingis misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by D. Lillard,,97-96,,
5:40.0,D. Lillard misses 3-pt shot from 30 ft,,97-96,,
5:39.0,,,97-96,,Defensive rebound by K. Porzingis
5:39.0,,,97-96,,New York full timeout
5:39.0,E. Davis enters the game for M. Plumlee,,97-96,,
5:39.0,C. McCollum enters the game for A. Crabbe,,97-96,,
5:21.0,,,97-96,,D. Rose misses 2-pt shot from 2 ft (block by E. Davis)
5:20.0,,,97-96,,Offensive rebound by D. Rose
5:15.0,,,97-96,,C. Anthony misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by E. Turner,,97-96,,
4:58.0,E. Turner misses 2-pt shot from 16 ft (block by D. Rose),,97-96,,
4:58.0,,,97-96,,Defensive rebound by D. Rose
4:50.0,,,97-96,,M. Kuzminskas misses 3-pt shot from 25 ft
