time,Indiana,pts.away,score,pts.home,Houston
4:40.0,,,75-72,,Defensive rebound by J. Harden
4:29.0,,,75-72,,T. Ariza misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by P. George,,75-72,,
4:20.0,T. Young makes 2-pt shot at rim (assist by P. George),2,77-72,,
4:04.0,,,77-72,,R. Anderson misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by M. Turner,,77-72,,
3:54.0,P. George misses 3-pt shot from 24 ft,,77-72,,
3:53.0,,,77-72,,Defensive rebound by J. Harden
3:44.0,,,77-74,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:32.0,Shooting foul by E. Gordon (drawn by T. Young),,77-74,,
3:32.0,T. Young misses free throw 1 of 2,,77-74,,
3:32.0,Offensive rebound by Team,,77-74,,
3:32.0,T. Young misses free throw 2 of 2,,77-74,,
3:32.0,,,77-74,,Defensive rebound by T. Ariza
3:32.0,,,77-74,,L. Williams enters the game for R. Anderson
3:32.0,,,77-74,,N. Hilario enters the game for C. Capela
3:32.0,M. Ellis enters the game for C. Miles,,77-74,,
3:22.0,,,77-74,,E. Gordon misses 2-pt shot from 2 ft (block by M. Turner)
3:20.0,,,77-74,,Offensive rebound by L. Williams
3:18.0,,,77-74,,L. Williams misses 2-pt shot from 3 ft (block by M. Turner)
3:17.0,,,77-74,,Offensive rebound by Team
3:17.0,L. Allen enters the game for T. Young,,77-74,,
3:12.0,Personal foul by M. Ellis,,77-74,,
3:08.0,,,77-77,3,E. Gordon makes 3-pt shot from 24 ft (assist by N. Hilario)
3:08.0,,,77-77,,Shooting foul by P. George (drawn by E. Gordon)
3:08.0,,,77-78,1,E. Gordon makes free throw 1 of 1
3:08.0,R. Stuckey enters the game for P. George,,77-77,,
2:56.0,M. Turner misses 2-pt shot from 17 ft,,77-78,,
2:54.0,,,77-78,,Defensive rebound by L. Williams
2:47.0,,,77-78,,L. Williams misses 3-pt shot from 27 ft
2:46.0,Defensive rebound by L. Allen,,77-78,,
2:42.0,Indiana full timeout,,77-78,,
2:42.0,,,77-78,,S. Dekker enters the game for T. Ariza
2:42.0,R. Christmas enters the game for M. Turner,,77-78,,
