time,Milwaukee,pts.away,score,pts.home,New Orleans
8:03.0,M. Beasley makes 2-pt shot at rim (assist by G. Antetokounmpo),2,41-41,,
7:53.0,,,41-41,,B. Hield misses 3-pt shot from 26 ft
7:53.0,,,41-41,,Offensive rebound by Team
7:53.0,Loose ball foul by J. Henson (drawn by A. Ajinca),,41-41,,
7:53.0,T. Snell enters the game for R. Vaughn,,41-41,,
7:47.0,,,41-41,,A. Ajinca misses 2-pt shot from 13 ft
7:46.0,Defensive rebound by J. Henson,,41-41,,
7:41.0,M. Brogdon misses 2-pt shot from 5 ft,,41-41,,
7:40.0,Offensive rebound by M. Brogdon,,41-41,,
7:31.0,T. Snell misses 3-pt shot from 26 ft,,41-41,,
7:31.0,Offensive rebound by J. Henson,,41-41,,
7:21.0,T. Snell misses 3-pt shot from 25 ft,,41-41,,
7:20.0,,,41-41,,Defensive rebound by L. Galloway
7:16.0,,,41-41,,Turnover by B. Hield (step out of bounds)
7:16.0,J. Parker enters the game for G. Antetokounmpo,,41-41,,
7:06.0,M. Beasley misses 2-pt shot from 13 ft,,41-41,,
7:05.0,,,41-41,,Defensive rebound by D. Cunningham
6:48.0,,,41-41,,B. Hield misses 3-pt shot from 25 ft
6:47.0,,,41-41,,Offensive rebound by A. Ajinca
6:41.0,,,41-41,,Turnover by B. Hield (bad pass; steal by M. Brogdon)
6:30.0,J. Parker misses 2-pt shot from 9 ft,,41-41,,
6:29.0,,,41-41,,Defensive rebound by A. Ajinca
6:23.0,,,41-41,,B. Hield misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. Snell,,41-41,,
6:06.0,M. Brogdon makes 2-pt shot from 8 ft,2,43-41,,
5:59.0,,,43-41,,New Orleans full timeout
5:59.0,M. Dellavedova enters the game for M. Beasley,,43-41,,
5:59.0,,,43-41,,T. Frazier enters the game for B. Hield
5:59.0,,,43-41,,E. Moore enters the game for L. Galloway
5:59.0,,,43-41,,A. Davis enters the game for A. Ajinca
5:53.0,,,43-41,,A. Davis misses 2-pt shot from 2 ft
5:51.0,Defensive rebound by T. Snell,,43-41,,
5:32.0,Turnover by T. Snell (bad pass; steal by T. Frazier),,43-41,,
5:25.0,,,43-43,2,A. Davis makes 2-pt shot at rim (assist by L. Stephenson)
5:08.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by T. Snell),3,46-43,,
4:56.0,,,46-43,,S. Hill enters the game for L. Stephenson
4:56.0,Jump ball: M. Brogdon vs. T. Frazier (J. Parker gains possession),,,,Jump ball: M. Brogdon vs. T. Frazier (J. Parker gains possession)
4:56.0,,,46-43,,Turnover by T. Frazier (lost ball; steal by M. Brogdon)
4:50.0,J. Parker misses 2-pt shot from 3 ft,,46-43,,
4:49.0,,,46-43,,Defensive rebound by A. Davis
4:39.0,Shooting block foul by J. Henson (drawn by S. Hill),,46-43,,
4:39.0,,,46-44,1,S. Hill makes free throw 1 of 2
4:39.0,,,46-45,1,S. Hill makes free throw 2 of 2
4:39.0,M. Plumlee enters the game for J. Henson,,46-44,,
4:29.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Brogdon),2,48-45,,
4:20.0,,,48-45,,D. Cunningham misses 2-pt shot from 12 ft
4:19.0,Defensive rebound by T. Snell,,48-45,,
4:09.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon),3,51-45,,
3:52.0,,,51-47,2,S. Hill makes 2-pt shot from 2 ft (assist by T. Frazier)
3:41.0,G. Antetokounmpo enters the game for M. Brogdon,,51-47,,
3:29.0,M. Dellavedova misses 3-pt shot from 26 ft,,51-47,,
3:29.0,,,51-47,,Defensive rebound by D. Cunningham
3:13.0,,,51-49,2,T. Frazier makes 2-pt shot from 1 ft
3:01.0,,,51-49,,Shooting block foul by S. Hill (drawn by J. Parker)
3:01.0,J. Parker makes free throw 1 of 2,1,52-49,,
3:01.0,J. Parker makes free throw 2 of 2,1,53-49,,
2:52.0,,,53-49,,Shooting foul by M. Plumlee (drawn by A. Davis)
2:52.0,Official timeout,,53-49,,
2:52.0,,,53-50,1,A. Davis makes free throw 1 of 2
2:52.0,,,53-50,,A. Davis misses free throw 2 of 2
2:51.0,Defensive rebound by J. Parker,,53-50,,
2:37.0,J. Parker misses 2-pt shot from 15 ft,,53-50,,
2:36.0,,,53-50,,Defensive rebound by A. Davis
2:26.0,,,53-52,2,S. Hill makes 2-pt shot from 2 ft
2:09.0,T. Snell misses 2-pt shot from 13 ft,,53-52,,
2:08.0,,,53-52,,Defensive rebound by S. Hill
2:00.0,,,53-52,,A. Davis misses 2-pt shot from 16 ft
1:58.0,Defensive rebound by T. Snell,,53-52,,
1:53.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,53-52,,
1:52.0,,,53-52,,Defensive rebound by A. Davis
1:45.0,,,53-52,,D. Cunningham misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by M. Dellavedova,,53-52,,
1:36.0,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova),2,55-52,,
1:23.0,Personal foul by M. Dellavedova (drawn by A. Davis),,55-52,,
1:08.0,,,55-52,,T. Frazier misses 2-pt shot from 20 ft
1:06.0,Defensive rebound by M. Plumlee,,55-52,,
0:58.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,58-52,,
0:47.0,,,58-52,,Offensive foul by A. Davis
0:47.0,,,58-52,,Turnover by A. Davis (offensive foul)
0:47.0,,,58-52,,Technical foul by A. Davis
0:47.0,M. Dellavedova makes technical free throw,1,59-52,,
0:34.0,M. Dellavedova makes 2-pt shot from 23 ft (assist by G. Antetokounmpo),2,61-52,,
0:13.0,,,61-52,,A. Davis misses 2-pt shot from 6 ft
0:12.0,Defensive rebound by M. Plumlee,,61-52,,
0:10.0,Shooting foul by S. Hill (drawn by J. Parker),,61-52,,
0:10.0,J. Parker makes free throw 1 of 2,1,62-52,,
0:10.0,J. Parker makes free throw 2 of 2,1,63-52,,
0:10.0,,,62-52,,B. Hield enters the game for D. Cunningham
0:03.0,,,63-52,,T. Frazier misses 3-pt shot from 25 ft
0:03.0,,,63-52,,Offensive rebound by Team
0:03.0,Loose ball foul by M. Plumlee (drawn by A. Davis),,63-52,,
0:03.0,,,63-53,1,A. Davis makes free throw 1 of 2
0:03.0,,,63-54,1,A. Davis makes free throw 2 of 2
0:03.0,,,63-53,,D. Cunningham enters the game for B. Hield
0:03.0,,,63-53,,L. Stephenson enters the game for S. Hill
0:00.0,G. Antetokounmpo misses 3-pt shot from 42 ft (block by T. Frazier),,63-54,,
0:00.0,Offensive rebound by Team,,63-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,63-54,,Turnover by E. Moore (bad pass; steal by M. Dellavedova)
11:41.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,65-54,,
11:31.0,Personal foul by M. Dellavedova (drawn by T. Frazier),,65-54,,
11:13.0,,,65-54,,Shooting foul by G. Antetokounmpo (drawn by T. Frazier)
11:13.0,,,65-55,1,T. Frazier makes free throw 1 of 2
11:13.0,,,65-56,1,T. Frazier makes free throw 2 of 2
11:01.0,J. Parker makes 2-pt shot from 22 ft (assist by M. Plumlee),2,67-56,,
10:45.0,,,67-56,,A. Davis misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by G. Antetokounmpo,,67-56,,
10:31.0,Shooting foul by A. Davis (drawn by M. Plumlee),,67-56,,
10:31.0,M. Plumlee makes free throw 1 of 2,1,68-56,,
10:31.0,M. Plumlee misses free throw 2 of 2,,68-56,,
10:30.0,,,68-56,,Defensive rebound by A. Davis
10:21.0,,,68-58,2,A. Davis makes 2-pt shot from 8 ft (assist by S. Hill)
10:00.0,J. Parker makes 2-pt shot from 16 ft (assist by M. Dellavedova),2,70-58,,
9:48.0,,,70-60,2,A. Davis makes 2-pt shot from 16 ft (assist by S. Hill)
9:32.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,70-60,,
9:31.0,,,70-60,,Defensive rebound by A. Davis
9:18.0,,,70-60,,S. Hill misses 2-pt shot from 7 ft
9:17.0,Defensive rebound by T. Snell,,70-60,,
9:04.0,Turnover by M. Dellavedova (bad pass; steal by A. Davis),,70-60,,
9:00.0,,,70-60,,E. Moore misses 2-pt shot from 2 ft
8:58.0,,,70-60,,Offensive rebound by Team
8:47.0,,,70-60,,A. Davis misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by M. Dellavedova,,70-60,,
8:39.0,R. Vaughn enters the game for T. Snell,,70-60,,
8:28.0,M. Plumlee misses 2-pt shot from 8 ft,,70-60,,
8:27.0,,,70-60,,Defensive rebound by T. Frazier
8:14.0,,,70-60,,T. Frazier misses 2-pt shot from 3 ft
8:13.0,,,70-60,,Offensive rebound by T. Frazier
8:09.0,,,70-60,,Shooting foul by G. Antetokounmpo (drawn by A. Davis)
8:09.0,,,70-61,1,A. Davis makes free throw 1 of 2
8:09.0,,,70-62,1,A. Davis makes free throw 2 of 2
8:00.0,Turnover by M. Plumlee (lost ball; steal by D. Cunningham),,70-62,,
7:45.0,,,70-62,,S. Hill misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by G. Antetokounmpo,,70-62,,
7:34.0,Shooting foul by E. Moore (drawn by J. Parker),,70-62,,
7:34.0,J. Parker makes free throw 1 of 2,1,71-62,,
7:34.0,J. Parker makes free throw 2 of 2,1,72-62,,
7:34.0,G. Monroe enters the game for M. Plumlee,,71-62,,
7:26.0,,,72-62,,Turnover by T. Frazier (traveling)
7:13.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by G. Monroe),2,74-62,,
6:54.0,,,74-62,,D. Cunningham misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by R. Vaughn,,74-62,,
6:44.0,G. Antetokounmpo misses 3-pt shot from 28 ft,,74-62,,
6:43.0,,,74-62,,Defensive rebound by D. Cunningham
6:35.0,,,74-65,3,E. Moore makes 3-pt shot from 23 ft (assist by T. Frazier)
6:18.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,74-65,,
6:17.0,,,74-65,,Defensive rebound by A. Davis
6:11.0,,,74-65,,Shooting foul by R. Vaughn (drawn by D. Cunningham)
6:11.0,Milwaukee full timeout,,74-65,,
6:11.0,,,74-66,1,D. Cunningham makes free throw 1 of 2
6:11.0,,,74-66,,D. Cunningham misses free throw 2 of 2
6:11.0,M. Beasley enters the game for G. Antetokounmpo,,74-65,,
6:09.0,Defensive rebound by G. Monroe,,74-66,,
6:00.0,Turnover by G. Monroe (traveling),,74-66,,
6:00.0,,,74-66,,O. Asik enters the game for D. Cunningham
5:50.0,,,74-66,,Shooting foul by G. Monroe (drawn by A. Davis)
5:50.0,,,74-67,1,A. Davis makes free throw 1 of 2
5:50.0,,,74-68,1,A. Davis makes free throw 2 of 2
5:32.0,Turnover by G. Monroe (lost ball; steal by T. Frazier),,74-68,,
5:28.0,,,74-70,2,T. Frazier makes 2-pt shot from 2 ft (assist by S. Hill)
5:09.0,M. Beasley misses 3-pt shot from 25 ft,,74-70,,
5:08.0,,,74-70,,Defensive rebound by A. Davis
4:56.0,,,74-73,3,S. Hill makes 3-pt shot from 23 ft (assist by O. Asik)
4:40.0,R. Vaughn misses 3-pt shot from 25 ft,,74-73,,
4:39.0,Offensive rebound by G. Monroe,,74-73,,
4:32.0,J. Parker misses 2-pt shot from 1 ft,,74-73,,
4:30.0,Offensive rebound by J. Parker,,74-73,,
4:29.0,,,74-73,,Personal foul by S. Hill (drawn by J. Parker)
4:20.0,M. Beasley makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,76-73,,
4:10.0,,,76-75,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Frazier)
3:57.0,M. Dellavedova makes 2-pt shot from 2 ft,2,78-75,,
3:47.0,Violation by M. Dellavedova (kicked ball),,78-75,,
3:47.0,G. Antetokounmpo enters the game for J. Parker,,78-75,,
3:43.0,Personal foul by G. Antetokounmpo (drawn by A. Davis),,78-75,,
3:43.0,,,78-76,1,A. Davis makes free throw 1 of 2
3:43.0,,,78-77,1,A. Davis makes free throw 2 of 2
3:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,80-77,,
3:22.0,,,80-77,,O. Asik misses 2-pt shot from 2 ft (block by R. Vaughn)
3:20.0,,,80-77,,Offensive rebound by A. Davis
3:13.0,,,80-79,2,A. Davis makes 2-pt shot from 14 ft
2:53.0,M. Beasley misses 2-pt shot from 12 ft,,80-79,,
2:52.0,,,80-79,,Defensive rebound by S. Hill
2:44.0,,,80-79,,Shooting foul by M. Beasley (drawn by S. Hill)
2:44.0,,,80-79,,New Orleans full timeout
2:44.0,,,80-80,1,S. Hill makes free throw 1 of 2
2:44.0,,,80-81,1,S. Hill makes free throw 2 of 2
2:44.0,T. Snell enters the game for G. Antetokounmpo,,80-79,,
2:31.0,M. Beasley makes 2-pt shot from 15 ft (assist by G. Monroe),2,82-81,,
2:20.0,,,82-81,,E. Moore misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by G. Monroe,,82-81,,
2:07.0,M. Beasley misses 2-pt shot from 22 ft,,82-81,,
2:06.0,,,82-81,,Defensive rebound by O. Asik
1:56.0,,,82-81,,S. Hill misses 2-pt shot from 23 ft
1:54.0,Defensive rebound by T. Snell,,82-81,,
1:45.0,R. Vaughn misses 3-pt shot from 24 ft,,82-81,,
1:44.0,,,82-81,,Defensive rebound by S. Hill
1:36.0,,,82-81,,Shooting foul by M. Dellavedova (drawn by T. Frazier)
1:36.0,,,82-82,1,T. Frazier makes free throw 1 of 2
1:36.0,,,82-82,,T. Frazier misses free throw 2 of 2
1:36.0,M. Brogdon enters the game for M. Dellavedova,,82-82,,
1:36.0,,,82-82,,L. Stephenson enters the game for S. Hill
1:36.0,,,82-82,,D. Cunningham enters the game for A. Davis
1:34.0,Defensive rebound by G. Monroe,,82-82,,
1:22.0,Shooting foul by T. Frazier (drawn by M. Beasley),,82-82,,
1:22.0,M. Beasley makes free throw 1 of 2,1,83-82,,
1:22.0,M. Beasley makes free throw 2 of 2,1,84-82,,
1:05.0,,,84-84,2,O. Asik makes 2-pt shot at rim (assist by E. Moore)
0:53.0,G. Monroe misses 2-pt shot from 3 ft,,84-84,,
0:52.0,,,84-84,,Defensive rebound by L. Stephenson
0:40.0,,,84-84,,Turnover by O. Asik (3 sec)
0:32.0,Turnover by M. Brogdon (lost ball; steal by T. Frazier),,84-84,,
0:28.0,,,84-86,2,T. Frazier makes 2-pt shot at rim
0:05.0,G. Monroe misses 2-pt shot from 3 ft (block by O. Asik),,84-86,,
0:02.0,Offensive rebound by G. Monroe,,84-86,,
0:00.0,M. Brogdon misses 2-pt shot from 2 ft,,84-86,,
0:00.0,Offensive rebound by Team,,84-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,84-86,,Personal foul by T. Frazier (drawn by G. Antetokounmpo)
11:37.0,M. Brogdon makes 2-pt shot from 8 ft,2,86-86,,
11:29.0,,,86-88,2,B. Hield makes 2-pt shot from 23 ft (assist by T. Frazier)
11:14.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,89-88,,
11:01.0,,,89-88,,Turnover by B. Hield (lost ball; steal by M. Brogdon)
10:56.0,M. Teletovic makes 2-pt shot from 2 ft,2,91-88,,
10:39.0,,,91-88,,B. Hield misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by G. Monroe,,91-88,,
10:19.0,T. Snell misses 3-pt shot from 25 ft,,91-88,,
10:18.0,,,91-88,,Defensive rebound by O. Asik
10:07.0,,,91-88,,Shooting foul by G. Monroe (drawn by O. Asik)
10:07.0,,,91-88,,O. Asik misses free throw 1 of 2
10:07.0,,,91-88,,Offensive rebound by Team
10:07.0,,,91-88,,O. Asik misses free throw 2 of 2
10:07.0,,,91-88,,L. Galloway enters the game for T. Frazier
10:06.0,Defensive rebound by G. Monroe,,91-88,,
9:52.0,G. Monroe makes 2-pt shot from 2 ft (assist by T. Snell),2,93-88,,
9:32.0,,,93-91,3,B. Hield makes 3-pt shot from 25 ft (assist by L. Stephenson)
9:18.0,,,93-91,,Personal foul by L. Stephenson (drawn by M. Teletovic)
9:18.0,,,93-91,,A. Davis enters the game for O. Asik
9:07.0,G. Monroe misses 2-pt shot from 4 ft (block by A. Davis),,93-91,,
9:06.0,Offensive rebound by G. Antetokounmpo,,93-91,,
9:05.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,95-91,,
8:53.0,,,95-91,,A. Davis misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by T. Snell,,95-91,,
8:43.0,M. Brogdon makes 2-pt shot at rim (assist by G. Monroe),2,97-91,,
8:24.0,Official timeout,,97-91,,
8:24.0,J. Henson enters the game for G. Monroe,,97-91,,
8:24.0,,,97-91,,S. Hill enters the game for B. Hield
8:24.0,,,97-91,,E. Moore enters the game for L. Stephenson
8:19.0,Jump ball: M. Brogdon vs. L. Galloway (G. Antetokounmpo gains possession),,,,Jump ball: M. Brogdon vs. L. Galloway (G. Antetokounmpo gains possession)
8:19.0,,,97-91,,Turnover by L. Galloway (lost ball; steal by M. Brogdon)
8:03.0,Turnover by J. Henson (lost ball; steal by L. Galloway),,97-91,,
7:49.0,,,97-93,2,E. Moore makes 2-pt shot at rim (assist by A. Davis)
7:49.0,,,97-93,,Personal foul by L. Galloway (drawn by M. Brogdon)
