time,San Antonio,pts.away,score,pts.home,Orlando
4:53.0,,,14-8,2,N. Vucevic makes 2-pt shot from 13 ft
4:40.0,L. Aldridge misses 2-pt shot from 16 ft,,14-8,,
4:39.0,,,14-8,,Defensive rebound by A. Gordon
4:36.0,,,14-8,,Turnover by A. Gordon (bad pass)
4:36.0,D. Lee enters the game for D. Dedmon,,14-8,,
4:36.0,,,14-8,,E. Payton enters the game for C. Watson
4:36.0,,,14-8,,M. Hezonja enters the game for J. Green
4:24.0,M. Ginobili makes 2-pt shot from 2 ft,2,16-8,,
4:11.0,,,16-8,,N. Vucevic misses 2-pt shot from 19 ft
4:10.0,Defensive rebound by K. Leonard,,16-8,,
4:01.0,K. Leonard makes 2-pt shot from 2 ft,2,18-8,,
4:01.0,,,18-8,,Orlando full timeout
3:49.0,,,18-8,,Turnover by E. Fournier (traveling)
3:33.0,Shooting foul by N. Vucevic (drawn by L. Aldridge),,18-8,,
3:33.0,L. Aldridge makes free throw 1 of 2,1,19-8,,
3:33.0,L. Aldridge misses free throw 2 of 2,,19-8,,
3:33.0,J. Simmons enters the game for K. Leonard,,19-8,,
3:31.0,,,19-8,,Defensive rebound by E. Payton
3:16.0,,,19-10,2,A. Gordon makes 2-pt shot from 11 ft
3:16.0,San Antonio full timeout,,19-10,,
3:16.0,,,19-10,,B. Biyombo enters the game for N. Vucevic
3:06.0,Turnover by P. Mills (bad pass; steal by E. Fournier),,19-10,,
3:06.0,,,19-10,,Turnover by E. Fournier (bad pass)
3:03.0,M. Ginobili misses 2-pt shot from 10 ft,,19-10,,
3:02.0,,,19-10,,Defensive rebound by E. Fournier
2:56.0,,,19-12,2,E. Payton makes 2-pt shot from 9 ft
2:41.0,P. Mills makes 2-pt shot from 15 ft,2,21-12,,
2:29.0,,,21-12,,Turnover by E. Payton (bad pass; steal by P. Mills)
2:11.0,L. Aldridge makes 2-pt shot from 13 ft (assist by P. Mills),2,23-12,,
1:51.0,,,23-12,,M. Hezonja misses 2-pt shot from 19 ft
1:50.0,Defensive rebound by J. Simmons,,23-12,,
1:39.0,P. Mills makes 3-pt shot from 26 ft (assist by D. Lee),3,26-12,,
1:23.0,,,26-12,,Shooting foul by J. Simmons (drawn by E. Fournier)
1:23.0,,,26-13,1,E. Fournier makes free throw 1 of 2
1:23.0,,,26-14,1,E. Fournier makes free throw 2 of 2
1:23.0,D. Dedmon enters the game for L. Aldridge,,26-13,,
1:11.0,D. Dedmon makes 2-pt shot from 3 ft (assist by P. Mills),2,28-14,,
0:56.0,,,28-14,,A. Gordon misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by J. Simmons,,28-14,,
0:47.0,J. Simmons misses 2-pt shot from 17 ft,,28-14,,
0:47.0,,,28-14,,Defensive rebound by Team
0:47.0,Loose ball foul by D. Dedmon (drawn by B. Biyombo),,28-14,,
0:47.0,,,28-15,1,B. Biyombo makes free throw 1 of 2
0:47.0,,,28-16,1,B. Biyombo makes free throw 2 of 2
0:47.0,,,28-15,,D. Augustin enters the game for E. Fournier
0:29.0,P. Mills misses 3-pt shot from 25 ft,,28-16,,
0:27.0,,,28-16,,Defensive rebound by E. Payton
0:20.0,,,28-16,,A. Gordon misses 2-pt shot from 6 ft
0:17.0,Defensive rebound by D. Dedmon,,28-16,,
0:06.0,,,28-16,,Personal take foul by M. Hezonja (drawn by J. Simmons)
0:03.0,P. Mills misses 2-pt shot from 2 ft (block by B. Biyombo),,28-16,,
0:03.0,Offensive rebound by Team,,28-16,,
0:00.0,D. Lee makes 2-pt shot from 15 ft (assist by P. Mills),2,30-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-18,2,M. Hezonja makes 2-pt shot from 3 ft (assist by E. Payton)
11:31.0,D. Dedmon makes 2-pt shot at rim (assist by D. Lee),2,32-18,,
11:11.0,,,32-18,,M. Hezonja misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by D. Dedmon,,32-18,,
11:00.0,P. Mills misses 3-pt shot from 24 ft,,32-18,,
10:59.0,Offensive rebound by M. Ginobili,,32-18,,
10:55.0,P. Mills misses 3-pt shot from 25 ft,,32-18,,
10:55.0,,,32-18,,Defensive rebound by Team
10:55.0,T. Parker enters the game for P. Mills,,32-18,,
10:55.0,D. Green enters the game for M. Ginobili,,32-18,,
10:34.0,,,32-18,,E. Payton misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by D. Lee,,32-18,,
10:14.0,Turnover by D. Green (bad pass),,32-18,,
10:02.0,,,32-18,,D. Augustin misses 3-pt shot from 27 ft
10:01.0,Defensive rebound by D. Lee,,32-18,,
9:45.0,Turnover by D. Lee (lost ball),,32-18,,
9:37.0,Personal foul by J. Simmons (drawn by D. Augustin),,32-18,,
9:35.0,Violation by D. Dedmon (def goaltending),,32-18,,
9:35.0,,,32-20,2,D. Augustin makes 2-pt shot from 2 ft (assist by M. Hezonja)
9:35.0,,,32-20,,Shooting foul by T. Parker (drawn by D. Augustin)
9:35.0,,,32-21,1,D. Augustin makes free throw 1 of 1
9:35.0,K. Leonard enters the game for J. Simmons,,32-20,,
9:16.0,K. Leonard misses 2-pt shot from 11 ft,,32-21,,
9:16.0,Offensive rebound by Team,,32-21,,
9:16.0,,,32-21,,Personal foul by J. Green (drawn by D. Lee)
9:10.0,Turnover by D. Green (bad pass),,32-21,,
8:53.0,,,32-21,,J. Green misses 2-pt shot from 2 ft
8:51.0,,,32-21,,Offensive rebound by B. Biyombo
8:50.0,,,32-21,,B. Biyombo misses 2-pt shot from 2 ft (block by D. Green)
8:50.0,,,32-21,,Offensive rebound by Team
8:50.0,Official timeout,,32-21,,
8:47.0,,,32-21,,D. Augustin misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by D. Green,,32-21,,
8:35.0,Shooting foul by B. Biyombo (drawn by K. Leonard),,32-21,,
8:35.0,K. Leonard makes free throw 1 of 2,1,33-21,,
8:35.0,K. Leonard makes free throw 2 of 2,1,34-21,,
8:16.0,,,34-23,2,J. Green makes 2-pt shot from 2 ft (assist by D. Augustin)
7:52.0,K. Leonard makes 2-pt shot from 16 ft,2,36-23,,
7:34.0,,,36-23,,Turnover by E. Payton (bad pass; steal by D. Green)
7:26.0,T. Parker makes 2-pt shot from 2 ft,2,38-23,,
7:11.0,,,38-23,,E. Payton misses 2-pt shot from 2 ft (block by D. Lee)
7:09.0,Defensive rebound by D. Green,,38-23,,
6:47.0,T. Parker misses 3-pt shot from 25 ft,,38-23,,
6:46.0,Offensive rebound by D. Green,,38-23,,
6:40.0,D. Green misses 3-pt shot from 26 ft,,38-23,,
6:38.0,,,38-23,,Defensive rebound by B. Biyombo
6:35.0,,,38-23,,Turnover by D. Augustin (bad pass; steal by T. Parker)
6:31.0,Shooting foul by B. Biyombo (drawn by T. Parker),,38-23,,
6:31.0,T. Parker makes free throw 1 of 2,1,39-23,,
6:31.0,T. Parker misses free throw 2 of 2,,39-23,,
6:31.0,L. Aldridge enters the game for D. Lee,,39-23,,
6:31.0,M. Ginobili enters the game for D. Green,,39-23,,
6:27.0,,,39-23,,Defensive rebound by B. Biyombo
6:06.0,,,39-23,,J. Green misses 2-pt shot from 3 ft
6:05.0,Defensive rebound by M. Ginobili,,39-23,,
5:48.0,T. Parker misses 2-pt shot from 2 ft (block by J. Green),,39-23,,
5:47.0,Offensive rebound by D. Dedmon,,39-23,,
5:47.0,Shooting foul by J. Green (drawn by D. Dedmon),,39-23,,
5:47.0,D. Dedmon makes 2-pt shot from 3 ft,2,41-23,,
5:47.0,,,41-23,,Orlando full timeout
5:47.0,D. Dedmon misses free throw 1 of 1,,41-23,,
5:47.0,,,41-23,,A. Gordon enters the game for J. Green
5:47.0,,,41-23,,N. Vucevic enters the game for E. Payton
5:47.0,,,41-23,,E. Fournier enters the game for B. Biyombo
5:47.0,,,41-23,,C. Watson enters the game for D. Augustin
5:45.0,,,41-23,,Defensive rebound by N. Vucevic
5:29.0,,,41-23,,A. Gordon misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by D. Dedmon,,41-23,,
5:14.0,Turnover by L. Aldridge (lost ball; steal by C. Watson),,41-23,,
4:58.0,,,41-23,,Turnover by N. Vucevic (bad pass; steal by L. Aldridge)
4:52.0,K. Leonard makes 3-pt shot from 26 ft,3,44-23,,
4:38.0,,,44-25,2,C. Watson makes 2-pt shot from 2 ft
4:09.0,Turnover by Team (shot clock),,44-25,,
3:55.0,,,44-27,2,E. Fournier makes 2-pt shot at rim
3:55.0,,,44-27,,Shooting foul by D. Dedmon (drawn by E. Fournier)
3:55.0,,,44-27,,E. Fournier misses free throw 1 of 1
3:55.0,,,44-27,,J. Green enters the game for M. Hezonja
3:55.0,P. Mills enters the game for T. Parker,,44-27,,
3:54.0,Defensive rebound by D. Dedmon,,44-27,,
3:44.0,D. Dedmon makes 2-pt shot at rim (assist by M. Ginobili),2,46-27,,
3:25.0,,,46-27,,Turnover by E. Fournier (lost ball; steal by P. Mills)
3:20.0,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili),2,48-27,,
3:20.0,,,48-27,,Orlando full timeout
3:20.0,D. Lee enters the game for D. Dedmon,,48-27,,
2:56.0,,,48-27,,N. Vucevic misses 2-pt shot from 8 ft
2:56.0,,,48-27,,Offensive rebound by Team
2:56.0,Loose ball foul by P. Mills,,48-27,,
2:50.0,,,48-27,,J. Green misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by P. Mills,,48-27,,
2:47.0,D. Lee makes 2-pt shot at rim (assist by P. Mills),2,50-27,,
2:26.0,,,50-27,,N. Vucevic misses 2-pt shot from 12 ft
2:25.0,Defensive rebound by K. Leonard,,50-27,,
2:12.0,D. Lee makes 2-pt shot from 2 ft (assist by L. Aldridge),2,52-27,,
2:12.0,Shooting foul by N. Vucevic (drawn by D. Lee),,52-27,,
2:12.0,D. Lee misses free throw 1 of 1,,52-27,,
2:11.0,,,52-27,,Defensive rebound by N. Vucevic
2:00.0,,,52-27,,C. Watson misses 2-pt shot from 19 ft
1:58.0,,,52-27,,Offensive rebound by N. Vucevic
1:56.0,,,52-29,2,J. Green makes 2-pt shot from 4 ft (assist by E. Fournier)
1:56.0,,,52-29,,Shooting foul by K. Leonard (drawn by J. Green)
1:56.0,,,52-30,1,J. Green makes free throw 1 of 1
1:41.0,L. Aldridge misses 2-pt shot from 19 ft,,52-30,,
1:40.0,,,52-30,,Defensive rebound by E. Fournier
1:31.0,,,52-33,3,C. Watson makes 3-pt shot from 25 ft (assist by E. Fournier)
1:17.0,P. Mills misses 2-pt shot from 15 ft,,52-33,,
1:16.0,,,52-33,,Defensive rebound by N. Vucevic
1:10.0,,,52-33,,Turnover by C. Watson (lost ball; steal by K. Leonard)
1:10.0,,,52-33,,Personal foul by C. Watson (drawn by K. Leonard)
1:10.0,K. Leonard makes free throw 1 of 2,1,53-33,,
1:10.0,K. Leonard makes free throw 2 of 2,1,54-33,,
1:10.0,,,53-33,,E. Payton enters the game for C. Watson
0:55.0,,,54-35,2,N. Vucevic makes 2-pt shot at rim
0:36.0,K. Leonard misses 2-pt shot from 3 ft (block by A. Gordon),,54-35,,
0:35.0,,,54-35,,Defensive rebound by J. Green
0:18.0,,,54-37,2,A. Gordon makes 2-pt shot from 22 ft
0:01.0,K. Leonard misses 3-pt shot from 26 ft,,54-37,,
0:00.0,,,54-37,,Defensive rebound by N. Vucevic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,54-39,2,N. Vucevic makes 2-pt shot from 2 ft
11:34.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker),2,56-39,,
11:08.0,,,56-39,,J. Green misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Dedmon,,56-39,,
10:52.0,K. Leonard makes 2-pt shot from 21 ft (assist by L. Aldridge),2,58-39,,
10:36.0,,,58-41,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier)
10:16.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker),3,61-41,,
10:04.0,,,61-41,,Shooting foul by D. Dedmon (drawn by A. Gordon)
10:04.0,,,61-42,1,A. Gordon makes free throw 1 of 2
10:04.0,,,61-43,1,A. Gordon makes free throw 2 of 2
9:40.0,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker),2,63-43,,
9:23.0,,,63-43,,E. Fournier misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by L. Aldridge,,63-43,,
9:15.0,T. Parker misses 2-pt shot from 11 ft (block by N. Vucevic),,63-43,,
9:15.0,Offensive rebound by Team,,63-43,,
9:02.0,K. Leonard misses 2-pt shot from 14 ft,,63-43,,
9:02.0,Offensive rebound by Team,,63-43,,
8:46.0,L. Aldridge makes 2-pt shot from 3 ft (assist by T. Parker),2,65-43,,
8:36.0,,,65-45,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
8:18.0,L. Aldridge misses 2-pt shot from 19 ft,,65-45,,
8:16.0,Offensive rebound by D. Green,,65-45,,
7:57.0,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard),3,68-45,,
7:57.0,,,68-45,,Orlando full timeout
7:57.0,D. Lee enters the game for D. Dedmon,,68-45,,
7:46.0,,,68-47,2,E. Fournier makes 2-pt shot from 20 ft
7:25.0,T. Parker misses 2-pt shot from 10 ft,,68-47,,
7:23.0,,,68-47,,Defensive rebound by N. Vucevic
7:21.0,,,68-47,,E. Fournier misses 2-pt shot from 3 ft (block by D. Green)
7:20.0,,,68-47,,Offensive rebound by Team
7:11.0,,,68-47,,Shooting foul by L. Aldridge (drawn by N. Vucevic)
7:11.0,,,68-48,1,N. Vucevic makes free throw 1 of 2
7:11.0,,,68-49,1,N. Vucevic makes free throw 2 of 2
6:57.0,Turnover by D. Lee (bad pass; steal by J. Green),,68-49,,
6:56.0,Personal foul by D. Lee (drawn by A. Gordon),,68-49,,
6:45.0,,,68-49,,N. Vucevic misses 2-pt shot from 11 ft
6:43.0,,,68-49,,Offensive rebound by A. Gordon
6:43.0,,,68-49,,Shooting foul by D. Lee (drawn by A. Gordon)
6:43.0,,,68-50,1,A. Gordon makes free throw 1 of 2
6:43.0,,,68-51,1,A. Gordon makes free throw 2 of 2
6:22.0,K. Leonard misses 2-pt shot from 16 ft,,68-51,,
6:21.0,,,68-51,,Defensive rebound by N. Vucevic
6:10.0,,,68-53,2,J. Green makes 2-pt shot from 5 ft
6:10.0,San Antonio full timeout,,68-53,,
5:47.0,K. Leonard misses 2-pt shot from 17 ft,,68-53,,
5:45.0,,,68-53,,Defensive rebound by A. Gordon
5:33.0,,,68-53,,J. Green misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by D. Green,,68-53,,
5:29.0,Turnover by D. Green (bad pass),,68-53,,
5:29.0,P. Mills enters the game for T. Parker,,68-53,,
5:18.0,,,68-53,,A. Gordon misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by D. Lee,,68-53,,
5:04.0,K. Leonard misses 3-pt shot from 25 ft,,68-53,,
5:03.0,,,68-53,,Defensive rebound by E. Fournier
4:51.0,,,68-56,3,E. Payton makes 3-pt shot from 24 ft (assist by E. Fournier)
4:50.0,San Antonio full timeout,,68-56,,
4:50.0,M. Ginobili enters the game for D. Green,,68-56,,
4:38.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,70-56,,
4:19.0,,,70-56,,E. Fournier misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by D. Lee,,70-56,,
4:05.0,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Mills),2,72-56,,
3:49.0,,,72-58,2,A. Gordon makes 2-pt shot from 2 ft
3:49.0,,,72-58,,Shooting foul by M. Ginobili (drawn by A. Gordon)
3:49.0,,,72-59,1,A. Gordon makes free throw 1 of 1
3:49.0,D. Bertans enters the game for D. Lee,,72-58,,
3:30.0,P. Mills makes 3-pt shot from 26 ft (assist by L. Aldridge),3,75-59,,
3:07.0,,,75-59,,N. Vucevic misses 2-pt shot from 9 ft
3:06.0,Defensive rebound by K. Leonard,,75-59,,
2:59.0,P. Mills misses 3-pt shot from 25 ft,,75-59,,
2:58.0,,,75-59,,Defensive rebound by A. Gordon
2:55.0,,,75-59,,Turnover by N. Vucevic (bad pass)
2:55.0,,,75-59,,M. Hezonja enters the game for J. Green
2:55.0,,,75-59,,B. Biyombo enters the game for N. Vucevic
2:55.0,J. Simmons enters the game for K. Leonard,,75-59,,
2:44.0,,,75-59,,Personal foul by E. Payton (drawn by M. Ginobili)
2:44.0,K. Anderson enters the game for M. Ginobili,,75-59,,
2:33.0,D. Bertans misses 3-pt shot from 24 ft,,75-59,,
2:32.0,Offensive rebound by L. Aldridge,,75-59,,
2:14.0,Shooting foul by B. Biyombo (drawn by L. Aldridge),,75-59,,
2:14.0,L. Aldridge makes free throw 1 of 2,1,76-59,,
2:14.0,L. Aldridge makes free throw 2 of 2,1,77-59,,
1:58.0,,,77-62,3,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon)
1:37.0,D. Bertans misses 3-pt shot from 25 ft,,77-62,,
1:35.0,Offensive rebound by P. Mills,,77-62,,
1:25.0,P. Mills makes 2-pt shot from 2 ft,2,79-62,,
1:05.0,,,79-64,2,B. Biyombo makes 2-pt shot from 3 ft (assist by A. Gordon)
1:05.0,,,79-64,,Shooting foul by D. Bertans (drawn by B. Biyombo)
1:05.0,,,79-64,,B. Biyombo misses free throw 1 of 1
1:05.0,,,79-64,,D. Augustin enters the game for E. Payton
1:05.0,D. Dedmon enters the game for L. Aldridge,,79-64,,
1:03.0,Defensive rebound by D. Dedmon,,79-64,,
0:55.0,P. Mills makes 3-pt shot from 26 ft,3,82-64,,
0:38.0,,,82-64,,E. Fournier misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by J. Simmons,,82-64,,
0:27.0,D. Bertans makes 3-pt shot from 23 ft (assist by K. Anderson),3,85-64,,
0:06.0,,,85-64,,Shooting foul by P. Mills (drawn by D. Augustin)
0:06.0,,,85-64,,D. Augustin misses free throw 1 of 2
0:06.0,,,85-64,,Offensive rebound by Team
0:06.0,,,85-64,,D. Augustin misses free throw 2 of 2
0:06.0,Defensive rebound by K. Anderson,,85-64,,
0:01.0,Turnover by P. Mills (bad pass),,85-64,,
0:01.0,,,85-64,,E. Fournier misses 3-pt shot from 57 ft
0:00.0,,,85-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,K. Anderson misses 2-pt shot from 8 ft (block by M. Hezonja),,85-64,,
11:48.0,,,85-64,,Defensive rebound by J. Green
11:32.0,,,85-64,,Turnover by E. Payton (bad pass; steal by D. Bertans)
11:19.0,K. Anderson makes 2-pt shot from 8 ft,2,87-64,,
10:56.0,,,87-67,3,D. Augustin makes 3-pt shot from 25 ft (assist by E. Payton)
10:32.0,D. Bertans misses 3-pt shot from 26 ft,,87-67,,
10:31.0,,,87-67,,Defensive rebound by J. Green
10:25.0,,,87-67,,E. Payton misses 2-pt shot from 3 ft (block by D. Dedmon)
10:25.0,,,87-67,,Offensive rebound by Team
10:25.0,T. Parker enters the game for P. Mills,,87-67,,
10:13.0,Personal foul by K. Anderson (drawn by J. Green),,87-67,,
10:10.0,,,87-67,,M. Hezonja misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by D. Dedmon,,87-67,,
9:58.0,J. Simmons misses 3-pt shot from 25 ft,,87-67,,
9:57.0,,,87-67,,Defensive rebound by D. Augustin
9:48.0,Shooting block foul by D. Bertans (drawn by J. Green),,87-67,,
9:48.0,,,87-68,1,J. Green makes free throw 1 of 2
9:48.0,,,87-69,1,J. Green makes free throw 2 of 2
9:27.0,J. Simmons makes 2-pt shot from 2 ft,2,89-69,,
9:08.0,,,89-69,,E. Payton misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by D. Dedmon,,89-69,,
8:47.0,Official timeout,,89-69,,
8:47.0,,,89-69,,N. Vucevic enters the game for E. Payton
8:47.0,,,89-69,,E. Fournier enters the game for B. Biyombo
8:45.0,D. Bertans misses 3-pt shot from 25 ft,,89-69,,
8:44.0,Offensive rebound by Team,,89-69,,
8:44.0,,,89-69,,Loose ball foul by E. Fournier (drawn by D. Dedmon)
8:37.0,D. Dedmon makes 2-pt shot at rim (assist by T. Parker),2,91-69,,
8:23.0,,,91-69,,N. Vucevic misses 2-pt shot from 9 ft
8:20.0,Defensive rebound by K. Anderson,,91-69,,
8:08.0,,,91-69,,Personal foul by E. Fournier (drawn by D. Dedmon)
7:56.0,D. Bertans misses 2-pt shot from 5 ft,,91-69,,
7:55.0,Offensive rebound by D. Dedmon,,91-69,,
7:53.0,D. Dedmon misses 2-pt shot from 5 ft,,91-69,,
7:52.0,,,91-69,,Defensive rebound by M. Hezonja
7:40.0,,,91-69,,M. Hezonja misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Simmons,,91-69,,
7:24.0,Turnover by D. Dedmon (traveling),,91-69,,
7:09.0,,,91-69,,Turnover by D. Augustin (bad pass; steal by T. Parker)
6:51.0,T. Parker misses 3-pt shot from 25 ft,,91-69,,
6:51.0,,,91-69,,Defensive rebound by Team
6:51.0,,,91-69,,A. Gordon enters the game for M. Hezonja
6:40.0,,,91-69,,N. Vucevic misses 2-pt shot from 17 ft
6:38.0,Defensive rebound by K. Anderson,,91-69,,
6:27.0,D. Bertans misses 3-pt shot from 25 ft,,91-69,,
6:26.0,Offensive rebound by K. Anderson,,91-69,,
6:26.0,K. Anderson makes 2-pt shot from 2 ft,2,93-69,,
6:26.0,Shooting foul by A. Gordon (drawn by K. Anderson),,93-69,,
6:26.0,K. Anderson makes free throw 1 of 1,1,94-69,,
6:26.0,D. Murray enters the game for T. Parker,,93-69,,
6:11.0,,,94-71,2,N. Vucevic makes 2-pt shot from 3 ft (assist by J. Green)
5:47.0,K. Anderson misses 3-pt shot from 25 ft,,94-71,,
5:46.0,Offensive rebound by D. Murray,,94-71,,
5:40.0,K. Anderson makes 3-pt shot from 25 ft (assist by D. Bertans),3,97-71,,
5:40.0,,,97-71,,Orlando full timeout
5:40.0,J. Anthony enters the game for D. Dedmon,,97-71,,
5:21.0,,,97-71,,E. Fournier misses 2-pt shot from 16 ft
5:20.0,Defensive rebound by K. Anderson,,97-71,,
5:03.0,D. Murray misses 2-pt shot from 8 ft,,97-71,,
5:02.0,,,97-71,,Defensive rebound by A. Gordon
4:56.0,,,97-71,,A. Gordon misses 2-pt shot from 3 ft (block by D. Murray)
4:54.0,Defensive rebound by J. Anthony,,97-71,,
4:44.0,J. Simmons misses 3-pt shot from 24 ft,,97-71,,
4:42.0,,,97-71,,Defensive rebound by N. Vucevic
4:33.0,,,97-71,,J. Green misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by D. Murray,,97-71,,
4:13.0,K. Anderson misses 3-pt shot from 24 ft,,97-71,,
4:11.0,,,97-71,,Defensive rebound by E. Fournier
4:01.0,,,97-71,,N. Vucevic misses 2-pt shot from 13 ft
3:59.0,Defensive rebound by D. Murray,,97-71,,
3:57.0,,,97-71,,Personal take foul by E. Fournier (drawn by D. Murray)
3:57.0,,,97-71,,M. Hezonja enters the game for A. Gordon
3:57.0,,,97-71,,S. Zimmerman enters the game for J. Green
3:57.0,,,97-71,,E. Payton enters the game for N. Vucevic
3:57.0,,,97-71,,D. Rudez enters the game for E. Fournier
3:42.0,D. Murray makes 2-pt shot from 9 ft,2,99-71,,
3:22.0,,,99-71,,M. Hezonja misses 2-pt shot from 3 ft
3:21.0,Defensive rebound by J. Simmons,,99-71,,
3:12.0,Shooting foul by S. Zimmerman (drawn by J. Simmons),,99-71,,
3:12.0,J. Simmons makes free throw 1 of 2,1,100-71,,
3:12.0,J. Simmons makes free throw 2 of 2,1,101-71,,
2:59.0,,,101-73,2,M. Hezonja makes 2-pt shot from 2 ft (assist by S. Zimmerman)
2:40.0,J. Simmons misses 3-pt shot from 25 ft,,101-73,,
2:38.0,,,101-73,,Defensive rebound by S. Zimmerman
2:27.0,,,101-73,,S. Zimmerman misses 2-pt shot from 6 ft (block by J. Anthony)
