time,Detroit,pts.away,score,pts.home,Minnesota
3:02.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,45-41,,
2:43.0,,,45-41,,Minnesota full timeout
2:43.0,I. Smith enters the game for R. Jackson,,45-41,,
2:43.0,J. Leuer enters the game for T. Harris,,45-41,,
2:43.0,,,45-41,,A. Wiggins enters the game for S. Muhammad
2:37.0,Personal foul by J. Leuer (drawn by K. Towns),,45-41,,
2:37.0,,,45-41,,K. Towns misses free throw 1 of 2
2:37.0,,,45-41,,Offensive rebound by Team
2:37.0,,,45-41,,K. Towns misses free throw 2 of 2
2:37.0,Defensive rebound by A. Drummond,,45-41,,
2:17.0,,,45-41,,Violation by K. Towns (def goaltending)
2:17.0,M. Morris makes 2-pt shot from 10 ft,2,47-41,,
2:02.0,,,47-41,,K. Towns misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by A. Drummond,,47-41,,
1:49.0,A. Drummond makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope),2,49-41,,
1:29.0,,,49-41,,A. Wiggins misses 2-pt shot from 1 ft
1:28.0,,,49-41,,Offensive rebound by G. Dieng
1:28.0,,,49-41,,G. Dieng misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by J. Leuer,,49-41,,
1:20.0,M. Morris misses 3-pt shot from 25 ft,,49-41,,
1:18.0,,,49-41,,Defensive rebound by K. Towns
1:04.0,,,49-41,,A. Wiggins misses 2-pt shot from 15 ft
1:03.0,Defensive rebound by Team,,49-41,,
0:40.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,49-41,,
0:39.0,,,49-41,,Defensive rebound by R. Rubio
0:29.0,,,49-41,,Turnover by K. Towns (lost ball; steal by I. Smith)
0:24.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,49-41,,
0:23.0,,,49-41,,Defensive rebound by R. Rubio
0:17.0,,,49-43,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
0:05.0,,,49-43,,Personal take foul by R. Rubio (drawn by I. Smith)
0:00.0,I. Smith misses 2-pt shot from 22 ft,,49-43,,
0:00.0,Offensive rebound by Team,,49-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-45,2,G. Dieng makes 2-pt shot from 15 ft (assist by Z. LaVine)
11:24.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,49-45,,
11:23.0,Offensive rebound by A. Drummond,,49-45,,
11:18.0,A. Drummond makes 2-pt shot from 8 ft,2,51-45,,
10:58.0,,,51-47,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
10:39.0,A. Drummond makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,53-47,,
10:38.0,,,53-47,,Minnesota full timeout
10:32.0,Personal foul by T. Harris (drawn by K. Towns),,53-47,,
10:26.0,,,53-47,,K. Towns misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by K. Caldwell-Pope,,53-47,,
10:15.0,R. Jackson makes 2-pt shot from 8 ft,2,55-47,,
9:55.0,,,55-47,,G. Dieng misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by M. Morris,,55-47,,
9:44.0,M. Morris makes 2-pt shot from 11 ft,2,57-47,,
9:28.0,,,57-49,2,A. Wiggins makes 2-pt shot from 9 ft (assist by R. Rubio)
9:07.0,R. Jackson makes 2-pt shot from 12 ft,2,59-49,,
8:47.0,Personal foul by M. Morris (drawn by A. Wiggins),,59-49,,
8:35.0,,,59-51,2,R. Rubio makes 2-pt shot from 1 ft
8:13.0,T. Harris misses 2-pt shot from 18 ft,,59-51,,
8:12.0,,,59-51,,Defensive rebound by G. Dieng
8:02.0,,,59-51,,Turnover by K. Towns (bad pass)
7:45.0,Turnover by K. Caldwell-Pope (bad pass; steal by G. Dieng),,59-51,,
7:34.0,,,59-51,,A. Wiggins misses 3-pt shot from 27 ft
7:33.0,,,59-51,,Offensive rebound by K. Towns
7:31.0,Personal foul by A. Drummond (drawn by K. Towns),,59-51,,
7:22.0,,,59-53,2,G. Dieng makes 2-pt shot from 12 ft (assist by Z. LaVine)
7:22.0,,,59-53,,Shooting foul by A. Drummond (drawn by G. Dieng)
7:22.0,,,59-54,1,G. Dieng makes free throw 1 of 1
7:00.0,Shooting foul by R. Rubio (drawn by T. Harris),,59-54,,
7:00.0,Detroit full timeout,,59-54,,
7:00.0,T. Harris makes free throw 1 of 3,1,60-54,,
7:00.0,T. Harris misses free throw 2 of 3,,60-54,,
7:00.0,Offensive rebound by Team,,60-54,,
7:00.0,T. Harris makes free throw 3 of 3,1,61-54,,
6:37.0,,,61-54,,A. Wiggins misses 2-pt shot from 11 ft
6:36.0,Defensive rebound by A. Drummond,,61-54,,
