time,Houston,pts.away,score,pts.home,Minnesota
4:24.0,S. Dekker enters the game for T. Ariza,,15-21,,
4:14.0,S. Dekker misses 3-pt shot from 25 ft,,15-21,,
4:11.0,Offensive rebound by R. Anderson,,15-21,,
4:07.0,S. Dekker makes 2-pt shot from 2 ft (assist by J. Harden),2,17-21,,
3:46.0,,,17-23,2,A. Wiggins makes 2-pt shot from 21 ft
3:46.0,,,17-23,,Shooting foul by N. Hilario (drawn by A. Wiggins)
3:46.0,,,17-24,1,A. Wiggins makes free throw 1 of 1
3:35.0,R. Anderson misses 3-pt shot from 26 ft,,17-24,,
3:34.0,,,17-24,,Defensive rebound by K. Towns
3:23.0,,,17-24,,Offensive foul by G. Dieng
3:23.0,,,17-24,,Turnover by G. Dieng (offensive foul)
3:23.0,,,17-24,,N. Bjelica enters the game for G. Dieng
3:15.0,J. Harden misses 2-pt shot from 5 ft (block by K. Towns),,17-24,,
3:14.0,,,17-24,,Defensive rebound by Team
3:14.0,Loose ball foul by R. Anderson (drawn by R. Rubio),,17-24,,
3:14.0,,,17-25,1,R. Rubio makes free throw 1 of 2
3:14.0,,,17-26,1,R. Rubio makes free throw 2 of 2
3:04.0,Turnover by J. Harden (bad pass; steal by R. Rubio),,17-26,,
3:00.0,,,17-28,2,A. Wiggins makes 2-pt shot at rim (assist by S. Muhammad)
2:42.0,N. Hilario makes 2-pt shot from 2 ft (assist by C. Brewer),2,19-28,,
2:17.0,,,19-30,2,R. Rubio makes 2-pt shot from 20 ft (assist by K. Towns)
2:03.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,21-30,,
1:48.0,,,21-30,,A. Wiggins misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by Team,,21-30,,
1:46.0,Houston full timeout,,21-30,,
1:46.0,,,21-30,,K. Dunn enters the game for R. Rubio
1:35.0,N. Hilario misses 2-pt shot from 12 ft,,21-30,,
1:33.0,,,21-30,,Defensive rebound by S. Muhammad
1:16.0,,,21-30,,Turnover by K. Towns (traveling)
1:05.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,23-30,,
0:43.0,,,23-30,,N. Bjelica misses 2-pt shot from 2 ft (block by J. Harden)
0:42.0,Defensive rebound by R. Anderson,,23-30,,
0:34.0,S. Dekker misses 2-pt shot from 2 ft,,23-30,,
0:33.0,,,23-30,,Defensive rebound by K. Dunn
0:27.0,,,23-30,,Turnover by K. Dunn (bad pass; steal by R. Anderson)
0:20.0,Offensive charge foul by C. Brewer,,23-30,,
0:20.0,Turnover by C. Brewer (offensive foul),,23-30,,
0:05.0,,,23-30,,A. Wiggins misses 3-pt shot from 25 ft
0:03.0,,,23-30,,Offensive rebound by K. Towns
0:00.0,,,23-30,,S. Muhammad misses 3-pt shot from 25 ft
0:00.0,,,23-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,N. Hilario makes 2-pt shot from 19 ft (assist by P. Beverley),2,25-30,,
11:20.0,,,25-30,,N. Bjelica misses 3-pt shot from 25 ft
11:19.0,,,25-30,,Offensive rebound by C. Aldrich
11:17.0,,,25-32,2,C. Aldrich makes 2-pt shot from 2 ft
11:06.0,Turnover by P. Beverley (bad pass; steal by K. Dunn),,25-32,,
11:00.0,,,25-32,,B. Rush misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by N. Hilario,,25-32,,
10:53.0,,,25-32,,Personal foul by C. Aldrich (drawn by P. Beverley)
10:38.0,N. Hilario misses 2-pt shot from 14 ft,,25-32,,
10:37.0,Offensive rebound by Team,,25-32,,
10:31.0,S. Dekker misses 2-pt shot from 6 ft,,25-32,,
10:31.0,,,25-32,,Defensive rebound by Team
10:31.0,Loose ball foul by N. Hilario (drawn by S. Muhammad),,25-32,,
10:31.0,M. Harrell enters the game for N. Hilario,,25-32,,
10:19.0,,,25-34,2,S. Muhammad makes 2-pt shot from 3 ft (assist by C. Aldrich)
10:00.0,S. Dekker makes 3-pt shot from 25 ft (assist by M. Harrell),3,28-34,,
9:48.0,Violation by C. Brewer (kicked ball),,28-34,,
9:37.0,,,28-34,,S. Muhammad misses 2-pt shot from 9 ft
9:36.0,,,28-34,,Offensive rebound by B. Rush
9:34.0,,,28-36,2,S. Muhammad makes 2-pt shot at rim (assist by B. Rush)
9:33.0,,,28-36,,Violation by Team (jump ball)
9:18.0,M. Harrell misses 2-pt shot from 12 ft,,28-36,,
9:17.0,,,28-36,,Defensive rebound by N. Bjelica
9:10.0,,,28-36,,K. Dunn misses 2-pt shot from 16 ft
9:08.0,,,28-36,,Offensive rebound by S. Muhammad
9:04.0,,,28-36,,N. Bjelica misses 3-pt shot from 27 ft
9:01.0,Defensive rebound by M. Harrell,,28-36,,
8:55.0,Turnover by C. Brewer (lost ball; steal by B. Rush),,28-36,,
8:47.0,,,28-36,,Turnover by K. Dunn (bad pass; steal by P. Beverley)
8:43.0,C. Brewer misses 2-pt shot from 1 ft (block by B. Rush),,28-36,,
8:42.0,Offensive rebound by Team,,28-36,,
8:42.0,Houston full timeout,,28-36,,
8:27.0,S. Dekker misses 3-pt shot from 24 ft,,28-36,,
8:26.0,,,28-36,,Defensive rebound by C. Aldrich
8:06.0,,,28-36,,Shooting foul by M. Harrell (drawn by S. Muhammad)
8:06.0,,,28-37,1,S. Muhammad makes free throw 1 of 2
8:06.0,,,28-38,1,S. Muhammad makes free throw 2 of 2
8:06.0,R. Anderson enters the game for M. Harrell,,28-37,,
7:54.0,T. Ariza makes 2-pt shot from 2 ft,2,30-38,,
7:54.0,Shooting foul by C. Aldrich (drawn by T. Ariza),,30-38,,
7:54.0,,,30-38,,Violation by G. Dieng (lane)
7:54.0,T. Ariza misses free throw 1 of 1,,30-38,,
7:54.0,,,30-38,,Defensive rebound by N. Bjelica
7:54.0,,,30-38,,G. Dieng enters the game for C. Aldrich
7:48.0,,,30-38,,K. Dunn misses 2-pt shot from 1 ft
7:46.0,,,30-38,,Offensive rebound by K. Dunn
7:44.0,,,30-38,,Offensive charge foul by N. Bjelica
7:44.0,,,30-38,,Turnover by N. Bjelica (offensive foul)
7:44.0,,,30-38,,Technical foul by K. Dunn
7:44.0,R. Anderson makes technical free throw,1,31-38,,
7:22.0,Turnover by S. Dekker (traveling),,31-38,,
7:12.0,,,31-38,,Turnover by G. Dieng (traveling)
6:52.0,Turnover by P. Beverley (lost ball; steal by K. Dunn),,31-38,,
6:48.0,,,31-40,2,K. Dunn makes 2-pt shot at rim
6:37.0,R. Anderson makes 3-pt shot from 25 ft (assist by P. Beverley),3,34-40,,
6:10.0,,,34-40,,Turnover by Team (shot clock)
6:10.0,,,34-40,,K. Towns enters the game for N. Bjelica
6:10.0,,,34-40,,R. Rubio enters the game for K. Dunn
6:10.0,,,34-40,,A. Wiggins enters the game for S. Muhammad
6:10.0,Houston full timeout,,34-40,,
6:10.0,J. Harden enters the game for P. Beverley,,34-40,,
5:56.0,C. Brewer misses 3-pt shot from 24 ft,,34-40,,
5:55.0,,,34-40,,Defensive rebound by K. Towns
5:35.0,,,34-43,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
5:19.0,S. Dekker makes 3-pt shot from 25 ft (assist by R. Anderson),3,37-43,,
5:11.0,,,37-43,,Minnesota full timeout
5:11.0,,,37-43,,N. Bjelica enters the game for G. Dieng
5:11.0,P. Beverley enters the game for C. Brewer,,37-43,,
4:56.0,,,37-45,2,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins)
4:56.0,,,37-45,,Shooting foul by R. Anderson (drawn by K. Towns)
4:56.0,,,37-46,1,K. Towns makes free throw 1 of 1
4:40.0,R. Anderson misses 3-pt shot from 25 ft,,37-46,,
4:39.0,,,37-46,,Defensive rebound by N. Bjelica
4:31.0,,,37-46,,Turnover by N. Bjelica (lost ball; steal by P. Beverley)
4:24.0,T. Ariza misses 3-pt shot from 24 ft,,37-46,,
4:22.0,,,37-46,,Defensive rebound by A. Wiggins
4:05.0,,,37-46,,R. Rubio misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by J. Harden,,37-46,,
3:58.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,40-46,,
3:40.0,,,40-46,,A. Wiggins misses 2-pt shot from 17 ft
3:39.0,,,40-46,,Offensive rebound by N. Bjelica
3:39.0,Personal foul by T. Ariza (drawn by N. Bjelica),,40-46,,
3:25.0,,,40-46,,A. Wiggins misses 2-pt shot from 13 ft (block by P. Beverley)
3:24.0,Defensive rebound by T. Ariza,,40-46,,
3:17.0,J. Harden misses 3-pt shot from 25 ft,,40-46,,
3:16.0,,,40-46,,Defensive rebound by K. Towns
3:01.0,,,40-48,2,K. Towns makes 2-pt shot from 8 ft
2:54.0,Turnover by J. Harden (bad pass; steal by N. Bjelica),,40-48,,
2:46.0,,,40-48,,Offensive foul by K. Towns
2:46.0,,,40-48,,Turnover by K. Towns (offensive foul)
2:38.0,J. Harden makes 2-pt shot from 2 ft,2,42-48,,
2:32.0,,,42-50,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
2:15.0,N. Hilario enters the game for S. Dekker,,42-50,,
2:11.0,Shooting foul by A. Wiggins (drawn by J. Harden),,42-50,,
2:11.0,J. Harden makes free throw 1 of 3,1,43-50,,
2:11.0,J. Harden makes free throw 2 of 3,1,44-50,,
2:11.0,J. Harden makes free throw 3 of 3,1,45-50,,
1:57.0,,,45-50,,Turnover by K. Towns (dbl dribble)
1:57.0,,,45-50,,Technical foul by Team
1:57.0,J. Harden makes technical free throw,1,46-50,,
1:41.0,P. Beverley misses 3-pt shot from 24 ft,,46-50,,
1:40.0,,,46-50,,Defensive rebound by A. Wiggins
1:23.0,,,46-53,3,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio)
1:12.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,49-53,,
0:49.0,,,49-53,,N. Bjelica misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by N. Hilario,,49-53,,
0:39.0,J. Harden makes 2-pt shot from 10 ft,2,51-53,,
0:25.0,,,51-53,,A. Wiggins misses 2-pt shot from 14 ft
0:25.0,,,51-53,,Offensive rebound by Team
0:25.0,Loose ball foul by N. Hilario (drawn by N. Bjelica),,51-53,,
0:25.0,,,51-54,1,N. Bjelica makes free throw 1 of 2
0:25.0,,,51-55,1,N. Bjelica makes free throw 2 of 2
0:08.0,,,51-55,,Personal take foul by R. Rubio (drawn by J. Harden)
0:07.0,Turnover by T. Ariza (bad pass; steal by B. Rush),,51-55,,
0:01.0,,,51-55,,Turnover by N. Bjelica (offensive foul)
0:01.0,,,51-55,,Offensive charge foul by N. Bjelica
0:00.0,N. Hilario makes 3-pt shot from 31 ft (assist by R. Anderson),3,54-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell),3,57-55,,
11:47.0,Personal foul by P. Beverley (drawn by R. Rubio),,57-55,,
11:36.0,Personal foul by P. Beverley (drawn by A. Wiggins),,57-55,,
11:31.0,,,57-57,2,G. Dieng makes 2-pt shot from 19 ft (assist by K. Towns)
11:16.0,Turnover by J. Harden (bad pass; steal by K. Towns),,57-57,,
11:15.0,,,57-57,,Turnover by K. Towns (bad pass; steal by M. Harrell)
11:07.0,Shooting foul by A. Wiggins (drawn by J. Harden),,57-57,,
11:07.0,J. Harden makes free throw 1 of 3,1,58-57,,
11:07.0,J. Harden makes free throw 2 of 3,1,59-57,,
11:07.0,J. Harden makes free throw 3 of 3,1,60-57,,
10:56.0,,,60-57,,K. Towns misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by P. Beverley,,60-57,,
10:34.0,J. Harden misses 3-pt shot from 25 ft,,60-57,,
10:32.0,,,60-57,,Defensive rebound by K. Towns
10:15.0,,,60-57,,R. Rubio misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by R. Anderson,,60-57,,
10:11.0,,,60-57,,Technical foul by Team
10:11.0,J. Harden misses technical free throw,,60-57,,
10:11.0,Offensive rebound by Team,,60-57,,
10:06.0,P. Beverley misses 2-pt shot from 1 ft,,60-57,,
10:05.0,,,60-57,,Defensive rebound by A. Wiggins
9:54.0,,,60-57,,Shooting foul by R. Anderson (drawn by A. Wiggins)
9:54.0,,,60-58,1,A. Wiggins makes free throw 1 of 2
9:54.0,,,60-58,,A. Wiggins misses free throw 2 of 2
9:54.0,Defensive rebound by M. Harrell,,60-58,,
9:29.0,Turnover by Team (shot clock),,60-58,,
9:18.0,,,60-60,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
9:04.0,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden),2,62-60,,
8:44.0,,,62-60,,R. Rubio misses 2-pt shot from 14 ft
8:43.0,,,62-60,,Offensive rebound by B. Rush
8:36.0,,,62-60,,K. Towns misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by J. Harden,,62-60,,
8:33.0,Turnover by J. Harden (bad pass),,62-60,,
8:22.0,,,62-62,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
8:03.0,T. Ariza misses 2-pt shot from 19 ft,,62-62,,
8:02.0,Offensive rebound by T. Ariza,,62-62,,
8:00.0,T. Ariza makes 2-pt shot at rim,2,64-62,,
7:46.0,,,64-65,3,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio)
7:24.0,J. Harden makes 2-pt shot from 18 ft,2,66-65,,
7:12.0,,,66-65,,Turnover by R. Rubio (traveling)
7:03.0,J. Harden misses 2-pt shot from 17 ft,,66-65,,
7:01.0,,,66-65,,Defensive rebound by G. Dieng
6:55.0,,,66-68,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
6:46.0,T. Ariza misses 3-pt shot from 25 ft,,66-68,,
6:45.0,,,66-68,,Defensive rebound by K. Towns
6:35.0,,,66-68,,K. Towns misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by M. Harrell,,66-68,,
6:21.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,69-68,,
6:21.0,,,69-68,,Minnesota full timeout
5:58.0,,,69-70,2,G. Dieng makes 2-pt shot from 1 ft (assist by B. Rush)
5:41.0,P. Beverley misses 2-pt shot from 6 ft,,69-70,,
5:40.0,,,69-70,,Defensive rebound by A. Wiggins
5:36.0,,,69-70,,Shooting foul by M. Harrell (drawn by A. Wiggins)
5:36.0,,,69-71,1,A. Wiggins makes free throw 1 of 2
5:36.0,,,69-72,1,A. Wiggins makes free throw 2 of 2
5:36.0,,,69-71,,S. Muhammad enters the game for B. Rush
5:36.0,C. Brewer enters the game for P. Beverley,,69-71,,
5:36.0,N. Hilario enters the game for M. Harrell,,69-71,,
5:11.0,J. Harden misses 3-pt shot from 25 ft,,69-72,,
5:10.0,,,69-72,,Defensive rebound by K. Towns
5:01.0,,,69-72,,Offensive charge foul by K. Towns
5:01.0,,,69-72,,Turnover by K. Towns (offensive foul)
4:49.0,C. Brewer misses 2-pt shot from 3 ft,,69-72,,
4:48.0,,,69-72,,Defensive rebound by K. Towns
4:44.0,,,69-74,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
4:25.0,Turnover by C. Brewer (traveling),,69-74,,
4:14.0,,,69-74,,Shooting foul by R. Anderson (drawn by K. Towns)
4:14.0,,,69-74,,K. Towns misses free throw 1 of 2
4:14.0,,,69-74,,Offensive rebound by Team
4:14.0,,,69-75,1,K. Towns makes free throw 2 of 2
4:14.0,S. Dekker enters the game for R. Anderson,,69-74,,
4:05.0,,,69-75,,Personal foul by S. Muhammad (drawn by N. Hilario)
3:58.0,Turnover by J. Harden (traveling),,69-75,,
3:50.0,,,69-75,,Shooting foul by C. Brewer (drawn by R. Rubio)
3:50.0,Houston full timeout,,69-75,,
3:50.0,,,69-76,1,R. Rubio makes free throw 1 of 2
3:50.0,,,69-77,1,R. Rubio makes free throw 2 of 2
3:36.0,T. Ariza misses 3-pt shot from 24 ft,,69-77,,
3:34.0,Offensive rebound by S. Dekker,,69-77,,
3:30.0,J. Harden misses 3-pt shot from 25 ft,,69-77,,
3:29.0,,,69-77,,Defensive rebound by S. Muhammad
3:13.0,,,69-77,,K. Towns misses 2-pt shot from 3 ft (block by C. Brewer)
3:11.0,Defensive rebound by S. Dekker,,69-77,,
3:06.0,J. Harden makes 2-pt shot from 1 ft,2,71-77,,
2:46.0,,,71-79,2,G. Dieng makes 2-pt shot from 21 ft (assist by R. Rubio)
2:27.0,S. Dekker misses 2-pt shot from 1 ft,,71-79,,
2:26.0,,,71-79,,Defensive rebound by R. Rubio
2:22.0,,,71-81,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
2:11.0,J. Harden makes 2-pt shot from 2 ft,2,73-81,,
1:58.0,,,73-81,,Shooting foul by C. Brewer (drawn by R. Rubio)
1:58.0,,,73-82,1,R. Rubio makes free throw 1 of 2
1:58.0,,,73-83,1,R. Rubio makes free throw 2 of 2
1:58.0,,,73-82,,N. Bjelica enters the game for G. Dieng
1:41.0,Turnover by J. Harden (bad pass),,73-83,,
1:30.0,,,73-85,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
1:13.0,J. Harden makes 2-pt shot from 2 ft,2,75-85,,
0:57.0,,,75-85,,N. Bjelica misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Harden,,75-85,,
0:50.0,J. Harden misses 3-pt shot from 24 ft,,75-85,,
0:48.0,,,75-85,,Defensive rebound by K. Towns
0:45.0,,,75-87,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
0:33.0,C. Brewer makes 2-pt shot from 21 ft (assist by J. Harden),2,77-87,,
0:16.0,,,77-89,2,A. Wiggins makes 2-pt shot from 3 ft
0:05.0,,,77-89,,Personal foul by N. Bjelica (drawn by J. Harden)
0:00.0,J. Harden misses 3-pt shot from 25 ft,,77-89,,
0:00.0,Offensive rebound by Team,,77-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,77-91,2,N. Bjelica makes 2-pt shot from 2 ft
11:23.0,R. Anderson misses 3-pt shot from 25 ft,,77-91,,
11:22.0,,,77-91,,Defensive rebound by S. Muhammad
11:08.0,,,77-93,2,K. Dunn makes 2-pt shot from 6 ft
10:51.0,C. Brewer misses 2-pt shot from 1 ft,,77-93,,
10:50.0,,,77-93,,Defensive rebound by N. Bjelica
10:35.0,,,77-93,,K. Dunn misses 2-pt shot from 19 ft
10:34.0,,,77-93,,Offensive rebound by N. Bjelica
10:33.0,,,77-95,2,N. Bjelica makes 2-pt shot from 1 ft
10:32.0,Houston full timeout,,77-95,,
10:21.0,P. Beverley misses 2-pt shot from 1 ft (block by K. Dunn),,77-95,,
10:20.0,,,77-95,,Defensive rebound by K. Dunn
9:58.0,,,77-95,,K. Dunn misses 2-pt shot from 15 ft
9:57.0,,,77-95,,Offensive rebound by Team
9:57.0,Loose ball foul by P. Beverley (drawn by N. Bjelica),,77-95,,
9:57.0,T. Ariza enters the game for S. Dekker,,77-95,,
9:57.0,J. Harden enters the game for M. Harrell,,77-95,,
9:44.0,,,77-95,,S. Muhammad misses 2-pt shot from 1 ft (block by J. Harden)
9:42.0,Defensive rebound by C. Brewer,,77-95,,
9:36.0,J. Harden misses 3-pt shot from 25 ft,,77-95,,
9:35.0,,,77-95,,Defensive rebound by S. Muhammad
9:25.0,,,77-95,,Shooting foul by R. Anderson (drawn by N. Bjelica)
9:25.0,,,77-96,1,N. Bjelica makes free throw 1 of 2
9:25.0,,,77-97,1,N. Bjelica makes free throw 2 of 2
9:16.0,Shooting foul by B. Rush (drawn by T. Ariza),,77-97,,
9:16.0,T. Ariza makes free throw 1 of 2,1,78-97,,
9:16.0,T. Ariza misses free throw 2 of 2,,78-97,,
9:16.0,,,78-97,,Defensive rebound by G. Dieng
9:02.0,Personal foul by C. Brewer (drawn by B. Rush),,78-97,,
8:53.0,,,78-99,2,S. Muhammad makes 2-pt shot from 20 ft (assist by G. Dieng)
8:47.0,C. Brewer misses 2-pt shot from 2 ft (block by B. Rush),,78-99,,
8:45.0,Offensive rebound by C. Brewer,,78-99,,
8:42.0,T. Ariza makes 3-pt shot from 26 ft (assist by R. Anderson),3,81-99,,
8:19.0,,,81-99,,S. Muhammad misses 2-pt shot from 7 ft
8:18.0,Defensive rebound by R. Anderson,,81-99,,
8:11.0,T. Ariza misses 3-pt shot from 25 ft,,81-99,,
8:10.0,,,81-99,,Defensive rebound by N. Bjelica
7:56.0,,,81-101,2,K. Dunn makes 2-pt shot from 19 ft
7:47.0,Shooting foul by K. Dunn (drawn by J. Harden),,81-101,,
7:47.0,J. Harden makes free throw 1 of 2,1,82-101,,
7:47.0,J. Harden makes free throw 2 of 2,1,83-101,,
7:47.0,,,82-101,,K. Towns enters the game for G. Dieng
7:47.0,,,82-101,,A. Wiggins enters the game for N. Bjelica
7:25.0,,,83-103,2,A. Wiggins makes 2-pt shot from 1 ft
7:15.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,86-103,,
6:51.0,,,86-106,3,S. Muhammad makes 3-pt shot from 23 ft (assist by K. Towns)
6:43.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,89-106,,
6:39.0,,,89-106,,Minnesota full timeout
6:39.0,,,89-106,,R. Rubio enters the game for K. Dunn
6:17.0,,,89-108,2,A. Wiggins makes 2-pt shot from 18 ft
6:01.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,92-108,,
5:35.0,,,92-108,,A. Wiggins misses 2-pt shot from 22 ft
5:33.0,,,92-108,,Offensive rebound by K. Towns
5:31.0,,,92-110,2,K. Towns makes 2-pt shot from 1 ft
5:06.0,C. Brewer makes 3-pt shot from 27 ft (assist by R. Anderson),3,95-110,,
4:44.0,,,95-110,,Turnover by A. Wiggins (lost ball)
4:33.0,J. Harden misses 2-pt shot at rim (block by K. Towns),,95-110,,
4:31.0,,,95-110,,Defensive rebound by K. Towns
4:28.0,,,95-110,,Shooting foul by T. Ariza (drawn by S. Muhammad)
4:28.0,,,95-111,1,S. Muhammad makes free throw 1 of 2
4:28.0,,,95-112,1,S. Muhammad makes free throw 2 of 2
4:21.0,R. Anderson misses 3-pt shot from 27 ft,,95-112,,
4:20.0,,,95-112,,Defensive rebound by S. Muhammad
3:59.0,,,95-112,,B. Rush misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by R. Anderson,,95-112,,
3:46.0,T. Ariza misses 2-pt shot from 1 ft,,95-112,,
3:45.0,,,95-112,,Defensive rebound by K. Towns
3:37.0,Personal foul by P. Beverley (drawn by R. Rubio),,95-112,,
3:37.0,,,95-113,1,R. Rubio makes free throw 1 of 2
3:37.0,,,95-114,1,R. Rubio makes free throw 2 of 2
3:37.0,M. Harrell enters the game for C. Brewer,,95-113,,
3:32.0,Shooting foul by A. Wiggins (drawn by J. Harden),,95-114,,
3:32.0,J. Harden misses free throw 1 of 3,,95-114,,
