time,Memphis,pts.away,score,pts.home,Sacramento
4:59.0,Turnover by A. Harrison (bad pass; steal by K. Koufos),,17-21,,
4:52.0,,,17-23,2,D. Collison makes 2-pt shot from 4 ft (assist by K. Koufos)
4:33.0,T. Daniels misses 2-pt shot from 21 ft,,17-23,,
4:32.0,,,17-23,,Defensive rebound by G. Temple
4:25.0,,,17-23,,Shooting foul by T. Daniels (drawn by T. Lawson)
4:25.0,,,17-24,1,T. Lawson makes free throw 1 of 2
4:25.0,,,17-24,,T. Lawson misses free throw 2 of 2
4:25.0,,,17-24,,S. Labissiere enters the game for W. Cauley-Stein
4:24.0,Defensive rebound by Z. Randolph,,17-24,,
4:06.0,Shooting foul by K. Koufos (drawn by Z. Randolph),,17-24,,
4:06.0,Z. Randolph misses free throw 1 of 2,,17-24,,
4:06.0,Offensive rebound by Team,,17-24,,
4:06.0,Z. Randolph makes free throw 2 of 2,1,18-24,,
3:50.0,,,18-24,,Turnover by D. Collison (lost ball)
3:38.0,A. Harrison makes 3-pt shot from 25 ft,3,21-24,,
3:28.0,,,21-26,2,T. Lawson makes 2-pt shot from 14 ft
3:17.0,,,21-26,,Def 3 sec tech foul by S. Labissiere
3:17.0,T. Daniels makes technical free throw,1,22-26,,
3:17.0,,,22-26,,B. McLemore enters the game for G. Temple
3:07.0,Shooting foul by S. Labissiere (drawn by B. Wright),,22-26,,
3:07.0,B. Wright makes free throw 1 of 2,1,23-26,,
3:07.0,B. Wright misses free throw 2 of 2,,23-26,,
3:07.0,,,23-26,,Defensive rebound by A. Tolliver
3:07.0,M. Conley enters the game for Z. Randolph,,23-26,,
3:07.0,,,23-26,,A. Tolliver enters the game for K. Koufos
2:45.0,,,23-26,,B. McLemore misses 3-pt shot from 25 ft
2:44.0,,,23-26,,Offensive rebound by S. Labissiere
2:36.0,,,23-26,,S. Labissiere misses 2-pt shot from 10 ft
2:35.0,,,23-26,,Offensive rebound by A. Tolliver
2:27.0,,,23-28,2,D. Collison makes 2-pt shot from 3 ft
2:04.0,B. Wright makes 2-pt shot from 3 ft (assist by M. Conley),2,25-28,,
1:44.0,,,25-28,,A. Tolliver misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by A. Harrison,,25-28,,
1:31.0,,,25-28,,Violation by S. Labissiere (kicked ball)
1:31.0,Memphis full timeout,,25-28,,
1:31.0,,,25-28,,L. Galloway enters the game for D. Collison
1:21.0,M. Conley misses 2-pt shot from 18 ft,,25-28,,
1:21.0,,,25-28,,Defensive rebound by Team
1:11.0,,,25-28,,Turnover by S. Labissiere (bad pass)
0:57.0,T. Daniels misses 3-pt shot from 25 ft,,25-28,,
0:56.0,Offensive rebound by J. Ennis,,25-28,,
0:49.0,J. Ennis misses 3-pt shot from 27 ft,,25-28,,
0:48.0,Offensive rebound by Team,,25-28,,
0:47.0,T. Daniels makes 2-pt shot from 13 ft (assist by M. Conley),2,27-28,,
0:34.0,,,27-28,,B. McLemore misses 2-pt shot from 2 ft
0:33.0,,,27-28,,Offensive rebound by L. Galloway
0:27.0,,,27-28,,Offensive foul by S. Labissiere
0:27.0,,,27-28,,Turnover by S. Labissiere (offensive foul)
0:27.0,,,27-28,,W. Cauley-Stein enters the game for S. Labissiere
0:04.0,M. Conley misses 2-pt shot from 22 ft,,27-28,,
0:04.0,,,27-28,,Defensive rebound by W. Cauley-Stein
0:00.0,,,27-28,,B. McLemore misses 3-pt shot from 42 ft
0:00.0,,,27-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-28,,Personal foul by B. McLemore (drawn by M. Conley)
11:39.0,V. Carter enters the game for T. Daniels,,27-28,,
11:28.0,A. Harrison makes 2-pt shot from 8 ft (assist by M. Conley),2,29-28,,
11:02.0,,,29-28,,B. McLemore misses 3-pt shot from 25 ft
11:02.0,,,29-28,,Offensive rebound by W. Cauley-Stein
10:53.0,,,29-30,2,A. Tolliver makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
10:36.0,,,29-30,,Personal foul by T. Lawson (drawn by M. Conley)
10:27.0,M. Conley misses 2-pt shot from 7 ft,,29-30,,
10:27.0,Offensive rebound by Team,,29-30,,
10:17.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,31-30,,
10:01.0,,,31-32,2,A. Tolliver makes 2-pt shot from 9 ft
9:38.0,M. Conley misses 2-pt shot from 21 ft,,31-32,,
9:37.0,,,31-32,,Defensive rebound by B. McLemore
9:26.0,,,31-32,,Shooting foul by A. Harrison (drawn by T. Lawson)
9:26.0,,,31-32,,T. Lawson misses free throw 1 of 2
9:26.0,,,31-32,,Offensive rebound by Team
9:26.0,,,31-33,1,T. Lawson makes free throw 2 of 2
9:26.0,T. Daniels enters the game for A. Harrison,,31-32,,
9:04.0,,,31-33,,Shooting block foul by W. Cauley-Stein (drawn by M. Conley)
9:04.0,M. Conley makes free throw 1 of 2,1,32-33,,
9:04.0,M. Conley makes free throw 2 of 2,1,33-33,,
8:56.0,Violation by V. Carter (kicked ball),,33-33,,
8:56.0,Official timeout,,33-33,,
8:56.0,,,33-33,,B. Hield enters the game for L. Galloway
8:50.0,,,33-33,,Turnover by T. Lawson (bad pass; steal by B. Wright)
8:49.0,Turnover by B. Wright (bad pass),,33-33,,
8:34.0,,,33-33,,Shooting foul by T. Daniels (drawn by B. McLemore)
8:34.0,,,33-34,1,B. McLemore makes free throw 1 of 2
8:34.0,,,33-34,,B. McLemore misses free throw 2 of 2
8:32.0,Defensive rebound by J. Ennis,,33-34,,
8:19.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Conley),3,36-34,,
8:06.0,,,36-36,2,A. Tolliver makes 2-pt shot from 2 ft
7:52.0,Shooting foul by B. McLemore (drawn by V. Carter),,36-36,,
7:52.0,V. Carter makes free throw 1 of 2,1,37-36,,
7:52.0,V. Carter makes free throw 2 of 2,1,38-36,,
7:52.0,T. Allen enters the game for B. Wright,,37-36,,
7:52.0,Z. Randolph enters the game for J. Ennis,,37-36,,
7:52.0,,,37-36,,K. Koufos enters the game for W. Cauley-Stein
7:34.0,,,38-36,,T. Lawson misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by Z. Randolph,,38-36,,
7:23.0,T. Daniels misses 2-pt shot from 21 ft,,38-36,,
7:22.0,,,38-36,,Defensive rebound by B. Hield
7:03.0,,,38-38,2,B. Hield makes 2-pt shot from 14 ft
6:36.0,M. Conley misses 3-pt shot from 25 ft,,38-38,,
6:35.0,Offensive rebound by V. Carter,,38-38,,
6:32.0,V. Carter misses 2-pt shot from 5 ft,,38-38,,
6:31.0,Offensive rebound by Z. Randolph,,38-38,,
6:31.0,Z. Randolph misses 2-pt shot from 1 ft,,38-38,,
6:30.0,,,38-38,,Defensive rebound by B. Hield
6:17.0,,,38-38,,Turnover by T. Lawson (bad pass; steal by T. Allen)
6:04.0,Z. Randolph misses 2-pt shot from 4 ft (block by B. McLemore),,38-38,,
6:03.0,,,38-38,,Defensive rebound by T. Lawson
5:58.0,,,38-40,2,K. Koufos makes 2-pt shot at rim (assist by A. Tolliver)
5:46.0,Memphis full timeout,,38-40,,
5:46.0,,,38-40,,D. Collison enters the game for B. McLemore
5:46.0,,,38-40,,S. Labissiere enters the game for A. Tolliver
5:46.0,A. Harrison enters the game for M. Conley,,38-40,,
5:46.0,J. Green enters the game for T. Daniels,,38-40,,
5:30.0,J. Green misses 3-pt shot from 26 ft,,38-40,,
5:29.0,Offensive rebound by Z. Randolph,,38-40,,
5:20.0,T. Allen misses 2-pt shot from 6 ft,,38-40,,
5:19.0,,,38-40,,Defensive rebound by S. Labissiere
4:55.0,,,38-42,2,D. Collison makes 2-pt shot from 18 ft
4:38.0,V. Carter misses 3-pt shot from 26 ft,,38-42,,
4:38.0,Offensive rebound by Team,,38-42,,
4:38.0,,,38-42,,Loose ball foul by K. Koufos (drawn by Z. Randolph)
4:38.0,Z. Randolph makes free throw 1 of 2,1,39-42,,
4:38.0,Z. Randolph makes free throw 2 of 2,1,40-42,,
4:38.0,,,39-42,,G. Temple enters the game for T. Lawson
4:38.0,T. Daniels enters the game for V. Carter,,39-42,,
4:21.0,,,40-42,,G. Temple misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by A. Harrison,,40-42,,
4:15.0,T. Allen makes 2-pt shot from 2 ft (assist by A. Harrison),2,42-42,,
3:56.0,,,42-42,,Shooting foul by A. Harrison (drawn by S. Labissiere)
3:56.0,,,42-43,1,S. Labissiere makes free throw 1 of 2
3:56.0,,,42-43,,S. Labissiere misses free throw 2 of 2
3:55.0,Defensive rebound by T. Allen,,42-43,,
3:38.0,Turnover by Z. Randolph (lost ball; steal by K. Koufos),,42-43,,
3:32.0,,,42-45,2,S. Labissiere makes 2-pt shot at rim (assist by G. Temple)
3:12.0,Shooting foul by K. Koufos (drawn by J. Green),,42-45,,
3:12.0,J. Green makes free throw 1 of 2,1,43-45,,
3:12.0,J. Green makes free throw 2 of 2,1,44-45,,
3:12.0,M. Conley enters the game for A. Harrison,,43-45,,
2:54.0,,,44-45,,K. Koufos misses 2-pt shot from 9 ft
2:54.0,Defensive rebound by Z. Randolph,,44-45,,
2:40.0,Z. Randolph misses 2-pt shot from 8 ft (block by K. Koufos),,44-45,,
2:39.0,,,44-45,,Defensive rebound by K. Koufos
2:36.0,,,44-45,,Turnover by B. Hield (lost ball)
2:36.0,,,44-45,,Sacramento full timeout
2:36.0,,,44-45,,W. Cauley-Stein enters the game for K. Koufos
2:15.0,M. Conley makes 2-pt shot from 10 ft,2,46-45,,
2:15.0,Shooting foul by D. Collison (drawn by M. Conley),,46-45,,
2:15.0,M. Conley makes free throw 1 of 1,1,47-45,,
2:05.0,,,47-45,,Shooting foul by T. Allen (drawn by W. Cauley-Stein)
2:05.0,,,47-46,1,W. Cauley-Stein makes free throw 1 of 2
2:05.0,,,47-47,1,W. Cauley-Stein makes free throw 2 of 2
2:05.0,V. Carter enters the game for J. Green,,47-46,,
2:05.0,J. Ennis enters the game for T. Allen,,47-46,,
1:50.0,M. Conley makes 2-pt shot from 7 ft,2,49-47,,
1:28.0,,,49-47,,Turnover by W. Cauley-Stein (traveling)
1:10.0,V. Carter misses 3-pt shot from 25 ft,,49-47,,
1:09.0,,,49-47,,Defensive rebound by W. Cauley-Stein
1:01.0,,,49-50,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison)
0:47.0,Turnover by M. Conley (lost ball),,49-50,,
0:36.0,,,49-50,,B. Hield misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by Team,,49-50,,
0:23.0,,,49-50,,Personal foul by S. Labissiere (drawn by J. Ennis)
0:23.0,J. Ennis misses free throw 1 of 2,,49-50,,
0:23.0,Offensive rebound by Team,,49-50,,
0:23.0,J. Ennis misses free throw 2 of 2,,49-50,,
0:23.0,A. Harrison enters the game for Z. Randolph,,49-50,,
0:23.0,B. Wright enters the game for T. Daniels,,49-50,,
0:23.0,,,49-50,,A. Tolliver enters the game for S. Labissiere
0:22.0,,,49-50,,Defensive rebound by B. Hield
0:04.0,,,49-50,,Shooting foul by V. Carter (drawn by D. Collison)
0:04.0,,,49-50,,D. Collison misses free throw 1 of 2
0:04.0,,,49-50,,Offensive rebound by Team
0:04.0,,,49-51,1,D. Collison makes free throw 2 of 2
0:04.0,,,49-50,,L. Galloway enters the game for A. Tolliver
0:04.0,T. Daniels enters the game for B. Wright,,49-50,,
0:04.0,Z. Randolph enters the game for A. Harrison,,49-50,,
0:00.0,M. Conley misses 3-pt shot from 48 ft,,49-51,,
0:00.0,Offensive rebound by Team,,49-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Z. Randolph makes 2-pt shot from 4 ft,2,51-51,,
11:22.0,,,51-51,,K. Koufos misses 2-pt shot from 4 ft (block by Z. Randolph)
11:22.0,Defensive rebound by T. Allen,,51-51,,
11:07.0,M. Conley misses 3-pt shot from 25 ft,,51-51,,
11:07.0,Offensive rebound by T. Allen,,51-51,,
10:47.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,53-51,,
10:21.0,,,53-51,,B. Hield misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by Z. Randolph,,53-51,,
10:02.0,Turnover by T. Allen (lost ball; steal by W. Cauley-Stein),,53-51,,
9:59.0,,,53-53,2,B. Hield makes 2-pt shot at rim (assist by D. Collison)
9:29.0,J. Green misses 3-pt shot from 23 ft,,53-53,,
9:29.0,Offensive rebound by J. Green,,53-53,,
9:23.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Green),3,56-53,,
9:23.0,,,56-53,,Sacramento full timeout
9:05.0,,,56-55,2,K. Koufos makes 2-pt shot from 7 ft
8:37.0,J. Green misses 3-pt shot from 24 ft,,56-55,,
8:37.0,Offensive rebound by Team,,56-55,,
8:37.0,,,56-55,,Loose ball foul by G. Temple (drawn by T. Allen)
8:26.0,Z. Randolph misses 2-pt shot from 13 ft,,56-55,,
8:25.0,,,56-55,,Defensive rebound by W. Cauley-Stein
8:13.0,,,56-58,3,D. Collison makes 3-pt shot from 25 ft
7:50.0,M. Conley misses 2-pt shot from 8 ft,,56-58,,
7:49.0,Offensive rebound by Team,,56-58,,
7:39.0,T. Allen misses 2-pt shot from 5 ft,,56-58,,
7:38.0,Offensive rebound by Z. Randolph,,56-58,,
7:38.0,Z. Randolph misses 2-pt shot from 2 ft,,56-58,,
7:37.0,Offensive rebound by Z. Randolph,,56-58,,
7:37.0,Z. Randolph misses 2-pt shot from 2 ft,,56-58,,
7:36.0,Offensive rebound by T. Allen,,56-58,,
7:36.0,T. Allen makes 2-pt shot from 1 ft,2,58-58,,
7:31.0,Violation by Team (jump ball),,58-58,,
7:16.0,,,58-60,2,D. Collison makes 2-pt shot from 21 ft
6:53.0,J. Green misses 2-pt shot from 2 ft (block by K. Koufos),,58-60,,
6:53.0,,,58-60,,Defensive rebound by Team
6:53.0,T. Daniels enters the game for V. Carter,,58-60,,
6:32.0,,,58-62,2,D. Collison makes 2-pt shot from 15 ft
6:17.0,Shooting foul by D. Collison (drawn by M. Conley),,58-62,,
6:17.0,M. Conley makes free throw 1 of 3,1,59-62,,
6:17.0,M. Conley misses free throw 2 of 3,,59-62,,
6:17.0,Offensive rebound by Team,,59-62,,
6:17.0,M. Conley makes free throw 3 of 3,1,60-62,,
6:17.0,J. Ennis enters the game for T. Allen,,59-62,,
6:04.0,,,60-62,,G. Temple misses 2-pt shot from 3 ft
6:03.0,Defensive rebound by Z. Randolph,,60-62,,
5:47.0,T. Daniels misses 3-pt shot from 25 ft,,60-62,,
5:46.0,,,60-62,,Defensive rebound by W. Cauley-Stein
5:39.0,,,60-64,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
5:21.0,T. Daniels misses 3-pt shot from 26 ft,,60-64,,
5:20.0,,,60-64,,Defensive rebound by Team
5:20.0,Loose ball foul by Z. Randolph (drawn by K. Koufos),,60-64,,
5:20.0,A. Harrison enters the game for M. Conley,,60-64,,
5:07.0,,,60-64,,G. Temple misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by Z. Randolph,,60-64,,
4:47.0,Z. Randolph misses 2-pt shot from 12 ft,,60-64,,
4:47.0,,,60-64,,Defensive rebound by W. Cauley-Stein
4:38.0,,,60-67,3,G. Temple makes 3-pt shot from 24 ft (assist by D. Collison)
4:38.0,Memphis full timeout,,60-67,,
4:18.0,B. Wright enters the game for J. Green,,60-67,,
4:13.0,A. Harrison misses 3-pt shot from 26 ft,,60-67,,
4:12.0,,,60-67,,Defensive rebound by G. Temple
3:55.0,,,60-69,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
3:34.0,Shooting foul by K. Koufos (drawn by T. Daniels),,60-69,,
3:34.0,T. Daniels makes free throw 1 of 2,1,61-69,,
3:34.0,T. Daniels makes free throw 2 of 2,1,62-69,,
3:34.0,M. Conley enters the game for Z. Randolph,,61-69,,
3:34.0,,,61-69,,A. Tolliver enters the game for K. Koufos
3:15.0,,,62-69,,G. Temple misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by T. Daniels,,62-69,,
2:59.0,M. Conley misses 3-pt shot from 25 ft,,62-69,,
2:59.0,,,62-69,,Defensive rebound by W. Cauley-Stein
2:50.0,,,62-71,2,B. Hield makes 2-pt shot from 6 ft
2:34.0,,,62-71,,Personal foul by W. Cauley-Stein (drawn by B. Wright)
2:23.0,A. Harrison makes 2-pt shot from 3 ft (assist by M. Conley),2,64-71,,
2:07.0,,,64-71,,A. Tolliver misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by T. Daniels,,64-71,,
1:54.0,M. Conley misses 2-pt shot from 3 ft (block by G. Temple),,64-71,,
1:54.0,Offensive rebound by Team,,64-71,,
1:44.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,66-71,,
1:24.0,,,66-74,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
1:04.0,B. Wright makes 2-pt shot from 6 ft (assist by A. Harrison),2,68-74,,
0:55.0,,,68-74,,Turnover by D. Collison (traveling)
0:33.0,M. Conley misses 3-pt shot from 25 ft,,68-74,,
0:32.0,,,68-74,,Defensive rebound by B. Hield
0:08.0,,,68-74,,G. Temple misses 3-pt shot from 25 ft
0:07.0,,,68-74,,Offensive rebound by Team
0:07.0,,,68-74,,Turnover by Team (shot clock)
0:01.0,A. Harrison misses 2-pt shot from 5 ft,,68-74,,
0:00.0,,,68-74,,Defensive rebound by W. Cauley-Stein
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,68-74,,B. McLemore misses 2-pt shot from 8 ft
11:36.0,Defensive rebound by T. Daniels,,68-74,,
11:31.0,J. Ennis misses 2-pt shot from 1 ft,,68-74,,
11:28.0,,,68-74,,Defensive rebound by A. Tolliver
11:18.0,,,68-74,,W. Cauley-Stein misses 2-pt shot from 12 ft
11:17.0,Defensive rebound by B. Wright,,68-74,,
10:59.0,Turnover by M. Conley (bad pass; steal by G. Temple),,68-74,,
10:55.0,,,68-76,2,B. McLemore makes 2-pt shot at rim (assist by G. Temple)
10:53.0,Memphis full timeout,,68-76,,
10:53.0,,,68-76,,K. Koufos enters the game for W. Cauley-Stein
10:44.0,,,68-76,,Personal foul by G. Temple (drawn by T. Daniels)
10:35.0,T. Daniels makes 2-pt shot from 23 ft (assist by M. Conley),2,70-76,,
10:17.0,,,70-76,,Turnover by G. Temple (bad pass; steal by B. Wright)
10:11.0,T. Daniels misses 3-pt shot from 25 ft,,70-76,,
10:11.0,Offensive rebound by Team,,70-76,,
10:11.0,,,70-76,,Loose ball foul by B. McLemore (drawn by B. Wright)
9:51.0,M. Conley makes 2-pt shot from 4 ft,2,72-76,,
9:33.0,,,72-76,,G. Temple misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Ennis,,72-76,,
9:22.0,M. Conley makes 2-pt shot from 18 ft,2,74-76,,
9:05.0,,,74-76,,Shooting foul by J. Ennis (drawn by T. Lawson)
9:05.0,,,74-76,,T. Lawson misses free throw 1 of 3
9:05.0,,,74-76,,Offensive rebound by Team
9:05.0,,,74-77,1,T. Lawson makes free throw 2 of 3
9:05.0,,,74-78,1,T. Lawson makes free throw 3 of 3
8:52.0,A. Harrison misses 2-pt shot from 2 ft (block by A. Tolliver),,74-78,,
8:50.0,Offensive rebound by M. Conley,,74-78,,
8:43.0,M. Conley misses 3-pt shot from 27 ft,,74-78,,
8:42.0,,,74-78,,Defensive rebound by A. Tolliver
8:35.0,,,74-80,2,T. Lawson makes 2-pt shot from 3 ft
8:35.0,,,74-80,,Shooting foul by B. Wright (drawn by T. Lawson)
8:35.0,,,74-81,1,T. Lawson makes free throw 1 of 1
8:35.0,Memphis full timeout,,74-81,,
8:35.0,V. Carter enters the game for J. Ennis,,74-81,,
8:35.0,,,74-81,,D. Collison enters the game for G. Temple
8:20.0,T. Daniels misses 2-pt shot from 14 ft,,74-81,,
8:18.0,Offensive rebound by B. Wright,,74-81,,
8:18.0,B. Wright makes 2-pt shot from 2 ft,2,76-81,,
8:01.0,,,76-81,,B. McLemore misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by V. Carter,,76-81,,
7:52.0,A. Harrison misses 2-pt shot from 3 ft (block by K. Koufos),,76-81,,
7:51.0,,,76-81,,Defensive rebound by K. Koufos
7:37.0,Def 3 sec tech foul by M. Conley,,76-81,,
7:37.0,,,76-82,1,D. Collison makes technical free throw
7:37.0,T. Allen enters the game for A. Harrison,,76-82,,
7:30.0,Personal foul by V. Carter (drawn by D. Collison),,76-82,,
7:23.0,,,76-84,2,K. Koufos makes 2-pt shot from 8 ft (assist by A. Tolliver)
7:09.0,M. Conley makes 2-pt shot from 10 ft,2,78-84,,
6:48.0,Z. Randolph enters the game for B. Wright,,78-84,,
6:48.0,,,78-84,,Sacramento full timeout
6:48.0,A. Harrison enters the game for M. Conley,,78-84,,
6:41.0,,,78-84,,D. Collison misses 2-pt shot from 20 ft
6:40.0,Defensive rebound by A. Harrison,,78-84,,
6:27.0,T. Daniels misses 3-pt shot from 26 ft,,78-84,,
6:26.0,Offensive rebound by T. Allen,,78-84,,
6:25.0,T. Allen misses 2-pt shot from 2 ft,,78-84,,
6:23.0,,,78-84,,Defensive rebound by A. Tolliver
6:21.0,Shooting block foul by T. Daniels (drawn by T. Lawson),,78-84,,
6:21.0,,,78-85,1,T. Lawson makes free throw 1 of 2
6:21.0,,,78-85,,T. Lawson misses free throw 2 of 2
6:20.0,Defensive rebound by V. Carter,,78-85,,
6:03.0,Z. Randolph misses 2-pt shot from 11 ft,,78-85,,
6:02.0,,,78-85,,Defensive rebound by D. Collison
5:43.0,,,78-85,,B. Hield enters the game for B. McLemore
5:38.0,,,78-85,,B. Hield misses 2-pt shot from 12 ft (block by V. Carter)
5:33.0,Defensive rebound by T. Allen,,78-85,,
5:24.0,T. Allen misses 2-pt shot from 11 ft,,78-85,,
5:22.0,,,78-85,,Defensive rebound by D. Collison
5:17.0,,,78-85,,B. Hield misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by Team,,78-85,,
5:17.0,,,78-85,,Loose ball foul by A. Tolliver (drawn by A. Harrison)
5:17.0,,,78-85,,G. Temple enters the game for T. Lawson
5:17.0,,,78-85,,W. Cauley-Stein enters the game for A. Tolliver
5:17.0,M. Conley enters the game for T. Allen,,78-85,,
5:17.0,J. Green enters the game for T. Daniels,,78-85,,
5:03.0,M. Conley misses 2-pt shot from 11 ft,,78-85,,
5:02.0,Offensive rebound by Z. Randolph,,78-85,,
5:01.0,Z. Randolph misses 2-pt shot from 7 ft,,78-85,,
5:00.0,Offensive rebound by J. Green,,78-85,,
4:59.0,J. Green makes 2-pt shot from 2 ft,2,80-85,,
4:40.0,,,80-85,,D. Collison misses 2-pt shot from 17 ft
4:39.0,,,80-85,,Offensive rebound by K. Koufos
4:21.0,,,80-85,,D. Collison misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by M. Conley,,80-85,,
4:01.0,J. Green misses 2-pt shot from 6 ft,,80-85,,
4:00.0,Offensive rebound by Z. Randolph,,80-85,,
4:00.0,Z. Randolph makes 2-pt shot from 1 ft,2,82-85,,
3:35.0,,,82-85,,W. Cauley-Stein misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by A. Harrison,,82-85,,
3:27.0,Shooting foul by K. Koufos (drawn by Z. Randolph),,82-85,,
