time,Golden State,pts.away,score,pts.home,LA Lakers
8:20.0,,,64-49,,Shooting foul by K. Durant (drawn by J. Clarkson)
8:20.0,,,64-50,1,J. Clarkson makes free throw 1 of 1
8:02.0,K. Durant misses 2-pt shot from 13 ft,,64-50,,
8:00.0,,,64-50,,Defensive rebound by T. Mozgov
7:44.0,Personal foul by K. Durant (drawn by T. Mozgov),,64-50,,
7:41.0,,,64-50,,Turnover by J. Calderon (lost ball; steal by S. Curry)
7:37.0,S. Curry makes 2-pt shot at rim,2,66-50,,
7:22.0,,,66-50,,Turnover by J. Calderon (bad pass; steal by S. Curry)
7:16.0,D. Green makes 2-pt shot at rim (assist by Z. Pachulia),2,68-50,,
7:16.0,,,68-50,,LA Lakers full timeout
7:12.0,,,68-50,,Turnover by B. Ingram (lost ball)
6:58.0,Z. Pachulia misses 2-pt shot from 17 ft,,68-50,,
6:57.0,,,68-50,,Defensive rebound by L. Deng
6:47.0,,,68-50,,J. Clarkson misses 2-pt shot from 6 ft
6:46.0,Defensive rebound by Z. Pachulia,,68-50,,
6:33.0,K. Durant makes 2-pt shot from 9 ft (assist by S. Curry),2,70-50,,
6:21.0,,,70-50,,Turnover by T. Mozgov (bad pass)
6:11.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,72-50,,
5:58.0,,,72-50,,L. Deng misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by K. Thompson,,72-50,,
5:50.0,K. Thompson misses 3-pt shot from 28 ft,,72-50,,
5:45.0,,,72-50,,Defensive rebound by B. Ingram
5:36.0,,,72-50,,T. Mozgov misses 2-pt shot from 5 ft
5:34.0,,,72-50,,Offensive rebound by T. Mozgov
5:28.0,,,72-50,,J. Clarkson misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by D. Green,,72-50,,
5:24.0,Turnover by K. Thompson (lost ball),,72-50,,
5:24.0,A. Iguodala enters the game for K. Durant,,72-50,,
5:24.0,,,72-50,,L. Williams enters the game for J. Clarkson
5:24.0,,,72-50,,L. Nance enters the game for T. Mozgov
5:01.0,,,72-52,2,B. Ingram makes 2-pt shot from 2 ft
5:01.0,,,72-52,,Violation by Team (jump ball)
4:43.0,K. Thompson misses 2-pt shot from 22 ft,,72-52,,
4:40.0,,,72-52,,Defensive rebound by L. Nance
4:25.0,,,72-54,2,L. Nance makes 2-pt shot from 6 ft (assist by J. Calderon)
4:10.0,Shooting foul by L. Nance (drawn by S. Curry),,72-54,,
4:10.0,S. Curry makes free throw 1 of 2,1,73-54,,
4:10.0,S. Curry makes free throw 2 of 2,1,74-54,,
4:10.0,,,73-54,,M. Huertas enters the game for J. Calderon
4:10.0,,,73-54,,T. Black enters the game for L. Deng
4:10.0,I. Clark enters the game for K. Thompson,,73-54,,
3:50.0,,,74-54,,B. Ingram misses 2-pt shot from 13 ft
3:49.0,,,74-54,,Offensive rebound by T. Black
3:45.0,,,74-56,2,T. Black makes 2-pt shot from 8 ft
3:22.0,A. Iguodala misses 2-pt shot from 12 ft,,74-56,,
3:21.0,Offensive rebound by S. Curry,,74-56,,
3:20.0,S. Curry misses 3-pt shot from 24 ft,,74-56,,
3:20.0,Offensive rebound by Team,,74-56,,
3:20.0,Turnover by Team (shot clock),,74-56,,
3:20.0,D. West enters the game for Z. Pachulia,,74-56,,
3:04.0,,,74-56,,L. Williams misses 2-pt shot from 3 ft
3:04.0,Defensive rebound by D. West,,74-56,,
3:04.0,Golden State full timeout,,74-56,,
3:04.0,,,74-56,,M. World Peace enters the game for B. Ingram
3:04.0,K. Durant enters the game for D. Green,,74-56,,
3:04.0,P. McCaw enters the game for I. Clark,,74-56,,
2:45.0,A. Iguodala misses 3-pt shot from 25 ft,,74-56,,
2:45.0,,,74-56,,Defensive rebound by Team
2:35.0,,,74-56,,M. Huertas misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by A. Iguodala,,74-56,,
2:22.0,K. Durant misses 2-pt shot from 14 ft,,74-56,,
2:20.0,,,74-56,,Defensive rebound by L. Williams
2:13.0,,,74-58,2,L. Williams makes 2-pt shot from 22 ft
2:04.0,,,74-58,,Personal foul by M. Huertas (drawn by D. West)
1:59.0,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala),3,77-58,,
1:38.0,,,77-58,,L. Williams misses 2-pt shot from 14 ft
1:38.0,,,77-58,,Offensive rebound by T. Black
1:38.0,,,77-58,,Shooting foul by S. Curry (drawn by T. Black)
1:38.0,,,77-59,1,T. Black makes free throw 1 of 2
1:38.0,,,77-60,1,T. Black makes free throw 2 of 2
1:38.0,K. Thompson enters the game for S. Curry,,77-59,,
1:21.0,K. Thompson misses 3-pt shot from 25 ft,,77-60,,
1:19.0,,,77-60,,Defensive rebound by L. Nance
1:10.0,,,77-62,2,T. Black makes 2-pt shot from 7 ft (assist by M. Huertas)
0:59.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,79-62,,
0:46.0,,,79-64,2,L. Nance makes 2-pt shot at rim (assist by M. World Peace)
0:25.0,Shooting foul by L. Nance (drawn by K. Durant),,79-64,,
0:25.0,K. Durant misses free throw 1 of 2,,79-64,,
0:25.0,Offensive rebound by Team,,79-64,,
0:25.0,K. Durant makes free throw 2 of 2,1,80-64,,
0:04.0,,,80-64,,L. Nance misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by K. Thompson,,80-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,80-64,,Personal foul by J. Clarkson (drawn by K. Durant)
11:44.0,Shooting foul by T. Black (drawn by K. Thompson),,80-64,,
11:44.0,K. Thompson misses free throw 1 of 2,,80-64,,
11:44.0,Offensive rebound by Team,,80-64,,
11:44.0,K. Thompson makes free throw 2 of 2,1,81-64,,
11:25.0,,,81-64,,L. Nance misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by K. Thompson,,81-64,,
11:16.0,Offensive foul by D. West,,81-64,,
11:16.0,Turnover by D. West (offensive foul),,81-64,,
11:02.0,,,81-64,,Turnover by L. Williams (bad pass)
10:40.0,K. Durant makes 3-pt shot from 25 ft,3,84-64,,
10:24.0,Personal foul by D. West (drawn by B. Ingram),,84-64,,
10:15.0,,,84-64,,L. Williams misses 3-pt shot from 23 ft
10:14.0,,,84-64,,Offensive rebound by L. Williams
10:08.0,,,84-64,,Shooting foul by K. Durant (drawn by T. Black)
10:08.0,,,84-65,1,T. Black makes free throw 1 of 2
10:08.0,,,84-66,1,T. Black makes free throw 2 of 2
9:49.0,K. Durant misses 3-pt shot from 25 ft,,84-66,,
9:48.0,Offensive rebound by D. West,,84-66,,
9:44.0,Turnover by D. West (bad pass; steal by T. Black),,84-66,,
9:31.0,,,84-66,,B. Ingram misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by A. Iguodala,,84-66,,
9:11.0,K. Durant makes 2-pt shot from 16 ft,2,86-66,,
