time,Sacramento,pts.away,score,pts.home,San Antonio
8:52.0,,,46-21,,Offensive rebound by D. Bertans
8:52.0,,,46-23,2,D. Bertans makes 2-pt shot from 1 ft
8:52.0,,,46-23,,Shooting foul by S. Labissiere (drawn by D. Bertans)
8:52.0,Official timeout,,46-23,,
8:52.0,,,46-24,1,D. Bertans makes free throw 1 of 1
8:52.0,,,46-23,,J. Simmons enters the game for K. Anderson
8:32.0,S. Labissiere makes 2-pt shot at rim,2,48-24,,
8:32.0,Shooting foul by D. Bertans (drawn by S. Labissiere),,48-24,,
8:32.0,S. Labissiere makes free throw 1 of 1,1,49-24,,
8:32.0,,,48-24,,D. Lee enters the game for D. Bertans
8:19.0,,,49-24,,J. Simmons misses 2-pt shot from 3 ft (block by S. Labissiere)
8:16.0,Defensive rebound by G. Temple,,49-24,,
8:11.0,B. Hield misses 3-pt shot from 22 ft,,49-24,,
8:07.0,Offensive rebound by S. Labissiere,,49-24,,
8:07.0,S. Labissiere misses 2-pt shot from 2 ft,,49-24,,
8:05.0,,,49-24,,Defensive rebound by D. Lee
8:00.0,Personal foul by W. Cauley-Stein (drawn by P. Gasol),,49-24,,
7:47.0,,,49-26,2,P. Gasol makes 2-pt shot from 16 ft (assist by J. Simmons)
7:32.0,S. Labissiere misses 2-pt shot from 8 ft,,49-26,,
7:31.0,,,49-26,,Defensive rebound by P. Gasol
7:11.0,,,49-29,3,J. Simmons makes 3-pt shot from 25 ft (assist by P. Gasol)
6:53.0,B. Hield misses 3-pt shot from 26 ft,,49-29,,
6:52.0,,,49-29,,Defensive rebound by D. Lee
6:39.0,,,49-29,,J. Simmons misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by G. Temple,,49-29,,
6:35.0,Shooting foul by P. Gasol (drawn by T. Lawson),,49-29,,
6:35.0,T. Lawson makes free throw 1 of 2,1,50-29,,
6:35.0,T. Lawson makes free throw 2 of 2,1,51-29,,
6:18.0,,,51-29,,Turnover by T. Parker (lost ball; steal by G. Temple)
6:12.0,B. Hield makes 3-pt shot from 26 ft (assist by G. Temple),3,54-29,,
6:02.0,,,54-29,,Turnover by D. Lee (traveling)
5:59.0,Sacramento full timeout,,54-29,,
5:59.0,,,54-29,,D. Murray enters the game for T. Parker
5:59.0,,,54-29,,P. Mills enters the game for D. Green
5:59.0,,,54-29,,K. Anderson enters the game for P. Gasol
5:43.0,S. Labissiere makes 2-pt shot from 11 ft,2,56-29,,
5:19.0,,,56-29,,D. Murray misses 2-pt shot from 18 ft
5:18.0,Defensive rebound by S. Labissiere,,56-29,,
5:04.0,G. Temple misses 3-pt shot from 23 ft,,56-29,,
5:03.0,,,56-29,,Defensive rebound by D. Murray
4:58.0,,,56-29,,Shooting foul by W. Cauley-Stein (drawn by J. Simmons)
4:58.0,,,56-30,1,J. Simmons makes free throw 1 of 2
4:58.0,,,56-31,1,J. Simmons makes free throw 2 of 2
4:58.0,A. Tolliver enters the game for W. Cauley-Stein,,56-30,,
4:58.0,K. Koufos enters the game for S. Labissiere,,56-30,,
4:49.0,K. Koufos misses 2-pt shot from 3 ft (block by D. Lee),,56-31,,
4:49.0,Offensive rebound by Team,,56-31,,
4:49.0,,,56-31,,M. Ginobili enters the game for J. Simmons
4:49.0,Jump ball: K. Koufos vs. D. Lee (T. Lawson gains possession),,,,Jump ball: K. Koufos vs. D. Lee (T. Lawson gains possession)
4:42.0,B. Hield makes 3-pt shot from 24 ft (assist by T. Lawson),3,59-31,,
4:33.0,,,59-34,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Anderson)
4:15.0,T. Lawson misses 2-pt shot from 12 ft,,59-34,,
4:14.0,Offensive rebound by Team,,59-34,,
4:14.0,T. Evans enters the game for G. Temple,,59-34,,
3:53.0,A. Tolliver makes 2-pt shot from 2 ft (assist by B. Hield),2,61-34,,
3:38.0,,,61-36,2,M. Ginobili makes 2-pt shot from 1 ft (assist by K. Anderson)
3:25.0,A. Tolliver misses 2-pt shot from 15 ft,,61-36,,
3:24.0,,,61-36,,Defensive rebound by D. Murray
3:16.0,,,61-36,,M. Ginobili misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by T. Lawson,,61-36,,
3:03.0,Turnover by B. Hield (lost ball; steal by P. Mills),,61-36,,
2:57.0,,,61-38,2,K. Anderson makes 2-pt shot from 2 ft (assist by P. Mills)
2:50.0,Sacramento full timeout,,61-38,,
2:50.0,,,61-38,,San Antonio full timeout
2:50.0,A. Afflalo enters the game for T. Lawson,,61-38,,
2:50.0,D. Collison enters the game for B. Hield,,61-38,,
2:34.0,T. Evans misses 2-pt shot from 4 ft,,61-38,,
2:33.0,,,61-38,,Defensive rebound by D. Lee
2:24.0,,,61-40,2,D. Lee makes 2-pt shot at rim (assist by K. Anderson)
2:01.0,D. Collison misses 2-pt shot from 16 ft,,61-40,,
1:58.0,,,61-40,,Defensive rebound by D. Lee
1:51.0,,,61-42,2,D. Murray makes 2-pt shot from 2 ft (assist by M. Ginobili)
1:51.0,,,61-42,,Shooting foul by A. Tolliver (drawn by D. Murray)
1:51.0,,,61-42,,D. Murray misses free throw 1 of 1
1:50.0,Defensive rebound by K. Koufos,,61-42,,
1:29.0,A. Afflalo misses 2-pt shot from 14 ft,,61-42,,
1:28.0,,,61-42,,Defensive rebound by D. Murray
1:15.0,,,61-45,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Murray)
1:01.0,Turnover by A. Afflalo (bad pass),,61-45,,
0:53.0,Shooting block foul by K. Koufos (drawn by D. Lee),,61-45,,
0:53.0,,,61-45,,D. Lee misses free throw 1 of 2
0:53.0,,,61-45,,Offensive rebound by Team
0:53.0,,,61-45,,D. Lee misses free throw 2 of 2
0:51.0,Defensive rebound by K. Koufos,,61-45,,
0:50.0,,,61-45,,Personal foul by M. Ginobili (drawn by K. Koufos)
0:36.0,Sacramento full timeout,,61-45,,
0:31.0,K. Koufos makes 2-pt shot at rim (assist by T. Evans),2,63-45,,
0:07.0,,,63-48,3,K. Anderson makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:00.0,Turnover by K. Koufos (lost ball; steal by M. Ginobili),,63-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,63-50,2,D. Lee makes 2-pt shot from 2 ft (assist by D. Dedmon)
11:20.0,D. Collison misses 2-pt shot from 22 ft,,63-50,,
11:19.0,,,63-50,,Defensive rebound by D. Lee
11:06.0,,,63-50,,Shooting foul by A. Tolliver (drawn by D. Lee)
11:06.0,,,63-51,1,D. Lee makes free throw 1 of 2
11:06.0,,,63-52,1,D. Lee makes free throw 2 of 2
10:44.0,A. Afflalo makes 2-pt shot from 20 ft (assist by D. Collison),2,65-52,,
10:31.0,,,65-54,2,J. Simmons makes 2-pt shot from 1 ft (assist by T. Parker)
10:31.0,,,65-54,,Shooting foul by K. Koufos (drawn by J. Simmons)
10:31.0,,,65-55,1,J. Simmons makes free throw 1 of 1
10:06.0,T. Evans makes 3-pt shot from 25 ft,3,68-55,,
9:53.0,Personal foul by D. Collison (drawn by T. Parker),,68-55,,
9:47.0,,,68-55,,J. Simmons misses 2-pt shot from 18 ft (block by D. Collison)
9:45.0,Defensive rebound by K. Koufos,,68-55,,
9:45.0,,,68-55,,Personal foul by D. Lee (drawn by K. Koufos)
9:25.0,A. Tolliver misses 3-pt shot from 27 ft,,68-55,,
9:24.0,,,68-55,,Defensive rebound by D. Dedmon
9:04.0,,,68-55,,Turnover by J. Simmons (bad pass)
8:54.0,T. Evans misses 3-pt shot from 26 ft,,68-55,,
8:52.0,,,68-55,,Defensive rebound by D. Dedmon
8:40.0,,,68-55,,J. Simmons misses 2-pt shot from 3 ft
8:38.0,Defensive rebound by K. Koufos,,68-55,,
8:17.0,D. Collison misses 3-pt shot from 25 ft,,68-55,,
8:15.0,,,68-55,,Defensive rebound by D. Dedmon
8:02.0,,,68-57,2,J. Simmons makes 2-pt shot from 19 ft
7:38.0,T. Evans makes 2-pt shot from 3 ft,2,70-57,,
7:38.0,,,70-57,,San Antonio full timeout
7:38.0,,,70-57,,P. Mills enters the game for T. Parker
7:38.0,,,70-57,,M. Ginobili enters the game for J. Simmons
7:28.0,,,70-59,2,M. Ginobili makes 2-pt shot from 2 ft
7:11.0,T. Evans makes 2-pt shot from 1 ft (assist by A. Tolliver),2,72-59,,
7:04.0,,,72-62,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
6:46.0,T. Evans makes 2-pt shot from 20 ft,2,74-62,,
6:33.0,,,74-64,2,D. Lee makes 2-pt shot from 7 ft (assist by M. Ginobili)
6:25.0,Turnover by D. Collison (lost ball; steal by D. Green),,74-64,,
6:20.0,,,74-64,,D. Green misses 2-pt shot from 3 ft
6:18.0,Defensive rebound by D. Collison,,74-64,,
6:07.0,Turnover by D. Collison (bad pass; steal by M. Ginobili),,74-64,,
6:03.0,,,74-64,,M. Ginobili misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by K. Koufos,,74-64,,
5:43.0,A. Afflalo misses 2-pt shot from 6 ft,,74-64,,
5:42.0,,,74-64,,Defensive rebound by M. Ginobili
5:39.0,,,74-64,,Turnover by M. Ginobili (bad pass; steal by T. Evans)
5:17.0,K. Koufos misses 2-pt shot from 7 ft (block by D. Lee),,74-64,,
5:16.0,,,74-64,,Defensive rebound by D. Green
5:08.0,,,74-64,,D. Green misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by K. Koufos,,74-64,,
5:08.0,Sacramento full timeout,,74-64,,
5:08.0,,,74-64,,P. Gasol enters the game for D. Lee
5:08.0,,,74-64,,K. Anderson enters the game for D. Green
5:08.0,,,74-64,,D. Bertans enters the game for D. Dedmon
5:08.0,W. Cauley-Stein enters the game for K. Koufos,,74-64,,
5:08.0,G. Temple enters the game for A. Afflalo,,74-64,,
4:52.0,G. Temple misses 3-pt shot from 25 ft,,74-64,,
4:51.0,,,74-64,,Defensive rebound by P. Gasol
4:30.0,,,74-64,,M. Ginobili misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by G. Temple,,74-64,,
4:06.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Evans),2,76-64,,
3:40.0,,,76-66,2,D. Bertans makes 2-pt shot from 17 ft (assist by P. Mills)
3:25.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,76-66,,
3:23.0,,,76-66,,Defensive rebound by P. Gasol
3:15.0,,,76-69,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Bertans)
2:54.0,T. Evans makes 2-pt shot from 3 ft (assist by D. Collison),2,78-69,,
2:43.0,,,78-71,2,P. Mills makes 2-pt shot from 2 ft
2:30.0,D. Collison misses 2-pt shot from 19 ft,,78-71,,
2:28.0,,,78-71,,Defensive rebound by K. Anderson
2:24.0,Personal foul by A. Tolliver,,78-71,,
2:24.0,T. Lawson enters the game for D. Collison,,78-71,,
2:24.0,B. Hield enters the game for T. Evans,,78-71,,
2:19.0,Personal foul by G. Temple (drawn by M. Ginobili),,78-71,,
2:19.0,,,78-72,1,M. Ginobili makes free throw 1 of 2
2:19.0,,,78-73,1,M. Ginobili makes free throw 2 of 2
2:05.0,G. Temple makes 2-pt shot from 7 ft,2,80-73,,
2:05.0,Shooting foul by D. Bertans (drawn by G. Temple),,80-73,,
2:05.0,G. Temple misses free throw 1 of 1,,80-73,,
2:05.0,S. Labissiere enters the game for A. Tolliver,,80-73,,
2:04.0,,,80-73,,Defensive rebound by K. Anderson
1:55.0,,,80-75,2,P. Gasol makes 2-pt shot at rim (assist by P. Mills)
1:32.0,Turnover by G. Temple (bad pass; steal by K. Anderson),,80-75,,
1:24.0,,,80-78,3,M. Ginobili makes 3-pt shot from 25 ft
1:05.0,S. Labissiere makes 2-pt shot from 5 ft (assist by T. Lawson),2,82-78,,
0:56.0,,,82-80,2,P. Mills makes 2-pt shot from 2 ft
0:47.0,Turnover by S. Labissiere (lost ball; steal by K. Anderson),,82-80,,
0:41.0,,,82-80,,D. Bertans misses 3-pt shot from 25 ft
0:38.0,,,82-80,,Offensive rebound by P. Gasol
0:38.0,,,82-80,,Shooting foul by S. Labissiere (drawn by P. Gasol)
0:38.0,,,82-81,1,P. Gasol makes free throw 1 of 2
0:38.0,,,82-82,1,P. Gasol makes free throw 2 of 2
0:29.0,T. Lawson makes 2-pt shot from 19 ft,2,84-82,,
0:06.0,,,84-82,,D. Bertans misses 2-pt shot at rim
0:05.0,Defensive rebound by S. Labissiere,,84-82,,
0:03.0,,,84-82,,Personal take foul by P. Mills
0:00.0,S. Labissiere makes 2-pt shot from 15 ft (assist by G. Temple),2,86-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Lawson misses 2-pt shot from 13 ft,,86-82,,
11:43.0,,,86-82,,Defensive rebound by J. Simmons
11:34.0,,,86-82,,D. Green misses 3-pt shot from 25 ft
11:33.0,,,86-82,,Offensive rebound by D. Lee
11:30.0,,,86-82,,D. Green misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by B. Hield,,86-82,,
11:18.0,Offensive charge foul by S. Labissiere,,86-82,,
11:18.0,Turnover by S. Labissiere (offensive foul),,86-82,,
11:03.0,,,86-82,,Turnover by D. Green (lost ball; steal by G. Temple)
11:03.0,,,86-82,,Loose ball foul by K. Anderson (drawn by G. Temple)
10:39.0,W. Cauley-Stein makes 2-pt shot from 16 ft,2,88-82,,
10:23.0,,,88-84,2,D. Lee makes 2-pt shot from 3 ft (assist by D. Murray)
10:18.0,Turnover by S. Labissiere (bad pass; steal by D. Murray),,88-84,,
10:01.0,,,88-86,2,D. Lee makes 2-pt shot from 15 ft (assist by D. Murray)
10:01.0,Sacramento full timeout,,88-86,,
9:48.0,B. Hield misses 2-pt shot from 4 ft (block by K. Anderson),,88-86,,
9:46.0,,,88-86,,Defensive rebound by J. Simmons
9:36.0,,,88-86,,K. Anderson misses 2-pt shot from 3 ft
9:36.0,,,88-86,,Offensive rebound by D. Lee
9:36.0,,,88-88,2,D. Lee makes 2-pt shot from 2 ft
9:36.0,,,88-88,,Shooting foul by G. Temple (drawn by D. Lee)
9:36.0,,,88-88,,D. Lee misses free throw 1 of 1
9:33.0,,,88-88,,Offensive rebound by J. Simmons
9:30.0,Personal foul by W. Cauley-Stein (drawn by D. Lee),,88-88,,
9:10.0,,,88-88,,J. Simmons misses 3-pt shot from 25 ft
9:09.0,,,88-88,,Offensive rebound by Team
8:57.0,,,88-88,,Turnover by D. Green (lost ball; steal by G. Temple)
8:47.0,,,88-88,,Loose ball foul by D. Green (drawn by G. Temple)
8:47.0,,,88-88,,Personal foul by J. Simmons (drawn by G. Temple)
8:38.0,S. Labissiere makes 2-pt shot from 17 ft (assist by T. Lawson),2,90-88,,
8:21.0,,,90-90,2,J. Simmons makes 2-pt shot from 17 ft
8:17.0,,,90-90,,Personal take foul by J. Simmons (drawn by G. Temple)
8:17.0,,,90-90,,D. Bertans enters the game for K. Anderson
8:11.0,B. Hield misses 2-pt shot from 17 ft,,90-90,,
8:06.0,Offensive rebound by S. Labissiere,,90-90,,
8:06.0,S. Labissiere makes 2-pt shot at rim,2,92-90,,
7:46.0,,,92-92,2,J. Simmons makes 2-pt shot from 13 ft
7:32.0,S. Labissiere misses 2-pt shot from 10 ft,,92-92,,
7:30.0,,,92-92,,Defensive rebound by D. Lee
7:16.0,,,92-92,,D. Green misses 2-pt shot from 13 ft
7:15.0,Defensive rebound by S. Labissiere,,92-92,,
7:06.0,W. Cauley-Stein misses 2-pt shot at rim (block by D. Bertans),,92-92,,
7:04.0,,,92-92,,Defensive rebound by D. Bertans
6:54.0,,,92-92,,D. Murray misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by S. Labissiere,,92-92,,
6:46.0,W. Cauley-Stein misses 2-pt shot at rim,,92-92,,
6:44.0,,,92-92,,Defensive rebound by D. Lee
6:42.0,,,92-92,,San Antonio full timeout
6:42.0,,,92-92,,P. Mills enters the game for D. Murray
6:42.0,,,92-92,,M. Ginobili enters the game for D. Green
6:42.0,,,92-92,,P. Gasol enters the game for D. Lee
6:42.0,K. Koufos enters the game for S. Labissiere,,92-92,,
6:37.0,Personal foul by W. Cauley-Stein (drawn by P. Gasol),,92-92,,
6:27.0,,,92-95,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
6:05.0,G. Temple misses 3-pt shot from 24 ft,,92-95,,
6:03.0,,,92-95,,Defensive rebound by D. Bertans
5:52.0,A. Afflalo enters the game for G. Temple,,92-95,,
5:52.0,T. Evans enters the game for B. Hield,,92-95,,
5:48.0,,,92-95,,M. Ginobili misses 2-pt shot from 15 ft
5:47.0,Defensive rebound by K. Koufos,,92-95,,
5:25.0,A. Afflalo misses 2-pt shot from 21 ft,,92-95,,
5:24.0,Offensive rebound by Team,,92-95,,
5:15.0,T. Lawson makes 2-pt shot from 15 ft,2,94-95,,
5:00.0,,,94-95,,J. Simmons misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by K. Koufos,,94-95,,
4:39.0,Turnover by T. Lawson (bad pass; steal by D. Bertans),,94-95,,
4:34.0,,,94-95,,Turnover by J. Simmons (lost ball; steal by T. Evans)
4:19.0,Turnover by T. Evans (bad pass; steal by M. Ginobili),,94-95,,
4:18.0,Personal foul by K. Koufos (drawn by M. Ginobili),,94-95,,
4:18.0,,,94-95,,D. Lee enters the game for P. Gasol
4:03.0,,,94-95,,M. Ginobili misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by A. Afflalo,,94-95,,
3:48.0,K. Koufos misses 2-pt shot from 7 ft,,94-95,,
3:47.0,,,94-95,,Defensive rebound by M. Ginobili
3:36.0,,,94-98,3,P. Mills makes 3-pt shot from 23 ft (assist by J. Simmons)
3:36.0,,,94-98,,Shooting foul by T. Lawson
3:36.0,,,94-99,1,P. Mills makes free throw 1 of 1
3:36.0,,,94-98,,D. Green enters the game for D. Bertans
3:26.0,,,94-99,,Personal foul by J. Simmons (drawn by T. Evans)
3:26.0,T. Evans makes free throw 1 of 2,1,95-99,,
3:26.0,T. Evans misses free throw 2 of 2,,95-99,,
3:25.0,,,95-99,,Defensive rebound by D. Lee
3:09.0,,,95-101,2,D. Lee makes 2-pt shot at rim (assist by P. Mills)
2:53.0,,,95-101,,Personal foul by J. Simmons (drawn by A. Afflalo)
2:53.0,Official timeout,,95-101,,
2:53.0,A. Afflalo makes free throw 1 of 2,1,96-101,,
2:53.0,A. Afflalo makes free throw 2 of 2,1,97-101,,
2:53.0,G. Temple enters the game for W. Cauley-Stein,,95-101,,
2:37.0,,,97-101,,D. Green misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by G. Temple,,97-101,,
2:33.0,,,97-101,,Shooting block foul by J. Simmons (drawn by G. Temple)
2:33.0,G. Temple makes free throw 1 of 2,1,98-101,,
2:33.0,G. Temple makes free throw 2 of 2,1,99-101,,
