time,Sacramento,pts.away,score,pts.home,Cleveland
3:26.0,T. Lawson misses 2-pt shot from 13 ft,,13-19,,
3:26.0,,,13-19,,Defensive rebound by K. Love
3:18.0,,,13-22,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
2:52.0,G. Temple makes 2-pt shot from 1 ft (assist by D. Cousins),2,15-22,,
2:45.0,Personal foul by D. Cousins (drawn by K. Love),,15-22,,
2:45.0,,,15-22,,K. Korver enters the game for L. James
2:32.0,,,15-22,,K. Irving misses 2-pt shot from 8 ft
2:31.0,Defensive rebound by G. Temple,,15-22,,
2:24.0,G. Temple makes 3-pt shot from 24 ft (assist by T. Lawson),3,18-22,,
2:05.0,,,18-24,2,K. Love makes 2-pt shot at rim (assist by K. Korver)
1:42.0,A. Afflalo makes 2-pt shot from 7 ft,2,20-24,,
1:22.0,,,20-26,2,K. Love makes 2-pt shot from 1 ft (assist by I. Shumpert)
1:06.0,A. Tolliver makes 2-pt shot from 1 ft (assist by D. Cousins),2,22-26,,
0:55.0,Personal foul by G. Temple (drawn by K. Korver),,22-26,,
0:55.0,M. Barnes enters the game for G. Temple,,22-26,,
0:45.0,,,22-26,,K. Irving misses 2-pt shot from 1 ft
0:43.0,,,22-26,,Offensive rebound by K. Love
0:43.0,,,22-26,,K. Love misses 2-pt shot from 2 ft
0:38.0,Defensive rebound by A. Tolliver,,22-26,,
0:33.0,T. Lawson misses 2-pt shot from 19 ft (block by K. Korver),,22-26,,
0:31.0,,,22-26,,Defensive rebound by K. Irving
0:27.0,,,22-26,,K. Irving misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by D. Cousins,,22-26,,
0:04.0,D. Cousins misses 2-pt shot from 16 ft,,22-26,,
0:02.0,,,22-26,,Defensive rebound by K. Love
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-26,,Shooting foul by W. Cauley-Stein (drawn by K. Felder)
11:46.0,,,22-27,1,K. Felder makes free throw 1 of 2
11:46.0,,,22-27,,K. Felder misses free throw 2 of 2
11:45.0,,,22-27,,Offensive rebound by J. Jones
11:44.0,Personal foul by M. Richardson (drawn by J. Jones),,22-27,,
11:34.0,,,22-29,2,C. Frye makes 2-pt shot from 22 ft (assist by L. James)
11:21.0,M. Barnes misses 2-pt shot from 2 ft (block by C. Frye),,22-29,,
11:20.0,Offensive rebound by M. Barnes,,22-29,,
11:17.0,M. Barnes misses 2-pt shot from 17 ft,,22-29,,
11:17.0,,,22-29,,Defensive rebound by C. Frye
10:55.0,,,22-29,,J. Jones misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by M. Barnes,,22-29,,
10:39.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by M. Barnes),2,24-29,,
10:17.0,,,24-29,,Turnover by K. Felder (bad pass; steal by M. Richardson)
10:09.0,M. Richardson makes 2-pt shot from 23 ft (assist by M. Barnes),2,26-29,,
9:48.0,,,26-29,,L. James misses 3-pt shot from 27 ft
9:48.0,Defensive rebound by M. Barnes,,26-29,,
9:40.0,T. Lawson makes 2-pt shot from 6 ft (assist by A. Tolliver),2,28-29,,
9:40.0,Shooting foul by K. Felder (drawn by T. Lawson),,28-29,,
9:40.0,T. Lawson makes free throw 1 of 1,1,29-29,,
9:16.0,,,29-32,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
8:52.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Richardson),3,32-32,,
8:42.0,Personal foul by M. Barnes (drawn by K. Felder),,32-32,,
8:42.0,Official timeout,,32-32,,
8:37.0,,,32-32,,Turnover by C. Frye (bad pass)
8:15.0,M. Barnes misses 3-pt shot from 24 ft,,32-32,,
8:15.0,,,32-32,,Defensive rebound by J. Jones
8:07.0,,,32-32,,Shooting foul by W. Cauley-Stein (drawn by K. Felder)
8:07.0,,,32-32,,K. Felder misses free throw 1 of 2
8:07.0,,,32-32,,Offensive rebound by Team
8:07.0,,,32-32,,K. Felder misses free throw 2 of 2
8:07.0,,,32-32,,T. Thompson enters the game for J. Jones
8:06.0,Defensive rebound by W. Cauley-Stein,,32-32,,
7:53.0,M. Richardson makes 2-pt shot at rim (assist by T. Lawson),2,34-32,,
7:53.0,Shooting foul by K. Felder (drawn by M. Richardson),,34-32,,
7:53.0,M. Richardson makes free throw 1 of 1,1,35-32,,
7:33.0,,,35-32,,Turnover by K. Felder (bad pass; steal by W. Cauley-Stein)
7:26.0,M. Richardson misses 3-pt shot from 25 ft,,35-32,,
7:24.0,Offensive rebound by M. Barnes,,35-32,,
7:19.0,M. Barnes misses 3-pt shot from 25 ft,,35-32,,
7:19.0,,,35-32,,Defensive rebound by Team
7:19.0,,,35-32,,K. Irving enters the game for K. Felder
7:12.0,,,35-32,,Turnover by K. Irving (lost ball; steal by T. Lawson)
6:56.0,T. Lawson misses 3-pt shot from 26 ft,,35-32,,
6:56.0,,,35-32,,Defensive rebound by T. Thompson
6:49.0,Personal foul by M. Barnes (drawn by L. James),,35-32,,
6:49.0,,,35-33,1,L. James makes free throw 1 of 2
6:49.0,,,35-33,,L. James misses free throw 2 of 2
6:48.0,Defensive rebound by W. Cauley-Stein,,35-33,,
6:34.0,Shooting foul by C. Frye (drawn by W. Cauley-Stein),,35-33,,
6:34.0,W. Cauley-Stein makes free throw 1 of 2,1,36-33,,
6:34.0,W. Cauley-Stein makes free throw 2 of 2,1,37-33,,
6:34.0,D. Collison enters the game for T. Lawson,,36-33,,
6:34.0,D. Cousins enters the game for A. Tolliver,,36-33,,
6:12.0,,,37-33,,C. Frye misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by M. Barnes,,37-33,,
5:59.0,D. Cousins misses 3-pt shot from 26 ft,,37-33,,
5:58.0,Offensive rebound by M. Richardson,,37-33,,
5:54.0,M. Richardson makes 2-pt shot from 18 ft,2,39-33,,
5:33.0,,,39-33,,K. Korver misses 2-pt shot from 15 ft
5:33.0,,,39-33,,Offensive rebound by T. Thompson
5:25.0,,,39-35,2,T. Thompson makes 2-pt shot from 3 ft (assist by K. Irving)
5:01.0,D. Cousins misses 2-pt shot from 17 ft,,39-35,,
5:00.0,Offensive rebound by Team,,39-35,,
5:00.0,Turnover by Team (shot clock),,39-35,,
5:00.0,,,39-35,,Cleveland full timeout
5:00.0,,,39-35,,I. Shumpert enters the game for K. Korver
5:00.0,,,39-35,,K. Love enters the game for C. Frye
5:00.0,A. Afflalo enters the game for M. Barnes,,39-35,,
5:00.0,K. Koufos enters the game for W. Cauley-Stein,,39-35,,
4:42.0,,,39-35,,Shooting foul by D. Cousins (drawn by K. Love)
4:42.0,,,39-35,,K. Love misses free throw 1 of 2
4:42.0,,,39-35,,Offensive rebound by Team
4:42.0,,,39-36,1,K. Love makes free throw 2 of 2
4:42.0,,,39-35,,K. Korver enters the game for L. James
4:29.0,A. Afflalo misses 2-pt shot from 19 ft,,39-36,,
4:28.0,Offensive rebound by D. Collison,,39-36,,
4:20.0,M. Richardson makes 2-pt shot from 15 ft (assist by A. Afflalo),2,41-36,,
4:08.0,,,41-36,,Shooting foul by M. Richardson (drawn by T. Thompson)
4:08.0,,,41-36,,T. Thompson misses free throw 1 of 2
4:08.0,,,41-36,,Offensive rebound by Team
4:08.0,,,41-36,,T. Thompson misses free throw 2 of 2
4:07.0,Defensive rebound by D. Cousins,,41-36,,
3:50.0,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Cousins),3,44-36,,
3:32.0,,,44-36,,K. Irving misses 2-pt shot from 10 ft
3:31.0,,,44-36,,Offensive rebound by Team
3:31.0,Loose ball foul by A. Afflalo (drawn by T. Thompson),,44-36,,
3:31.0,,,44-37,1,T. Thompson makes free throw 1 of 2
3:31.0,,,44-38,1,T. Thompson makes free throw 2 of 2
3:31.0,G. Temple enters the game for M. Richardson,,44-37,,
3:15.0,D. Collison makes 2-pt shot from 18 ft (assist by D. Cousins),2,46-38,,
3:04.0,,,46-38,,Turnover by K. Love (bad pass; steal by G. Temple)
3:00.0,D. Collison misses 2-pt shot from 1 ft (block by K. Irving),,46-38,,
2:59.0,Offensive rebound by Team,,46-38,,
2:59.0,Sacramento full timeout,,46-38,,
2:41.0,D. Cousins misses 2-pt shot from 7 ft,,46-38,,
2:40.0,,,46-38,,Defensive rebound by K. Love
2:18.0,,,46-41,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Irving)
1:52.0,D. Cousins misses 2-pt shot from 3 ft,,46-41,,
1:49.0,,,46-41,,Defensive rebound by T. Thompson
1:36.0,,,46-41,,I. Shumpert misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by D. Collison,,46-41,,
1:33.0,Shooting foul by I. Shumpert (drawn by D. Collison),,46-41,,
1:33.0,D. Collison makes free throw 1 of 2,1,47-41,,
1:33.0,D. Collison makes free throw 2 of 2,1,48-41,,
1:33.0,,,47-41,,L. James enters the game for T. Thompson
1:33.0,,,47-41,,D. Liggins enters the game for I. Shumpert
1:22.0,,,48-41,,K. Irving misses 2-pt shot from 4 ft (block by D. Collison)
1:22.0,,,48-41,,Offensive rebound by Team
1:22.0,A. Tolliver enters the game for K. Koufos,,48-41,,
1:08.0,,,48-43,2,K. Irving makes 2-pt shot from 1 ft (assist by K. Korver)
1:05.0,D. Collison misses 2-pt shot from 3 ft (block by K. Irving),,48-43,,
1:04.0,,,48-43,,Defensive rebound by K. Love
1:01.0,Violation by D. Cousins (kicked ball),,48-43,,
0:54.0,,,48-43,,Turnover by K. Irving (bad pass; steal by D. Collison)
0:44.0,A. Tolliver misses 2-pt shot from 18 ft,,48-43,,
0:41.0,,,48-43,,Defensive rebound by K. Love
0:38.0,,,48-46,3,K. Korver makes 3-pt shot from 26 ft (assist by L. James)
0:38.0,Sacramento full timeout,,48-46,,
0:24.0,,,48-46,,Personal foul by K. Irving (drawn by D. Collison)
0:24.0,D. Collison makes free throw 1 of 2,1,49-46,,
0:24.0,D. Collison makes free throw 2 of 2,1,50-46,,
0:24.0,W. Cauley-Stein enters the game for D. Cousins,,49-46,,
0:24.0,,,49-46,,C. Frye enters the game for D. Liggins
0:07.0,Personal foul by A. Afflalo (drawn by K. Love),,50-46,,
0:07.0,,,50-46,,K. Love misses free throw 1 of 2
0:07.0,,,50-46,,Offensive rebound by Team
0:07.0,,,50-47,1,K. Love makes free throw 2 of 2
0:07.0,,,50-46,,D. Liggins enters the game for K. Irving
0:07.0,,,50-46,,J. Jones enters the game for C. Frye
0:07.0,T. Lawson enters the game for G. Temple,,50-46,,
0:01.0,D. Collison makes 3-pt shot from 24 ft,3,53-47,,
0:00.0,,,53-47,,D. Liggins misses 3-pt shot from 41 ft
0:00.0,,,53-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-47,,Shooting foul by K. Koufos (drawn by L. James)
11:50.0,,,53-48,1,L. James makes free throw 1 of 2
11:50.0,,,53-49,1,L. James makes free throw 2 of 2
11:29.0,D. Cousins misses 2-pt shot from 5 ft,,53-49,,
11:26.0,,,53-49,,Defensive rebound by K. Love
11:22.0,,,53-49,,I. Shumpert misses 3-pt shot from 23 ft
11:20.0,,,53-49,,Offensive rebound by L. James
11:18.0,,,53-49,,K. Irving misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by D. Cousins,,53-49,,
11:18.0,,,53-49,,Personal foul by K. Love (drawn by D. Cousins)
11:05.0,Turnover by A. Afflalo (bad pass; steal by K. Irving),,53-49,,
10:59.0,,,53-51,2,K. Irving makes 2-pt shot from 1 ft
10:39.0,G. Temple misses 3-pt shot from 23 ft,,53-51,,
10:38.0,Offensive rebound by K. Koufos,,53-51,,
10:38.0,K. Koufos misses 2-pt shot from 1 ft,,53-51,,
10:38.0,,,53-51,,Defensive rebound by T. Thompson
10:24.0,,,53-53,2,L. James makes 2-pt shot from 1 ft
10:24.0,,,53-53,,Shooting foul by A. Afflalo (drawn by L. James)
10:24.0,,,53-53,,L. James misses free throw 1 of 1
10:23.0,Defensive rebound by K. Koufos,,53-53,,
10:03.0,D. Collison makes 3-pt shot from 26 ft (assist by D. Cousins),3,56-53,,
9:59.0,,,56-53,,Technical foul by I. Shumpert
9:59.0,D. Cousins misses technical free throw,,56-53,,
9:59.0,,,56-53,,Offensive rebound by Team
9:43.0,,,56-55,2,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving)
9:30.0,Shooting foul by T. Thompson (drawn by D. Cousins),,56-55,,
9:30.0,D. Cousins makes free throw 1 of 2,1,57-55,,
9:30.0,D. Cousins makes free throw 2 of 2,1,58-55,,
9:21.0,,,58-55,,Turnover by K. Irving (bad pass; steal by D. Collison)
9:20.0,,,58-55,,Personal foul by K. Irving (drawn by D. Collison)
9:06.0,D. Cousins makes 2-pt shot from 19 ft (assist by A. Afflalo),2,60-55,,
8:47.0,,,60-57,2,L. James makes 2-pt shot from 1 ft
8:22.0,D. Cousins misses 2-pt shot from 2 ft,,60-57,,
8:20.0,,,60-57,,Defensive rebound by L. James
8:15.0,,,60-59,2,L. James makes 2-pt shot from 4 ft
7:59.0,G. Temple misses 3-pt shot from 24 ft,,60-59,,
7:59.0,,,60-59,,Defensive rebound by L. James
7:53.0,,,60-61,2,L. James makes 2-pt shot at rim
7:44.0,Sacramento full timeout,,60-61,,
7:25.0,A. Afflalo makes 3-pt shot from 25 ft,3,63-61,,
7:02.0,,,63-63,2,I. Shumpert makes 2-pt shot from 17 ft (assist by K. Love)
6:39.0,D. Collison misses 2-pt shot from 15 ft,,63-63,,
6:38.0,Offensive rebound by D. Cousins,,63-63,,
6:38.0,D. Cousins misses 2-pt shot from 1 ft,,63-63,,
6:37.0,Offensive rebound by K. Koufos,,63-63,,
6:36.0,Shooting foul by L. James (drawn by K. Koufos),,63-63,,
6:36.0,K. Koufos makes free throw 1 of 2,1,64-63,,
6:36.0,K. Koufos makes free throw 2 of 2,1,65-63,,
6:22.0,,,65-65,2,I. Shumpert makes 2-pt shot from 16 ft (assist by L. James)
6:03.0,D. Cousins makes 2-pt shot at rim (assist by G. Temple),2,67-65,,
5:46.0,,,67-65,,I. Shumpert misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by K. Koufos,,67-65,,
5:22.0,K. Koufos makes 2-pt shot from 5 ft,2,69-65,,
5:09.0,,,69-68,3,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Love)
4:49.0,Turnover by D. Cousins (lost ball; steal by I. Shumpert),,69-68,,
4:47.0,Personal foul by K. Koufos (drawn by L. James),,69-68,,
4:47.0,W. Cauley-Stein enters the game for K. Koufos,,69-68,,
4:47.0,A. Tolliver enters the game for D. Cousins,,69-68,,
4:47.0,,,69-68,,C. Frye enters the game for T. Thompson
4:33.0,,,69-71,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
4:16.0,D. Collison makes 2-pt shot from 15 ft,2,71-71,,
4:06.0,,,71-71,,Turnover by L. James (bad pass; steal by G. Temple)
3:55.0,W. Cauley-Stein makes 2-pt shot from 5 ft,2,73-71,,
3:55.0,,,73-71,,Cleveland full timeout
3:44.0,,,73-74,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
3:15.0,D. Collison makes 2-pt shot from 20 ft,2,75-74,,
3:05.0,,,75-74,,Turnover by L. James (offensive foul)
3:05.0,,,75-74,,Offensive charge foul by L. James
2:41.0,D. Collison misses 2-pt shot from 19 ft,,75-74,,
2:41.0,,,75-74,,Defensive rebound by C. Frye
2:31.0,,,75-76,2,K. Irving makes 2-pt shot from 1 ft
2:17.0,,,75-76,,Personal foul by K. Irving (drawn by G. Temple)
2:17.0,G. Temple makes free throw 1 of 2,1,76-76,,
2:17.0,G. Temple makes free throw 2 of 2,1,77-76,,
2:17.0,,,76-76,,K. Korver enters the game for L. James
2:17.0,T. Lawson enters the game for D. Collison,,76-76,,
1:57.0,,,77-76,,Turnover by C. Frye (bad pass)
1:57.0,M. Barnes enters the game for A. Afflalo,,77-76,,
1:57.0,M. Richardson enters the game for G. Temple,,77-76,,
1:42.0,T. Lawson misses 3-pt shot from 25 ft,,77-76,,
1:41.0,,,77-76,,Defensive rebound by K. Love
1:35.0,,,77-79,3,K. Irving makes 3-pt shot from 25 ft
1:23.0,Turnover by A. Tolliver (bad pass; steal by I. Shumpert),,77-79,,
1:07.0,,,77-82,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Korver)
0:41.0,A. Tolliver misses 3-pt shot from 25 ft,,77-82,,
0:41.0,,,77-82,,Defensive rebound by I. Shumpert
0:34.0,,,77-82,,C. Frye misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by M. Richardson,,77-82,,
0:13.0,D. Cousins enters the game for W. Cauley-Stein,,77-82,,
0:08.0,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson),2,79-82,,
0:04.0,Personal foul by T. Lawson (drawn by K. Irving),,79-82,,
0:01.0,,,79-82,,K. Love misses 3-pt shot from 35 ft
0:01.0,Defensive rebound by M. Richardson,,79-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,A. Tolliver misses 3-pt shot from 23 ft,,79-82,,
11:38.0,,,79-82,,Defensive rebound by L. James
11:27.0,,,79-82,,L. James misses 2-pt shot from 7 ft
11:27.0,,,79-82,,Offensive rebound by L. James
11:27.0,,,79-82,,Shooting foul by A. Tolliver (drawn by L. James)
11:27.0,,,79-83,1,L. James makes free throw 1 of 2
11:27.0,,,79-83,,L. James misses free throw 2 of 2
11:26.0,Defensive rebound by W. Cauley-Stein,,79-83,,
11:07.0,M. Richardson makes 3-pt shot from 26 ft,3,82-83,,
10:54.0,,,82-85,2,K. Felder makes 2-pt shot from 12 ft (assist by L. James)
10:38.0,M. Barnes makes 3-pt shot from 25 ft (assist by T. Lawson),3,85-85,,
10:28.0,,,85-85,,Shooting foul by A. Tolliver (drawn by J. Jones)
10:28.0,,,85-86,1,J. Jones makes free throw 1 of 2
10:28.0,,,85-87,1,J. Jones makes free throw 2 of 2
10:06.0,W. Cauley-Stein misses 2-pt shot from 12 ft,,85-87,,
10:06.0,,,85-87,,Defensive rebound by L. James
10:03.0,Personal foul by M. Barnes (drawn by L. James),,85-87,,
9:57.0,,,85-87,,Shooting foul by A. Tolliver (drawn by J. Jones)
9:57.0,,,85-87,,J. Jones misses free throw 1 of 3
9:57.0,,,85-87,,Offensive rebound by Team
9:57.0,,,85-87,,J. Jones misses free throw 2 of 3
9:57.0,,,85-87,,Offensive rebound by Team
9:57.0,,,85-87,,J. Jones misses free throw 3 of 3
9:55.0,Defensive rebound by M. Barnes,,85-87,,
9:55.0,Turnover by M. Barnes (lost ball),,85-87,,
9:49.0,,,85-87,,K. Korver misses 3-pt shot from 27 ft
9:48.0,Defensive rebound by T. Lawson,,85-87,,
9:37.0,M. Barnes misses 3-pt shot from 26 ft,,85-87,,
9:37.0,,,85-87,,Defensive rebound by L. James
9:31.0,,,85-87,,K. Felder misses 2-pt shot at rim
9:29.0,Defensive rebound by W. Cauley-Stein,,85-87,,
9:23.0,T. Lawson makes 2-pt shot from 10 ft,2,87-87,,
9:05.0,,,87-90,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
8:56.0,Sacramento full timeout,,87-90,,
8:50.0,Turnover by T. Lawson (bad pass; steal by L. James),,87-90,,
8:50.0,Personal foul by M. Richardson (drawn by L. James),,87-90,,
8:50.0,,,87-91,1,L. James makes free throw 1 of 2
8:50.0,,,87-92,1,L. James makes free throw 2 of 2
8:50.0,D. Cousins enters the game for A. Tolliver,,87-91,,
8:24.0,Turnover by M. Richardson (bad pass; steal by K. Felder),,87-92,,
8:18.0,,,87-94,2,L. James makes 2-pt shot at rim (assist by K. Felder)
8:13.0,Sacramento full timeout,,87-94,,
8:13.0,G. Temple enters the game for M. Barnes,,87-94,,
8:13.0,A. Afflalo enters the game for M. Richardson,,87-94,,
8:01.0,D. Cousins misses 3-pt shot from 26 ft,,87-94,,
8:01.0,,,87-94,,Defensive rebound by L. James
7:44.0,,,87-97,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
7:31.0,D. Collison enters the game for T. Lawson,,87-97,,
7:20.0,D. Cousins makes 2-pt shot from 14 ft (assist by D. Collison),2,89-97,,
7:05.0,,,89-97,,C. Frye misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by D. Collison,,89-97,,
6:58.0,Turnover by D. Collison (bad pass; steal by K. Felder),,89-97,,
6:55.0,,,89-97,,Turnover by K. Felder (lost ball)
6:33.0,D. Cousins misses 2-pt shot from 1 ft (block by L. James),,89-97,,
6:33.0,,,89-97,,Defensive rebound by J. Jones
6:26.0,,,89-97,,J. Jones misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by W. Cauley-Stein,,89-97,,
6:15.0,A. Afflalo makes 3-pt shot from 24 ft (assist by G. Temple),3,92-97,,
5:56.0,,,92-97,,Turnover by L. James (bad pass; steal by D. Cousins)
5:46.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,94-97,,
5:46.0,,,94-97,,Cleveland full timeout
5:46.0,,,94-97,,T. Thompson enters the game for J. Jones
5:46.0,,,94-97,,K. Irving enters the game for C. Frye
5:46.0,,,94-97,,K. Love enters the game for K. Felder
5:30.0,,,94-97,,Shooting foul by G. Temple (drawn by T. Thompson)
5:30.0,,,94-97,,T. Thompson misses free throw 1 of 2
5:30.0,,,94-97,,Offensive rebound by Team
5:30.0,,,94-97,,T. Thompson misses free throw 2 of 2
5:29.0,Defensive rebound by D. Cousins,,94-97,,
5:13.0,Shooting foul by K. Love (drawn by D. Cousins),,94-97,,
5:13.0,D. Cousins makes free throw 1 of 2,1,95-97,,
5:13.0,D. Cousins makes free throw 2 of 2,1,96-97,,
4:46.0,,,96-97,,L. James misses 3-pt shot from 22 ft
4:46.0,,,96-97,,Offensive rebound by T. Thompson
4:34.0,,,96-97,,K. Korver misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by W. Cauley-Stein,,96-97,,
4:08.0,D. Cousins makes 2-pt shot from 16 ft (assist by D. Collison),2,98-97,,
3:49.0,,,98-97,,K. Love misses 3-pt shot from 25 ft
3:49.0,,,98-97,,Offensive rebound by K. Korver
3:37.0,,,98-99,2,L. James makes 2-pt shot from 13 ft
3:26.0,,,98-99,,Personal foul by T. Thompson (drawn by D. Cousins)
3:17.0,,,98-99,,Personal foul by K. Korver (drawn by D. Cousins)
3:07.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,98-99,,
3:06.0,Offensive rebound by W. Cauley-Stein,,98-99,,
3:06.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,98-99,,
3:05.0,,,98-99,,Defensive rebound by T. Thompson
2:53.0,,,98-99,,K. Love misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by D. Cousins,,98-99,,
2:39.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,100-99,,
2:23.0,,,100-101,2,K. Love makes 2-pt shot from 1 ft (assist by K. Irving)
2:07.0,D. Cousins misses 3-pt shot from 23 ft,,100-101,,
2:07.0,,,100-101,,Defensive rebound by Team
2:07.0,,,100-101,,Cleveland full timeout
2:00.0,Jump ball: W. Cauley-Stein vs. T. Thompson (K. Irving gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Thompson (K. Irving gains possession)
1:57.0,Personal foul by A. Afflalo (drawn by L. James),,100-101,,
1:57.0,,,100-102,1,L. James makes free throw 1 of 2
1:57.0,,,100-103,1,L. James makes free throw 2 of 2
