time,Detroit,pts.away,score,pts.home,Cleveland
4:13.0,Shooting foul by K. Irving (drawn by K. Caldwell-Pope),,16-26,,
4:13.0,K. Caldwell-Pope makes free throw 1 of 3,1,17-26,,
4:13.0,K. Caldwell-Pope makes free throw 2 of 3,1,18-26,,
4:13.0,K. Caldwell-Pope makes free throw 3 of 3,1,19-26,,
4:13.0,J. Leuer enters the game for T. Harris,,18-26,,
3:56.0,,,19-28,2,K. Irving makes 2-pt shot from 20 ft (assist by L. James)
3:40.0,A. Drummond misses 2-pt shot from 1 ft,,19-28,,
3:38.0,,,19-28,,Defensive rebound by T. Thompson
3:36.0,,,19-30,2,L. James makes 2-pt shot from 1 ft
3:36.0,,,19-30,,Shooting foul by M. Morris (drawn by L. James)
3:36.0,,,19-31,1,L. James makes free throw 1 of 1
3:36.0,,,19-30,,J. Smith enters the game for R. Jefferson
3:13.0,I. Smith misses 2-pt shot from 16 ft,,19-31,,
3:13.0,Offensive rebound by A. Drummond,,19-31,,
3:09.0,A. Drummond misses 2-pt shot at rim,,19-31,,
3:07.0,Offensive rebound by A. Drummond,,19-31,,
3:07.0,A. Drummond makes 2-pt shot from 2 ft,2,21-31,,
2:49.0,,,21-31,,T. Thompson misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by M. Morris,,21-31,,
2:43.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,23-31,,
2:42.0,,,23-31,,Cleveland full timeout
2:42.0,Detroit full timeout,,23-31,,
2:42.0,,,23-31,,D. Williams enters the game for L. James
2:42.0,,,23-31,,D. Williams enters the game for I. Shumpert
2:42.0,S. Johnson enters the game for M. Morris,,23-31,,
2:31.0,,,23-31,,Shooting foul by K. Caldwell-Pope (drawn by K. Irving)
2:31.0,,,23-32,1,K. Irving makes free throw 1 of 2
2:31.0,,,23-33,1,K. Irving makes free throw 2 of 2
2:31.0,,,23-32,,C. Frye enters the game for T. Thompson
2:19.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,23-33,,
2:19.0,,,23-33,,Defensive rebound by C. Frye
2:07.0,,,23-36,3,K. Irving makes 3-pt shot from 27 ft
1:46.0,,,23-36,,Personal block foul by C. Frye (drawn by S. Johnson)
1:38.0,I. Smith misses 2-pt shot from 17 ft,,23-36,,
1:38.0,,,23-36,,Defensive rebound by D. Williams
1:19.0,,,23-38,2,D. Williams makes 2-pt shot from 10 ft (assist by D. Williams)
1:05.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,23-38,,
1:04.0,,,23-38,,Defensive rebound by D. Williams
0:57.0,,,23-41,3,C. Frye makes 3-pt shot from 26 ft (assist by D. Williams)
0:42.0,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith),3,26-41,,
0:35.0,,,26-41,,Turnover by K. Irving (bad pass; steal by I. Smith)
0:31.0,Turnover by S. Johnson (bad pass),,26-41,,
0:09.0,,,26-44,3,K. Irving makes 3-pt shot from 27 ft (assist by D. Williams)
0:00.0,I. Smith misses 2-pt shot from 19 ft,,26-44,,
0:00.0,Offensive rebound by Team,,26-44,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-47,3,J. Smith makes 3-pt shot from 27 ft (assist by L. James)
11:39.0,Detroit full timeout,,26-47,,
11:32.0,,,26-47,,Personal foul by D. Williams (drawn by A. Baynes)
11:19.0,R. Bullock misses 3-pt shot from 26 ft,,26-47,,
11:18.0,,,26-47,,Defensive rebound by J. Smith
11:11.0,,,26-50,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Smith)
10:58.0,T. Harris makes 2-pt shot from 17 ft (assist by R. Jackson),2,28-50,,
10:58.0,Shooting foul by D. Williams (drawn by T. Harris),,28-50,,
10:58.0,T. Harris makes free throw 1 of 1,1,29-50,,
10:42.0,,,29-52,2,J. Smith makes 2-pt shot from 19 ft (assist by L. James)
10:22.0,S. Johnson misses 2-pt shot from 19 ft,,29-52,,
10:22.0,Offensive rebound by A. Baynes,,29-52,,
10:22.0,A. Baynes misses 2-pt shot from 1 ft,,29-52,,
10:20.0,,,29-52,,Defensive rebound by L. James
10:15.0,,,29-54,2,D. Williams makes 2-pt shot at rim (assist by L. James)
9:59.0,R. Jackson misses 2-pt shot from 8 ft,,29-54,,
9:57.0,Offensive rebound by A. Baynes,,29-54,,
9:57.0,A. Baynes misses 2-pt shot at rim,,29-54,,
9:54.0,,,29-54,,Defensive rebound by C. Frye
9:40.0,,,29-54,,Turnover by L. James (step out of bounds)
9:22.0,T. Harris makes 2-pt shot from 10 ft (assist by R. Jackson),2,31-54,,
9:09.0,,,31-57,3,D. Williams makes 3-pt shot from 26 ft (assist by L. James)
8:58.0,,,31-57,,Personal foul by D. Williams (drawn by R. Jackson)
8:58.0,M. Morris enters the game for S. Johnson,,31-57,,
8:53.0,R. Jackson makes 2-pt shot from 2 ft (assist by R. Bullock),2,33-57,,
8:40.0,,,33-59,2,D. Williams makes 2-pt shot from 1 ft (assist by L. James)
8:21.0,T. Harris misses 2-pt shot from 16 ft,,33-59,,
8:21.0,,,33-59,,Defensive rebound by L. James
8:15.0,,,33-59,,Shooting foul by M. Morris (drawn by L. James)
8:15.0,,,33-59,,L. James misses free throw 1 of 2
8:15.0,,,33-59,,Offensive rebound by Team
8:15.0,,,33-60,1,L. James makes free throw 2 of 2
8:05.0,Shooting foul by D. Williams (drawn by T. Harris),,33-60,,
8:05.0,T. Harris makes free throw 1 of 2,1,34-60,,
8:05.0,T. Harris misses free throw 2 of 2,,34-60,,
8:05.0,,,34-60,,R. Jefferson enters the game for D. Williams
8:03.0,,,34-60,,Defensive rebound by C. Frye
7:48.0,,,34-60,,L. James misses 2-pt shot from 23 ft
7:48.0,Defensive rebound by M. Morris,,34-60,,
7:41.0,Shooting foul by R. Jefferson (drawn by M. Morris),,34-60,,
7:41.0,M. Morris makes free throw 1 of 2,1,35-60,,
7:41.0,M. Morris makes free throw 2 of 2,1,36-60,,
7:29.0,,,36-60,,R. Jefferson misses 2-pt shot at rim
7:27.0,Defensive rebound by R. Jackson,,36-60,,
7:22.0,R. Bullock misses 3-pt shot from 23 ft,,36-60,,
7:20.0,Offensive rebound by A. Baynes,,36-60,,
7:20.0,A. Baynes misses 2-pt shot from 1 ft,,36-60,,
7:20.0,Offensive rebound by Team,,36-60,,
7:10.0,R. Jackson misses 2-pt shot from 10 ft,,36-60,,
7:10.0,,,36-60,,Defensive rebound by Team
7:00.0,,,36-60,,D. Williams misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by M. Morris,,36-60,,
6:49.0,R. Jackson misses 2-pt shot from 18 ft,,36-60,,
6:49.0,,,36-60,,Defensive rebound by J. Smith
6:27.0,,,36-60,,D. Williams misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by M. Morris,,36-60,,
6:16.0,M. Morris makes 2-pt shot from 19 ft,2,38-60,,
6:14.0,,,38-60,,Cleveland full timeout
6:14.0,,,38-60,,K. Irving enters the game for J. Smith
6:14.0,,,38-60,,I. Shumpert enters the game for D. Williams
6:14.0,K. Caldwell-Pope enters the game for R. Bullock,,38-60,,
6:14.0,A. Drummond enters the game for A. Baynes,,38-60,,
5:52.0,,,38-62,2,I. Shumpert makes 2-pt shot from 16 ft (assist by K. Irving)
5:31.0,M. Morris misses 2-pt shot from 17 ft,,38-62,,
5:31.0,,,38-62,,Defensive rebound by L. James
5:27.0,,,38-62,,Shooting foul by T. Harris (drawn by L. James)
5:27.0,,,38-63,1,L. James makes free throw 1 of 2
5:27.0,,,38-64,1,L. James makes free throw 2 of 2
5:09.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,40-64,,
4:54.0,Personal block foul by A. Drummond (drawn by R. Jefferson),,40-64,,
4:54.0,,,40-64,,T. Thompson enters the game for L. James
4:42.0,,,40-64,,T. Thompson misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by M. Morris,,40-64,,
4:34.0,T. Harris misses 3-pt shot from 24 ft,,40-64,,
4:33.0,Offensive rebound by A. Drummond,,40-64,,
4:30.0,A. Drummond misses 2-pt shot at rim,,40-64,,
4:27.0,Offensive rebound by A. Drummond,,40-64,,
4:27.0,A. Drummond misses 2-pt shot from 1 ft,,40-64,,
4:26.0,,,40-64,,Defensive rebound by R. Jefferson
4:22.0,,,40-64,,K. Irving misses 2-pt shot at rim
4:21.0,Defensive rebound by K. Caldwell-Pope,,40-64,,
4:18.0,,,40-64,,Shooting block foul by R. Jefferson (drawn by T. Harris)
4:18.0,T. Harris makes free throw 1 of 2,1,41-64,,
4:18.0,T. Harris makes free throw 2 of 2,1,42-64,,
4:18.0,I. Smith enters the game for R. Jackson,,41-64,,
4:04.0,,,42-64,,Offensive charge foul by T. Thompson
4:04.0,,,42-64,,Turnover by T. Thompson (offensive foul)
4:04.0,,,42-64,,J. Smith enters the game for C. Frye
3:43.0,Turnover by A. Drummond (lost ball; steal by J. Smith),,42-64,,
3:38.0,,,42-64,,Turnover by K. Irving (bad pass; steal by T. Harris)
3:33.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by T. Harris),2,44-64,,
3:14.0,,,44-66,2,I. Shumpert makes 2-pt shot from 16 ft (assist by T. Thompson)
2:54.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,44-66,,
2:54.0,,,44-66,,Defensive rebound by T. Thompson
2:38.0,,,44-68,2,I. Shumpert makes 2-pt shot from 17 ft
2:23.0,Turnover by I. Smith (bad pass; steal by R. Jefferson),,44-68,,
2:19.0,,,44-68,,Shooting foul by A. Drummond (drawn by J. Smith)
2:19.0,Official timeout,,44-68,,
2:19.0,,,44-68,,J. Smith misses free throw 1 of 2
2:19.0,,,44-68,,Offensive rebound by Team
2:19.0,,,44-69,1,J. Smith makes free throw 2 of 2
2:19.0,S. Johnson enters the game for M. Morris,,44-68,,
2:00.0,A. Drummond makes 2-pt shot from 13 ft (assist by S. Johnson),2,46-69,,
1:40.0,,,46-69,,R. Jefferson misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by A. Drummond,,46-69,,
1:33.0,T. Harris misses 3-pt shot from 23 ft,,46-69,,
1:32.0,Offensive rebound by K. Caldwell-Pope,,46-69,,
1:27.0,S. Johnson misses 3-pt shot from 25 ft,,46-69,,
1:26.0,,,46-69,,Defensive rebound by T. Thompson
1:15.0,,,46-69,,K. Irving misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by A. Drummond,,46-69,,
1:07.0,I. Smith misses 2-pt shot from 16 ft,,46-69,,
1:05.0,,,46-69,,Defensive rebound by R. Jefferson
0:54.0,,,46-69,,Shooting foul by I. Smith (drawn by K. Irving)
0:54.0,,,46-70,1,K. Irving makes free throw 1 of 2
0:54.0,,,46-71,1,K. Irving makes free throw 2 of 2
0:54.0,,,46-70,,D. Williams enters the game for R. Jefferson
0:38.0,S. Johnson misses 2-pt shot from 2 ft (block by T. Thompson),,46-71,,
0:36.0,Offensive rebound by T. Harris,,46-71,,
0:34.0,T. Harris misses 2-pt shot from 13 ft,,46-71,,
0:33.0,,,46-71,,Defensive rebound by J. Smith
0:30.0,,,46-71,,Turnover by J. Smith (bad pass; steal by K. Caldwell-Pope)
0:27.0,Shooting foul by J. Smith (drawn by K. Caldwell-Pope),,46-71,,
0:27.0,K. Caldwell-Pope makes free throw 1 of 2,1,47-71,,
0:27.0,K. Caldwell-Pope makes free throw 2 of 2,1,48-71,,
0:08.0,,,48-71,,D. Williams misses 3-pt shot from 25 ft
0:07.0,,,48-71,,Offensive rebound by K. Irving
0:02.0,,,48-74,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
0:00.0,A. Drummond misses 3-pt shot from 68 ft,,48-74,,
0:00.0,Offensive rebound by Team,,48-74,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,48-74,,L. James misses 2-pt shot from 17 ft
11:48.0,Defensive rebound by A. Drummond,,48-74,,
11:37.0,R. Jackson makes 2-pt shot from 12 ft,2,50-74,,
11:19.0,,,50-74,,R. Jefferson misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by A. Drummond,,50-74,,
11:01.0,R. Jackson misses 2-pt shot from 1 ft,,50-74,,
10:58.0,,,50-74,,Defensive rebound by I. Shumpert
10:45.0,,,50-76,2,I. Shumpert makes 2-pt shot from 20 ft
10:31.0,R. Jackson misses 2-pt shot from 19 ft,,50-76,,
10:31.0,,,50-76,,Defensive rebound by T. Thompson
10:21.0,,,50-76,,I. Shumpert misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by A. Drummond,,50-76,,
10:03.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,50-76,,
10:01.0,,,50-76,,Defensive rebound by T. Thompson
9:46.0,,,50-76,,L. James misses 2-pt shot from 22 ft
9:46.0,Defensive rebound by A. Drummond,,50-76,,
9:36.0,R. Jackson makes 2-pt shot from 17 ft,2,52-76,,
9:14.0,,,52-76,,L. James misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by A. Drummond,,52-76,,
9:08.0,R. Jackson misses 3-pt shot from 28 ft,,52-76,,
9:07.0,,,52-76,,Defensive rebound by L. James
9:04.0,,,52-76,,Turnover by L. James (bad pass; steal by R. Jackson)
8:54.0,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson),2,54-76,,
8:54.0,,,54-76,,Cleveland full timeout
8:40.0,,,54-76,,Turnover by R. Jefferson (lost ball)
8:22.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,54-76,,
8:21.0,,,54-76,,Defensive rebound by I. Shumpert
8:08.0,,,54-79,3,I. Shumpert makes 3-pt shot from 24 ft
7:55.0,Turnover by R. Jackson (lost ball; steal by R. Jefferson),,54-79,,
7:47.0,,,54-81,2,R. Jefferson makes 2-pt shot from 2 ft (assist by L. James)
7:38.0,Detroit full timeout,,54-81,,
7:20.0,T. Harris misses 3-pt shot from 23 ft,,54-81,,
7:18.0,Offensive rebound by M. Morris,,54-81,,
7:18.0,M. Morris makes 2-pt shot at rim,2,56-81,,
7:00.0,,,56-84,3,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Irving)
6:45.0,R. Jackson misses 2-pt shot from 13 ft,,56-84,,
6:43.0,,,56-84,,Defensive rebound by L. James
6:27.0,,,56-86,2,K. Irving makes 2-pt shot from 8 ft
6:10.0,T. Harris makes 2-pt shot from 5 ft,2,58-86,,
5:51.0,Personal block foul by T. Harris (drawn by R. Jefferson),,58-86,,
5:51.0,J. Leuer enters the game for T. Harris,,58-86,,
5:32.0,,,58-89,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
5:24.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,58-89,,
5:22.0,Offensive rebound by A. Drummond,,58-89,,
5:21.0,A. Drummond misses 2-pt shot from 1 ft (block by T. Thompson),,58-89,,
5:20.0,,,58-89,,Defensive rebound by T. Thompson
5:14.0,,,58-91,2,L. James makes 2-pt shot from 2 ft (assist by K. Irving)
4:52.0,J. Leuer makes 2-pt shot from 15 ft (assist by A. Drummond),2,60-91,,
4:30.0,,,60-91,,I. Shumpert misses 2-pt shot from 16 ft
4:29.0,Defensive rebound by A. Drummond,,60-91,,
4:16.0,M. Morris misses 3-pt shot from 24 ft,,60-91,,
4:15.0,Offensive rebound by M. Morris,,60-91,,
4:13.0,Shooting foul by T. Thompson (drawn by J. Leuer),,60-91,,
4:13.0,J. Leuer makes free throw 1 of 2,1,61-91,,
4:13.0,J. Leuer makes free throw 2 of 2,1,62-91,,
4:13.0,I. Smith enters the game for R. Jackson,,61-91,,
3:55.0,,,62-93,2,K. Irving makes 2-pt shot from 1 ft (assist by T. Thompson)
3:45.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-93,,
3:45.0,,,62-93,,Defensive rebound by L. James
3:37.0,,,62-93,,Shooting foul by J. Leuer (drawn by R. Jefferson)
3:37.0,,,62-94,1,R. Jefferson makes free throw 1 of 3
3:37.0,,,62-95,1,R. Jefferson makes free throw 2 of 3
3:37.0,,,62-95,,R. Jefferson misses free throw 3 of 3
3:37.0,,,62-95,,J. Smith enters the game for I. Shumpert
3:37.0,A. Baynes enters the game for M. Morris,,62-95,,
3:37.0,S. Johnson enters the game for A. Drummond,,62-95,,
3:37.0,R. Bullock enters the game for K. Caldwell-Pope,,62-95,,
3:36.0,Defensive rebound by J. Leuer,,62-95,,
3:17.0,I. Smith misses 2-pt shot from 13 ft,,62-95,,
3:17.0,,,62-95,,Defensive rebound by L. James
3:04.0,,,62-95,,K. Irving misses 2-pt shot from 1 ft (block by A. Baynes)
3:01.0,Defensive rebound by I. Smith,,62-95,,
3:00.0,Turnover by I. Smith (bad pass; steal by T. Thompson),,62-95,,
2:48.0,,,62-98,3,R. Jefferson makes 3-pt shot from 25 ft (assist by L. James)
2:26.0,I. Smith makes 2-pt shot from 12 ft (assist by A. Baynes),2,64-98,,
2:06.0,,,64-98,,R. Jefferson misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by R. Bullock,,64-98,,
2:00.0,,,64-98,,D. Williams enters the game for R. Jefferson
1:53.0,Shooting foul by J. Smith (drawn by S. Johnson),,64-98,,
1:53.0,S. Johnson makes free throw 1 of 2,1,65-98,,
1:53.0,S. Johnson makes free throw 2 of 2,1,66-98,,
1:30.0,,,66-100,2,K. Irving makes 2-pt shot from 17 ft
1:17.0,J. Leuer misses 2-pt shot from 18 ft,,66-100,,
1:17.0,,,66-100,,Defensive rebound by T. Thompson
1:02.0,,,66-100,,L. James misses 2-pt shot from 7 ft
1:00.0,,,66-100,,Offensive rebound by T. Thompson
0:55.0,,,66-100,,L. James misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by R. Bullock,,66-100,,
0:44.0,I. Smith makes 2-pt shot from 17 ft,2,68-100,,
0:26.0,,,68-100,,K. Irving misses 2-pt shot from 8 ft
0:22.0,,,68-100,,Offensive rebound by T. Thompson
0:22.0,,,68-102,2,T. Thompson makes 2-pt shot from 2 ft
0:07.0,I. Smith makes 2-pt shot from 3 ft,2,70-102,,
0:02.0,,,70-104,2,L. James makes 2-pt shot from 1 ft
0:00.0,S. Johnson misses 3-pt shot from 67 ft,,70-104,,
0:00.0,Offensive rebound by Team,,70-104,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,70-104,,Personal foul by I. Shumpert (drawn by J. Leuer)
11:34.0,Offensive foul by S. Johnson,,70-104,,
11:34.0,Turnover by S. Johnson (offensive foul),,70-104,,
11:22.0,Personal foul by S. Johnson (drawn by I. Shumpert),,70-104,,
11:12.0,,,70-104,,D. Williams misses 2-pt shot from 12 ft
11:12.0,Defensive rebound by J. Leuer,,70-104,,
11:05.0,I. Smith makes 2-pt shot from 17 ft,2,72-104,,
10:50.0,,,72-107,3,J. Smith makes 3-pt shot from 25 ft (assist by D. Williams)
10:33.0,R. Bullock misses 2-pt shot from 3 ft,,72-107,,
10:30.0,Offensive rebound by A. Baynes,,72-107,,
10:30.0,A. Baynes misses 2-pt shot from 2 ft (block by C. Frye),,72-107,,
10:29.0,Offensive rebound by J. Leuer,,72-107,,
10:29.0,J. Leuer makes 2-pt shot from 1 ft,2,74-107,,
10:07.0,,,74-109,2,D. Williams makes 2-pt shot from 9 ft
9:57.0,R. Bullock makes 3-pt shot from 29 ft (assist by I. Smith),3,77-109,,
9:35.0,,,77-111,2,D. Williams makes 2-pt shot from 1 ft
9:19.0,,,77-111,,Personal foul by C. Frye (drawn by A. Baynes)
9:14.0,I. Smith misses 2-pt shot at rim,,77-111,,
9:14.0,Offensive rebound by Team,,77-111,,
9:14.0,,,77-111,,Loose ball foul by D. Williams (drawn by A. Baynes)
9:02.0,A. Baynes makes 2-pt shot from 14 ft (assist by I. Smith),2,79-111,,
8:39.0,,,79-113,2,D. Williams makes 2-pt shot from 16 ft
8:23.0,I. Smith makes 2-pt shot from 18 ft,2,81-113,,
7:49.0,,,81-113,,C. Frye misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by S. Johnson,,81-113,,
7:36.0,I. Smith makes 2-pt shot from 18 ft,2,83-113,,
7:14.0,,,83-113,,Turnover by D. Williams (bad pass; steal by R. Bullock)
7:04.0,S. Johnson misses 2-pt shot from 8 ft,,83-113,,
7:02.0,,,83-113,,Defensive rebound by J. Smith
6:58.0,,,83-113,,Cleveland full timeout
6:58.0,,,83-113,,D. Liggins enters the game for D. Williams
6:58.0,D. Hilliard enters the game for I. Smith,,83-113,,
6:40.0,,,83-113,,J. Smith misses 3-pt shot from 28 ft
6:40.0,Defensive rebound by Team,,83-113,,
6:22.0,S. Johnson misses 2-pt shot from 20 ft,,83-113,,
6:22.0,,,83-113,,Defensive rebound by J. Smith
6:16.0,,,83-113,,Shooting foul by S. Johnson (drawn by D. Liggins)
6:16.0,,,83-114,1,D. Liggins makes free throw 1 of 2
6:16.0,,,83-115,1,D. Liggins makes free throw 2 of 2
6:16.0,,,83-114,,J. Jones enters the game for J. Smith
6:04.0,J. Leuer misses 2-pt shot from 9 ft,,83-115,,
6:04.0,,,83-115,,Defensive rebound by J. Jones
5:51.0,,,83-118,3,C. Frye makes 3-pt shot from 26 ft (assist by D. Liggins)
5:29.0,R. Bullock misses 3-pt shot from 26 ft,,83-118,,
5:29.0,,,83-118,,Defensive rebound by D. Liggins
5:11.0,,,83-118,,J. Jones misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by J. Leuer,,83-118,,
5:02.0,D. Hilliard misses 3-pt shot from 25 ft,,83-118,,
5:02.0,,,83-118,,Defensive rebound by I. Shumpert
4:56.0,,,83-118,,Shooting foul by A. Baynes (drawn by D. Williams)
4:56.0,Official timeout,,83-118,,
4:56.0,,,83-119,1,D. Williams makes free throw 1 of 2
4:56.0,,,83-119,,D. Williams misses free throw 2 of 2
4:55.0,Defensive rebound by A. Baynes,,83-119,,
4:38.0,S. Johnson misses 2-pt shot from 16 ft,,83-119,,
4:38.0,,,83-119,,Defensive rebound by D. Liggins
4:30.0,,,83-119,,C. Frye misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by D. Hilliard,,83-119,,
4:20.0,J. Leuer misses 2-pt shot from 1 ft,,83-119,,
4:18.0,Offensive rebound by A. Baynes,,83-119,,
4:18.0,A. Baynes makes 2-pt shot from 1 ft,2,85-119,,
4:05.0,,,85-119,,Shooting foul by R. Bullock (drawn by J. Jones)
4:05.0,,,85-120,1,J. Jones makes free throw 1 of 3
4:05.0,,,85-120,,J. Jones misses free throw 2 of 3
4:05.0,,,85-120,,Offensive rebound by Team
4:05.0,,,85-121,1,J. Jones makes free throw 3 of 3
3:50.0,Turnover by R. Bullock (step out of bounds),,85-121,,
3:29.0,,,85-121,,Shooting foul by J. Leuer (drawn by D. Williams)
3:29.0,,,85-122,1,D. Williams makes free throw 1 of 2
3:29.0,,,85-122,,D. Williams misses free throw 2 of 2
3:25.0,Defensive rebound by Team,,85-122,,
3:12.0,S. Johnson misses 2-pt shot from 16 ft,,85-122,,
3:11.0,Offensive rebound by J. Leuer,,85-122,,
3:04.0,J. Leuer makes 2-pt shot from 4 ft,2,87-122,,
2:39.0,,,87-125,3,D. Williams makes 3-pt shot from 25 ft (assist by C. Frye)
2:20.0,Offensive foul by A. Baynes,,87-125,,
2:20.0,Turnover by A. Baynes (offensive foul),,87-125,,
2:20.0,Detroit full timeout,,87-125,,
2:00.0,,,87-125,,I. Shumpert misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by J. Leuer,,87-125,,
1:58.0,,,87-125,,Personal foul by D. Liggins (drawn by D. Hilliard)
1:58.0,,,87-125,,L. Sanders enters the game for C. Frye
1:58.0,B. Marjanovic enters the game for A. Baynes,,87-125,,
1:39.0,B. Marjanovic makes 2-pt shot at rim (assist by J. Leuer),2,89-125,,
1:26.0,,,89-125,,I. Shumpert misses 2-pt shot from 17 ft
1:25.0,Defensive rebound by J. Leuer,,89-125,,
1:13.0,B. Marjanovic misses 2-pt shot from 7 ft,,89-125,,
1:13.0,Offensive rebound by Team,,89-125,,
1:08.0,D. Hilliard makes 2-pt shot from 18 ft (assist by S. Johnson),2,91-125,,
0:48.0,,,91-125,,L. Sanders misses 2-pt shot from 6 ft
0:48.0,Defensive rebound by B. Marjanovic,,91-125,,
0:48.0,,,91-125,,Personal foul by L. Sanders (drawn by B. Marjanovic)
0:48.0,B. Marjanovic makes free throw 1 of 2,1,92-125,,
0:48.0,B. Marjanovic makes free throw 2 of 2,1,93-125,,
