time,Philadelphia,pts.away,score,pts.home,Denver
8:42.0,,,10-8,,Defensive rebound by N. Jokic
8:35.0,Personal foul by R. Covington (drawn by G. Harris),,10-8,,
8:35.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,10-8,,
8:35.0,N. Noel enters the game for J. Embiid,,10-8,,
8:35.0,,,10-8,,Turnover by W. Chandler (bad pass)
8:35.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,12-8,,
8:25.0,,,12-10,2,N. Jokic makes 2-pt shot from 21 ft
8:10.0,E. Ilyasova misses 2-pt shot from 3 ft,,12-10,,
8:10.0,Offensive rebound by E. Ilyasova,,12-10,,
8:05.0,R. Covington misses 3-pt shot from 24 ft,,12-10,,
8:05.0,,,12-10,,Defensive rebound by D. Gallinari
7:55.0,Personal foul by R. Covington (drawn by N. Jokic),,12-10,,
7:55.0,,,12-12,2,E. Mudiay makes 2-pt shot from 2 ft
7:41.0,E. Ilyasova misses 2-pt shot from 15 ft,,12-12,,
7:39.0,Offensive rebound by N. Noel,,12-12,,
7:34.0,N. Noel makes 2-pt shot from 4 ft,2,14-12,,
7:25.0,,,14-12,,Denver full timeout
7:25.0,D. Saric enters the game for R. Covington,,14-12,,
7:25.0,,,14-12,,W. Barton enters the game for W. Chandler
7:25.0,,,14-15,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
7:08.0,T. McConnell misses 2-pt shot from 10 ft,,14-15,,
7:07.0,,,14-15,,Defensive rebound by N. Jokic
7:00.0,,,14-17,2,G. Harris makes 2-pt shot from 3 ft (assist by E. Mudiay)
6:38.0,E. Ilyasova makes 2-pt shot from 6 ft (assist by D. Saric),2,16-17,,
6:19.0,,,16-17,,Turnover by N. Jokic (3 sec)
6:19.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,16-17,,
6:19.0,Offensive rebound by D. Saric,,16-17,,
6:18.0,D. Saric misses 2-pt shot from 3 ft,,16-17,,
6:17.0,Offensive rebound by D. Saric,,16-17,,
6:08.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by D. Saric),3,19-17,,
5:52.0,,,19-17,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Gallinari)
5:52.0,,,19-18,1,D. Gallinari makes free throw 1 of 2
5:52.0,,,19-19,1,D. Gallinari makes free throw 2 of 2
5:52.0,T. McConnell misses 2-pt shot from 18 ft,,19-19,,
5:51.0,,,19-19,,Defensive rebound by D. Gallinari
5:37.0,,,19-19,,D. Gallinari misses 3-pt shot from 26 ft
5:36.0,,,19-19,,Offensive rebound by Team
5:31.0,Loose ball foul by D. Saric (drawn by N. Jokic),,19-19,,
5:31.0,,,19-20,1,N. Jokic makes free throw 1 of 2
5:31.0,,,19-21,1,N. Jokic makes free throw 2 of 2
5:31.0,D. Saric makes 2-pt shot from 22 ft (assist by N. Stauskas),2,21-21,,
5:31.0,,,19-20,,J. Nelson enters the game for E. Mudiay
5:31.0,N. Stauskas enters the game for T. McConnell,,19-20,,
5:31.0,H. Thompson enters the game for E. Ilyasova,,19-20,,
5:17.0,,,21-23,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
5:05.0,N. Stauskas misses 2-pt shot from 21 ft,,21-23,,
5:05.0,,,21-23,,Defensive rebound by N. Jokic
4:51.0,,,21-23,,N. Jokic misses 2-pt shot from 19 ft
4:51.0,Defensive rebound by H. Thompson,,21-23,,
4:42.0,Shooting foul by D. Gallinari (drawn by D. Saric),,21-23,,
4:42.0,D. Saric makes free throw 1 of 2,1,22-23,,
4:42.0,D. Saric makes free throw 2 of 2,1,23-23,,
4:42.0,Violation by N. Stauskas (kicked ball),,23-23,,
4:42.0,Philadelphia full timeout,,23-23,,
4:42.0,J. Embiid enters the game for N. Noel,,22-23,,
4:42.0,,,22-23,,K. Faried enters the game for N. Jokic
4:42.0,,,22-23,,J. Nurkic enters the game for D. Gallinari
2:50.0,,,23-23,,W. Barton misses 2-pt shot from 21 ft
2:49.0,Defensive rebound by T. Luwawu-Cabarrot,,23-23,,
2:32.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by D. Saric),3,26-23,,
2:10.0,,,26-23,,Turnover by W. Barton (bad pass; steal by J. Embiid)
2:04.0,Turnover by N. Stauskas (bad pass; steal by K. Faried),,26-23,,
2:03.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Faried),,26-23,,
2:03.0,,,26-24,1,K. Faried makes free throw 1 of 2
2:03.0,,,26-25,1,K. Faried makes free throw 2 of 2
2:03.0,,,26-24,,W. Chandler enters the game for G. Harris
1:50.0,,,26-25,,Personal foul by K. Faried (drawn by D. Saric)
1:41.0,Offensive charge foul by J. Embiid,,26-25,,
1:41.0,Turnover by J. Embiid (offensive foul),,26-25,,
1:20.0,,,26-25,,K. Faried misses 2-pt shot from 7 ft (block by J. Embiid)
1:19.0,Defensive rebound by Team,,26-25,,
1:01.0,J. Embiid makes 2-pt shot from 2 ft,2,28-25,,
0:49.0,,,28-25,,W. Chandler misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by D. Saric,,28-25,,
0:38.0,D. Saric misses 3-pt shot from 25 ft,,28-25,,
0:38.0,,,28-25,,Defensive rebound by W. Chandler
0:31.0,,,28-28,3,J. Nelson makes 3-pt shot from 24 ft (assist by W. Chandler)
0:31.0,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by W. Barton),,28-28,,
0:30.0,,,28-28,,Defensive rebound by K. Faried
0:08.0,,,28-28,,Turnover by W. Chandler (bad pass; steal by H. Thompson)
0:04.0,Shooting foul by J. Nelson (drawn by T. Luwawu-Cabarrot),,28-28,,
0:04.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,29-28,,
0:04.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by J. Nurkic (drawn by J. Embiid),,30-28,,
11:48.0,J. Embiid makes free throw 1 of 2,1,31-28,,
11:48.0,J. Embiid makes free throw 2 of 2,1,32-28,,
11:36.0,,,32-28,,J. Nurkic misses 2-pt shot from 2 ft
11:35.0,Defensive rebound by J. Embiid,,32-28,,
11:20.0,H. Thompson makes 3-pt shot from 24 ft (assist by N. Stauskas),3,35-28,,
11:19.0,,,35-28,,Denver full timeout
11:05.0,,,35-28,,W. Barton misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by E. Ilyasova,,35-28,,
10:51.0,J. Embiid misses 2-pt shot from 15 ft,,35-28,,
10:50.0,,,35-28,,Defensive rebound by W. Barton
10:43.0,Personal foul by J. Embiid (drawn by J. Nurkic),,35-28,,
10:32.0,,,35-30,2,W. Barton makes 2-pt shot from 5 ft
10:20.0,E. Ilyasova misses 2-pt shot from 20 ft,,35-30,,
10:19.0,Offensive rebound by J. Embiid,,35-30,,
10:10.0,Turnover by J. Embiid (traveling),,35-30,,
10:10.0,N. Noel enters the game for J. Embiid,,35-30,,
10:10.0,T. McConnell enters the game for N. Stauskas,,35-30,,
10:10.0,R. Covington enters the game for D. Saric,,35-30,,
10:10.0,Personal foul by T. McConnell (drawn by J. Nelson),,35-30,,
9:51.0,,,35-32,2,W. Barton makes 2-pt shot from 5 ft (assist by J. Nelson)
9:27.0,N. Noel makes 2-pt shot from 3 ft,2,37-32,,
9:18.0,,,37-32,,E. Mudiay enters the game for J. Nelson
9:08.0,,,37-35,3,W. Chandler makes 3-pt shot from 26 ft (assist by J. Murray)
8:43.0,E. Ilyasova misses 2-pt shot from 21 ft,,37-35,,
8:42.0,,,37-35,,Defensive rebound by J. Murray
8:39.0,,,37-35,,N. Jokic enters the game for J. Nurkic
8:39.0,,,37-35,,D. Gallinari enters the game for W. Barton
8:29.0,,,37-35,,E. Mudiay misses 2-pt shot from 2 ft
8:20.0,,,37-35,,Offensive rebound by N. Jokic
8:20.0,,,37-37,2,N. Jokic makes 2-pt shot from 3 ft
8:15.0,T. McConnell makes 2-pt shot from 16 ft,2,39-37,,
8:05.0,,,39-37,,Turnover by D. Gallinari (bad pass; steal by R. Covington)
7:59.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. McConnell),3,42-37,,
7:41.0,,,42-39,2,W. Chandler makes 2-pt shot from 11 ft (assist by E. Mudiay)
7:30.0,N. Noel makes 2-pt shot from 17 ft (assist by T. McConnell),2,44-39,,
7:15.0,,,44-39,,N. Jokic misses 2-pt shot from 3 ft (block by N. Noel)
7:14.0,Defensive rebound by R. Covington,,44-39,,
7:01.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,47-39,,
6:50.0,Shooting block foul by T. McConnell (drawn by E. Mudiay),,47-39,,
6:50.0,,,47-39,,E. Mudiay misses free throw 1 of 2
6:50.0,,,47-39,,Offensive rebound by Team
6:50.0,,,47-40,1,E. Mudiay makes free throw 2 of 2
6:50.0,T. Luwawu-Cabarrot enters the game for H. Thompson,,47-39,,
6:39.0,N. Noel misses 2-pt shot from 2 ft,,47-40,,
6:39.0,,,47-40,,Defensive rebound by N. Jokic
6:31.0,,,47-40,,J. Murray misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by T. McConnell,,47-40,,
6:29.0,Shooting foul by D. Gallinari (drawn by N. Noel),,47-40,,
6:29.0,N. Noel misses free throw 1 of 2,,47-40,,
6:29.0,Offensive rebound by Team,,47-40,,
6:29.0,N. Noel misses free throw 2 of 2,,47-40,,
6:26.0,,,47-40,,Defensive rebound by D. Gallinari
6:10.0,,,47-40,,Shooting foul by R. Covington (drawn by D. Gallinari)
6:10.0,,,47-41,1,D. Gallinari makes free throw 1 of 2
6:10.0,,,47-42,1,D. Gallinari makes free throw 2 of 2
6:10.0,D. Saric enters the game for R. Covington,,47-41,,
6:10.0,,,47-41,,G. Harris enters the game for J. Murray
5:58.0,D. Saric misses 3-pt shot from 25 ft,,47-42,,
5:58.0,,,47-42,,Defensive rebound by G. Harris
5:50.0,,,47-42,,G. Harris misses 3-pt shot from 26 ft
5:50.0,,,47-42,,Offensive rebound by N. Jokic
5:46.0,,,47-44,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
5:33.0,Offensive foul by E. Ilyasova,,47-44,,
5:33.0,Turnover by E. Ilyasova (offensive foul),,47-44,,
5:33.0,Official timeout,,47-44,,
5:22.0,,,47-44,,Offensive foul by N. Jokic
5:22.0,,,47-44,,Turnover by N. Jokic (offensive foul)
5:22.0,J. Embiid enters the game for N. Noel,,47-44,,
5:06.0,Shooting foul by N. Jokic (drawn by J. Embiid),,47-44,,
5:06.0,J. Embiid misses free throw 1 of 2,,47-44,,
5:06.0,Offensive rebound by Team,,47-44,,
5:06.0,J. Embiid makes free throw 2 of 2,1,48-44,,
4:51.0,,,48-44,,G. Harris misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by E. Ilyasova,,48-44,,
4:42.0,J. Embiid makes 2-pt shot from 2 ft,2,50-44,,
4:31.0,,,50-46,2,E. Mudiay makes 2-pt shot from 19 ft
4:15.0,Shooting foul by N. Jokic (drawn by J. Embiid),,50-46,,
4:15.0,J. Embiid makes free throw 1 of 2,1,51-46,,
4:15.0,J. Embiid makes free throw 2 of 2,1,52-46,,
4:15.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,51-46,,
4:15.0,,,51-46,,W. Barton enters the game for D. Gallinari
4:15.0,,,51-46,,J. Nurkic enters the game for N. Jokic
4:02.0,,,52-46,,W. Barton misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by D. Saric,,52-46,,
3:52.0,Turnover by E. Ilyasova (bad pass; steal by W. Barton),,52-46,,
3:47.0,,,52-46,,E. Mudiay misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by D. Saric,,52-46,,
3:39.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by J. Embiid),2,54-46,,
3:25.0,,,54-46,,Shooting foul by N. Stauskas (drawn by G. Harris)
3:25.0,,,54-47,1,G. Harris makes free throw 1 of 2
3:25.0,,,54-48,1,G. Harris makes free throw 2 of 2
3:14.0,Shooting foul by E. Mudiay (drawn by N. Stauskas),,54-48,,
3:14.0,N. Stauskas makes free throw 1 of 2,1,55-48,,
3:14.0,N. Stauskas makes free throw 2 of 2,1,56-48,,
3:14.0,H. Thompson enters the game for E. Ilyasova,,55-48,,
3:06.0,,,56-48,,W. Barton misses 2-pt shot from 8 ft
3:06.0,,,56-48,,Offensive rebound by J. Nurkic
3:03.0,,,56-48,,J. Nurkic misses 2-pt shot from 3 ft (block by J. Embiid)
3:02.0,Defensive rebound by D. Saric,,56-48,,
2:49.0,D. Saric makes 2-pt shot from 3 ft,2,58-48,,
2:25.0,,,58-48,,Shooting foul by H. Thompson (drawn by E. Mudiay)
2:25.0,Philadelphia full timeout,,58-48,,
2:25.0,,,58-49,1,E. Mudiay makes free throw 1 of 2
2:25.0,,,58-50,1,E. Mudiay makes free throw 2 of 2
2:25.0,,,58-48,,D. Gallinari enters the game for W. Chandler
2:05.0,H. Thompson misses 2-pt shot from 11 ft,,58-50,,
2:05.0,,,58-50,,Defensive rebound by W. Barton
1:56.0,,,58-53,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Barton)
1:43.0,J. Embiid misses 3-pt shot from 25 ft,,58-53,,
1:43.0,,,58-53,,Defensive rebound by E. Mudiay
1:28.0,,,58-53,,W. Barton misses 2-pt shot from 4 ft
1:28.0,Defensive rebound by J. Embiid,,58-53,,
1:24.0,Turnover by J. Embiid (lost ball; steal by J. Nurkic),,58-53,,
1:18.0,,,58-55,2,G. Harris makes 2-pt shot from 2 ft (assist by J. Nurkic)
1:03.0,,,58-55,,Personal foul by J. Nurkic (drawn by J. Embiid)
1:03.0,J. Embiid makes free throw 1 of 2,1,59-55,,
1:03.0,J. Embiid makes free throw 2 of 2,1,60-55,,
1:03.0,E. Ilyasova enters the game for D. Saric,,59-55,,
0:51.0,,,60-57,2,J. Nurkic makes 2-pt shot at rim (assist by W. Barton)
0:48.0,Offensive foul by J. Embiid,,60-57,,
0:48.0,Turnover by J. Embiid (offensive foul),,60-57,,
0:48.0,Technical foul by Team,,60-57,,
0:48.0,,,60-58,1,D. Gallinari makes technical free throw
0:48.0,N. Noel enters the game for J. Embiid,,60-58,,
0:39.0,,,60-58,,W. Barton misses 2-pt shot from 10 ft
0:39.0,,,60-58,,Offensive rebound by E. Mudiay
0:22.0,,,60-60,2,E. Mudiay makes 2-pt shot from 17 ft
0:01.0,N. Noel misses 2-pt shot from 15 ft,,60-60,,
0:01.0,,,60-60,,Defensive rebound by D. Gallinari
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by J. Embiid (lost ball; steal by G. Harris),,60-60,,
11:38.0,,,60-60,,E. Mudiay misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by E. Ilyasova,,60-60,,
11:21.0,J. Embiid makes 2-pt shot at rim,2,62-60,,
11:02.0,,,62-62,2,W. Chandler makes 2-pt shot from 9 ft
10:49.0,R. Covington misses 3-pt shot from 27 ft,,62-62,,
10:49.0,Offensive rebound by E. Ilyasova,,62-62,,
10:33.0,J. Embiid misses 3-pt shot from 24 ft,,62-62,,
10:32.0,,,62-62,,Defensive rebound by G. Harris
10:28.0,,,62-62,,Turnover by G. Harris (bad pass; steal by J. Embiid)
10:25.0,,,62-62,,Violation by G. Harris (kicked ball)
10:14.0,N. Stauskas misses 3-pt shot from 27 ft,,62-62,,
10:14.0,Offensive rebound by E. Ilyasova,,62-62,,
10:11.0,E. Ilyasova makes 2-pt shot from 3 ft,2,64-62,,
9:53.0,,,64-62,,D. Gallinari misses 3-pt shot from 25 ft
9:52.0,,,64-62,,Offensive rebound by W. Chandler
9:48.0,,,64-65,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Chandler)
9:38.0,Shooting foul by D. Gallinari (drawn by E. Ilyasova),,64-65,,
9:38.0,E. Ilyasova makes free throw 1 of 2,1,65-65,,
9:38.0,E. Ilyasova makes free throw 2 of 2,1,66-65,,
9:27.0,Violation by J. Embiid (def goaltending),,66-65,,
9:27.0,,,66-67,2,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic)
9:12.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Covington),3,69-67,,
8:59.0,,,69-67,,Turnover by G. Harris (bad pass; steal by N. Stauskas)
8:53.0,T. McConnell misses 2-pt shot from 2 ft,,69-67,,
8:52.0,,,69-67,,Defensive rebound by E. Mudiay
8:45.0,Personal foul by E. Ilyasova (drawn by N. Jokic),,69-67,,
8:35.0,,,69-69,2,N. Jokic makes 2-pt shot from 19 ft (assist by E. Mudiay)
8:15.0,R. Covington misses 2-pt shot from 5 ft,,69-69,,
8:14.0,Offensive rebound by R. Covington,,69-69,,
8:14.0,R. Covington makes 2-pt shot from 3 ft,2,71-69,,
7:59.0,,,71-69,,W. Chandler misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by T. McConnell,,71-69,,
7:57.0,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell),2,73-69,,
7:57.0,,,73-69,,Shooting block foul by E. Mudiay (drawn by R. Covington)
7:57.0,R. Covington misses free throw 1 of 1,,73-69,,
7:57.0,N. Noel enters the game for J. Embiid,,73-69,,
7:57.0,H. Thompson enters the game for N. Stauskas,,73-69,,
7:55.0,,,73-69,,Defensive rebound by W. Chandler
7:37.0,,,73-72,3,E. Mudiay makes 3-pt shot from 26 ft
7:13.0,Shooting foul by N. Jokic (drawn by N. Noel),,73-72,,
7:13.0,N. Noel misses free throw 1 of 2,,73-72,,
7:13.0,Offensive rebound by Team,,73-72,,
7:13.0,N. Noel makes free throw 2 of 2,1,74-72,,
7:13.0,,,73-72,,K. Faried enters the game for N. Jokic
6:58.0,,,74-72,,D. Gallinari misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by R. Covington,,74-72,,
6:52.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,76-72,,
6:52.0,,,76-72,,Denver full timeout
6:52.0,,,76-72,,W. Barton enters the game for W. Chandler
6:28.0,,,76-75,3,E. Mudiay makes 3-pt shot from 26 ft (assist by G. Harris)
6:14.0,T. McConnell misses 2-pt shot from 12 ft,,76-75,,
6:13.0,,,76-75,,Defensive rebound by K. Faried
6:07.0,,,76-77,2,E. Mudiay makes 2-pt shot at rim (assist by W. Barton)
5:43.0,H. Thompson makes 2-pt shot from 19 ft,2,78-77,,
5:32.0,,,78-77,,G. Harris misses 3-pt shot from 26 ft
5:31.0,,,78-77,,Offensive rebound by K. Faried
5:31.0,,,78-77,,K. Faried misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by R. Covington,,78-77,,
5:13.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,81-77,,
4:49.0,,,81-77,,D. Gallinari misses 2-pt shot from 17 ft
4:48.0,,,81-77,,Offensive rebound by Team
4:48.0,,,81-77,,Turnover by Team (shot clock)
4:43.0,D. Saric enters the game for T. McConnell,,81-77,,
4:41.0,N. Stauskas enters the game for E. Ilyasova,,81-77,,
4:33.0,D. Saric makes 2-pt shot from 8 ft (assist by N. Stauskas),2,83-77,,
4:27.0,,,83-77,,Shooting foul by H. Thompson (drawn by W. Barton)
4:27.0,,,83-77,,W. Barton misses free throw 1 of 3
4:27.0,,,83-77,,Offensive rebound by Team
4:27.0,,,83-78,1,W. Barton makes free throw 2 of 3
4:27.0,,,83-79,1,W. Barton makes free throw 3 of 3
4:15.0,H. Thompson misses 3-pt shot from 25 ft,,83-79,,
4:14.0,Offensive rebound by Team,,83-79,,
4:02.0,H. Thompson misses 2-pt shot from 14 ft,,83-79,,
4:01.0,,,83-79,,Defensive rebound by K. Faried
3:55.0,,,83-79,,D. Gallinari misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by Team,,83-79,,
3:54.0,,,83-79,,Loose ball foul by K. Faried (drawn by R. Covington)
3:43.0,D. Saric misses 2-pt shot from 22 ft,,83-79,,
3:41.0,,,83-79,,Defensive rebound by G. Harris
3:40.0,,,83-79,,Turnover by G. Harris (lost ball)
3:40.0,Philadelphia full timeout,,83-79,,
3:40.0,E. Ilyasova enters the game for R. Covington,,83-79,,
3:40.0,,,83-79,,J. Nelson enters the game for E. Mudiay
3:32.0,Offensive foul by D. Saric,,83-79,,
3:32.0,Turnover by D. Saric (offensive foul),,83-79,,
3:32.0,J. Embiid enters the game for N. Noel,,83-79,,
3:18.0,,,83-79,,G. Harris misses 3-pt shot from 25 ft
3:17.0,,,83-79,,Offensive rebound by Team
3:17.0,Loose ball foul by H. Thompson (drawn by K. Faried),,83-79,,
2:59.0,,,83-81,2,D. Gallinari makes 2-pt shot from 3 ft (assist by J. Nelson)
2:44.0,J. Embiid misses 3-pt shot from 25 ft,,83-81,,
2:43.0,Offensive rebound by Team,,83-81,,
2:31.0,N. Stauskas misses 3-pt shot from 24 ft,,83-81,,
2:30.0,Offensive rebound by D. Saric,,83-81,,
2:28.0,Shooting foul by D. Gallinari (drawn by D. Saric),,83-81,,
2:28.0,D. Saric misses free throw 1 of 2,,83-81,,
2:28.0,Offensive rebound by Team,,83-81,,
2:28.0,D. Saric misses free throw 2 of 2,,83-81,,
2:28.0,,,83-81,,W. Chandler enters the game for D. Gallinari
2:27.0,,,83-81,,Defensive rebound by W. Barton
2:19.0,,,83-81,,Shooting foul by D. Saric (drawn by K. Faried)
2:19.0,,,83-82,1,K. Faried makes free throw 1 of 2
2:19.0,,,83-83,1,K. Faried makes free throw 2 of 2
2:19.0,R. Covington enters the game for H. Thompson,,83-82,,
2:03.0,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric),3,86-83,,
1:52.0,,,86-83,,J. Nelson misses 2-pt shot from 20 ft
1:50.0,Defensive rebound by D. Saric,,86-83,,
1:24.0,R. Covington makes 3-pt shot from 29 ft,3,89-83,,
1:05.0,,,89-85,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
0:51.0,Shooting foul by G. Harris (drawn by N. Stauskas),,89-85,,
0:51.0,N. Stauskas makes free throw 1 of 2,1,90-85,,
0:51.0,N. Stauskas makes free throw 2 of 2,1,91-85,,
0:31.0,,,91-87,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson)
0:06.0,D. Saric misses 2-pt shot from 20 ft,,91-87,,
0:05.0,,,91-87,,Defensive rebound by K. Faried
0:01.0,,,91-87,,G. Harris misses 3-pt shot from 22 ft
0:00.0,,,91-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,91-87,,Shooting foul by E. Ilyasova (drawn by W. Chandler)
11:48.0,,,91-87,,W. Chandler misses free throw 1 of 2
11:48.0,,,91-87,,Offensive rebound by Team
11:48.0,,,91-88,1,W. Chandler makes free throw 2 of 2
11:30.0,H. Thompson misses 3-pt shot from 24 ft,,91-88,,
11:29.0,,,91-88,,Defensive rebound by W. Chandler
11:20.0,,,91-91,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler)
10:57.0,T. McConnell makes 3-pt shot from 26 ft (assist by J. Embiid),3,94-91,,
10:38.0,,,94-91,,J. Nurkic misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by H. Thompson,,94-91,,
10:17.0,J. Embiid misses 2-pt shot from 16 ft,,94-91,,
10:16.0,,,94-91,,Defensive rebound by W. Chandler
10:09.0,,,94-91,,W. Barton misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by H. Thompson,,94-91,,
9:56.0,R. Covington misses 3-pt shot from 25 ft,,94-91,,
9:55.0,,,94-91,,Defensive rebound by W. Barton
9:40.0,,,94-91,,W. Barton misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by E. Ilyasova,,94-91,,
9:29.0,E. Ilyasova misses 2-pt shot from 2 ft,,94-91,,
9:28.0,,,94-91,,Defensive rebound by W. Chandler
9:13.0,,,94-94,3,W. Barton makes 3-pt shot from 24 ft
8:59.0,J. Embiid makes 3-pt shot from 24 ft (assist by T. McConnell),3,97-94,,
8:50.0,,,97-94,,Offensive foul by J. Nurkic
8:50.0,,,97-94,,Turnover by J. Nurkic (offensive foul)
8:50.0,Official timeout,,97-94,,
8:50.0,N. Noel enters the game for E. Ilyasova,,97-94,,
8:50.0,N. Stauskas enters the game for J. Embiid,,97-94,,
8:50.0,D. Saric enters the game for H. Thompson,,97-94,,
8:42.0,Shooting foul by W. Barton (drawn by D. Saric),,97-94,,
8:42.0,D. Saric makes free throw 1 of 2,1,98-94,,
8:42.0,D. Saric makes free throw 2 of 2,1,99-94,,
8:29.0,,,99-94,,J. Murray misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by Team,,99-94,,
8:29.0,,,99-94,,Loose ball foul by J. Nurkic (drawn by N. Noel)
8:07.0,N. Stauskas misses 2-pt shot from 16 ft,,99-94,,
8:06.0,,,99-94,,Defensive rebound by J. Nurkic
7:47.0,,,99-97,3,J. Nelson makes 3-pt shot from 26 ft (assist by W. Barton)
7:23.0,N. Noel misses 2-pt shot from 2 ft,,99-97,,
7:22.0,,,99-97,,Defensive rebound by J. Nurkic
7:12.0,,,99-99,2,J. Nelson makes 2-pt shot from 22 ft
