time,Boston,pts.away,score,pts.home,Utah
6:39.0,Defensive rebound by J. Brown,,11-11,,
6:30.0,I. Thomas makes 2-pt shot from 9 ft,2,13-11,,
6:14.0,,,13-11,,J. Ingles misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by A. Horford,,13-11,,
6:04.0,M. Smart makes 2-pt shot from 10 ft,2,15-11,,
5:59.0,,,15-11,,Utah full timeout
5:59.0,,,15-11,,D. Exum enters the game for G. Hill
5:49.0,,,15-11,,D. Exum misses 3-pt shot from 23 ft
5:49.0,,,15-11,,Offensive rebound by R. Gobert
5:37.0,,,15-13,2,D. Exum makes 2-pt shot at rim (assist by J. Ingles)
5:11.0,,,15-13,,Def 3 sec tech foul by J. Ingles
5:11.0,I. Thomas makes technical free throw,1,16-13,,
5:11.0,,,16-13,,A. Burks enters the game for J. Ingles
5:11.0,T. Rozier enters the game for M. Smart,,16-13,,
5:02.0,A. Horford makes 2-pt shot from 7 ft,2,18-13,,
5:02.0,Shooting foul by T. Lyles (drawn by A. Horford),,18-13,,
5:02.0,A. Horford misses free throw 1 of 1,,18-13,,
5:02.0,,,18-13,,Defensive rebound by R. Gobert
4:43.0,,,18-13,,G. Hayward misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by A. Horford,,18-13,,
4:32.0,I. Thomas makes 2-pt shot from 2 ft,2,20-13,,
4:20.0,,,20-13,,T. Lyles misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by A. Johnson,,20-13,,
4:08.0,Turnover by A. Horford (step out of bounds),,20-13,,
3:54.0,,,20-13,,Shooting foul by A. Johnson (drawn by G. Hayward)
3:54.0,,,20-14,1,G. Hayward makes free throw 1 of 2
3:54.0,,,20-15,1,G. Hayward makes free throw 2 of 2
3:54.0,K. Olynyk enters the game for A. Horford,,20-14,,
3:40.0,Turnover by I. Thomas (bad pass; steal by R. Gobert),,20-15,,
3:26.0,,,20-17,2,T. Lyles makes 2-pt shot from 4 ft
3:12.0,Shooting foul by R. Gobert (drawn by A. Johnson),,20-17,,
3:12.0,A. Johnson misses free throw 1 of 2,,20-17,,
3:12.0,Offensive rebound by Team,,20-17,,
3:12.0,A. Johnson makes free throw 2 of 2,1,21-17,,
2:57.0,,,21-17,,A. Burks misses 2-pt shot from 18 ft
2:56.0,Defensive rebound by J. Brown,,21-17,,
2:46.0,I. Thomas makes 3-pt shot from 25 ft,3,24-17,,
2:32.0,,,24-20,3,G. Hayward makes 3-pt shot from 25 ft (assist by T. Lyles)
2:29.0,Boston full timeout,,24-20,,
2:29.0,,,24-20,,G. Hill enters the game for D. Exum
2:29.0,,,24-20,,J. Johnson enters the game for G. Hayward
2:29.0,,,24-20,,D. Favors enters the game for R. Gobert
2:29.0,G. Green enters the game for I. Thomas,,24-20,,
2:29.0,M. Smart enters the game for J. Brown,,24-20,,
2:12.0,K. Olynyk misses 2-pt shot from 13 ft,,24-20,,
2:11.0,,,24-20,,Defensive rebound by T. Lyles
1:56.0,,,24-20,,Shooting foul by K. Olynyk (drawn by A. Burks)
1:56.0,,,24-20,,A. Burks misses free throw 1 of 2
1:56.0,,,24-20,,Offensive rebound by Team
1:56.0,,,24-21,1,A. Burks makes free throw 2 of 2
1:56.0,Boston full timeout,,24-21,,
1:56.0,J. Jerebko enters the game for A. Johnson,,24-20,,
1:41.0,G. Green makes 2-pt shot from 20 ft,2,26-21,,
1:26.0,,,26-21,,Turnover by G. Hill (lost ball; steal by K. Olynyk)
1:14.0,,,26-21,,Violation by D. Favors (def goaltending)
1:14.0,K. Olynyk makes 2-pt shot from 4 ft (assist by M. Smart),2,28-21,,
0:57.0,,,28-23,2,G. Hill makes 2-pt shot from 3 ft
0:42.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,31-23,,
0:32.0,,,31-23,,G. Hill misses 2-pt shot from 10 ft
0:31.0,Defensive rebound by K. Olynyk,,31-23,,
0:26.0,G. Green misses 3-pt shot from 24 ft,,31-23,,
0:26.0,,,31-23,,Defensive rebound by D. Favors
0:05.0,,,31-23,,Turnover by A. Burks (lost ball; steal by M. Smart)
0:00.0,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart),2,33-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,33-23,,J. Johnson misses 2-pt shot from 15 ft
11:38.0,,,33-23,,Offensive rebound by T. Lyles
11:25.0,,,33-26,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Johnson)
11:05.0,K. Olynyk makes 2-pt shot from 17 ft,2,35-26,,
10:43.0,,,35-28,2,G. Hill makes 2-pt shot from 15 ft
10:31.0,T. Rozier makes 2-pt shot from 22 ft (assist by K. Olynyk),2,37-28,,
10:13.0,,,37-28,,T. Lyles misses 2-pt shot from 3 ft
10:13.0,Defensive rebound by J. Jerebko,,37-28,,
9:54.0,M. Smart misses 3-pt shot from 25 ft,,37-28,,
9:54.0,,,37-28,,Defensive rebound by J. Johnson
9:50.0,Personal foul by K. Olynyk (drawn by D. Favors),,37-28,,
9:50.0,,,37-28,,D. Exum enters the game for G. Hill
9:50.0,,,37-28,,B. Diaw enters the game for T. Lyles
9:43.0,,,37-28,,A. Burks misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by T. Rozier,,37-28,,
9:25.0,J. Jerebko misses 2-pt shot from 10 ft,,37-28,,
9:25.0,,,37-28,,Defensive rebound by B. Diaw
9:14.0,,,37-30,2,D. Favors makes 2-pt shot at rim (assist by B. Diaw)
8:57.0,Turnover by G. Green (bad pass; steal by D. Favors),,37-30,,
8:42.0,,,37-30,,Turnover by D. Exum (bad pass)
8:42.0,Boston full timeout,,37-30,,
8:42.0,,,37-30,,J. Ingles enters the game for A. Burks
8:27.0,K. Olynyk misses 3-pt shot from 24 ft,,37-30,,
8:26.0,,,37-30,,Defensive rebound by J. Johnson
8:15.0,,,37-30,,D. Exum misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by M. Smart,,37-30,,
7:58.0,G. Green makes 2-pt shot from 3 ft,2,39-30,,
7:46.0,,,39-30,,J. Johnson misses 2-pt shot from 6 ft
7:46.0,,,39-30,,Offensive rebound by D. Favors
7:37.0,,,39-30,,D. Exum misses 2-pt shot from 4 ft (block by T. Rozier)
7:36.0,Defensive rebound by T. Rozier,,39-30,,
7:28.0,G. Green makes 2-pt shot from 2 ft,2,41-30,,
7:27.0,,,41-30,,Utah full timeout
7:27.0,,,41-30,,G. Hayward enters the game for D. Exum
7:27.0,,,41-30,,R. Gobert enters the game for D. Favors
7:27.0,A. Horford enters the game for K. Olynyk,,41-30,,
7:09.0,,,41-30,,J. Ingles misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by A. Horford,,41-30,,
6:44.0,T. Rozier misses 2-pt shot from 12 ft,,41-30,,
6:44.0,Offensive rebound by T. Rozier,,41-30,,
6:40.0,T. Rozier misses 2-pt shot from 2 ft,,41-30,,
6:40.0,Offensive rebound by Team,,41-30,,
6:40.0,,,41-30,,Loose ball foul by J. Ingles (drawn by J. Jerebko)
6:40.0,J. Brown enters the game for M. Smart,,41-30,,
6:40.0,I. Thomas enters the game for T. Rozier,,41-30,,
6:40.0,,,41-30,,G. Hill enters the game for J. Johnson
6:32.0,G. Green makes 2-pt shot from 10 ft,2,43-30,,
6:16.0,,,43-30,,G. Hill misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by J. Brown,,43-30,,
6:06.0,A. Horford makes 2-pt shot from 15 ft,2,45-30,,
5:44.0,,,45-30,,G. Hill misses 2-pt shot from 2 ft
5:42.0,,,45-30,,Offensive rebound by R. Gobert
5:41.0,Personal foul by G. Green (drawn by R. Gobert),,45-30,,
5:35.0,,,45-30,,G. Hill misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by J. Brown,,45-30,,
5:28.0,Shooting foul by G. Hill (drawn by I. Thomas),,45-30,,
5:28.0,I. Thomas makes free throw 1 of 3,1,46-30,,
5:28.0,I. Thomas misses free throw 2 of 3,,46-30,,
5:28.0,Offensive rebound by Team,,46-30,,
5:28.0,I. Thomas makes free throw 3 of 3,1,47-30,,
5:10.0,,,47-30,,B. Diaw misses 3-pt shot from 23 ft
5:09.0,,,47-30,,Offensive rebound by Team
4:59.0,,,47-30,,Shooting foul by J. Brown (drawn by B. Diaw)
4:59.0,,,47-31,1,B. Diaw makes free throw 1 of 2
4:59.0,,,47-32,1,B. Diaw makes free throw 2 of 2
4:41.0,G. Green makes 3-pt shot from 24 ft,3,50-32,,
4:29.0,,,50-32,,Shooting foul by J. Jerebko (drawn by B. Diaw)
4:29.0,,,50-33,1,B. Diaw makes free throw 1 of 2
4:29.0,,,50-34,1,B. Diaw makes free throw 2 of 2
4:29.0,M. Smart enters the game for J. Brown,,50-33,,
4:06.0,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas),3,53-34,,
3:47.0,,,53-36,2,B. Diaw makes 2-pt shot from 2 ft
3:25.0,M. Smart misses 3-pt shot from 25 ft,,53-36,,
3:24.0,,,53-36,,Defensive rebound by R. Gobert
3:22.0,Personal foul by J. Jerebko (drawn by J. Ingles),,53-36,,
3:22.0,,,53-37,1,J. Ingles makes free throw 1 of 2
3:22.0,,,53-38,1,J. Ingles makes free throw 2 of 2
3:22.0,,,53-37,,J. Johnson enters the game for B. Diaw
3:22.0,K. Olynyk enters the game for J. Jerebko,,53-37,,
3:08.0,Turnover by M. Smart (bad pass; steal by G. Hill),,53-38,,
2:58.0,,,53-40,2,J. Ingles makes 2-pt shot from 2 ft (assist by J. Johnson)
2:41.0,I. Thomas makes 2-pt shot from 2 ft,2,55-40,,
2:23.0,,,55-43,3,G. Hayward makes 3-pt shot from 23 ft (assist by G. Hill)
2:22.0,Boston full timeout,,55-43,,
2:04.0,I. Thomas misses 2-pt shot from 23 ft,,55-43,,
2:04.0,,,55-43,,Defensive rebound by R. Gobert
1:54.0,,,55-43,,J. Ingles misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by I. Thomas,,55-43,,
1:33.0,G. Green makes 3-pt shot from 25 ft,3,58-43,,
1:09.0,,,58-43,,Shooting foul by M. Smart (drawn by G. Hill)
1:09.0,,,58-44,1,G. Hill makes free throw 1 of 2
1:09.0,,,58-44,,G. Hill misses free throw 2 of 2
1:09.0,Defensive rebound by K. Olynyk,,58-44,,
0:56.0,Turnover by K. Olynyk (offensive foul),,58-44,,
0:56.0,Offensive foul by K. Olynyk,,58-44,,
0:32.0,,,58-44,,G. Hayward misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by M. Smart,,58-44,,
0:26.0,I. Thomas misses 3-pt shot from 26 ft,,58-44,,
0:26.0,,,58-44,,Defensive rebound by G. Hill
0:01.0,,,58-44,,Turnover by Team (bad pass)
0:01.0,Turnover by K. Olynyk (bad pass; steal by J. Ingles),,58-44,,
0:00.0,,,58-44,,J. Ingles misses 3-pt shot from 66 ft
0:00.0,,,58-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-46,2,G. Hayward makes 2-pt shot from 21 ft (assist by G. Hill)
11:29.0,G. Green makes 2-pt shot from 2 ft (assist by A. Johnson),2,60-46,,
11:11.0,Personal foul by G. Green (drawn by G. Hayward),,60-46,,
11:01.0,,,60-48,2,G. Hayward makes 2-pt shot from 17 ft
10:47.0,A. Horford misses 3-pt shot from 24 ft,,60-48,,
10:46.0,,,60-48,,Defensive rebound by Team
10:26.0,,,60-48,,G. Hill misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by A. Johnson,,60-48,,
10:14.0,I. Thomas misses 3-pt shot from 24 ft,,60-48,,
10:14.0,,,60-48,,Defensive rebound by R. Gobert
10:01.0,,,60-48,,D. Favors misses 2-pt shot from 9 ft
10:01.0,Defensive rebound by Team,,60-48,,
9:46.0,I. Thomas makes 2-pt shot from 2 ft,2,62-48,,
9:30.0,,,62-48,,Shooting foul by A. Horford (drawn by R. Gobert)
9:30.0,,,62-49,1,R. Gobert makes free throw 1 of 2
9:30.0,,,62-50,1,R. Gobert makes free throw 2 of 2
9:15.0,M. Smart misses 2-pt shot from 5 ft,,62-50,,
9:15.0,,,62-50,,Defensive rebound by R. Gobert
9:03.0,,,62-52,2,J. Ingles makes 2-pt shot from 2 ft
8:48.0,A. Horford misses 3-pt shot from 24 ft,,62-52,,
8:48.0,,,62-52,,Defensive rebound by D. Favors
8:39.0,,,62-52,,G. Hayward misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by A. Johnson,,62-52,,
8:26.0,Turnover by I. Thomas (lost ball; steal by G. Hill),,62-52,,
8:22.0,,,62-52,,Shooting foul by G. Green (drawn by G. Hill)
8:22.0,,,62-53,1,G. Hill makes free throw 1 of 2
8:22.0,,,62-54,1,G. Hill makes free throw 2 of 2
8:22.0,K. Olynyk enters the game for A. Johnson,,62-53,,
8:08.0,,,62-54,,Personal foul by J. Ingles (drawn by I. Thomas)
7:56.0,A. Horford makes 2-pt shot at rim (assist by M. Smart),2,64-54,,
7:39.0,,,64-56,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
7:23.0,M. Smart misses 2-pt shot from 10 ft,,64-56,,
7:23.0,,,64-56,,Defensive rebound by Team
7:18.0,Personal foul by I. Thomas (drawn by G. Hill),,64-56,,
7:18.0,J. Young enters the game for M. Smart,,64-56,,
7:00.0,,,64-56,,G. Hill misses 3-pt shot from 23 ft
6:59.0,,,64-56,,Offensive rebound by D. Favors
6:53.0,,,64-56,,G. Hayward misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by K. Olynyk,,64-56,,
6:40.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,67-56,,
6:11.0,,,67-56,,R. Gobert misses 2-pt shot from 2 ft
6:10.0,Defensive rebound by K. Olynyk,,67-56,,
6:09.0,,,67-56,,Personal foul by J. Ingles (drawn by I. Thomas)
5:50.0,A. Horford misses 2-pt shot from 18 ft,,67-56,,
5:50.0,,,67-56,,Defensive rebound by G. Hayward
5:34.0,,,67-56,,Turnover by G. Hayward (lost ball; steal by K. Olynyk)
5:30.0,J. Young makes 2-pt shot from 1 ft (assist by A. Horford),2,69-56,,
5:30.0,,,69-56,,Utah full timeout
5:30.0,,,69-56,,T. Lyles enters the game for D. Favors
5:11.0,,,69-56,,G. Hayward misses 2-pt shot from 14 ft
5:10.0,Defensive rebound by A. Horford,,69-56,,
4:58.0,Turnover by I. Thomas (lost ball; steal by J. Ingles),,69-56,,
4:55.0,,,69-56,,Shooting foul by J. Young (drawn by G. Hayward)
4:55.0,,,69-57,1,G. Hayward makes free throw 1 of 2
4:55.0,,,69-58,1,G. Hayward makes free throw 2 of 2
4:40.0,J. Young makes 3-pt shot from 25 ft (assist by A. Horford),3,72-58,,
4:21.0,,,72-58,,R. Gobert misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by A. Horford,,72-58,,
4:14.0,J. Young misses 3-pt shot from 24 ft,,72-58,,
4:13.0,,,72-58,,Defensive rebound by R. Gobert
3:57.0,,,72-58,,G. Hill misses 2-pt shot from 12 ft
3:56.0,Defensive rebound by I. Thomas,,72-58,,
3:38.0,,,72-58,,A. Burks enters the game for J. Ingles
3:38.0,T. Rozier enters the game for I. Thomas,,72-58,,
3:38.0,M. Smart enters the game for G. Green,,72-58,,
3:38.0,,,72-58,,S. Mack enters the game for G. Hill
3:35.0,Shooting foul by T. Lyles (drawn by K. Olynyk),,72-58,,
3:35.0,K. Olynyk misses free throw 1 of 2,,72-58,,
3:35.0,Offensive rebound by Team,,72-58,,
3:35.0,K. Olynyk misses free throw 2 of 2,,72-58,,
3:34.0,,,72-58,,Defensive rebound by T. Lyles
3:23.0,,,72-58,,T. Lyles misses 3-pt shot from 24 ft
3:22.0,,,72-58,,Offensive rebound by R. Gobert
3:18.0,,,72-58,,R. Gobert misses 2-pt shot from 4 ft
3:17.0,,,72-58,,Offensive rebound by T. Lyles
3:16.0,,,72-58,,T. Lyles misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by A. Horford,,72-58,,
3:06.0,J. Young misses 3-pt shot from 25 ft,,72-58,,
3:06.0,,,72-58,,Defensive rebound by Team
2:45.0,,,72-58,,S. Mack misses 3-pt shot from 24 ft
2:44.0,,,72-58,,Offensive rebound by Team
2:44.0,Boston full timeout,,72-58,,
2:44.0,J. Jerebko enters the game for A. Horford,,72-58,,
2:40.0,,,72-58,,T. Lyles misses 2-pt shot from 16 ft
2:40.0,Defensive rebound by K. Olynyk,,72-58,,
2:18.0,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Rozier),3,75-58,,
2:06.0,,,75-58,,G. Hayward misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by K. Olynyk,,75-58,,
1:48.0,M. Smart misses 3-pt shot from 27 ft,,75-58,,
1:48.0,,,75-58,,Defensive rebound by T. Lyles
1:37.0,,,75-58,,R. Gobert misses 2-pt shot from 4 ft (block by K. Olynyk)
1:37.0,,,75-58,,Offensive rebound by Team
1:37.0,,,75-58,,D. Favors enters the game for R. Gobert
1:37.0,,,75-58,,J. Johnson enters the game for G. Hayward
1:24.0,,,75-61,3,J. Johnson makes 3-pt shot from 25 ft (assist by S. Mack)
1:11.0,K. Olynyk misses 3-pt shot from 24 ft,,75-61,,
1:10.0,,,75-61,,Defensive rebound by J. Johnson
1:03.0,,,75-61,,Shooting foul by J. Young (drawn by J. Johnson)
1:03.0,,,75-62,1,J. Johnson makes free throw 1 of 2
1:03.0,,,75-62,,J. Johnson misses free throw 2 of 2
1:02.0,Defensive rebound by K. Olynyk,,75-62,,
0:51.0,J. Young makes 2-pt shot from 2 ft (assist by K. Olynyk),2,77-62,,
0:51.0,Shooting foul by J. Johnson (drawn by J. Young),,77-62,,
0:51.0,J. Young misses free throw 1 of 1,,77-62,,
0:51.0,,,77-62,,Defensive rebound by D. Favors
0:34.0,,,77-62,,A. Burks misses 2-pt shot from 9 ft
0:34.0,,,77-62,,Offensive rebound by A. Burks
0:26.0,,,77-62,,T. Lyles misses 2-pt shot from 6 ft (block by K. Olynyk)
0:25.0,,,77-62,,Offensive rebound by T. Lyles
0:25.0,,,77-64,2,T. Lyles makes 2-pt shot from 6 ft
0:25.0,,,77-64,,Shooting foul by K. Olynyk (drawn by T. Lyles)
0:25.0,,,77-65,1,T. Lyles makes free throw 1 of 1
0:02.0,M. Smart misses 3-pt shot from 28 ft,,77-65,,
0:01.0,,,77-65,,Defensive rebound by S. Mack
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Smart makes 2-pt shot from 5 ft,2,79-65,,
11:19.0,,,79-65,,Turnover by T. Lyles (lost ball; steal by M. Smart)
11:06.0,A. Horford makes 3-pt shot from 24 ft (assist by I. Thomas),3,82-65,,
10:50.0,,,82-65,,J. Johnson misses 2-pt shot from 3 ft
10:49.0,Defensive rebound by J. Jerebko,,82-65,,
10:35.0,Turnover by A. Horford (traveling),,82-65,,
10:24.0,,,82-65,,Turnover by S. Mack (bad pass; steal by M. Smart)
10:18.0,I. Thomas makes 3-pt shot from 24 ft,3,85-65,,
10:18.0,,,85-65,,Utah full timeout
10:18.0,,,85-65,,G. Hill enters the game for S. Mack
10:18.0,,,85-65,,G. Hayward enters the game for T. Lyles
9:56.0,,,85-67,2,A. Burks makes 2-pt shot from 3 ft
9:41.0,I. Thomas misses 2-pt shot from 23 ft,,85-67,,
9:40.0,,,85-67,,Defensive rebound by J. Johnson
9:25.0,,,85-67,,D. Favors misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by A. Horford,,85-67,,
9:12.0,J. Young enters the game for M. Smart,,85-67,,
9:07.0,A. Horford makes 2-pt shot from 17 ft (assist by T. Rozier),2,87-67,,
8:48.0,,,87-69,2,G. Hayward makes 2-pt shot from 16 ft (assist by G. Hill)
8:22.0,I. Thomas makes 2-pt shot from 3 ft,2,89-69,,
8:07.0,,,89-71,2,G. Hill makes 2-pt shot from 14 ft
7:46.0,J. Young makes 3-pt shot from 24 ft (assist by A. Horford),3,92-71,,
7:38.0,,,92-71,,Utah full timeout
7:38.0,K. Olynyk enters the game for A. Horford,,92-71,,
7:30.0,,,92-71,,G. Hayward misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by T. Rozier,,92-71,,
7:10.0,K. Olynyk makes 2-pt shot from 2 ft (assist by I. Thomas),2,94-71,,
6:54.0,,,94-74,3,G. Hill makes 3-pt shot from 24 ft
6:38.0,K. Olynyk makes 2-pt shot at rim,2,96-74,,
6:24.0,,,96-74,,J. Ingles enters the game for A. Burks
6:24.0,,,96-74,,R. Gobert enters the game for D. Favors
6:24.0,M. Smart enters the game for I. Thomas,,96-74,,
6:17.0,,,96-76,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
5:58.0,J. Young misses 3-pt shot from 25 ft,,96-76,,
5:57.0,Offensive rebound by J. Jerebko,,96-76,,
5:45.0,Shooting foul by J. Johnson (drawn by T. Rozier),,96-76,,
5:45.0,T. Rozier makes free throw 1 of 2,1,97-76,,
5:45.0,T. Rozier makes free throw 2 of 2,1,98-76,,
5:45.0,,,97-76,,T. Lyles enters the game for J. Johnson
5:35.0,,,98-78,2,G. Hayward makes 2-pt shot from 2 ft
5:14.0,Turnover by M. Smart (bad pass; steal by G. Hill),,98-78,,
5:04.0,,,98-78,,Shooting foul by M. Smart (drawn by G. Hill)
5:04.0,,,98-79,1,G. Hill makes free throw 1 of 3
5:04.0,,,98-80,1,G. Hill makes free throw 2 of 3
5:04.0,,,98-81,1,G. Hill makes free throw 3 of 3
5:04.0,A. Horford enters the game for J. Jerebko,,98-80,,
5:04.0,I. Thomas enters the game for T. Rozier,,98-80,,
4:50.0,Turnover by A. Horford (bad pass; steal by G. Hayward),,98-81,,
4:42.0,,,98-84,3,G. Hill makes 3-pt shot from 23 ft (assist by J. Ingles)
4:22.0,I. Thomas misses 2-pt shot from 2 ft (block by R. Gobert),,98-84,,
4:21.0,Offensive rebound by M. Smart,,98-84,,
4:19.0,Turnover by A. Horford (traveling),,98-84,,
3:54.0,,,98-84,,T. Lyles misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by M. Smart,,98-84,,
3:39.0,Shooting foul by R. Gobert (drawn by I. Thomas),,98-84,,
3:39.0,I. Thomas makes free throw 1 of 2,1,99-84,,
3:39.0,I. Thomas makes free throw 2 of 2,1,100-84,,
3:24.0,,,100-86,2,R. Gobert makes 2-pt shot from 2 ft
3:07.0,I. Thomas makes 3-pt shot from 23 ft,3,103-86,,
2:44.0,,,103-86,,G. Hill misses 2-pt shot from 4 ft
2:43.0,,,103-86,,Offensive rebound by G. Hill
2:41.0,,,103-88,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
2:28.0,I. Thomas misses 3-pt shot from 24 ft,,103-88,,
2:27.0,,,103-88,,Defensive rebound by J. Ingles
2:21.0,,,103-90,2,G. Hayward makes 2-pt shot from 7 ft
2:21.0,,,103-90,,Shooting foul by A. Horford (drawn by G. Hayward)
2:21.0,,,103-90,,Utah full timeout
2:21.0,,,103-91,1,G. Hayward makes free throw 1 of 1
2:21.0,T. Rozier enters the game for J. Young,,103-90,,
2:12.0,,,103-91,,Personal foul by G. Hayward (drawn by M. Smart)
1:59.0,T. Rozier misses 3-pt shot from 24 ft,,103-91,,
1:58.0,,,103-91,,Defensive rebound by R. Gobert
1:47.0,,,103-91,,T. Lyles misses 3-pt shot from 25 ft
1:46.0,,,103-91,,Offensive rebound by R. Gobert
1:45.0,,,103-91,,Shooting foul by K. Olynyk (drawn by R. Gobert)
1:45.0,,,103-91,,R. Gobert misses free throw 1 of 2
1:45.0,,,103-91,,Offensive rebound by Team
1:45.0,,,103-92,1,R. Gobert makes free throw 2 of 2
1:41.0,,,103-92,,Personal foul by G. Hill (drawn by I. Thomas)
1:40.0,,,103-92,,Personal foul by J. Ingles (drawn by T. Rozier)
1:40.0,T. Rozier misses free throw 1 of 2,,103-92,,
1:40.0,Offensive rebound by Team,,103-92,,
1:40.0,T. Rozier makes free throw 2 of 2,1,104-92,,
1:40.0,J. Jerebko enters the game for K. Olynyk,,103-92,,
1:32.0,,,104-94,2,G. Hill makes 2-pt shot from 2 ft
1:29.0,Turnover by T. Rozier (bad pass; steal by J. Ingles),,104-94,,
1:23.0,,,104-94,,J. Ingles misses 3-pt shot from 24 ft
1:23.0,,,104-94,,Offensive rebound by G. Hill
1:18.0,,,104-96,2,J. Ingles makes 2-pt shot from 1 ft
1:18.0,Boston full timeout,,104-96,,
1:18.0,,,104-96,,Inbound foul by R. Gobert
1:18.0,I. Thomas makes free throw 1 of 1,1,105-96,,
1:18.0,K. Olynyk enters the game for J. Jerebko,,104-96,,
1:12.0,T. Rozier misses 2-pt shot from 1 ft (block by R. Gobert),,105-96,,
1:10.0,,,105-96,,Defensive rebound by J. Ingles
1:05.0,,,105-96,,J. Ingles misses 2-pt shot from 2 ft
1:05.0,Defensive rebound by A. Horford,,105-96,,
1:00.0,M. Smart makes 2-pt shot at rim (assist by K. Olynyk),2,107-96,,
