time,LA Clippers,pts.away,score,pts.home,Toronto
3:58.0,,,22-24,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
3:41.0,Shooting foul by P. Siakam (drawn by A. Rivers),,22-24,,
3:41.0,A. Rivers misses free throw 1 of 2,,22-24,,
3:41.0,Offensive rebound by Team,,22-24,,
3:41.0,A. Rivers misses free throw 2 of 2,,22-24,,
3:41.0,J. Crawford enters the game for J. Redick,,22-24,,
3:41.0,L. Mbah a Moute enters the game for R. Felton,,22-24,,
3:41.0,,,22-24,,C. Joseph enters the game for K. Lowry
3:40.0,Offensive rebound by B. Griffin,,22-24,,
3:40.0,,,22-24,,Personal foul by P. Siakam (drawn by A. Rivers)
3:38.0,,,22-24,,Personal foul by P. Siakam (drawn by B. Griffin)
3:38.0,,,22-24,,J. Poeltl enters the game for P. Siakam
3:32.0,L. Mbah a Moute makes 2-pt shot from 16 ft,2,24-24,,
3:16.0,,,24-24,,Turnover by L. Nogueira (bad pass; steal by J. Crawford)
3:00.0,,,24-24,,Personal foul by J. Poeltl (drawn by B. Griffin)
3:00.0,B. Griffin makes free throw 1 of 2,1,25-24,,
3:00.0,,,25-24,,Violation by T. Ross (lane)
3:00.0,B. Griffin makes free throw 2 of 2,1,26-24,,
2:50.0,,,26-26,2,D. DeRozan makes 2-pt shot from 11 ft
2:50.0,,,26-26,,Shooting foul by A. Rivers (drawn by D. DeRozan)
2:50.0,,,26-27,1,D. DeRozan makes free throw 1 of 1
2:27.0,B. Griffin makes 3-pt shot from 25 ft (assist by J. Crawford),3,29-27,,
2:13.0,,,29-27,,Shooting foul by L. Mbah a Moute (drawn by D. DeRozan)
2:13.0,,,29-28,1,D. DeRozan makes free throw 1 of 2
2:13.0,,,29-29,1,D. DeRozan makes free throw 2 of 2
2:13.0,R. Felton enters the game for A. Rivers,,29-28,,
1:57.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,29-29,,
1:56.0,Offensive rebound by Team,,29-29,,
1:53.0,M. Speights misses 3-pt shot from 26 ft,,29-29,,
1:53.0,,,29-29,,Defensive rebound by D. DeRozan
1:37.0,,,29-29,,Turnover by T. Ross (lost ball; steal by M. Speights)
1:32.0,J. Crawford misses 2-pt shot from 17 ft,,29-29,,
1:31.0,Offensive rebound by B. Griffin,,29-29,,
1:20.0,Turnover by J. Crawford (bad pass; steal by L. Nogueira),,29-29,,
1:14.0,,,29-29,,T. Ross misses 3-pt shot from 27 ft
1:13.0,Defensive rebound by L. Mbah a Moute,,29-29,,
1:03.0,B. Griffin makes 2-pt shot from 2 ft,2,31-29,,
0:49.0,Shooting block foul by M. Speights (drawn by L. Nogueira),,31-29,,
0:49.0,,,31-30,1,L. Nogueira makes free throw 1 of 2
0:49.0,,,31-31,1,L. Nogueira makes free throw 2 of 2
0:49.0,B. Bass enters the game for B. Griffin,,31-30,,
0:36.0,J. Crawford misses 2-pt shot from 21 ft,,31-31,,
0:35.0,,,31-31,,Defensive rebound by L. Nogueira
0:24.0,,,31-33,2,D. DeRozan makes 2-pt shot from 11 ft
0:06.0,Turnover by R. Felton (lost ball; steal by D. DeRozan),,31-33,,
0:02.0,,,31-33,,J. Poeltl misses 2-pt shot from 1 ft
0:02.0,,,31-33,,Offensive rebound by D. DeRozan
0:02.0,,,31-35,2,D. DeRozan makes 2-pt shot at rim
0:00.0,J. Crawford misses 3-pt shot from 64 ft,,31-35,,
0:00.0,Offensive rebound by Team,,31-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Def 3 sec tech foul by B. Bass,,31-35,,
11:43.0,,,31-36,1,K. Lowry makes technical free throw
11:35.0,,,31-36,,Turnover by J. Poeltl (illegal screen)
11:25.0,M. Speights makes 3-pt shot from 27 ft (assist by R. Felton),3,34-36,,
11:15.0,,,34-38,2,C. Joseph makes 2-pt shot from 11 ft
11:02.0,M. Speights misses 3-pt shot from 27 ft,,34-38,,
11:01.0,,,34-38,,Defensive rebound by C. Joseph
10:50.0,,,34-38,,T. Ross misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by R. Felton,,34-38,,
10:43.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,34-38,,
10:42.0,,,34-38,,Defensive rebound by L. Nogueira
10:31.0,,,34-38,,Turnover by T. Ross (bad pass; steal by M. Speights)
10:26.0,Turnover by R. Felton (traveling),,34-38,,
10:17.0,,,34-41,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph)
9:54.0,J. Crawford makes 3-pt shot from 29 ft (assist by R. Felton),3,37-41,,
9:37.0,,,37-41,,L. Nogueira misses 2-pt shot at rim
9:36.0,Defensive rebound by R. Felton,,37-41,,
9:31.0,J. Crawford makes 3-pt shot from 25 ft,3,40-41,,
9:22.0,,,40-41,,Toronto full timeout
9:22.0,D. Jordan enters the game for M. Speights,,40-41,,
9:22.0,W. Johnson enters the game for B. Bass,,40-41,,
9:22.0,,,40-41,,J. Valanciunas enters the game for L. Nogueira
9:22.0,,,40-41,,J. Sullinger enters the game for J. Poeltl
9:07.0,,,40-41,,K. Lowry misses 3-pt shot from 26 ft
9:07.0,,,40-41,,Offensive rebound by C. Joseph
9:02.0,,,40-41,,C. Joseph misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by D. Jordan,,40-41,,
8:55.0,Turnover by J. Crawford (lost ball; steal by T. Ross),,40-41,,
8:51.0,,,40-43,2,C. Joseph makes 2-pt shot from 3 ft (assist by T. Ross)
8:34.0,,,40-43,,Personal foul by T. Ross (drawn by J. Crawford)
8:34.0,,,40-43,,D. Carroll enters the game for J. Sullinger
8:24.0,,,40-43,,Personal foul by C. Joseph (drawn by L. Mbah a Moute)
8:24.0,A. Rivers enters the game for L. Mbah a Moute,,40-43,,
8:19.0,D. Jordan misses 2-pt shot from 5 ft,,40-43,,
8:18.0,,,40-43,,Defensive rebound by J. Valanciunas
8:09.0,,,40-45,2,C. Joseph makes 2-pt shot from 5 ft
7:48.0,J. Crawford misses 3-pt shot from 28 ft,,40-45,,
7:48.0,,,40-45,,Defensive rebound by T. Ross
7:36.0,,,40-45,,Shooting foul by W. Johnson (drawn by K. Lowry)
7:36.0,LA Clippers full timeout,,40-45,,
7:36.0,,,40-46,1,K. Lowry makes free throw 1 of 2
7:36.0,,,40-47,1,K. Lowry makes free throw 2 of 2
7:36.0,B. Griffin enters the game for W. Johnson,,40-45,,
7:36.0,,,40-45,,D. DeRozan enters the game for T. Ross
7:36.0,,,40-45,,J. Sullinger enters the game for C. Joseph
7:29.0,A. Rivers makes 2-pt shot from 2 ft (assist by B. Griffin),2,42-47,,
7:29.0,Shooting foul by D. DeRozan (drawn by A. Rivers),,42-47,,
7:29.0,A. Rivers makes free throw 1 of 1,1,43-47,,
7:19.0,Personal foul by D. Jordan (drawn by J. Valanciunas),,43-47,,
7:06.0,,,43-49,2,J. Valanciunas makes 2-pt shot from 9 ft
6:56.0,A. Rivers misses 2-pt shot from 6 ft,,43-49,,
6:56.0,Offensive rebound by A. Rivers,,43-49,,
6:45.0,B. Griffin makes 2-pt shot from 17 ft,2,45-49,,
6:23.0,,,45-49,,J. Valanciunas misses 2-pt shot from 10 ft
6:22.0,Defensive rebound by D. Jordan,,45-49,,
6:13.0,J. Crawford misses 3-pt shot from 30 ft,,45-49,,
6:12.0,,,45-49,,Defensive rebound by J. Valanciunas
6:00.0,,,45-49,,Shooting foul by A. Rivers (drawn by D. DeRozan)
6:00.0,,,45-50,1,D. DeRozan makes free throw 1 of 2
6:00.0,,,45-51,1,D. DeRozan makes free throw 2 of 2
6:00.0,B. Bass enters the game for D. Jordan,,45-50,,
5:47.0,B. Bass makes 2-pt shot from 16 ft,2,47-51,,
5:37.0,J. Redick enters the game for J. Crawford,,47-51,,
5:27.0,,,47-54,3,K. Lowry makes 3-pt shot from 25 ft
5:11.0,B. Griffin misses 2-pt shot from 19 ft,,47-54,,
5:11.0,,,47-54,,Defensive rebound by J. Valanciunas
5:02.0,,,47-56,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. DeRozan)
4:44.0,R. Felton makes 2-pt shot from 18 ft,2,49-56,,
4:34.0,,,49-58,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
4:19.0,B. Bass misses 2-pt shot from 5 ft,,49-58,,
4:19.0,,,49-58,,Defensive rebound by Team
4:13.0,,,49-60,2,K. Lowry makes 2-pt shot from 2 ft
4:13.0,LA Clippers full timeout,,49-60,,
4:01.0,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin),2,51-60,,
3:47.0,,,51-60,,D. Carroll misses 2-pt shot from 10 ft
3:46.0,Defensive rebound by R. Felton,,51-60,,
3:39.0,A. Rivers misses 2-pt shot from 1 ft,,51-60,,
3:39.0,,,51-60,,Defensive rebound by J. Valanciunas
3:32.0,,,51-62,2,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry)
3:11.0,B. Griffin makes 3-pt shot from 26 ft (assist by R. Felton),3,54-62,,
2:51.0,,,54-62,,Shooting foul by B. Griffin (drawn by J. Valanciunas)
2:51.0,Official timeout,,54-62,,
2:51.0,,,54-63,1,J. Valanciunas makes free throw 1 of 2
2:51.0,,,54-63,,J. Valanciunas misses free throw 2 of 2
2:51.0,,,54-62,,L. Nogueira enters the game for K. Lowry
2:51.0,,,54-62,,C. Joseph enters the game for J. Sullinger
2:51.0,M. Speights enters the game for B. Bass,,54-63,,
2:49.0,Defensive rebound by B. Griffin,,54-63,,
2:35.0,J. Redick misses 3-pt shot from 26 ft,,54-63,,
2:34.0,,,54-63,,Defensive rebound by J. Valanciunas
2:13.0,,,54-63,,C. Joseph misses 2-pt shot from 20 ft
2:11.0,,,54-63,,Offensive rebound by D. Carroll
2:10.0,,,54-63,,D. Carroll misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by B. Griffin,,54-63,,
1:55.0,Shooting foul by C. Joseph (drawn by M. Speights),,54-63,,
1:55.0,M. Speights makes free throw 1 of 2,1,55-63,,
1:55.0,M. Speights makes free throw 2 of 2,1,56-63,,
1:39.0,,,56-63,,D. DeRozan misses 2-pt shot from 8 ft
1:38.0,Defensive rebound by J. Redick,,56-63,,
1:35.0,B. Griffin makes 2-pt shot at rim (assist by M. Speights),2,58-63,,
1:09.0,,,58-66,3,D. DeRozan makes 3-pt shot from 26 ft
0:59.0,M. Speights makes 2-pt shot from 6 ft,2,60-66,,
0:40.0,,,60-66,,C. Joseph misses 3-pt shot from 24 ft
0:39.0,,,60-66,,Offensive rebound by Team
0:38.0,,,60-66,,Toronto full timeout
0:38.0,L. Mbah a Moute enters the game for A. Rivers,,60-66,,
0:29.0,,,60-66,,D. DeRozan misses 3-pt shot from 24 ft
0:28.0,,,60-66,,Offensive rebound by D. Carroll
0:28.0,,,60-68,2,D. Carroll makes 2-pt shot from 2 ft
0:15.0,M. Speights misses 3-pt shot from 24 ft,,60-68,,
0:15.0,,,60-68,,Defensive rebound by C. Joseph
0:01.0,,,60-68,,Shooting foul by B. Griffin (drawn by D. Carroll)
0:01.0,,,60-69,1,D. Carroll makes free throw 1 of 2
0:01.0,,,60-70,1,D. Carroll makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,60-72,2,D. DeRozan makes 2-pt shot from 10 ft
11:33.0,J. Redick misses 2-pt shot from 21 ft,,60-72,,
11:32.0,,,60-72,,Defensive rebound by K. Lowry
11:21.0,,,60-74,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by K. Lowry)
11:02.0,,,60-74,,Personal foul by K. Lowry (drawn by J. Redick)
10:56.0,B. Griffin makes 2-pt shot from 1 ft,2,62-74,,
10:38.0,,,62-74,,D. DeRozan misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by R. Felton,,62-74,,
10:30.0,A. Rivers misses 3-pt shot from 24 ft,,62-74,,
10:30.0,,,62-74,,Defensive rebound by D. Carroll
10:10.0,,,62-74,,P. Siakam misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by R. Felton,,62-74,,
9:49.0,R. Felton misses 2-pt shot from 18 ft,,62-74,,
9:49.0,,,62-74,,Defensive rebound by D. Carroll
9:37.0,,,62-74,,D. Carroll misses 3-pt shot from 24 ft
9:37.0,,,62-74,,Offensive rebound by J. Valanciunas
9:27.0,,,62-74,,J. Valanciunas misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by R. Felton,,62-74,,
9:11.0,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin),2,64-74,,
8:45.0,,,64-76,2,J. Valanciunas makes 2-pt shot from 9 ft (assist by K. Lowry)
8:32.0,J. Redick makes 2-pt shot from 6 ft (assist by B. Griffin),2,66-76,,
8:24.0,,,66-76,,P. Siakam misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by B. Griffin,,66-76,,
8:11.0,J. Redick misses 2-pt shot from 3 ft,,66-76,,
8:11.0,,,66-76,,Defensive rebound by J. Valanciunas
8:01.0,,,66-76,,D. DeRozan misses 2-pt shot from 3 ft
8:00.0,Defensive rebound by D. Jordan,,66-76,,
7:55.0,LA Clippers full timeout,,66-76,,
7:48.0,B. Griffin misses 2-pt shot from 22 ft,,66-76,,
7:48.0,Offensive rebound by D. Jordan,,66-76,,
7:46.0,D. Jordan misses 2-pt shot from 1 ft,,66-76,,
7:46.0,Offensive rebound by D. Jordan,,66-76,,
7:41.0,A. Rivers makes 3-pt shot from 25 ft (assist by R. Felton),3,69-76,,
7:28.0,,,69-79,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Valanciunas)
7:13.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,71-79,,
6:58.0,,,71-81,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. Carroll)
6:52.0,,,71-81,,Personal foul by D. Carroll (drawn by J. Redick)
6:39.0,A. Rivers misses 2-pt shot from 5 ft (block by J. Valanciunas),,71-81,,
6:38.0,,,71-81,,Defensive rebound by J. Valanciunas
6:34.0,,,71-81,,Turnover by D. Carroll (lost ball; steal by B. Griffin)
6:26.0,R. Felton makes 2-pt shot from 3 ft,2,73-81,,
6:04.0,,,73-83,2,D. Carroll makes 2-pt shot from 17 ft
5:38.0,R. Felton misses 3-pt shot from 24 ft,,73-83,,
5:38.0,Offensive rebound by B. Griffin,,73-83,,
5:34.0,A. Rivers misses 3-pt shot from 24 ft,,73-83,,
5:33.0,,,73-83,,Defensive rebound by J. Valanciunas
5:20.0,,,73-83,,K. Lowry misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by B. Griffin,,73-83,,
5:06.0,R. Felton misses 3-pt shot from 24 ft,,73-83,,
5:05.0,,,73-83,,Defensive rebound by P. Siakam
4:52.0,,,73-85,2,D. DeRozan makes 2-pt shot from 11 ft
4:35.0,J. Crawford enters the game for J. Redick,,73-85,,
4:35.0,L. Mbah a Moute enters the game for R. Felton,,73-85,,
4:35.0,,,73-85,,L. Nogueira enters the game for P. Siakam
4:25.0,B. Griffin misses 3-pt shot from 26 ft,,73-85,,
4:25.0,,,73-85,,Defensive rebound by K. Lowry
4:15.0,,,73-88,3,K. Lowry makes 3-pt shot from 27 ft
3:56.0,,,73-88,,Personal foul by L. Nogueira (drawn by B. Griffin)
3:50.0,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin),2,75-88,,
3:42.0,,,75-88,,K. Lowry misses 2-pt shot from 4 ft (block by D. Jordan)
3:42.0,Defensive rebound by Team,,75-88,,
3:36.0,Turnover by B. Griffin (bad pass; steal by L. Nogueira),,75-88,,
3:33.0,Personal foul by D. Jordan (drawn by K. Lowry),,75-88,,
3:25.0,,,75-88,,K. Lowry misses 2-pt shot from 4 ft (block by A. Rivers)
3:25.0,Defensive rebound by Team,,75-88,,
3:25.0,,,75-88,,Violation by Team (jump ball)
3:04.0,A. Rivers misses 3-pt shot from 27 ft,,75-88,,
3:04.0,,,75-88,,Defensive rebound by Team
3:03.0,,,75-88,,Toronto full timeout
3:03.0,,,75-88,,T. Ross enters the game for D. Carroll
3:03.0,,,75-88,,C. Joseph enters the game for J. Valanciunas
3:03.0,,,75-88,,J. Poeltl enters the game for K. Lowry
2:49.0,,,75-88,,T. Ross misses 3-pt shot from 26 ft
2:48.0,Defensive rebound by D. Jordan,,75-88,,
2:33.0,,,75-88,,Personal foul by J. Poeltl (drawn by B. Griffin)
2:27.0,Shooting foul by C. Joseph (drawn by J. Crawford),,75-88,,
2:27.0,J. Crawford makes free throw 1 of 2,1,76-88,,
2:27.0,J. Crawford misses free throw 2 of 2,,76-88,,
2:27.0,,,76-88,,Defensive rebound by J. Poeltl
2:13.0,,,76-88,,D. DeRozan misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by D. Jordan,,76-88,,
2:06.0,J. Crawford makes 2-pt shot from 18 ft,2,78-88,,
2:06.0,Shooting foul by T. Ross (drawn by J. Crawford),,78-88,,
2:06.0,J. Crawford makes free throw 1 of 1,1,79-88,,
2:06.0,M. Speights enters the game for B. Griffin,,78-88,,
1:51.0,,,79-90,2,D. DeRozan makes 2-pt shot from 9 ft
1:45.0,Offensive foul by J. Crawford,,79-90,,
1:45.0,Turnover by J. Crawford (offensive foul),,79-90,,
1:28.0,,,79-92,2,C. Joseph makes 2-pt shot from 6 ft (assist by L. Nogueira)
1:11.0,A. Rivers makes 3-pt shot from 27 ft (assist by M. Speights),3,82-92,,
0:54.0,,,82-92,,D. DeRozan misses 2-pt shot from 17 ft (block by L. Mbah a Moute)
0:53.0,,,82-92,,Offensive rebound by D. DeRozan
0:45.0,Shooting block foul by A. Rivers (drawn by C. Joseph),,82-92,,
0:45.0,,,82-93,1,C. Joseph makes free throw 1 of 2
0:45.0,,,82-94,1,C. Joseph makes free throw 2 of 2
0:45.0,R. Felton enters the game for A. Rivers,,82-93,,
0:30.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,82-94,,
0:29.0,,,82-94,,Defensive rebound by D. DeRozan
0:07.0,,,82-94,,C. Joseph misses 3-pt shot from 24 ft
0:07.0,,,82-94,,Offensive rebound by J. Poeltl
0:06.0,,,82-96,2,J. Poeltl makes 2-pt shot from 3 ft
0:06.0,,,82-96,,Shooting foul by L. Mbah a Moute (drawn by J. Poeltl)
0:06.0,,,82-97,1,J. Poeltl makes free throw 1 of 1
0:06.0,J. Redick enters the game for L. Mbah a Moute,,82-96,,
0:00.0,R. Felton misses 2-pt shot from 19 ft,,82-97,,
0:00.0,,,82-97,,Defensive rebound by J. Poeltl
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Crawford misses 2-pt shot from 20 ft,,82-97,,
11:44.0,,,82-97,,Defensive rebound by L. Nogueira
11:32.0,,,82-97,,L. Nogueira misses 2-pt shot from 2 ft
11:31.0,Defensive rebound by M. Speights,,82-97,,
11:14.0,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford),3,85-97,,
10:51.0,,,85-97,,Shooting foul by M. Speights (drawn by C. Joseph)
10:51.0,,,85-98,1,C. Joseph makes free throw 1 of 2
10:51.0,,,85-99,1,C. Joseph makes free throw 2 of 2
10:40.0,,,85-99,,Personal foul by L. Nogueira (drawn by J. Crawford)
10:34.0,M. Speights misses 3-pt shot from 27 ft,,85-99,,
10:33.0,,,85-99,,Defensive rebound by N. Powell
10:25.0,,,85-101,2,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry)
10:01.0,R. Felton misses 2-pt shot from 12 ft,,85-101,,
10:01.0,,,85-101,,Defensive rebound by K. Lowry
9:56.0,,,85-101,,K. Lowry misses 3-pt shot from 26 ft (block by J. Crawford)
9:54.0,,,85-101,,Offensive rebound by T. Ross
9:49.0,,,85-101,,Turnover by T. Ross (bad pass; steal by J. Crawford)
9:43.0,W. Johnson misses 3-pt shot from 25 ft,,85-101,,
9:42.0,Offensive rebound by J. Redick,,85-101,,
9:37.0,M. Speights makes 2-pt shot from 3 ft (assist by J. Redick),2,87-101,,
9:18.0,,,87-101,,C. Joseph misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by J. Redick,,87-101,,
9:18.0,LA Clippers full timeout,,87-101,,
9:18.0,B. Griffin enters the game for M. Speights,,87-101,,
9:18.0,A. Rivers enters the game for W. Johnson,,87-101,,
9:18.0,,,87-101,,J. Valanciunas enters the game for L. Nogueira
9:05.0,J. Crawford makes 2-pt shot from 4 ft,2,89-101,,
8:42.0,,,89-104,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
8:24.0,J. Crawford misses 3-pt shot from 25 ft,,89-104,,
8:24.0,,,89-104,,Defensive rebound by T. Ross
8:19.0,,,89-106,2,N. Powell makes 2-pt shot at rim (assist by K. Lowry)
8:06.0,,,89-106,,Personal foul by K. Lowry (drawn by R. Felton)
7:59.0,B. Griffin makes 2-pt shot from 22 ft,2,91-106,,
7:34.0,,,91-108,2,J. Valanciunas makes 2-pt shot from 5 ft
7:24.0,Shooting foul by T. Ross (drawn by A. Rivers),,91-108,,
7:24.0,A. Rivers makes free throw 1 of 2,1,92-108,,
7:24.0,A. Rivers makes free throw 2 of 2,1,93-108,,
7:08.0,,,93-111,3,N. Powell makes 3-pt shot from 24 ft (assist by C. Joseph)
6:51.0,B. Griffin misses 2-pt shot from 19 ft,,93-111,,
6:51.0,,,93-111,,Defensive rebound by C. Joseph
6:41.0,,,93-111,,Shooting foul by B. Griffin (drawn by J. Valanciunas)
6:41.0,,,93-112,1,J. Valanciunas makes free throw 1 of 2
6:41.0,,,93-113,1,J. Valanciunas makes free throw 2 of 2
6:41.0,D. Jordan enters the game for R. Felton,,93-112,,
6:41.0,,,93-112,,L. Nogueira enters the game for T. Ross
6:41.0,,,93-112,,D. DeRozan enters the game for C. Joseph
6:30.0,,,93-113,,Personal block foul by L. Nogueira (drawn by B. Griffin)
6:23.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,96-113,,
6:23.0,Shooting foul by J. Valanciunas (drawn by J. Redick),,96-113,,
6:23.0,J. Redick makes free throw 1 of 1,1,97-113,,
5:57.0,,,97-116,3,D. DeRozan makes 3-pt shot from 23 ft (assist by L. Nogueira)
5:28.0,,,97-116,,Personal foul by K. Lowry (drawn by A. Rivers)
5:28.0,Official timeout,,97-116,,
5:28.0,A. Rivers misses free throw 1 of 2,,97-116,,
5:28.0,Offensive rebound by Team,,97-116,,
5:28.0,A. Rivers makes free throw 2 of 2,1,98-116,,
5:03.0,,,98-116,,K. Lowry misses 2-pt shot from 15 ft
5:03.0,Defensive rebound by D. Jordan,,98-116,,
4:59.0,B. Griffin makes 2-pt shot from 3 ft,2,100-116,,
4:59.0,Shooting foul by L. Nogueira (drawn by B. Griffin),,100-116,,
