time,Milwaukee,pts.away,score,pts.home,Miami
8:07.0,M. Dellavedova misses 2-pt shot from 2 ft,,9-5,,
8:06.0,,,9-5,,Defensive rebound by H. Whiteside
7:59.0,,,9-5,,G. Dragic misses 2-pt shot from 1 ft
7:58.0,,,9-5,,Offensive rebound by Team
7:58.0,M. Brogdon enters the game for M. Dellavedova,,9-5,,
7:55.0,,,9-5,,D. Waiters misses 2-pt shot from 15 ft
7:54.0,Defensive rebound by J. Henson,,9-5,,
7:45.0,J. Henson misses 2-pt shot from 7 ft,,9-5,,
7:44.0,Offensive rebound by G. Antetokounmpo,,9-5,,
7:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,11-5,,
7:18.0,,,11-5,,Turnover by H. Whiteside (3 sec)
6:56.0,M. Brogdon misses 2-pt shot from 1 ft (block by H. Whiteside),,11-5,,
6:55.0,,,11-5,,Defensive rebound by L. Babbitt
6:45.0,,,11-5,,L. Babbitt misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by J. Henson,,11-5,,
6:27.0,Offensive foul by G. Antetokounmpo,,11-5,,
6:27.0,Turnover by G. Antetokounmpo (offensive foul),,11-5,,
6:27.0,,,11-5,,W. Ellington enters the game for G. Dragic
6:27.0,,,11-5,,J. Johnson enters the game for L. Babbitt
6:27.0,G. Monroe enters the game for J. Henson,,11-5,,
6:15.0,,,11-5,,Shooting foul by T. Snell (drawn by D. Waiters)
6:15.0,,,11-6,1,D. Waiters makes free throw 1 of 2
6:15.0,,,11-6,,D. Waiters misses free throw 2 of 2
6:15.0,M. Beasley enters the game for T. Snell,,11-6,,
6:15.0,R. Vaughn enters the game for T. Maker,,11-6,,
6:14.0,Defensive rebound by G. Antetokounmpo,,11-6,,
5:53.0,M. Beasley misses 2-pt shot from 14 ft,,11-6,,
5:52.0,,,11-6,,Defensive rebound by H. Whiteside
5:48.0,Personal block foul by M. Brogdon (drawn by D. Waiters),,11-6,,
5:48.0,,,11-6,,Miami full timeout
5:31.0,,,11-9,3,D. Waiters makes 3-pt shot from 23 ft (assist by J. Johnson)
5:19.0,Turnover by G. Monroe (bad pass; steal by W. Ellington),,11-9,,
5:13.0,,,11-9,,R. McGruder misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by G. Monroe,,11-9,,
5:06.0,R. Vaughn misses 3-pt shot from 25 ft,,11-9,,
5:05.0,,,11-9,,Defensive rebound by D. Waiters
4:59.0,,,11-11,2,D. Waiters makes 2-pt shot from 1 ft
4:40.0,M. Brogdon misses 2-pt shot from 17 ft,,11-11,,
4:39.0,,,11-11,,Defensive rebound by W. Ellington
4:30.0,,,11-13,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson)
4:07.0,Shooting foul by J. Johnson (drawn by M. Beasley),,11-13,,
4:07.0,M. Beasley misses free throw 1 of 2,,11-13,,
4:07.0,Offensive rebound by Team,,11-13,,
4:07.0,M. Beasley makes free throw 2 of 2,1,12-13,,
4:07.0,,,11-13,,O. White enters the game for R. McGruder
3:53.0,,,12-15,2,W. Ellington makes 2-pt shot from 20 ft
3:34.0,G. Antetokounmpo makes 2-pt shot at rim,2,14-15,,
3:10.0,,,14-15,,W. Ellington misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by M. Beasley,,14-15,,
3:01.0,,,14-15,,Shooting block foul by O. White (drawn by G. Antetokounmpo)
3:01.0,G. Antetokounmpo makes free throw 1 of 2,1,15-15,,
3:01.0,G. Antetokounmpo makes free throw 2 of 2,1,16-15,,
2:56.0,,,16-15,,Miami full timeout
2:56.0,Milwaukee full timeout,,16-15,,
2:56.0,M. Dellavedova enters the game for M. Brogdon,,16-15,,
2:52.0,Personal foul by G. Monroe (drawn by D. Waiters),,16-15,,
2:52.0,,,16-15,,D. Waiters misses free throw 1 of 2
2:52.0,,,16-15,,Offensive rebound by Team
2:52.0,,,16-16,1,D. Waiters makes free throw 2 of 2
2:40.0,Turnover by M. Dellavedova (bad pass; steal by O. White),,16-16,,
2:34.0,,,16-18,2,W. Ellington makes 2-pt shot from 17 ft (assist by J. Johnson)
2:12.0,,,16-18,,G. Dragic enters the game for D. Waiters
2:12.0,,,16-18,,W. Reed enters the game for H. Whiteside
2:06.0,M. Beasley makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,18-18,,
1:41.0,,,18-18,,J. Johnson misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by M. Beasley,,18-18,,
1:29.0,G. Monroe misses 2-pt shot from 6 ft,,18-18,,
1:28.0,,,18-18,,Defensive rebound by W. Reed
1:22.0,,,18-18,,Shooting foul by M. Dellavedova (drawn by G. Dragic)
1:22.0,,,18-19,1,G. Dragic makes free throw 1 of 2
1:22.0,,,18-20,1,G. Dragic makes free throw 2 of 2
1:03.0,,,18-20,,Shooting block foul by W. Reed (drawn by G. Monroe)
1:03.0,G. Monroe makes free throw 1 of 2,1,19-20,,
1:03.0,G. Monroe makes free throw 2 of 2,1,20-20,,
0:52.0,,,20-20,,Shooting foul by M. Dellavedova (drawn by G. Dragic)
0:52.0,,,20-21,1,G. Dragic makes free throw 1 of 3
0:52.0,,,20-22,1,G. Dragic makes free throw 2 of 3
0:52.0,,,20-23,1,G. Dragic makes free throw 3 of 3
0:39.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,22-23,,
0:21.0,,,22-25,2,J. Johnson makes 2-pt shot from 13 ft
0:03.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,22-25,,
0:02.0,,,22-25,,Defensive rebound by W. Ellington
0:00.0,,,22-25,,J. Johnson misses 3-pt shot from 45 ft
0:00.0,,,22-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,22-25,,W. Ellington misses 3-pt shot from 27 ft
11:36.0,Defensive rebound by T. Snell,,22-25,,
11:12.0,J. Parker misses 3-pt shot from 25 ft,,22-25,,
11:11.0,,,22-25,,Defensive rebound by W. Reed
11:03.0,,,22-25,,Turnover by G. Dragic (lost ball)
10:52.0,M. Brogdon misses 2-pt shot from 8 ft,,22-25,,
10:50.0,,,22-25,,Defensive rebound by W. Reed
10:41.0,Personal foul by R. Vaughn (drawn by O. White),,22-25,,
10:31.0,,,22-25,,O. White misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by M. Brogdon,,22-25,,
10:15.0,,,22-25,,Violation by J. Johnson (kicked ball)
10:09.0,G. Monroe misses 2-pt shot from 5 ft,,22-25,,
10:08.0,,,22-25,,Defensive rebound by O. White
10:01.0,,,22-25,,Turnover by O. White (lost ball; steal by R. Vaughn)
9:47.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,24-25,,
9:37.0,Personal foul by R. Vaughn (drawn by W. Ellington),,24-25,,
9:28.0,,,24-27,2,W. Ellington makes 2-pt shot from 19 ft (assist by G. Dragic)
9:15.0,M. Brogdon misses 3-pt shot from 25 ft,,24-27,,
9:14.0,,,24-27,,Defensive rebound by W. Ellington
9:07.0,,,24-27,,Offensive foul by J. Johnson
9:07.0,,,24-27,,Turnover by J. Johnson (offensive foul)
9:07.0,J. Henson enters the game for G. Monroe,,24-27,,
9:07.0,,,24-27,,L. Babbitt enters the game for J. Johnson
8:56.0,,,24-27,,Violation by W. Reed (def goaltending)
8:56.0,J. Parker makes 2-pt shot from 5 ft,2,26-27,,
8:42.0,,,26-27,,W. Reed misses 2-pt shot from 8 ft
8:41.0,Defensive rebound by J. Henson,,26-27,,
8:26.0,M. Brogdon misses 2-pt shot from 2 ft,,26-27,,
8:25.0,,,26-27,,Defensive rebound by L. Babbitt
8:19.0,,,26-29,2,G. Dragic makes 2-pt shot from 6 ft
8:04.0,J. Parker makes 2-pt shot from 20 ft (assist by M. Brogdon),2,28-29,,
7:52.0,,,28-32,3,G. Dragic makes 3-pt shot from 25 ft
7:37.0,J. Parker misses 2-pt shot from 19 ft,,28-32,,
7:36.0,,,28-32,,Defensive rebound by L. Babbitt
7:29.0,,,28-34,2,G. Dragic makes 2-pt shot from 2 ft
7:29.0,Milwaukee full timeout,,28-34,,
7:29.0,M. Dellavedova enters the game for R. Vaughn,,28-34,,
7:08.0,M. Dellavedova makes 2-pt shot from 9 ft,2,30-34,,
6:49.0,,,30-37,3,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic)
6:31.0,J. Parker misses 2-pt shot from 12 ft,,30-37,,
6:30.0,,,30-37,,Defensive rebound by W. Reed
6:20.0,,,30-37,,O. White misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by J. Henson,,30-37,,
6:18.0,Turnover by J. Henson (bad pass),,30-37,,
6:18.0,,,30-37,,H. Whiteside enters the game for W. Reed
6:01.0,Personal foul by J. Henson (drawn by H. Whiteside),,30-37,,
6:01.0,G. Antetokounmpo enters the game for M. Brogdon,,30-37,,
6:01.0,,,30-37,,J. Johnson enters the game for O. White
5:45.0,,,30-37,,W. Ellington misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by M. Dellavedova,,30-37,,
5:38.0,J. Parker makes 2-pt shot from 8 ft (assist by M. Dellavedova),2,32-37,,
5:23.0,Official timeout,,32-37,,
5:23.0,,,32-37,,D. Waiters enters the game for G. Dragic
5:20.0,,,32-39,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
5:03.0,M. Dellavedova makes 2-pt shot from 7 ft,2,34-39,,
4:45.0,,,34-39,,D. Waiters misses 2-pt shot from 3 ft
4:44.0,,,34-39,,Offensive rebound by H. Whiteside
4:43.0,,,34-41,2,H. Whiteside makes 2-pt shot at rim
4:14.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,34-41,,
4:13.0,,,34-41,,Defensive rebound by H. Whiteside
4:08.0,,,34-41,,J. Johnson misses 2-pt shot from 2 ft
4:07.0,Defensive rebound by Team,,34-41,,
3:52.0,J. Parker misses 2-pt shot from 15 ft,,34-41,,
3:51.0,Offensive rebound by J. Henson,,34-41,,
3:46.0,J. Henson misses 2-pt shot from 4 ft (block by H. Whiteside),,34-41,,
3:45.0,,,34-41,,Defensive rebound by H. Whiteside
3:31.0,,,34-41,,J. Johnson misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by T. Snell,,34-41,,
3:17.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,34-41,,
3:16.0,Offensive rebound by G. Antetokounmpo,,34-41,,
3:14.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,34-41,,
3:13.0,,,34-41,,Defensive rebound by H. Whiteside
3:08.0,,,34-43,2,D. Waiters makes 2-pt shot from 1 ft
2:41.0,Turnover by T. Snell (lost ball; steal by L. Babbitt),,34-43,,
2:28.0,,,34-43,,Miami full timeout
2:21.0,,,34-45,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
1:57.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Parker),3,37-45,,
1:30.0,,,37-48,3,D. Waiters makes 3-pt shot from 24 ft (assist by J. Johnson)
1:12.0,Shooting foul by L. Babbitt (drawn by J. Henson),,37-48,,
1:12.0,J. Henson makes free throw 1 of 2,1,38-48,,
1:12.0,J. Henson makes free throw 2 of 2,1,39-48,,
1:12.0,,,38-48,,G. Dragic enters the game for W. Ellington
1:12.0,,,38-48,,O. White enters the game for J. Johnson
1:01.0,,,39-50,2,D. Waiters makes 2-pt shot from 2 ft
0:53.0,J. Parker misses 2-pt shot from 7 ft,,39-50,,
0:52.0,Offensive rebound by J. Henson,,39-50,,
0:51.0,J. Henson makes 2-pt shot at rim,2,41-50,,
0:37.0,,,41-50,,D. Waiters misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by G. Antetokounmpo,,41-50,,
0:27.0,Turnover by J. Henson (bad pass),,41-50,,
0:05.0,,,41-53,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
0:00.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Parker),2,43-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,43-53,,Shooting foul by J. Henson (drawn by H. Whiteside)
11:47.0,,,43-53,,H. Whiteside misses free throw 1 of 2
11:47.0,,,43-53,,Offensive rebound by Team
11:47.0,,,43-54,1,H. Whiteside makes free throw 2 of 2
11:31.0,,,43-54,,Personal foul by R. McGruder (drawn by M. Dellavedova)
11:18.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,46-54,,
10:57.0,,,46-56,2,G. Dragic makes 2-pt shot from 10 ft
10:37.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,48-56,,
10:20.0,,,48-59,3,L. Babbitt makes 3-pt shot from 24 ft (assist by R. McGruder)
10:01.0,,,48-59,,Personal foul by R. McGruder (drawn by G. Antetokounmpo)
9:51.0,T. Snell makes 2-pt shot from 10 ft,2,50-59,,
9:35.0,,,50-59,,Turnover by G. Dragic (bad pass)
9:17.0,Turnover by G. Antetokounmpo (lost ball; steal by L. Babbitt),,50-59,,
9:12.0,,,50-59,,Shooting foul by T. Snell (drawn by D. Waiters)
9:12.0,,,50-59,,D. Waiters misses free throw 1 of 2
9:12.0,,,50-59,,Offensive rebound by Team
9:12.0,,,50-60,1,D. Waiters makes free throw 2 of 2
9:00.0,J. Henson makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,52-60,,
8:47.0,,,52-62,2,L. Babbitt makes 2-pt shot from 19 ft (assist by G. Dragic)
8:32.0,J. Henson misses 2-pt shot from 7 ft,,52-62,,
8:30.0,,,52-62,,Defensive rebound by H. Whiteside
8:22.0,,,52-62,,Turnover by D. Waiters (bad pass; steal by G. Antetokounmpo)
8:21.0,,,52-62,,Personal foul by L. Babbitt (drawn by G. Antetokounmpo)
8:14.0,Shooting foul by L. Babbitt (drawn by G. Antetokounmpo),,52-62,,
8:14.0,G. Antetokounmpo misses free throw 1 of 2,,52-62,,
8:14.0,Offensive rebound by Team,,52-62,,
8:14.0,G. Antetokounmpo makes free throw 2 of 2,1,53-62,,
8:14.0,,,52-62,,J. Johnson enters the game for L. Babbitt
8:06.0,Personal foul by T. Maker (drawn by G. Dragic),,53-62,,
8:06.0,J. Parker enters the game for T. Maker,,53-62,,
7:56.0,,,53-62,,D. Waiters misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by J. Parker,,53-62,,
7:32.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by J. Parker),3,56-62,,
7:20.0,,,56-62,,G. Dragic misses 2-pt shot from 3 ft (block by J. Henson)
7:19.0,,,56-62,,Offensive rebound by Team
7:19.0,M. Brogdon enters the game for M. Dellavedova,,56-62,,
7:08.0,,,56-65,3,R. McGruder makes 3-pt shot from 24 ft (assist by J. Johnson)
6:51.0,J. Parker misses 2-pt shot from 15 ft,,56-65,,
6:50.0,,,56-65,,Defensive rebound by H. Whiteside
6:35.0,,,56-68,3,G. Dragic makes 3-pt shot from 26 ft (assist by R. McGruder)
6:35.0,Milwaukee full timeout,,56-68,,
6:25.0,,,56-68,,Personal foul by J. Johnson (drawn by J. Henson)
6:25.0,J. Henson misses free throw 1 of 2,,56-68,,
6:25.0,Offensive rebound by Team,,56-68,,
6:25.0,J. Henson makes free throw 2 of 2,1,57-68,,
6:12.0,,,57-70,2,J. Johnson makes 2-pt shot from 2 ft (assist by R. McGruder)
6:12.0,,,57-70,,Shooting foul by J. Parker (drawn by J. Johnson)
6:12.0,,,57-71,1,J. Johnson makes free throw 1 of 1
6:12.0,,,57-70,,W. Ellington enters the game for G. Dragic
6:01.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,59-71,,
5:35.0,,,59-71,,J. Johnson misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by J. Henson,,59-71,,
5:25.0,Shooting foul by H. Whiteside (drawn by T. Snell),,59-71,,
5:25.0,T. Snell makes free throw 1 of 2,1,60-71,,
5:25.0,T. Snell makes free throw 2 of 2,1,61-71,,
5:06.0,,,61-73,2,R. McGruder makes 2-pt shot at rim (assist by D. Waiters)
4:51.0,M. Brogdon misses 2-pt shot from 10 ft,,61-73,,
4:50.0,,,61-73,,Defensive rebound by H. Whiteside
4:40.0,,,61-73,,Turnover by D. Waiters (bad pass)
4:40.0,M. Dellavedova enters the game for T. Snell,,61-73,,
4:20.0,J. Henson makes 2-pt shot from 10 ft (assist by J. Parker),2,63-73,,
4:20.0,,,63-73,,Miami full timeout
4:20.0,G. Monroe enters the game for J. Henson,,63-73,,
4:20.0,,,63-73,,W. Reed enters the game for H. Whiteside
4:09.0,Personal foul by G. Antetokounmpo (drawn by R. McGruder),,63-73,,
4:09.0,,,63-73,,R. McGruder misses free throw 1 of 2
4:09.0,,,63-73,,Offensive rebound by Team
4:09.0,,,63-74,1,R. McGruder makes free throw 2 of 2
3:49.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,66-74,,
3:31.0,,,66-74,,Turnover by W. Reed (bad pass; steal by M. Brogdon)
3:24.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,66-74,,
3:23.0,,,66-74,,Defensive rebound by W. Ellington
3:15.0,,,66-76,2,D. Waiters makes 2-pt shot from 2 ft
2:59.0,G. Monroe misses 2-pt shot from 2 ft (block by W. Reed),,66-76,,
2:58.0,Offensive rebound by G. Monroe,,66-76,,
2:57.0,G. Monroe misses 2-pt shot from 9 ft,,66-76,,
2:52.0,,,66-76,,Defensive rebound by D. Waiters
2:45.0,,,66-76,,R. McGruder misses 2-pt shot from 2 ft
2:44.0,,,66-76,,Offensive rebound by W. Reed
2:43.0,,,66-78,2,W. Reed makes 2-pt shot from 1 ft
2:26.0,Turnover by J. Parker (lost ball; steal by D. Waiters),,66-78,,
2:20.0,,,66-78,,J. Johnson misses 2-pt shot from 2 ft
2:19.0,Defensive rebound by M. Brogdon,,66-78,,
2:04.0,J. Parker misses 3-pt shot from 24 ft,,66-78,,
2:03.0,,,66-78,,Defensive rebound by J. Johnson
1:48.0,,,66-78,,W. Ellington misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by J. Parker,,66-78,,
1:33.0,M. Dellavedova misses 3-pt shot from 25 ft,,66-78,,
1:32.0,Offensive rebound by Team,,66-78,,
1:32.0,,,66-78,,Loose ball foul by W. Reed (drawn by G. Monroe)
1:32.0,G. Monroe makes free throw 1 of 2,1,67-78,,
1:32.0,G. Monroe misses free throw 2 of 2,,67-78,,
1:32.0,M. Beasley enters the game for G. Antetokounmpo,,67-78,,
1:32.0,,,67-78,,O. White enters the game for R. McGruder
1:31.0,Offensive rebound by J. Parker,,67-78,,
1:27.0,Turnover by J. Parker (lost ball; steal by J. Johnson),,67-78,,
1:07.0,,,67-78,,J. Johnson misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Parker,,67-78,,
0:58.0,J. Parker misses 2-pt shot from 1 ft,,67-78,,
0:58.0,Offensive rebound by G. Monroe,,67-78,,
0:57.0,G. Monroe makes 2-pt shot from 1 ft,2,69-78,,
0:45.0,,,69-80,2,D. Waiters makes 2-pt shot from 9 ft
0:37.0,,,69-80,,Personal foul by D. Waiters (drawn by M. Brogdon)
0:37.0,M. Brogdon makes free throw 1 of 2,1,70-80,,
0:37.0,M. Brogdon makes free throw 2 of 2,1,71-80,,
0:17.0,,,71-80,,D. Waiters misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by G. Monroe,,71-80,,
0:11.0,Turnover by G. Monroe (lost ball; steal by W. Ellington),,71-80,,
0:03.0,,,71-82,2,D. Waiters makes 2-pt shot from 2 ft
0:00.0,J. Parker misses 3-pt shot from 32 ft,,71-82,,
0:00.0,Offensive rebound by Team,,71-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Beasley misses 2-pt shot from 15 ft,,71-82,,
11:42.0,,,71-82,,Defensive rebound by W. Ellington
11:27.0,,,71-82,,Turnover by J. Johnson (bad pass; steal by J. Parker)
11:05.0,M. Beasley makes 2-pt shot from 10 ft,2,73-82,,
10:36.0,,,73-85,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
10:23.0,Turnover by M. Beasley (bad pass; steal by G. Dragic),,73-85,,
10:05.0,,,73-87,2,G. Dragic makes 2-pt shot from 9 ft
9:50.0,M. Brogdon misses 2-pt shot from 2 ft,,73-87,,
9:49.0,Offensive rebound by G. Monroe,,73-87,,
9:48.0,G. Monroe makes 2-pt shot from 2 ft,2,75-87,,
9:30.0,,,75-87,,J. Johnson misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by G. Monroe,,75-87,,
9:27.0,,,75-87,,Personal foul by G. Dragic (drawn by M. Brogdon)
9:27.0,G. Antetokounmpo enters the game for M. Beasley,,75-87,,
9:23.0,J. Parker makes 2-pt shot at rim,2,77-87,,
9:00.0,,,77-87,,Shooting foul by M. Brogdon (drawn by G. Dragic)
9:00.0,,,77-88,1,G. Dragic makes free throw 1 of 2
9:00.0,,,77-88,,G. Dragic misses free throw 2 of 2
8:59.0,Defensive rebound by G. Antetokounmpo,,77-88,,
8:39.0,J. Parker misses 2-pt shot from 10 ft,,77-88,,
8:38.0,,,77-88,,Defensive rebound by O. White
8:29.0,,,77-88,,W. Ellington misses 3-pt shot from 25 ft
8:28.0,,,77-88,,Offensive rebound by J. Johnson
8:27.0,,,77-90,2,J. Johnson makes 2-pt shot at rim
8:27.0,Milwaukee full timeout,,77-90,,
8:27.0,T. Maker enters the game for G. Monroe,,77-90,,
8:19.0,M. Dellavedova misses 2-pt shot from 9 ft,,77-90,,
8:18.0,Offensive rebound by G. Antetokounmpo,,77-90,,
8:17.0,G. Antetokounmpo misses 2-pt shot at rim,,77-90,,
8:16.0,Offensive rebound by G. Antetokounmpo,,77-90,,
8:15.0,,,77-90,,Personal foul by O. White (drawn by G. Antetokounmpo)
8:15.0,G. Antetokounmpo makes free throw 1 of 2,1,78-90,,
8:15.0,G. Antetokounmpo makes free throw 2 of 2,1,79-90,,
7:55.0,,,79-90,,J. Johnson misses 2-pt shot from 16 ft
7:55.0,Defensive rebound by J. Parker,,79-90,,
7:49.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,79-90,,
7:48.0,,,79-90,,Defensive rebound by O. White
7:22.0,,,79-92,2,G. Dragic makes 2-pt shot from 12 ft
7:06.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,82-92,,
6:42.0,,,82-92,,W. Ellington misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by G. Antetokounmpo,,82-92,,
6:35.0,Shooting foul by W. Reed (drawn by T. Maker),,82-92,,
6:35.0,T. Maker makes free throw 1 of 2,1,83-92,,
6:35.0,T. Maker misses free throw 2 of 2,,83-92,,
6:35.0,,,83-92,,Defensive rebound by Team
6:33.0,,,83-92,,Miami full timeout
6:33.0,,,83-92,,H. Whiteside enters the game for W. Reed
6:14.0,,,83-92,,G. Dragic misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by G. Antetokounmpo,,83-92,,
6:02.0,T. Maker misses 3-pt shot from 25 ft,,83-92,,
6:01.0,,,83-92,,Defensive rebound by J. Johnson
5:57.0,,,83-92,,Shooting foul by T. Maker (drawn by H. Whiteside)
5:57.0,,,83-92,,H. Whiteside misses free throw 1 of 2
5:57.0,,,83-92,,Offensive rebound by Team
5:57.0,,,83-93,1,H. Whiteside makes free throw 2 of 2
5:57.0,,,83-92,,D. Waiters enters the game for O. White
5:48.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,85-93,,
5:26.0,,,85-95,2,H. Whiteside makes 2-pt shot from 5 ft
5:26.0,,,85-95,,Technical foul by J. Johnson
5:26.0,M. Dellavedova makes technical free throw,1,86-95,,
5:16.0,T. Maker misses 2-pt shot from 2 ft,,86-95,,
5:15.0,,,86-95,,Defensive rebound by H. Whiteside
5:05.0,,,86-98,3,W. Ellington makes 3-pt shot from 25 ft (assist by D. Waiters)
4:51.0,,,86-98,,Personal foul by J. Johnson (drawn by J. Parker)
4:46.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,86-98,,
4:45.0,,,86-98,,Defensive rebound by H. Whiteside
4:33.0,,,86-98,,D. Waiters misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by G. Antetokounmpo,,86-98,,
4:22.0,J. Parker makes 2-pt shot from 5 ft,2,88-98,,
4:08.0,,,88-98,,Turnover by G. Dragic (lost ball; steal by T. Maker)
4:07.0,,,88-98,,Personal foul by G. Dragic (drawn by M. Dellavedova)
4:07.0,M. Dellavedova makes free throw 1 of 2,1,89-98,,
4:07.0,M. Dellavedova makes free throw 2 of 2,1,90-98,,
3:47.0,,,90-100,2,H. Whiteside makes 2-pt shot from 4 ft
3:31.0,,,90-100,,Shooting block foul by W. Ellington (drawn by G. Antetokounmpo)
3:31.0,G. Antetokounmpo makes free throw 1 of 2,1,91-100,,
3:31.0,G. Antetokounmpo misses free throw 2 of 2,,91-100,,
3:30.0,,,91-100,,Defensive rebound by H. Whiteside
3:11.0,,,91-100,,H. Whiteside misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by J. Parker,,91-100,,
3:00.0,M. Brogdon misses 3-pt shot from 25 ft,,91-100,,
2:59.0,,,91-100,,Defensive rebound by D. Waiters
2:33.0,,,91-103,3,D. Waiters makes 3-pt shot from 24 ft
2:33.0,Milwaukee full timeout,,91-103,,
2:33.0,Official timeout,,91-103,,
2:18.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,91-103,,
2:17.0,Offensive rebound by T. Maker,,91-103,,
2:11.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,93-103,,
1:51.0,,,93-103,,Turnover by D. Waiters (lost ball; steal by G. Antetokounmpo)
