time,Oklahoma City,pts.away,score,pts.home,Cleveland
11:18.0,,,24-23,,K. Felder misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by J. Lauvergne,,24-23,,
11:11.0,V. Oladipo misses 2-pt shot from 21 ft,,24-23,,
11:11.0,,,24-23,,Defensive rebound by L. James
11:07.0,,,24-23,,Shooting foul by J. Grant (drawn by L. James)
11:07.0,,,24-24,1,L. James makes free throw 1 of 2
11:07.0,,,24-24,,L. James misses free throw 2 of 2
11:06.0,Defensive rebound by J. Lauvergne,,24-24,,
10:51.0,C. Payne misses 3-pt shot from 28 ft,,24-24,,
10:50.0,,,24-24,,Defensive rebound by Team
10:34.0,,,24-27,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
10:19.0,C. Payne misses 2-pt shot from 18 ft,,24-27,,
10:19.0,,,24-27,,Defensive rebound by C. Frye
10:09.0,,,24-27,,C. Frye misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by V. Oladipo,,24-27,,
10:09.0,Oklahoma City full timeout,,24-27,,
10:01.0,Turnover by K. Singler (step out of bounds),,24-27,,
9:39.0,,,24-29,2,L. James makes 2-pt shot from 2 ft
9:26.0,,,24-29,,Def 3 sec tech foul by C. Frye
9:26.0,V. Oladipo makes technical free throw,1,25-29,,
9:20.0,C. Payne makes 2-pt shot from 13 ft,2,27-29,,
8:58.0,,,27-31,2,C. Frye makes 2-pt shot from 13 ft
8:57.0,,,27-31,,Violation by Team (jump ball)
8:42.0,J. Grant misses 2-pt shot from 16 ft,,27-31,,
8:42.0,,,27-31,,Defensive rebound by R. Jefferson
8:32.0,,,27-31,,L. James misses 2-pt shot at rim
8:30.0,Defensive rebound by V. Oladipo,,27-31,,
8:28.0,,,27-31,,Shooting block foul by R. Jefferson (drawn by V. Oladipo)
8:28.0,V. Oladipo makes free throw 1 of 2,1,28-31,,
8:28.0,V. Oladipo makes free throw 2 of 2,1,29-31,,
8:28.0,R. Westbrook enters the game for C. Payne,,28-31,,
8:28.0,,,28-31,,I. Shumpert enters the game for K. Felder
8:15.0,,,29-33,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
8:03.0,,,29-33,,Shooting block foul by C. Frye (drawn by R. Westbrook)
8:03.0,R. Westbrook misses free throw 1 of 2,,29-33,,
8:03.0,Offensive rebound by Team,,29-33,,
8:03.0,R. Westbrook makes free throw 2 of 2,1,30-33,,
7:50.0,Personal foul by K. Singler (drawn by K. Korver),,30-33,,
7:36.0,,,30-33,,L. James misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by R. Westbrook,,30-33,,
7:22.0,Shooting foul by I. Shumpert (drawn by R. Westbrook),,30-33,,
7:22.0,R. Westbrook misses free throw 1 of 2,,30-33,,
7:22.0,Offensive rebound by Team,,30-33,,
7:22.0,R. Westbrook makes free throw 2 of 2,1,31-33,,
7:22.0,,,30-33,,K. Irving enters the game for R. Jefferson
7:09.0,,,31-35,2,L. James makes 2-pt shot from 2 ft (assist by K. Irving)
6:57.0,J. Lauvergne makes 2-pt shot at rim (assist by V. Oladipo),2,33-35,,
6:31.0,,,33-35,,K. Irving misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by J. Lauvergne,,33-35,,
6:23.0,R. Westbrook misses 3-pt shot from 26 ft,,33-35,,
6:23.0,,,33-35,,Defensive rebound by L. James
6:13.0,,,33-37,2,L. James makes 2-pt shot at rim (assist by C. Frye)
6:04.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook),2,35-37,,
5:45.0,,,35-40,3,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving)
5:30.0,J. Lauvergne makes 2-pt shot from 6 ft (assist by R. Westbrook),2,37-40,,
5:18.0,,,37-40,,K. Irving misses 2-pt shot from 2 ft
5:16.0,Defensive rebound by J. Lauvergne,,37-40,,
5:11.0,R. Westbrook misses 2-pt shot from 1 ft,,37-40,,
5:09.0,,,37-40,,Defensive rebound by I. Shumpert
5:03.0,,,37-40,,K. Korver misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by V. Oladipo,,37-40,,
4:54.0,V. Oladipo misses 2-pt shot from 17 ft,,37-40,,
4:52.0,Offensive rebound by J. Grant,,37-40,,
4:52.0,J. Grant makes 2-pt shot at rim,2,39-40,,
4:52.0,,,39-40,,Cleveland full timeout
4:52.0,D. Sabonis enters the game for K. Singler,,39-40,,
4:52.0,S. Adams enters the game for J. Lauvergne,,39-40,,
4:52.0,A. Roberson enters the game for J. Grant,,39-40,,
4:52.0,,,39-40,,K. Love enters the game for L. James
4:52.0,,,39-40,,R. Jefferson enters the game for C. Frye
4:52.0,,,39-40,,T. Thompson enters the game for K. Korver
4:37.0,,,39-40,,T. Thompson misses 2-pt shot from 7 ft
4:36.0,,,39-40,,Offensive rebound by T. Thompson
4:36.0,,,39-40,,T. Thompson misses 2-pt shot at rim
4:35.0,,,39-40,,Offensive rebound by T. Thompson
4:35.0,,,39-40,,T. Thompson misses 2-pt shot from 1 ft
4:34.0,Defensive rebound by R. Westbrook,,39-40,,
4:17.0,R. Westbrook misses 2-pt shot from 15 ft,,39-40,,
4:17.0,,,39-40,,Defensive rebound by R. Jefferson
4:07.0,,,39-40,,K. Irving misses 2-pt shot from 10 ft
4:06.0,,,39-40,,Offensive rebound by T. Thompson
4:06.0,,,39-40,,T. Thompson misses 2-pt shot from 2 ft
4:05.0,Defensive rebound by S. Adams,,39-40,,
3:59.0,D. Sabonis misses 3-pt shot from 25 ft,,39-40,,
3:56.0,Offensive rebound by R. Westbrook,,39-40,,
3:49.0,R. Westbrook misses 2-pt shot from 2 ft,,39-40,,
3:48.0,Offensive rebound by R. Westbrook,,39-40,,
3:47.0,R. Westbrook makes 2-pt shot from 3 ft,2,41-40,,
3:18.0,,,41-42,2,K. Irving makes 2-pt shot at rim
3:18.0,,,41-42,,Shooting foul by R. Westbrook (drawn by K. Irving)
3:18.0,,,41-43,1,K. Irving makes free throw 1 of 1
3:06.0,V. Oladipo misses 2-pt shot from 1 ft,,41-43,,
3:05.0,,,41-43,,Defensive rebound by K. Love
3:01.0,,,41-43,,Turnover by K. Irving (bad pass; steal by A. Roberson)
2:54.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,43-43,,
2:34.0,,,43-46,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
2:14.0,Turnover by R. Westbrook (bad pass; steal by T. Thompson),,43-46,,
2:07.0,,,43-48,2,R. Jefferson makes 2-pt shot from 2 ft
1:52.0,Turnover by D. Sabonis (bad pass; steal by R. Jefferson),,43-48,,
1:50.0,,,43-48,,Shooting foul by V. Oladipo (drawn by I. Shumpert)
1:50.0,Official timeout,,43-48,,
1:50.0,,,43-48,,I. Shumpert misses free throw 1 of 2
1:50.0,,,43-48,,Offensive rebound by Team
1:50.0,Violation by R. Westbrook (lane),,43-48,,
1:50.0,,,43-49,1,I. Shumpert makes free throw 2 of 2
1:50.0,,,43-48,,L. James enters the game for K. Love
1:36.0,Turnover by S. Adams (offensive foul),,43-49,,
1:36.0,Offensive foul by S. Adams,,43-49,,
1:33.0,J. Grant enters the game for S. Adams,,43-49,,
1:18.0,,,43-51,2,K. Irving makes 2-pt shot from 16 ft
1:04.0,R. Westbrook makes 2-pt shot from 2 ft,2,45-51,,
0:47.0,,,45-51,,L. James misses 2-pt shot from 2 ft (block by J. Grant)
0:46.0,,,45-51,,Offensive rebound by L. James
0:45.0,,,45-53,2,L. James makes 2-pt shot from 1 ft
0:31.0,R. Westbrook misses 3-pt shot from 24 ft,,45-53,,
0:30.0,,,45-53,,Defensive rebound by L. James
0:29.0,,,45-56,3,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James)
0:10.0,Turnover by D. Sabonis (lost ball; steal by K. Irving),,45-56,,
0:08.0,,,45-56,,Shooting foul by J. Grant (drawn by L. James)
0:08.0,,,45-57,1,L. James makes free throw 1 of 2
0:08.0,Oklahoma City full timeout,,45-57,,
0:08.0,,,45-58,1,L. James makes free throw 2 of 2
0:08.0,A. Abrines enters the game for A. Roberson,,45-57,,
0:08.0,,,45-57,,D. Liggins enters the game for I. Shumpert
0:02.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Thompson),,45-58,,
0:02.0,,,45-58,,Defensive rebound by D. Liggins
0:00.0,,,45-58,,Turnover by D. Liggins (traveling)
0:00.0,S. Adams enters the game for J. Grant,,45-58,,
0:00.0,V. Oladipo misses 2-pt shot from 14 ft (block by T. Thompson),,45-58,,
0:00.0,Offensive rebound by Team,,45-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,45-60,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
11:38.0,Turnover by R. Westbrook (bad pass),,45-60,,
11:35.0,Personal foul by R. Westbrook (drawn by L. James),,45-60,,
11:28.0,,,45-63,3,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson)
11:09.0,D. Sabonis misses 2-pt shot from 16 ft,,45-63,,
11:08.0,Offensive rebound by Team,,45-63,,
10:59.0,V. Oladipo misses 2-pt shot from 6 ft,,45-63,,
10:53.0,Offensive rebound by V. Oladipo,,45-63,,
10:50.0,V. Oladipo misses 2-pt shot from 1 ft,,45-63,,
10:47.0,,,45-63,,Defensive rebound by L. James
10:42.0,,,45-63,,L. James misses 2-pt shot from 17 ft
10:42.0,,,45-63,,Offensive rebound by T. Thompson
10:42.0,Personal foul by A. Roberson (drawn by T. Thompson),,45-63,,
10:34.0,,,45-63,,K. Irving misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by Team,,45-63,,
10:07.0,V. Oladipo makes 2-pt shot from 14 ft,2,47-63,,
9:43.0,,,47-63,,L. James misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by S. Adams,,47-63,,
9:32.0,R. Westbrook makes 3-pt shot from 26 ft,3,50-63,,
9:12.0,,,50-63,,Turnover by K. Irving (lost ball; steal by R. Westbrook)
9:06.0,R. Westbrook misses 2-pt shot from 17 ft,,50-63,,
9:04.0,Offensive rebound by R. Westbrook,,50-63,,
9:01.0,V. Oladipo misses 3-pt shot from 25 ft,,50-63,,
9:00.0,,,50-63,,Defensive rebound by T. Thompson
8:47.0,,,50-63,,L. James misses 2-pt shot from 17 ft
8:47.0,Defensive rebound by S. Adams,,50-63,,
8:46.0,Oklahoma City full timeout,,50-63,,
8:30.0,D. Sabonis makes 2-pt shot from 5 ft,2,52-63,,
8:12.0,,,52-63,,I. Shumpert misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by S. Adams,,52-63,,
8:09.0,Shooting foul by J. Jones (drawn by V. Oladipo),,52-63,,
8:09.0,V. Oladipo misses free throw 1 of 2,,52-63,,
8:09.0,Offensive rebound by Team,,52-63,,
8:09.0,V. Oladipo makes free throw 2 of 2,1,53-63,,
7:54.0,,,53-63,,K. Irving misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by D. Sabonis,,53-63,,
7:37.0,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook),2,55-63,,
7:24.0,,,55-63,,I. Shumpert misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by A. Roberson,,55-63,,
7:23.0,,,55-63,,Personal foul by K. Irving (drawn by R. Westbrook)
7:14.0,R. Westbrook misses 2-pt shot from 14 ft,,55-63,,
7:13.0,,,55-63,,Defensive rebound by L. James
7:04.0,,,55-65,2,L. James makes 2-pt shot from 12 ft
6:41.0,R. Westbrook misses 2-pt shot from 2 ft,,55-65,,
6:39.0,Offensive rebound by R. Westbrook,,55-65,,
6:37.0,R. Westbrook misses 2-pt shot at rim,,55-65,,
6:35.0,,,55-65,,Defensive rebound by L. James
6:19.0,,,55-65,,J. Jones misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by V. Oladipo,,55-65,,
6:14.0,Turnover by V. Oladipo (bad pass),,55-65,,
6:02.0,,,55-67,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving)
6:02.0,,,55-67,,Shooting foul by R. Westbrook (drawn by T. Thompson)
6:02.0,,,55-68,1,T. Thompson makes free throw 1 of 1
6:02.0,,,55-67,,R. Jefferson enters the game for L. James
6:02.0,A. Abrines enters the game for V. Oladipo,,55-67,,
5:46.0,Turnover by R. Westbrook (bad pass; steal by T. Thompson),,55-68,,
5:41.0,,,55-70,2,K. Irving makes 2-pt shot at rim
5:27.0,R. Westbrook makes 2-pt shot from 13 ft,2,57-70,,
5:07.0,,,57-72,2,K. Irving makes 2-pt shot from 18 ft
4:56.0,R. Westbrook misses 2-pt shot from 3 ft (block by T. Thompson),,57-72,,
4:55.0,Offensive rebound by R. Westbrook,,57-72,,
4:52.0,R. Westbrook misses 2-pt shot from 1 ft,,57-72,,
4:51.0,,,57-72,,Defensive rebound by K. Irving
4:44.0,,,57-74,2,K. Irving makes 2-pt shot from 2 ft
4:20.0,A. Roberson makes 2-pt shot at rim (assist by S. Adams),2,59-74,,
3:54.0,,,59-74,,K. Irving misses 2-pt shot from 16 ft
3:53.0,Defensive rebound by S. Adams,,59-74,,
3:47.0,A. Abrines misses 3-pt shot from 24 ft,,59-74,,
3:46.0,,,59-74,,Defensive rebound by T. Thompson
3:28.0,,,59-76,2,J. Jones makes 2-pt shot from 1 ft (assist by K. Irving)
3:16.0,A. Roberson misses 2-pt shot at rim,,59-76,,
3:16.0,Offensive rebound by A. Roberson,,59-76,,
3:16.0,,,59-76,,Personal foul by R. Jefferson (drawn by A. Roberson)
3:16.0,K. Singler enters the game for D. Sabonis,,59-76,,
3:16.0,J. Lauvergne enters the game for A. Abrines,,59-76,,
3:16.0,,,59-76,,L. James enters the game for K. Irving
3:16.0,,,59-76,,K. Korver enters the game for J. Jones
3:08.0,R. Westbrook misses 2-pt shot from 17 ft,,59-76,,
3:07.0,,,59-76,,Defensive rebound by L. James
2:55.0,,,59-78,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
2:36.0,,,59-78,,Personal foul by L. James (drawn by R. Westbrook)
2:36.0,,,59-78,,Cleveland full timeout
2:36.0,,,59-78,,Personal foul by R. Jefferson (drawn by J. Lauvergne)
2:36.0,J. Lauvergne misses free throw 1 of 2,,59-78,,
2:36.0,Offensive rebound by Team,,59-78,,
2:36.0,J. Lauvergne makes free throw 2 of 2,1,60-78,,
2:36.0,C. Payne enters the game for R. Westbrook,,59-78,,
2:36.0,,,59-78,,K. Felder enters the game for I. Shumpert
2:36.0,V. Oladipo enters the game for A. Roberson,,59-78,,
2:18.0,,,60-78,,K. Korver misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by C. Payne,,60-78,,
2:10.0,K. Singler misses 2-pt shot from 16 ft,,60-78,,
2:08.0,,,60-78,,Defensive rebound by L. James
2:03.0,,,60-78,,K. Korver misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by K. Singler,,60-78,,
1:54.0,Turnover by J. Lauvergne (3 sec),,60-78,,
1:54.0,,,60-78,,C. Frye enters the game for T. Thompson
1:39.0,,,60-78,,Shooting foul by V. Oladipo (drawn by L. James)
1:39.0,,,60-78,,L. James misses free throw 1 of 2
1:39.0,,,60-78,,Offensive rebound by Team
1:39.0,,,60-79,1,L. James makes free throw 2 of 2
1:39.0,J. Grant enters the game for S. Adams,,60-78,,
1:21.0,K. Singler misses 3-pt shot from 25 ft,,60-79,,
1:21.0,Offensive rebound by Team,,60-79,,
1:15.0,J. Grant makes 3-pt shot from 23 ft,3,63-79,,
0:59.0,,,63-79,,R. Jefferson misses 3-pt shot from 23 ft
0:59.0,Defensive rebound by C. Payne,,63-79,,
0:53.0,C. Payne misses 2-pt shot from 9 ft,,63-79,,
0:52.0,,,63-79,,Defensive rebound by L. James
0:45.0,,,63-79,,Shooting foul by J. Grant (drawn by L. James)
0:45.0,,,63-79,,L. James misses free throw 1 of 2
0:45.0,,,63-79,,Offensive rebound by Team
0:45.0,,,63-80,1,L. James makes free throw 2 of 2
0:32.0,K. Singler misses 2-pt shot from 2 ft,,63-80,,
0:30.0,,,63-80,,Defensive rebound by K. Korver
0:24.0,,,63-80,,Turnover by K. Felder (lost ball; steal by C. Payne)
0:02.0,J. Lauvergne makes 2-pt shot at rim (assist by C. Payne),2,65-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Lauvergne makes 2-pt shot from 6 ft,2,67-80,,
11:30.0,,,67-80,,Turnover by L. James (bad pass)
11:17.0,J. Grant misses 2-pt shot from 19 ft,,67-80,,
11:17.0,,,67-80,,Defensive rebound by C. Frye
10:58.0,Personal foul by C. Payne (drawn by L. James),,67-80,,
10:43.0,,,67-82,2,L. James makes 2-pt shot from 3 ft
10:30.0,J. Lauvergne misses 2-pt shot from 6 ft,,67-82,,
10:29.0,,,67-82,,Defensive rebound by C. Frye
10:24.0,,,67-82,,Offensive charge foul by K. Felder
10:24.0,,,67-82,,Turnover by K. Felder (offensive foul)
10:07.0,C. Payne misses 2-pt shot from 5 ft (block by K. Felder),,67-82,,
10:06.0,,,67-82,,Defensive rebound by C. Frye
10:03.0,,,67-82,,K. Korver misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by C. Payne,,67-82,,
10:01.0,Oklahoma City full timeout,,67-82,,
9:44.0,V. Oladipo makes 3-pt shot from 26 ft (assist by C. Payne),3,70-82,,
9:24.0,,,70-82,,K. Korver misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by J. Grant,,70-82,,
9:09.0,K. Singler makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,72-82,,
8:48.0,,,72-82,,C. Frye misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by V. Oladipo,,72-82,,
8:41.0,C. Payne makes 3-pt shot from 25 ft (assist by V. Oladipo),3,75-82,,
8:40.0,,,75-82,,Cleveland full timeout
8:40.0,R. Westbrook enters the game for V. Oladipo,,75-82,,
8:40.0,,,75-82,,K. Irving enters the game for C. Frye
8:40.0,,,75-82,,T. Thompson enters the game for K. Korver
8:40.0,,,75-82,,I. Shumpert enters the game for K. Felder
8:26.0,,,75-82,,L. James misses 2-pt shot from 16 ft
8:26.0,Defensive rebound by C. Payne,,75-82,,
8:08.0,R. Westbrook misses 3-pt shot from 26 ft,,75-82,,
8:08.0,,,75-82,,Defensive rebound by L. James
7:59.0,,,75-84,2,K. Irving makes 2-pt shot from 13 ft
7:44.0,C. Payne misses 2-pt shot from 19 ft,,75-84,,
7:44.0,Offensive rebound by K. Singler,,75-84,,
7:35.0,C. Payne misses 2-pt shot from 1 ft,,75-84,,
7:33.0,,,75-84,,Defensive rebound by T. Thompson
7:28.0,,,75-84,,T. Thompson misses 2-pt shot from 2 ft (block by R. Westbrook)
7:26.0,Defensive rebound by R. Westbrook,,75-84,,
7:16.0,K. Singler misses 3-pt shot from 25 ft,,75-84,,
7:16.0,,,75-84,,Defensive rebound by L. James
7:13.0,S. Adams enters the game for J. Lauvergne,,75-84,,
7:12.0,,,75-84,,Turnover by I. Shumpert (bad pass; steal by J. Grant)
7:12.0,,,75-84,,Personal foul by K. Irving (drawn by J. Grant)
6:59.0,Turnover by S. Adams (lost ball; steal by T. Thompson),,75-84,,
6:52.0,,,75-86,2,R. Jefferson makes 2-pt shot at rim (assist by I. Shumpert)
6:38.0,S. Adams misses 2-pt shot from 1 ft (block by T. Thompson),,75-86,,
