time,Atlanta,pts.away,score,pts.home,Portland
7:58.0,P. Millsap makes 3-pt shot from 23 ft (assist by K. Bazemore),3,7-5,,
7:42.0,Personal foul by D. Schroder (drawn by D. Lillard),,7-5,,
7:38.0,,,7-5,,D. Lillard misses 3-pt shot from 26 ft
7:36.0,,,7-5,,Offensive rebound by M. Leonard
7:30.0,,,7-8,3,M. Harkless makes 3-pt shot from 25 ft (assist by M. Leonard)
7:22.0,D. Schroder misses 2-pt shot from 16 ft,,7-8,,
7:21.0,,,7-8,,Defensive rebound by C. McCollum
7:15.0,,,7-10,2,C. McCollum makes 2-pt shot from 5 ft
7:03.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore),2,9-10,,
6:51.0,,,9-10,,M. Harkless misses 2-pt shot from 2 ft (block by D. Howard)
6:51.0,Defensive rebound by D. Schroder,,9-10,,
6:47.0,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Schroder),2,11-10,,
6:47.0,Shooting foul by M. Leonard (drawn by T. Hardaway),,11-10,,
6:47.0,T. Hardaway makes free throw 1 of 1,1,12-10,,
6:35.0,,,12-13,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
6:21.0,Shooting foul by M. Harkless (drawn by T. Hardaway),,12-13,,
6:21.0,T. Hardaway makes free throw 1 of 2,1,13-13,,
6:21.0,T. Hardaway makes free throw 2 of 2,1,14-13,,
6:21.0,M. Dunleavy enters the game for K. Bazemore,,13-13,,
6:11.0,,,14-13,,Offensive foul by N. Vonleh
6:11.0,,,14-13,,Turnover by N. Vonleh (offensive foul)
5:59.0,T. Hardaway misses 2-pt shot from 4 ft,,14-13,,
5:59.0,,,14-13,,Defensive rebound by N. Vonleh
5:50.0,,,14-13,,Shooting foul by P. Millsap (drawn by N. Vonleh)
5:50.0,,,14-13,,Portland full timeout
5:50.0,,,14-14,1,N. Vonleh makes free throw 1 of 2
5:50.0,,,14-14,,N. Vonleh misses free throw 2 of 2
5:50.0,Defensive rebound by M. Dunleavy,,14-14,,
5:50.0,,,14-13,,A. Crabbe enters the game for C. McCollum
5:35.0,Turnover by D. Schroder (lost ball; steal by D. Lillard),,14-14,,
5:29.0,,,14-14,,N. Vonleh misses 2-pt shot from 1 ft
5:28.0,,,14-14,,Offensive rebound by Team
5:14.0,,,14-14,,A. Crabbe misses 3-pt shot from 25 ft
5:13.0,,,14-14,,Offensive rebound by M. Harkless
5:08.0,,,14-16,2,M. Harkless makes 2-pt shot from 3 ft
4:46.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Millsap),3,17-16,,
4:27.0,,,17-18,2,D. Lillard makes 2-pt shot from 20 ft (assist by A. Crabbe)
4:05.0,Shooting foul by N. Vonleh (drawn by P. Millsap),,17-18,,
4:05.0,P. Millsap makes free throw 1 of 2,1,18-18,,
4:05.0,P. Millsap makes free throw 2 of 2,1,19-18,,
4:05.0,,,18-18,,P. Connaughton enters the game for M. Harkless
4:05.0,,,18-18,,E. Davis enters the game for M. Leonard
4:05.0,M. Delaney enters the game for T. Hardaway,,18-18,,
4:05.0,D. Bembry enters the game for D. Howard,,18-18,,
4:05.0,M. Muscala enters the game for D. Schroder,,18-18,,
3:49.0,,,19-18,,D. Lillard misses 2-pt shot from 2 ft (block by P. Millsap)
3:48.0,Defensive rebound by P. Millsap,,19-18,,
3:44.0,Shooting foul by P. Connaughton (drawn by M. Delaney),,19-18,,
3:44.0,M. Delaney makes free throw 1 of 2,1,20-18,,
3:44.0,M. Delaney makes free throw 2 of 2,1,21-18,,
3:44.0,,,20-18,,A. Aminu enters the game for N. Vonleh
3:22.0,,,21-18,,P. Connaughton misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by M. Muscala,,21-18,,
3:07.0,M. Dunleavy misses 3-pt shot from 24 ft,,21-18,,
3:07.0,,,21-18,,Defensive rebound by A. Aminu
2:58.0,,,21-18,,Turnover by E. Davis (lost ball; steal by P. Millsap)
2:58.0,Atlanta full timeout,,21-18,,
2:58.0,,,21-18,,C. McCollum enters the game for D. Lillard
2:44.0,M. Dunleavy misses 3-pt shot from 25 ft,,21-18,,
2:44.0,,,21-18,,Defensive rebound by A. Aminu
2:31.0,,,21-18,,A. Aminu misses 2-pt shot from 2 ft (block by P. Millsap)
2:31.0,,,21-18,,Offensive rebound by Team
2:26.0,,,21-18,,E. Davis misses 2-pt shot from 6 ft
2:25.0,,,21-18,,Offensive rebound by C. McCollum
2:07.0,,,21-18,,C. McCollum misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by P. Millsap,,21-18,,
1:49.0,M. Delaney misses 3-pt shot from 26 ft,,21-18,,
1:48.0,,,21-18,,Defensive rebound by E. Davis
1:34.0,,,21-20,2,A. Crabbe makes 2-pt shot from 18 ft (assist by P. Connaughton)
1:13.0,M. Delaney misses 2-pt shot from 2 ft,,21-20,,
1:11.0,,,21-20,,Defensive rebound by A. Crabbe
1:02.0,,,21-23,3,A. Aminu makes 3-pt shot from 22 ft (assist by C. McCollum)
0:46.0,P. Millsap misses 2-pt shot from 11 ft,,21-23,,
0:45.0,,,21-23,,Defensive rebound by P. Connaughton
0:35.0,,,21-23,,P. Connaughton misses 2-pt shot from 2 ft (block by M. Muscala)
0:33.0,,,21-23,,Offensive rebound by E. Davis
0:32.0,,,21-25,2,E. Davis makes 2-pt shot from 1 ft
0:18.0,P. Millsap misses 3-pt shot from 23 ft,,21-25,,
0:17.0,,,21-25,,Defensive rebound by E. Davis
0:04.0,,,21-25,,C. McCollum misses 2-pt shot from 8 ft
0:04.0,,,21-25,,Offensive rebound by E. Davis
0:00.0,,,21-28,3,P. Connaughton makes 3-pt shot from 25 ft (assist by E. Davis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-28,,C. McCollum misses 2-pt shot from 1 ft
11:43.0,,,21-28,,Offensive rebound by C. McCollum
11:37.0,Personal foul by T. Waller-Prince (drawn by E. Davis),,21-28,,
11:28.0,,,21-28,,A. Aminu misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by T. Hardaway,,21-28,,
11:20.0,Turnover by D. Howard (3 sec),,21-28,,
11:07.0,,,21-31,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
10:36.0,M. Delaney misses 2-pt shot from 19 ft,,21-31,,
10:36.0,,,21-31,,Defensive rebound by C. McCollum
10:27.0,,,21-34,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
10:08.0,T. Hardaway misses 3-pt shot from 26 ft,,21-34,,
10:07.0,Offensive rebound by D. Howard,,21-34,,
9:55.0,M. Muscala makes 2-pt shot from 16 ft (assist by T. Hardaway),2,23-34,,
9:39.0,,,23-34,,Shooting foul by M. Muscala (drawn by A. Crabbe)
9:39.0,,,23-34,,Portland full timeout
9:39.0,,,23-35,1,A. Crabbe makes free throw 1 of 2
9:39.0,,,23-35,,A. Crabbe misses free throw 2 of 2
9:39.0,K. Bazemore enters the game for M. Delaney,,23-34,,
9:39.0,D. Schroder enters the game for M. Muscala,,23-34,,
9:38.0,Defensive rebound by D. Howard,,23-35,,
9:27.0,D. Schroder makes 2-pt shot from 19 ft,2,25-35,,
9:11.0,,,25-37,2,E. Davis makes 2-pt shot at rim (assist by A. Aminu)
8:57.0,D. Schroder misses 2-pt shot from 7 ft,,25-37,,
8:57.0,Offensive rebound by K. Bazemore,,25-37,,
8:52.0,Turnover by K. Bazemore (bad pass; steal by A. Crabbe),,25-37,,
8:46.0,,,25-37,,P. Connaughton misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by T. Waller-Prince,,25-37,,
8:31.0,,,25-37,,Shooting block foul by P. Connaughton (drawn by K. Bazemore)
8:31.0,K. Bazemore makes free throw 1 of 2,1,26-37,,
8:31.0,K. Bazemore makes free throw 2 of 2,1,27-37,,
8:31.0,,,26-37,,D. Lillard enters the game for C. McCollum
8:05.0,,,27-37,,D. Lillard misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by D. Howard,,27-37,,
7:46.0,T. Hardaway misses 2-pt shot from 2 ft,,27-37,,
7:45.0,,,27-37,,Defensive rebound by D. Lillard
7:41.0,,,27-37,,Turnover by D. Lillard (bad pass; steal by K. Bazemore)
7:35.0,T. Hardaway misses 3-pt shot from 25 ft,,27-37,,
7:34.0,,,27-37,,Defensive rebound by D. Lillard
7:21.0,,,27-37,,P. Connaughton misses 2-pt shot from 2 ft
7:20.0,,,27-37,,Offensive rebound by P. Connaughton
7:16.0,,,27-37,,Turnover by P. Connaughton (bad pass; steal by D. Howard)
7:09.0,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore),3,30-37,,
6:51.0,,,30-37,,Shooting foul by D. Schroder (drawn by D. Lillard)
6:51.0,,,30-38,1,D. Lillard makes free throw 1 of 2
6:51.0,,,30-39,1,D. Lillard makes free throw 2 of 2
6:51.0,,,30-38,,M. Leonard enters the game for E. Davis
6:51.0,,,30-38,,M. Harkless enters the game for P. Connaughton
6:39.0,Offensive foul by D. Howard,,30-39,,
6:39.0,Turnover by D. Howard (offensive foul),,30-39,,
6:21.0,,,30-39,,M. Leonard misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by T. Hardaway,,30-39,,
6:07.0,T. Waller-Prince misses 3-pt shot from 23 ft,,30-39,,
6:06.0,,,30-39,,Defensive rebound by M. Leonard
5:55.0,,,30-39,,D. Lillard misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by T. Hardaway,,30-39,,
5:35.0,K. Bazemore misses 3-pt shot from 24 ft,,30-39,,
5:34.0,,,30-39,,Defensive rebound by A. Aminu
5:25.0,,,30-39,,D. Lillard misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by K. Bazemore,,30-39,,
5:19.0,D. Schroder makes 2-pt shot from 19 ft (assist by K. Bazemore),2,32-39,,
4:58.0,,,32-39,,M. Harkless misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by K. Bazemore,,32-39,,
4:51.0,D. Schroder makes 2-pt shot from 2 ft,2,34-39,,
4:50.0,,,34-39,,Portland full timeout
4:50.0,Official timeout,,34-39,,
4:50.0,P. Millsap enters the game for D. Howard,,34-39,,
4:50.0,,,34-39,,C. McCollum enters the game for A. Crabbe
4:40.0,,,34-39,,Turnover by M. Harkless (bad pass; steal by T. Waller-Prince)
4:38.0,,,34-39,,Personal foul by M. Harkless (drawn by D. Schroder)
4:30.0,D. Schroder misses 2-pt shot from 4 ft,,34-39,,
4:29.0,,,34-39,,Defensive rebound by M. Leonard
4:19.0,,,34-39,,C. McCollum misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. Schroder,,34-39,,
4:08.0,Shooting foul by D. Lillard (drawn by D. Schroder),,34-39,,
4:08.0,D. Schroder misses free throw 1 of 2,,34-39,,
4:08.0,Offensive rebound by Team,,34-39,,
4:08.0,D. Schroder makes free throw 2 of 2,1,35-39,,
3:54.0,,,35-39,,D. Lillard misses 2-pt shot from 2 ft (block by P. Millsap)
3:53.0,Defensive rebound by T. Hardaway,,35-39,,
3:49.0,T. Waller-Prince misses 2-pt shot from 3 ft (block by M. Harkless),,35-39,,
3:48.0,,,35-39,,Defensive rebound by C. McCollum
3:44.0,,,35-39,,C. McCollum misses 2-pt shot from 2 ft (block by K. Bazemore)
3:42.0,,,35-39,,Offensive rebound by D. Lillard
3:34.0,,,35-39,,A. Aminu misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by T. Waller-Prince,,35-39,,
3:26.0,D. Schroder makes 2-pt shot from 2 ft,2,37-39,,
3:08.0,,,37-39,,C. McCollum misses 2-pt shot from 2 ft (block by P. Millsap)
3:06.0,,,37-39,,Offensive rebound by A. Aminu
3:05.0,,,37-41,2,A. Aminu makes 2-pt shot at rim
2:52.0,T. Hardaway misses 3-pt shot from 25 ft,,37-41,,
2:50.0,,,37-41,,Defensive rebound by A. Aminu
2:42.0,,,37-41,,Shooting foul by P. Millsap (drawn by D. Lillard)
2:42.0,Atlanta full timeout,,37-41,,
2:42.0,,,37-42,1,D. Lillard makes free throw 1 of 2
2:42.0,,,37-43,1,D. Lillard makes free throw 2 of 2
2:42.0,,,37-41,,E. Davis enters the game for M. Leonard
2:42.0,M. Dunleavy enters the game for K. Bazemore,,37-41,,
2:42.0,D. Howard enters the game for T. Waller-Prince,,37-41,,
2:33.0,M. Dunleavy misses 3-pt shot from 25 ft,,37-43,,
2:31.0,Offensive rebound by D. Howard,,37-43,,
2:28.0,D. Schroder misses 3-pt shot from 25 ft,,37-43,,
2:28.0,,,37-43,,Defensive rebound by A. Aminu
2:13.0,,,37-43,,A. Aminu misses 2-pt shot from 1 ft
2:12.0,Defensive rebound by P. Millsap,,37-43,,
2:06.0,Shooting foul by M. Harkless (drawn by D. Howard),,37-43,,
2:06.0,D. Howard misses free throw 1 of 2,,37-43,,
2:06.0,Offensive rebound by Team,,37-43,,
2:06.0,D. Howard makes free throw 2 of 2,1,38-43,,
2:06.0,,,37-43,,A. Crabbe enters the game for M. Harkless
1:49.0,,,38-46,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
1:30.0,Turnover by T. Hardaway (bad pass; steal by A. Aminu),,38-46,,
1:23.0,,,38-46,,C. McCollum misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by D. Howard,,38-46,,
1:09.0,,,38-46,,Personal foul by A. Aminu (drawn by P. Millsap)
1:09.0,P. Millsap makes free throw 1 of 2,1,39-46,,
1:09.0,P. Millsap makes free throw 2 of 2,1,40-46,,
1:09.0,K. Bazemore enters the game for M. Dunleavy,,39-46,,
1:09.0,M. Delaney enters the game for T. Hardaway,,39-46,,
0:55.0,,,40-48,2,D. Lillard makes 2-pt shot from 2 ft (assist by E. Davis)
0:48.0,D. Schroder makes 2-pt shot from 1 ft,2,42-48,,
0:30.0,,,42-48,,D. Lillard misses 2-pt shot from 9 ft
0:29.0,,,42-48,,Offensive rebound by E. Davis
0:29.0,,,42-48,,E. Davis misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by P. Millsap,,42-48,,
0:09.0,D. Howard misses 3-pt shot from 23 ft,,42-48,,
0:08.0,,,42-48,,Defensive rebound by A. Crabbe
0:00.0,,,42-48,,A. Aminu misses 3-pt shot from 24 ft
0:00.0,,,42-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-50,2,M. Harkless makes 2-pt shot from 5 ft
11:43.0,,,42-50,,Shooting foul by T. Hardaway (drawn by M. Harkless)
11:43.0,,,42-50,,M. Harkless misses free throw 1 of 1
11:42.0,,,42-50,,Offensive rebound by M. Leonard
11:38.0,,,42-53,3,D. Lillard makes 3-pt shot from 29 ft (assist by C. McCollum)
11:20.0,P. Millsap makes 2-pt shot from 2 ft (assist by T. Hardaway),2,44-53,,
11:04.0,,,44-53,,C. McCollum misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by P. Millsap,,44-53,,
10:47.0,Shooting foul by N. Vonleh (drawn by D. Howard),,44-53,,
10:47.0,D. Howard makes 2-pt shot from 2 ft (assist by P. Millsap),2,46-53,,
10:47.0,D. Howard makes free throw 1 of 1,1,47-53,,
10:31.0,,,47-53,,Turnover by M. Harkless (step out of bounds)
10:22.0,Shooting foul by N. Vonleh (drawn by P. Millsap),,47-53,,
10:22.0,P. Millsap makes free throw 1 of 2,1,48-53,,
10:22.0,P. Millsap makes free throw 2 of 2,1,49-53,,
10:08.0,,,49-53,,M. Leonard misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by D. Howard,,49-53,,
9:48.0,Shooting foul by M. Leonard (drawn by D. Howard),,49-53,,
9:48.0,D. Howard misses free throw 1 of 2,,49-53,,
9:48.0,Offensive rebound by Team,,49-53,,
9:48.0,D. Howard makes free throw 2 of 2,1,50-53,,
9:48.0,,,49-53,,A. Aminu enters the game for N. Vonleh
9:36.0,,,50-56,3,D. Lillard makes 3-pt shot from 27 ft (assist by M. Harkless)
9:17.0,D. Schroder misses 2-pt shot from 5 ft,,50-56,,
9:17.0,Offensive rebound by D. Howard,,50-56,,
9:17.0,Shooting foul by M. Leonard (drawn by D. Howard),,50-56,,
9:17.0,D. Howard makes 2-pt shot from 2 ft,2,52-56,,
9:17.0,D. Howard misses free throw 1 of 1,,52-56,,
9:16.0,,,52-56,,Defensive rebound by M. Harkless
9:03.0,,,52-56,,Turnover by A. Aminu (traveling)
8:38.0,P. Millsap makes 2-pt shot from 5 ft,2,54-56,,
8:25.0,Personal foul by K. Bazemore (drawn by C. McCollum),,54-56,,
8:18.0,,,54-58,2,M. Leonard makes 2-pt shot from 4 ft
8:04.0,T. Hardaway makes 2-pt shot from 19 ft,2,56-58,,
7:50.0,,,56-60,2,C. McCollum makes 2-pt shot at rim
7:45.0,,,56-60,,Personal foul by M. Harkless (drawn by T. Hardaway)
7:45.0,T. Hardaway makes free throw 1 of 2,1,57-60,,
7:45.0,T. Hardaway makes free throw 2 of 2,1,58-60,,
7:45.0,,,57-60,,A. Crabbe enters the game for M. Harkless
7:27.0,,,58-60,,C. McCollum misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by D. Howard,,58-60,,
7:03.0,D. Schroder makes 2-pt shot from 6 ft,2,60-60,,
6:47.0,,,60-63,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard)
6:29.0,K. Bazemore misses 2-pt shot from 3 ft,,60-63,,
6:29.0,,,60-63,,Defensive rebound by A. Aminu
6:21.0,Personal foul by K. Bazemore (drawn by D. Lillard),,60-63,,
6:21.0,,,60-63,,Portland full timeout
6:13.0,,,60-63,,D. Lillard misses 3-pt shot from 30 ft
6:13.0,Defensive rebound by T. Hardaway,,60-63,,
5:56.0,T. Hardaway misses 3-pt shot from 25 ft,,60-63,,
5:55.0,,,60-63,,Defensive rebound by D. Lillard
5:37.0,,,60-63,,Turnover by C. McCollum (bad pass; steal by D. Howard)
5:18.0,P. Millsap misses 2-pt shot from 11 ft,,60-63,,
5:17.0,,,60-63,,Defensive rebound by M. Leonard
5:05.0,,,60-63,,D. Lillard misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by K. Bazemore,,60-63,,
5:00.0,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore),2,62-63,,
4:45.0,Personal foul by P. Millsap (drawn by A. Aminu),,62-63,,
4:45.0,T. Waller-Prince enters the game for K. Bazemore,,62-63,,
4:45.0,,,62-63,,S. Napier enters the game for C. McCollum
4:45.0,,,62-63,,E. Davis enters the game for M. Leonard
4:34.0,,,62-66,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
4:12.0,D. Schroder misses 3-pt shot from 25 ft,,62-66,,
4:12.0,,,62-66,,Defensive rebound by D. Lillard
4:03.0,,,62-66,,D. Lillard misses 3-pt shot from 28 ft
4:02.0,,,62-66,,Offensive rebound by E. Davis
3:41.0,,,62-66,,E. Davis misses 2-pt shot from 4 ft (block by D. Howard)
3:40.0,,,62-66,,Offensive rebound by E. Davis
3:39.0,,,62-66,,Turnover by Team (shot clock)
3:39.0,M. Muscala enters the game for D. Howard,,62-66,,
3:31.0,,,62-66,,Violation by A. Aminu (kicked ball)
3:21.0,D. Schroder misses 2-pt shot from 1 ft,,62-66,,
3:21.0,Offensive rebound by M. Muscala,,62-66,,
3:21.0,M. Muscala misses 2-pt shot from 2 ft,,62-66,,
3:20.0,,,62-66,,Defensive rebound by A. Aminu
3:10.0,,,62-66,,S. Napier misses 2-pt shot from 23 ft
3:10.0,Defensive rebound by M. Muscala,,62-66,,
3:01.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,65-66,,
2:39.0,,,65-66,,A. Aminu misses 3-pt shot from 22 ft
2:36.0,Defensive rebound by M. Muscala,,65-66,,
2:30.0,T. Hardaway makes 3-pt shot from 25 ft,3,68-66,,
2:06.0,,,68-68,2,E. Davis makes 2-pt shot from 2 ft
1:58.0,Atlanta full timeout,,68-68,,
1:58.0,,,68-68,,C. McCollum enters the game for D. Lillard
1:52.0,Shooting foul by E. Davis (drawn by D. Schroder),,68-68,,
1:52.0,D. Schroder makes free throw 1 of 2,1,69-68,,
1:52.0,D. Schroder makes free throw 2 of 2,1,70-68,,
1:27.0,,,70-71,3,S. Napier makes 3-pt shot from 24 ft
1:06.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by P. Millsap),3,73-71,,
0:47.0,,,73-71,,Shooting foul by D. Schroder (drawn by C. McCollum)
0:47.0,,,73-72,1,C. McCollum makes free throw 1 of 2
0:47.0,,,73-72,,C. McCollum misses free throw 2 of 2
0:47.0,M. Delaney enters the game for D. Schroder,,73-72,,
0:46.0,Defensive rebound by P. Millsap,,73-72,,
0:29.0,T. Hardaway misses 2-pt shot from 1 ft,,73-72,,
0:28.0,,,73-72,,Defensive rebound by A. Aminu
0:11.0,,,73-74,2,E. Davis makes 2-pt shot from 4 ft (assist by C. McCollum)
0:00.0,M. Muscala makes 2-pt shot from 3 ft (assist by T. Hardaway),2,75-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,75-74,,Personal foul by N. Vonleh (drawn by D. Howard)
11:39.0,Turnover by K. Bazemore (lost ball),,75-74,,
11:25.0,Personal foul by M. Delaney (drawn by A. Crabbe),,75-74,,
11:16.0,,,75-77,3,C. McCollum makes 3-pt shot from 26 ft
11:06.0,M. Delaney misses 2-pt shot from 2 ft (block by N. Vonleh),,75-77,,
11:04.0,,,75-77,,Defensive rebound by E. Davis
10:57.0,,,75-79,2,C. McCollum makes 2-pt shot from 22 ft
10:39.0,K. Bazemore makes 2-pt shot from 2 ft,2,77-79,,
10:23.0,,,77-79,,Offensive foul by A. Crabbe
10:23.0,,,77-79,,Turnover by A. Crabbe (offensive foul)
10:23.0,,,77-79,,M. Harkless enters the game for S. Napier
10:12.0,K. Bazemore misses 2-pt shot from 3 ft (block by E. Davis),,77-79,,
10:11.0,,,77-79,,Defensive rebound by C. McCollum
10:04.0,,,77-79,,C. McCollum misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by T. Waller-Prince,,77-79,,
9:57.0,,,77-79,,Shooting block foul by C. McCollum (drawn by K. Bazemore)
9:57.0,K. Bazemore makes free throw 1 of 2,1,78-79,,
9:57.0,K. Bazemore makes free throw 2 of 2,1,79-79,,
9:43.0,,,79-79,,A. Crabbe misses 2-pt shot from 21 ft
9:42.0,,,79-79,,Offensive rebound by Team
9:42.0,Loose ball foul by M. Muscala (drawn by N. Vonleh),,79-79,,
9:42.0,,,79-79,,M. Leonard enters the game for E. Davis
9:30.0,,,79-79,,M. Leonard misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by D. Howard,,79-79,,
9:18.0,T. Waller-Prince misses 3-pt shot from 23 ft,,79-79,,
9:16.0,,,79-79,,Defensive rebound by N. Vonleh
9:10.0,Personal foul by T. Waller-Prince (drawn by M. Harkless),,79-79,,
9:02.0,,,79-79,,Shooting foul by M. Delaney (drawn by C. McCollum)
9:02.0,,,79-80,1,C. McCollum makes free throw 1 of 2
9:02.0,,,79-81,1,C. McCollum makes free throw 2 of 2
9:02.0,P. Millsap enters the game for M. Muscala,,79-80,,
8:52.0,,,79-81,,Violation by M. Harkless (kicked ball)
8:52.0,Official timeout,,79-81,,
8:42.0,P. Millsap misses 2-pt shot from 10 ft,,79-81,,
8:42.0,,,79-81,,Defensive rebound by Team
8:42.0,Personal foul by D. Howard (drawn by M. Leonard),,79-81,,
8:42.0,,,79-81,,M. Leonard misses free throw 1 of 2
8:42.0,,,79-81,,Offensive rebound by Team
8:42.0,,,79-81,,M. Leonard misses free throw 2 of 2
8:42.0,Defensive rebound by D. Howard,,79-81,,
8:42.0,,,79-81,,D. Lillard enters the game for C. McCollum
8:23.0,M. Delaney misses 3-pt shot from 23 ft,,79-81,,
8:23.0,,,79-81,,Defensive rebound by A. Crabbe
8:15.0,,,79-81,,D. Lillard misses 2-pt shot from 4 ft
8:13.0,Defensive rebound by K. Bazemore,,79-81,,
8:13.0,,,79-81,,Personal foul by N. Vonleh (drawn by K. Bazemore)
8:13.0,D. Schroder enters the game for T. Waller-Prince,,79-81,,
8:13.0,,,79-81,,A. Aminu enters the game for N. Vonleh
8:04.0,D. Schroder misses 2-pt shot from 2 ft,,79-81,,
8:03.0,,,79-81,,Defensive rebound by A. Aminu
7:41.0,,,79-84,3,M. Harkless makes 3-pt shot from 25 ft (assist by A. Crabbe)
7:27.0,T. Hardaway enters the game for M. Delaney,,79-84,,
7:24.0,D. Schroder makes 2-pt shot from 12 ft (assist by T. Hardaway),2,81-84,,
7:06.0,,,81-84,,Turnover by D. Lillard (bad pass; steal by T. Hardaway)
7:01.0,D. Schroder misses 2-pt shot from 1 ft,,81-84,,
7:00.0,,,81-84,,Defensive rebound by M. Leonard
6:44.0,,,81-86,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
6:27.0,,,81-86,,Personal foul by M. Leonard (drawn by D. Howard)
6:12.0,P. Millsap misses 2-pt shot from 9 ft,,81-86,,
6:12.0,Offensive rebound by Team,,81-86,,
6:12.0,,,81-86,,Loose ball foul by M. Leonard (drawn by D. Howard)
6:12.0,D. Howard misses free throw 1 of 2,,81-86,,
6:12.0,Offensive rebound by Team,,81-86,,
6:12.0,,,81-86,,Portland full timeout
6:12.0,D. Howard makes free throw 2 of 2,1,82-86,,
6:12.0,,,81-86,,C. McCollum enters the game for A. Crabbe
6:12.0,,,81-86,,E. Davis enters the game for M. Leonard
6:12.0,T. Waller-Prince enters the game for P. Millsap,,81-86,,
5:50.0,,,82-86,,C. McCollum misses 2-pt shot from 23 ft
