time,Minnesota,pts.away,score,pts.home,Houston
9:41.0,Defensive rebound by K. Dunn,,33-39,,
9:34.0,K. Towns makes 2-pt shot from 2 ft (assist by K. Dunn),2,35-39,,
9:27.0,,,35-39,,L. Williams misses 2-pt shot from 2 ft
9:26.0,,,35-39,,Offensive rebound by C. Capela
9:26.0,,,35-39,,C. Capela misses 2-pt shot from 2 ft
9:26.0,,,35-39,,Offensive rebound by C. Capela
9:24.0,,,35-39,,Shooting foul by K. Dunn (drawn by C. Capela)
9:24.0,,,35-40,1,C. Capela makes free throw 1 of 2
9:24.0,,,35-41,1,C. Capela makes free throw 2 of 2
9:12.0,N. Bjelica makes 3-pt shot from 26 ft (assist by K. Dunn),3,38-41,,
8:53.0,,,38-41,,E. Gordon misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by K. Towns,,38-41,,
8:41.0,N. Bjelica makes 2-pt shot from 2 ft (assist by T. Jones),2,40-41,,
8:23.0,,,40-44,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
8:07.0,B. Rush misses 3-pt shot from 23 ft,,40-44,,
8:06.0,,,40-44,,Defensive rebound by C. Capela
7:56.0,,,40-47,3,E. Gordon makes 3-pt shot from 25 ft (assist by L. Williams)
7:34.0,Turnover by K. Towns (lost ball; steal by P. Beverley),,40-47,,
7:33.0,Personal foul by N. Bjelica (drawn by P. Beverley),,40-47,,
7:33.0,,,40-47,,Houston full timeout
7:19.0,,,40-50,3,L. Williams makes 3-pt shot from 24 ft (assist by E. Gordon)
7:01.0,Turnover by N. Bjelica (bad pass; steal by L. Williams),,40-50,,
6:52.0,,,40-50,,S. Dekker misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by K. Dunn,,40-50,,
6:51.0,,,40-50,,Personal foul by P. Beverley (drawn by K. Dunn)
6:51.0,G. Dieng enters the game for K. Dunn,,40-50,,
6:50.0,,,40-50,,M. Harrell enters the game for C. Capela
6:50.0,R. Rubio enters the game for N. Bjelica,,40-50,,
6:36.0,K. Towns misses 2-pt shot from 10 ft,,40-50,,
6:35.0,,,40-50,,Defensive rebound by M. Harrell
6:23.0,,,40-53,3,P. Beverley makes 3-pt shot from 25 ft (assist by L. Williams)
6:07.0,Turnover by R. Rubio (lost ball; steal by P. Beverley),,40-53,,
6:02.0,,,40-55,2,M. Harrell makes 2-pt shot from 2 ft (assist by P. Beverley)
5:54.0,Turnover by R. Rubio (bad pass; steal by M. Harrell),,40-55,,
5:47.0,,,40-55,,E. Gordon misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by R. Rubio,,40-55,,
5:34.0,G. Dieng misses 2-pt shot from 10 ft,,40-55,,
5:33.0,,,40-55,,Defensive rebound by P. Beverley
5:28.0,,,40-57,2,S. Dekker makes 2-pt shot from 2 ft (assist by P. Beverley)
5:25.0,Minnesota full timeout,,40-57,,
5:25.0,,,40-57,,R. Anderson enters the game for P. Beverley
5:25.0,,,40-57,,J. Harden enters the game for E. Gordon
5:25.0,,,40-57,,T. Ariza enters the game for S. Dekker
5:25.0,A. Wiggins enters the game for T. Jones,,40-57,,
5:14.0,,,40-57,,Personal foul by M. Harrell (drawn by K. Towns)
5:10.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,43-57,,
4:49.0,,,43-60,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
4:34.0,G. Dieng makes 2-pt shot from 4 ft (assist by R. Rubio),2,45-60,,
4:09.0,,,45-60,,R. Anderson misses 3-pt shot from 24 ft
4:07.0,,,45-60,,Offensive rebound by R. Anderson
4:00.0,,,45-60,,L. Williams misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by K. Towns,,45-60,,
3:52.0,Turnover by G. Dieng (traveling),,45-60,,
3:42.0,,,45-60,,M. Harrell misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by K. Towns,,45-60,,
3:24.0,K. Towns misses 2-pt shot from 4 ft,,45-60,,
3:24.0,Offensive rebound by G. Dieng,,45-60,,
3:24.0,,,45-60,,Personal foul by M. Harrell (drawn by G. Dieng)
3:17.0,,,45-60,,Personal foul by R. Anderson (drawn by G. Dieng)
3:17.0,G. Dieng makes free throw 1 of 2,1,46-60,,
3:17.0,G. Dieng misses free throw 2 of 2,,46-60,,
3:17.0,Offensive rebound by K. Towns,,46-60,,
3:11.0,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns),2,48-60,,
3:04.0,,,48-60,,R. Anderson misses 3-pt shot from 27 ft
3:04.0,Defensive rebound by Team,,48-60,,
2:54.0,Turnover by R. Rubio (bad pass; steal by L. Williams),,48-60,,
2:46.0,,,48-60,,J. Harden misses 2-pt shot from 8 ft
2:44.0,Defensive rebound by G. Dieng,,48-60,,
2:22.0,Turnover by Team (shot clock),,48-60,,
2:22.0,,,48-60,,Houston full timeout
2:22.0,,,48-60,,E. Gordon enters the game for L. Williams
2:12.0,,,48-60,,Turnover by J. Harden (bad pass; steal by K. Towns)
2:07.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,50-60,,
1:51.0,,,50-60,,Turnover by J. Harden (lost ball)
1:40.0,A. Wiggins misses 2-pt shot from 19 ft,,50-60,,
1:39.0,,,50-60,,Defensive rebound by J. Harden
1:35.0,,,50-60,,Shooting foul by B. Rush (drawn by T. Ariza)
1:35.0,,,50-61,1,T. Ariza makes free throw 1 of 2
1:35.0,,,50-62,1,T. Ariza makes free throw 2 of 2
1:21.0,K. Towns makes 2-pt shot from 9 ft (assist by B. Rush),2,52-62,,
1:09.0,,,52-62,,R. Anderson misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by K. Towns,,52-62,,
0:59.0,A. Wiggins makes 2-pt shot from 14 ft,2,54-62,,
0:50.0,,,54-62,,J. Harden misses 2-pt shot from 3 ft
0:50.0,,,54-62,,Offensive rebound by M. Harrell
0:50.0,,,54-64,2,M. Harrell makes 2-pt shot from 2 ft
0:38.0,,,54-64,,Personal foul by E. Gordon (drawn by K. Towns)
0:38.0,K. Towns makes free throw 1 of 2,1,55-64,,
0:38.0,K. Towns makes free throw 2 of 2,1,56-64,,
0:33.0,,,56-66,2,E. Gordon makes 2-pt shot from 2 ft
0:20.0,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio),2,58-66,,
0:01.0,,,58-66,,J. Harden misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by B. Rush,,58-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-68,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
11:28.0,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins),3,61-68,,
11:18.0,,,61-68,,Turnover by J. Harden (bad pass; steal by R. Rubio)
11:14.0,Shooting foul by P. Beverley (drawn by R. Rubio),,61-68,,
11:14.0,R. Rubio makes free throw 1 of 2,1,62-68,,
11:14.0,R. Rubio makes free throw 2 of 2,1,63-68,,
11:06.0,,,63-68,,R. Anderson misses 3-pt shot from 27 ft
11:05.0,Defensive rebound by B. Rush,,63-68,,
10:48.0,K. Towns makes 2-pt shot from 9 ft,2,65-68,,
10:35.0,,,65-68,,Turnover by T. Ariza (bad pass; steal by A. Wiggins)
10:32.0,B. Rush misses 2-pt shot from 4 ft (block by J. Harden),,65-68,,
10:32.0,Offensive rebound by Team,,65-68,,
10:24.0,Turnover by R. Rubio (bad pass; steal by C. Capela),,65-68,,
10:18.0,,,65-71,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
9:50.0,Turnover by K. Towns (traveling),,65-71,,
9:38.0,,,65-71,,T. Ariza misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by G. Dieng,,65-71,,
9:26.0,Offensive foul by R. Rubio,,65-71,,
9:26.0,Turnover by R. Rubio (offensive foul),,65-71,,
9:26.0,,,65-71,,Technical foul by P. Beverley
9:26.0,R. Rubio makes technical free throw,1,66-71,,
9:10.0,,,66-73,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
8:51.0,A. Wiggins misses 3-pt shot from 24 ft,,66-73,,
8:50.0,Offensive rebound by K. Towns,,66-73,,
8:48.0,K. Towns misses 2-pt shot from 1 ft,,66-73,,
8:47.0,Offensive rebound by K. Towns,,66-73,,
8:39.0,,,66-73,,Violation by C. Capela (def goaltending)
8:39.0,K. Towns makes 2-pt shot from 1 ft,2,68-73,,
8:36.0,Violation by B. Rush (kicked ball),,68-73,,
8:30.0,,,68-73,,J. Harden misses 3-pt shot from 27 ft
8:29.0,Defensive rebound by G. Dieng,,68-73,,
8:12.0,B. Rush misses 3-pt shot from 24 ft,,68-73,,
8:10.0,Offensive rebound by G. Dieng,,68-73,,
8:08.0,G. Dieng makes 2-pt shot from 1 ft,2,70-73,,
7:53.0,,,70-73,,Shooting foul by G. Dieng (drawn by R. Anderson)
7:53.0,,,70-74,1,R. Anderson makes free throw 1 of 3
7:53.0,,,70-75,1,R. Anderson makes free throw 2 of 3
7:53.0,,,70-76,1,R. Anderson makes free throw 3 of 3
7:38.0,Shooting foul by P. Beverley (drawn by K. Towns),,70-76,,
7:38.0,K. Towns makes free throw 1 of 2,1,71-76,,
7:38.0,K. Towns makes free throw 2 of 2,1,72-76,,
7:21.0,,,72-79,3,P. Beverley makes 3-pt shot from 24 ft (assist by R. Anderson)
7:01.0,B. Rush misses 2-pt shot from 3 ft,,72-79,,
7:00.0,Offensive rebound by K. Towns,,72-79,,
6:58.0,K. Towns makes 2-pt shot from 2 ft,2,74-79,,
6:44.0,,,74-82,3,R. Anderson makes 3-pt shot from 27 ft (assist by T. Ariza)
6:26.0,Jump ball: R. Anderson vs. B. Rush (R. Rubio gains possession),,,,Jump ball: R. Anderson vs. B. Rush (R. Rubio gains possession)
6:23.0,R. Rubio misses 3-pt shot from 25 ft,,74-82,,
6:23.0,,,74-82,,Defensive rebound by Team
6:12.0,,,74-82,,R. Anderson misses 3-pt shot from 27 ft
6:10.0,Defensive rebound by B. Rush,,74-82,,
5:58.0,,,74-82,,Houston full timeout
5:58.0,,,74-82,,E. Gordon enters the game for C. Capela
5:58.0,,,74-82,,N. Hilario enters the game for P. Beverley
5:48.0,Turnover by Team (shot clock),,74-82,,
5:39.0,Violation by G. Dieng (kicked ball),,74-82,,
5:39.0,N. Bjelica enters the game for K. Towns,,74-82,,
5:34.0,,,74-84,2,N. Hilario makes 2-pt shot at rim (assist by T. Ariza)
5:15.0,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Wiggins),3,77-84,,
5:04.0,,,77-87,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
4:50.0,G. Dieng makes 2-pt shot from 3 ft (assist by R. Rubio),2,79-87,,
4:29.0,,,79-87,,N. Hilario misses 2-pt shot from 14 ft
4:28.0,,,79-87,,Offensive rebound by T. Ariza
4:28.0,,,79-87,,Shooting foul by G. Dieng (drawn by T. Ariza)
4:28.0,,,79-88,1,T. Ariza makes free throw 1 of 2
4:28.0,,,79-89,1,T. Ariza makes free throw 2 of 2
4:28.0,,,79-88,,L. Williams enters the game for R. Anderson
4:18.0,,,79-89,,Personal foul by J. Harden (drawn by N. Bjelica)
4:05.0,R. Rubio misses 3-pt shot from 23 ft,,79-89,,
4:04.0,,,79-89,,Defensive rebound by N. Hilario
4:00.0,,,79-89,,Shooting foul by A. Wiggins (drawn by N. Hilario)
4:00.0,,,79-89,,N. Hilario misses free throw 1 of 2
4:00.0,,,79-89,,Offensive rebound by Team
4:00.0,,,79-89,,N. Hilario misses free throw 2 of 2
4:00.0,Defensive rebound by G. Dieng,,79-89,,
4:00.0,K. Dunn enters the game for B. Rush,,79-89,,
3:55.0,Turnover by G. Dieng (bad pass; steal by E. Gordon),,79-89,,
3:45.0,,,79-89,,Shooting foul by N. Bjelica (drawn by J. Harden)
3:45.0,,,79-90,1,J. Harden makes free throw 1 of 2
3:45.0,,,79-91,1,J. Harden makes free throw 2 of 2
3:36.0,K. Dunn makes 3-pt shot from 23 ft (assist by R. Rubio),3,82-91,,
3:24.0,,,82-91,,Turnover by L. Williams (bad pass; steal by A. Wiggins)
3:15.0,A. Wiggins misses 3-pt shot from 25 ft,,82-91,,
3:15.0,,,82-91,,Defensive rebound by Team
3:06.0,,,82-94,3,J. Harden makes 3-pt shot from 26 ft
2:49.0,Shooting foul by N. Hilario (drawn by A. Wiggins),,82-94,,
2:49.0,Minnesota full timeout,,82-94,,
2:49.0,A. Wiggins makes free throw 1 of 2,1,83-94,,
2:49.0,A. Wiggins makes free throw 2 of 2,1,84-94,,
2:35.0,,,84-96,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
2:35.0,,,84-96,,Shooting foul by K. Dunn (drawn by N. Hilario)
2:35.0,,,84-97,1,N. Hilario makes free throw 1 of 1
2:35.0,T. Jones enters the game for R. Rubio,,84-96,,
2:23.0,A. Wiggins misses 2-pt shot from 7 ft,,84-97,,
2:22.0,Offensive rebound by K. Dunn,,84-97,,
2:14.0,Turnover by N. Bjelica (bad pass; steal by L. Williams),,84-97,,
2:06.0,,,84-97,,L. Williams misses 3-pt shot from 25 ft
2:05.0,,,84-97,,Offensive rebound by T. Ariza
1:59.0,,,84-97,,Turnover by L. Williams (bad pass; steal by G. Dieng)
1:55.0,Shooting foul by E. Gordon (drawn by A. Wiggins),,84-97,,
1:55.0,A. Wiggins makes free throw 1 of 2,1,85-97,,
1:55.0,A. Wiggins makes free throw 2 of 2,1,86-97,,
1:55.0,,,85-97,,S. Dekker enters the game for T. Ariza
1:55.0,S. Muhammad enters the game for N. Bjelica,,85-97,,
1:43.0,,,86-97,,E. Gordon misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by T. Jones,,86-97,,
1:37.0,K. Dunn misses 2-pt shot at rim,,86-97,,
1:35.0,,,86-97,,Defensive rebound by J. Harden
1:29.0,,,86-97,,E. Gordon misses 2-pt shot from 3 ft
1:27.0,,,86-97,,Offensive rebound by S. Dekker
1:24.0,,,86-99,2,S. Dekker makes 2-pt shot from 3 ft
1:01.0,T. Jones misses 3-pt shot from 26 ft,,86-99,,
1:00.0,,,86-99,,Defensive rebound by J. Harden
0:55.0,,,86-102,3,J. Harden makes 3-pt shot from 27 ft
0:41.0,Turnover by S. Muhammad (traveling),,86-102,,
0:30.0,,,86-105,3,J. Harden makes 3-pt shot from 25 ft
0:11.0,A. Wiggins makes 2-pt shot from 3 ft,2,88-105,,
0:02.0,,,88-105,,Shooting foul by A. Wiggins (drawn by J. Harden)
0:02.0,,,88-105,,J. Harden misses free throw 1 of 2
0:02.0,,,88-105,,Offensive rebound by Team
0:02.0,,,88-106,1,J. Harden makes free throw 2 of 2
0:00.0,T. Jones misses 3-pt shot from 43 ft,,88-106,,
0:00.0,Offensive rebound by Team,,88-106,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,S. Muhammad misses 2-pt shot from 8 ft,,88-106,,
11:38.0,Offensive rebound by S. Muhammad,,88-106,,
11:37.0,S. Muhammad makes 2-pt shot from 2 ft,2,90-106,,
11:26.0,,,90-109,3,L. Williams makes 3-pt shot from 28 ft (assist by P. Beverley)
11:05.0,S. Muhammad makes 2-pt shot from 2 ft (assist by K. Towns),2,92-109,,
10:57.0,,,92-111,2,P. Beverley makes 2-pt shot from 1 ft
10:57.0,,,92-111,,Shooting foul by N. Bjelica (drawn by P. Beverley)
10:57.0,,,92-112,1,P. Beverley makes free throw 1 of 1
10:39.0,K. Towns makes 2-pt shot from 18 ft (assist by T. Jones),2,94-112,,
10:31.0,,,94-112,,Shooting foul by K. Dunn
10:31.0,,,94-113,1,L. Williams makes free throw 1 of 3
10:31.0,,,94-113,,L. Williams misses free throw 2 of 3
10:31.0,,,94-113,,Offensive rebound by Team
10:31.0,,,94-114,1,L. Williams makes free throw 3 of 3
10:15.0,T. Jones misses 2-pt shot from 3 ft,,94-114,,
10:14.0,Offensive rebound by K. Dunn,,94-114,,
10:03.0,N. Bjelica misses 2-pt shot from 6 ft (block by S. Dekker),,94-114,,
10:01.0,Offensive rebound by K. Towns,,94-114,,
9:59.0,K. Towns makes 2-pt shot from 1 ft,2,96-114,,
9:54.0,,,96-114,,E. Gordon misses 3-pt shot from 25 ft
9:52.0,,,96-114,,Offensive rebound by C. Capela
9:48.0,,,96-114,,C. Capela misses 2-pt shot from 3 ft (block by K. Towns)
9:47.0,Defensive rebound by K. Towns,,96-114,,
9:47.0,Shooting foul by P. Beverley (drawn by S. Muhammad),,96-114,,
9:47.0,S. Muhammad makes free throw 1 of 2,1,97-114,,
9:47.0,S. Muhammad makes free throw 2 of 2,1,98-114,,
9:28.0,,,98-114,,L. Williams misses 3-pt shot from 27 ft
9:27.0,,,98-114,,Offensive rebound by S. Dekker
9:27.0,,,98-114,,Shooting foul by K. Dunn (drawn by S. Dekker)
9:27.0,,,98-114,,S. Dekker misses free throw 1 of 2
9:27.0,,,98-114,,Offensive rebound by Team
