time,Washington,pts.away,score,pts.home,Indiana
3:29.0,,,25-19,2,K. Seraphin makes 2-pt shot from 8 ft (assist by M. Turner)
3:14.0,B. Beal misses 2-pt shot from 22 ft,,25-19,,
3:13.0,,,25-19,,Defensive rebound by J. Teague
3:12.0,Personal foul by J. Smith (drawn by J. Teague),,25-19,,
3:12.0,,,25-19,,C. Miles enters the game for K. Seraphin
3:12.0,K. Oubre enters the game for J. Smith,,25-19,,
2:48.0,,,25-19,,J. Teague misses 2-pt shot from 1 ft
2:47.0,Defensive rebound by J. Wall,,25-19,,
2:41.0,O. Porter misses 3-pt shot from 24 ft,,25-19,,
2:40.0,Offensive rebound by M. Gortat,,25-19,,
2:37.0,M. Gortat makes 2-pt shot from 3 ft,2,27-19,,
2:19.0,,,27-21,2,M. Ellis makes 2-pt shot from 12 ft
2:13.0,Washington full timeout,,27-21,,
2:13.0,I. Mahinmi enters the game for M. Gortat,,27-21,,
2:13.0,T. Burke enters the game for B. Beal,,27-21,,
2:13.0,,,27-21,,A. Jefferson enters the game for M. Turner
2:13.0,,,27-21,,R. Stuckey enters the game for J. Teague
2:01.0,J. Wall makes 2-pt shot from 9 ft,2,29-21,,
1:46.0,,,29-21,,P. George misses 2-pt shot from 19 ft
1:46.0,Defensive rebound by T. Burke,,29-21,,
1:38.0,Turnover by J. Wall (lost ball; steal by C. Miles),,29-21,,
1:34.0,,,29-21,,C. Miles misses 2-pt shot from 3 ft (block by O. Porter)
1:34.0,,,29-21,,Offensive rebound by Team
1:34.0,,,29-21,,G. Robinson enters the game for P. George
1:34.0,T. Satoransky enters the game for J. Wall,,29-21,,
1:26.0,,,29-23,2,A. Jefferson makes 2-pt shot from 17 ft (assist by R. Stuckey)
1:06.0,Shooting foul by A. Jefferson (drawn by I. Mahinmi),,29-23,,
1:06.0,I. Mahinmi misses free throw 1 of 2,,29-23,,
1:06.0,Offensive rebound by Team,,29-23,,
1:06.0,I. Mahinmi misses free throw 2 of 2,,29-23,,
1:06.0,,,29-23,,Defensive rebound by A. Jefferson
0:45.0,,,29-25,2,M. Ellis makes 2-pt shot from 1 ft
0:26.0,I. Mahinmi makes 2-pt shot from 6 ft,2,31-25,,
0:07.0,,,31-27,2,C. Miles makes 2-pt shot at rim (assist by M. Ellis)
0:00.0,O. Porter makes 3-pt shot from 29 ft,3,34-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,34-27,,G. Robinson misses 3-pt shot from 23 ft
11:45.0,Defensive rebound by I. Mahinmi,,34-27,,
11:32.0,K. Oubre misses 3-pt shot from 24 ft,,34-27,,
11:32.0,,,34-27,,Defensive rebound by M. Ellis
11:24.0,,,34-29,2,C. Miles makes 2-pt shot from 20 ft (assist by M. Ellis)
11:00.0,M. Morris makes 3-pt shot from 23 ft (assist by T. Burke),3,37-29,,
10:38.0,Personal block foul by I. Mahinmi (drawn by R. Stuckey),,37-29,,
10:24.0,,,37-31,2,M. Ellis makes 2-pt shot from 17 ft
10:09.0,Turnover by T. Burke (bad pass; steal by C. Miles),,37-31,,
10:08.0,Loose ball foul by M. Morris (drawn by C. Miles),,37-31,,
9:57.0,,,37-33,2,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Ellis)
9:40.0,K. Oubre misses 2-pt shot at rim,,37-33,,
9:40.0,,,37-33,,Defensive rebound by A. Jefferson
9:32.0,,,37-35,2,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Ellis)
9:24.0,Washington full timeout,,37-35,,
9:17.0,M. Morris misses 2-pt shot from 3 ft,,37-35,,
9:16.0,,,37-35,,Defensive rebound by Team
8:53.0,,,37-35,,M. Ellis misses 2-pt shot from 2 ft
8:53.0,Defensive rebound by M. Morris,,37-35,,
8:32.0,M. Morris makes 2-pt shot from 21 ft (assist by K. Oubre),2,39-35,,
8:18.0,,,39-35,,C. Miles misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by I. Mahinmi,,39-35,,
8:06.0,Shooting foul by A. Jefferson (drawn by I. Mahinmi),,39-35,,
8:06.0,I. Mahinmi makes free throw 1 of 2,1,40-35,,
8:06.0,I. Mahinmi misses free throw 2 of 2,,40-35,,
8:06.0,,,40-35,,K. Seraphin enters the game for G. Robinson
8:06.0,B. Beal enters the game for T. Satoransky,,40-35,,
8:05.0,,,40-35,,Defensive rebound by K. Seraphin
7:42.0,,,40-35,,A. Jefferson misses 2-pt shot from 21 ft
7:41.0,Defensive rebound by B. Beal,,40-35,,
7:35.0,,,40-35,,Shooting block foul by A. Jefferson (drawn by K. Oubre)
7:35.0,K. Oubre makes free throw 1 of 2,1,41-35,,
7:35.0,K. Oubre misses free throw 2 of 2,,41-35,,
7:35.0,Offensive rebound by Team,,41-35,,
7:35.0,,,41-35,,Loose ball foul by M. Turner (drawn by M. Morris)
7:35.0,J. Wall enters the game for T. Burke,,41-35,,
7:35.0,M. Gortat enters the game for I. Mahinmi,,41-35,,
7:35.0,,,41-35,,P. George enters the game for C. Miles
7:35.0,,,41-35,,M. Turner enters the game for A. Jefferson
7:24.0,M. Gortat misses 2-pt shot from 10 ft,,41-35,,
7:23.0,,,41-35,,Defensive rebound by K. Seraphin
7:22.0,,,41-35,,Turnover by K. Seraphin (bad pass; steal by B. Beal)
7:20.0,B. Beal makes 2-pt shot at rim,2,43-35,,
6:57.0,,,43-38,3,R. Stuckey makes 3-pt shot from 28 ft (assist by M. Ellis)
6:36.0,J. Wall misses 2-pt shot from 3 ft,,43-38,,
6:35.0,Offensive rebound by K. Oubre,,43-38,,
6:33.0,K. Oubre makes 2-pt shot from 2 ft,2,45-38,,
6:18.0,,,45-40,2,R. Stuckey makes 2-pt shot from 2 ft
6:08.0,Turnover by B. Beal (traveling),,45-40,,
6:08.0,O. Porter enters the game for K. Oubre,,45-40,,
5:52.0,,,45-40,,K. Seraphin misses 2-pt shot from 7 ft
5:51.0,Defensive rebound by M. Gortat,,45-40,,
5:46.0,J. Wall makes 2-pt shot from 3 ft,2,47-40,,
5:46.0,,,47-40,,Shooting block foul by K. Seraphin (drawn by J. Wall)
5:46.0,Official timeout,,47-40,,
5:46.0,J. Wall makes free throw 1 of 1,1,48-40,,
5:33.0,,,48-40,,M. Turner misses 2-pt shot from 10 ft
5:32.0,Defensive rebound by O. Porter,,48-40,,
5:19.0,O. Porter misses 3-pt shot from 23 ft,,48-40,,
5:17.0,Offensive rebound by M. Morris,,48-40,,
5:13.0,J. Wall misses 2-pt shot from 21 ft,,48-40,,
5:11.0,Offensive rebound by O. Porter,,48-40,,
5:08.0,B. Beal makes 3-pt shot from 29 ft (assist by O. Porter),3,51-40,,
4:53.0,,,51-40,,M. Ellis misses 2-pt shot from 2 ft (block by J. Wall)
4:53.0,,,51-40,,Offensive rebound by Team
4:53.0,,,51-40,,J. Teague enters the game for R. Stuckey
4:40.0,,,51-40,,M. Turner misses 2-pt shot from 20 ft
4:40.0,,,51-40,,Offensive rebound by Team
4:40.0,,,51-40,,Turnover by Team (shot clock)
4:32.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,53-40,,
4:15.0,,,53-40,,Turnover by J. Teague (lost ball)
4:04.0,Shooting foul by M. Turner (drawn by J. Wall),,53-40,,
4:04.0,J. Wall makes free throw 1 of 2,1,54-40,,
4:04.0,,,54-40,,Violation by M. Ellis (lane)
4:04.0,J. Wall makes free throw 2 of 2,1,55-40,,
3:53.0,,,55-40,,P. George misses 2-pt shot from 19 ft
3:52.0,,,55-40,,Offensive rebound by K. Seraphin
3:50.0,,,55-42,2,K. Seraphin makes 2-pt shot from 1 ft
3:43.0,B. Beal misses 3-pt shot from 27 ft,,55-42,,
3:42.0,,,55-42,,Defensive rebound by J. Teague
3:23.0,,,55-42,,K. Seraphin misses 2-pt shot from 13 ft
3:23.0,Defensive rebound by M. Gortat,,55-42,,
3:08.0,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris),2,57-42,,
3:08.0,,,57-42,,Indiana full timeout
3:08.0,,,57-42,,C. Miles enters the game for M. Ellis
3:08.0,,,57-42,,Violation by Team (delay of game)
2:51.0,,,57-42,,P. George misses 3-pt shot from 26 ft
2:50.0,,,57-42,,Offensive rebound by M. Turner
2:50.0,,,57-42,,Shooting foul by B. Beal (drawn by M. Turner)
2:50.0,,,57-43,1,M. Turner makes free throw 1 of 2
2:50.0,,,57-43,,M. Turner misses free throw 2 of 2
2:50.0,Defensive rebound by M. Gortat,,57-43,,
2:30.0,M. Morris makes 2-pt shot from 18 ft,2,59-43,,
2:12.0,,,59-43,,P. George misses 3-pt shot from 28 ft
2:11.0,Defensive rebound by B. Beal,,59-43,,
2:04.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,61-43,,
2:04.0,Shooting foul by P. George (drawn by O. Porter),,61-43,,
2:04.0,O. Porter makes free throw 1 of 1,1,62-43,,
1:52.0,,,62-45,2,P. George makes 2-pt shot from 6 ft
1:39.0,B. Beal misses 2-pt shot from 18 ft,,62-45,,
1:39.0,,,62-45,,Defensive rebound by J. Teague
1:32.0,,,62-47,2,M. Turner makes 2-pt shot from 3 ft
1:32.0,Shooting block foul by M. Morris (drawn by M. Turner),,62-47,,
1:32.0,,,62-48,1,M. Turner makes free throw 1 of 1
1:32.0,J. Smith enters the game for M. Morris,,62-47,,
1:19.0,O. Porter misses 3-pt shot from 26 ft,,62-48,,
1:18.0,,,62-48,,Defensive rebound by J. Teague
1:00.0,,,62-50,2,M. Turner makes 2-pt shot from 14 ft (assist by J. Teague)
0:49.0,J. Wall misses 2-pt shot from 18 ft,,62-50,,
0:49.0,Offensive rebound by J. Smith,,62-50,,
0:40.0,B. Beal misses 2-pt shot from 15 ft,,62-50,,
0:38.0,,,62-50,,Defensive rebound by K. Seraphin
0:25.0,,,62-52,2,J. Teague makes 2-pt shot from 21 ft
0:04.0,J. Wall misses 2-pt shot from 1 ft,,62-52,,
0:03.0,,,62-52,,Defensive rebound by M. Turner
0:00.0,,,62-52,,J. Teague misses 3-pt shot from 32 ft
0:00.0,,,62-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-52,,M. Turner misses 2-pt shot from 13 ft
11:46.0,Defensive rebound by O. Porter,,62-52,,
11:30.0,B. Beal misses 3-pt shot from 27 ft,,62-52,,
11:29.0,,,62-52,,Defensive rebound by M. Turner
11:20.0,,,62-54,2,P. George makes 2-pt shot from 22 ft
10:59.0,Shooting foul by K. Seraphin (drawn by M. Morris),,62-54,,
10:59.0,M. Morris makes free throw 1 of 2,1,63-54,,
10:59.0,M. Morris makes free throw 2 of 2,1,64-54,,
10:43.0,,,64-56,2,P. George makes 2-pt shot from 9 ft
10:24.0,Turnover by B. Beal (bad pass; steal by M. Turner),,64-56,,
10:14.0,,,64-58,2,M. Turner makes 2-pt shot from 1 ft (assist by K. Seraphin)
10:14.0,,,64-58,,Shooting foul by M. Gortat (drawn by M. Turner)
10:14.0,,,64-59,1,M. Turner makes free throw 1 of 1
10:02.0,O. Porter makes 2-pt shot from 14 ft,2,66-59,,
9:39.0,,,66-59,,P. George misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by O. Porter,,66-59,,
9:32.0,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall),3,69-59,,
9:15.0,,,69-59,,Shooting foul by O. Porter (drawn by K. Seraphin)
9:15.0,,,69-60,1,K. Seraphin makes free throw 1 of 2
9:15.0,,,69-60,,K. Seraphin misses free throw 2 of 2
9:15.0,Defensive rebound by M. Gortat,,69-60,,
8:59.0,O. Porter misses 3-pt shot from 24 ft,,69-60,,
8:58.0,,,69-60,,Defensive rebound by Team
8:42.0,,,69-60,,P. George misses 3-pt shot from 27 ft
8:41.0,Defensive rebound by M. Gortat,,69-60,,
8:25.0,O. Porter makes 2-pt shot from 10 ft (assist by M. Morris),2,71-60,,
8:05.0,,,71-62,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
7:49.0,O. Porter misses 2-pt shot from 4 ft,,71-62,,
7:48.0,Offensive rebound by B. Beal,,71-62,,
7:40.0,M. Gortat misses 2-pt shot from 7 ft,,71-62,,
7:40.0,,,71-62,,Defensive rebound by P. George
7:18.0,,,71-64,2,J. Teague makes 2-pt shot from 7 ft
7:04.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,73-64,,
6:48.0,,,73-64,,G. Robinson misses 2-pt shot from 19 ft
6:47.0,Defensive rebound by O. Porter,,73-64,,
6:43.0,Offensive foul by M. Gortat,,73-64,,
6:43.0,Turnover by M. Gortat (offensive foul),,73-64,,
6:33.0,,,73-64,,J. Teague misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by M. Morris,,73-64,,
6:13.0,J. Wall misses 2-pt shot from 1 ft,,73-64,,
6:11.0,Offensive rebound by M. Morris,,73-64,,
6:11.0,M. Morris makes 2-pt shot from 1 ft,2,75-64,,
5:59.0,,,75-66,2,G. Robinson makes 2-pt shot from 7 ft
5:59.0,,,75-66,,Shooting foul by B. Beal (drawn by G. Robinson)
5:59.0,,,75-66,,Indiana full timeout
5:59.0,,,75-67,1,G. Robinson makes free throw 1 of 1
5:39.0,M. Morris misses 3-pt shot from 26 ft,,75-67,,
5:37.0,,,75-67,,Defensive rebound by P. George
5:23.0,,,75-67,,Turnover by M. Turner (bad pass; steal by M. Gortat)
5:12.0,J. Wall makes 2-pt shot from 2 ft,2,77-67,,
4:57.0,,,77-67,,Shooting foul by M. Morris (drawn by P. George)
4:57.0,,,77-68,1,P. George makes free throw 1 of 2
4:57.0,,,77-69,1,P. George makes free throw 2 of 2
4:57.0,,,77-68,,M. Ellis enters the game for G. Robinson
4:57.0,J. Smith enters the game for M. Morris,,77-68,,
4:38.0,J. Wall misses 3-pt shot from 25 ft,,77-69,,
4:37.0,,,77-69,,Defensive rebound by M. Ellis
4:26.0,,,77-69,,K. Seraphin misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by M. Gortat,,77-69,,
4:16.0,B. Beal makes 3-pt shot from 24 ft,3,80-69,,
3:56.0,,,80-69,,P. George misses 2-pt shot from 21 ft
3:55.0,Defensive rebound by O. Porter,,80-69,,
3:46.0,O. Porter misses 2-pt shot from 8 ft,,80-69,,
3:44.0,Offensive rebound by Team,,80-69,,
3:44.0,,,80-69,,C. Miles enters the game for K. Seraphin
3:26.0,J. Wall makes 2-pt shot from 7 ft,2,82-69,,
3:07.0,,,82-69,,C. Miles misses 2-pt shot from 12 ft
3:06.0,Defensive rebound by J. Smith,,82-69,,
3:02.0,Turnover by J. Wall (lost ball; steal by P. George),,82-69,,
3:00.0,Clear path foul by M. Gortat,,82-69,,
3:00.0,,,82-70,1,P. George makes clear path free throw 1 of 2
3:00.0,,,82-71,1,P. George makes clear path free throw 2 of 2
3:00.0,,,82-71,,R. Stuckey enters the game for J. Teague
2:49.0,,,82-71,,P. George misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by J. Smith,,82-71,,
2:27.0,J. Wall misses 2-pt shot from 20 ft,,82-71,,
2:27.0,,,82-71,,Defensive rebound by M. Turner
2:15.0,,,82-71,,Turnover by P. George (lost ball; steal by J. Wall)
2:15.0,Washington full timeout,,82-71,,
2:15.0,I. Mahinmi enters the game for M. Gortat,,82-71,,
2:15.0,T. Burke enters the game for B. Beal,,82-71,,
2:03.0,Turnover by J. Wall (bad pass; steal by M. Turner),,82-71,,
1:55.0,,,82-73,2,M. Turner makes 2-pt shot from 5 ft (assist by M. Ellis)
1:31.0,J. Wall makes 2-pt shot from 19 ft,2,84-73,,
1:14.0,,,84-73,,Shooting foul by I. Mahinmi (drawn by M. Turner)
1:14.0,,,84-73,,M. Turner misses free throw 1 of 2
1:14.0,,,84-73,,Offensive rebound by Team
1:14.0,,,84-74,1,M. Turner makes free throw 2 of 2
1:03.0,T. Burke makes 3-pt shot from 24 ft (assist by J. Wall),3,87-74,,
0:51.0,,,87-74,,Shooting foul by I. Mahinmi (drawn by M. Ellis)
0:51.0,,,87-75,1,M. Ellis makes free throw 1 of 2
0:51.0,,,87-75,,M. Ellis misses free throw 2 of 2
0:51.0,Defensive rebound by I. Mahinmi,,87-75,,
0:51.0,,,87-75,,A. Jefferson enters the game for M. Turner
0:51.0,,,87-75,,G. Robinson enters the game for P. George
0:51.0,K. Oubre enters the game for O. Porter,,87-75,,
0:41.0,J. Wall makes 2-pt shot from 2 ft,2,89-75,,
0:41.0,Shooting foul by A. Jefferson (drawn by J. Wall),,89-75,,
0:41.0,J. Wall makes free throw 1 of 1,1,90-75,,
0:19.0,,,90-77,2,G. Robinson makes 2-pt shot from 1 ft (assist by M. Ellis)
0:03.0,Offensive charge foul by J. Wall,,90-77,,
0:03.0,Turnover by J. Wall (offensive foul),,90-77,,
0:03.0,T. Satoransky enters the game for J. Wall,,90-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,I. Mahinmi makes 2-pt shot from 10 ft,2,92-77,,
11:29.0,,,92-77,,Shooting foul by T. Satoransky (drawn by R. Stuckey)
11:29.0,,,92-78,1,R. Stuckey makes free throw 1 of 2
11:29.0,,,92-79,1,R. Stuckey makes free throw 2 of 2
11:06.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Burke),3,95-79,,
10:47.0,,,95-81,2,A. Jefferson makes 2-pt shot from 16 ft (assist by R. Stuckey)
10:26.0,T. Satoransky misses 3-pt shot from 27 ft,,95-81,,
10:25.0,,,95-81,,Defensive rebound by M. Ellis
10:08.0,,,95-83,2,A. Jefferson makes 2-pt shot from 10 ft (assist by G. Robinson)
9:48.0,T. Burke misses 2-pt shot from 14 ft,,95-83,,
9:47.0,,,95-83,,Defensive rebound by A. Jefferson
9:23.0,,,95-83,,A. Jefferson misses 2-pt shot from 16 ft
9:22.0,Defensive rebound by T. Burke,,95-83,,
9:09.0,T. Burke misses 3-pt shot from 29 ft,,95-83,,
9:09.0,,,95-83,,Defensive rebound by Team
8:53.0,,,95-85,2,A. Jefferson makes 2-pt shot at rim (assist by C. Miles)
8:53.0,Washington full timeout,,95-85,,
8:53.0,M. Morris enters the game for J. Smith,,95-85,,
8:53.0,B. Beal enters the game for T. Burke,,95-85,,
8:40.0,M. Morris misses 2-pt shot from 2 ft,,95-85,,
8:38.0,Offensive rebound by T. Satoransky,,95-85,,
8:34.0,B. Beal misses 2-pt shot from 17 ft,,95-85,,
8:33.0,,,95-85,,Defensive rebound by G. Robinson
8:14.0,,,95-85,,M. Ellis misses 3-pt shot from 29 ft
8:13.0,Defensive rebound by I. Mahinmi,,95-85,,
8:02.0,,,95-85,,Personal foul by C. Miles (drawn by M. Morris)
8:02.0,,,95-85,,P. George enters the game for G. Robinson
8:02.0,,,95-85,,M. Turner enters the game for A. Jefferson
8:02.0,M. Gortat enters the game for I. Mahinmi,,95-85,,
8:02.0,J. Wall enters the game for T. Satoransky,,95-85,,
7:47.0,B. Beal makes 2-pt shot from 1 ft,2,97-85,,
7:24.0,Personal foul by K. Oubre (drawn by R. Stuckey),,97-85,,
7:14.0,,,97-87,2,C. Miles makes 2-pt shot from 2 ft
7:03.0,K. Oubre misses 3-pt shot from 24 ft,,97-87,,
7:02.0,,,97-87,,Defensive rebound by P. George
6:49.0,,,97-90,3,R. Stuckey makes 3-pt shot from 23 ft (assist by P. George)
6:42.0,Washington full timeout,,97-90,,
6:42.0,O. Porter enters the game for K. Oubre,,97-90,,
6:30.0,J. Wall makes 2-pt shot from 17 ft,2,99-90,,
6:13.0,,,99-90,,P. George misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by Team,,99-90,,
5:54.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,102-90,,
5:34.0,,,102-92,2,R. Stuckey makes 2-pt shot from 1 ft
5:18.0,Turnover by J. Wall (bad pass; steal by P. George),,102-92,,
5:13.0,,,102-94,2,P. George makes 2-pt shot at rim
4:43.0,J. Wall misses 2-pt shot from 20 ft,,102-94,,
4:41.0,,,102-94,,Defensive rebound by P. George
4:21.0,,,102-94,,P. George misses 2-pt shot from 20 ft
4:20.0,Defensive rebound by Team,,102-94,,
4:20.0,,,102-94,,Loose ball foul by M. Turner (drawn by B. Beal)
4:20.0,Official timeout,,102-94,,
3:58.0,J. Wall makes 2-pt shot from 18 ft,2,104-94,,
3:38.0,,,104-94,,R. Stuckey misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by M. Morris,,104-94,,
3:21.0,Turnover by M. Morris (bad pass; steal by R. Stuckey),,104-94,,
3:17.0,,,104-94,,R. Stuckey misses 2-pt shot from 1 ft (block by J. Wall)
3:17.0,Defensive rebound by M. Morris,,104-94,,
2:58.0,,,104-94,,Indiana full timeout
2:58.0,,,104-94,,J. Teague enters the game for R. Stuckey
2:53.0,Turnover by Team (shot clock),,104-94,,
2:35.0,,,104-94,,P. George misses 2-pt shot from 2 ft
2:34.0,,,104-94,,Offensive rebound by M. Turner
2:34.0,,,104-94,,M. Turner misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by M. Morris,,104-94,,
2:15.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,106-94,,
1:49.0,,,106-96,2,P. George makes 2-pt shot from 5 ft
1:29.0,M. Morris makes 2-pt shot from 12 ft (assist by J. Wall),2,108-96,,
1:29.0,,,108-96,,Indiana full timeout
1:26.0,,,108-98,2,M. Ellis makes 2-pt shot at rim
1:08.0,J. Wall misses 2-pt shot from 18 ft,,108-98,,
1:06.0,,,108-98,,Defensive rebound by C. Miles
1:02.0,,,108-98,,Turnover by P. George (traveling)
0:47.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,111-98,,
0:47.0,,,111-98,,Indiana full timeout
0:47.0,K. Oubre enters the game for O. Porter,,111-98,,
0:47.0,T. Satoransky enters the game for M. Morris,,111-98,,
0:47.0,S. Mac enters the game for M. Gortat,,111-98,,
0:47.0,J. Smith enters the game for B. Beal,,111-98,,
0:47.0,T. Burke enters the game for J. Wall,,111-98,,
0:41.0,,,111-98,,P. George misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by Team,,111-98,,
0:19.0,J. Smith misses 2-pt shot from 20 ft,,111-98,,
0:19.0,,,111-98,,Defensive rebound by J. Teague
0:15.0,,,111-98,,C. Miles misses 2-pt shot at rim
0:14.0,Defensive rebound by T. Burke,,111-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
