time,Boston,pts.away,score,pts.home,Memphis
2:29.0,,,15-16,1,T. Daniels makes free throw 1 of 2
2:29.0,,,15-17,1,T. Daniels makes free throw 2 of 2
2:29.0,A. Johnson enters the game for A. Horford,,15-16,,
2:04.0,J. Brown misses 3-pt shot from 25 ft,,15-17,,
2:02.0,Offensive rebound by A. Johnson,,15-17,,
1:58.0,M. Smart misses 3-pt shot from 25 ft,,15-17,,
1:57.0,,,15-17,,Defensive rebound by Z. Randolph
1:37.0,,,15-20,3,T. Daniels makes 3-pt shot from 26 ft (assist by Z. Randolph)
1:15.0,J. Brown misses 3-pt shot from 25 ft,,15-20,,
1:14.0,,,15-20,,Defensive rebound by J. Green
0:57.0,,,15-20,,A. Harrison misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by A. Bradley,,15-20,,
0:37.0,J. Brown misses 2-pt shot from 3 ft (block by V. Carter),,15-20,,
0:35.0,,,15-20,,Defensive rebound by A. Harrison
0:24.0,,,15-22,2,Z. Randolph makes 2-pt shot from 22 ft (assist by A. Harrison)
0:02.0,Turnover by M. Smart (bad pass; steal by V. Carter),,15-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,15-22,,Z. Randolph misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by J. Brown,,15-22,,
11:13.0,K. Olynyk misses 2-pt shot from 13 ft,,15-22,,
11:09.0,,,15-22,,Defensive rebound by Z. Randolph
11:01.0,,,15-22,,Turnover by J. Martin (bad pass; steal by K. Olynyk)
10:37.0,J. Brown misses 2-pt shot from 4 ft,,15-22,,
10:36.0,Offensive rebound by Team,,15-22,,
10:36.0,Turnover by Team (shot clock),,15-22,,
10:23.0,,,15-22,,Offensive foul by J. Martin
10:23.0,,,15-22,,Turnover by J. Martin (offensive foul)
10:23.0,G. Green enters the game for J. Brown,,15-22,,
10:11.0,M. Smart misses 3-pt shot from 25 ft,,15-22,,
10:10.0,,,15-22,,Defensive rebound by J. Martin
9:55.0,,,15-22,,J. Martin misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by K. Olynyk,,15-22,,
9:41.0,A. Johnson misses 3-pt shot from 23 ft,,15-22,,
9:39.0,Offensive rebound by G. Green,,15-22,,
9:36.0,G. Green misses 2-pt shot from 6 ft,,15-22,,
9:35.0,,,15-22,,Defensive rebound by J. Martin
9:22.0,,,15-24,2,T. Daniels makes 2-pt shot from 21 ft
9:06.0,Turnover by G. Green (bad pass; steal by A. Harrison),,15-24,,
9:01.0,,,15-24,,T. Daniels misses 2-pt shot from 2 ft
8:59.0,,,15-24,,Offensive rebound by T. Allen
8:56.0,,,15-26,2,T. Allen makes 2-pt shot from 6 ft
8:56.0,Boston full timeout,,15-26,,
8:46.0,K. Olynyk makes 2-pt shot from 4 ft,2,17-26,,
8:30.0,,,17-29,3,T. Daniels makes 3-pt shot from 25 ft (assist by Z. Randolph)
8:22.0,G. Green makes 3-pt shot from 25 ft (assist by T. Rozier),3,20-29,,
8:04.0,,,20-29,,Shooting foul by A. Johnson (drawn by T. Daniels)
8:04.0,,,20-30,1,T. Daniels makes free throw 1 of 2
8:04.0,,,20-31,1,T. Daniels makes free throw 2 of 2
8:04.0,J. Crowder enters the game for M. Smart,,20-30,,
7:51.0,G. Green misses 3-pt shot from 25 ft,,20-31,,
7:50.0,,,20-31,,Defensive rebound by J. Martin
7:31.0,,,20-31,,Z. Randolph misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by Team,,20-31,,
7:31.0,,,20-31,,Loose ball foul by J. Martin (drawn by K. Olynyk)
7:14.0,T. Rozier misses 2-pt shot from 21 ft,,20-31,,
7:12.0,,,20-31,,Defensive rebound by J. Martin
6:56.0,Personal foul by A. Johnson (drawn by Z. Randolph),,20-31,,
6:56.0,I. Thomas enters the game for T. Rozier,,20-31,,
6:56.0,,,20-31,,M. Conley enters the game for T. Daniels
6:56.0,A. Horford enters the game for A. Johnson,,20-31,,
6:48.0,,,20-31,,A. Harrison misses 2-pt shot from 10 ft (block by K. Olynyk)
6:48.0,,,20-31,,Offensive rebound by Team
6:45.0,,,20-31,,Z. Randolph misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by G. Green,,20-31,,
6:35.0,K. Olynyk misses 2-pt shot from 3 ft (block by T. Allen),,20-31,,
6:35.0,,,20-31,,Defensive rebound by Team
6:16.0,,,20-31,,Z. Randolph misses 2-pt shot from 6 ft
6:13.0,,,20-31,,Offensive rebound by T. Allen
6:13.0,,,20-33,2,T. Allen makes 2-pt shot from 2 ft
6:02.0,,,20-33,,Personal foul by T. Allen (drawn by I. Thomas)
5:56.0,A. Horford misses 3-pt shot from 25 ft,,20-33,,
5:55.0,,,20-33,,Defensive rebound by M. Conley
5:51.0,,,20-33,,Z. Randolph misses 2-pt shot from 1 ft
5:49.0,,,20-33,,Offensive rebound by Z. Randolph
5:49.0,,,20-33,,Z. Randolph misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by J. Crowder,,20-33,,
5:48.0,,,20-33,,Personal foul by Z. Randolph (drawn by J. Crowder)
5:48.0,Boston full timeout,,20-33,,
5:48.0,,,20-33,,M. Gasol enters the game for A. Harrison
5:48.0,,,20-33,,J. Ennis enters the game for Z. Randolph
5:48.0,,,20-33,,J. Green enters the game for J. Martin
5:35.0,G. Green misses 2-pt shot from 2 ft,,20-33,,
5:33.0,,,20-33,,Defensive rebound by M. Conley
5:10.0,,,20-33,,J. Green misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by A. Horford,,20-33,,
4:56.0,G. Green makes 2-pt shot at rim (assist by A. Horford),2,22-33,,
4:37.0,,,22-33,,M. Gasol misses 2-pt shot from 2 ft (block by K. Olynyk)
4:37.0,,,22-33,,Offensive rebound by M. Gasol
4:37.0,,,22-35,2,M. Gasol makes 2-pt shot from 2 ft
4:37.0,,,22-35,,Shooting foul by J. Crowder (drawn by M. Gasol)
4:37.0,,,22-36,1,M. Gasol makes free throw 1 of 1
4:37.0,A. Bradley enters the game for K. Olynyk,,22-35,,
4:25.0,A. Horford misses 3-pt shot from 25 ft,,22-36,,
4:24.0,,,22-36,,Defensive rebound by J. Green
4:15.0,,,22-39,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
4:01.0,,,22-39,,Personal foul by J. Ennis (drawn by A. Bradley)
3:47.0,G. Green misses 3-pt shot from 26 ft,,22-39,,
3:47.0,,,22-39,,Defensive rebound by M. Gasol
3:40.0,Personal foul by A. Bradley (drawn by M. Gasol),,22-39,,
3:21.0,,,22-39,,M. Conley misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by G. Green,,22-39,,
3:07.0,Shooting foul by J. Green (drawn by J. Crowder),,22-39,,
3:07.0,J. Crowder makes free throw 1 of 2,1,23-39,,
3:07.0,J. Crowder makes free throw 2 of 2,1,24-39,,
3:07.0,M. Smart enters the game for G. Green,,23-39,,
3:07.0,,,23-39,,T. Daniels enters the game for T. Allen
2:48.0,,,24-39,,M. Gasol misses 2-pt shot from 8 ft
2:45.0,Defensive rebound by A. Horford,,24-39,,
2:35.0,I. Thomas makes 2-pt shot from 17 ft (assist by A. Horford),2,26-39,,
2:33.0,,,26-39,,Memphis full timeout
2:10.0,,,26-39,,M. Gasol misses 2-pt shot from 6 ft
2:08.0,Defensive rebound by I. Thomas,,26-39,,
2:03.0,,,26-39,,Personal foul by M. Gasol (drawn by A. Bradley)
2:03.0,A. Bradley misses free throw 1 of 2,,26-39,,
2:03.0,Offensive rebound by Team,,26-39,,
2:03.0,A. Bradley makes free throw 2 of 2,1,27-39,,
1:55.0,,,27-41,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
1:36.0,Turnover by A. Horford (lost ball; steal by J. Green),,27-41,,
1:33.0,,,27-41,,Turnover by J. Green (bad pass; steal by A. Bradley)
1:27.0,I. Thomas misses 3-pt shot from 25 ft,,27-41,,
1:25.0,,,27-41,,Defensive rebound by J. Green
1:15.0,,,27-41,,M. Gasol misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by I. Thomas,,27-41,,
1:08.0,I. Thomas misses 2-pt shot from 2 ft,,27-41,,
1:05.0,Offensive rebound by M. Smart,,27-41,,
1:05.0,M. Smart misses 2-pt shot from 1 ft,,27-41,,
1:02.0,,,27-41,,Defensive rebound by J. Green
1:01.0,,,27-43,2,J. Ennis makes 2-pt shot at rim (assist by J. Green)
0:44.0,A. Horford makes 2-pt shot from 16 ft (assist by I. Thomas),2,29-43,,
0:33.0,Jump ball: M. Gasol vs. A. Horford (I. Thomas gains possession),,,,Jump ball: M. Gasol vs. A. Horford (I. Thomas gains possession)
0:33.0,,,29-43,,Turnover by M. Conley (bad pass)
0:28.0,I. Thomas makes 2-pt shot from 3 ft,2,31-43,,
0:25.0,,,31-43,,Memphis full timeout
0:06.0,,,31-45,2,M. Conley makes 2-pt shot from 17 ft
0:06.0,Boston full timeout,,31-45,,
0:06.0,,,31-45,,J. Martin enters the game for M. Gasol
0:06.0,,,31-45,,T. Allen enters the game for T. Daniels
0:06.0,T. Rozier enters the game for M. Smart,,31-45,,
0:00.0,T. Rozier misses 3-pt shot from 27 ft,,31-45,,
0:00.0,Offensive rebound by Team,,31-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,31-47,2,J. Ennis makes 2-pt shot from 3 ft
11:35.0,,,31-47,,Shooting foul by A. Bradley (drawn by J. Ennis)
11:35.0,,,31-48,1,J. Ennis makes free throw 1 of 1
11:26.0,Shooting foul by J. Ennis (drawn by I. Thomas),,31-48,,
11:26.0,I. Thomas makes free throw 1 of 2,1,32-48,,
11:26.0,I. Thomas makes free throw 2 of 2,1,33-48,,
11:13.0,,,33-48,,M. Conley misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by A. Horford,,33-48,,
11:02.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Bradley),3,36-48,,
10:46.0,,,36-50,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
10:30.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,39-50,,
10:13.0,,,39-50,,Turnover by M. Gasol (bad pass; steal by I. Thomas)
10:08.0,,,39-50,,Personal take foul by T. Allen (drawn by A. Bradley)
10:02.0,I. Thomas makes 3-pt shot from 25 ft,3,42-50,,
10:01.0,,,42-50,,Memphis full timeout
9:45.0,,,42-50,,Shooting foul by J. Crowder (drawn by M. Conley)
9:45.0,,,42-50,,M. Conley misses free throw 1 of 2
9:45.0,,,42-50,,Offensive rebound by Team
9:45.0,,,42-51,1,M. Conley makes free throw 2 of 2
9:23.0,I. Thomas misses 3-pt shot from 25 ft,,42-51,,
9:22.0,,,42-51,,Defensive rebound by J. Green
9:09.0,Personal foul by A. Horford (drawn by M. Gasol),,42-51,,
9:01.0,,,42-54,3,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley)
8:45.0,A. Horford misses 3-pt shot from 25 ft,,42-54,,
8:44.0,,,42-54,,Defensive rebound by T. Allen
8:27.0,,,42-54,,Shooting foul by A. Johnson (drawn by M. Gasol)
8:27.0,,,42-55,1,M. Gasol makes free throw 1 of 2
8:27.0,,,42-56,1,M. Gasol makes free throw 2 of 2
8:27.0,K. Olynyk enters the game for A. Johnson,,42-55,,
8:10.0,A. Horford makes 2-pt shot from 2 ft,2,44-56,,
8:10.0,Shooting foul by J. Green (drawn by A. Horford),,44-56,,
8:10.0,A. Horford misses free throw 1 of 1,,44-56,,
8:09.0,,,44-56,,Defensive rebound by T. Allen
7:56.0,,,44-56,,Turnover by M. Conley (bad pass; steal by I. Thomas)
7:56.0,,,44-56,,Loose ball foul by M. Gasol (drawn by I. Thomas)
7:43.0,Turnover by A. Horford (bad pass; steal by M. Conley),,44-56,,
7:39.0,,,44-56,,T. Allen misses 2-pt shot from 2 ft (block by I. Thomas)
7:39.0,,,44-56,,Offensive rebound by Team
7:26.0,,,44-58,2,M. Gasol makes 2-pt shot from 22 ft (assist by M. Conley)
6:58.0,A. Horford misses 3-pt shot from 24 ft,,44-58,,
6:56.0,,,44-58,,Defensive rebound by M. Conley
6:43.0,,,44-58,,Turnover by M. Conley (lost ball; steal by K. Olynyk)
6:39.0,Turnover by K. Olynyk (bad pass; steal by J. Green),,44-58,,
6:32.0,,,44-61,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
6:23.0,,,44-61,,Personal foul by M. Conley (drawn by I. Thomas)
6:23.0,I. Thomas makes free throw 1 of 2,1,45-61,,
6:23.0,I. Thomas makes free throw 2 of 2,1,46-61,,
6:23.0,,,45-61,,V. Carter enters the game for J. Ennis
6:03.0,,,46-61,,J. Green misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Crowder,,46-61,,
5:50.0,J. Crowder misses 3-pt shot from 25 ft,,46-61,,
5:48.0,Offensive rebound by K. Olynyk,,46-61,,
5:48.0,K. Olynyk misses 2-pt shot from 2 ft,,46-61,,
5:46.0,,,46-61,,Defensive rebound by M. Gasol
5:42.0,,,46-61,,Turnover by V. Carter (bad pass; steal by K. Olynyk)
5:38.0,Turnover by K. Olynyk (bad pass; steal by M. Conley),,46-61,,
5:33.0,,,46-63,2,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter)
5:33.0,Boston full timeout,,46-63,,
5:33.0,,,46-63,,A. Harrison enters the game for M. Conley
5:20.0,,,46-63,,Personal foul by A. Harrison (drawn by I. Thomas)
5:20.0,I. Thomas makes free throw 1 of 2,1,47-63,,
5:20.0,I. Thomas makes free throw 2 of 2,1,48-63,,
5:02.0,,,48-63,,M. Gasol misses 2-pt shot from 23 ft
5:00.0,Defensive rebound by I. Thomas,,48-63,,
4:52.0,A. Horford makes 2-pt shot from 14 ft (assist by J. Crowder),2,50-63,,
4:24.0,,,50-63,,A. Harrison misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by A. Bradley,,50-63,,
4:15.0,A. Bradley makes 3-pt shot from 25 ft,3,53-63,,
4:08.0,,,53-63,,Memphis full timeout
4:08.0,,,53-63,,Z. Randolph enters the game for M. Gasol
4:08.0,,,53-63,,T. Daniels enters the game for T. Allen
4:08.0,M. Smart enters the game for I. Thomas,,53-63,,
3:49.0,,,53-63,,Z. Randolph misses 3-pt shot from 28 ft
3:47.0,Defensive rebound by J. Crowder,,53-63,,
3:32.0,A. Horford makes 3-pt shot from 25 ft (assist by A. Bradley),3,56-63,,
3:07.0,,,56-63,,Shooting foul by M. Smart (drawn by J. Green)
3:07.0,,,56-63,,J. Green misses free throw 1 of 2
3:07.0,,,56-63,,Offensive rebound by Team
3:07.0,,,56-64,1,J. Green makes free throw 2 of 2
2:48.0,J. Crowder makes 2-pt shot from 21 ft (assist by A. Horford),2,58-64,,
2:25.0,,,58-64,,V. Carter misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by A. Horford,,58-64,,
2:09.0,K. Olynyk misses 3-pt shot from 23 ft,,58-64,,
2:05.0,Offensive rebound by A. Horford,,58-64,,
1:59.0,Shooting foul by J. Green (drawn by K. Olynyk),,58-64,,
1:59.0,K. Olynyk makes free throw 1 of 2,1,59-64,,
1:59.0,K. Olynyk makes free throw 2 of 2,1,60-64,,
1:59.0,A. Johnson enters the game for A. Horford,,59-64,,
1:59.0,,,59-64,,J. Martin enters the game for J. Green
1:44.0,,,60-64,,Shooting foul by M. Smart (drawn by A. Harrison)
1:44.0,,,60-65,1,A. Harrison makes free throw 1 of 2
1:44.0,,,60-66,1,A. Harrison makes free throw 2 of 2
1:35.0,Shooting foul by V. Carter (drawn by J. Crowder),,60-66,,
1:35.0,J. Crowder makes free throw 1 of 2,1,61-66,,
1:35.0,J. Crowder makes free throw 2 of 2,1,62-66,,
1:35.0,T. Rozier enters the game for A. Bradley,,61-66,,
1:18.0,,,62-68,2,Z. Randolph makes 2-pt shot from 5 ft
1:05.0,Turnover by M. Smart (bad pass; steal by T. Daniels),,62-68,,
0:56.0,,,62-68,,Z. Randolph misses 2-pt shot from 14 ft
0:56.0,Defensive rebound by M. Smart,,62-68,,
0:49.0,T. Rozier misses 2-pt shot from 13 ft,,62-68,,
0:45.0,,,62-68,,Defensive rebound by J. Martin
0:35.0,,,62-68,,J. Martin misses 2-pt shot from 20 ft
0:34.0,Defensive rebound by T. Rozier,,62-68,,
0:26.0,T. Rozier misses 2-pt shot from 5 ft,,62-68,,
0:23.0,,,62-68,,Defensive rebound by J. Martin
0:12.0,,,62-71,3,V. Carter makes 3-pt shot from 24 ft (assist by A. Harrison)
0:01.0,J. Crowder misses 3-pt shot from 23 ft,,62-71,,
0:00.0,,,62-71,,Defensive rebound by V. Carter
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart),3,65-71,,
11:26.0,,,65-74,3,V. Carter makes 3-pt shot from 23 ft (assist by A. Harrison)
11:08.0,I. Thomas misses 2-pt shot from 6 ft (block by Z. Randolph),,65-74,,
11:08.0,,,65-74,,Defensive rebound by Team
10:53.0,,,65-74,,T. Daniels misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by Team,,65-74,,
10:42.0,Shooting foul by A. Harrison (drawn by I. Thomas),,65-74,,
10:42.0,I. Thomas makes free throw 1 of 3,1,66-74,,
10:42.0,I. Thomas makes free throw 2 of 3,1,67-74,,
10:42.0,I. Thomas makes free throw 3 of 3,1,68-74,,
10:22.0,,,68-74,,V. Carter misses 3-pt shot from 25 ft
10:21.0,,,68-74,,Offensive rebound by J. Martin
10:18.0,,,68-76,2,J. Martin makes 2-pt shot from 1 ft
10:03.0,I. Thomas makes 3-pt shot from 25 ft,3,71-76,,
9:37.0,,,71-76,,Z. Randolph misses 2-pt shot from 20 ft
9:37.0,Defensive rebound by Team,,71-76,,
9:37.0,,,71-76,,Loose ball foul by J. Martin (drawn by J. Jerebko)
9:37.0,,,71-76,,T. Allen enters the game for V. Carter
9:28.0,,,71-76,,Personal foul by J. Martin (drawn by A. Johnson)
9:20.0,A. Johnson makes 2-pt shot from 3 ft (assist by I. Thomas),2,73-76,,
9:13.0,,,73-76,,Memphis full timeout
9:13.0,,,73-76,,M. Conley enters the game for A. Harrison
9:13.0,,,73-76,,M. Gasol enters the game for Z. Randolph
8:56.0,,,73-78,2,T. Daniels makes 2-pt shot from 23 ft
8:46.0,Turnover by I. Thomas (lost ball; steal by M. Gasol),,73-78,,
8:42.0,,,73-78,,Turnover by T. Daniels (lost ball; steal by M. Smart)
8:37.0,J. Brown makes 2-pt shot from 2 ft,2,75-78,,
8:22.0,,,75-78,,M. Conley misses 2-pt shot from 17 ft
8:20.0,,,75-78,,Offensive rebound by J. Martin
8:20.0,,,75-78,,Turnover by J. Martin (bad pass)
8:20.0,Boston full timeout,,75-78,,
8:20.0,A. Horford enters the game for A. Johnson,,75-78,,
8:00.0,J. Brown misses 3-pt shot from 25 ft,,75-78,,
7:58.0,Offensive rebound by J. Jerebko,,75-78,,
7:52.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart),3,78-78,,
7:28.0,,,78-80,2,M. Conley makes 2-pt shot from 18 ft (assist by M. Gasol)
7:02.0,A. Horford misses 3-pt shot from 23 ft,,78-80,,
6:59.0,,,78-80,,Defensive rebound by T. Daniels
6:37.0,,,78-83,3,M. Conley makes 3-pt shot from 28 ft (assist by M. Gasol)
6:23.0,,,78-83,,Personal foul by T. Daniels (drawn by M. Smart)
6:23.0,A. Bradley enters the game for M. Smart,,78-83,,
6:15.0,I. Thomas misses 2-pt shot from 5 ft,,78-83,,
6:13.0,,,78-83,,Defensive rebound by M. Gasol
6:05.0,,,78-83,,Shooting foul by J. Jerebko (drawn by M. Conley)
6:05.0,,,78-84,1,M. Conley makes free throw 1 of 2
6:05.0,Violation by J. Crowder (lane),,78-84,,
6:05.0,,,78-85,1,M. Conley makes free throw 2 of 2
6:05.0,J. Crowder enters the game for J. Brown,,78-84,,
6:05.0,M. Smart enters the game for I. Thomas,,78-84,,
6:00.0,Boston full timeout,,78-85,,
6:00.0,K. Olynyk enters the game for J. Jerebko,,78-85,,
6:00.0,,,78-85,,J. Green enters the game for J. Martin
5:51.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,81-85,,
5:26.0,,,81-85,,M. Gasol misses 2-pt shot from 21 ft
5:24.0,Defensive rebound by J. Crowder,,81-85,,
5:12.0,J. Crowder misses 2-pt shot from 19 ft,,81-85,,
5:11.0,,,81-85,,Defensive rebound by M. Conley
4:55.0,,,81-85,,M. Gasol misses 2-pt shot from 8 ft
4:54.0,Defensive rebound by K. Olynyk,,81-85,,
4:41.0,A. Bradley makes 2-pt shot from 3 ft,2,83-85,,
4:41.0,Shooting foul by M. Gasol (drawn by A. Bradley),,83-85,,
4:41.0,A. Bradley makes free throw 1 of 1,1,84-85,,
4:41.0,I. Thomas enters the game for M. Smart,,83-85,,
4:22.0,,,84-85,,J. Green misses 2-pt shot from 1 ft (block by A. Horford)
4:20.0,Defensive rebound by A. Horford,,84-85,,
4:17.0,A. Bradley makes 2-pt shot from 2 ft,2,86-85,,
4:02.0,,,86-85,,M. Conley misses 2-pt shot from 3 ft (block by A. Bradley)
4:01.0,,,86-85,,Offensive rebound by M. Conley
3:58.0,,,86-87,2,T. Daniels makes 2-pt shot from 19 ft (assist by M. Conley)
3:42.0,,,86-87,,Personal foul by J. Green (drawn by K. Olynyk)
3:42.0,K. Olynyk makes free throw 1 of 2,1,87-87,,
3:42.0,K. Olynyk makes free throw 2 of 2,1,88-87,,
3:20.0,,,88-87,,M. Conley misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by A. Horford,,88-87,,
