time,Milwaukee,pts.away,score,pts.home,Boston
3:59.0,,,16-17,,Defensive rebound by T. Zeller
3:53.0,,,16-17,,J. Brown enters the game for A. Bradley
3:53.0,Jump ball: G. Antetokounmpo vs. I. Thomas (M. Teletovic gains possession),,,,Jump ball: G. Antetokounmpo vs. I. Thomas (M. Teletovic gains possession)
3:53.0,,,16-17,,Turnover by I. Thomas (lost ball; steal by G. Antetokounmpo)
3:37.0,G. Monroe misses 2-pt shot from 19 ft,,16-17,,
3:36.0,,,16-17,,Defensive rebound by I. Thomas
3:30.0,,,16-17,,I. Thomas misses 2-pt shot at rim
3:29.0,,,16-17,,Offensive rebound by T. Zeller
3:28.0,,,16-19,2,T. Zeller makes 2-pt shot from 1 ft
3:15.0,Shooting foul by M. Smart (drawn by G. Monroe),,16-19,,
3:15.0,G. Monroe makes free throw 1 of 2,1,17-19,,
3:15.0,G. Monroe makes free throw 2 of 2,1,18-19,,
3:01.0,,,18-22,3,I. Thomas makes 3-pt shot from 25 ft (assist by T. Zeller)
2:43.0,,,18-22,,Personal block foul by T. Zeller (drawn by G. Antetokounmpo)
2:28.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,20-22,,
2:17.0,,,20-22,,Shooting foul by M. Dellavedova (drawn by J. Crowder)
2:17.0,,,20-22,,Technical foul by I. Thomas
2:17.0,M. Dellavedova makes technical free throw,1,21-22,,
2:17.0,,,21-23,1,J. Crowder makes free throw 1 of 2
2:17.0,,,21-24,1,J. Crowder makes free throw 2 of 2
2:17.0,,,21-23,,K. Olynyk enters the game for I. Thomas
2:01.0,M. Teletovic misses 3-pt shot from 26 ft,,21-24,,
1:58.0,,,21-24,,Defensive rebound by Team
1:38.0,,,21-24,,J. Crowder misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by G. Antetokounmpo,,21-24,,
1:28.0,,,21-24,,Personal foul by T. Zeller (drawn by G. Monroe)
1:28.0,,,21-24,,A. Horford enters the game for T. Zeller
1:16.0,M. Dellavedova misses 3-pt shot from 25 ft,,21-24,,
1:15.0,,,21-24,,Defensive rebound by J. Crowder
1:04.0,,,21-24,,Turnover by J. Crowder (bad pass; steal by G. Antetokounmpo)
0:52.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,24-24,,
0:32.0,,,24-24,,M. Smart misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by G. Monroe,,24-24,,
0:07.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,24-24,,
0:06.0,,,24-24,,Defensive rebound by J. Brown
0:00.0,,,24-24,,M. Smart misses 3-pt shot from 31 ft
0:00.0,,,24-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,M. Dellavedova misses 2-pt shot from 22 ft,,24-24,,
11:35.0,,,24-24,,Defensive rebound by M. Smart
11:13.0,,,24-24,,A. Horford misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by M. Dellavedova,,24-24,,
11:04.0,M. Teletovic misses 3-pt shot from 27 ft,,24-24,,
11:03.0,,,24-24,,Defensive rebound by M. Smart
10:55.0,,,24-24,,A. Horford misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by G. Monroe,,24-24,,
10:41.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,27-24,,
10:21.0,,,27-24,,J. Young misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by K. Middleton,,27-24,,
10:06.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe),2,29-24,,
9:55.0,,,29-24,,K. Olynyk misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by Team,,29-24,,
9:41.0,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,32-24,,
9:41.0,,,32-24,,Boston full timeout
9:41.0,,,32-24,,A. Bradley enters the game for K. Olynyk
9:30.0,,,32-24,,Turnover by A. Bradley (bad pass; steal by G. Monroe)
9:19.0,,,32-24,,Violation by A. Horford (kicked ball)
9:16.0,Turnover by G. Monroe (bad pass; steal by A. Horford),,32-24,,
9:14.0,Personal foul by J. Terry (drawn by J. Young),,32-24,,
9:03.0,,,32-24,,A. Horford misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by K. Middleton,,32-24,,
8:52.0,M. Teletovic makes 2-pt shot from 2 ft (assist by K. Middleton),2,34-24,,
8:42.0,,,34-24,,M. Smart misses 2-pt shot from 6 ft
8:41.0,Defensive rebound by M. Teletovic,,34-24,,
8:29.0,Turnover by G. Monroe (traveling),,34-24,,
8:29.0,,,34-24,,I. Thomas enters the game for M. Smart
8:19.0,Personal foul by M. Dellavedova (drawn by I. Thomas),,34-24,,
8:19.0,S. Hawes enters the game for G. Monroe,,34-24,,
8:19.0,M. Brogdon enters the game for M. Dellavedova,,34-24,,
8:19.0,,,34-24,,J. Jerebko enters the game for J. Brown
8:11.0,,,34-27,3,J. Young makes 3-pt shot from 23 ft (assist by A. Horford)
7:52.0,S. Hawes makes 2-pt shot from 18 ft (assist by M. Brogdon),2,36-27,,
7:42.0,,,36-27,,Shooting foul by M. Teletovic (drawn by I. Thomas)
7:42.0,,,36-28,1,I. Thomas makes free throw 1 of 2
7:42.0,,,36-29,1,I. Thomas makes free throw 2 of 2
7:42.0,,,36-28,,A. Johnson enters the game for A. Horford
7:24.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,39-29,,
7:09.0,,,39-29,,Turnover by J. Jerebko (bad pass; steal by M. Brogdon)
7:06.0,Shooting foul by I. Thomas (drawn by M. Brogdon),,39-29,,
7:06.0,M. Brogdon makes free throw 1 of 2,1,40-29,,
7:06.0,M. Brogdon makes free throw 2 of 2,1,41-29,,
7:06.0,,,40-29,,J. Crowder enters the game for J. Young
7:00.0,Personal foul by S. Hawes (drawn by I. Thomas),,41-29,,
6:50.0,,,41-31,2,A. Johnson makes 2-pt shot from 8 ft (assist by I. Thomas)
6:33.0,J. Terry makes 2-pt shot from 12 ft (assist by M. Teletovic),2,43-31,,
6:22.0,,,43-31,,I. Thomas misses 2-pt shot from 3 ft (block by M. Brogdon)
6:22.0,,,43-31,,Offensive rebound by Team
6:21.0,,,43-33,2,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder)
6:02.0,S. Hawes makes 2-pt shot from 17 ft (assist by M. Brogdon),2,45-33,,
5:51.0,,,45-33,,A. Bradley misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by Team,,45-33,,
5:50.0,,,45-33,,Personal foul by A. Johnson (drawn by S. Hawes)
5:50.0,Official timeout,,45-33,,
5:35.0,M. Brogdon makes 2-pt shot from 1 ft,2,47-33,,
5:22.0,,,47-33,,Shooting foul by K. Middleton (drawn by J. Crowder)
5:22.0,,,47-33,,J. Crowder misses free throw 1 of 2
5:22.0,,,47-33,,Offensive rebound by Team
5:22.0,,,47-34,1,J. Crowder makes free throw 2 of 2
5:11.0,M. Brogdon misses 2-pt shot from 20 ft,,47-34,,
5:10.0,,,47-34,,Defensive rebound by I. Thomas
5:04.0,,,47-37,3,I. Thomas makes 3-pt shot from 26 ft
4:48.0,K. Middleton makes 2-pt shot from 10 ft (assist by S. Hawes),2,49-37,,
4:38.0,,,49-39,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
4:21.0,M. Brogdon misses 2-pt shot from 1 ft (block by A. Johnson),,49-39,,
4:20.0,,,49-39,,Defensive rebound by J. Jerebko
4:13.0,,,49-39,,Offensive foul by A. Johnson
4:13.0,,,49-39,,Turnover by A. Johnson (offensive foul)
4:13.0,G. Antetokounmpo enters the game for M. Teletovic,,49-39,,
4:13.0,T. Snell enters the game for J. Terry,,49-39,,
4:13.0,,,49-39,,M. Smart enters the game for J. Jerebko
3:55.0,Loose ball foul by K. Middleton (drawn by M. Smart),,49-39,,
3:55.0,Turnover by K. Middleton (offensive foul),,49-39,,
3:55.0,,,49-39,,Technical foul by M. Smart
3:55.0,K. Middleton misses technical free throw,,49-39,,
3:55.0,,,49-39,,Offensive rebound by Team
3:55.0,,,49-39,,M. Smart misses free throw 1 of 2
3:55.0,,,49-39,,Offensive rebound by Team
3:55.0,,,49-40,1,M. Smart makes free throw 2 of 2
3:55.0,J. Terry enters the game for K. Middleton,,49-39,,
3:55.0,,,49-39,,A. Horford enters the game for A. Johnson
3:32.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,49-40,,
3:31.0,,,49-40,,Defensive rebound by Team
3:19.0,,,49-40,,Turnover by I. Thomas (lost ball; steal by S. Hawes)
3:13.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,49-40,,
3:12.0,,,49-40,,Defensive rebound by M. Smart
3:06.0,,,49-40,,A. Bradley misses 3-pt shot from 27 ft
3:05.0,Defensive rebound by M. Brogdon,,49-40,,
2:54.0,S. Hawes misses 3-pt shot from 26 ft,,49-40,,
2:53.0,,,49-40,,Defensive rebound by A. Bradley
2:39.0,,,49-42,2,I. Thomas makes 2-pt shot from 13 ft (assist by A. Horford)
2:39.0,,,49-42,,Shooting foul by M. Brogdon (drawn by I. Thomas)
2:39.0,Milwaukee full timeout,,49-42,,
2:39.0,,,49-43,1,I. Thomas makes free throw 1 of 1
2:39.0,G. Monroe enters the game for S. Hawes,,49-42,,
2:21.0,Shooting foul by A. Horford (drawn by G. Monroe),,49-43,,
2:21.0,G. Monroe makes free throw 1 of 2,1,50-43,,
2:21.0,G. Monroe makes free throw 2 of 2,1,51-43,,
2:21.0,M. Dellavedova enters the game for M. Brogdon,,50-43,,
2:11.0,Personal foul by G. Monroe (drawn by I. Thomas),,51-43,,
2:11.0,,,51-44,1,I. Thomas makes free throw 1 of 2
2:11.0,,,51-45,1,I. Thomas makes free throw 2 of 2
1:47.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,51-45,,
1:46.0,,,51-45,,Defensive rebound by M. Smart
1:43.0,,,51-45,,Turnover by M. Smart (bad pass)
1:34.0,Turnover by M. Dellavedova (bad pass; steal by M. Smart),,51-45,,
1:29.0,,,51-47,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
1:05.0,Turnover by J. Terry (bad pass),,51-47,,
1:00.0,,,51-47,,A. Bradley misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by J. Terry,,51-47,,
0:54.0,G. Monroe misses 2-pt shot from 8 ft,,51-47,,
0:53.0,Offensive rebound by G. Antetokounmpo,,51-47,,
0:53.0,G. Antetokounmpo makes 2-pt shot at rim,2,53-47,,
0:34.0,,,53-47,,Offensive foul by J. Crowder
0:34.0,,,53-47,,Turnover by J. Crowder (offensive foul)
0:14.0,Turnover by G. Monroe (lost ball; steal by I. Thomas),,53-47,,
0:09.0,,,53-49,2,I. Thomas makes 2-pt shot from 2 ft
0:04.0,T. Snell misses 3-pt shot from 25 ft,,53-49,,
0:02.0,Offensive rebound by G. Antetokounmpo,,53-49,,
0:01.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,55-49,,
0:01.0,,,55-49,,M. Smart misses 3-pt shot from 82 ft
0:00.0,,,55-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,55-49,,Personal foul by A. Horford (drawn by G. Antetokounmpo)
11:36.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,55-49,,
11:35.0,,,55-49,,Defensive rebound by I. Thomas
11:14.0,,,55-51,2,A. Horford makes 2-pt shot from 6 ft
10:58.0,M. Brogdon makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,57-51,,
10:32.0,,,57-51,,J. Crowder misses 3-pt shot from 22 ft
10:31.0,Defensive rebound by G. Antetokounmpo,,57-51,,
10:19.0,M. Brogdon makes 2-pt shot from 1 ft (assist by K. Middleton),2,59-51,,
10:19.0,,,59-51,,Boston full timeout
10:06.0,,,59-53,2,A. Johnson makes 2-pt shot from 9 ft (assist by A. Horford)
9:46.0,T. Snell misses 3-pt shot from 26 ft,,59-53,,
9:45.0,,,59-53,,Defensive rebound by A. Bradley
9:33.0,,,59-56,3,A. Horford makes 3-pt shot from 23 ft (assist by A. Bradley)
9:17.0,M. Brogdon makes 2-pt shot from 1 ft,2,61-56,,
9:00.0,,,61-56,,A. Bradley misses 2-pt shot from 2 ft (block by T. Maker)
8:59.0,,,61-56,,Offensive rebound by A. Bradley
8:58.0,,,61-56,,A. Bradley misses 2-pt shot from 1 ft (block by T. Maker)
8:56.0,,,61-56,,Offensive rebound by A. Bradley
8:54.0,,,61-56,,J. Crowder misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by K. Middleton,,61-56,,
8:45.0,Turnover by G. Antetokounmpo (lost ball),,61-56,,
8:34.0,,,61-58,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
8:34.0,,,61-58,,Shooting foul by T. Maker (drawn by J. Crowder)
8:34.0,,,61-59,1,J. Crowder makes free throw 1 of 1
8:09.0,T. Snell misses 2-pt shot from 6 ft,,61-59,,
8:08.0,Offensive rebound by T. Maker,,61-59,,
8:07.0,T. Maker makes 2-pt shot from 1 ft,2,63-59,,
7:44.0,,,63-59,,J. Crowder misses 2-pt shot from 2 ft (block by K. Middleton)
7:44.0,,,63-59,,Offensive rebound by Team
7:40.0,,,63-59,,A. Bradley misses 2-pt shot from 22 ft
7:38.0,,,63-59,,Offensive rebound by A. Bradley
7:35.0,,,63-59,,I. Thomas misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by T. Maker,,63-59,,
7:24.0,Turnover by K. Middleton (bad pass; steal by A. Bradley),,63-59,,
7:16.0,,,63-59,,A. Johnson misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by G. Antetokounmpo,,63-59,,
6:56.0,T. Maker makes 2-pt shot from 2 ft,2,65-59,,
6:27.0,,,65-62,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
6:06.0,K. Middleton makes 2-pt shot from 5 ft (assist by M. Brogdon),2,67-62,,
5:56.0,,,67-62,,J. Crowder misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by G. Antetokounmpo,,67-62,,
5:42.0,Shooting foul by A. Bradley (drawn by G. Antetokounmpo),,67-62,,
5:42.0,G. Antetokounmpo misses free throw 1 of 2,,67-62,,
5:42.0,Offensive rebound by Team,,67-62,,
5:42.0,G. Antetokounmpo makes free throw 2 of 2,1,68-62,,
5:42.0,J. Terry enters the game for K. Middleton,,67-62,,
5:42.0,,,67-62,,M. Smart enters the game for A. Horford
5:28.0,,,68-64,2,M. Smart makes 2-pt shot from 2 ft (assist by A. Johnson)
5:09.0,Turnover by T. Maker (bad pass; steal by I. Thomas),,68-64,,
5:03.0,,,68-67,3,I. Thomas makes 3-pt shot from 26 ft (assist by M. Smart)
4:41.0,Shooting foul by A. Bradley (drawn by G. Antetokounmpo),,68-67,,
4:41.0,G. Antetokounmpo makes free throw 1 of 2,1,69-67,,
4:41.0,G. Antetokounmpo makes free throw 2 of 2,1,70-67,,
4:41.0,G. Monroe enters the game for T. Maker,,69-67,,
4:41.0,M. Dellavedova enters the game for M. Brogdon,,69-67,,
4:27.0,,,70-69,2,A. Johnson makes 2-pt shot at rim
3:58.0,M. Dellavedova misses 2-pt shot from 7 ft,,70-69,,
3:57.0,,,70-69,,Defensive rebound by I. Thomas
3:53.0,,,70-69,,I. Thomas misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
3:52.0,,,70-69,,Offensive rebound by A. Johnson
3:51.0,,,70-69,,A. Johnson misses 2-pt shot from 5 ft
3:50.0,,,70-69,,Offensive rebound by A. Bradley
3:49.0,,,70-69,,Shooting foul by M. Dellavedova (drawn by A. Bradley)
3:49.0,,,70-69,,A. Bradley misses free throw 1 of 2
3:49.0,,,70-69,,Offensive rebound by Team
3:49.0,,,70-70,1,A. Bradley makes free throw 2 of 2
3:34.0,T. Snell misses 3-pt shot from 23 ft,,70-70,,
3:33.0,,,70-70,,Defensive rebound by M. Smart
3:26.0,,,70-70,,A. Bradley misses 3-pt shot from 26 ft
3:25.0,,,70-70,,Offensive rebound by M. Smart
3:23.0,,,70-70,,M. Smart misses 2-pt shot from 2 ft
3:22.0,,,70-70,,Offensive rebound by M. Smart
3:21.0,,,70-72,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
3:21.0,Milwaukee full timeout,,70-72,,
3:21.0,,,70-72,,J. Brown enters the game for A. Bradley
3:11.0,G. Antetokounmpo makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,72-72,,
2:58.0,Personal block foul by M. Dellavedova (drawn by I. Thomas),,72-72,,
2:48.0,,,72-72,,I. Thomas misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by G. Monroe,,72-72,,
2:38.0,,,72-72,,Personal foul by M. Smart (drawn by G. Monroe)
2:24.0,M. Dellavedova makes 2-pt shot from 10 ft,2,74-72,,
2:06.0,Personal foul by J. Terry (drawn by M. Smart),,74-72,,
2:06.0,,,74-72,,T. Rozier enters the game for I. Thomas
2:06.0,,,74-72,,A. Horford enters the game for A. Johnson
1:52.0,,,74-75,3,J. Brown makes 3-pt shot from 26 ft (assist by T. Rozier)
1:24.0,M. Dellavedova makes 2-pt shot from 2 ft (assist by G. Monroe),2,76-75,,
1:04.0,,,76-75,,Turnover by M. Smart (lost ball; steal by J. Terry)
1:03.0,,,76-75,,Personal foul by M. Smart (drawn by M. Dellavedova)
1:03.0,M. Dellavedova makes free throw 1 of 2,1,77-75,,
1:03.0,M. Dellavedova makes free throw 2 of 2,1,78-75,,
1:03.0,K. Middleton enters the game for G. Antetokounmpo,,77-75,,
0:50.0,,,78-75,,J. Brown misses 2-pt shot from 7 ft
0:49.0,,,78-75,,Offensive rebound by M. Smart
0:48.0,,,78-77,2,M. Smart makes 2-pt shot from 1 ft
0:35.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,80-77,,
0:20.0,,,80-77,,M. Smart misses 2-pt shot from 6 ft (block by J. Terry)
0:19.0,,,80-77,,Offensive rebound by Team
0:13.0,,,80-77,,Offensive charge foul by J. Crowder
0:13.0,,,80-77,,Turnover by J. Crowder (offensive foul)
0:01.0,K. Middleton misses 2-pt shot from 19 ft,,80-77,,
0:00.0,Offensive rebound by Team,,80-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,80-77,,T. Rozier misses 3-pt shot from 28 ft
11:39.0,Defensive rebound by G. Monroe,,80-77,,
11:23.0,K. Middleton makes 2-pt shot from 6 ft (assist by G. Monroe),2,82-77,,
11:08.0,,,82-80,3,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart)
10:44.0,G. Monroe misses 2-pt shot from 5 ft,,82-80,,
10:43.0,Offensive rebound by G. Monroe,,82-80,,
10:42.0,G. Monroe makes 2-pt shot from 1 ft,2,84-80,,
10:26.0,,,84-80,,M. Smart misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by M. Teletovic,,84-80,,
10:13.0,J. Terry makes 2-pt shot from 9 ft (assist by M. Dellavedova),2,86-80,,
9:50.0,,,86-80,,J. Brown misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by G. Monroe,,86-80,,
9:36.0,G. Monroe makes 2-pt shot from 6 ft,2,88-80,,
9:36.0,,,88-80,,Boston full timeout
9:36.0,,,88-80,,A. Bradley enters the game for J. Brown
9:36.0,,,88-80,,T. Zeller enters the game for K. Olynyk
9:15.0,,,88-80,,Offensive charge foul by M. Smart
9:15.0,,,88-80,,Turnover by M. Smart (offensive foul)
9:01.0,M. Teletovic misses 3-pt shot from 24 ft,,88-80,,
9:01.0,,,88-80,,Defensive rebound by A. Bradley
8:48.0,,,88-80,,T. Zeller misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by G. Monroe,,88-80,,
8:37.0,Turnover by M. Dellavedova (bad pass; steal by T. Rozier),,88-80,,
8:28.0,,,88-80,,T. Rozier misses 2-pt shot from 2 ft
8:28.0,,,88-80,,Offensive rebound by Team
8:28.0,Loose ball foul by M. Dellavedova (drawn by T. Zeller),,88-80,,
8:28.0,,,88-80,,I. Thomas enters the game for M. Smart
8:28.0,M. Brogdon enters the game for M. Dellavedova,,88-80,,
8:20.0,,,88-82,2,T. Zeller makes 2-pt shot from 1 ft (assist by A. Horford)
7:58.0,Turnover by K. Middleton (bad pass; steal by A. Bradley),,88-82,,
7:48.0,,,88-82,,T. Zeller misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by J. Terry,,88-82,,
7:30.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,90-82,,
7:02.0,,,90-84,2,T. Rozier makes 2-pt shot at rim (assist by A. Horford)
6:47.0,M. Teletovic misses 3-pt shot from 25 ft,,90-84,,
6:46.0,,,90-84,,Defensive rebound by T. Rozier
6:34.0,,,90-84,,T. Rozier misses 2-pt shot from 21 ft
6:33.0,Defensive rebound by K. Middleton,,90-84,,
6:16.0,K. Middleton misses 2-pt shot from 8 ft,,90-84,,
6:15.0,,,90-84,,Defensive rebound by A. Horford
6:10.0,,,90-86,2,T. Zeller makes 2-pt shot at rim (assist by A. Bradley)
6:10.0,,,90-86,,Shooting foul by M. Brogdon (drawn by T. Zeller)
6:10.0,,,90-87,1,T. Zeller makes free throw 1 of 1
6:10.0,,,90-86,,A. Johnson enters the game for A. Horford
6:10.0,G. Antetokounmpo enters the game for G. Monroe,,90-86,,
5:53.0,M. Brogdon misses 2-pt shot from 2 ft,,90-87,,
5:52.0,Offensive rebound by G. Antetokounmpo,,90-87,,
5:51.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,90-87,,
5:50.0,,,90-87,,Defensive rebound by A. Johnson
5:36.0,,,90-87,,T. Rozier misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by G. Antetokounmpo,,90-87,,
5:35.0,Milwaukee full timeout,,90-87,,
5:35.0,,,90-87,,J. Crowder enters the game for T. Zeller
5:35.0,,,90-87,,M. Smart enters the game for T. Rozier
5:35.0,T. Snell enters the game for J. Terry,,90-87,,
5:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,92-87,,
4:54.0,,,92-87,,M. Smart misses 2-pt shot from 1 ft
4:53.0,,,92-87,,Offensive rebound by M. Smart
4:51.0,,,92-87,,M. Smart misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
4:49.0,,,92-87,,Offensive rebound by I. Thomas
4:48.0,,,92-87,,I. Thomas misses 3-pt shot from 26 ft
4:47.0,,,92-87,,Offensive rebound by M. Smart
4:46.0,Personal foul by G. Antetokounmpo (drawn by M. Smart),,92-87,,
4:46.0,,,92-87,,Flagrant foul type 1 by M. Smart (drawn by G. Antetokounmpo)
4:46.0,,,92-87,,Turnover by M. Smart (offensive foul)
4:46.0,G. Antetokounmpo misses flagrant free throw 1 of 2,,92-87,,
4:46.0,Offensive rebound by Team,,92-87,,
4:46.0,G. Antetokounmpo makes flagrant free throw 2 of 2,1,93-87,,
4:32.0,Turnover by G. Antetokounmpo (traveling),,93-87,,
4:13.0,,,93-90,3,I. Thomas makes 3-pt shot from 26 ft
3:44.0,Turnover by Team (shot clock),,93-90,,
