time,Portland,pts.away,score,pts.home,Phoenix
3:03.0,,,24-16,,T. Warren misses 2-pt shot from 17 ft
3:01.0,,,24-16,,Offensive rebound by T. Warren
2:50.0,,,24-18,2,P. Tucker makes 2-pt shot from 8 ft
2:39.0,,,24-18,,Personal foul by B. Knight (drawn by D. Lillard)
2:39.0,Portland full timeout,,24-18,,
2:39.0,D. Lillard makes free throw 1 of 2,1,25-18,,
2:39.0,D. Lillard misses free throw 2 of 2,,25-18,,
2:39.0,,,24-18,,E. Bledsoe enters the game for T. Warren
2:39.0,,,24-18,,M. Chriss enters the game for D. Booker
2:39.0,E. Davis enters the game for A. Aminu,,25-18,,
2:38.0,,,25-18,,Defensive rebound by A. Len
2:19.0,,,25-18,,B. Knight misses 2-pt shot from 9 ft
2:19.0,,,25-18,,Offensive rebound by A. Len
2:19.0,,,25-18,,Shooting foul by M. Leonard (drawn by A. Len)
2:19.0,,,25-19,1,A. Len makes free throw 1 of 2
2:19.0,,,25-20,1,A. Len makes free throw 2 of 2
2:19.0,C. McCollum enters the game for D. Lillard,,25-19,,
1:54.0,A. Crabbe misses 2-pt shot from 20 ft,,25-20,,
1:52.0,,,25-20,,Defensive rebound by P. Tucker
1:48.0,,,25-22,2,E. Bledsoe makes 2-pt shot from 18 ft
1:27.0,C. McCollum misses 2-pt shot from 18 ft,,25-22,,
1:25.0,,,25-22,,Defensive rebound by M. Chriss
1:21.0,,,25-22,,Shooting foul by M. Leonard (drawn by A. Len)
1:21.0,,,25-23,1,A. Len makes free throw 1 of 2
1:21.0,,,25-24,1,A. Len makes free throw 2 of 2
1:05.0,M. Leonard misses 2-pt shot from 5 ft,,25-24,,
1:03.0,Offensive rebound by E. Davis,,25-24,,
1:03.0,E. Davis misses 2-pt shot from 1 ft,,25-24,,
1:00.0,,,25-24,,Defensive rebound by M. Chriss
0:53.0,,,25-24,,M. Chriss misses 3-pt shot from 25 ft
0:52.0,,,25-24,,Offensive rebound by Team
0:47.0,,,25-26,2,B. Knight makes 2-pt shot from 16 ft
0:34.0,M. Leonard makes 3-pt shot from 25 ft (assist by C. McCollum),3,28-26,,
0:26.0,,,28-26,,B. Knight misses 2-pt shot from 6 ft
0:26.0,,,28-26,,Offensive rebound by A. Len
0:26.0,,,28-28,2,A. Len makes 2-pt shot at rim
0:02.0,Turnover by Team (shot clock),,28-28,,
0:00.0,,,28-28,,A. Len misses 3-pt shot from 44 ft (block by E. Turner)
0:00.0,,,28-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,28-28,,P. Tucker misses 3-pt shot from 26 ft
11:36.0,Defensive rebound by Team,,28-28,,
11:16.0,M. Leonard misses 2-pt shot from 12 ft,,28-28,,
11:14.0,,,28-28,,Defensive rebound by P. Tucker
11:07.0,,,28-28,,B. Knight misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by E. Turner,,28-28,,
10:56.0,A. Crabbe makes 3-pt shot from 26 ft (assist by M. Leonard),3,31-28,,
10:35.0,,,31-28,,Shooting foul by M. Leonard (drawn by M. Chriss)
10:35.0,,,31-29,1,M. Chriss makes free throw 1 of 2
10:35.0,,,31-29,,M. Chriss misses free throw 2 of 2
10:33.0,Defensive rebound by M. Leonard,,31-29,,
10:16.0,E. Turner makes 2-pt shot from 16 ft,2,33-29,,
10:01.0,Violation by C. McCollum (kicked ball),,33-29,,
9:56.0,,,33-29,,L. Barbosa misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by E. Davis,,33-29,,
9:45.0,Turnover by C. McCollum (traveling),,33-29,,
9:35.0,,,33-31,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
9:14.0,C. McCollum makes 2-pt shot from 6 ft,2,35-31,,
8:59.0,,,35-31,,B. Knight misses 2-pt shot from 1 ft
8:57.0,,,35-31,,Offensive rebound by A. Len
8:57.0,,,35-31,,A. Len misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by E. Turner,,35-31,,
8:41.0,E. Turner makes 2-pt shot from 16 ft,2,37-31,,
8:33.0,,,37-31,,Phoenix full timeout
8:33.0,,,37-31,,D. Booker enters the game for P. Tucker
8:33.0,,,37-31,,Violation by Team (jump ball)
8:23.0,,,37-31,,A. Len misses 2-pt shot from 14 ft
8:20.0,Defensive rebound by E. Turner,,37-31,,
8:10.0,C. McCollum misses 2-pt shot from 15 ft,,37-31,,
8:07.0,,,37-31,,Defensive rebound by M. Chriss
7:59.0,,,37-33,2,M. Chriss makes 2-pt shot from 8 ft (assist by D. Booker)
7:59.0,,,37-33,,Shooting foul by C. McCollum (drawn by M. Chriss)
7:59.0,,,37-33,,M. Chriss misses free throw 1 of 1
7:58.0,Defensive rebound by E. Davis,,37-33,,
7:43.0,Shooting foul by A. Len (drawn by A. Crabbe),,37-33,,
7:43.0,A. Crabbe makes free throw 1 of 2,1,38-33,,
7:43.0,A. Crabbe makes free throw 2 of 2,1,39-33,,
7:43.0,D. Lillard enters the game for C. McCollum,,38-33,,
7:28.0,,,39-33,,B. Knight misses 2-pt shot from 11 ft
7:25.0,,,39-33,,Offensive rebound by A. Len
7:25.0,,,39-35,2,A. Len makes 2-pt shot from 1 ft
7:14.0,,,39-35,,Personal block foul by M. Chriss (drawn by M. Leonard)
7:14.0,M. Harkless enters the game for M. Leonard,,39-35,,
7:07.0,E. Turner makes 2-pt shot from 19 ft,2,41-35,,
6:48.0,,,41-37,2,A. Len makes 2-pt shot from 15 ft (assist by B. Knight)
6:25.0,D. Lillard makes 2-pt shot from 12 ft,2,43-37,,
6:15.0,,,43-39,2,M. Chriss makes 2-pt shot at rim (assist by L. Barbosa)
5:54.0,D. Lillard misses 3-pt shot from 25 ft,,43-39,,
5:52.0,Offensive rebound by E. Davis,,43-39,,
5:51.0,E. Davis misses 2-pt shot from 2 ft (block by A. Len),,43-39,,
5:47.0,,,43-39,,Defensive rebound by A. Len
5:45.0,,,43-41,2,D. Booker makes 2-pt shot at rim (assist by A. Len)
5:45.0,Portland full timeout,,43-41,,
5:45.0,,,43-41,,E. Bledsoe enters the game for B. Knight
5:45.0,,,43-41,,T. Warren enters the game for L. Barbosa
5:45.0,M. Plumlee enters the game for E. Davis,,43-41,,
5:29.0,A. Crabbe makes 2-pt shot from 11 ft (assist by E. Turner),2,45-41,,
5:11.0,,,45-43,2,T. Warren makes 2-pt shot from 9 ft (assist by M. Chriss)
4:56.0,A. Aminu enters the game for E. Turner,,45-43,,
4:56.0,Jump ball: M. Chriss vs. M. Harkless (M. Plumlee gains possession),,,,Jump ball: M. Chriss vs. M. Harkless (M. Plumlee gains possession)
4:48.0,A. Aminu misses 2-pt shot from 1 ft (block by T. Warren),,45-43,,
4:45.0,Offensive rebound by A. Aminu,,45-43,,
4:43.0,A. Aminu misses 2-pt shot from 1 ft (block by A. Len),,45-43,,
4:42.0,,,45-43,,Defensive rebound by D. Booker
4:38.0,,,45-43,,E. Bledsoe misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by Team,,45-43,,
4:25.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,47-43,,
4:16.0,,,47-43,,A. Len misses 2-pt shot from 2 ft (block by M. Plumlee)
4:14.0,Defensive rebound by D. Lillard,,47-43,,
4:07.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,50-43,,
3:57.0,,,50-43,,Phoenix full timeout
3:57.0,,,50-43,,J. Dudley enters the game for A. Len
3:57.0,,,50-43,,T. Chandler enters the game for M. Chriss
3:52.0,,,50-45,2,T. Warren makes 2-pt shot from 16 ft
3:32.0,M. Plumlee misses 2-pt shot from 2 ft,,50-45,,
3:29.0,,,50-45,,Defensive rebound by T. Chandler
3:25.0,,,50-48,3,J. Dudley makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:10.0,D. Lillard misses 2-pt shot from 14 ft,,50-48,,
3:09.0,Offensive rebound by M. Harkless,,50-48,,
3:09.0,M. Harkless misses 2-pt shot from 1 ft,,50-48,,
3:07.0,,,50-48,,Defensive rebound by T. Warren
3:03.0,,,50-50,2,T. Warren makes 2-pt shot from 2 ft
2:47.0,A. Aminu misses 3-pt shot from 25 ft,,50-50,,
2:45.0,,,50-50,,Defensive rebound by T. Chandler
2:40.0,,,50-52,2,E. Bledsoe makes 2-pt shot from 4 ft
2:40.0,,,50-52,,Shooting foul by A. Crabbe (drawn by E. Bledsoe)
2:40.0,Official timeout,,50-52,,
2:40.0,,,50-53,1,E. Bledsoe makes free throw 1 of 1
2:40.0,C. McCollum enters the game for A. Crabbe,,50-52,,
2:20.0,D. Lillard misses 3-pt shot from 26 ft,,50-53,,
2:18.0,,,50-53,,Defensive rebound by T. Chandler
2:12.0,,,50-53,,D. Booker misses 2-pt shot from 3 ft
2:09.0,,,50-53,,Offensive rebound by T. Warren
2:09.0,,,50-53,,T. Warren misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by M. Plumlee,,50-53,,
2:00.0,Turnover by M. Plumlee (bad pass),,50-53,,
1:49.0,,,50-53,,J. Dudley misses 2-pt shot from 21 ft
1:46.0,Defensive rebound by M. Plumlee,,50-53,,
1:32.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,53-53,,
1:08.0,,,53-53,,E. Bledsoe misses 2-pt shot from 2 ft
1:06.0,,,53-53,,Offensive rebound by T. Chandler
1:06.0,,,53-55,2,T. Chandler makes 2-pt shot from 1 ft
0:51.0,M. Plumlee misses 2-pt shot from 16 ft,,53-55,,
0:49.0,,,53-55,,Defensive rebound by T. Chandler
0:41.0,,,53-55,,T. Chandler misses 2-pt shot from 2 ft
0:40.0,,,53-55,,Offensive rebound by E. Bledsoe
0:40.0,,,53-55,,Shooting foul by D. Lillard (drawn by E. Bledsoe)
0:40.0,,,53-56,1,E. Bledsoe makes free throw 1 of 2
0:40.0,,,53-57,1,E. Bledsoe makes free throw 2 of 2
0:40.0,A. Crabbe enters the game for M. Plumlee,,53-56,,
0:40.0,,,53-56,,P. Tucker enters the game for T. Chandler
0:30.0,D. Lillard misses 3-pt shot from 26 ft,,53-57,,
0:29.0,,,53-57,,Defensive rebound by E. Bledsoe
0:06.0,,,53-57,,E. Bledsoe misses 2-pt shot from 5 ft (block by C. McCollum)
0:02.0,,,53-57,,Offensive rebound by T. Warren
0:02.0,,,53-57,,T. Warren misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by M. Harkless,,53-57,,
0:00.0,M. Harkless misses 3-pt shot from 48 ft,,53-57,,
0:00.0,Offensive rebound by Team,,53-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-57,,E. Bledsoe misses 2-pt shot from 7 ft
11:40.0,Defensive rebound by C. McCollum,,53-57,,
11:31.0,Turnover by M. Harkless (bad pass; steal by J. Dudley),,53-57,,
11:29.0,,,53-57,,Turnover by J. Dudley (bad pass; steal by A. Aminu)
11:22.0,M. Harkless makes 2-pt shot from 2 ft,2,55-57,,
11:01.0,,,55-59,2,T. Chandler makes 2-pt shot from 2 ft
10:42.0,M. Plumlee misses 2-pt shot from 8 ft (block by T. Chandler),,55-59,,
10:39.0,,,55-59,,Defensive rebound by J. Dudley
10:23.0,,,55-59,,Turnover by J. Dudley (lost ball; steal by A. Aminu)
10:18.0,Shooting foul by D. Booker (drawn by A. Aminu),,55-59,,
10:18.0,A. Aminu makes free throw 1 of 2,1,56-59,,
10:18.0,A. Aminu makes free throw 2 of 2,1,57-59,,
10:07.0,,,57-59,,E. Bledsoe misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by D. Lillard,,57-59,,
9:48.0,D. Lillard misses 3-pt shot from 26 ft,,57-59,,
9:46.0,,,57-59,,Defensive rebound by T. Chandler
9:40.0,,,57-59,,D. Booker misses 2-pt shot from 17 ft
9:37.0,Defensive rebound by D. Lillard,,57-59,,
9:34.0,Turnover by D. Lillard (bad pass; steal by D. Booker),,57-59,,
9:31.0,,,57-61,2,T. Warren makes 2-pt shot from 2 ft (assist by D. Booker)
9:14.0,M. Plumlee misses 2-pt shot from 17 ft,,57-61,,
9:13.0,,,57-61,,Defensive rebound by J. Dudley
8:56.0,,,57-61,,T. Warren misses 2-pt shot at rim (block by M. Plumlee)
8:53.0,,,57-61,,Offensive rebound by T. Chandler
8:37.0,,,57-61,,Turnover by D. Booker (lost ball; steal by A. Aminu)
8:28.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,60-61,,
8:28.0,,,60-61,,Phoenix full timeout
8:06.0,,,60-61,,J. Dudley misses 2-pt shot from 13 ft
8:04.0,Defensive rebound by M. Plumlee,,60-61,,
7:57.0,,,60-61,,Personal foul by J. Dudley (drawn by C. McCollum)
7:53.0,C. McCollum makes 2-pt shot from 16 ft,2,62-61,,
7:37.0,,,62-63,2,T. Warren makes 2-pt shot from 8 ft
7:19.0,M. Plumlee misses 2-pt shot from 11 ft,,62-63,,
7:18.0,,,62-63,,Defensive rebound by Team
7:18.0,Loose ball foul by M. Plumlee (drawn by T. Chandler),,62-63,,
7:08.0,,,62-63,,E. Bledsoe misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by M. Plumlee,,62-63,,
6:51.0,M. Plumlee misses 2-pt shot from 6 ft,,62-63,,
6:48.0,Offensive rebound by M. Plumlee,,62-63,,
6:45.0,Turnover by M. Plumlee (bad pass; steal by J. Dudley),,62-63,,
6:42.0,,,62-63,,E. Bledsoe misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by A. Aminu,,62-63,,
6:31.0,D. Lillard misses 3-pt shot from 25 ft,,62-63,,
6:30.0,Offensive rebound by Team,,62-63,,
6:21.0,A. Aminu misses 2-pt shot from 2 ft,,62-63,,
6:19.0,,,62-63,,Defensive rebound by T. Chandler
6:05.0,,,62-65,2,E. Bledsoe makes 2-pt shot from 1 ft
5:50.0,C. McCollum misses 2-pt shot from 17 ft,,62-65,,
5:47.0,,,62-65,,Defensive rebound by J. Dudley
5:42.0,,,62-65,,J. Dudley misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by M. Plumlee,,62-65,,
5:31.0,Turnover by A. Aminu (bad pass; steal by E. Bledsoe),,62-65,,
5:28.0,,,62-65,,Offensive charge foul by E. Bledsoe
5:28.0,,,62-65,,Turnover by E. Bledsoe (offensive foul)
5:28.0,E. Turner enters the game for A. Aminu,,62-65,,
5:28.0,A. Crabbe enters the game for C. McCollum,,62-65,,
5:28.0,,,62-65,,B. Knight enters the game for E. Bledsoe
5:08.0,E. Turner misses 3-pt shot from 24 ft,,62-65,,
5:06.0,Offensive rebound by E. Turner,,62-65,,
4:59.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,64-65,,
4:50.0,,,64-65,,D. Booker misses 2-pt shot from 6 ft
4:47.0,Defensive rebound by D. Lillard,,64-65,,
4:39.0,M. Harkless misses 3-pt shot from 25 ft,,64-65,,
4:38.0,,,64-65,,Defensive rebound by T. Chandler
4:29.0,,,64-65,,D. Booker misses 2-pt shot from 17 ft
4:27.0,Defensive rebound by M. Plumlee,,64-65,,
4:16.0,M. Harkless misses 2-pt shot from 1 ft,,64-65,,
4:14.0,,,64-65,,Defensive rebound by T. Chandler
4:06.0,,,64-65,,T. Warren misses 2-pt shot from 13 ft
4:04.0,Defensive rebound by M. Plumlee,,64-65,,
3:51.0,Turnover by E. Turner (bad pass; steal by D. Booker),,64-65,,
3:36.0,,,64-68,3,B. Knight makes 3-pt shot from 25 ft
3:36.0,Portland full timeout,,64-68,,
3:36.0,,,64-68,,E. Bledsoe enters the game for J. Dudley
3:36.0,,,64-68,,A. Len enters the game for T. Chandler
3:36.0,,,64-68,,P. Tucker enters the game for D. Booker
3:36.0,M. Leonard enters the game for M. Plumlee,,64-68,,
3:23.0,M. Leonard makes 2-pt shot from 16 ft (assist by E. Turner),2,66-68,,
3:06.0,,,66-70,2,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:06.0,,,66-70,,Shooting foul by M. Leonard (drawn by A. Len)
3:06.0,,,66-71,1,A. Len makes free throw 1 of 1
2:49.0,Turnover by E. Turner (bad pass),,66-71,,
2:30.0,,,66-71,,E. Bledsoe misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by M. Leonard,,66-71,,
2:21.0,,,66-71,,Shooting block foul by E. Bledsoe (drawn by D. Lillard)
2:21.0,D. Lillard makes free throw 1 of 2,1,67-71,,
2:21.0,D. Lillard makes free throw 2 of 2,1,68-71,,
2:10.0,,,68-71,,T. Warren misses 2-pt shot from 15 ft
2:06.0,Defensive rebound by E. Turner,,68-71,,
2:00.0,M. Leonard misses 3-pt shot from 26 ft,,68-71,,
1:58.0,,,68-71,,Defensive rebound by E. Bledsoe
1:47.0,,,68-71,,B. Knight misses 3-pt shot from 27 ft
1:45.0,Defensive rebound by M. Harkless,,68-71,,
1:43.0,E. Turner makes 2-pt shot from 1 ft (assist by M. Harkless),2,70-71,,
1:43.0,Shooting foul by E. Bledsoe (drawn by E. Turner),,70-71,,
1:43.0,E. Turner makes free throw 1 of 1,1,71-71,,
1:43.0,,,70-71,,M. Chriss enters the game for T. Warren
1:43.0,E. Davis enters the game for D. Lillard,,70-71,,
1:43.0,C. McCollum enters the game for M. Harkless,,70-71,,
1:27.0,,,71-71,,Shooting foul by A. Crabbe (drawn by B. Knight)
1:27.0,,,71-72,1,B. Knight makes free throw 1 of 2
1:27.0,,,71-73,1,B. Knight makes free throw 2 of 2
1:13.0,E. Turner misses 2-pt shot from 17 ft,,71-73,,
1:11.0,,,71-73,,Defensive rebound by B. Knight
0:53.0,,,71-73,,B. Knight misses 2-pt shot from 13 ft
0:49.0,,,71-73,,Offensive rebound by B. Knight
0:49.0,,,71-75,2,A. Len makes 2-pt shot from 5 ft (assist by B. Knight)
0:49.0,Shooting block foul by E. Turner (drawn by A. Len),,71-75,,
0:49.0,,,71-76,1,A. Len makes free throw 1 of 1
0:34.0,C. McCollum misses 2-pt shot from 4 ft (block by A. Len),,71-76,,
0:33.0,Offensive rebound by Team,,71-76,,
0:28.0,E. Davis makes 2-pt shot from 8 ft,2,73-76,,
0:06.0,,,73-76,,Turnover by E. Bledsoe (bad pass; steal by E. Davis)
0:00.0,C. McCollum misses 3-pt shot from 26 ft,,73-76,,
0:00.0,Offensive rebound by Team,,73-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,A. Crabbe makes 2-pt shot from 8 ft (assist by M. Leonard),2,75-76,,
11:14.0,,,75-78,2,L. Barbosa makes 2-pt shot from 1 ft
11:06.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,78-78,,
10:48.0,Inbound foul by C. McCollum,,78-78,,
10:48.0,,,78-79,1,B. Knight makes free throw 1 of 1
10:35.0,,,78-79,,B. Knight misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by A. Crabbe,,78-79,,
10:22.0,M. Leonard misses 3-pt shot from 25 ft,,78-79,,
10:20.0,,,78-79,,Defensive rebound by M. Chriss
10:12.0,,,78-79,,M. Chriss misses 2-pt shot from 5 ft (block by E. Davis)
10:09.0,Defensive rebound by M. Leonard,,78-79,,
10:03.0,C. McCollum misses 2-pt shot from 13 ft,,78-79,,
10:00.0,,,78-79,,Defensive rebound by P. Tucker
9:54.0,,,78-81,2,B. Knight makes 2-pt shot from 17 ft
9:32.0,Turnover by E. Davis (lost ball; steal by P. Tucker),,78-81,,
9:21.0,,,78-81,,B. Knight misses 2-pt shot from 17 ft
9:18.0,Defensive rebound by E. Davis,,78-81,,
9:11.0,Turnover by E. Turner (traveling),,78-81,,
9:02.0,,,78-81,,M. Chriss misses 2-pt shot from 5 ft (block by E. Davis)
8:59.0,Defensive rebound by E. Turner,,78-81,,
8:54.0,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner),3,81-81,,
8:51.0,,,81-81,,Phoenix full timeout
8:51.0,,,81-81,,E. Bledsoe enters the game for M. Chriss
8:44.0,Personal foul by M. Leonard (drawn by A. Len),,81-81,,
8:39.0,,,81-81,,E. Bledsoe misses 2-pt shot from 17 ft
8:36.0,Defensive rebound by E. Turner,,81-81,,
8:27.0,E. Turner makes 2-pt shot from 9 ft,2,83-81,,
8:18.0,,,83-83,2,B. Knight makes 2-pt shot from 2 ft
7:58.0,A. Crabbe misses 3-pt shot from 26 ft,,83-83,,
7:56.0,,,83-83,,Defensive rebound by B. Knight
7:49.0,,,83-83,,B. Knight misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by E. Davis,,83-83,,
7:38.0,E. Turner misses 2-pt shot from 13 ft,,83-83,,
7:35.0,,,83-83,,Defensive rebound by P. Tucker
7:18.0,,,83-83,,Turnover by B. Knight (bad pass; steal by A. Crabbe)
7:14.0,,,83-83,,Personal foul by B. Knight (drawn by M. Leonard)
7:14.0,,,83-83,,D. Booker enters the game for P. Tucker
7:14.0,,,83-83,,J. Dudley enters the game for A. Len
7:14.0,,,83-83,,T. Chandler enters the game for B. Knight
7:14.0,,,83-83,,T. Warren enters the game for L. Barbosa
7:14.0,A. Aminu enters the game for C. McCollum,,83-83,,
7:14.0,D. Lillard enters the game for E. Davis,,83-83,,
7:05.0,M. Leonard makes 3-pt shot from 26 ft (assist by A. Crabbe),3,86-83,,
6:57.0,Personal foul by A. Crabbe (drawn by D. Booker),,86-83,,
6:47.0,,,86-83,,Turnover by D. Booker (bad pass; steal by D. Lillard)
6:39.0,A. Crabbe misses 3-pt shot from 26 ft,,86-83,,
6:37.0,,,86-83,,Defensive rebound by J. Dudley
6:33.0,,,86-83,,E. Bledsoe misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by A. Aminu,,86-83,,
6:16.0,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Leonard),2,88-83,,
6:15.0,,,88-83,,Phoenix full timeout
6:15.0,,,88-83,,B. Knight enters the game for T. Chandler
6:03.0,,,88-83,,T. Warren misses 2-pt shot from 8 ft
6:00.0,Defensive rebound by E. Turner,,88-83,,
5:53.0,D. Lillard makes 2-pt shot from 2 ft,2,90-83,,
5:41.0,,,90-85,2,B. Knight makes 2-pt shot at rim
5:14.0,A. Aminu misses 2-pt shot from 18 ft,,90-85,,
5:13.0,,,90-85,,Defensive rebound by B. Knight
5:08.0,Shooting block foul by D. Lillard (drawn by E. Bledsoe),,90-85,,
5:08.0,,,90-86,1,E. Bledsoe makes free throw 1 of 2
5:08.0,,,90-87,1,E. Bledsoe makes free throw 2 of 2
