time,Brooklyn,pts.away,score,pts.home,Toronto
1:54.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,19-24,,
1:54.0,,,19-24,,Defensive rebound by L. Nogueira
1:43.0,,,19-24,,Shooting foul by S. Dinwiddie (drawn by D. DeRozan)
1:43.0,,,19-25,1,D. DeRozan makes free throw 1 of 2
1:43.0,,,19-25,,D. DeRozan misses free throw 2 of 2
1:41.0,Defensive rebound by J. Hamilton,,19-25,,
1:26.0,J. Harris misses 2-pt shot from 3 ft (block by L. Nogueira),,19-25,,
1:26.0,Offensive rebound by Team,,19-25,,
1:22.0,S. Dinwiddie makes 2-pt shot from 9 ft (assist by J. Harris),2,21-25,,
1:00.0,,,21-27,2,D. DeRozan makes 2-pt shot from 2 ft
0:49.0,Turnover by S. Dinwiddie (bad pass; steal by N. Powell),,21-27,,
0:47.0,,,21-29,2,N. Powell makes 2-pt shot at rim
0:27.0,R. Hollis-Jefferson makes 2-pt shot from 17 ft,2,23-29,,
0:02.0,,,23-29,,D. DeRozan misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by S. Dinwiddie,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,S. Dinwiddie misses 3-pt shot from 27 ft,,23-29,,
11:34.0,,,23-29,,Defensive rebound by N. Powell
11:13.0,,,23-29,,K. Lowry misses 3-pt shot from 27 ft
11:13.0,Defensive rebound by J. Hamilton,,23-29,,
11:05.0,C. LeVert makes 3-pt shot from 24 ft,3,26-29,,
10:52.0,Personal foul by S. Kilpatrick (drawn by L. Nogueira),,26-29,,
10:43.0,,,26-29,,C. Joseph misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by A. Bennett,,26-29,,
10:33.0,J. Hamilton misses 3-pt shot from 28 ft,,26-29,,
10:33.0,Offensive rebound by A. Bennett,,26-29,,
10:29.0,A. Bennett misses 2-pt shot from 1 ft,,26-29,,
10:28.0,Offensive rebound by A. Bennett,,26-29,,
10:28.0,Shooting foul by T. Ross (drawn by A. Bennett),,26-29,,
10:28.0,A. Bennett makes free throw 1 of 2,1,27-29,,
10:28.0,A. Bennett makes free throw 2 of 2,1,28-29,,
10:12.0,,,28-31,2,C. Joseph makes 2-pt shot from 1 ft
10:04.0,A. Bennett misses 3-pt shot from 26 ft,,28-31,,
10:04.0,,,28-31,,Defensive rebound by C. Joseph
9:56.0,,,28-31,,K. Lowry misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by J. Hamilton,,28-31,,
9:40.0,S. Kilpatrick misses 3-pt shot from 25 ft,,28-31,,
9:39.0,Offensive rebound by A. Bennett,,28-31,,
9:36.0,C. LeVert misses 3-pt shot from 25 ft,,28-31,,
9:35.0,,,28-31,,Defensive rebound by C. Joseph
9:30.0,,,28-33,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
9:04.0,S. Dinwiddie misses 3-pt shot from 27 ft,,28-33,,
9:04.0,Offensive rebound by Team,,28-33,,
9:04.0,,,28-33,,Loose ball foul by N. Powell (drawn by A. Bennett)
9:04.0,L. Scola enters the game for J. Hamilton,,28-33,,
8:55.0,L. Scola makes 3-pt shot from 26 ft (assist by A. Bennett),3,31-33,,
8:50.0,,,31-33,,N. Powell misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by A. Bennett,,31-33,,
8:43.0,Turnover by A. Bennett (bad pass; steal by N. Powell),,31-33,,
8:32.0,,,31-36,3,N. Powell makes 3-pt shot from 23 ft (assist by T. Ross)
8:09.0,Shooting foul by T. Ross (drawn by S. Dinwiddie),,31-36,,
8:09.0,Official timeout,,31-36,,
8:09.0,S. Dinwiddie misses free throw 1 of 2,,31-36,,
8:09.0,Offensive rebound by Team,,31-36,,
8:09.0,S. Dinwiddie makes free throw 2 of 2,1,32-36,,
8:09.0,R. Hollis-Jefferson enters the game for C. LeVert,,31-36,,
7:57.0,,,32-38,2,T. Ross makes 2-pt shot from 9 ft (assist by K. Lowry)
7:41.0,J. Lin enters the game for S. Dinwiddie,,32-38,,
7:29.0,S. Kilpatrick misses 3-pt shot from 26 ft,,32-38,,
7:28.0,Offensive rebound by L. Scola,,32-38,,
7:26.0,L. Scola makes 2-pt shot from 2 ft,2,34-38,,
7:15.0,,,34-40,2,C. Joseph makes 2-pt shot from 3 ft
7:08.0,Turnover by S. Kilpatrick (lost ball; steal by K. Lowry),,34-40,,
7:03.0,,,34-42,2,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry)
6:51.0,Shooting foul by L. Nogueira (drawn by A. Bennett),,34-42,,
6:51.0,A. Bennett makes free throw 1 of 2,1,35-42,,
6:51.0,A. Bennett misses free throw 2 of 2,,35-42,,
6:50.0,,,35-42,,Defensive rebound by T. Ross
6:39.0,Personal foul by R. Hollis-Jefferson (drawn by T. Ross),,35-42,,
6:39.0,J. Harris enters the game for L. Scola,,35-42,,
6:30.0,,,35-42,,N. Powell misses 2-pt shot from 3 ft
6:29.0,Defensive rebound by R. Hollis-Jefferson,,35-42,,
6:21.0,R. Hollis-Jefferson makes 2-pt shot from 5 ft,2,37-42,,
6:11.0,,,37-42,,C. Joseph misses 2-pt shot from 4 ft (block by J. Lin)
6:10.0,Defensive rebound by J. Harris,,37-42,,
6:04.0,J. Harris misses 2-pt shot from 2 ft,,37-42,,
6:04.0,,,37-42,,Defensive rebound by N. Powell
5:57.0,,,37-42,,N. Powell misses 2-pt shot from 2 ft
5:57.0,,,37-42,,Offensive rebound by L. Nogueira
5:50.0,,,37-45,3,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph)
5:34.0,A. Bennett makes 2-pt shot from 2 ft (assist by J. Harris),2,39-45,,
5:23.0,,,39-47,2,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph)
5:05.0,Shooting foul by N. Powell (drawn by J. Lin),,39-47,,
5:05.0,,,39-47,,Toronto full timeout
5:05.0,J. Lin misses free throw 1 of 2,,39-47,,
5:05.0,Offensive rebound by Team,,39-47,,
5:05.0,J. Lin makes free throw 2 of 2,1,40-47,,
5:05.0,T. Booker enters the game for A. Bennett,,39-47,,
5:05.0,,,39-47,,D. DeRozan enters the game for N. Powell
5:05.0,,,39-47,,J. Valanciunas enters the game for L. Nogueira
5:05.0,,,39-47,,P. Siakam enters the game for T. Ross
4:42.0,,,40-47,,C. Joseph misses 2-pt shot from 7 ft
4:41.0,Defensive rebound by R. Hollis-Jefferson,,40-47,,
4:34.0,J. Lin makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,43-47,,
4:15.0,Personal foul by T. Booker (drawn by J. Valanciunas),,43-47,,
4:15.0,,,43-47,,D. Carroll enters the game for C. Joseph
4:04.0,Shooting block foul by J. Harris (drawn by P. Siakam),,43-47,,
4:04.0,,,43-48,1,P. Siakam makes free throw 1 of 2
4:04.0,,,43-49,1,P. Siakam makes free throw 2 of 2
3:57.0,S. Kilpatrick misses 3-pt shot from 25 ft,,43-49,,
3:57.0,,,43-49,,Defensive rebound by P. Siakam
3:42.0,,,43-51,2,D. DeRozan makes 2-pt shot from 11 ft
3:34.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,43-51,,
3:33.0,,,43-51,,Defensive rebound by J. Valanciunas
3:23.0,,,43-53,2,D. DeRozan makes 2-pt shot from 5 ft
3:12.0,J. Lin misses 3-pt shot from 25 ft,,43-53,,
3:11.0,Offensive rebound by T. Booker,,43-53,,
2:55.0,S. Kilpatrick misses 2-pt shot from 3 ft,,43-53,,
2:55.0,,,43-53,,Defensive rebound by J. Valanciunas
2:49.0,,,43-53,,Turnover by P. Siakam (bad pass; steal by S. Kilpatrick)
2:43.0,Turnover by S. Kilpatrick (lost ball; steal by D. DeRozan),,43-53,,
2:36.0,,,43-55,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:35.0,Brooklyn full timeout,,43-55,,
2:35.0,B. Bogdanovic enters the game for S. Kilpatrick,,43-55,,
2:35.0,A. Bennett enters the game for R. Hollis-Jefferson,,43-55,,
2:20.0,T. Booker makes 3-pt shot from 26 ft (assist by J. Lin),3,46-55,,
2:03.0,,,46-57,2,D. DeRozan makes 2-pt shot from 12 ft
1:53.0,Turnover by J. Lin (lost ball; steal by K. Lowry),,46-57,,
1:51.0,Personal foul by J. Lin (drawn by K. Lowry),,46-57,,
1:51.0,,,46-58,1,K. Lowry makes free throw 1 of 2
1:51.0,,,46-59,1,K. Lowry makes free throw 2 of 2
1:39.0,B. Bogdanovic misses 3-pt shot from 27 ft,,46-59,,
1:39.0,,,46-59,,Defensive rebound by D. DeRozan
1:32.0,,,46-59,,D. Carroll misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by T. Booker,,46-59,,
1:28.0,Turnover by T. Booker (lost ball; steal by K. Lowry),,46-59,,
1:27.0,,,46-59,,C. Joseph enters the game for K. Lowry
1:15.0,,,46-59,,Offensive foul by D. DeRozan
1:15.0,,,46-59,,Turnover by D. DeRozan (offensive foul)
1:01.0,T. Booker misses 2-pt shot from 4 ft (block by P. Siakam),,46-59,,
1:00.0,,,46-59,,Defensive rebound by J. Valanciunas
0:56.0,,,46-62,3,D. Carroll makes 3-pt shot from 27 ft (assist by C. Joseph)
0:46.0,A. Bennett misses 3-pt shot from 25 ft,,46-62,,
0:45.0,,,46-62,,Defensive rebound by J. Valanciunas
0:34.0,,,46-62,,Turnover by C. Joseph (lost ball; steal by J. Lin)
0:27.0,B. Bogdanovic misses 2-pt shot from 10 ft,,46-62,,
0:26.0,,,46-62,,Defensive rebound by J. Valanciunas
0:02.0,,,46-62,,D. DeRozan misses 2-pt shot from 19 ft
0:01.0,,,46-62,,Offensive rebound by Team
0:01.0,Personal foul by B. Bogdanovic (drawn by J. Valanciunas),,46-62,,
0:01.0,,,46-63,1,J. Valanciunas makes free throw 1 of 2
0:01.0,,,46-64,1,J. Valanciunas makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,S. Kilpatrick makes 2-pt shot from 13 ft (assist by T. Booker),2,48-64,,
11:25.0,,,48-64,,Turnover by K. Lowry (bad pass; steal by S. Kilpatrick)
11:22.0,Shooting foul by K. Lowry (drawn by S. Kilpatrick),,48-64,,
11:22.0,S. Kilpatrick makes free throw 1 of 2,1,49-64,,
11:22.0,S. Kilpatrick makes free throw 2 of 2,1,50-64,,
11:07.0,,,50-64,,D. DeRozan misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by L. Scola,,50-64,,
10:59.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by J. Lin),2,52-64,,
10:41.0,,,52-64,,J. Valanciunas misses 2-pt shot from 1 ft
10:40.0,,,52-64,,Offensive rebound by J. Valanciunas
10:38.0,,,52-64,,J. Valanciunas misses 2-pt shot from 2 ft
10:37.0,,,52-64,,Offensive rebound by K. Lowry
10:32.0,,,52-66,2,K. Lowry makes 2-pt shot from 5 ft
10:24.0,J. Lin misses 3-pt shot from 26 ft,,52-66,,
10:24.0,,,52-66,,Defensive rebound by J. Valanciunas
10:13.0,Personal foul by L. Scola (drawn by J. Valanciunas),,52-66,,
10:03.0,,,52-68,2,D. Carroll makes 2-pt shot from 13 ft
9:56.0,Turnover by L. Scola (bad pass; steal by D. Carroll),,52-68,,
9:45.0,,,52-70,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry)
9:32.0,L. Scola misses 3-pt shot from 26 ft,,52-70,,
9:31.0,,,52-70,,Defensive rebound by K. Lowry
9:29.0,,,52-70,,Turnover by K. Lowry (bad pass)
9:19.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by J. Valanciunas),,52-70,,
9:18.0,,,52-70,,Defensive rebound by J. Valanciunas
9:11.0,,,52-70,,D. Carroll misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by S. Kilpatrick,,52-70,,
8:57.0,S. Kilpatrick misses 2-pt shot from 18 ft,,52-70,,
8:56.0,,,52-70,,Defensive rebound by J. Valanciunas
8:48.0,,,52-70,,Shooting foul by T. Booker (drawn by J. Valanciunas)
8:48.0,,,52-71,1,J. Valanciunas makes free throw 1 of 2
8:48.0,,,52-72,1,J. Valanciunas makes free throw 2 of 2
8:32.0,J. Lin makes 2-pt shot from 11 ft,2,54-72,,
8:23.0,,,54-74,2,P. Siakam makes 2-pt shot at rim (assist by K. Lowry)
8:12.0,J. Harris enters the game for B. Bogdanovic,,54-74,,
8:05.0,S. Kilpatrick misses 3-pt shot from 24 ft,,54-74,,
8:05.0,Offensive rebound by L. Scola,,54-74,,
7:59.0,L. Scola misses 2-pt shot from 4 ft,,54-74,,
7:59.0,,,54-74,,Defensive rebound by J. Valanciunas
7:49.0,,,54-76,2,P. Siakam makes 2-pt shot from 8 ft (assist by K. Lowry)
7:25.0,Shooting foul by P. Siakam (drawn by T. Booker),,54-76,,
7:25.0,T. Booker makes free throw 1 of 2,1,55-76,,
7:25.0,T. Booker makes free throw 2 of 2,1,56-76,,
7:25.0,J. Hamilton enters the game for L. Scola,,55-76,,
7:08.0,,,56-76,,D. Carroll misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by J. Harris,,56-76,,
7:02.0,J. Lin misses 2-pt shot from 4 ft (block by K. Lowry),,56-76,,
7:02.0,Offensive rebound by Team,,56-76,,
6:57.0,Turnover by T. Booker (bad pass),,56-76,,
6:56.0,,,56-76,,Turnover by D. Carroll (bad pass; steal by S. Kilpatrick)
6:53.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,58-76,,
6:34.0,,,58-78,2,K. Lowry makes 2-pt shot from 13 ft
6:22.0,J. Harris makes 2-pt shot from 16 ft,2,60-78,,
6:01.0,,,60-78,,J. Valanciunas misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by J. Harris,,60-78,,
5:38.0,J. Harris misses 3-pt shot from 26 ft,,60-78,,
5:37.0,,,60-78,,Defensive rebound by P. Siakam
5:30.0,Personal foul by J. Hamilton (drawn by D. Carroll),,60-78,,
5:30.0,,,60-78,,Toronto full timeout
5:30.0,R. Hollis-Jefferson enters the game for T. Booker,,60-78,,
5:30.0,A. Bennett enters the game for S. Kilpatrick,,60-78,,
5:20.0,,,60-78,,J. Valanciunas misses 2-pt shot from 5 ft
5:20.0,,,60-78,,Offensive rebound by D. Carroll
5:16.0,,,60-80,2,D. Carroll makes 2-pt shot from 4 ft
5:11.0,,,60-80,,Personal block foul by J. Valanciunas (drawn by J. Lin)
5:07.0,A. Bennett misses 3-pt shot from 25 ft,,60-80,,
5:06.0,,,60-80,,Defensive rebound by D. Carroll
4:55.0,,,60-83,3,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry)
4:42.0,R. Hollis-Jefferson makes 2-pt shot from 7 ft (assist by J. Hamilton),2,62-83,,
4:42.0,Shooting foul by D. Carroll (drawn by R. Hollis-Jefferson),,62-83,,
4:42.0,R. Hollis-Jefferson misses free throw 1 of 1,,62-83,,
4:41.0,Offensive rebound by J. Hamilton,,62-83,,
4:40.0,Shooting foul by D. Carroll (drawn by R. Hollis-Jefferson),,62-83,,
4:40.0,J. Hamilton misses free throw 1 of 2,,62-83,,
4:40.0,Offensive rebound by Team,,62-83,,
4:40.0,J. Hamilton makes free throw 2 of 2,1,63-83,,
4:25.0,,,63-83,,D. DeRozan misses 2-pt shot from 18 ft
4:25.0,Defensive rebound by A. Bennett,,63-83,,
4:17.0,J. Lin misses 2-pt shot from 3 ft,,63-83,,
4:17.0,Offensive rebound by J. Hamilton,,63-83,,
4:14.0,Shooting foul by P. Siakam (drawn by J. Lin),,63-83,,
4:14.0,J. Lin misses free throw 1 of 2,,63-83,,
4:14.0,Offensive rebound by Team,,63-83,,
4:14.0,J. Lin makes free throw 2 of 2,1,64-83,,
4:14.0,,,63-83,,L. Nogueira enters the game for P. Siakam
4:14.0,,,63-83,,N. Powell enters the game for J. Valanciunas
3:59.0,,,64-83,,D. DeRozan misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by A. Bennett,,64-83,,
3:52.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,66-83,,
3:29.0,,,66-83,,N. Powell misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by J. Hamilton,,66-83,,
3:18.0,Turnover by J. Lin (bad pass; steal by N. Powell),,66-83,,
3:12.0,,,66-86,3,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell)
3:05.0,Brooklyn full timeout,,66-86,,
3:05.0,,,66-86,,T. Ross enters the game for D. Carroll
3:05.0,,,66-86,,C. Joseph enters the game for K. Lowry
3:05.0,S. Dinwiddie enters the game for J. Lin,,66-86,,
3:04.0,Turnover by S. Dinwiddie (bad pass; steal by N. Powell),,66-86,,
3:00.0,,,66-88,2,N. Powell makes 2-pt shot at rim
2:53.0,Shooting foul by L. Nogueira (drawn by S. Dinwiddie),,66-88,,
2:53.0,S. Dinwiddie makes free throw 1 of 2,1,67-88,,
2:53.0,S. Dinwiddie makes free throw 2 of 2,1,68-88,,
2:38.0,,,68-88,,D. DeRozan misses 2-pt shot from 7 ft
2:37.0,Defensive rebound by J. Hamilton,,68-88,,
2:29.0,A. Bennett misses 2-pt shot from 4 ft,,68-88,,
2:29.0,,,68-88,,Defensive rebound by L. Nogueira
2:20.0,,,68-88,,D. DeRozan misses 2-pt shot from 6 ft
2:19.0,Defensive rebound by J. Harris,,68-88,,
2:10.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,68-88,,
2:09.0,Offensive rebound by A. Bennett,,68-88,,
2:08.0,A. Bennett misses 2-pt shot from 4 ft (block by L. Nogueira),,68-88,,
2:06.0,,,68-88,,Defensive rebound by N. Powell
1:58.0,,,68-88,,T. Ross misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by J. Harris,,68-88,,
1:41.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Hamilton),2,70-88,,
1:23.0,,,70-90,2,N. Powell makes 2-pt shot from 2 ft
1:23.0,,,70-90,,Shooting foul by J. Harris (drawn by N. Powell)
1:23.0,,,70-91,1,N. Powell makes free throw 1 of 1
1:08.0,J. Hamilton makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,72-91,,
0:52.0,,,72-91,,N. Powell misses 2-pt shot from 20 ft
0:51.0,Defensive rebound by S. Dinwiddie,,72-91,,
0:46.0,Turnover by J. Hamilton (bad pass; steal by T. Ross),,72-91,,
0:36.0,,,72-91,,D. DeRozan misses 2-pt shot from 8 ft
0:36.0,Defensive rebound by J. Harris,,72-91,,
0:24.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by T. Ross),,72-91,,
0:23.0,,,72-91,,Defensive rebound by C. Joseph
0:16.0,,,72-91,,C. Joseph misses 2-pt shot from 2 ft (block by S. Dinwiddie)
0:15.0,Defensive rebound by J. Hamilton,,72-91,,
0:00.0,S. Dinwiddie misses 2-pt shot from 7 ft,,72-91,,
0:00.0,Offensive rebound by Team,,72-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,72-91,,Shooting foul by R. Hollis-Jefferson (drawn by N. Powell)
11:37.0,,,72-92,1,N. Powell makes free throw 1 of 2
11:37.0,,,72-92,,N. Powell misses free throw 2 of 2
11:36.0,Defensive rebound by R. Hollis-Jefferson,,72-92,,
11:29.0,,,72-92,,Personal foul by L. Nogueira (drawn by C. LeVert)
11:21.0,Shooting foul by K. Lowry (drawn by R. Hollis-Jefferson),,72-92,,
11:21.0,R. Hollis-Jefferson makes free throw 1 of 2,1,73-92,,
11:21.0,R. Hollis-Jefferson makes free throw 2 of 2,1,74-92,,
11:00.0,,,74-92,,Shooting foul by R. Hollis-Jefferson (drawn by L. Nogueira)
11:00.0,,,74-93,1,L. Nogueira makes free throw 1 of 2
11:00.0,,,74-94,1,L. Nogueira makes free throw 2 of 2
10:48.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Hamilton),2,76-94,,
10:27.0,,,76-94,,C. Joseph misses 2-pt shot from 3 ft
10:27.0,,,76-94,,Offensive rebound by L. Nogueira
10:26.0,,,76-94,,L. Nogueira misses 2-pt shot from 2 ft
10:25.0,,,76-94,,Offensive rebound by L. Nogueira
10:25.0,,,76-96,2,L. Nogueira makes 2-pt shot from 1 ft
10:12.0,S. Kilpatrick misses 2-pt shot from 7 ft (block by L. Nogueira),,76-96,,
10:12.0,Offensive rebound by Team,,76-96,,
10:12.0,L. Scola enters the game for J. Hamilton,,76-96,,
10:05.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,78-96,,
9:57.0,,,78-98,2,K. Lowry makes 2-pt shot from 7 ft
9:57.0,,,78-98,,Shooting foul by S. Dinwiddie (drawn by K. Lowry)
9:57.0,,,78-99,1,K. Lowry makes free throw 1 of 1
9:38.0,S. Dinwiddie misses 2-pt shot from 1 ft,,78-99,,
9:37.0,Offensive rebound by L. Scola,,78-99,,
9:36.0,L. Scola makes 2-pt shot from 2 ft,2,80-99,,
9:20.0,,,80-101,2,K. Lowry makes 2-pt shot from 4 ft (assist by L. Nogueira)
9:13.0,B. Bogdanovic enters the game for S. Kilpatrick,,80-101,,
9:04.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,80-101,,
9:04.0,Offensive rebound by S. Dinwiddie,,80-101,,
8:57.0,C. LeVert misses 2-pt shot from 6 ft,,80-101,,
8:57.0,Offensive rebound by L. Scola,,80-101,,
8:55.0,L. Scola makes 2-pt shot from 2 ft,2,82-101,,
