time,Miami,pts.away,score,pts.home,Memphis
3:24.0,Defensive rebound by T. Johnson,,22-12,,
3:10.0,D. Waiters misses 2-pt shot from 21 ft,,22-12,,
3:08.0,,,22-12,,Defensive rebound by V. Carter
3:04.0,,,22-12,,W. Baldwin misses 2-pt shot from 1 ft
3:01.0,Defensive rebound by T. Johnson,,22-12,,
2:51.0,Turnover by R. McGruder (lost ball),,22-12,,
2:51.0,L. Babbitt enters the game for D. Waiters,,22-12,,
2:36.0,,,22-12,,V. Carter misses 2-pt shot from 1 ft
2:32.0,Defensive rebound by H. Whiteside,,22-12,,
2:26.0,J. Johnson misses 2-pt shot from 2 ft,,22-12,,
2:25.0,Offensive rebound by J. Johnson,,22-12,,
2:21.0,J. Johnson misses 2-pt shot from 2 ft,,22-12,,
2:21.0,Offensive rebound by H. Whiteside,,22-12,,
2:21.0,H. Whiteside makes 2-pt shot from 1 ft,2,24-12,,
2:21.0,Shooting foul by V. Carter (drawn by H. Whiteside),,24-12,,
2:21.0,H. Whiteside misses free throw 1 of 1,,24-12,,
2:21.0,,,24-12,,T. Allen enters the game for V. Carter
2:20.0,,,24-12,,Defensive rebound by J. Martin
2:09.0,,,24-14,2,M. Conley makes 2-pt shot from 5 ft
2:09.0,,,24-14,,Shooting foul by R. McGruder (drawn by M. Conley)
2:09.0,,,24-15,1,M. Conley makes free throw 1 of 1
2:09.0,D. Waiters enters the game for R. McGruder,,24-14,,
1:56.0,T. Johnson misses 2-pt shot from 4 ft (block by M. Conley),,24-15,,
1:54.0,Offensive rebound by H. Whiteside,,24-15,,
1:54.0,H. Whiteside misses 2-pt shot from 4 ft (block by T. Allen),,24-15,,
1:52.0,,,24-15,,Defensive rebound by J. Martin
1:48.0,,,24-15,,Turnover by T. Allen (bad pass)
1:48.0,J. McRoberts enters the game for H. Whiteside,,24-15,,
1:48.0,,,24-15,,M. Gasol enters the game for D. Davis
1:32.0,T. Johnson makes 2-pt shot at rim (assist by J. McRoberts),2,26-15,,
1:14.0,,,26-17,2,M. Gasol makes 2-pt shot from 5 ft
0:58.0,J. McRoberts misses 2-pt shot from 2 ft (block by M. Gasol),,26-17,,
0:56.0,,,26-17,,Defensive rebound by T. Allen
0:53.0,,,26-19,2,M. Conley makes 2-pt shot from 2 ft (assist by T. Allen)
0:42.0,T. Johnson misses 2-pt shot from 21 ft,,26-19,,
0:40.0,,,26-19,,Defensive rebound by J. Martin
0:32.0,,,26-19,,M. Conley misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by T. Johnson,,26-19,,
0:28.0,T. Johnson makes 2-pt shot at rim,2,28-19,,
0:02.0,,,28-19,,M. Gasol misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by J. Johnson,,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Johnson makes 2-pt shot from 22 ft (assist by J. McRoberts),2,30-19,,
11:28.0,,,30-19,,M. Conley misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by J. McRoberts,,30-19,,
11:11.0,L. Babbitt misses 3-pt shot from 24 ft,,30-19,,
11:11.0,,,30-19,,Defensive rebound by J. Martin
10:56.0,,,30-21,2,T. Allen makes 2-pt shot from 5 ft
10:37.0,J. McRoberts makes 2-pt shot from 2 ft,2,32-21,,
10:30.0,,,32-21,,Memphis full timeout
10:20.0,,,32-21,,T. Allen misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by J. McRoberts,,32-21,,
10:05.0,T. Johnson misses 2-pt shot from 2 ft (block by T. Allen),,32-21,,
10:03.0,,,32-21,,Defensive rebound by J. Martin
9:59.0,Personal foul by J. McRoberts (drawn by M. Gasol),,32-21,,
9:52.0,,,32-24,3,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol)
9:31.0,T. Johnson makes 2-pt shot from 21 ft (assist by J. McRoberts),2,34-24,,
9:21.0,,,34-24,,Turnover by W. Baldwin (step out of bounds)
9:14.0,Shooting foul by J. Martin (drawn by J. Johnson),,34-24,,
9:14.0,J. Johnson makes free throw 1 of 2,1,35-24,,
9:14.0,J. Johnson makes free throw 2 of 2,1,36-24,,
9:14.0,J. Richardson enters the game for D. Waiters,,35-24,,
9:14.0,,,35-24,,J. Green enters the game for J. Martin
9:14.0,,,35-24,,A. Harrison enters the game for W. Baldwin
9:14.0,,,35-24,,T. Williams enters the game for T. Allen
9:08.0,,,36-26,2,T. Williams makes 2-pt shot at rim (assist by M. Conley)
8:52.0,Turnover by J. Johnson (lost ball; steal by T. Williams),,36-26,,
8:45.0,,,36-26,,Turnover by T. Williams (traveling)
8:45.0,Miami full timeout,,36-26,,
8:45.0,,,36-26,,J. Martin enters the game for M. Gasol
8:23.0,Shooting foul by T. Williams (drawn by J. McRoberts),,36-26,,
8:23.0,J. McRoberts makes free throw 1 of 2,1,37-26,,
8:23.0,J. McRoberts misses free throw 2 of 2,,37-26,,
8:22.0,,,37-26,,Defensive rebound by J. Martin
8:11.0,,,37-26,,M. Conley misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by L. Babbitt,,37-26,,
7:51.0,T. Johnson misses 3-pt shot from 23 ft,,37-26,,
7:50.0,,,37-26,,Defensive rebound by J. Martin
7:41.0,,,37-28,2,J. Green makes 2-pt shot from 7 ft (assist by A. Harrison)
7:18.0,J. McRoberts misses 2-pt shot from 10 ft,,37-28,,
7:17.0,,,37-28,,Defensive rebound by J. Martin
7:08.0,,,37-28,,Turnover by M. Conley (bad pass; steal by T. Johnson)
7:00.0,T. Johnson misses 3-pt shot from 25 ft,,37-28,,
6:57.0,,,37-28,,Defensive rebound by T. Williams
6:46.0,,,37-30,2,J. Martin makes 2-pt shot from 2 ft (assist by A. Harrison)
6:46.0,Miami full timeout,,37-30,,
6:46.0,,,37-30,,D. Davis enters the game for J. Martin
6:46.0,,,37-30,,T. Daniels enters the game for M. Conley
6:46.0,H. Whiteside enters the game for T. Johnson,,37-30,,
6:46.0,R. McGruder enters the game for J. Johnson,,37-30,,
6:46.0,J. Johnson enters the game for J. McRoberts,,37-30,,
6:27.0,J. Richardson misses 2-pt shot from 3 ft (block by A. Harrison),,37-30,,
6:27.0,Offensive rebound by H. Whiteside,,37-30,,
6:27.0,,,37-30,,Loose ball foul by D. Davis (drawn by H. Whiteside)
6:14.0,J. Richardson misses 3-pt shot from 25 ft,,37-30,,
6:13.0,,,37-30,,Defensive rebound by T. Williams
6:04.0,,,37-30,,T. Williams misses 2-pt shot from 2 ft
6:03.0,,,37-30,,Offensive rebound by D. Davis
6:03.0,,,37-30,,D. Davis misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by J. Johnson,,37-30,,
5:53.0,R. McGruder misses 3-pt shot from 24 ft,,37-30,,
5:53.0,,,37-30,,Defensive rebound by A. Harrison
5:51.0,Personal foul by J. Johnson (drawn by A. Harrison),,37-30,,
5:37.0,,,37-33,3,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison)
5:20.0,Turnover by H. Whiteside (3 sec),,37-33,,
5:05.0,,,37-33,,Turnover by T. Daniels (bad pass)
5:05.0,T. Johnson enters the game for L. Babbitt,,37-33,,
4:53.0,,,37-33,,Def 3 sec tech foul by D. Davis
4:53.0,T. Johnson misses technical free throw,,37-33,,
4:53.0,Offensive rebound by Team,,37-33,,
4:45.0,J. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson),2,39-33,,
4:36.0,Personal foul by J. Johnson (drawn by A. Harrison),,39-33,,
4:26.0,,,39-33,,A. Harrison misses 2-pt shot from 19 ft
4:26.0,,,39-33,,Offensive rebound by D. Davis
4:26.0,,,39-35,2,D. Davis makes 2-pt shot at rim
4:06.0,R. McGruder misses 2-pt shot from 7 ft,,39-35,,
4:05.0,Offensive rebound by H. Whiteside,,39-35,,
4:04.0,H. Whiteside misses 2-pt shot from 2 ft (block by D. Davis),,39-35,,
4:00.0,Offensive rebound by R. McGruder,,39-35,,
3:57.0,J. Richardson misses 3-pt shot from 26 ft,,39-35,,
3:56.0,,,39-35,,Defensive rebound by T. Daniels
3:50.0,,,39-35,,A. Harrison misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by R. McGruder,,39-35,,
3:31.0,T. Johnson misses 2-pt shot from 1 ft (block by T. Williams),,39-35,,
3:31.0,Offensive rebound by Team,,39-35,,
3:31.0,,,39-35,,T. Allen enters the game for T. Daniels
3:23.0,J. Richardson makes 3-pt shot from 26 ft,3,42-35,,
3:09.0,,,42-35,,Memphis full timeout
3:09.0,L. Babbitt enters the game for J. Johnson,,42-35,,
3:09.0,,,42-35,,M. Gasol enters the game for D. Davis
3:09.0,,,42-35,,M. Conley enters the game for T. Williams
3:00.0,,,42-37,2,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley)
2:36.0,H. Whiteside misses 2-pt shot from 20 ft,,42-37,,
2:35.0,,,42-37,,Defensive rebound by Team
2:35.0,D. Waiters enters the game for R. McGruder,,42-37,,
2:19.0,,,42-37,,T. Allen misses 2-pt shot from 3 ft
2:17.0,,,42-37,,Offensive rebound by J. Green
2:17.0,,,42-37,,J. Green misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by H. Whiteside,,42-37,,
2:07.0,D. Waiters misses 2-pt shot from 1 ft,,42-37,,
2:07.0,,,42-37,,Defensive rebound by A. Harrison
1:57.0,,,42-37,,M. Conley misses 3-pt shot from 23 ft
1:56.0,,,42-37,,Offensive rebound by Team
1:46.0,,,42-37,,M. Gasol misses 3-pt shot from 26 ft
1:46.0,,,42-37,,Offensive rebound by Team
1:46.0,Loose ball foul by L. Babbitt (drawn by J. Green),,42-37,,
1:36.0,,,42-37,,M. Conley misses 2-pt shot from 12 ft
1:34.0,Defensive rebound by H. Whiteside,,42-37,,
1:24.0,J. Richardson misses 2-pt shot from 14 ft,,42-37,,
1:22.0,,,42-37,,Defensive rebound by M. Conley
1:16.0,,,42-39,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
1:00.0,Turnover by D. Waiters (bad pass; steal by M. Conley),,42-39,,
0:56.0,,,42-39,,Turnover by T. Allen (lost ball)
0:42.0,Shooting foul by M. Gasol (drawn by T. Johnson),,42-39,,
0:42.0,T. Johnson misses free throw 1 of 2,,42-39,,
0:42.0,Offensive rebound by Team,,42-39,,
0:42.0,T. Johnson makes free throw 2 of 2,1,43-39,,
0:19.0,,,43-39,,Turnover by T. Allen (bad pass; steal by J. Richardson)
0:13.0,D. Waiters misses 3-pt shot from 23 ft,,43-39,,
0:11.0,Offensive rebound by T. Johnson,,43-39,,
0:10.0,,,43-39,,Violation by J. Green (def goaltending)
0:10.0,T. Johnson makes 2-pt shot from 5 ft,2,45-39,,
0:03.0,,,45-39,,M. Conley misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by H. Whiteside,,45-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by Team (shot clock),,45-39,,
11:14.0,,,45-39,,T. Daniels misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by J. Richardson,,45-39,,
11:04.0,J. Richardson makes 3-pt shot from 25 ft,3,48-39,,
10:47.0,,,48-39,,M. Gasol misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by D. Waiters,,48-39,,
10:27.0,J. Richardson makes 3-pt shot from 25 ft (assist by D. Waiters),3,51-39,,
10:27.0,,,51-39,,Memphis full timeout
10:13.0,Personal foul by H. Whiteside (drawn by M. Gasol),,51-39,,
10:04.0,,,51-39,,T. Daniels misses 2-pt shot from 14 ft
10:02.0,,,51-39,,Offensive rebound by T. Daniels
9:58.0,,,51-39,,M. Gasol misses 2-pt shot from 20 ft
9:57.0,,,51-39,,Offensive rebound by T. Allen
9:55.0,,,51-39,,T. Allen misses 2-pt shot from 1 ft
9:54.0,,,51-39,,Offensive rebound by T. Allen
9:43.0,,,51-41,2,M. Gasol makes 2-pt shot from 2 ft (assist by A. Harrison)
9:19.0,D. Williams misses 3-pt shot from 24 ft,,51-41,,
9:19.0,,,51-41,,Defensive rebound by Team
9:19.0,Loose ball foul by H. Whiteside (drawn by M. Gasol),,51-41,,
9:05.0,,,51-41,,Shooting foul by H. Whiteside (drawn by M. Gasol)
9:05.0,,,51-41,,M. Gasol misses free throw 1 of 2
9:05.0,,,51-41,,Offensive rebound by Team
9:05.0,,,51-42,1,M. Gasol makes free throw 2 of 2
9:05.0,U. Haslem enters the game for H. Whiteside,,51-41,,
8:54.0,D. Williams misses 2-pt shot from 16 ft,,51-42,,
8:53.0,,,51-42,,Defensive rebound by J. Green
8:39.0,,,51-42,,M. Gasol misses 2-pt shot from 12 ft
8:37.0,Defensive rebound by J. Richardson,,51-42,,
8:24.0,Turnover by D. Waiters (traveling),,51-42,,
8:09.0,,,51-42,,Offensive foul by J. Green
8:09.0,,,51-42,,Turnover by J. Green (offensive foul)
7:56.0,D. Williams misses 2-pt shot from 3 ft (block by M. Gasol),,51-42,,
7:53.0,,,51-42,,Defensive rebound by M. Gasol
7:46.0,,,51-44,2,J. Green makes 2-pt shot from 2 ft (assist by A. Harrison)
7:25.0,D. Waiters makes 2-pt shot from 1 ft,2,53-44,,
7:06.0,,,53-44,,Turnover by A. Harrison (lost ball; steal by D. Waiters)
6:58.0,R. McGruder makes 3-pt shot from 25 ft (assist by D. Waiters),3,56-44,,
6:42.0,,,56-46,2,T. Allen makes 2-pt shot from 2 ft
6:26.0,,,56-46,,J. Martin enters the game for M. Gasol
6:26.0,,,56-46,,T. Williams enters the game for T. Daniels
6:12.0,D. Waiters misses 3-pt shot from 26 ft,,56-46,,
6:10.0,,,56-46,,Defensive rebound by T. Williams
6:02.0,,,56-49,3,T. Williams makes 3-pt shot from 25 ft (assist by J. Green)
6:02.0,Miami full timeout,,56-49,,
6:02.0,J. Johnson enters the game for D. Williams,,56-49,,
5:48.0,R. McGruder misses 2-pt shot from 6 ft,,56-49,,
5:46.0,Offensive rebound by U. Haslem,,56-49,,
5:46.0,U. Haslem makes 2-pt shot from 2 ft,2,58-49,,
5:27.0,,,58-49,,J. Martin misses 2-pt shot from 1 ft (block by J. Johnson)
5:25.0,Defensive rebound by U. Haslem,,58-49,,
5:05.0,R. McGruder misses 3-pt shot from 23 ft,,58-49,,
5:04.0,,,58-49,,Defensive rebound by J. Martin
4:42.0,,,58-51,2,J. Martin makes 2-pt shot from 15 ft (assist by A. Harrison)
4:19.0,J. Johnson makes 3-pt shot from 23 ft (assist by R. McGruder),3,61-51,,
4:06.0,,,61-51,,Turnover by J. Martin (lost ball)
4:06.0,T. Johnson enters the game for J. Richardson,,61-51,,
4:06.0,,,61-51,,M. Conley enters the game for T. Allen
3:46.0,U. Haslem makes 2-pt shot at rim (assist by D. Waiters),2,63-51,,
3:22.0,,,63-51,,T. Williams misses 2-pt shot from 13 ft
3:20.0,,,63-51,,Offensive rebound by J. Martin
3:13.0,,,63-51,,Turnover by A. Harrison (lost ball; steal by D. Waiters)
3:09.0,D. Waiters makes 2-pt shot from 1 ft,2,65-51,,
3:09.0,,,65-51,,Memphis full timeout
3:09.0,,,65-51,,D. Davis enters the game for J. Green
3:09.0,,,65-51,,V. Carter enters the game for A. Harrison
3:09.0,,,65-51,,W. Baldwin enters the game for J. Martin
2:53.0,Personal foul by R. McGruder (drawn by M. Conley),,65-51,,
2:46.0,,,65-51,,Turnover by M. Conley (step out of bounds)
2:27.0,D. Waiters misses 2-pt shot from 20 ft,,65-51,,
2:25.0,,,65-51,,Defensive rebound by D. Davis
2:18.0,,,65-51,,V. Carter misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by D. Waiters,,65-51,,
1:59.0,J. Johnson misses 2-pt shot from 1 ft,,65-51,,
1:56.0,,,65-51,,Defensive rebound by V. Carter
1:50.0,Personal foul by R. McGruder (drawn by W. Baldwin),,65-51,,
1:50.0,,,65-52,1,W. Baldwin makes free throw 1 of 2
1:50.0,,,65-52,,W. Baldwin misses free throw 2 of 2
1:50.0,L. Babbitt enters the game for R. McGruder,,65-52,,
1:49.0,Defensive rebound by U. Haslem,,65-52,,
1:33.0,J. Johnson makes 3-pt shot from 26 ft,3,68-52,,
1:08.0,,,68-54,2,W. Baldwin makes 2-pt shot from 1 ft
0:54.0,T. Johnson makes 3-pt shot from 26 ft (assist by L. Babbitt),3,71-54,,
0:48.0,,,71-56,2,M. Conley makes 2-pt shot from 5 ft
0:48.0,,,71-56,,Shooting foul by T. Johnson (drawn by M. Conley)
0:48.0,,,71-57,1,M. Conley makes free throw 1 of 1
0:26.0,D. Waiters misses 2-pt shot from 2 ft (block by D. Davis),,71-57,,
0:24.0,,,71-57,,Defensive rebound by D. Davis
0:03.0,,,71-57,,Turnover by M. Conley (lost ball; steal by T. Johnson)
0:01.0,T. Johnson misses 2-pt shot from 16 ft,,71-57,,
0:00.0,Offensive rebound by Team,,71-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,71-57,,V. Carter misses 3-pt shot from 25 ft
11:50.0,Defensive rebound by J. Johnson,,71-57,,
11:47.0,,,71-57,,Personal foul by J. Green (drawn by J. Johnson)
11:47.0,,,71-57,,T. Daniels enters the game for W. Baldwin
11:29.0,J. McRoberts misses 2-pt shot from 15 ft (block by M. Gasol),,71-57,,
11:28.0,,,71-57,,Defensive rebound by M. Conley
11:11.0,,,71-59,2,V. Carter makes 2-pt shot from 1 ft
10:44.0,J. McRoberts misses 2-pt shot from 8 ft,,71-59,,
10:44.0,,,71-59,,Defensive rebound by Team
10:44.0,Loose ball foul by J. McRoberts (drawn by V. Carter),,71-59,,
10:36.0,,,71-59,,Shooting foul by T. Johnson (drawn by M. Conley)
10:36.0,,,71-60,1,M. Conley makes free throw 1 of 3
10:36.0,,,71-61,1,M. Conley makes free throw 2 of 3
10:36.0,,,71-62,1,M. Conley makes free throw 3 of 3
10:16.0,J. McRoberts misses 2-pt shot from 2 ft (block by M. Gasol),,71-62,,
10:16.0,,,71-62,,Defensive rebound by Team
10:07.0,,,71-62,,T. Daniels misses 3-pt shot from 25 ft (block by J. Johnson)
10:06.0,Defensive rebound by T. Johnson,,71-62,,
9:55.0,J. McRoberts makes 2-pt shot from 1 ft,2,73-62,,
9:41.0,,,73-62,,Shooting foul by J. Johnson (drawn by J. Green)
9:41.0,,,73-63,1,J. Green makes free throw 1 of 2
9:41.0,,,73-64,1,J. Green makes free throw 2 of 2
9:41.0,,,73-63,,A. Harrison enters the game for M. Conley
9:26.0,L. Babbitt makes 2-pt shot from 13 ft (assist by J. Richardson),2,75-64,,
9:09.0,,,75-64,,J. Green misses 2-pt shot from 4 ft (block by J. McRoberts)
9:08.0,,,75-64,,Offensive rebound by V. Carter
9:01.0,,,75-64,,V. Carter misses 3-pt shot from 32 ft
9:01.0,,,75-64,,Offensive rebound by Team
9:01.0,,,75-64,,Turnover by Team (shot clock)
8:39.0,L. Babbitt misses 3-pt shot from 27 ft,,75-64,,
8:39.0,,,75-64,,Defensive rebound by T. Daniels
8:28.0,,,75-64,,A. Harrison misses 2-pt shot from 2 ft (block by L. Babbitt)
8:24.0,,,75-64,,Offensive rebound by J. Green
8:24.0,,,75-64,,J. Green misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by J. McRoberts,,75-64,,
8:14.0,T. Johnson misses 3-pt shot from 24 ft,,75-64,,
8:14.0,Offensive rebound by J. McRoberts,,75-64,,
8:00.0,L. Babbitt makes 3-pt shot from 26 ft (assist by J. Richardson),3,78-64,,
7:58.0,,,78-64,,Memphis full timeout
7:58.0,H. Whiteside enters the game for J. Richardson,,78-64,,
7:58.0,R. McGruder enters the game for J. McRoberts,,78-64,,
7:58.0,,,78-64,,T. Williams enters the game for M. Gasol
7:58.0,,,78-64,,J. Martin enters the game for T. Daniels
7:39.0,,,78-66,2,T. Williams makes 2-pt shot from 1 ft
7:24.0,Turnover by J. Johnson (bad pass),,78-66,,
7:12.0,,,78-66,,A. Harrison misses 2-pt shot from 13 ft
7:11.0,Defensive rebound by J. Johnson,,78-66,,
7:01.0,J. Johnson misses 2-pt shot from 5 ft,,78-66,,
7:01.0,,,78-66,,Defensive rebound by J. Martin
6:47.0,,,78-68,2,J. Green makes 2-pt shot from 6 ft
6:33.0,,,78-68,,Personal foul by T. Williams (drawn by R. McGruder)
6:33.0,D. Waiters enters the game for L. Babbitt,,78-68,,
6:20.0,J. Johnson misses 3-pt shot from 25 ft,,78-68,,
6:19.0,,,78-68,,Defensive rebound by T. Williams
6:04.0,,,78-68,,T. Williams misses 2-pt shot from 2 ft (block by T. Johnson)
6:03.0,Defensive rebound by H. Whiteside,,78-68,,
5:56.0,,,78-68,,M. Gasol enters the game for J. Martin
5:56.0,Miami full timeout,,78-68,,
5:56.0,,,78-68,,M. Conley enters the game for J. Green
5:48.0,Turnover by R. McGruder (bad pass; steal by V. Carter),,78-68,,
5:33.0,,,78-68,,M. Conley misses 2-pt shot from 10 ft
5:31.0,,,78-68,,Offensive rebound by T. Williams
5:31.0,,,78-70,2,T. Williams makes 2-pt shot at rim
5:09.0,Shooting foul by M. Conley (drawn by T. Johnson),,78-70,,
5:09.0,T. Johnson makes free throw 1 of 2,1,79-70,,
5:09.0,T. Johnson makes free throw 2 of 2,1,80-70,,
4:55.0,,,80-70,,M. Gasol misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by H. Whiteside,,80-70,,
4:41.0,D. Waiters misses 3-pt shot from 26 ft,,80-70,,
4:40.0,,,80-70,,Defensive rebound by V. Carter
4:38.0,,,80-70,,Turnover by V. Carter (bad pass; steal by R. McGruder)
4:37.0,,,80-70,,Violation by V. Carter (def goaltending)
4:37.0,R. McGruder makes 2-pt shot from 2 ft,2,82-70,,
4:22.0,,,82-70,,M. Conley misses 2-pt shot from 23 ft (block by R. McGruder)
4:19.0,,,82-70,,Offensive rebound by M. Conley
4:16.0,,,82-73,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol)
3:58.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder),3,85-73,,
3:36.0,,,85-73,,A. Harrison misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by D. Waiters,,85-73,,
3:21.0,Shooting foul by A. Harrison (drawn by H. Whiteside),,85-73,,
3:21.0,H. Whiteside misses free throw 1 of 2,,85-73,,
3:21.0,Offensive rebound by Team,,85-73,,
