time,Dallas,pts.away,score,pts.home,Cleveland
2:57.0,,,28-62,,Cleveland full timeout
2:50.0,,,28-62,,J. Smith misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by A. Bogut,,28-62,,
2:33.0,D. Nowitzki misses 2-pt shot from 15 ft,,28-62,,
2:31.0,,,28-62,,Defensive rebound by K. Love
2:25.0,,,28-65,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
2:09.0,,,28-65,,Personal foul by K. Love (drawn by W. Matthews)
2:02.0,S. Curry misses 3-pt shot from 26 ft,,28-65,,
2:02.0,,,28-65,,Defensive rebound by L. James
1:54.0,,,28-68,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
1:52.0,Dallas full timeout,,28-68,,
1:36.0,Shooting foul by J. Smith (drawn by S. Curry),,28-68,,
1:36.0,S. Curry makes free throw 1 of 2,1,29-68,,
1:36.0,S. Curry makes free throw 2 of 2,1,30-68,,
1:27.0,,,30-68,,Turnover by J. Smith (bad pass)
1:21.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,32-68,,
1:21.0,Shooting foul by L. James (drawn by A. Bogut),,32-68,,
1:21.0,A. Bogut misses free throw 1 of 1,,32-68,,
1:18.0,,,32-68,,Defensive rebound by T. Thompson
1:06.0,,,32-68,,J. Smith misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by D. Nowitzki,,32-68,,
0:55.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,34-68,,
0:55.0,Shooting foul by T. Thompson (drawn by S. Curry),,34-68,,
0:55.0,S. Curry makes free throw 1 of 1,1,35-68,,
0:45.0,,,35-70,2,L. James makes 2-pt shot from 15 ft
0:25.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry),3,38-70,,
0:07.0,,,38-72,2,K. Irving makes 2-pt shot from 16 ft
0:06.0,Turnover by S. Curry (traveling),,38-72,,
0:06.0,D. Finney-Smith enters the game for D. Nowitzki,,38-72,,
0:02.0,,,38-72,,Turnover by L. James (bad pass; steal by A. Bogut)
0:00.0,W. Matthews misses 3-pt shot from 41 ft,,38-72,,
0:00.0,Offensive rebound by Team,,38-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,38-72,,Turnover by L. James (traveling)
11:31.0,H. Barnes misses 3-pt shot from 25 ft,,38-72,,
11:30.0,Offensive rebound by A. Bogut,,38-72,,
11:15.0,S. Curry makes 2-pt shot from 6 ft,2,40-72,,
11:04.0,,,40-74,2,K. Irving makes 2-pt shot from 11 ft
10:50.0,Offensive foul by D. Nowitzki,,40-74,,
10:50.0,Turnover by D. Nowitzki (offensive foul),,40-74,,
10:29.0,,,40-76,2,K. Irving makes 2-pt shot from 15 ft
10:14.0,S. Curry makes 2-pt shot from 18 ft,2,42-76,,
9:59.0,,,42-76,,K. Love misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by A. Bogut,,42-76,,
9:33.0,W. Matthews misses 3-pt shot from 22 ft,,42-76,,
9:33.0,Offensive rebound by A. Bogut,,42-76,,
9:23.0,S. Curry misses 3-pt shot from 26 ft,,42-76,,
9:23.0,,,42-76,,Defensive rebound by K. Love
9:20.0,Personal foul by S. Curry (drawn by K. Irving),,42-76,,
9:04.0,,,42-79,3,L. James makes 3-pt shot from 25 ft (assist by K. Love)
8:46.0,Turnover by A. Bogut (bad pass; steal by K. Love),,42-79,,
8:37.0,,,42-82,3,L. James makes 3-pt shot from 29 ft (assist by J. Smith)
8:37.0,Dallas full timeout,,42-82,,
8:29.0,Turnover by S. Curry (bad pass; steal by J. Smith),,42-82,,
8:23.0,,,42-82,,T. Thompson misses 2-pt shot from 5 ft
8:23.0,,,42-82,,Offensive rebound by Team
8:19.0,,,42-82,,L. James misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by A. Bogut,,42-82,,
7:59.0,Turnover by W. Matthews (bad pass; steal by K. Love),,42-82,,
7:55.0,,,42-82,,Turnover by J. Smith (bad pass; steal by A. Bogut)
7:49.0,H. Barnes misses 3-pt shot from 24 ft,,42-82,,
7:49.0,Offensive rebound by A. Bogut,,42-82,,
7:44.0,S. Curry misses 3-pt shot from 24 ft,,42-82,,
7:44.0,Offensive rebound by D. Nowitzki,,42-82,,
7:44.0,D. Nowitzki misses 2-pt shot at rim,,42-82,,
7:41.0,Offensive rebound by Team,,42-82,,
7:39.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by S. Curry),2,44-82,,
7:26.0,,,44-82,,K. Irving misses 2-pt shot from 11 ft
7:24.0,Defensive rebound by D. Nowitzki,,44-82,,
7:03.0,S. Curry makes 2-pt shot from 15 ft (assist by D. Nowitzki),2,46-82,,
6:47.0,,,46-85,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
6:30.0,Turnover by W. Matthews (bad pass; steal by K. Love),,46-85,,
6:27.0,Personal foul by A. Bogut (drawn by L. James),,46-85,,
6:27.0,D. Finney-Smith enters the game for D. Nowitzki,,46-85,,
6:16.0,,,46-85,,J. Smith misses 3-pt shot from 23 ft
6:16.0,,,46-85,,Offensive rebound by T. Thompson
6:12.0,Personal foul by A. Bogut (drawn by K. Irving),,46-85,,
5:59.0,,,46-85,,L. James misses 2-pt shot from 14 ft
5:57.0,,,46-85,,Offensive rebound by T. Thompson
5:53.0,,,46-88,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
5:33.0,D. Finney-Smith misses 3-pt shot from 24 ft,,46-88,,
5:32.0,,,46-88,,Defensive rebound by K. Love
5:23.0,,,46-88,,Turnover by K. Irving (lost ball; steal by W. Matthews)
5:23.0,Jump ball: K. Irving vs. W. Matthews (H. Barnes gains possession),,,,Jump ball: K. Irving vs. W. Matthews (H. Barnes gains possession)
5:09.0,S. Curry misses 3-pt shot from 26 ft,,46-88,,
5:09.0,,,46-88,,Defensive rebound by K. Love
5:00.0,,,46-88,,L. James misses 3-pt shot from 28 ft
4:59.0,Defensive rebound by S. Curry,,46-88,,
4:47.0,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry),2,48-88,,
4:28.0,,,48-88,,K. Irving misses 3-pt shot from 28 ft
4:28.0,,,48-88,,Offensive rebound by T. Thompson
4:28.0,Personal foul by A. Bogut (drawn by T. Thompson),,48-88,,
4:28.0,D. Nowitzki enters the game for A. Bogut,,48-88,,
4:24.0,,,48-88,,K. Irving misses 2-pt shot from 18 ft
4:24.0,Defensive rebound by Team,,48-88,,
4:14.0,W. Matthews misses 3-pt shot from 24 ft,,48-88,,
4:14.0,Offensive rebound by Team,,48-88,,
4:13.0,,,48-88,,Loose ball foul by J. Smith (drawn by D. Nowitzki)
3:54.0,D. Nowitzki misses 3-pt shot from 25 ft,,48-88,,
3:52.0,Offensive rebound by H. Barnes,,48-88,,
3:52.0,H. Barnes makes 2-pt shot at rim,2,50-88,,
3:30.0,,,50-91,3,K. Love makes 3-pt shot from 27 ft (assist by K. Irving)
3:25.0,,,50-91,,Violation by T. Thompson (kicked ball)
3:06.0,D. Finney-Smith misses 2-pt shot from 1 ft,,50-91,,
3:04.0,,,50-91,,Defensive rebound by K. Love
3:00.0,,,50-93,2,L. James makes 2-pt shot at rim (assist by K. Love)
2:38.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Finney-Smith),3,53-93,,
2:10.0,,,53-93,,J. Smith misses 3-pt shot from 23 ft
2:09.0,Defensive rebound by S. Curry,,53-93,,
2:00.0,W. Matthews misses 3-pt shot from 27 ft,,53-93,,
1:59.0,Offensive rebound by H. Barnes,,53-93,,
1:54.0,S. Curry misses 3-pt shot from 25 ft,,53-93,,
1:53.0,,,53-93,,Defensive rebound by L. James
1:48.0,,,53-95,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
1:48.0,Dallas full timeout,,53-95,,
1:48.0,,,53-95,,Cleveland full timeout
1:48.0,,,53-95,,C. Andersen enters the game for L. James
1:48.0,,,53-95,,M. Dunleavy enters the game for K. Love
1:48.0,,,53-95,,K. Felder enters the game for T. Thompson
1:48.0,,,53-95,,J. McRae enters the game for K. Irving
1:29.0,S. Curry misses 2-pt shot from 6 ft,,53-95,,
1:27.0,Offensive rebound by H. Barnes,,53-95,,
1:25.0,H. Barnes makes 2-pt shot from 2 ft,2,55-95,,
1:12.0,,,55-95,,J. Smith misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by H. Barnes,,55-95,,
0:53.0,D. Nowitzki misses 2-pt shot from 15 ft,,55-95,,
0:53.0,,,55-95,,Defensive rebound by K. Felder
0:47.0,,,55-95,,J. Smith misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by W. Matthews,,55-95,,
0:43.0,,,55-95,,Personal foul by J. McRae (drawn by W. Matthews)
0:43.0,,,55-95,,D. Liggins enters the game for J. Smith
0:33.0,S. Curry misses 2-pt shot from 19 ft,,55-95,,
0:32.0,,,55-95,,Defensive rebound by C. Andersen
0:14.0,Personal foul by D. Finney-Smith (drawn by K. Felder),,55-95,,
0:14.0,,,55-96,1,K. Felder makes free throw 1 of 2
0:14.0,,,55-96,,K. Felder misses free throw 2 of 2
0:13.0,Defensive rebound by D. Nowitzki,,55-96,,
0:00.0,S. Curry misses 3-pt shot from 23 ft,,55-96,,
0:00.0,Offensive rebound by Team,,55-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by J. Anderson),3,58-96,,
11:18.0,,,58-99,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by K. Felder)
10:52.0,Turnover by Team (shot clock),,58-99,,
10:36.0,,,58-99,,J. McRae misses 3-pt shot from 25 ft
10:33.0,,,58-99,,Offensive rebound by Team
10:32.0,,,58-99,,Shooting foul by J. Anderson (drawn by M. Dunleavy)
10:32.0,,,58-100,1,M. Dunleavy makes free throw 1 of 2
10:32.0,,,58-101,1,M. Dunleavy makes free throw 2 of 2
10:21.0,D. Powell makes 2-pt shot at rim (assist by J. Gibson),2,60-101,,
10:11.0,,,60-103,2,K. Felder makes 2-pt shot from 16 ft
9:49.0,Shooting foul by C. Andersen (drawn by J. Anderson),,60-103,,
9:49.0,J. Anderson makes free throw 1 of 2,1,61-103,,
9:49.0,J. Anderson misses free throw 2 of 2,,61-103,,
9:48.0,,,61-103,,Defensive rebound by C. Andersen
9:38.0,,,61-105,2,K. Felder makes 2-pt shot from 13 ft
9:26.0,J. Anderson misses 2-pt shot from 8 ft,,61-105,,
9:26.0,,,61-105,,Defensive rebound by Team
9:26.0,Loose ball foul by D. Powell (drawn by C. Andersen),,61-105,,
9:19.0,,,61-105,,Offensive foul by C. Andersen
9:19.0,,,61-105,,Turnover by C. Andersen (offensive foul)
9:06.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by N. Brussino),2,63-105,,
8:53.0,,,63-105,,K. Felder misses 2-pt shot from 1 ft
8:53.0,,,63-105,,Offensive rebound by D. Liggins
8:53.0,,,63-107,2,D. Liggins makes 2-pt shot from 1 ft
8:53.0,,,63-107,,Shooting foul by N. Brussino (drawn by D. Liggins)
8:53.0,Official timeout,,63-107,,
8:53.0,,,63-108,1,D. Liggins makes free throw 1 of 1
8:40.0,D. Powell makes 2-pt shot from 19 ft (assist by N. Brussino),2,65-108,,
8:20.0,,,65-108,,J. McRae misses 2-pt shot from 2 ft
8:19.0,,,65-108,,Offensive rebound by C. Andersen
8:19.0,,,65-110,2,C. Andersen makes 2-pt shot at rim
8:14.0,Shooting foul by K. Felder (drawn by J. Gibson),,65-110,,
8:14.0,J. Gibson makes free throw 1 of 2,1,66-110,,
8:14.0,J. Gibson makes free throw 2 of 2,1,67-110,,
7:58.0,,,67-110,,D. Liggins misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by D. Powell,,67-110,,
7:43.0,D. Powell misses 2-pt shot from 15 ft,,67-110,,
7:42.0,,,67-110,,Defensive rebound by D. Liggins
7:30.0,,,67-110,,Turnover by K. Felder (bad pass; steal by J. Anderson)
7:21.0,J. Anderson makes 2-pt shot at rim (assist by J. Gibson),2,69-110,,
6:56.0,,,69-110,,J. McRae misses 2-pt shot from 2 ft (block by D. Powell)
6:55.0,Defensive rebound by Team,,69-110,,
6:45.0,D. Finney-Smith misses 3-pt shot from 24 ft,,69-110,,
6:45.0,,,69-110,,Defensive rebound by D. Liggins
6:30.0,,,69-112,2,C. Andersen makes 2-pt shot from 1 ft (assist by D. Liggins)
6:23.0,D. Powell makes 2-pt shot at rim (assist by N. Brussino),2,71-112,,
6:09.0,,,71-112,,K. Felder misses 2-pt shot from 1 ft
6:07.0,Defensive rebound by N. Brussino,,71-112,,
6:01.0,D. Powell makes 2-pt shot from 2 ft (assist by N. Brussino),2,73-112,,
6:01.0,,,73-112,,Cleveland full timeout
6:01.0,A. Hammons enters the game for J. Anderson,,73-112,,
6:01.0,,,73-112,,J. Jones enters the game for M. Dunleavy
5:44.0,,,73-112,,Turnover by C. Andersen (bad pass)
5:31.0,J. Gibson makes 3-pt shot from 24 ft (assist by D. Powell),3,76-112,,
5:11.0,,,76-112,,D. Liggins misses 2-pt shot from 10 ft
5:09.0,Defensive rebound by J. Gibson,,76-112,,
4:59.0,N. Brussino makes 2-pt shot from 17 ft,2,78-112,,
4:50.0,,,78-114,2,J. McRae makes 2-pt shot at rim (assist by K. Felder)
4:31.0,N. Brussino misses 3-pt shot from 27 ft,,78-114,,
4:31.0,,,78-114,,Defensive rebound by J. McRae
4:21.0,,,78-114,,Turnover by K. Felder (traveling)
4:21.0,Dallas full timeout,,78-114,,
3:58.0,A. Hammons misses 2-pt shot from 14 ft (block by K. Felder),,78-114,,
3:55.0,,,78-114,,Defensive rebound by C. Andersen
3:51.0,,,78-114,,J. McRae misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by A. Hammons,,78-114,,
3:44.0,,,78-114,,Personal foul by J. McRae (drawn by D. Finney-Smith)
3:35.0,,,78-114,,Personal foul by D. Liggins (drawn by N. Brussino)
3:24.0,D. Finney-Smith misses 3-pt shot from 26 ft,,78-114,,
3:23.0,Offensive rebound by N. Brussino,,78-114,,
3:16.0,D. Powell misses 3-pt shot from 26 ft,,78-114,,
