time,Memphis,pts.away,score,pts.home,San Antonio
4:01.0,Memphis full timeout,,14-14,,
4:01.0,,,14-14,,D. Bertans enters the game for L. Aldridge
4:01.0,M. Conley enters the game for J. Ennis,,14-14,,
4:00.0,Turnover by W. Selden (bad pass; steal by K. Leonard),,14-14,,
4:00.0,Clear path foul by M. Conley,,14-14,,
4:00.0,,,14-15,1,K. Leonard makes clear path free throw 1 of 2
4:00.0,,,14-16,1,K. Leonard makes clear path free throw 2 of 2
3:53.0,Personal block foul by M. Gasol (drawn by K. Leonard),,14-16,,
3:53.0,,,14-16,,K. Leonard misses free throw 1 of 2
3:53.0,,,14-16,,Offensive rebound by Team
3:53.0,,,14-17,1,K. Leonard makes free throw 2 of 2
3:31.0,M. Gasol misses 2-pt shot from 10 ft,,14-17,,
3:30.0,,,14-17,,Defensive rebound by P. Gasol
3:23.0,,,14-19,2,M. Ginobili makes 2-pt shot from 2 ft
3:09.0,,,14-19,,Personal block foul by P. Gasol (drawn by M. Gasol)
2:59.0,J. Green misses 3-pt shot from 23 ft,,14-19,,
2:58.0,Offensive rebound by Team,,14-19,,
2:44.0,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley),2,16-19,,
2:24.0,,,16-19,,Turnover by K. Leonard (bad pass; steal by M. Conley)
2:19.0,M. Conley misses 2-pt shot from 15 ft,,16-19,,
2:16.0,,,16-19,,Defensive rebound by K. Leonard
2:11.0,,,16-21,2,K. Leonard makes 2-pt shot from 10 ft
1:56.0,M. Gasol makes 2-pt shot from 7 ft (assist by W. Selden),2,18-21,,
1:56.0,Shooting foul by P. Gasol (drawn by M. Gasol),,18-21,,
1:56.0,M. Gasol makes free throw 1 of 1,1,19-21,,
1:37.0,,,19-23,2,P. Gasol makes 2-pt shot from 7 ft (assist by K. Leonard)
1:23.0,,,19-23,,D. Lee enters the game for P. Gasol
1:14.0,Shooting foul by M. Ginobili (drawn by W. Selden),,19-23,,
1:14.0,W. Selden makes free throw 1 of 2,1,20-23,,
1:14.0,W. Selden makes free throw 2 of 2,1,21-23,,
0:57.0,,,21-23,,K. Leonard misses 2-pt shot from 20 ft
0:56.0,Defensive rebound by J. Green,,21-23,,
0:47.0,,,21-23,,Personal foul by D. Lee (drawn by M. Gasol)
0:47.0,M. Gasol makes free throw 1 of 2,1,22-23,,
0:47.0,M. Gasol makes free throw 2 of 2,1,23-23,,
0:34.0,,,23-23,,D. Bertans misses 3-pt shot from 23 ft
0:33.0,,,23-23,,Offensive rebound by M. Ginobili
0:26.0,,,23-23,,K. Leonard misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by J. Green,,23-23,,
0:05.0,M. Gasol misses 2-pt shot from 13 ft,,23-23,,
0:01.0,,,23-23,,Defensive rebound by D. Bertans
0:00.0,,,23-23,,D. Bertans misses 3-pt shot from 25 ft
0:00.0,,,23-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,23-25,2,J. Simmons makes 2-pt shot from 11 ft
11:17.0,Z. Randolph makes 2-pt shot from 5 ft,2,25-25,,
11:02.0,,,25-28,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Bertans)
10:49.0,,,25-28,,Personal foul by J. Simmons (drawn by A. Harrison)
10:49.0,,,25-28,,T. Parker enters the game for M. Ginobili
10:49.0,,,25-28,,D. Green enters the game for P. Mills
10:36.0,Z. Randolph misses 2-pt shot from 16 ft,,25-28,,
10:34.0,Offensive rebound by A. Harrison,,25-28,,
10:23.0,W. Selden makes 2-pt shot from 12 ft,2,27-28,,
10:05.0,,,27-28,,Turnover by T. Parker (lost ball; steal by A. Harrison)
9:55.0,J. Green misses 3-pt shot from 23 ft,,27-28,,
9:54.0,,,27-28,,Defensive rebound by D. Green
9:37.0,,,27-31,3,T. Parker makes 3-pt shot from 24 ft (assist by D. Green)
9:10.0,W. Selden makes 2-pt shot from 10 ft (assist by M. Conley),2,29-31,,
8:46.0,,,29-33,2,L. Aldridge makes 2-pt shot from 8 ft
8:17.0,Turnover by Team (shot clock),,29-33,,
8:17.0,Official timeout,,29-33,,
8:17.0,J. Ennis enters the game for W. Selden,,29-33,,
8:17.0,V. Carter enters the game for A. Harrison,,29-33,,
8:17.0,M. Gasol enters the game for J. Green,,29-33,,
8:17.0,,,29-33,,D. Lee enters the game for D. Bertans
8:02.0,,,29-33,,J. Simmons misses 2-pt shot from 4 ft
8:01.0,,,29-33,,Offensive rebound by Team
7:52.0,,,29-35,2,L. Aldridge makes 2-pt shot from 14 ft
7:32.0,J. Ennis misses 3-pt shot from 23 ft,,29-35,,
7:32.0,,,29-35,,Defensive rebound by L. Aldridge
7:23.0,,,29-35,,Turnover by T. Parker (bad pass; steal by Z. Randolph)
7:19.0,,,29-35,,Violation by J. Simmons (def goaltending)
7:19.0,J. Ennis makes 2-pt shot from 1 ft (assist by Z. Randolph),2,31-35,,
7:19.0,Shooting foul by D. Green (drawn by J. Ennis),,31-35,,
7:19.0,J. Ennis makes free throw 1 of 1,1,32-35,,
7:19.0,,,31-35,,K. Leonard enters the game for J. Simmons
6:59.0,,,32-35,,L. Aldridge misses 2-pt shot from 6 ft
6:59.0,Defensive rebound by M. Conley,,32-35,,
6:52.0,Shooting foul by D. Lee (drawn by V. Carter),,32-35,,
6:52.0,V. Carter makes free throw 1 of 3,1,33-35,,
6:52.0,V. Carter makes free throw 2 of 3,1,34-35,,
6:52.0,V. Carter makes free throw 3 of 3,1,35-35,,
6:32.0,,,35-38,3,T. Parker makes 3-pt shot from 25 ft (assist by K. Leonard)
6:16.0,M. Conley misses 3-pt shot from 24 ft,,35-38,,
6:16.0,,,35-38,,Defensive rebound by Team
6:16.0,,,35-38,,P. Gasol enters the game for D. Lee
6:01.0,,,35-38,,L. Aldridge misses 2-pt shot at rim
6:00.0,Defensive rebound by M. Conley,,35-38,,
5:49.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley),2,37-38,,
5:49.0,,,37-38,,San Antonio full timeout
5:49.0,A. Harrison enters the game for M. Conley,,37-38,,
5:26.0,,,37-38,,L. Aldridge misses 2-pt shot from 16 ft
5:26.0,,,37-38,,Offensive rebound by Team
5:26.0,Loose ball foul by J. Ennis (drawn by P. Gasol),,37-38,,
5:09.0,,,37-41,3,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker)
4:46.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol),3,40-41,,
4:22.0,,,40-44,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
3:56.0,Z. Randolph makes 2-pt shot from 1 ft,2,42-44,,
3:40.0,,,42-47,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard)
3:30.0,Memphis full timeout,,42-47,,
3:30.0,,,42-47,,M. Ginobili enters the game for D. Green
3:30.0,,,42-47,,P. Mills enters the game for T. Parker
3:30.0,M. Conley enters the game for A. Harrison,,42-47,,
3:29.0,Turnover by M. Conley (lost ball),,42-47,,
3:16.0,,,42-47,,P. Gasol misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by M. Gasol,,42-47,,
2:57.0,M. Gasol misses 2-pt shot from 11 ft,,42-47,,
2:55.0,,,42-47,,Defensive rebound by L. Aldridge
2:39.0,Shooting block foul by Z. Randolph (drawn by K. Leonard),,42-47,,
2:39.0,,,42-48,1,K. Leonard makes free throw 1 of 2
2:39.0,,,42-49,1,K. Leonard makes free throw 2 of 2
2:16.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol),3,45-49,,
2:00.0,,,45-51,2,P. Mills makes 2-pt shot at rim
1:49.0,Z. Randolph misses 3-pt shot from 25 ft,,45-51,,
1:48.0,,,45-51,,Defensive rebound by L. Aldridge
1:30.0,,,45-51,,M. Ginobili misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by M. Gasol,,45-51,,
1:23.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,47-51,,
1:04.0,,,47-53,2,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili)
0:53.0,M. Conley misses 2-pt shot from 3 ft,,47-53,,
0:52.0,Offensive rebound by Z. Randolph,,47-53,,
0:52.0,Z. Randolph misses 2-pt shot at rim,,47-53,,
0:49.0,Offensive rebound by Z. Randolph,,47-53,,
0:48.0,Z. Randolph misses 2-pt shot from 2 ft (block by L. Aldridge),,47-53,,
0:45.0,Offensive rebound by J. Ennis,,47-53,,
0:43.0,Turnover by J. Ennis (lost ball; steal by M. Ginobili),,47-53,,
0:43.0,Personal foul by V. Carter (drawn by M. Ginobili),,47-53,,
0:33.0,,,47-55,2,K. Leonard makes 2-pt shot from 8 ft
0:28.0,Shooting foul by M. Ginobili (drawn by V. Carter),,47-55,,
0:28.0,V. Carter makes free throw 1 of 2,1,48-55,,
0:28.0,V. Carter makes free throw 2 of 2,1,49-55,,
0:28.0,J. Green enters the game for Z. Randolph,,48-55,,
0:03.0,,,49-55,,P. Mills misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Green,,49-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,49-57,2,T. Parker makes 2-pt shot at rim
11:09.0,V. Carter misses 3-pt shot from 26 ft,,49-57,,
11:08.0,,,49-57,,Defensive rebound by D. Lee
10:59.0,,,49-59,2,T. Parker makes 2-pt shot from 19 ft
10:59.0,Memphis full timeout,,49-59,,
10:43.0,M. Conley makes 2-pt shot from 1 ft,2,51-59,,
10:43.0,Shooting foul by D. Lee (drawn by M. Conley),,51-59,,
10:43.0,M. Conley makes free throw 1 of 1,1,52-59,,
10:30.0,,,52-59,,K. Leonard misses 2-pt shot from 7 ft
10:29.0,Defensive rebound by J. Ennis,,52-59,,
10:15.0,M. Conley misses 2-pt shot from 16 ft,,52-59,,
10:14.0,,,52-59,,Defensive rebound by D. Lee
9:59.0,,,52-59,,Shooting foul by Z. Randolph (drawn by L. Aldridge)
9:59.0,,,52-60,1,L. Aldridge makes free throw 1 of 2
9:59.0,,,52-61,1,L. Aldridge makes free throw 2 of 2
9:43.0,M. Conley makes 2-pt shot from 13 ft (assist by J. Ennis),2,54-61,,
9:24.0,,,54-61,,T. Parker misses 2-pt shot from 2 ft (block by M. Conley)
9:23.0,,,54-61,,Offensive rebound by Team
9:23.0,,,54-61,,Violation by Team (jump ball)
9:20.0,,,54-61,,L. Aldridge misses 2-pt shot from 13 ft
9:19.0,Defensive rebound by M. Gasol,,54-61,,
9:12.0,M. Conley misses 2-pt shot from 1 ft,,54-61,,
9:11.0,,,54-61,,Defensive rebound by T. Parker
9:04.0,,,54-63,2,D. Lee makes 2-pt shot from 1 ft (assist by D. Green)
8:47.0,M. Gasol misses 2-pt shot from 15 ft,,54-63,,
8:46.0,,,54-63,,Defensive rebound by D. Lee
8:36.0,,,54-65,2,T. Parker makes 2-pt shot from 19 ft
8:35.0,Memphis full timeout,,54-65,,
8:35.0,A. Harrison enters the game for V. Carter,,54-65,,
8:12.0,M. Conley misses 2-pt shot from 9 ft,,54-65,,
8:11.0,,,54-65,,Defensive rebound by L. Aldridge
7:57.0,,,54-65,,D. Green misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by Z. Randolph,,54-65,,
7:39.0,J. Ennis misses 3-pt shot from 26 ft,,54-65,,
7:38.0,Offensive rebound by Z. Randolph,,54-65,,
7:37.0,Shooting foul by L. Aldridge (drawn by Z. Randolph),,54-65,,
7:37.0,Z. Randolph misses free throw 1 of 2,,54-65,,
7:37.0,Offensive rebound by Team,,54-65,,
7:37.0,Z. Randolph makes free throw 2 of 2,1,55-65,,
7:37.0,V. Carter enters the game for M. Conley,,54-65,,
7:25.0,,,55-67,2,K. Leonard makes 2-pt shot from 6 ft
7:06.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,55-67,,
7:06.0,M. Gasol makes free throw 1 of 2,1,56-67,,
7:06.0,M. Gasol makes free throw 2 of 2,1,57-67,,
6:44.0,,,57-69,2,L. Aldridge makes 2-pt shot from 7 ft
6:28.0,M. Gasol makes 2-pt shot from 7 ft,2,59-69,,
6:12.0,,,59-69,,Turnover by T. Parker (bad pass; steal by Z. Randolph)
5:52.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,61-69,,
5:45.0,,,61-69,,San Antonio full timeout
5:45.0,,,61-69,,P. Mills enters the game for T. Parker
5:45.0,,,61-69,,M. Ginobili enters the game for D. Green
5:45.0,,,61-69,,P. Gasol enters the game for D. Lee
5:45.0,J. Green enters the game for Z. Randolph,,61-69,,
5:28.0,,,61-72,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
5:14.0,,,61-72,,Personal block foul by P. Mills
4:53.0,Turnover by J. Green (lost ball; steal by M. Ginobili),,61-72,,
4:43.0,,,61-72,,P. Mills misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by J. Ennis,,61-72,,
4:29.0,A. Harrison misses 3-pt shot from 26 ft,,61-72,,
4:29.0,,,61-72,,Defensive rebound by L. Aldridge
4:07.0,,,61-74,2,P. Gasol makes 2-pt shot from 16 ft (assist by L. Aldridge)
4:07.0,,,61-74,,Shooting foul by A. Harrison (drawn by P. Gasol)
4:07.0,,,61-75,1,P. Gasol makes free throw 1 of 1
3:53.0,Turnover by V. Carter (lost ball; steal by M. Ginobili),,61-75,,
3:53.0,Personal foul by V. Carter (drawn by M. Ginobili),,61-75,,
3:53.0,Z. Randolph enters the game for M. Gasol,,61-75,,
3:53.0,M. Conley enters the game for J. Ennis,,61-75,,
3:53.0,,,61-75,,D. Bertans enters the game for L. Aldridge
3:30.0,,,61-75,,K. Leonard misses 3-pt shot from 27 ft
3:28.0,,,61-75,,Offensive rebound by D. Bertans
3:21.0,,,61-77,2,P. Mills makes 2-pt shot from 1 ft
3:21.0,,,61-77,,Shooting foul by A. Harrison
3:21.0,,,61-78,1,P. Mills makes free throw 1 of 1
3:21.0,T. Daniels enters the game for A. Harrison,,61-77,,
3:08.0,,,61-78,,Personal foul by P. Mills
3:08.0,M. Conley makes free throw 1 of 2,1,62-78,,
3:08.0,M. Conley makes free throw 2 of 2,1,63-78,,
2:54.0,,,63-81,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Gasol)
2:35.0,M. Conley makes 2-pt shot from 2 ft,2,65-81,,
2:35.0,Shooting foul by D. Bertans (drawn by M. Conley),,65-81,,
2:35.0,M. Conley makes free throw 1 of 1,1,66-81,,
2:35.0,M. Gasol enters the game for J. Green,,65-81,,
2:20.0,,,66-83,2,M. Ginobili makes 2-pt shot from 2 ft
2:06.0,M. Gasol misses 3-pt shot from 25 ft,,66-83,,
2:05.0,,,66-83,,Defensive rebound by D. Bertans
1:48.0,,,66-83,,M. Ginobili misses 2-pt shot from 6 ft
1:48.0,,,66-83,,Offensive rebound by Team
1:48.0,Loose ball foul by Z. Randolph (drawn by P. Gasol),,66-83,,
1:48.0,,,66-83,,P. Gasol misses free throw 1 of 2
1:48.0,,,66-83,,Offensive rebound by Team
1:48.0,,,66-84,1,P. Gasol makes free throw 2 of 2
1:48.0,J. Green enters the game for Z. Randolph,,66-83,,
1:32.0,J. Green makes 3-pt shot from 23 ft (assist by V. Carter),3,69-84,,
1:07.0,,,69-84,,P. Gasol misses 2-pt shot from 14 ft
1:07.0,Defensive rebound by T. Daniels,,69-84,,
0:59.0,M. Conley makes 2-pt shot from 1 ft,2,71-84,,
0:40.0,,,71-84,,K. Leonard misses 2-pt shot from 9 ft
0:39.0,Defensive rebound by V. Carter,,71-84,,
0:33.0,M. Conley makes 2-pt shot at rim,2,73-84,,
0:12.0,,,73-87,3,D. Bertans makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:05.0,M. Conley makes 3-pt shot from 26 ft,3,76-87,,
0:00.0,,,76-87,,P. Mills misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by M. Gasol,,76-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Green misses 2-pt shot from 2 ft,,76-87,,
11:43.0,,,76-87,,Defensive rebound by D. Lee
11:31.0,,,76-87,,L. Aldridge misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by V. Carter,,76-87,,
11:17.0,J. Green misses 2-pt shot from 6 ft (block by M. Ginobili),,76-87,,
11:17.0,Offensive rebound by Team,,76-87,,
11:17.0,,,76-87,,T. Parker enters the game for P. Mills
11:05.0,J. Green makes 3-pt shot from 25 ft (assist by M. Conley),3,79-87,,
10:37.0,,,79-87,,J. Simmons misses 2-pt shot from 15 ft
10:37.0,,,79-87,,Offensive rebound by Team
10:37.0,Loose ball foul by M. Gasol (drawn by L. Aldridge),,79-87,,
10:22.0,,,79-87,,T. Parker misses 3-pt shot from 23 ft
10:21.0,,,79-87,,Offensive rebound by M. Ginobili
10:20.0,,,79-87,,Turnover by M. Ginobili (bad pass; steal by M. Conley)
10:11.0,M. Conley makes 2-pt shot from 1 ft,2,81-87,,
10:11.0,,,81-87,,San Antonio full timeout
10:11.0,,,81-87,,D. Green enters the game for M. Ginobili
10:11.0,,,81-87,,K. Leonard enters the game for J. Simmons
9:48.0,,,81-87,,K. Leonard misses 2-pt shot from 15 ft
9:47.0,,,81-87,,Offensive rebound by L. Aldridge
9:47.0,,,81-87,,Turnover by Team (shot clock)
9:29.0,V. Carter makes 2-pt shot from 12 ft (assist by M. Gasol),2,83-87,,
9:16.0,Personal foul by J. Green (drawn by K. Leonard),,83-87,,
9:04.0,,,83-87,,D. Green misses 2-pt shot from 15 ft
9:03.0,,,83-87,,Offensive rebound by D. Lee
8:59.0,,,83-89,2,D. Lee makes 2-pt shot at rim (assist by K. Leonard)
8:59.0,,,83-89,,Shooting foul by J. Green (drawn by D. Lee)
8:59.0,,,83-90,1,D. Lee makes free throw 1 of 1
8:59.0,J. Ennis enters the game for V. Carter,,83-89,,
8:34.0,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley),2,85-90,,
8:19.0,Personal foul by M. Gasol (drawn by K. Leonard),,85-90,,
8:19.0,,,85-90,,P. Mills enters the game for D. Green
8:19.0,A. Harrison enters the game for M. Conley,,85-90,,
8:08.0,,,85-92,2,K. Leonard makes 2-pt shot from 11 ft
7:45.0,J. Green makes 3-pt shot from 23 ft (assist by J. Ennis),3,88-92,,
7:25.0,,,88-95,3,P. Mills makes 3-pt shot from 24 ft (assist by T. Parker)
7:02.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,90-95,,
6:42.0,,,90-98,3,P. Mills makes 3-pt shot from 26 ft (assist by T. Parker)
6:21.0,M. Gasol makes 2-pt shot from 17 ft,2,92-98,,
6:01.0,,,92-98,,T. Parker misses 2-pt shot from 11 ft
5:57.0,,,92-98,,Offensive rebound by L. Aldridge
5:57.0,,,92-100,2,L. Aldridge makes 2-pt shot at rim
5:39.0,A. Harrison makes 3-pt shot from 26 ft (assist by J. Green),3,95-100,,
5:20.0,,,95-102,2,K. Leonard makes 2-pt shot from 9 ft (assist by P. Mills)
5:19.0,Memphis full timeout,,95-102,,
5:19.0,M. Conley enters the game for T. Daniels,,95-102,,
5:11.0,,,95-102,,Personal foul by L. Aldridge (drawn by M. Gasol)
4:59.0,J. Ennis misses 3-pt shot from 24 ft,,95-102,,
4:58.0,Offensive rebound by M. Gasol,,95-102,,
4:51.0,M. Conley makes 2-pt shot from 9 ft (assist by M. Gasol),2,97-102,,
4:35.0,,,97-104,2,K. Leonard makes 2-pt shot at rim (assist by D. Lee)
4:13.0,Turnover by M. Gasol (bad pass; steal by D. Lee),,97-104,,
4:10.0,,,97-104,,Shooting foul by A. Harrison (drawn by K. Leonard)
4:10.0,,,97-105,1,K. Leonard makes free throw 1 of 2
4:10.0,,,97-106,1,K. Leonard makes free throw 2 of 2
4:10.0,V. Carter enters the game for J. Ennis,,97-105,,
4:02.0,M. Conley misses 3-pt shot from 24 ft,,97-106,,
4:01.0,,,97-106,,Defensive rebound by D. Lee
3:49.0,,,97-109,3,P. Mills makes 3-pt shot from 25 ft (assist by T. Parker)
3:48.0,Memphis full timeout,,97-109,,
3:48.0,J. Ennis enters the game for A. Harrison,,97-109,,
3:25.0,M. Gasol misses 2-pt shot from 14 ft,,97-109,,
3:24.0,,,97-109,,Defensive rebound by P. Mills
3:02.0,,,97-109,,K. Leonard misses 2-pt shot from 18 ft
3:01.0,,,97-109,,Offensive rebound by L. Aldridge
2:47.0,,,97-112,3,P. Mills makes 3-pt shot from 25 ft (assist by T. Parker)
2:33.0,J. Ennis misses 3-pt shot from 23 ft,,97-112,,
2:32.0,,,97-112,,Defensive rebound by P. Mills
2:13.0,,,97-114,2,D. Lee makes 2-pt shot at rim (assist by T. Parker)
2:12.0,Memphis full timeout,,97-114,,
2:12.0,,,97-114,,J. Simmons enters the game for K. Leonard
2:12.0,,,97-114,,D. Murray enters the game for L. Aldridge
2:12.0,,,97-114,,D. Bertans enters the game for D. Lee
2:12.0,,,97-114,,D. Dedmon enters the game for T. Parker
2:12.0,,,97-114,,K. Anderson enters the game for P. Mills
2:12.0,W. Baldwin enters the game for J. Ennis,,97-114,,
2:12.0,A. Harrison enters the game for M. Gasol,,97-114,,
2:12.0,J. Martin enters the game for V. Carter,,97-114,,
2:12.0,W. Selden enters the game for M. Conley,,97-114,,
2:12.0,D. Davis enters the game for J. Green,,97-114,,
1:54.0,A. Harrison misses 2-pt shot from 1 ft,,97-114,,
1:50.0,Offensive rebound by J. Martin,,97-114,,
1:50.0,J. Martin misses 2-pt shot from 1 ft,,97-114,,
1:49.0,,,97-114,,Defensive rebound by D. Dedmon
1:34.0,,,97-114,,D. Bertans misses 3-pt shot from 23 ft
1:34.0,,,97-114,,Offensive rebound by D. Dedmon
1:34.0,,,97-114,,Shooting foul by D. Davis (drawn by D. Dedmon)
1:34.0,,,97-114,,D. Dedmon misses free throw 1 of 2
1:34.0,,,97-114,,Offensive rebound by Team
1:34.0,,,97-115,1,D. Dedmon makes free throw 2 of 2
1:25.0,Shooting foul by D. Dedmon (drawn by W. Baldwin),,97-115,,
1:25.0,W. Baldwin makes free throw 1 of 2,1,98-115,,
1:25.0,W. Baldwin makes free throw 2 of 2,1,99-115,,
1:19.0,Personal foul by W. Baldwin (drawn by D. Murray),,99-115,,
1:19.0,,,99-116,1,D. Murray makes free throw 1 of 2
1:19.0,,,99-116,,D. Murray misses free throw 2 of 2
1:18.0,Defensive rebound by W. Baldwin,,99-116,,
1:07.0,J. Martin makes 2-pt shot from 17 ft (assist by W. Baldwin),2,101-116,,
0:46.0,,,101-116,,D. Murray misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by D. Davis,,101-116,,
0:40.0,A. Harrison makes 2-pt shot from 1 ft,2,103-116,,
0:19.0,,,103-116,,D. Bertans misses 3-pt shot from 26 ft
0:17.0,,,103-116,,Offensive rebound by D. Dedmon
0:00.0,End of 4th quarter,,,,End of 4th quarter
