time,Boston,pts.away,score,pts.home,Sacramento
8:15.0,Defensive rebound by A. Horford,,7-6,,
8:08.0,J. Brown misses 3-pt shot from 25 ft,,7-6,,
8:06.0,,,7-6,,Defensive rebound by K. Koufos
7:56.0,,,7-6,,A. Tolliver misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by A. Horford,,7-6,,
7:42.0,A. Johnson makes 2-pt shot from 4 ft (assist by I. Thomas),2,9-6,,
7:23.0,,,9-6,,Turnover by A. Afflalo (bad pass; steal by J. Crowder)
7:12.0,Shooting foul by D. Collison (drawn by J. Crowder),,9-6,,
7:12.0,J. Crowder makes free throw 1 of 2,1,10-6,,
7:12.0,J. Crowder makes free throw 2 of 2,1,11-6,,
7:00.0,,,11-6,,K. Koufos misses 2-pt shot from 7 ft
7:00.0,,,11-6,,Offensive rebound by Team
7:00.0,Loose ball foul by I. Thomas (drawn by A. Tolliver),,11-6,,
6:48.0,,,11-6,,Turnover by K. Koufos (lost ball; steal by J. Crowder)
6:44.0,Shooting foul by A. Afflalo (drawn by I. Thomas),,11-6,,
6:44.0,I. Thomas makes free throw 1 of 2,1,12-6,,
6:44.0,I. Thomas makes free throw 2 of 2,1,13-6,,
6:31.0,,,13-6,,Turnover by A. Tolliver (bad pass; steal by J. Brown)
6:26.0,Turnover by J. Brown (lost ball; steal by D. Collison),,13-6,,
6:15.0,,,13-8,2,K. Koufos makes 2-pt shot at rim (assist by T. Lawson)
5:58.0,A. Horford makes 2-pt shot from 2 ft,2,15-8,,
5:58.0,Shooting foul by A. Tolliver (drawn by A. Horford),,15-8,,
5:58.0,,,15-8,,Sacramento full timeout
5:58.0,A. Horford makes free throw 1 of 1,1,16-8,,
5:58.0,M. Smart enters the game for J. Brown,,15-8,,
5:38.0,,,16-8,,D. Collison misses 2-pt shot from 3 ft (block by A. Horford)
5:36.0,Defensive rebound by M. Smart,,16-8,,
5:31.0,I. Thomas misses 2-pt shot from 11 ft,,16-8,,
5:30.0,,,16-8,,Defensive rebound by A. Tolliver
5:09.0,,,16-11,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
4:51.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,19-11,,
4:42.0,,,19-11,,T. Lawson misses 2-pt shot from 7 ft
4:41.0,Defensive rebound by A. Horford,,19-11,,
4:35.0,Turnover by A. Johnson (lost ball),,19-11,,
4:35.0,,,19-11,,B. McLemore enters the game for T. Lawson
4:13.0,,,19-11,,A. Tolliver misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by M. Smart,,19-11,,
4:04.0,J. Crowder misses 3-pt shot from 25 ft,,19-11,,
4:03.0,,,19-11,,Defensive rebound by K. Koufos
3:57.0,,,19-13,2,D. Collison makes 2-pt shot from 4 ft
3:43.0,Shooting foul by A. Afflalo (drawn by I. Thomas),,19-13,,
3:43.0,I. Thomas makes free throw 1 of 2,1,20-13,,
3:43.0,I. Thomas makes free throw 2 of 2,1,21-13,,
3:43.0,K. Olynyk enters the game for A. Horford,,20-13,,
3:43.0,,,20-13,,W. Cauley-Stein enters the game for K. Koufos
3:27.0,,,21-15,2,D. Collison makes 2-pt shot from 19 ft
3:10.0,K. Olynyk makes 2-pt shot from 4 ft (assist by I. Thomas),2,23-15,,
2:54.0,,,23-15,,A. Tolliver misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by K. Olynyk,,23-15,,
2:47.0,Turnover by I. Thomas (bad pass; steal by A. Tolliver),,23-15,,
2:32.0,,,23-15,,D. Collison misses 2-pt shot from 2 ft (block by K. Olynyk)
2:30.0,Defensive rebound by J. Crowder,,23-15,,
2:25.0,I. Thomas misses 2-pt shot from 3 ft,,23-15,,
2:24.0,,,23-15,,Defensive rebound by Team
2:24.0,Boston full timeout,,23-15,,
2:24.0,J. Brown enters the game for I. Thomas,,23-15,,
2:24.0,T. Rozier enters the game for J. Crowder,,23-15,,
2:24.0,,,23-15,,M. Barnes enters the game for A. Tolliver
2:12.0,,,23-15,,A. Afflalo misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by K. Olynyk,,23-15,,
2:02.0,M. Smart makes 2-pt shot from 7 ft (assist by K. Olynyk),2,25-15,,
1:40.0,,,25-17,2,D. Collison makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
1:27.0,,,25-17,,Personal foul by B. McLemore (drawn by K. Olynyk)
1:27.0,K. Olynyk makes free throw 1 of 2,1,26-17,,
1:27.0,K. Olynyk misses free throw 2 of 2,,26-17,,
1:27.0,,,26-17,,M. Richardson enters the game for A. Afflalo
1:27.0,J. Jerebko enters the game for A. Johnson,,26-17,,
1:25.0,,,26-17,,Defensive rebound by M. Barnes
1:02.0,,,26-17,,M. Barnes misses 3-pt shot from 27 ft
1:02.0,,,26-17,,Offensive rebound by W. Cauley-Stein
0:54.0,,,26-17,,M. Richardson misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by K. Olynyk,,26-17,,
0:36.0,K. Olynyk misses 2-pt shot from 4 ft,,26-17,,
0:35.0,,,26-17,,Defensive rebound by M. Richardson
0:17.0,,,26-19,2,W. Cauley-Stein makes 2-pt shot from 6 ft
0:05.0,T. Rozier misses 3-pt shot from 25 ft,,26-19,,
0:04.0,Offensive rebound by K. Olynyk,,26-19,,
0:03.0,K. Olynyk misses 2-pt shot from 4 ft,,26-19,,
0:01.0,Offensive rebound by K. Olynyk,,26-19,,
0:00.0,K. Olynyk makes 2-pt shot from 2 ft,2,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Olynyk misses 2-pt shot from 20 ft,,28-19,,
11:43.0,,,28-19,,Defensive rebound by M. Barnes
11:28.0,,,28-22,3,M. Richardson makes 3-pt shot from 26 ft (assist by T. Lawson)
11:10.0,J. Brown makes 2-pt shot from 5 ft (assist by T. Rozier),2,30-22,,
11:00.0,Jump ball: B. McLemore vs. M. Smart (T. Lawson gains possession),,,,Jump ball: B. McLemore vs. M. Smart (T. Lawson gains possession)
10:52.0,,,30-22,,M. Barnes misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by M. Smart,,30-22,,
10:29.0,J. Brown misses 2-pt shot from 14 ft,,30-22,,
10:26.0,Offensive rebound by J. Jerebko,,30-22,,
10:26.0,J. Jerebko misses 2-pt shot from 2 ft,,30-22,,
10:25.0,,,30-22,,Defensive rebound by M. Barnes
10:22.0,,,30-22,,Shooting foul by K. Olynyk (drawn by W. Cauley-Stein)
10:22.0,,,30-23,1,W. Cauley-Stein makes free throw 1 of 2
10:22.0,,,30-24,1,W. Cauley-Stein makes free throw 2 of 2
10:06.0,J. Jerebko makes 2-pt shot from 3 ft,2,32-24,,
9:53.0,,,32-24,,W. Cauley-Stein misses 2-pt shot from 9 ft
9:52.0,Defensive rebound by J. Brown,,32-24,,
9:49.0,Offensive charge foul by J. Brown,,32-24,,
9:49.0,Turnover by J. Brown (offensive foul),,32-24,,
9:38.0,,,32-24,,Turnover by M. Richardson (bad pass)
9:26.0,J. Brown makes 2-pt shot at rim (assist by K. Olynyk),2,34-24,,
9:25.0,,,34-24,,Sacramento full timeout
9:25.0,,,34-24,,A. Tolliver enters the game for M. Richardson
9:13.0,,,34-26,2,B. McLemore makes 2-pt shot from 19 ft (assist by M. Barnes)
9:00.0,T. Rozier misses 2-pt shot from 5 ft,,34-26,,
8:58.0,Offensive rebound by T. Rozier,,34-26,,
8:58.0,T. Rozier misses 2-pt shot from 2 ft,,34-26,,
8:56.0,Offensive rebound by K. Olynyk,,34-26,,
8:53.0,J. Jerebko misses 3-pt shot from 26 ft,,34-26,,
8:52.0,,,34-26,,Defensive rebound by T. Lawson
8:45.0,,,34-28,2,B. McLemore makes 2-pt shot from 19 ft
8:32.0,M. Smart misses 3-pt shot from 25 ft,,34-28,,
8:32.0,,,34-28,,Defensive rebound by W. Cauley-Stein
8:21.0,,,34-30,2,T. Lawson makes 2-pt shot from 16 ft
8:02.0,Offensive charge foul by J. Brown,,34-30,,
8:02.0,Turnover by J. Brown (offensive foul),,34-30,,
8:02.0,A. Horford enters the game for K. Olynyk,,34-30,,
8:02.0,J. Crowder enters the game for J. Brown,,34-30,,
7:54.0,,,34-32,2,T. Lawson makes 2-pt shot from 3 ft
7:35.0,Turnover by M. Smart (bad pass; steal by A. Tolliver),,34-32,,
7:23.0,,,34-32,,Turnover by B. McLemore (bad pass)
7:06.0,Offensive foul by J. Jerebko,,34-32,,
7:06.0,Turnover by J. Jerebko (offensive foul),,34-32,,
6:52.0,,,34-32,,Turnover by A. Tolliver (bad pass; steal by M. Smart)
6:47.0,T. Rozier misses 3-pt shot from 24 ft,,34-32,,
6:46.0,,,34-32,,Defensive rebound by T. Lawson
6:43.0,,,34-34,2,A. Tolliver makes 2-pt shot at rim (assist by T. Lawson)
6:43.0,Boston full timeout,,34-34,,
6:43.0,I. Thomas enters the game for M. Smart,,34-34,,
6:43.0,G. Green enters the game for T. Rozier,,34-34,,
6:43.0,,,34-34,,K. Koufos enters the game for W. Cauley-Stein
6:32.0,I. Thomas makes 2-pt shot from 10 ft,2,36-34,,
6:19.0,,,36-34,,Turnover by T. Lawson (bad pass; steal by A. Horford)
6:07.0,G. Green misses 2-pt shot from 15 ft,,36-34,,
6:06.0,,,36-34,,Defensive rebound by K. Koufos
5:49.0,,,36-34,,T. Lawson misses 2-pt shot from 14 ft
5:47.0,Defensive rebound by G. Green,,36-34,,
5:41.0,Turnover by I. Thomas (lost ball; steal by K. Koufos),,36-34,,
5:41.0,Personal foul by I. Thomas (drawn by K. Koufos),,36-34,,
5:41.0,Technical foul by I. Thomas (drawn by K. Koufos),,36-34,,
5:41.0,,,36-35,1,M. Barnes makes technical free throw
5:41.0,A. Johnson enters the game for J. Jerebko,,36-35,,
5:41.0,,,36-35,,D. Collison enters the game for T. Lawson
5:28.0,,,36-37,2,A. Tolliver makes 2-pt shot at rim (assist by D. Collison)
5:12.0,I. Thomas makes 3-pt shot from 25 ft,3,39-37,,
4:52.0,Jump ball: M. Barnes vs. A. Johnson (J. Crowder gains possession),,,,Jump ball: M. Barnes vs. A. Johnson (J. Crowder gains possession)
4:52.0,,,39-37,,Turnover by M. Barnes (lost ball)
4:49.0,Shooting foul by B. McLemore (drawn by G. Green),,39-37,,
4:49.0,G. Green misses free throw 1 of 2,,39-37,,
4:49.0,Offensive rebound by Team,,39-37,,
4:49.0,G. Green makes free throw 2 of 2,1,40-37,,
4:36.0,,,40-40,3,B. McLemore makes 3-pt shot from 27 ft (assist by D. Collison)
4:20.0,A. Johnson makes 3-pt shot from 26 ft (assist by G. Green),3,43-40,,
4:10.0,,,43-42,2,D. Collison makes 2-pt shot from 18 ft
3:50.0,A. Horford misses 2-pt shot from 11 ft,,43-42,,
3:49.0,,,43-42,,Defensive rebound by M. Barnes
3:41.0,,,43-45,3,B. McLemore makes 3-pt shot from 24 ft (assist by M. Barnes)
3:41.0,Boston full timeout,,43-45,,
3:25.0,J. Crowder misses 3-pt shot from 25 ft,,43-45,,
3:24.0,,,43-45,,Defensive rebound by K. Koufos
3:07.0,,,43-47,2,D. Collison makes 2-pt shot from 3 ft
2:43.0,G. Green misses 2-pt shot from 8 ft,,43-47,,
2:42.0,,,43-47,,Defensive rebound by A. Tolliver
2:36.0,,,43-47,,D. Collison misses 2-pt shot from 16 ft
2:35.0,Defensive rebound by A. Johnson,,43-47,,
2:20.0,I. Thomas misses 3-pt shot from 27 ft,,43-47,,
2:19.0,,,43-47,,Defensive rebound by B. McLemore
2:07.0,,,43-47,,K. Koufos misses 2-pt shot from 6 ft
2:06.0,,,43-47,,Offensive rebound by K. Koufos
2:04.0,,,43-47,,Sacramento full timeout
2:04.0,Official timeout,,43-47,,
2:04.0,M. Smart enters the game for G. Green,,43-47,,
2:04.0,,,43-47,,A. Afflalo enters the game for A. Tolliver
2:03.0,,,43-47,,Turnover by A. Afflalo (bad pass; steal by A. Johnson)
1:48.0,J. Crowder misses 2-pt shot from 4 ft,,43-47,,
1:47.0,,,43-47,,Defensive rebound by M. Barnes
1:41.0,,,43-47,,B. McLemore misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by I. Thomas,,43-47,,
1:30.0,A. Johnson makes 2-pt shot from 9 ft (assist by I. Thomas),2,45-47,,
1:09.0,,,45-47,,A. Afflalo misses 3-pt shot from 23 ft
1:08.0,Defensive rebound by A. Johnson,,45-47,,
1:00.0,Shooting foul by K. Koufos (drawn by I. Thomas),,45-47,,
1:00.0,I. Thomas makes free throw 1 of 2,1,46-47,,
1:00.0,I. Thomas makes free throw 2 of 2,1,47-47,,
0:42.0,,,47-49,2,D. Collison makes 2-pt shot from 12 ft
0:33.0,I. Thomas misses 3-pt shot from 26 ft,,47-49,,
0:32.0,,,47-49,,Defensive rebound by M. Barnes
0:08.0,,,47-49,,B. McLemore misses 2-pt shot from 20 ft
0:07.0,Defensive rebound by I. Thomas,,47-49,,
0:03.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,49-49,,
0:00.0,,,49-49,,D. Collison misses 2-pt shot from 21 ft
0:00.0,,,49-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,I. Thomas misses 3-pt shot from 25 ft,,49-49,,
11:40.0,Offensive rebound by A. Johnson,,49-49,,
11:36.0,J. Crowder misses 3-pt shot from 27 ft,,49-49,,
11:35.0,,,49-49,,Defensive rebound by K. Koufos
11:18.0,,,49-51,2,A. Tolliver makes 2-pt shot from 4 ft (assist by A. Afflalo)
10:55.0,Turnover by I. Thomas (lost ball; steal by D. Collison),,49-51,,
10:39.0,,,49-53,2,A. Afflalo makes 2-pt shot from 22 ft
10:19.0,I. Thomas misses 2-pt shot from 4 ft,,49-53,,
10:18.0,,,49-53,,Defensive rebound by A. Tolliver
10:03.0,,,49-53,,K. Koufos misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by J. Brown,,49-53,,
9:48.0,A. Horford makes 2-pt shot from 11 ft,2,51-53,,
9:35.0,Personal foul by J. Crowder (drawn by A. Afflalo),,51-53,,
9:22.0,,,51-55,2,B. McLemore makes 2-pt shot from 3 ft
9:06.0,A. Johnson makes 2-pt shot at rim (assist by J. Crowder),2,53-55,,
8:55.0,,,53-55,,Turnover by D. Collison (lost ball; steal by A. Johnson)
8:51.0,J. Brown misses 2-pt shot from 4 ft,,53-55,,
8:47.0,,,53-55,,Defensive rebound by K. Koufos
8:39.0,,,53-57,2,A. Afflalo makes 2-pt shot from 13 ft
8:18.0,Turnover by A. Horford (lost ball; steal by A. Tolliver),,53-57,,
8:13.0,,,53-59,2,B. McLemore makes 2-pt shot at rim (assist by D. Collison)
8:13.0,Boston full timeout,,53-59,,
8:13.0,M. Smart enters the game for J. Brown,,53-59,,
7:49.0,M. Smart makes 3-pt shot from 26 ft (assist by I. Thomas),3,56-59,,
7:34.0,Personal foul by J. Crowder (drawn by A. Afflalo),,56-59,,
7:22.0,,,56-62,3,B. McLemore makes 3-pt shot from 25 ft (assist by K. Koufos)
7:06.0,,,56-62,,Personal foul by D. Collison (drawn by J. Crowder)
6:56.0,I. Thomas makes 2-pt shot from 9 ft,2,58-62,,
6:35.0,,,58-62,,Turnover by D. Collison (bad pass; steal by A. Johnson)
6:28.0,J. Crowder misses 2-pt shot from 4 ft,,58-62,,
6:27.0,,,58-62,,Defensive rebound by K. Koufos
6:20.0,,,58-62,,A. Afflalo misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by I. Thomas,,58-62,,
6:07.0,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas),3,61-62,,
5:50.0,,,61-62,,B. McLemore misses 2-pt shot from 17 ft
5:50.0,Defensive rebound by A. Johnson,,61-62,,
5:33.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford),3,64-62,,
5:25.0,,,64-62,,Sacramento full timeout
5:25.0,,,64-62,,M. Barnes enters the game for A. Afflalo
5:18.0,Personal foul by M. Smart (drawn by B. McLemore),,64-62,,
5:09.0,,,64-62,,D. Collison misses 2-pt shot from 17 ft
5:07.0,Defensive rebound by J. Crowder,,64-62,,
4:53.0,I. Thomas misses 3-pt shot from 25 ft,,64-62,,
4:52.0,,,64-62,,Defensive rebound by K. Koufos
4:41.0,,,64-64,2,D. Collison makes 2-pt shot from 19 ft
4:26.0,M. Smart misses 3-pt shot from 26 ft,,64-64,,
4:25.0,,,64-64,,Defensive rebound by M. Barnes
4:05.0,,,64-66,2,K. Koufos makes 2-pt shot from 7 ft (assist by M. Barnes)
3:49.0,Shooting foul by M. Barnes (drawn by J. Crowder),,64-66,,
3:49.0,J. Crowder makes free throw 1 of 2,1,65-66,,
3:49.0,J. Crowder makes free throw 2 of 2,1,66-66,,
3:49.0,,,65-66,,W. Cauley-Stein enters the game for A. Tolliver
3:49.0,K. Olynyk enters the game for A. Johnson,,65-66,,
3:49.0,T. Rozier enters the game for I. Thomas,,65-66,,
3:32.0,,,66-69,3,D. Collison makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
3:20.0,M. Smart misses 3-pt shot from 25 ft,,66-69,,
3:19.0,,,66-69,,Defensive rebound by W. Cauley-Stein
2:56.0,,,66-69,,B. McLemore misses 3-pt shot from 22 ft
2:55.0,Defensive rebound by K. Olynyk,,66-69,,
2:47.0,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart),3,69-69,,
2:36.0,J. Brown enters the game for J. Crowder,,69-69,,
2:36.0,,,69-69,,A. Afflalo enters the game for D. Collison
2:23.0,,,69-72,3,M. Barnes makes 3-pt shot from 25 ft (assist by B. McLemore)
2:09.0,T. Rozier misses 2-pt shot from 18 ft,,69-72,,
2:08.0,,,69-72,,Defensive rebound by B. McLemore
1:52.0,,,69-72,,B. McLemore misses 2-pt shot from 11 ft
1:52.0,,,69-72,,Offensive rebound by Team
1:52.0,Loose ball foul by K. Olynyk (drawn by K. Koufos),,69-72,,
1:52.0,T. Zeller enters the game for A. Horford,,69-72,,
1:48.0,,,69-75,3,M. Barnes makes 3-pt shot from 24 ft (assist by K. Koufos)
1:30.0,,,69-75,,Personal foul by M. Barnes (drawn by M. Smart)
1:16.0,Turnover by Team (shot clock),,69-75,,
1:16.0,G. Green enters the game for T. Rozier,,69-75,,
1:03.0,,,69-75,,K. Koufos misses 2-pt shot from 6 ft
1:01.0,,,69-75,,Offensive rebound by K. Koufos
1:01.0,,,69-77,2,K. Koufos makes 2-pt shot from 2 ft
0:58.0,Turnover by M. Smart (bad pass),,69-77,,
0:39.0,,,69-77,,A. Afflalo misses 2-pt shot from 23 ft
0:37.0,Defensive rebound by J. Brown,,69-77,,
0:18.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,71-77,,
0:03.0,,,71-77,,A. Afflalo misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by T. Zeller,,71-77,,
0:00.0,G. Green misses 3-pt shot from 48 ft,,71-77,,
0:00.0,Offensive rebound by Team,,71-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,71-77,,Turnover by M. Barnes (step out of bounds)
11:38.0,M. Smart misses 3-pt shot from 25 ft,,71-77,,
11:36.0,,,71-77,,Defensive rebound by W. Cauley-Stein
11:17.0,,,71-80,3,M. Barnes makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
11:00.0,Turnover by G. Green (bad pass; steal by M. Barnes),,71-80,,
10:55.0,Personal foul by M. Smart (drawn by M. Barnes),,71-80,,
10:55.0,I. Thomas enters the game for M. Smart,,71-80,,
10:55.0,,,71-80,,D. Collison enters the game for B. McLemore
10:44.0,,,71-80,,A. Tolliver misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by T. Zeller,,71-80,,
10:36.0,,,71-80,,Shooting block foul by W. Cauley-Stein (drawn by I. Thomas)
10:36.0,I. Thomas makes free throw 1 of 2,1,72-80,,
10:36.0,I. Thomas makes free throw 2 of 2,1,73-80,,
10:20.0,,,73-80,,D. Collison misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by I. Thomas,,73-80,,
10:11.0,K. Olynyk makes 2-pt shot from 7 ft (assist by I. Thomas),2,75-80,,
9:59.0,,,75-80,,W. Cauley-Stein misses 2-pt shot from 5 ft
9:58.0,Defensive rebound by K. Olynyk,,75-80,,
9:46.0,G. Green makes 3-pt shot from 24 ft,3,78-80,,
9:39.0,,,78-80,,Sacramento full timeout
9:20.0,,,78-82,2,A. Tolliver makes 2-pt shot from 7 ft
8:54.0,G. Green misses 2-pt shot from 15 ft,,78-82,,
8:53.0,,,78-82,,Defensive rebound by M. Barnes
8:41.0,,,78-82,,Shooting foul by K. Olynyk (drawn by A. Afflalo)
8:41.0,,,78-83,1,A. Afflalo makes free throw 1 of 2
8:41.0,,,78-84,1,A. Afflalo makes free throw 2 of 2
8:41.0,A. Horford enters the game for K. Olynyk,,78-83,,
8:26.0,Shooting foul by W. Cauley-Stein (drawn by G. Green),,78-84,,
8:26.0,G. Green misses free throw 1 of 2,,78-84,,
8:26.0,Offensive rebound by Team,,78-84,,
8:26.0,G. Green makes free throw 2 of 2,1,79-84,,
8:26.0,J. Jerebko enters the game for T. Zeller,,78-84,,
8:14.0,,,79-87,3,D. Collison makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
7:51.0,A. Horford misses 2-pt shot from 12 ft,,79-87,,
7:50.0,,,79-87,,Defensive rebound by M. Barnes
7:28.0,,,79-87,,D. Collison misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by J. Jerebko,,79-87,,
7:25.0,Turnover by J. Jerebko (bad pass; steal by D. Collison),,79-87,,
7:21.0,,,79-89,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by A. Afflalo)
7:20.0,Boston full timeout,,79-89,,
7:20.0,J. Crowder enters the game for J. Brown,,79-89,,
7:20.0,M. Smart enters the game for G. Green,,79-89,,
7:08.0,Turnover by M. Smart (lost ball; steal by A. Afflalo),,79-89,,
7:05.0,,,79-89,,Shooting foul by M. Smart (drawn by A. Afflalo)
7:05.0,,,79-89,,A. Afflalo misses free throw 1 of 2
7:05.0,,,79-89,,Offensive rebound by Team
7:05.0,,,79-90,1,A. Afflalo makes free throw 2 of 2
6:50.0,A. Horford misses 3-pt shot from 24 ft,,79-90,,
6:49.0,,,79-90,,Defensive rebound by M. Barnes
6:30.0,,,79-90,,M. Barnes misses 3-pt shot from 25 ft
6:30.0,,,79-90,,Offensive rebound by Team
6:30.0,Loose ball foul by J. Jerebko (drawn by A. Tolliver),,79-90,,
6:30.0,A. Johnson enters the game for J. Jerebko,,79-90,,
6:19.0,Personal foul by M. Smart (drawn by M. Barnes),,79-90,,
6:19.0,,,79-91,1,M. Barnes makes free throw 1 of 2
6:19.0,,,79-92,1,M. Barnes makes free throw 2 of 2
5:54.0,A. Horford misses 2-pt shot from 15 ft,,79-92,,
5:53.0,,,79-92,,Defensive rebound by A. Afflalo
5:32.0,,,79-94,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by A. Afflalo)
5:18.0,,,79-94,,Personal foul by D. Collison (drawn by I. Thomas)
5:18.0,J. Brown enters the game for A. Horford,,79-94,,
5:11.0,Turnover by A. Johnson (3 sec),,79-94,,
5:01.0,,,79-96,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
4:50.0,Shooting foul by W. Cauley-Stein (drawn by M. Smart),,79-96,,
4:50.0,M. Smart makes free throw 1 of 2,1,80-96,,
4:50.0,M. Smart makes free throw 2 of 2,1,81-96,,
4:31.0,,,81-98,2,D. Collison makes 2-pt shot from 19 ft
4:24.0,,,81-98,,Shooting block foul by W. Cauley-Stein (drawn by I. Thomas)
4:24.0,I. Thomas makes free throw 1 of 2,1,82-98,,
4:24.0,I. Thomas makes free throw 2 of 2,1,83-98,,
4:22.0,Personal foul by J. Brown (drawn by W. Cauley-Stein),,83-98,,
4:22.0,,,83-99,1,W. Cauley-Stein makes free throw 1 of 2
4:22.0,,,83-100,1,W. Cauley-Stein makes free throw 2 of 2
4:22.0,A. Horford enters the game for A. Johnson,,83-99,,
4:11.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,86-100,,
3:53.0,,,86-100,,A. Tolliver misses 3-pt shot from 27 ft
3:52.0,Defensive rebound by A. Horford,,86-100,,
3:44.0,I. Thomas misses 3-pt shot from 25 ft,,86-100,,
3:43.0,,,86-100,,Defensive rebound by W. Cauley-Stein
3:30.0,,,86-100,,Turnover by M. Barnes (offensive foul)
3:30.0,,,86-100,,Offensive foul by M. Barnes
3:20.0,I. Thomas misses 3-pt shot from 25 ft,,86-100,,
3:19.0,,,86-100,,Defensive rebound by M. Barnes
3:02.0,,,86-102,2,D. Collison makes 2-pt shot from 2 ft
2:42.0,J. Crowder misses 3-pt shot from 25 ft,,86-102,,
2:41.0,,,86-102,,Defensive rebound by A. Afflalo
2:17.0,,,86-102,,W. Cauley-Stein misses 2-pt shot from 13 ft
2:17.0,,,86-102,,Offensive rebound by Team
2:17.0,Loose ball foul by J. Brown (drawn by M. Barnes),,86-102,,
2:17.0,,,86-103,1,M. Barnes makes free throw 1 of 2
2:17.0,,,86-104,1,M. Barnes makes free throw 2 of 2
2:17.0,T. Rozier enters the game for J. Crowder,,86-102,,
2:17.0,J. Young enters the game for I. Thomas,,86-102,,
2:17.0,G. Green enters the game for M. Smart,,86-102,,
2:17.0,T. Zeller enters the game for J. Brown,,86-102,,
2:17.0,J. Mickey enters the game for A. Horford,,86-102,,
2:03.0,G. Green misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,86-104,,
2:01.0,,,86-104,,Defensive rebound by D. Collison
