time,Minnesota,pts.away,score,pts.home,Sacramento
6:58.0,,,11-10,2,K. Koufos makes 2-pt shot from 6 ft (assist by D. Cousins)
6:45.0,,,11-10,,Personal block foul by K. Koufos (drawn by Z. LaVine)
6:35.0,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio),2,13-10,,
6:16.0,,,13-10,,R. Gay misses 2-pt shot from 19 ft
6:14.0,,,13-10,,Offensive rebound by K. Koufos
6:08.0,,,13-12,2,D. Cousins makes 2-pt shot from 3 ft
5:51.0,Z. LaVine makes 2-pt shot from 20 ft,2,15-12,,
5:36.0,,,15-12,,R. Gay misses 2-pt shot from 16 ft
5:35.0,Defensive rebound by Z. LaVine,,15-12,,
5:29.0,K. Towns misses 2-pt shot from 3 ft,,15-12,,
5:26.0,,,15-12,,Defensive rebound by K. Koufos
5:14.0,,,15-12,,Turnover by D. Cousins (lost ball; steal by R. Rubio)
5:10.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,17-12,,
4:51.0,,,17-12,,A. Afflalo misses 3-pt shot from 25 ft
4:50.0,,,17-12,,Offensive rebound by D. Cousins
4:42.0,,,17-15,3,T. Lawson makes 3-pt shot from 23 ft (assist by A. Afflalo)
4:28.0,A. Wiggins makes 2-pt shot from 21 ft,2,19-15,,
4:12.0,,,19-15,,R. Gay misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by G. Dieng,,19-15,,
3:59.0,G. Dieng makes 2-pt shot from 6 ft (assist by K. Towns),2,21-15,,
3:39.0,,,21-15,,Turnover by T. Lawson (bad pass; steal by R. Rubio)
3:36.0,A. Wiggins makes 2-pt shot from 2 ft,2,23-15,,
3:18.0,Personal foul by R. Rubio (drawn by R. Gay),,23-15,,
3:18.0,B. Rush enters the game for Z. LaVine,,23-15,,
3:18.0,K. Dunn enters the game for R. Rubio,,23-15,,
3:18.0,,,23-15,,W. Cauley-Stein enters the game for A. Afflalo
3:18.0,,,23-15,,G. Temple enters the game for R. Gay
3:18.0,,,23-15,,M. Barnes enters the game for T. Lawson
3:18.0,,,23-15,,B. McLemore enters the game for D. Cousins
3:18.0,,,23-15,,A. Tolliver enters the game for K. Koufos
3:05.0,,,23-15,,G. Temple misses 3-pt shot from 27 ft
3:05.0,Defensive rebound by K. Towns,,23-15,,
2:51.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Dunn),3,26-15,,
2:32.0,,,26-15,,M. Barnes misses 2-pt shot from 3 ft (block by G. Dieng)
2:30.0,Defensive rebound by G. Dieng,,26-15,,
2:19.0,G. Dieng makes 2-pt shot from 21 ft (assist by K. Towns),2,28-15,,
2:14.0,,,28-15,,Sacramento full timeout
2:14.0,Minnesota full timeout,,28-15,,
2:14.0,N. Bjelica enters the game for G. Dieng,,28-15,,
2:14.0,C. Aldrich enters the game for K. Towns,,28-15,,
2:04.0,,,28-17,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by A. Tolliver)
1:54.0,Offensive foul by C. Aldrich,,28-17,,
1:54.0,Turnover by C. Aldrich (offensive foul),,28-17,,
1:40.0,,,28-17,,A. Tolliver misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by C. Aldrich,,28-17,,
1:26.0,A. Wiggins makes 2-pt shot from 16 ft,2,30-17,,
1:21.0,,,30-19,2,B. McLemore makes 2-pt shot from 19 ft (assist by M. Barnes)
1:02.0,B. Rush makes 2-pt shot from 18 ft (assist by K. Dunn),2,32-19,,
0:50.0,,,32-22,3,M. Barnes makes 3-pt shot from 25 ft
0:35.0,,,32-22,,Personal foul by M. Barnes (drawn by A. Wiggins)
0:35.0,A. Wiggins makes free throw 1 of 2,1,33-22,,
0:35.0,A. Wiggins makes free throw 2 of 2,1,34-22,,
0:25.0,,,34-25,3,G. Temple makes 3-pt shot from 25 ft
0:04.0,A. Wiggins misses 3-pt shot from 25 ft,,34-25,,
0:03.0,,,34-25,,Defensive rebound by M. Barnes
0:00.0,,,34-25,,M. Barnes misses 3-pt shot from 33 ft
0:00.0,,,34-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by N. Bjelica (bad pass; steal by M. Barnes),,34-25,,
11:32.0,,,34-27,2,B. McLemore makes 2-pt shot from 2 ft (assist by M. Barnes)
11:08.0,B. Rush misses 3-pt shot from 23 ft,,34-27,,
11:06.0,Offensive rebound by C. Aldrich,,34-27,,
11:03.0,S. Muhammad makes 2-pt shot from 10 ft,2,36-27,,
11:03.0,Shooting foul by W. Cauley-Stein (drawn by S. Muhammad),,36-27,,
11:03.0,S. Muhammad makes free throw 1 of 1,1,37-27,,
10:49.0,,,37-27,,B. McLemore misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by B. Rush,,37-27,,
10:41.0,S. Muhammad makes 2-pt shot from 3 ft (assist by K. Dunn),2,39-27,,
10:21.0,,,39-27,,W. Cauley-Stein misses 2-pt shot from 9 ft
10:19.0,Defensive rebound by N. Bjelica,,39-27,,
10:13.0,Shooting foul by B. McLemore (drawn by S. Muhammad),,39-27,,
10:13.0,S. Muhammad makes free throw 1 of 2,1,40-27,,
10:13.0,S. Muhammad makes free throw 2 of 2,1,41-27,,
10:13.0,,,40-27,,T. Lawson enters the game for G. Temple
9:59.0,,,41-27,,B. McLemore misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by S. Muhammad,,41-27,,
9:51.0,Turnover by K. Dunn (lost ball; steal by T. Lawson),,41-27,,
9:50.0,Violation by K. Dunn (kicked ball),,41-27,,
9:41.0,,,41-27,,Turnover by T. Lawson (bad pass)
9:26.0,K. Dunn makes 3-pt shot from 25 ft (assist by S. Muhammad),3,44-27,,
9:05.0,,,44-27,,M. Barnes misses 2-pt shot from 20 ft
9:05.0,Defensive rebound by C. Aldrich,,44-27,,
8:51.0,Shooting foul by T. Lawson (drawn by K. Dunn),,44-27,,
8:51.0,Official timeout,,44-27,,
8:51.0,K. Dunn makes free throw 1 of 2,1,45-27,,
8:51.0,K. Dunn misses free throw 2 of 2,,45-27,,
8:51.0,,,44-27,,R. Gay enters the game for A. Tolliver
8:50.0,,,45-27,,Defensive rebound by M. Barnes
8:33.0,,,45-29,2,R. Gay makes 2-pt shot from 5 ft
8:33.0,Shooting block foul by C. Aldrich (drawn by R. Gay),,45-29,,
8:33.0,,,45-30,1,R. Gay makes free throw 1 of 1
8:33.0,G. Dieng enters the game for B. Rush,,45-29,,
8:33.0,Z. LaVine enters the game for K. Dunn,,45-29,,
8:33.0,R. Rubio enters the game for C. Aldrich,,45-29,,
8:13.0,N. Bjelica misses 3-pt shot from 23 ft,,45-30,,
8:12.0,,,45-30,,Defensive rebound by T. Lawson
8:07.0,,,45-30,,T. Lawson misses 2-pt shot from 11 ft
8:06.0,Defensive rebound by Z. LaVine,,45-30,,
8:00.0,R. Rubio misses 3-pt shot from 26 ft,,45-30,,
7:59.0,,,45-30,,Defensive rebound by M. Barnes
7:54.0,,,45-32,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
7:29.0,Z. LaVine makes 3-pt shot from 26 ft,3,48-32,,
7:18.0,Personal foul by N. Bjelica (drawn by R. Gay),,48-32,,
7:18.0,K. Towns enters the game for N. Bjelica,,48-32,,
7:18.0,,,48-32,,A. Afflalo enters the game for W. Cauley-Stein
7:18.0,,,48-32,,D. Cousins enters the game for B. McLemore
7:09.0,Personal foul by R. Rubio (drawn by D. Cousins),,48-32,,
7:04.0,,,48-32,,R. Gay misses 2-pt shot from 22 ft
7:04.0,,,48-32,,Offensive rebound by D. Cousins
6:55.0,,,48-34,2,D. Cousins makes 2-pt shot from 6 ft
6:38.0,G. Dieng misses 2-pt shot from 19 ft,,48-34,,
6:37.0,,,48-34,,Defensive rebound by Team
6:23.0,,,48-36,2,R. Gay makes 2-pt shot at rim (assist by M. Barnes)
6:23.0,Minnesota full timeout,,48-36,,
6:23.0,A. Wiggins enters the game for S. Muhammad,,48-36,,
5:58.0,Turnover by Team (shot clock),,48-36,,
5:41.0,,,48-38,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
5:21.0,Z. LaVine misses 3-pt shot from 24 ft,,48-38,,
5:21.0,,,48-38,,Defensive rebound by M. Barnes
5:15.0,,,48-40,2,R. Gay makes 2-pt shot at rim (assist by M. Barnes)
4:47.0,K. Towns makes 2-pt shot from 2 ft (assist by G. Dieng),2,50-40,,
4:32.0,,,50-40,,R. Gay misses 2-pt shot from 10 ft
4:32.0,Defensive rebound by R. Rubio,,50-40,,
4:29.0,,,50-40,,Personal foul by T. Lawson (drawn by R. Rubio)
4:29.0,,,50-40,,G. Temple enters the game for R. Gay
4:29.0,,,50-40,,O. Casspi enters the game for T. Lawson
4:22.0,A. Wiggins makes 2-pt shot at rim,2,52-40,,
4:04.0,,,52-40,,Turnover by G. Temple (lost ball)
4:04.0,Jump ball: Z. LaVine vs. G. Temple,,,,Jump ball: Z. LaVine vs. G. Temple
4:03.0,,,52-40,,Loose ball foul by A. Afflalo (drawn by A. Wiggins)
4:03.0,A. Wiggins makes free throw 1 of 2,1,53-40,,
4:03.0,A. Wiggins makes free throw 2 of 2,1,54-40,,
3:51.0,,,54-42,2,D. Cousins makes 2-pt shot from 2 ft (assist by M. Barnes)
3:33.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,57-42,,
3:16.0,,,57-42,,Shooting foul by G. Dieng (drawn by D. Cousins)
3:16.0,,,57-43,1,D. Cousins makes free throw 1 of 2
3:16.0,,,57-44,1,D. Cousins makes free throw 2 of 2
2:58.0,R. Rubio misses 2-pt shot from 7 ft (block by G. Temple),,57-44,,
2:56.0,,,57-44,,Defensive rebound by D. Cousins
2:54.0,,,57-46,2,M. Barnes makes 2-pt shot from 1 ft (assist by D. Cousins)
2:30.0,Z. LaVine misses 2-pt shot from 22 ft,,57-46,,
2:30.0,,,57-46,,Defensive rebound by O. Casspi
2:22.0,,,57-46,,Sacramento full timeout
2:22.0,,,57-46,,R. Gay enters the game for M. Barnes
2:15.0,Def 3 sec tech foul by R. Rubio,,57-46,,
2:15.0,,,57-46,,R. Gay misses technical free throw
2:15.0,,,57-46,,Offensive rebound by Team
2:08.0,,,57-46,,D. Cousins misses 2-pt shot from 9 ft (block by G. Dieng)
2:07.0,,,57-46,,Offensive rebound by D. Cousins
2:06.0,,,57-46,,Turnover by D. Cousins (lost ball; steal by K. Towns)
2:05.0,,,57-46,,Personal foul by D. Cousins (drawn by K. Towns)
2:05.0,K. Towns misses free throw 1 of 2,,57-46,,
2:05.0,Offensive rebound by Team,,57-46,,
2:05.0,K. Towns misses free throw 2 of 2,,57-46,,
2:04.0,,,57-46,,Defensive rebound by D. Cousins
1:59.0,,,57-46,,Technical foul by D. Cousins
1:59.0,R. Rubio makes technical free throw,1,58-46,,
1:49.0,,,58-48,2,R. Gay makes 2-pt shot from 5 ft
1:49.0,,,58-48,,Shooting foul by Z. LaVine (drawn by R. Gay)
1:49.0,,,58-49,1,R. Gay makes free throw 1 of 1
1:49.0,,,58-48,,T. Lawson enters the game for G. Temple
1:34.0,Shooting foul by R. Gay (drawn by G. Dieng),,58-49,,
1:34.0,G. Dieng makes free throw 1 of 2,1,59-49,,
1:34.0,G. Dieng makes free throw 2 of 2,1,60-49,,
1:17.0,,,60-49,,A. Afflalo misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by Z. LaVine,,60-49,,
1:06.0,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio),2,62-49,,
0:49.0,,,62-51,2,D. Cousins makes 2-pt shot from 3 ft
0:49.0,,,62-51,,Shooting foul by G. Dieng (drawn by D. Cousins)
0:49.0,,,62-52,1,D. Cousins makes free throw 1 of 1
0:33.0,K. Towns misses 3-pt shot at rim,,62-52,,
0:32.0,,,62-52,,Defensive rebound by Team
0:15.0,,,62-52,,Shooting foul by A. Wiggins (drawn by R. Gay)
0:15.0,,,62-53,1,R. Gay makes free throw 1 of 2
0:15.0,,,62-54,1,R. Gay makes free throw 2 of 2
0:15.0,,,62-53,,W. Cauley-Stein enters the game for D. Cousins
0:15.0,,,62-53,,M. Barnes enters the game for T. Lawson
0:15.0,,,62-53,,G. Temple enters the game for O. Casspi
0:05.0,Z. LaVine makes 3-pt shot from 26 ft,3,65-54,,
0:00.0,,,65-54,,G. Temple misses 3-pt shot from 24 ft
0:00.0,,,65-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Wiggins misses 2-pt shot from 5 ft,,65-54,,
11:43.0,,,65-54,,Defensive rebound by R. Gay
11:22.0,,,65-54,,T. Lawson misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by G. Dieng,,65-54,,
11:15.0,A. Wiggins misses 2-pt shot from 4 ft (block by R. Gay),,65-54,,
11:13.0,,,65-54,,Defensive rebound by R. Gay
11:07.0,Personal foul by G. Dieng (drawn by D. Cousins),,65-54,,
10:53.0,,,65-54,,Turnover by R. Gay (lost ball; steal by R. Rubio)
10:46.0,Turnover by G. Dieng (offensive foul),,65-54,,
10:46.0,Offensive charge foul by G. Dieng,,65-54,,
10:46.0,C. Aldrich enters the game for G. Dieng,,65-54,,
10:29.0,,,65-54,,A. Afflalo misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by K. Towns,,65-54,,
10:18.0,R. Rubio makes 2-pt shot from 17 ft,2,67-54,,
9:56.0,,,67-57,3,A. Afflalo makes 3-pt shot from 23 ft (assist by D. Cousins)
9:35.0,Shooting foul by R. Gay (drawn by A. Wiggins),,67-57,,
9:35.0,A. Wiggins misses free throw 1 of 2,,67-57,,
9:35.0,Offensive rebound by Team,,67-57,,
9:35.0,A. Wiggins misses free throw 2 of 2,,67-57,,
9:34.0,,,67-57,,Defensive rebound by K. Koufos
9:14.0,,,67-57,,D. Cousins misses 2-pt shot from 9 ft
9:13.0,Defensive rebound by C. Aldrich,,67-57,,
9:10.0,,,67-57,,Shooting block foul by R. Gay (drawn by Z. LaVine)
9:10.0,Z. LaVine makes free throw 1 of 2,1,68-57,,
9:10.0,Z. LaVine makes free throw 2 of 2,1,69-57,,
8:53.0,,,69-57,,Shooting foul by R. Rubio (drawn by D. Cousins)
8:53.0,,,69-57,,D. Cousins misses free throw 1 of 2
8:53.0,,,69-57,,Offensive rebound by Team
8:53.0,,,69-57,,D. Cousins misses free throw 2 of 2
8:51.0,Defensive rebound by C. Aldrich,,69-57,,
8:32.0,A. Wiggins makes 2-pt shot from 2 ft,2,71-57,,
8:14.0,,,71-57,,Shooting foul by C. Aldrich (drawn by D. Cousins)
8:14.0,,,71-58,1,D. Cousins makes free throw 1 of 2
8:14.0,,,71-59,1,D. Cousins makes free throw 2 of 2
8:00.0,Turnover by A. Wiggins (lost ball; steal by R. Gay),,71-59,,
7:56.0,,,71-61,2,R. Gay makes 2-pt shot at rim (assist by T. Lawson)
7:32.0,,,71-61,,M. Barnes enters the game for K. Koufos
7:31.0,Jump ball: C. Aldrich vs. T. Lawson (R. Rubio gains possession),,,,Jump ball: C. Aldrich vs. T. Lawson (R. Rubio gains possession)
7:26.0,Turnover by R. Rubio (bad pass; steal by T. Lawson),,71-61,,
7:14.0,,,71-63,2,D. Cousins makes 2-pt shot at rim
7:11.0,Minnesota full timeout,,71-63,,
7:11.0,,,71-63,,G. Temple enters the game for T. Lawson
7:00.0,Turnover by K. Towns (bad pass),,71-63,,
6:46.0,,,71-65,2,A. Afflalo makes 2-pt shot from 18 ft (assist by M. Barnes)
6:29.0,Turnover by Z. LaVine (lost ball; steal by D. Cousins),,71-65,,
6:22.0,,,71-68,3,M. Barnes makes 3-pt shot from 25 ft (assist by A. Afflalo)
5:54.0,K. Towns misses 2-pt shot from 9 ft,,71-68,,
5:53.0,,,71-68,,Defensive rebound by Team
5:53.0,Loose ball foul by K. Towns (drawn by G. Temple),,71-68,,
5:42.0,,,71-68,,Shooting foul by A. Wiggins (drawn by R. Gay)
5:42.0,,,71-68,,R. Gay misses free throw 1 of 2
5:42.0,,,71-68,,Offensive rebound by Team
5:42.0,,,71-69,1,R. Gay makes free throw 2 of 2
5:29.0,Turnover by A. Wiggins (traveling),,71-69,,
5:12.0,,,71-72,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. Cousins)
4:46.0,A. Wiggins misses 2-pt shot from 4 ft,,71-72,,
4:45.0,Offensive rebound by Team,,71-72,,
4:45.0,Turnover by Team (shot clock),,71-72,,
4:45.0,B. Rush enters the game for Z. LaVine,,71-72,,
4:45.0,N. Bjelica enters the game for C. Aldrich,,71-72,,
4:38.0,Personal foul by K. Towns (drawn by D. Cousins),,71-72,,
4:38.0,,,71-73,1,D. Cousins makes free throw 1 of 2
4:38.0,,,71-74,1,D. Cousins makes free throw 2 of 2
4:15.0,Shooting foul by M. Barnes (drawn by N. Bjelica),,71-74,,
4:15.0,N. Bjelica misses free throw 1 of 2,,71-74,,
4:15.0,Offensive rebound by Team,,71-74,,
4:15.0,N. Bjelica makes free throw 2 of 2,1,72-74,,
4:15.0,K. Dunn enters the game for R. Rubio,,71-74,,
3:53.0,,,72-74,,D. Cousins misses 2-pt shot from 3 ft (block by N. Bjelica)
3:52.0,,,72-74,,Offensive rebound by D. Cousins
3:52.0,,,72-76,2,D. Cousins makes 2-pt shot from 2 ft
3:52.0,,,72-76,,Shooting foul by K. Dunn (drawn by D. Cousins)
3:52.0,,,72-77,1,D. Cousins makes free throw 1 of 1
3:32.0,N. Bjelica misses 3-pt shot from 27 ft,,72-77,,
3:32.0,,,72-77,,Defensive rebound by Team
3:20.0,,,72-77,,D. Cousins misses 2-pt shot from 18 ft
3:20.0,,,72-77,,Offensive rebound by R. Gay
3:20.0,,,72-79,2,R. Gay makes 2-pt shot from 3 ft
3:20.0,,,72-79,,Shooting foul by N. Bjelica (drawn by R. Gay)
3:20.0,,,72-80,1,R. Gay makes free throw 1 of 1
3:03.0,N. Bjelica misses 3-pt shot from 25 ft,,72-80,,
3:03.0,,,72-80,,Defensive rebound by Team
3:03.0,Loose ball foul by K. Towns (drawn by D. Cousins),,72-80,,
3:03.0,,,72-81,1,D. Cousins makes free throw 1 of 2
3:03.0,,,72-81,,D. Cousins misses free throw 2 of 2
3:03.0,G. Dieng enters the game for K. Towns,,72-81,,
3:03.0,,,72-81,,B. McLemore enters the game for A. Afflalo
3:01.0,Defensive rebound by G. Dieng,,72-81,,
2:45.0,Shooting foul by D. Cousins (drawn by A. Wiggins),,72-81,,
2:45.0,,,72-81,,Sacramento full timeout
2:45.0,A. Wiggins makes free throw 1 of 2,1,73-81,,
2:45.0,A. Wiggins makes free throw 2 of 2,1,74-81,,
2:32.0,,,74-83,2,R. Gay makes 2-pt shot from 2 ft (assist by M. Barnes)
2:17.0,A. Wiggins misses 2-pt shot from 19 ft,,74-83,,
2:17.0,Offensive rebound by G. Dieng,,74-83,,
2:11.0,K. Dunn misses 2-pt shot from 4 ft (block by R. Gay),,74-83,,
2:09.0,,,74-83,,Defensive rebound by R. Gay
2:02.0,,,74-83,,R. Gay misses 2-pt shot from 3 ft
2:01.0,,,74-83,,Offensive rebound by R. Gay
1:53.0,,,74-83,,D. Cousins misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by G. Dieng,,74-83,,
1:33.0,B. Rush makes 3-pt shot from 24 ft (assist by N. Bjelica),3,77-83,,
1:06.0,,,77-83,,R. Gay misses 2-pt shot from 16 ft
1:05.0,,,77-83,,Offensive rebound by Team
1:05.0,,,77-83,,T. Lawson enters the game for D. Cousins
1:05.0,,,77-83,,K. Koufos enters the game for G. Temple
1:05.0,,,77-83,,A. Tolliver enters the game for R. Gay
0:49.0,,,77-83,,Turnover by M. Barnes (lost ball)
0:38.0,A. Wiggins misses 3-pt shot from 26 ft,,77-83,,
0:36.0,,,77-83,,Defensive rebound by Team
0:26.0,,,77-83,,M. Barnes misses 3-pt shot from 25 ft
0:24.0,,,77-83,,Offensive rebound by K. Koufos
0:24.0,,,77-83,,K. Koufos misses 2-pt shot from 3 ft
0:23.0,,,77-83,,Offensive rebound by K. Koufos
0:23.0,,,77-83,,K. Koufos misses 2-pt shot from 2 ft
0:23.0,,,77-83,,Offensive rebound by Team
0:23.0,,,77-83,,R. Gay enters the game for K. Koufos
0:00.0,,,77-85,2,R. Gay makes 2-pt shot from 4 ft (assist by M. Barnes)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,77-85,,Offensive foul by K. Koufos
11:49.0,,,77-85,,Turnover by K. Koufos (offensive foul)
11:37.0,G. Dieng misses 2-pt shot from 19 ft,,77-85,,
11:37.0,,,77-85,,Defensive rebound by O. Casspi
11:18.0,,,77-85,,B. McLemore misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by N. Bjelica,,77-85,,
11:11.0,S. Muhammad misses 2-pt shot at rim,,77-85,,
11:11.0,Offensive rebound by N. Bjelica,,77-85,,
11:11.0,N. Bjelica misses 2-pt shot at rim,,77-85,,
11:11.0,Offensive rebound by N. Bjelica,,77-85,,
11:11.0,Turnover by N. Bjelica (offensive goaltending),,77-85,,
11:05.0,Personal foul by N. Bjelica (drawn by A. Tolliver),,77-85,,
11:05.0,K. Towns enters the game for N. Bjelica,,77-85,,
10:57.0,,,77-87,2,T. Lawson makes 2-pt shot from 7 ft
10:45.0,K. Towns makes 2-pt shot from 3 ft (assist by K. Dunn),2,79-87,,
10:31.0,,,79-87,,T. Lawson misses 2-pt shot from 8 ft
10:30.0,Defensive rebound by G. Dieng,,79-87,,
10:24.0,S. Muhammad makes 2-pt shot from 3 ft,2,81-87,,
10:04.0,,,81-87,,K. Koufos misses 2-pt shot from 7 ft
10:04.0,Defensive rebound by K. Towns,,81-87,,
9:53.0,K. Towns misses 3-pt shot from 25 ft,,81-87,,
9:53.0,,,81-87,,Defensive rebound by O. Casspi
9:44.0,,,81-87,,O. Casspi misses 3-pt shot from 26 ft
9:43.0,,,81-87,,Offensive rebound by Team
9:43.0,R. Rubio enters the game for K. Dunn,,81-87,,
9:29.0,,,81-87,,B. McLemore misses 2-pt shot from 20 ft
9:29.0,,,81-87,,Offensive rebound by Team
9:25.0,,,81-89,2,B. McLemore makes 2-pt shot from 11 ft
9:25.0,,,81-89,,Shooting foul by Z. LaVine (drawn by B. McLemore)
9:25.0,,,81-90,1,B. McLemore makes free throw 1 of 1
9:00.0,Z. LaVine misses 3-pt shot from 26 ft,,81-90,,
8:59.0,,,81-90,,Defensive rebound by A. Tolliver
8:52.0,,,81-90,,T. Lawson misses 2-pt shot from 3 ft (block by K. Towns)
8:52.0,,,81-90,,Offensive rebound by Team
8:52.0,Official timeout,,81-90,,
8:40.0,,,81-90,,Turnover by B. McLemore (traveling)
8:25.0,Z. LaVine makes 2-pt shot from 21 ft (assist by K. Towns),2,83-90,,
8:09.0,,,83-90,,Turnover by K. Koufos (bad pass)
7:44.0,K. Towns makes 2-pt shot from 2 ft (assist by Z. LaVine),2,85-90,,
7:31.0,,,85-93,3,B. McLemore makes 3-pt shot from 24 ft (assist by T. Lawson)
7:22.0,,,85-93,,Personal foul by O. Casspi (drawn by S. Muhammad)
7:11.0,G. Dieng makes 2-pt shot from 17 ft (assist by K. Towns),2,87-93,,
6:51.0,,,87-93,,B. McLemore misses 3-pt shot from 25 ft
6:51.0,,,87-93,,Offensive rebound by A. Tolliver
6:46.0,,,87-96,3,B. McLemore makes 3-pt shot from 24 ft (assist by A. Tolliver)
6:28.0,Shooting foul by A. Tolliver (drawn by Z. LaVine),,87-96,,
6:28.0,Z. LaVine makes free throw 1 of 2,1,88-96,,
6:28.0,Z. LaVine makes free throw 2 of 2,1,89-96,,
6:28.0,,,88-96,,D. Cousins enters the game for K. Koufos
6:28.0,K. Dunn enters the game for S. Muhammad,,88-96,,
6:28.0,,,88-96,,M. Barnes enters the game for A. Tolliver
6:28.0,,,88-96,,R. Gay enters the game for O. Casspi
6:28.0,A. Wiggins enters the game for R. Rubio,,88-96,,
6:05.0,,,89-96,,M. Barnes misses 2-pt shot from 13 ft
6:05.0,Defensive rebound by Team,,89-96,,
6:05.0,,,89-96,,Loose ball foul by D. Cousins (drawn by G. Dieng)
5:49.0,Z. LaVine makes 2-pt shot from 4 ft,2,91-96,,
5:49.0,,,91-96,,Sacramento full timeout
5:28.0,,,91-96,,T. Lawson misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by K. Dunn,,91-96,,
5:15.0,A. Wiggins makes 2-pt shot from 4 ft,2,93-96,,
5:15.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,93-96,,
5:15.0,A. Wiggins makes free throw 1 of 1,1,94-96,,
5:15.0,,,93-96,,A. Afflalo enters the game for B. McLemore
