time,Detroit,pts.away,score,pts.home,Chicago
4:30.0,,,13-17,,Defensive rebound by R. Rondo
4:16.0,,,13-17,,Shooting foul by I. Smith (drawn by J. Lauvergne)
4:16.0,,,13-18,1,J. Lauvergne makes free throw 1 of 2
4:16.0,Violation by Team (jump ball),,13-18,,
4:16.0,,,13-19,1,J. Lauvergne makes free throw 2 of 2
4:16.0,J. Leuer enters the game for T. Harris,,13-18,,
4:16.0,,,13-18,,D. Valentine enters the game for P. Zipser
4:16.0,R. Jackson enters the game for I. Smith,,13-18,,
3:56.0,Turnover by A. Drummond (lost ball; steal by J. Butler),,13-19,,
3:51.0,,,13-21,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Valentine)
3:26.0,M. Morris misses 2-pt shot from 23 ft,,13-21,,
3:26.0,,,13-21,,Defensive rebound by Team
3:12.0,,,13-23,2,D. Valentine makes 2-pt shot from 15 ft
2:56.0,R. Jackson misses 2-pt shot from 20 ft,,13-23,,
2:55.0,,,13-23,,Defensive rebound by N. Mirotic
2:49.0,,,13-25,2,N. Mirotic makes 2-pt shot from 2 ft
2:41.0,Detroit full timeout,,13-25,,
2:41.0,,,13-25,,Chicago full timeout
2:41.0,,,13-25,,B. Portis enters the game for J. Lauvergne
2:41.0,A. Baynes enters the game for A. Drummond,,13-25,,
2:41.0,R. Bullock enters the game for K. Caldwell-Pope,,13-25,,
2:30.0,J. Leuer makes 3-pt shot from 27 ft (assist by R. Jackson),3,16-25,,
2:14.0,,,16-25,,B. Portis misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by R. Bullock,,16-25,,
2:02.0,J. Leuer makes 2-pt shot from 14 ft (assist by M. Morris),2,18-25,,
1:46.0,,,18-25,,Turnover by D. Valentine (bad pass)
1:39.0,,,18-25,,Personal foul by D. Valentine (drawn by R. Jackson)
1:26.0,R. Jackson misses 2-pt shot from 3 ft (block by N. Mirotic),,18-25,,
1:26.0,Offensive rebound by J. Leuer,,18-25,,
1:25.0,J. Leuer makes 2-pt shot from 3 ft,2,20-25,,
1:25.0,Shooting foul by B. Portis (drawn by J. Leuer),,20-25,,
1:25.0,J. Leuer makes free throw 1 of 1,1,21-25,,
1:08.0,,,21-28,3,D. Valentine makes 3-pt shot from 26 ft (assist by J. Butler)
0:59.0,A. Baynes makes 2-pt shot from 12 ft (assist by R. Jackson),2,23-28,,
0:40.0,,,23-30,2,B. Portis makes 2-pt shot from 7 ft (assist by J. Butler)
0:27.0,M. Morris misses 3-pt shot from 25 ft,,23-30,,
0:25.0,,,23-30,,Defensive rebound by R. Rondo
0:19.0,,,23-32,2,B. Portis makes 2-pt shot from 17 ft (assist by J. Butler)
0:00.0,R. Jackson misses 2-pt shot from 12 ft,,23-32,,
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,23-32,,M. Carter-Williams misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by A. Baynes,,23-32,,
11:20.0,Shooting foul by J. Grant (drawn by J. Leuer),,23-32,,
11:20.0,J. Leuer makes free throw 1 of 2,1,24-32,,
11:20.0,J. Leuer misses free throw 2 of 2,,24-32,,
11:19.0,,,24-32,,Defensive rebound by P. Zipser
11:06.0,,,24-32,,J. Grant misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by S. Johnson,,24-32,,
10:55.0,R. Jackson misses 2-pt shot from 8 ft,,24-32,,
10:53.0,,,24-32,,Defensive rebound by D. Valentine
10:30.0,,,24-34,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by P. Zipser)
10:11.0,J. Leuer misses 2-pt shot from 16 ft,,24-34,,
10:10.0,,,24-34,,Defensive rebound by D. Valentine
10:02.0,,,24-36,2,P. Zipser makes 2-pt shot from 2 ft
10:02.0,,,24-36,,Shooting foul by A. Baynes (drawn by P. Zipser)
10:02.0,,,24-37,1,P. Zipser makes free throw 1 of 1
9:48.0,R. Bullock makes 3-pt shot from 25 ft (assist by R. Jackson),3,27-37,,
9:23.0,,,27-39,2,P. Zipser makes 2-pt shot from 22 ft (assist by B. Portis)
9:10.0,R. Jackson makes 2-pt shot from 2 ft,2,29-39,,
8:50.0,,,29-39,,B. Portis misses 2-pt shot from 20 ft
8:49.0,Defensive rebound by R. Jackson,,29-39,,
8:40.0,R. Jackson misses 2-pt shot from 22 ft,,29-39,,
8:39.0,,,29-39,,Defensive rebound by D. Valentine
8:28.0,,,29-39,,D. Valentine misses 2-pt shot from 20 ft
8:27.0,Defensive rebound by J. Leuer,,29-39,,
8:20.0,S. Johnson makes 2-pt shot from 22 ft,2,31-39,,
8:20.0,,,31-39,,Chicago full timeout
8:06.0,,,31-39,,M. Carter-Williams misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by S. Johnson,,31-39,,
7:59.0,Turnover by A. Baynes (kicked ball),,31-39,,
7:47.0,,,31-41,2,J. Grant makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
7:29.0,Turnover by R. Jackson (bad pass; steal by M. Carter-Williams),,31-41,,
7:26.0,,,31-43,2,M. Carter-Williams makes 2-pt shot from 2 ft
7:26.0,,,31-43,,Shooting foul by S. Johnson (drawn by M. Carter-Williams)
7:26.0,,,31-43,,M. Carter-Williams misses free throw 1 of 1
7:26.0,K. Caldwell-Pope enters the game for J. Leuer,,31-43,,
7:26.0,T. Harris enters the game for R. Bullock,,31-43,,
7:25.0,Defensive rebound by T. Harris,,31-43,,
7:14.0,,,31-43,,Personal foul by P. Zipser (drawn by R. Jackson)
7:01.0,S. Johnson misses 3-pt shot from 25 ft,,31-43,,
7:00.0,,,31-43,,Defensive rebound by B. Portis
6:41.0,,,31-43,,Turnover by D. Valentine (traveling)
6:41.0,,,31-43,,J. Butler enters the game for D. Valentine
6:41.0,A. Drummond enters the game for R. Jackson,,31-43,,
6:41.0,I. Smith enters the game for A. Baynes,,31-43,,
6:32.0,Turnover by K. Caldwell-Pope (bad pass; steal by M. Carter-Williams),,31-43,,
6:25.0,,,31-43,,Turnover by M. Carter-Williams (bad pass; steal by I. Smith)
6:16.0,S. Johnson misses 2-pt shot from 21 ft,,31-43,,
6:15.0,Offensive rebound by A. Drummond,,31-43,,
6:15.0,A. Drummond makes 2-pt shot from 1 ft,2,33-43,,
5:59.0,,,33-43,,M. Carter-Williams misses 2-pt shot from 8 ft
5:58.0,Defensive rebound by A. Drummond,,33-43,,
5:51.0,,,33-43,,Personal foul by M. Carter-Williams (drawn by T. Harris)
5:51.0,Detroit full timeout,,33-43,,
5:51.0,,,33-43,,N. Mirotic enters the game for P. Zipser
5:51.0,,,33-43,,J. Lauvergne enters the game for B. Portis
5:51.0,,,33-43,,R. Rondo enters the game for M. Carter-Williams
5:37.0,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith),3,36-43,,
5:24.0,Personal foul by S. Johnson (drawn by J. Butler),,36-43,,
5:16.0,,,36-43,,J. Lauvergne misses 2-pt shot from 5 ft
5:15.0,Defensive rebound by A. Drummond,,36-43,,
4:57.0,T. Harris makes 2-pt shot from 14 ft,2,38-43,,
4:41.0,,,38-45,2,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo)
4:18.0,S. Johnson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,41-45,,
4:10.0,,,41-47,2,J. Lauvergne makes 2-pt shot from 13 ft (assist by J. Butler)
3:59.0,S. Johnson misses 2-pt shot from 3 ft (block by J. Grant),,41-47,,
3:58.0,,,41-47,,Defensive rebound by J. Lauvergne
3:54.0,,,41-49,2,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo)
3:54.0,,,41-49,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler)
3:54.0,,,41-49,,Chicago full timeout
3:54.0,,,41-50,1,J. Butler makes free throw 1 of 1
3:54.0,M. Morris enters the game for S. Johnson,,41-49,,
3:36.0,T. Harris misses 2-pt shot from 5 ft,,41-50,,
3:35.0,Offensive rebound by T. Harris,,41-50,,
3:35.0,T. Harris makes 2-pt shot from 4 ft,2,43-50,,
3:35.0,Shooting foul by J. Lauvergne (drawn by T. Harris),,43-50,,
3:35.0,T. Harris makes free throw 1 of 1,1,44-50,,
3:23.0,,,44-50,,Turnover by R. Rondo (bad pass; steal by T. Harris)
3:13.0,M. Morris makes 2-pt shot from 20 ft (assist by I. Smith),2,46-50,,
3:13.0,Loose ball foul by T. Harris (drawn by J. Grant),,46-50,,
3:13.0,,,46-51,1,J. Grant makes free throw 1 of 2
3:13.0,,,46-52,1,J. Grant makes free throw 2 of 2
3:02.0,A. Drummond misses 2-pt shot from 1 ft,,46-52,,
3:01.0,,,46-52,,Defensive rebound by J. Lauvergne
2:52.0,,,46-52,,J. Grant misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by T. Harris,,46-52,,
2:44.0,I. Smith misses 2-pt shot from 2 ft,,46-52,,
2:43.0,,,46-52,,Defensive rebound by J. Grant
2:38.0,,,46-52,,Turnover by R. Rondo (lost ball; steal by I. Smith)
2:32.0,T. Harris misses 2-pt shot from 2 ft,,46-52,,
2:31.0,,,46-52,,Defensive rebound by J. Butler
2:26.0,,,46-55,3,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Grant)
2:07.0,I. Smith makes 2-pt shot from 20 ft,2,48-55,,
1:57.0,,,48-55,,R. Rondo misses 2-pt shot from 22 ft
1:56.0,Defensive rebound by A. Drummond,,48-55,,
1:50.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith),3,51-55,,
1:17.0,,,51-55,,R. Rondo misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by A. Drummond,,51-55,,
1:02.0,I. Smith makes 2-pt shot from 2 ft,2,53-55,,
0:45.0,,,53-57,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by J. Butler)
0:34.0,Turnover by M. Morris (bad pass; steal by N. Mirotic),,53-57,,
0:31.0,,,53-59,2,N. Mirotic makes 2-pt shot from 2 ft
0:13.0,I. Smith misses 2-pt shot from 11 ft,,53-59,,
0:12.0,,,53-59,,Defensive rebound by J. Butler
0:00.0,,,53-59,,J. Lauvergne misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by K. Caldwell-Pope,,53-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,53-59,,Violation by Team (jump ball)
11:52.0,Personal foul by A. Drummond (drawn by J. Butler),,53-59,,
11:38.0,,,53-61,2,J. Butler makes 2-pt shot from 10 ft (assist by N. Mirotic)
11:38.0,,,53-61,,Shooting foul by I. Smith (drawn by J. Butler)
11:38.0,,,53-62,1,J. Butler makes free throw 1 of 1
11:28.0,,,53-62,,Personal foul by N. Mirotic (drawn by T. Harris)
11:16.0,T. Harris misses 2-pt shot from 5 ft,,53-62,,
11:15.0,Offensive rebound by A. Drummond,,53-62,,
11:15.0,,,53-62,,Personal foul by R. Rondo (drawn by A. Drummond)
11:05.0,A. Drummond misses 2-pt shot at rim,,53-62,,
11:03.0,Offensive rebound by A. Drummond,,53-62,,
11:02.0,A. Drummond misses 2-pt shot from 1 ft,,53-62,,
11:01.0,Offensive rebound by A. Drummond,,53-62,,
11:01.0,A. Drummond makes 2-pt shot from 1 ft,2,55-62,,
10:41.0,,,55-65,3,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo)
10:24.0,M. Morris misses 3-pt shot from 25 ft,,55-65,,
10:23.0,,,55-65,,Defensive rebound by J. Lauvergne
10:14.0,,,55-65,,Shooting foul by I. Smith (drawn by P. Zipser)
10:14.0,,,55-65,,P. Zipser misses free throw 1 of 2
10:14.0,,,55-65,,Offensive rebound by Team
10:14.0,,,55-66,1,P. Zipser makes free throw 2 of 2
10:14.0,R. Jackson enters the game for I. Smith,,55-65,,
9:57.0,A. Drummond misses 2-pt shot from 8 ft,,55-66,,
9:56.0,,,55-66,,Defensive rebound by N. Mirotic
9:35.0,,,55-66,,P. Zipser misses 2-pt shot from 3 ft (block by A. Drummond)
9:34.0,,,55-66,,Offensive rebound by P. Zipser
9:34.0,,,55-68,2,P. Zipser makes 2-pt shot from 1 ft
9:19.0,Shooting foul by R. Rondo (drawn by A. Drummond),,55-68,,
9:19.0,A. Drummond misses free throw 1 of 2,,55-68,,
9:19.0,Offensive rebound by Team,,55-68,,
9:19.0,A. Drummond misses free throw 2 of 2,,55-68,,
9:16.0,,,55-68,,Defensive rebound by Team
8:59.0,,,55-70,2,N. Mirotic makes 2-pt shot from 4 ft (assist by J. Lauvergne)
8:58.0,Detroit full timeout,,55-70,,
8:48.0,Turnover by T. Harris (lost ball),,55-70,,
8:30.0,,,55-70,,Turnover by J. Lauvergne (3 sec)
8:17.0,,,55-70,,Personal foul by J. Butler (drawn by K. Caldwell-Pope)
8:06.0,R. Jackson misses 3-pt shot from 23 ft,,55-70,,
8:05.0,,,55-70,,Defensive rebound by J. Lauvergne
7:57.0,,,55-72,2,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo)
7:44.0,Turnover by R. Jackson (bad pass),,55-72,,
7:44.0,S. Johnson enters the game for M. Morris,,55-72,,
7:23.0,,,55-74,2,J. Lauvergne makes 2-pt shot from 8 ft (assist by R. Rondo)
7:04.0,S. Johnson misses 2-pt shot from 11 ft,,55-74,,
7:03.0,Offensive rebound by Team,,55-74,,
6:49.0,S. Johnson makes 2-pt shot from 13 ft (assist by T. Harris),2,57-74,,
6:27.0,,,57-74,,J. Lauvergne misses 2-pt shot from 12 ft
6:26.0,Defensive rebound by A. Drummond,,57-74,,
6:20.0,T. Harris makes 2-pt shot from 2 ft (assist by R. Jackson),2,59-74,,
6:07.0,,,59-74,,Turnover by P. Zipser (lost ball; steal by K. Caldwell-Pope)
6:03.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,59-74,,
6:03.0,,,59-74,,Defensive rebound by Team
6:03.0,Loose ball foul by A. Drummond (drawn by J. Lauvergne),,59-74,,
6:03.0,,,59-74,,D. Valentine enters the game for P. Zipser
6:03.0,A. Baynes enters the game for A. Drummond,,59-74,,
5:44.0,,,59-77,3,D. Valentine makes 3-pt shot from 25 ft (assist by R. Rondo)
5:27.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,61-77,,
5:07.0,,,61-79,2,N. Mirotic makes 2-pt shot from 20 ft (assist by R. Rondo)
4:53.0,Turnover by K. Caldwell-Pope (lost ball; steal by R. Rondo),,61-79,,
4:48.0,,,61-79,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler)
4:48.0,,,61-80,1,J. Butler makes free throw 1 of 2
4:48.0,,,61-81,1,J. Butler makes free throw 2 of 2
4:48.0,,,61-80,,B. Portis enters the game for J. Lauvergne
4:48.0,R. Bullock enters the game for T. Harris,,61-80,,
4:48.0,J. Leuer enters the game for K. Caldwell-Pope,,61-80,,
4:36.0,J. Leuer misses 2-pt shot from 20 ft,,61-81,,
4:35.0,Offensive rebound by A. Baynes,,61-81,,
4:30.0,R. Jackson makes 2-pt shot from 2 ft (assist by A. Baynes),2,63-81,,
4:19.0,,,63-81,,D. Valentine misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by S. Johnson,,63-81,,
4:12.0,S. Johnson makes 2-pt shot from 6 ft,2,65-81,,
4:12.0,,,65-81,,Chicago full timeout
3:57.0,,,65-81,,N. Mirotic misses 3-pt shot from 26 ft
3:56.0,,,65-81,,Offensive rebound by D. Valentine
3:45.0,,,65-83,2,R. Rondo makes 2-pt shot from 3 ft (assist by J. Butler)
3:17.0,Turnover by S. Johnson (bad pass; steal by N. Mirotic),,65-83,,
3:12.0,,,65-85,2,B. Portis makes 2-pt shot from 5 ft (assist by J. Butler)
2:54.0,R. Bullock misses 3-pt shot from 24 ft,,65-85,,
2:53.0,Offensive rebound by J. Leuer,,65-85,,
2:52.0,J. Leuer makes 2-pt shot from 2 ft,2,67-85,,
2:44.0,,,67-88,3,N. Mirotic makes 3-pt shot from 28 ft (assist by R. Rondo)
2:22.0,Shooting foul by B. Portis (drawn by A. Baynes),,67-88,,
2:22.0,A. Baynes makes free throw 1 of 2,1,68-88,,
2:22.0,A. Baynes makes free throw 2 of 2,1,69-88,,
2:22.0,M. Morris enters the game for S. Johnson,,68-88,,
2:09.0,,,69-88,,D. Valentine misses 2-pt shot from 5 ft
2:08.0,Defensive rebound by R. Bullock,,69-88,,
1:57.0,M. Morris misses 2-pt shot from 21 ft,,69-88,,
1:56.0,Offensive rebound by J. Leuer,,69-88,,
1:52.0,J. Leuer misses 2-pt shot from 11 ft,,69-88,,
1:52.0,Offensive rebound by Team,,69-88,,
1:52.0,,,69-88,,Loose ball foul by R. Rondo (drawn by M. Morris)
1:52.0,M. Morris makes free throw 1 of 2,1,70-88,,
1:52.0,M. Morris makes free throw 2 of 2,1,71-88,,
1:52.0,,,70-88,,M. Carter-Williams enters the game for R. Rondo
1:42.0,,,71-88,,Shooting foul by A. Baynes (drawn by B. Portis)
1:42.0,,,71-88,,B. Portis misses free throw 1 of 2
1:42.0,,,71-88,,Offensive rebound by Team
1:42.0,,,71-89,1,B. Portis makes free throw 2 of 2
1:34.0,R. Jackson makes 2-pt shot from 2 ft,2,73-89,,
1:18.0,,,73-89,,D. Valentine misses 2-pt shot from 10 ft
1:17.0,Defensive rebound by A. Baynes,,73-89,,
1:11.0,Turnover by R. Jackson (bad pass; steal by D. Valentine),,73-89,,
0:49.0,,,73-91,2,N. Mirotic makes 2-pt shot from 11 ft (assist by D. Valentine)
0:24.0,R. Jackson misses 2-pt shot from 15 ft,,73-91,,
0:24.0,Offensive rebound by Team,,73-91,,
0:24.0,Turnover by Team (shot clock),,73-91,,
0:05.0,,,73-91,,Turnover by B. Portis (offensive foul)
0:05.0,,,73-91,,Offensive foul by B. Portis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,R. Bullock misses 2-pt shot from 2 ft,,73-91,,
11:46.0,Offensive rebound by A. Drummond,,73-91,,
11:46.0,,,73-91,,Personal foul by D. Valentine (drawn by A. Drummond)
11:35.0,T. Harris makes 2-pt shot from 5 ft,2,75-91,,
11:17.0,,,75-91,,M. Carter-Williams misses 2-pt shot from 22 ft
11:16.0,Defensive rebound by Team,,75-91,,
10:57.0,I. Smith misses 2-pt shot from 19 ft,,75-91,,
10:56.0,,,75-91,,Defensive rebound by B. Portis
10:50.0,,,75-91,,D. Valentine misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by A. Drummond,,75-91,,
10:42.0,R. Bullock misses 3-pt shot from 24 ft,,75-91,,
10:41.0,,,75-91,,Defensive rebound by B. Portis
10:15.0,,,75-93,2,M. Carter-Williams makes 2-pt shot from 7 ft
9:49.0,Turnover by R. Bullock (bad pass; steal by M. Carter-Williams),,75-93,,
9:43.0,,,75-93,,Shooting foul by T. Harris (drawn by B. Portis)
9:43.0,,,75-93,,B. Portis misses free throw 1 of 2
9:43.0,,,75-93,,Offensive rebound by Team
9:43.0,,,75-93,,B. Portis misses free throw 2 of 2
9:41.0,Defensive rebound by A. Drummond,,75-93,,
9:27.0,,,75-93,,Personal foul by P. Zipser (drawn by I. Smith)
9:27.0,K. Caldwell-Pope enters the game for R. Bullock,,75-93,,
9:16.0,Turnover by I. Smith (bad pass; steal by P. Zipser),,75-93,,
9:04.0,,,75-95,2,B. Portis makes 2-pt shot from 2 ft (assist by N. Mirotic)
9:04.0,,,75-95,,Shooting foul by A. Drummond (drawn by B. Portis)
9:04.0,Detroit full timeout,,75-95,,
9:04.0,,,75-96,1,B. Portis makes free throw 1 of 1
8:43.0,A. Drummond misses 2-pt shot from 9 ft,,75-96,,
8:42.0,Offensive rebound by A. Drummond,,75-96,,
8:42.0,Shooting foul by B. Portis (drawn by A. Drummond),,75-96,,
8:42.0,A. Drummond misses free throw 1 of 2,,75-96,,
8:42.0,Offensive rebound by Team,,75-96,,
8:42.0,A. Drummond misses free throw 2 of 2,,75-96,,
8:42.0,Offensive rebound by Team,,75-96,,
8:42.0,,,75-96,,Loose ball foul by B. Portis (drawn by A. Drummond)
8:28.0,M. Morris makes 2-pt shot from 13 ft (assist by I. Smith),2,77-96,,
8:08.0,,,77-96,,B. Portis misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by T. Harris,,77-96,,
7:59.0,I. Smith misses 2-pt shot from 20 ft,,77-96,,
7:58.0,,,77-96,,Defensive rebound by M. Carter-Williams
7:42.0,,,77-96,,Turnover by M. Carter-Williams (traveling)
7:42.0,B. Marjanovic enters the game for A. Drummond,,77-96,,
7:32.0,B. Marjanovic makes 2-pt shot from 6 ft (assist by T. Harris),2,79-96,,
7:16.0,,,79-96,,Turnover by D. Valentine (bad pass; steal by K. Caldwell-Pope)
7:08.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,79-96,,
7:07.0,,,79-96,,Defensive rebound by M. Carter-Williams
6:47.0,,,79-96,,D. Valentine misses 3-pt shot from 26 ft
6:46.0,,,79-96,,Offensive rebound by B. Portis
6:25.0,,,79-98,2,B. Portis makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
6:06.0,Shooting foul by D. Valentine (drawn by M. Morris),,79-98,,
6:06.0,M. Morris makes free throw 1 of 2,1,80-98,,
6:06.0,M. Morris misses free throw 2 of 2,,80-98,,
6:06.0,,,80-98,,J. Butler enters the game for D. Valentine
6:06.0,,,80-98,,J. Lauvergne enters the game for B. Portis
6:04.0,,,80-98,,Defensive rebound by N. Mirotic
5:43.0,,,80-98,,Shooting foul by T. Harris (drawn by J. Lauvergne)
5:43.0,,,80-98,,Chicago full timeout
5:43.0,,,80-98,,J. Lauvergne misses free throw 1 of 2
5:43.0,,,80-98,,Offensive rebound by Team
5:43.0,,,80-98,,J. Lauvergne misses free throw 2 of 2
5:41.0,Defensive rebound by B. Marjanovic,,80-98,,
5:21.0,M. Morris makes 2-pt shot from 9 ft,2,82-98,,
5:21.0,Shooting foul by P. Zipser (drawn by M. Morris),,82-98,,
5:21.0,M. Morris makes free throw 1 of 1,1,83-98,,
5:05.0,,,83-100,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by J. Butler)
4:53.0,Turnover by I. Smith (bad pass; steal by J. Butler),,83-100,,
4:49.0,,,83-102,2,N. Mirotic makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
4:24.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,86-102,,
4:05.0,,,86-105,3,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler)
3:50.0,I. Smith makes 2-pt shot from 17 ft,2,88-105,,
3:35.0,,,88-108,3,J. Lauvergne makes 3-pt shot from 26 ft (assist by P. Zipser)
3:12.0,T. Harris misses 3-pt shot from 25 ft,,88-108,,
3:11.0,,,88-108,,Defensive rebound by P. Zipser
3:01.0,,,88-111,3,P. Zipser makes 3-pt shot from 26 ft (assist by J. Butler)
3:01.0,Detroit full timeout,,88-111,,
3:01.0,,,88-111,,A. Morrow enters the game for P. Zipser
3:01.0,,,88-111,,I. Canaan enters the game for N. Mirotic
3:01.0,,,88-111,,J. Grant enters the game for J. Butler
3:01.0,,,88-111,,B. Portis enters the game for M. Carter-Williams
3:01.0,D. Hilliard enters the game for T. Harris,,88-111,,
3:01.0,J. Leuer enters the game for M. Morris,,88-111,,
3:01.0,B. Udrih enters the game for K. Caldwell-Pope,,88-111,,
3:01.0,S. Johnson enters the game for I. Smith,,88-111,,
2:46.0,,,88-111,,Personal foul by J. Lauvergne (drawn by B. Marjanovic)
2:46.0,B. Marjanovic misses free throw 1 of 2,,88-111,,
2:46.0,Offensive rebound by Team,,88-111,,
2:46.0,B. Marjanovic makes free throw 2 of 2,1,89-111,,
