time,Washington,pts.away,score,pts.home,LA Clippers
6:52.0,Turnover by Team (shot clock),,11-16,,
6:42.0,,,11-19,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
6:33.0,,,11-19,,Personal foul by L. Mbah a Moute (drawn by B. Beal)
6:21.0,O. Porter makes 2-pt shot from 18 ft (assist by M. Gortat),2,13-19,,
6:10.0,,,13-21,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
5:59.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Wall),3,16-21,,
5:39.0,,,16-21,,D. Jordan misses 2-pt shot at rim
5:36.0,Defensive rebound by J. Smith,,16-21,,
5:32.0,J. Wall misses 2-pt shot from 3 ft,,16-21,,
5:27.0,Offensive rebound by M. Gortat,,16-21,,
5:27.0,M. Gortat makes 2-pt shot from 2 ft,2,18-21,,
5:14.0,,,18-21,,J. Redick misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by J. Wall,,18-21,,
5:10.0,J. Wall makes 2-pt shot from 3 ft,2,20-21,,
5:10.0,Shooting foul by C. Paul (drawn by J. Wall),,20-21,,
5:10.0,,,20-21,,LA Clippers full timeout
5:10.0,J. Wall makes free throw 1 of 1,1,21-21,,
4:57.0,,,21-24,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
4:38.0,J. Wall makes 3-pt shot from 27 ft (assist by M. Gortat),3,24-24,,
4:25.0,,,24-26,2,C. Paul makes 2-pt shot from 16 ft
4:07.0,B. Beal makes 3-pt shot from 27 ft,3,27-26,,
3:50.0,Personal foul by J. Smith (drawn by C. Paul),,27-26,,
3:50.0,,,27-27,1,C. Paul makes free throw 1 of 2
3:50.0,,,27-28,1,C. Paul makes free throw 2 of 2
3:50.0,I. Mahinmi enters the game for M. Gortat,,27-27,,
3:50.0,,,27-27,,J. Crawford enters the game for J. Redick
3:50.0,,,27-27,,A. Rivers enters the game for L. Mbah a Moute
3:38.0,J. Wall misses 2-pt shot from 2 ft (block by D. Jordan),,27-28,,
3:37.0,Offensive rebound by J. Wall,,27-28,,
3:37.0,Washington full timeout,,27-28,,
3:27.0,J. Smith misses 2-pt shot from 2 ft,,27-28,,
3:25.0,,,27-28,,Defensive rebound by B. Griffin
3:20.0,Personal foul by I. Mahinmi (drawn by C. Paul),,27-28,,
3:20.0,,,27-29,1,C. Paul makes free throw 1 of 2
3:20.0,,,27-29,,C. Paul misses free throw 2 of 2
3:20.0,K. Oubre enters the game for O. Porter,,27-29,,
3:19.0,Defensive rebound by I. Mahinmi,,27-29,,
3:01.0,I. Mahinmi misses 2-pt shot from 3 ft,,27-29,,
3:00.0,,,27-29,,Defensive rebound by D. Jordan
2:55.0,,,27-31,2,J. Crawford makes 2-pt shot from 5 ft (assist by C. Paul)
2:38.0,B. Beal misses 2-pt shot from 17 ft,,27-31,,
2:36.0,,,27-31,,Defensive rebound by B. Griffin
2:27.0,,,27-33,2,C. Paul makes 2-pt shot from 12 ft
2:12.0,Turnover by J. Wall (lost ball),,27-33,,
2:12.0,,,27-33,,M. Speights enters the game for D. Jordan
1:58.0,,,27-33,,B. Griffin misses 3-pt shot from 27 ft
1:57.0,Defensive rebound by K. Oubre,,27-33,,
1:50.0,Offensive charge foul by J. Wall,,27-33,,
1:50.0,Turnover by J. Wall (offensive foul),,27-33,,
1:50.0,B. Jennings enters the game for J. Wall,,27-33,,
1:37.0,,,27-35,2,C. Paul makes 2-pt shot from 16 ft
1:22.0,J. Smith makes 2-pt shot at rim (assist by B. Beal),2,29-35,,
1:10.0,,,29-35,,Shooting foul by B. Jennings (drawn by C. Paul)
1:10.0,,,29-36,1,C. Paul makes free throw 1 of 2
1:10.0,,,29-37,1,C. Paul makes free throw 2 of 2
1:10.0,B. Bogdanovic enters the game for J. Smith,,29-36,,
1:10.0,,,29-36,,P. Pierce enters the game for B. Griffin
0:46.0,B. Beal misses 3-pt shot from 26 ft,,29-37,,
0:44.0,Offensive rebound by I. Mahinmi,,29-37,,
0:44.0,I. Mahinmi misses 2-pt shot from 3 ft,,29-37,,
0:42.0,,,29-37,,Defensive rebound by M. Speights
0:42.0,,,29-37,,R. Felton enters the game for C. Paul
0:28.0,,,29-37,,A. Rivers misses 2-pt shot from 12 ft
0:28.0,,,29-37,,Offensive rebound by M. Speights
0:28.0,,,29-39,2,M. Speights makes 2-pt shot from 2 ft
0:04.0,B. Bogdanovic misses 3-pt shot from 25 ft,,29-39,,
0:04.0,Offensive rebound by K. Oubre,,29-39,,
0:04.0,K. Oubre makes 2-pt shot at rim,2,31-39,,
0:01.0,,,31-39,,J. Crawford misses 3-pt shot from 32 ft
0:00.0,,,31-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,31-39,,Turnover by R. Felton (step out of bounds)
11:28.0,,,31-39,,Personal foul by M. Speights (drawn by I. Mahinmi)
11:23.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Jennings),3,34-39,,
11:05.0,,,34-39,,J. Crawford misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by B. Bogdanovic,,34-39,,
10:57.0,K. Oubre makes 2-pt shot from 11 ft (assist by B. Jennings),2,36-39,,
10:31.0,,,36-39,,A. Rivers misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by J. Smith,,36-39,,
10:16.0,I. Mahinmi misses 2-pt shot from 6 ft,,36-39,,
10:14.0,,,36-39,,Defensive rebound by P. Pierce
10:06.0,,,36-42,3,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford)
9:53.0,J. Smith misses 3-pt shot from 26 ft,,36-42,,
9:53.0,Offensive rebound by Team,,36-42,,
9:53.0,,,36-42,,Loose ball foul by M. Speights (drawn by I. Mahinmi)
9:50.0,Turnover by B. Jennings (traveling),,36-42,,
9:38.0,Personal block foul by I. Mahinmi (drawn by R. Felton),,36-42,,
9:29.0,,,36-42,,M. Speights misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by B. Bogdanovic,,36-42,,
9:24.0,Shooting foul by M. Speights (drawn by I. Mahinmi),,36-42,,
9:24.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Jennings),2,38-42,,
9:24.0,I. Mahinmi misses free throw 1 of 1,,38-42,,
9:24.0,,,38-42,,Defensive rebound by A. Rivers
9:24.0,,,38-42,,D. Jordan enters the game for M. Speights
9:05.0,,,38-42,,J. Crawford misses 2-pt shot from 15 ft
9:05.0,,,38-42,,Offensive rebound by Team
9:05.0,Loose ball foul by I. Mahinmi (drawn by D. Jordan),,38-42,,
9:05.0,M. Morris enters the game for I. Mahinmi,,38-42,,
8:58.0,Personal foul by K. Oubre (drawn by D. Jordan),,38-42,,
8:58.0,Official timeout,,38-42,,
8:48.0,,,38-42,,A. Rivers misses 3-pt shot from 28 ft
8:47.0,Defensive rebound by M. Morris,,38-42,,
8:34.0,Shooting foul by P. Pierce (drawn by M. Morris),,38-42,,
8:34.0,M. Morris makes free throw 1 of 2,1,39-42,,
8:34.0,M. Morris makes free throw 2 of 2,1,40-42,,
8:34.0,,,39-42,,B. Griffin enters the game for P. Pierce
8:20.0,,,40-44,2,R. Felton makes 2-pt shot from 3 ft
8:11.0,J. Smith misses 3-pt shot from 27 ft,,40-44,,
8:08.0,Offensive rebound by K. Oubre,,40-44,,
8:07.0,Turnover by K. Oubre (bad pass; steal by J. Crawford),,40-44,,
8:02.0,,,40-44,,J. Crawford misses 2-pt shot from 1 ft
8:00.0,,,40-44,,Offensive rebound by D. Jordan
8:00.0,,,40-46,2,D. Jordan makes 2-pt shot at rim
7:49.0,B. Jennings misses 3-pt shot from 27 ft,,40-46,,
7:47.0,,,40-46,,Defensive rebound by Team
7:47.0,,,40-46,,J. Redick enters the game for A. Rivers
7:34.0,,,40-48,2,J. Crawford makes 2-pt shot from 7 ft
7:24.0,J. Smith misses 3-pt shot from 24 ft,,40-48,,
7:22.0,,,40-48,,Defensive rebound by R. Felton
7:15.0,J. Wall enters the game for B. Jennings,,40-48,,
7:15.0,B. Beal enters the game for K. Oubre,,40-48,,
7:11.0,Personal foul by M. Morris (drawn by D. Jordan),,40-48,,
7:11.0,K. Oubre enters the game for M. Morris,,40-48,,
7:04.0,Personal foul by K. Oubre (drawn by B. Griffin),,40-48,,
7:04.0,,,40-48,,B. Griffin misses free throw 1 of 2
7:04.0,,,40-48,,Offensive rebound by Team
7:04.0,,,40-48,,B. Griffin misses free throw 2 of 2
7:01.0,Defensive rebound by J. Smith,,40-48,,
6:53.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Wall),3,43-48,,
6:44.0,,,43-50,2,J. Crawford makes 2-pt shot from 17 ft
6:24.0,B. Beal misses 2-pt shot from 19 ft,,43-50,,
6:23.0,,,43-50,,Defensive rebound by J. Crawford
6:22.0,,,43-50,,Turnover by J. Crawford (bad pass; steal by J. Wall)
6:16.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Wall),3,46-50,,
5:54.0,,,46-52,2,B. Griffin makes 2-pt shot from 4 ft (assist by J. Crawford)
5:46.0,B. Beal misses 3-pt shot from 26 ft,,46-52,,
5:43.0,,,46-52,,Defensive rebound by R. Felton
5:36.0,,,46-52,,B. Griffin misses 2-pt shot from 20 ft
5:34.0,,,46-52,,Offensive rebound by D. Jordan
5:30.0,,,46-54,2,J. Redick makes 2-pt shot from 18 ft (assist by D. Jordan)
5:30.0,Washington full timeout,,46-54,,
5:30.0,,,46-54,,C. Paul enters the game for R. Felton
5:30.0,O. Porter enters the game for K. Oubre,,46-54,,
5:21.0,J. Smith misses 3-pt shot from 26 ft,,46-54,,
5:20.0,,,46-54,,Defensive rebound by B. Griffin
5:12.0,,,46-54,,Shooting foul by B. Beal (drawn by D. Jordan)
5:12.0,,,46-55,1,D. Jordan makes free throw 1 of 2
5:12.0,,,46-56,1,D. Jordan makes free throw 2 of 2
5:12.0,M. Gortat enters the game for B. Bogdanovic,,46-55,,
5:00.0,J. Wall makes 2-pt shot from 13 ft,2,48-56,,
4:42.0,,,48-56,,J. Redick misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by J. Smith,,48-56,,
4:26.0,J. Wall makes 2-pt shot from 13 ft,2,50-56,,
4:11.0,,,50-59,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
3:59.0,,,50-59,,Personal foul by J. Redick
3:59.0,B. Beal misses free throw 1 of 2,,50-59,,
3:59.0,Offensive rebound by Team,,50-59,,
3:59.0,B. Beal misses free throw 2 of 2,,50-59,,
3:55.0,,,50-59,,Defensive rebound by B. Griffin
3:43.0,,,50-59,,C. Paul misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by O. Porter,,50-59,,
3:33.0,O. Porter misses 3-pt shot from 26 ft,,50-59,,
3:32.0,,,50-59,,Defensive rebound by D. Jordan
3:15.0,,,50-61,2,B. Griffin makes 2-pt shot from 4 ft
3:01.0,J. Wall makes 2-pt shot from 3 ft,2,52-61,,
2:46.0,,,52-63,2,J. Redick makes 2-pt shot from 4 ft (assist by C. Paul)
2:39.0,Turnover by J. Wall (bad pass; steal by D. Jordan),,52-63,,
2:36.0,,,52-63,,Shooting foul by J. Smith (drawn by B. Griffin)
2:36.0,,,52-63,,LA Clippers full timeout
2:36.0,,,52-64,1,B. Griffin makes free throw 1 of 2
2:36.0,,,52-65,1,B. Griffin makes free throw 2 of 2
2:36.0,,,52-63,,L. Mbah a Moute enters the game for J. Crawford
2:23.0,B. Beal makes 2-pt shot from 17 ft,2,54-65,,
2:06.0,,,54-67,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
1:52.0,O. Porter misses 2-pt shot from 8 ft,,54-67,,
1:51.0,Offensive rebound by M. Gortat,,54-67,,
1:50.0,M. Gortat makes 2-pt shot from 6 ft,2,56-67,,
1:29.0,,,56-67,,C. Paul misses 2-pt shot from 5 ft
1:26.0,Jump ball: B. Beal vs. C. Paul (J. Redick gains possession),,,,Jump ball: B. Beal vs. C. Paul (J. Redick gains possession)
1:26.0,,,56-67,,Offensive rebound by C. Paul
1:14.0,,,56-70,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
1:00.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,59-70,,
0:48.0,,,59-70,,J. Redick misses 3-pt shot from 28 ft
0:47.0,Defensive rebound by J. Wall,,59-70,,
0:44.0,,,59-70,,Personal foul by L. Mbah a Moute (drawn by J. Wall)
0:44.0,J. Wall makes free throw 1 of 2,1,60-70,,
0:44.0,J. Wall makes free throw 2 of 2,1,61-70,,
0:44.0,,,60-70,,J. Crawford enters the game for L. Mbah a Moute
0:37.0,,,61-70,,Shooting foul by B. Beal
0:37.0,,,61-71,1,J. Redick makes free throw 1 of 2
0:37.0,,,61-72,1,J. Redick makes free throw 2 of 2
0:37.0,,,61-71,,L. Mbah a Moute enters the game for J. Crawford
0:37.0,K. Oubre enters the game for B. Beal,,61-71,,
0:30.0,J. Wall misses 2-pt shot from 16 ft,,61-72,,
0:27.0,,,61-72,,Defensive rebound by D. Jordan
0:21.0,Washington full timeout,,61-72,,
0:21.0,,,61-72,,J. Crawford enters the game for L. Mbah a Moute
0:12.0,,,61-74,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:05.0,,,61-74,,Personal foul by B. Griffin (drawn by J. Wall)
0:05.0,J. Wall makes free throw 1 of 2,1,62-74,,
0:05.0,J. Wall makes free throw 2 of 2,1,63-74,,
0:05.0,,,62-74,,R. Felton enters the game for D. Jordan
0:02.0,,,63-74,,J. Crawford misses 3-pt shot from 52 ft
0:00.0,,,63-74,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-76,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
11:28.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,66-76,,
11:07.0,,,66-76,,Shooting foul by O. Porter (drawn by L. Mbah a Moute)
11:07.0,,,66-76,,L. Mbah a Moute misses free throw 1 of 2
11:07.0,,,66-76,,Offensive rebound by Team
11:07.0,,,66-76,,L. Mbah a Moute misses free throw 2 of 2
11:05.0,Defensive rebound by M. Morris,,66-76,,
10:52.0,J. Wall makes 2-pt shot from 2 ft,2,68-76,,
10:33.0,,,68-76,,B. Griffin misses 2-pt shot from 8 ft
10:31.0,,,68-76,,Offensive rebound by D. Jordan
10:31.0,,,68-78,2,D. Jordan makes 2-pt shot at rim
10:22.0,,,68-78,,Personal foul by J. Redick
10:16.0,Shooting foul by D. Jordan (drawn by J. Wall),,68-78,,
10:16.0,J. Wall misses free throw 1 of 2,,68-78,,
10:16.0,Offensive rebound by Team,,68-78,,
10:16.0,J. Wall misses free throw 2 of 2,,68-78,,
10:13.0,,,68-78,,Defensive rebound by B. Griffin
10:04.0,,,68-81,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
9:44.0,,,68-81,,Personal foul by B. Griffin (drawn by B. Beal)
9:36.0,M. Morris makes 3-pt shot from 24 ft (assist by B. Beal),3,71-81,,
9:28.0,,,71-84,3,C. Paul makes 3-pt shot from 28 ft
9:13.0,M. Morris misses 2-pt shot from 3 ft (block by D. Jordan),,71-84,,
9:13.0,Offensive rebound by Team,,71-84,,
9:08.0,M. Morris makes 2-pt shot from 18 ft (assist by O. Porter),2,73-84,,
8:53.0,,,73-86,2,B. Griffin makes 2-pt shot at rim
8:36.0,J. Wall makes 2-pt shot from 12 ft,2,75-86,,
8:30.0,,,75-89,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
8:28.0,Washington full timeout,,75-89,,
8:11.0,O. Porter misses 2-pt shot from 10 ft,,75-89,,
8:08.0,Offensive rebound by M. Gortat,,75-89,,
8:04.0,M. Gortat makes 2-pt shot from 8 ft,2,77-89,,
7:40.0,,,77-91,2,B. Griffin makes 2-pt shot at rim
7:21.0,M. Gortat misses 2-pt shot from 5 ft,,77-91,,
7:18.0,,,77-91,,Defensive rebound by D. Jordan
7:09.0,,,77-93,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by B. Griffin)
6:51.0,Shooting foul by C. Paul (drawn by M. Morris),,77-93,,
6:51.0,M. Morris makes free throw 1 of 2,1,78-93,,
6:51.0,M. Morris makes free throw 2 of 2,1,79-93,,
6:37.0,,,79-96,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin)
6:12.0,J. Wall makes 2-pt shot from 20 ft (assist by O. Porter),2,81-96,,
6:02.0,,,81-98,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
6:02.0,,,81-98,,Shooting foul by M. Morris (drawn by D. Jordan)
6:02.0,,,81-98,,D. Jordan misses free throw 1 of 1
6:02.0,I. Mahinmi enters the game for M. Gortat,,81-98,,
6:00.0,Defensive rebound by I. Mahinmi,,81-98,,
5:49.0,Turnover by J. Wall (bad pass; steal by B. Griffin),,81-98,,
5:43.0,,,81-100,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
5:41.0,Washington full timeout,,81-100,,
5:23.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,84-100,,
4:58.0,Jump ball: B. Griffin vs. I. Mahinmi (C. Paul gains possession),,,,Jump ball: B. Griffin vs. I. Mahinmi (C. Paul gains possession)
4:57.0,Technical foul by I. Mahinmi,,84-100,,
4:57.0,,,84-101,1,J. Redick makes technical free throw
4:57.0,,,84-101,,Technical foul by B. Griffin
4:57.0,Technical foul by M. Morris,,84-101,,
4:49.0,,,84-101,,C. Paul misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by Team,,84-101,,
4:30.0,M. Morris makes 2-pt shot from 8 ft,2,86-101,,
4:30.0,,,86-101,,LA Clippers full timeout
4:19.0,,,86-101,,J. Redick misses 2-pt shot from 15 ft
4:17.0,Defensive rebound by M. Morris,,86-101,,
4:02.0,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute),,86-101,,
3:44.0,,,86-101,,Shooting foul by J. Wall (drawn by D. Jordan)
3:44.0,Technical foul by M. Morris,,86-101,,
3:44.0,,,86-102,1,J. Redick makes technical free throw
3:44.0,,,86-102,,D. Jordan misses free throw 1 of 2
3:44.0,,,86-102,,Offensive rebound by Team
3:44.0,,,86-103,1,D. Jordan makes free throw 2 of 2
3:44.0,J. Smith enters the game for M. Morris,,86-101,,
3:29.0,J. Wall makes 2-pt shot from 3 ft,2,88-103,,
3:14.0,,,88-103,,Turnover by D. Jordan (offensive foul)
3:14.0,,,88-103,,Offensive foul by D. Jordan
3:14.0,,,88-103,,J. Crawford enters the game for J. Redick
3:14.0,,,88-103,,M. Speights enters the game for D. Jordan
3:03.0,J. Smith misses 3-pt shot from 26 ft,,88-103,,
3:02.0,,,88-103,,Defensive rebound by C. Paul
2:48.0,,,88-103,,C. Paul misses 2-pt shot from 15 ft
2:47.0,Defensive rebound by J. Wall,,88-103,,
2:37.0,B. Beal makes 2-pt shot from 2 ft,2,90-103,,
2:22.0,,,90-103,,Turnover by C. Paul (bad pass; steal by O. Porter)
2:18.0,Offensive charge foul by J. Wall,,90-103,,
2:18.0,Turnover by J. Wall (offensive foul),,90-103,,
2:18.0,K. Oubre enters the game for O. Porter,,90-103,,
2:03.0,,,90-105,2,B. Griffin makes 2-pt shot from 2 ft
1:49.0,B. Beal misses 2-pt shot from 6 ft,,90-105,,
1:47.0,Offensive rebound by I. Mahinmi,,90-105,,
1:47.0,I. Mahinmi makes 2-pt shot from 3 ft,2,92-105,,
1:32.0,,,92-105,,Turnover by M. Speights (bad pass; steal by J. Wall)
1:29.0,J. Wall makes 2-pt shot at rim,2,94-105,,
1:09.0,,,94-105,,M. Speights misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by J. Smith,,94-105,,
0:59.0,J. Smith misses 3-pt shot from 28 ft,,94-105,,
0:58.0,Offensive rebound by I. Mahinmi,,94-105,,
0:58.0,Shooting foul by M. Speights (drawn by I. Mahinmi),,94-105,,
0:58.0,I. Mahinmi misses free throw 1 of 2,,94-105,,
0:58.0,Offensive rebound by Team,,94-105,,
0:58.0,I. Mahinmi misses free throw 2 of 2,,94-105,,
0:58.0,,,94-105,,R. Felton enters the game for L. Mbah a Moute
0:55.0,Offensive rebound by J. Smith,,94-105,,
0:51.0,J. Smith makes 3-pt shot from 25 ft (assist by B. Beal),3,97-105,,
0:39.0,Personal foul by J. Smith (drawn by B. Griffin),,97-105,,
0:32.0,,,97-108,3,C. Paul makes 3-pt shot from 25 ft
0:15.0,Shooting foul by R. Felton (drawn by J. Wall),,97-108,,
0:15.0,J. Wall makes free throw 1 of 2,1,98-108,,
0:15.0,J. Wall misses free throw 2 of 2,,98-108,,
0:14.0,,,98-108,,Defensive rebound by B. Griffin
0:00.0,,,98-110,2,C. Paul makes 2-pt shot from 9 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,B. Beal misses 2-pt shot from 11 ft,,98-110,,
11:32.0,Offensive rebound by I. Mahinmi,,98-110,,
11:31.0,Shooting foul by A. Anderson (drawn by B. Beal),,98-110,,
11:31.0,B. Beal makes free throw 1 of 2,1,99-110,,
11:31.0,B. Beal makes free throw 2 of 2,1,100-110,,
11:09.0,,,100-110,,M. Speights misses 3-pt shot from 27 ft
11:08.0,Defensive rebound by B. Jennings,,100-110,,
11:03.0,I. Mahinmi misses 2-pt shot from 2 ft (block by M. Speights),,100-110,,
11:00.0,,,100-110,,Defensive rebound by P. Pierce
10:51.0,,,100-110,,J. Crawford misses 2-pt shot from 5 ft
10:49.0,Defensive rebound by I. Mahinmi,,100-110,,
10:38.0,B. Beal misses 2-pt shot from 6 ft (block by M. Speights),,100-110,,
10:37.0,,,100-110,,Defensive rebound by P. Pierce
10:31.0,,,100-112,2,J. Crawford makes 2-pt shot from 20 ft
10:20.0,K. Oubre makes 2-pt shot from 2 ft,2,102-112,,
10:20.0,Shooting foul by P. Pierce (drawn by K. Oubre),,102-112,,
10:20.0,K. Oubre misses free throw 1 of 1,,102-112,,
10:20.0,,,102-112,,D. Jordan enters the game for M. Speights
10:15.0,,,102-112,,Defensive rebound by D. Jordan
10:04.0,,,102-114,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
9:46.0,B. Jennings misses 2-pt shot from 13 ft,,102-114,,
9:44.0,,,102-114,,Defensive rebound by D. Jordan
9:35.0,Personal foul by B. Jennings (drawn by P. Pierce),,102-114,,
9:27.0,,,102-114,,Turnover by J. Crawford (lost ball; steal by K. Oubre)
9:24.0,Shooting foul by A. Anderson (drawn by K. Oubre),,102-114,,
9:24.0,K. Oubre makes free throw 1 of 2,1,103-114,,
9:24.0,K. Oubre makes free throw 2 of 2,1,104-114,,
9:24.0,J. Wall enters the game for B. Beal,,103-114,,
9:09.0,,,104-114,,R. Felton misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by K. Oubre,,104-114,,
9:04.0,J. Wall makes 2-pt shot from 2 ft (assist by B. Jennings),2,106-114,,
8:48.0,,,106-114,,J. Crawford misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by K. Oubre,,106-114,,
8:35.0,J. Wall makes 2-pt shot from 19 ft,2,108-114,,
8:35.0,,,108-114,,LA Clippers full timeout
8:35.0,,,108-114,,J. Redick enters the game for P. Pierce
8:35.0,,,108-114,,C. Paul enters the game for R. Felton
8:35.0,,,108-114,,B. Griffin enters the game for A. Anderson
8:15.0,,,108-114,,B. Griffin misses 3-pt shot from 27 ft
8:14.0,Defensive rebound by B. Jennings,,108-114,,
7:56.0,B. Bogdanovic misses 3-pt shot from 26 ft,,108-114,,
7:55.0,,,108-114,,Defensive rebound by D. Jordan
7:51.0,Personal foul by J. Wall,,108-114,,
7:44.0,,,108-116,2,C. Paul makes 2-pt shot from 14 ft (assist by B. Griffin)
7:23.0,J. Wall misses 2-pt shot from 2 ft,,108-116,,
7:22.0,,,108-116,,Defensive rebound by B. Griffin
7:14.0,,,108-116,,C. Paul misses 3-pt shot from 25 ft
7:13.0,,,108-116,,Offensive rebound by D. Jordan
7:11.0,,,108-116,,Turnover by D. Jordan (bad pass; steal by K. Oubre)
7:05.0,K. Oubre misses 3-pt shot from 27 ft,,108-116,,
7:03.0,Offensive rebound by J. Wall,,108-116,,
7:01.0,J. Wall misses 3-pt shot from 24 ft,,108-116,,
6:57.0,,,108-116,,Defensive rebound by D. Jordan
6:57.0,Personal foul by K. Oubre (drawn by C. Paul),,108-116,,
6:38.0,,,108-119,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
