time,Toronto,pts.away,score,pts.home,Atlanta
9:59.0,,,23-23,,Turnover by T. Hardaway (bad pass; steal by J. Valanciunas)
9:50.0,J. Valanciunas misses 2-pt shot from 2 ft (block by E. Ilyasova),,23-23,,
9:47.0,,,23-23,,Defensive rebound by E. Ilyasova
9:44.0,,,23-26,3,T. Hardaway makes 3-pt shot from 24 ft (assist by E. Ilyasova)
9:26.0,J. Valanciunas misses 2-pt shot from 3 ft,,23-26,,
9:24.0,Offensive rebound by J. Valanciunas,,23-26,,
9:24.0,J. Valanciunas makes 2-pt shot from 1 ft,2,25-26,,
9:07.0,,,25-26,,T. Hardaway misses 2-pt shot from 7 ft (block by J. Valanciunas)
9:05.0,,,25-26,,Offensive rebound by D. Howard
9:04.0,,,25-28,2,D. Howard makes 2-pt shot at rim
8:57.0,Toronto full timeout,,25-28,,
8:48.0,N. Powell misses 3-pt shot from 25 ft,,25-28,,
8:46.0,,,25-28,,Defensive rebound by E. Ilyasova
8:33.0,,,25-28,,E. Ilyasova misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by J. Valanciunas,,25-28,,
8:15.0,Shooting foul by D. Howard (drawn by N. Powell),,25-28,,
8:15.0,N. Powell makes free throw 1 of 2,1,26-28,,
8:15.0,N. Powell makes free throw 2 of 2,1,27-28,,
8:15.0,,,26-28,,D. Schroder enters the game for J. Calderon
8:15.0,,,26-28,,K. Bazemore enters the game for T. Hardaway
8:15.0,S. Ibaka enters the game for P. Patterson,,26-28,,
8:03.0,,,27-28,,Shooting foul by J. Valanciunas (drawn by D. Howard)
8:03.0,,,27-28,,D. Howard misses free throw 1 of 2
8:03.0,,,27-28,,Offensive rebound by Team
8:03.0,,,27-28,,D. Howard misses free throw 2 of 2
8:02.0,Defensive rebound by J. Valanciunas,,27-28,,
7:39.0,N. Powell makes 2-pt shot from 19 ft (assist by S. Ibaka),2,29-28,,
7:26.0,,,29-30,2,D. Schroder makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
7:08.0,Shooting foul by E. Ilyasova (drawn by S. Ibaka),,29-30,,
7:08.0,S. Ibaka makes free throw 1 of 2,1,30-30,,
7:08.0,S. Ibaka makes free throw 2 of 2,1,31-30,,
7:08.0,D. Carroll enters the game for J. Valanciunas,,30-30,,
7:08.0,D. DeRozan enters the game for N. Powell,,30-30,,
7:08.0,,,30-30,,T. Sefolosha enters the game for E. Ilyasova
6:58.0,C. Joseph enters the game for D. Wright,,31-30,,
6:55.0,,,31-30,,D. Howard misses 2-pt shot from 2 ft (block by D. Carroll)
6:53.0,Defensive rebound by D. DeRozan,,31-30,,
6:47.0,,,31-30,,Personal foul by T. Waller-Prince (drawn by D. DeRozan)
6:47.0,D. DeRozan makes free throw 1 of 2,1,32-30,,
6:47.0,D. DeRozan makes free throw 2 of 2,1,33-30,,
6:45.0,,,33-30,,Atlanta full timeout
6:45.0,,,33-30,,P. Millsap enters the game for T. Waller-Prince
6:45.0,P. Patterson enters the game for P. Tucker,,33-30,,
6:36.0,,,33-32,2,D. Schroder makes 2-pt shot from 1 ft (assist by T. Sefolosha)
6:20.0,D. DeRozan misses 2-pt shot from 20 ft,,33-32,,
6:18.0,Offensive rebound by D. Carroll,,33-32,,
6:06.0,Turnover by C. Joseph (lost ball; steal by K. Bazemore),,33-32,,
5:57.0,,,33-32,,Turnover by D. Schroder (bad pass; steal by D. DeRozan)
5:52.0,Shooting foul by T. Sefolosha (drawn by D. Carroll),,33-32,,
5:52.0,D. Carroll makes free throw 1 of 2,1,34-32,,
5:52.0,D. Carroll makes free throw 2 of 2,1,35-32,,
5:39.0,,,35-35,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
5:21.0,C. Joseph makes 2-pt shot from 22 ft,2,37-35,,
5:05.0,,,37-37,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
4:54.0,S. Ibaka misses 3-pt shot from 26 ft,,37-37,,
4:53.0,,,37-37,,Defensive rebound by P. Millsap
4:50.0,Personal foul by S. Ibaka (drawn by D. Howard),,37-37,,
4:43.0,,,37-37,,P. Millsap misses 2-pt shot from 7 ft
4:41.0,Defensive rebound by P. Patterson,,37-37,,
4:37.0,,,37-37,,Personal foul by K. Bazemore (drawn by D. DeRozan)
4:37.0,D. DeRozan misses free throw 1 of 2,,37-37,,
4:37.0,Offensive rebound by Team,,37-37,,
4:37.0,D. DeRozan makes free throw 2 of 2,1,38-37,,
4:24.0,,,38-37,,Turnover by D. Howard (traveling)
4:24.0,,,38-37,,T. Hardaway enters the game for T. Sefolosha
4:12.0,S. Ibaka misses 3-pt shot from 25 ft,,38-37,,
4:11.0,,,38-37,,Defensive rebound by D. Howard
3:57.0,,,38-37,,K. Bazemore misses 3-pt shot from 25 ft
3:55.0,,,38-37,,Offensive rebound by D. Schroder
3:48.0,,,38-37,,P. Millsap misses 3-pt shot from 23 ft
3:47.0,,,38-37,,Offensive rebound by Team
3:47.0,Loose ball foul by S. Ibaka (drawn by D. Howard),,38-37,,
3:47.0,,,38-37,,E. Ilyasova enters the game for D. Howard
3:44.0,,,38-39,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Bazemore)
3:29.0,D. Carroll misses 3-pt shot from 23 ft,,38-39,,
3:27.0,,,38-39,,Defensive rebound by D. Schroder
3:20.0,,,38-39,,Shooting foul by S. Ibaka (drawn by P. Millsap)
3:20.0,,,38-40,1,P. Millsap makes free throw 1 of 2
3:20.0,,,38-41,1,P. Millsap makes free throw 2 of 2
3:20.0,P. Tucker enters the game for S. Ibaka,,38-40,,
3:04.0,D. DeRozan misses 2-pt shot from 10 ft (block by K. Bazemore),,38-41,,
3:02.0,,,38-41,,Defensive rebound by K. Bazemore
3:01.0,,,38-41,,Shooting foul by C. Joseph (drawn by K. Bazemore)
3:01.0,,,38-41,,K. Bazemore misses free throw 1 of 2
3:01.0,,,38-41,,Offensive rebound by Team
3:01.0,,,38-41,,K. Bazemore misses free throw 2 of 2
2:57.0,Defensive rebound by P. Tucker,,38-41,,
2:38.0,D. DeRozan makes 2-pt shot from 2 ft,2,40-41,,
2:23.0,,,40-41,,D. Schroder misses 2-pt shot from 3 ft
2:21.0,Defensive rebound by P. Tucker,,40-41,,
2:14.0,D. DeRozan makes 2-pt shot from 2 ft (assist by C. Joseph),2,42-41,,
2:06.0,,,42-41,,Atlanta full timeout
2:06.0,Official timeout,,42-41,,
2:06.0,,,42-41,,T. Sefolosha enters the game for K. Bazemore
1:59.0,,,42-41,,Turnover by T. Hardaway (lost ball; steal by D. Carroll)
1:45.0,D. DeRozan makes 2-pt shot from 18 ft,2,44-41,,
1:25.0,,,44-43,2,D. Schroder makes 2-pt shot at rim
1:09.0,D. DeRozan misses 3-pt shot from 22 ft,,44-43,,
1:06.0,Offensive rebound by P. Tucker,,44-43,,
1:05.0,Shooting foul by T. Hardaway (drawn by D. Carroll),,44-43,,
1:05.0,D. Carroll makes free throw 1 of 2,1,45-43,,
1:05.0,D. Carroll makes free throw 2 of 2,1,46-43,,
0:56.0,,,46-46,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
0:38.0,D. Carroll misses 2-pt shot from 13 ft,,46-46,,
0:36.0,,,46-46,,Defensive rebound by D. Schroder
0:31.0,,,46-49,3,D. Schroder makes 3-pt shot from 24 ft
0:08.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. DeRozan),2,48-49,,
0:01.0,,,48-49,,T. Hardaway misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by P. Tucker,,48-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-51,2,K. Bazemore makes 2-pt shot from 11 ft (assist by T. Hardaway)
11:29.0,D. DeRozan makes 2-pt shot from 10 ft,2,50-51,,
11:16.0,,,50-53,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
11:02.0,C. Joseph misses 3-pt shot from 23 ft,,50-53,,
11:01.0,,,50-53,,Defensive rebound by K. Bazemore
10:57.0,,,50-53,,D. Schroder misses 2-pt shot from 16 ft
10:56.0,Defensive rebound by D. Carroll,,50-53,,
10:39.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by C. Joseph),2,52-53,,
10:39.0,Shooting foul by D. Howard (drawn by J. Valanciunas),,52-53,,
10:39.0,J. Valanciunas makes free throw 1 of 1,1,53-53,,
10:24.0,,,53-53,,K. Bazemore misses 2-pt shot from 21 ft
10:22.0,Defensive rebound by D. Carroll,,53-53,,
10:17.0,S. Ibaka makes 2-pt shot from 4 ft (assist by D. Carroll),2,55-53,,
10:01.0,,,55-53,,Turnover by P. Millsap (lost ball; steal by D. Carroll)
10:01.0,D. Carroll misses 2-pt shot from 4 ft,,55-53,,
10:01.0,Offensive rebound by S. Ibaka,,55-53,,
9:55.0,S. Ibaka makes 2-pt shot from 8 ft,2,57-53,,
9:35.0,,,57-53,,D. Schroder misses 2-pt shot from 1 ft (block by J. Valanciunas)
9:33.0,Defensive rebound by J. Valanciunas,,57-53,,
9:19.0,D. Carroll misses 3-pt shot from 26 ft,,57-53,,
9:19.0,,,57-53,,Defensive rebound by D. Howard
9:19.0,Personal foul by D. Carroll (drawn by K. Bazemore),,57-53,,
9:07.0,,,57-53,,D. Howard misses 2-pt shot from 2 ft
9:05.0,,,57-53,,Offensive rebound by P. Millsap
9:01.0,,,57-53,,T. Hardaway misses 3-pt shot from 23 ft
9:00.0,Defensive rebound by J. Valanciunas,,57-53,,
8:44.0,D. Carroll misses 2-pt shot from 2 ft (block by K. Bazemore),,57-53,,
8:44.0,,,57-53,,Defensive rebound by T. Hardaway
8:44.0,Personal foul by D. Carroll (drawn by T. Hardaway),,57-53,,
8:28.0,,,57-55,2,D. Schroder makes 2-pt shot from 2 ft
8:11.0,D. DeRozan makes 2-pt shot from 10 ft,2,59-55,,
7:57.0,,,59-57,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:35.0,D. DeRozan misses 2-pt shot from 13 ft,,59-57,,
7:34.0,,,59-57,,Defensive rebound by P. Millsap
7:29.0,,,59-57,,D. Schroder misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by D. Carroll,,59-57,,
7:20.0,Offensive foul by J. Valanciunas,,59-57,,
7:20.0,Turnover by J. Valanciunas (offensive foul),,59-57,,
7:17.0,,,59-57,,T. Sefolosha enters the game for T. Hardaway
7:04.0,,,59-57,,P. Millsap misses 2-pt shot from 9 ft
7:02.0,,,59-57,,Offensive rebound by T. Sefolosha
7:02.0,,,59-59,2,T. Sefolosha makes 2-pt shot from 2 ft
7:02.0,Toronto full timeout,,59-59,,
6:44.0,C. Joseph makes 2-pt shot from 17 ft,2,61-59,,
6:29.0,Personal foul by C. Joseph (drawn by D. Schroder),,61-59,,
6:23.0,,,61-59,,Turnover by D. Schroder (lost ball; steal by C. Joseph)
6:19.0,Turnover by S. Ibaka (lost ball; steal by P. Millsap),,61-59,,
6:06.0,,,61-61,2,P. Millsap makes 2-pt shot from 13 ft (assist by D. Schroder)
5:41.0,D. DeRozan misses 2-pt shot from 14 ft,,61-61,,
5:39.0,,,61-61,,Defensive rebound by K. Bazemore
5:32.0,,,61-61,,P. Millsap misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by D. DeRozan,,61-61,,
5:20.0,S. Ibaka misses 2-pt shot from 19 ft,,61-61,,
5:18.0,,,61-61,,Defensive rebound by K. Bazemore
5:02.0,,,61-63,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
4:36.0,D. DeRozan misses 3-pt shot from 24 ft,,61-63,,
4:35.0,,,61-63,,Defensive rebound by D. Howard
4:20.0,,,61-63,,Turnover by K. Bazemore (lost ball; steal by C. Joseph)
4:07.0,C. Joseph misses 2-pt shot from 19 ft,,61-63,,
4:05.0,,,61-63,,Defensive rebound by T. Sefolosha
3:52.0,,,61-63,,Turnover by P. Millsap (lost ball; steal by D. DeRozan)
3:48.0,C. Joseph makes 2-pt shot at rim,2,63-63,,
3:48.0,,,63-63,,Atlanta full timeout
3:48.0,,,63-63,,E. Ilyasova enters the game for K. Bazemore
3:48.0,,,63-63,,T. Hardaway enters the game for D. Howard
3:48.0,P. Tucker enters the game for D. Carroll,,63-63,,
3:48.0,P. Patterson enters the game for S. Ibaka,,63-63,,
3:37.0,,,63-63,,T. Sefolosha misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by D. DeRozan,,63-63,,
3:27.0,D. DeRozan makes 2-pt shot from 11 ft,2,65-63,,
3:14.0,Personal foul by P. Tucker (drawn by T. Hardaway),,65-63,,
3:14.0,,,65-63,,J. Calderon enters the game for D. Schroder
3:14.0,N. Powell enters the game for J. Valanciunas,,65-63,,
3:05.0,,,65-63,,E. Ilyasova misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by D. DeRozan,,65-63,,
2:56.0,C. Joseph makes 2-pt shot from 1 ft (assist by D. DeRozan),2,67-63,,
2:34.0,,,67-65,2,T. Hardaway makes 2-pt shot from 2 ft
2:34.0,,,67-65,,Shooting foul by D. DeRozan (drawn by T. Hardaway)
2:34.0,,,67-66,1,T. Hardaway makes free throw 1 of 1
2:34.0,D. Wright enters the game for C. Joseph,,67-65,,
2:21.0,Shooting foul by E. Ilyasova (drawn by P. Tucker),,67-66,,
2:21.0,P. Tucker makes free throw 1 of 2,1,68-66,,
2:21.0,P. Tucker misses free throw 2 of 2,,68-66,,
2:20.0,,,68-66,,Defensive rebound by T. Sefolosha
2:11.0,,,68-68,2,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway)
1:51.0,D. DeRozan makes 3-pt shot from 23 ft (assist by D. Wright),3,71-68,,
1:35.0,,,71-71,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by P. Millsap)
1:18.0,D. DeRozan makes 2-pt shot from 19 ft,2,73-71,,
0:58.0,,,73-71,,Turnover by E. Ilyasova (bad pass; steal by P. Tucker)
0:52.0,Turnover by D. DeRozan (bad pass; steal by T. Sefolosha),,73-71,,
0:50.0,,,73-73,2,T. Sefolosha makes 2-pt shot at rim
0:33.0,D. DeRozan misses 2-pt shot from 16 ft,,73-73,,
0:31.0,,,73-73,,Defensive rebound by T. Sefolosha
0:14.0,,,73-73,,Turnover by T. Hardaway (bad pass; steal by N. Powell)
0:10.0,D. DeRozan makes 2-pt shot from 1 ft,2,75-73,,
0:05.0,Personal foul by N. Powell (drawn by E. Ilyasova),,75-73,,
0:05.0,,,75-74,1,E. Ilyasova makes free throw 1 of 2
0:05.0,,,75-74,,E. Ilyasova misses free throw 2 of 2
0:05.0,Defensive rebound by D. Wright,,75-74,,
0:05.0,,,75-74,,T. Waller-Prince enters the game for P. Millsap
0:03.0,,,75-74,,Personal take foul by J. Calderon (drawn by D. Wright)
0:00.0,D. DeRozan misses 3-pt shot from 32 ft,,75-74,,
0:00.0,Offensive rebound by Team,,75-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,N. Powell misses 3-pt shot from 22 ft,,75-74,,
11:33.0,,,75-74,,Defensive rebound by D. Howard
11:12.0,,,75-76,2,D. Howard makes 2-pt shot at rim (assist by E. Ilyasova)
10:58.0,D. Wright misses 2-pt shot from 2 ft,,75-76,,
10:56.0,,,75-76,,Defensive rebound by E. Ilyasova
10:49.0,,,75-78,2,J. Calderon makes 2-pt shot from 17 ft
10:26.0,P. Tucker misses 2-pt shot from 18 ft,,75-78,,
10:25.0,,,75-78,,Defensive rebound by J. Calderon
10:05.0,,,75-78,,Turnover by J. Calderon (bad pass; steal by N. Powell)
9:59.0,N. Powell misses 2-pt shot at rim,,75-78,,
9:58.0,Offensive rebound by D. Carroll,,75-78,,
9:58.0,D. Carroll makes 2-pt shot from 1 ft,2,77-78,,
9:41.0,,,77-81,3,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Calderon)
9:23.0,N. Powell makes 2-pt shot from 23 ft (assist by J. Valanciunas),2,79-81,,
9:06.0,,,79-81,,Shooting foul by J. Valanciunas (drawn by D. Howard)
9:06.0,,,79-82,1,D. Howard makes free throw 1 of 2
9:06.0,,,79-82,,D. Howard misses free throw 2 of 2
9:06.0,C. Joseph enters the game for D. Wright,,79-82,,
9:05.0,Defensive rebound by J. Valanciunas,,79-82,,
8:52.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by C. Joseph),2,81-82,,
8:39.0,,,81-82,,Turnover by T. Waller-Prince (bad pass; steal by N. Powell)
8:34.0,N. Powell misses 2-pt shot from 1 ft,,81-82,,
8:34.0,Offensive rebound by N. Powell,,81-82,,
8:34.0,N. Powell makes 2-pt shot from 1 ft,2,83-82,,
8:34.0,,,83-82,,Atlanta full timeout
8:34.0,,,83-82,,K. Bazemore enters the game for J. Calderon
8:34.0,,,83-82,,D. Schroder enters the game for T. Waller-Prince
8:34.0,S. Ibaka enters the game for P. Tucker,,83-82,,
8:24.0,Personal foul by N. Powell (drawn by T. Hardaway),,83-82,,
8:17.0,,,83-82,,Turnover by D. Howard (offensive goaltending)
7:55.0,N. Powell misses 2-pt shot from 2 ft,,83-82,,
7:52.0,,,83-82,,Defensive rebound by E. Ilyasova
7:40.0,,,83-85,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. Hardaway)
7:22.0,C. Joseph misses 2-pt shot from 9 ft,,83-85,,
7:19.0,,,83-85,,Defensive rebound by K. Bazemore
7:15.0,,,83-85,,Turnover by D. Schroder (bad pass; steal by D. Carroll)
7:15.0,,,83-85,,Personal foul by K. Bazemore (drawn by C. Joseph)
7:15.0,D. DeRozan enters the game for D. Carroll,,83-85,,
7:15.0,,,83-85,,T. Sefolosha enters the game for T. Hardaway
7:08.0,C. Joseph misses 2-pt shot from 12 ft,,83-85,,
7:05.0,Offensive rebound by C. Joseph,,83-85,,
6:59.0,D. DeRozan misses 2-pt shot from 17 ft,,83-85,,
6:55.0,,,83-85,,Defensive rebound by E. Ilyasova
6:35.0,,,83-85,,D. Schroder misses 2-pt shot from 19 ft
6:33.0,Defensive rebound by N. Powell,,83-85,,
6:24.0,D. DeRozan misses 2-pt shot from 11 ft,,83-85,,
6:22.0,Offensive rebound by D. DeRozan,,83-85,,
6:16.0,S. Ibaka misses 2-pt shot from 8 ft,,83-85,,
6:15.0,Offensive rebound by J. Valanciunas,,83-85,,
6:15.0,J. Valanciunas misses 2-pt shot from 1 ft,,83-85,,
6:15.0,,,83-85,,Defensive rebound by Team
5:58.0,,,83-85,,Shooting foul by D. DeRozan (drawn by D. Howard)
5:58.0,Official timeout,,83-85,,
5:58.0,,,83-85,,D. Howard misses free throw 1 of 2
5:58.0,,,83-85,,Offensive rebound by Team
5:58.0,,,83-86,1,D. Howard makes free throw 2 of 2
5:58.0,,,83-85,,P. Millsap enters the game for E. Ilyasova
5:44.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. DeRozan),3,86-86,,
5:28.0,,,86-88,2,D. Schroder makes 2-pt shot from 22 ft
5:15.0,D. DeRozan misses 2-pt shot from 17 ft,,86-88,,
5:12.0,,,86-88,,Defensive rebound by K. Bazemore
5:00.0,,,86-90,2,D. Schroder makes 2-pt shot from 1 ft
4:51.0,D. DeRozan misses 2-pt shot from 3 ft (block by P. Millsap),,86-90,,
4:51.0,,,86-90,,Defensive rebound by Team
4:39.0,,,86-90,,Offensive foul by D. Howard
4:39.0,,,86-90,,Turnover by D. Howard (offensive foul)
