time,Dallas,pts.away,score,pts.home,LA Lakers
6:03.0,,,14-18,1,J. Randle makes free throw 1 of 2
6:03.0,,,14-19,1,J. Randle makes free throw 2 of 2
6:03.0,D. Powell enters the game for A. Bogut,,14-18,,
6:03.0,S. Curry enters the game for J. Barea,,14-18,,
5:41.0,W. Matthews misses 2-pt shot from 11 ft,,14-19,,
5:39.0,,,14-19,,Defensive rebound by N. Young
5:34.0,Personal foul by D. Finney-Smith (drawn by L. Deng),,14-19,,
5:34.0,,,14-19,,LA Lakers full timeout
5:34.0,J. Anderson enters the game for D. Finney-Smith,,14-19,,
5:34.0,,,14-19,,B. Ingram enters the game for T. Mozgov
5:21.0,,,14-19,,Turnover by J. Randle (lost ball; steal by D. Powell)
5:12.0,,,14-19,,Personal foul by N. Young (drawn by J. Anderson)
5:06.0,S. Curry misses 2-pt shot from 19 ft,,14-19,,
5:05.0,,,14-19,,Defensive rebound by L. Deng
4:57.0,,,14-19,,N. Young misses 3-pt shot from 25 ft
4:56.0,,,14-19,,Offensive rebound by J. Randle
4:54.0,,,14-21,2,J. Randle makes 2-pt shot at rim
4:31.0,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry),2,16-21,,
4:06.0,,,16-23,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
3:42.0,H. Barnes misses 2-pt shot from 14 ft,,16-23,,
3:41.0,,,16-23,,Defensive rebound by B. Ingram
3:27.0,,,16-23,,Turnover by J. Randle (lost ball; steal by D. Powell)
3:20.0,J. Anderson makes 2-pt shot from 2 ft (assist by S. Curry),2,18-23,,
3:17.0,,,18-23,,LA Lakers full timeout
3:17.0,,,18-23,,L. Williams enters the game for J. Randle
3:17.0,,,18-23,,T. Black enters the game for N. Young
3:17.0,,,18-23,,J. Clarkson enters the game for D. Russell
3:17.0,J. Barea enters the game for H. Barnes,,18-23,,
3:17.0,A. Bogut enters the game for W. Matthews,,18-23,,
3:03.0,,,18-23,,J. Clarkson misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by J. Anderson,,18-23,,
2:51.0,S. Curry makes 3-pt shot from 26 ft (assist by J. Barea),3,21-23,,
2:37.0,,,21-25,2,B. Ingram makes 2-pt shot from 1 ft
2:11.0,D. Powell makes 2-pt shot from 8 ft,2,23-25,,
1:52.0,,,23-25,,L. Williams misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by J. Anderson,,23-25,,
1:37.0,J. Anderson misses 2-pt shot at rim,,23-25,,
1:35.0,,,23-25,,Defensive rebound by T. Black
1:27.0,,,23-27,2,J. Clarkson makes 2-pt shot from 7 ft (assist by T. Black)
1:10.0,S. Curry makes 2-pt shot from 7 ft (assist by J. Barea),2,25-27,,
0:55.0,,,25-27,,L. Williams misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by J. Barea,,25-27,,
0:35.0,J. Barea misses 3-pt shot from 25 ft,,25-27,,
0:34.0,,,25-27,,Defensive rebound by B. Ingram
0:23.0,,,25-27,,B. Ingram misses 2-pt shot from 4 ft
0:19.0,Defensive rebound by A. Bogut,,25-27,,
0:08.0,,,25-27,,Personal foul by L. Williams
0:08.0,Dallas full timeout,,25-27,,
0:00.0,J. Anderson misses 2-pt shot from 5 ft (block by B. Ingram),,25-27,,
0:00.0,Offensive rebound by Team,,25-27,,
0:00.0,,,25-27,,T. Mozgov enters the game for T. Black
0:00.0,A. Bogut misses 3-pt shot from 25 ft,,25-27,,
0:00.0,Offensive rebound by Team,,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Bogut misses 2-pt shot at rim,,25-27,,
11:43.0,,,25-27,,Defensive rebound by L. Williams
11:37.0,,,25-27,,Turnover by J. Calderon (bad pass; steal by S. Curry)
11:32.0,J. Anderson makes 2-pt shot at rim (assist by S. Curry),2,27-27,,
11:13.0,,,27-27,,B. Ingram misses 2-pt shot from 9 ft
11:11.0,Defensive rebound by A. Bogut,,27-27,,
11:09.0,Turnover by A. Bogut (bad pass; steal by J. Clarkson),,27-27,,
11:05.0,,,27-27,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Powell)
11:03.0,Defensive rebound by D. Powell,,27-27,,
10:58.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,29-27,,
10:58.0,,,29-27,,LA Lakers full timeout
10:58.0,,,29-27,,T. Robinson enters the game for B. Ingram
10:40.0,,,29-29,2,L. Williams makes 2-pt shot from 6 ft
10:27.0,Shooting foul by T. Robinson (drawn by J. Anderson),,29-29,,
10:27.0,J. Anderson makes free throw 1 of 2,1,30-29,,
10:27.0,J. Anderson makes free throw 2 of 2,1,31-29,,
10:27.0,W. Matthews enters the game for J. Barea,,30-29,,
10:27.0,H. Barnes enters the game for A. Bogut,,30-29,,
10:16.0,,,31-31,2,T. Black makes 2-pt shot from 1 ft (assist by L. Williams)
9:55.0,J. Anderson makes 2-pt shot at rim,2,33-31,,
9:44.0,,,33-33,2,J. Clarkson makes 2-pt shot from 18 ft
9:23.0,H. Barnes misses 2-pt shot from 10 ft,,33-33,,
9:20.0,,,33-33,,Defensive rebound by T. Black
9:16.0,,,33-33,,L. Williams misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by J. Anderson,,33-33,,
8:55.0,S. Curry makes 2-pt shot from 9 ft,2,35-33,,
8:36.0,,,35-33,,Shooting foul by J. Anderson (drawn by J. Clarkson)
8:36.0,,,35-34,1,J. Clarkson makes free throw 1 of 2
8:36.0,,,35-35,1,J. Clarkson makes free throw 2 of 2
8:36.0,D. Finney-Smith enters the game for J. Anderson,,35-34,,
8:36.0,,,35-34,,B. Ingram enters the game for T. Robinson
8:22.0,S. Curry misses 3-pt shot from 26 ft,,35-35,,
8:21.0,,,35-35,,Defensive rebound by B. Ingram
8:14.0,,,35-37,2,L. Williams makes 2-pt shot at rim
8:14.0,Dallas full timeout,,35-37,,
7:59.0,D. Finney-Smith makes 2-pt shot from 17 ft (assist by W. Matthews),2,37-37,,
7:44.0,,,37-39,2,J. Clarkson makes 2-pt shot from 5 ft
7:25.0,H. Barnes misses 2-pt shot from 9 ft,,37-39,,
7:23.0,,,37-39,,Defensive rebound by T. Black
7:08.0,,,37-41,2,J. Clarkson makes 2-pt shot from 18 ft
6:50.0,H. Barnes misses 2-pt shot from 16 ft,,37-41,,
6:48.0,,,37-41,,Defensive rebound by J. Calderon
6:47.0,,,37-41,,Turnover by J. Calderon (lost ball; steal by D. Powell)
6:47.0,Dallas full timeout,,37-41,,
6:47.0,A. Bogut enters the game for D. Powell,,37-41,,
6:47.0,J. Barea enters the game for S. Curry,,37-41,,
6:31.0,Turnover by A. Bogut (bad pass),,37-41,,
6:21.0,Personal foul by W. Matthews (drawn by T. Black),,37-41,,
6:21.0,,,37-41,,T. Mozgov enters the game for T. Black
6:08.0,,,37-41,,L. Williams misses 2-pt shot from 4 ft (block by A. Bogut)
6:08.0,,,37-41,,Offensive rebound by Team
6:08.0,,,37-41,,N. Young enters the game for J. Calderon
6:05.0,,,37-41,,N. Young misses 2-pt shot from 18 ft
6:04.0,,,37-41,,Offensive rebound by L. Williams
5:59.0,,,37-43,2,L. Williams makes 2-pt shot from 5 ft
5:47.0,J. Barea makes 2-pt shot from 9 ft,2,39-43,,
5:30.0,,,39-46,3,N. Young makes 3-pt shot from 24 ft (assist by L. Williams)
5:17.0,Turnover by J. Barea (bad pass; steal by B. Ingram),,39-46,,
5:11.0,,,39-49,3,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram)
4:51.0,H. Barnes makes 2-pt shot from 2 ft,2,41-49,,
4:51.0,Shooting foul by B. Ingram (drawn by H. Barnes),,41-49,,
4:51.0,,,41-49,,Violation by T. Mozgov (lane)
4:51.0,H. Barnes makes free throw 1 of 1,1,42-49,,
4:51.0,,,41-49,,D. Russell enters the game for L. Williams
4:51.0,,,41-49,,J. Randle enters the game for B. Ingram
4:36.0,,,42-49,,J. Randle misses 2-pt shot from 9 ft
4:35.0,Defensive rebound by J. Barea,,42-49,,
4:17.0,A. Bogut makes 2-pt shot from 7 ft (assist by J. Barea),2,44-49,,
3:59.0,,,44-51,2,J. Clarkson makes 2-pt shot from 14 ft
3:48.0,Turnover by J. Barea (bad pass; steal by J. Clarkson),,44-51,,
3:45.0,,,44-51,,Shooting foul by W. Matthews (drawn by J. Randle)
3:45.0,,,44-52,1,J. Randle makes free throw 1 of 2
3:45.0,,,44-52,,J. Randle misses free throw 2 of 2
3:45.0,,,44-52,,L. Deng enters the game for J. Clarkson
3:45.0,S. Curry enters the game for D. Finney-Smith,,44-52,,
3:43.0,Defensive rebound by A. Bogut,,44-52,,
3:28.0,S. Curry makes 3-pt shot from 25 ft (assist by J. Barea),3,47-52,,
3:16.0,,,47-54,2,N. Young makes 2-pt shot from 12 ft
2:56.0,W. Matthews makes 2-pt shot from 13 ft (assist by A. Bogut),2,49-54,,
2:43.0,,,49-54,,Turnover by D. Russell (offensive foul)
2:43.0,,,49-54,,Offensive foul by D. Russell
2:39.0,,,49-54,,Personal foul by D. Russell
2:29.0,Shooting foul by D. Russell (drawn by H. Barnes),,49-54,,
2:29.0,H. Barnes makes free throw 1 of 2,1,50-54,,
2:29.0,H. Barnes makes free throw 2 of 2,1,51-54,,
2:29.0,,,50-54,,B. Ingram enters the game for D. Russell
2:13.0,,,51-54,,N. Young misses 2-pt shot from 20 ft
2:12.0,Defensive rebound by S. Curry,,51-54,,
2:06.0,J. Barea misses 3-pt shot from 25 ft,,51-54,,
2:04.0,Offensive rebound by W. Matthews,,51-54,,
1:45.0,Shooting foul by N. Young (drawn by H. Barnes),,51-54,,
1:45.0,H. Barnes makes free throw 1 of 2,1,52-54,,
1:45.0,H. Barnes makes free throw 2 of 2,1,53-54,,
1:33.0,,,53-54,,J. Randle misses 2-pt shot from 2 ft (block by A. Bogut)
1:31.0,Defensive rebound by S. Curry,,53-54,,
1:28.0,W. Matthews makes 2-pt shot at rim (assist by J. Barea),2,55-54,,
1:16.0,,,55-54,,Turnover by B. Ingram (bad pass)
1:00.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,58-54,,
0:37.0,,,58-54,,J. Randle misses 2-pt shot from 2 ft
0:35.0,Defensive rebound by J. Barea,,58-54,,
0:30.0,J. Barea misses 2-pt shot from 19 ft,,58-54,,
0:29.0,,,58-54,,Defensive rebound by T. Mozgov
0:06.0,,,58-54,,L. Deng misses 2-pt shot from 21 ft
0:04.0,Defensive rebound by J. Barea,,58-54,,
0:01.0,S. Curry misses 3-pt shot from 26 ft,,58-54,,
0:00.0,Offensive rebound by Team,,58-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Bogut misses 2-pt shot from 5 ft,,58-54,,
11:40.0,,,58-54,,Defensive rebound by D. Russell
11:37.0,,,58-54,,Turnover by D. Russell (bad pass; steal by W. Matthews)
11:26.0,W. Matthews misses 3-pt shot from 26 ft,,58-54,,
11:25.0,,,58-54,,Defensive rebound by L. Deng
11:20.0,,,58-56,2,D. Russell makes 2-pt shot from 1 ft (assist by L. Deng)
11:01.0,H. Barnes makes 2-pt shot from 20 ft,2,60-56,,
10:41.0,,,60-56,,D. Russell misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by A. Bogut,,60-56,,
10:18.0,W. Matthews misses 3-pt shot from 25 ft,,60-56,,
10:17.0,,,60-56,,Defensive rebound by D. Russell
10:04.0,,,60-56,,J. Randle misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by A. Bogut,,60-56,,
9:48.0,H. Barnes makes 2-pt shot from 7 ft,2,62-56,,
9:25.0,,,62-56,,N. Young misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by Team,,62-56,,
9:25.0,,,62-56,,Loose ball foul by L. Deng
9:00.0,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews),3,65-56,,
8:34.0,,,65-56,,T. Mozgov misses 2-pt shot from 2 ft
8:33.0,,,65-56,,Offensive rebound by L. Deng
8:31.0,,,65-58,2,L. Deng makes 2-pt shot from 1 ft
8:05.0,W. Matthews makes 2-pt shot from 13 ft,2,67-58,,
7:50.0,,,67-58,,L. Deng misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by D. Finney-Smith,,67-58,,
7:27.0,J. Barea misses 3-pt shot from 23 ft,,67-58,,
7:25.0,,,67-58,,Defensive rebound by N. Young
7:18.0,,,67-58,,L. Deng misses 2-pt shot from 4 ft
7:16.0,Defensive rebound by J. Barea,,67-58,,
7:14.0,Shooting foul by N. Young (drawn by H. Barnes),,67-58,,
7:14.0,H. Barnes makes free throw 1 of 2,1,68-58,,
7:14.0,H. Barnes makes free throw 2 of 2,1,69-58,,
7:14.0,D. Powell enters the game for A. Bogut,,68-58,,
7:00.0,,,69-58,,T. Mozgov misses 2-pt shot from 6 ft
6:58.0,,,69-58,,Offensive rebound by J. Randle
6:57.0,Jump ball: W. Matthews vs. J. Randle (D. Russell gains possession),,,,Jump ball: W. Matthews vs. J. Randle (D. Russell gains possession)
6:54.0,,,69-60,2,D. Russell makes 2-pt shot from 14 ft
6:54.0,,,69-60,,Shooting foul by H. Barnes (drawn by D. Russell)
6:54.0,,,69-60,,D. Russell misses free throw 1 of 1
6:53.0,Defensive rebound by D. Powell,,69-60,,
6:36.0,D. Powell makes 2-pt shot at rim (assist by W. Matthews),2,71-60,,
6:24.0,,,71-62,2,D. Russell makes 2-pt shot from 20 ft
6:09.0,D. Powell misses 2-pt shot from 19 ft,,71-62,,
6:08.0,,,71-62,,Defensive rebound by D. Russell
6:03.0,,,71-64,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
6:02.0,Dallas full timeout,,71-64,,
5:46.0,D. Powell misses 2-pt shot from 20 ft,,71-64,,
5:45.0,,,71-64,,Defensive rebound by D. Russell
5:34.0,,,71-64,,Turnover by L. Deng (bad pass; steal by D. Powell)
5:15.0,J. Barea makes 2-pt shot from 11 ft,2,73-64,,
4:56.0,,,73-67,3,D. Russell makes 3-pt shot from 24 ft
4:28.0,D. Powell misses 2-pt shot at rim,,73-67,,
4:27.0,,,73-67,,Defensive rebound by L. Deng
4:21.0,,,73-70,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
4:20.0,Dallas full timeout,,73-70,,
4:20.0,,,73-70,,J. Clarkson enters the game for T. Mozgov
4:20.0,,,73-70,,B. Ingram enters the game for N. Young
4:20.0,S. Curry enters the game for D. Finney-Smith,,73-70,,
4:20.0,J. Anderson enters the game for J. Barea,,73-70,,
4:00.0,H. Barnes makes 2-pt shot from 1 ft,2,75-70,,
3:35.0,,,75-70,,J. Randle misses 2-pt shot from 3 ft
3:34.0,,,75-70,,Offensive rebound by J. Randle
3:32.0,,,75-72,2,J. Randle makes 2-pt shot at rim
3:21.0,,,75-72,,Personal foul by D. Russell (drawn by S. Curry)
3:06.0,J. Anderson makes 3-pt shot from 25 ft (assist by H. Barnes),3,78-72,,
2:50.0,,,78-72,,Turnover by D. Russell (bad pass)
2:50.0,,,78-72,,LA Lakers full timeout
2:50.0,,,78-72,,L. Williams enters the game for L. Deng
2:50.0,,,78-72,,M. World Peace enters the game for D. Russell
2:33.0,Turnover by W. Matthews (bad pass; steal by J. Randle),,78-72,,
2:28.0,,,78-72,,Turnover by J. Clarkson (bad pass; steal by S. Curry)
2:28.0,,,78-72,,Loose ball foul by J. Randle (drawn by H. Barnes)
2:13.0,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews),3,81-72,,
1:57.0,,,81-75,3,B. Ingram makes 3-pt shot from 26 ft (assist by J. Clarkson)
1:39.0,S. Curry misses 2-pt shot from 1 ft,,81-75,,
1:38.0,,,81-75,,Defensive rebound by B. Ingram
1:29.0,Personal foul by S. Curry,,81-75,,
1:12.0,,,81-75,,B. Ingram misses 3-pt shot from 25 ft
1:12.0,,,81-75,,Offensive rebound by Team
1:12.0,,,81-75,,Turnover by Team (shot clock)
1:12.0,J. Barea enters the game for W. Matthews,,81-75,,
1:12.0,A. Bogut enters the game for H. Barnes,,81-75,,
1:12.0,,,81-75,,N. Young enters the game for M. World Peace
0:54.0,S. Curry makes 2-pt shot from 2 ft,2,83-75,,
0:44.0,,,83-75,,Turnover by J. Clarkson (bad pass; steal by J. Anderson)
0:38.0,Turnover by J. Barea (bad pass; steal by J. Clarkson),,83-75,,
0:33.0,,,83-77,2,J. Clarkson makes 2-pt shot from 1 ft
0:12.0,J. Barea misses 2-pt shot from 18 ft,,83-77,,
0:11.0,Offensive rebound by J. Anderson,,83-77,,
0:09.0,J. Anderson misses 2-pt shot from 2 ft,,83-77,,
0:08.0,Offensive rebound by A. Bogut,,83-77,,
0:07.0,Turnover by A. Bogut (bad pass),,83-77,,
0:02.0,,,83-77,,L. Williams misses 3-pt shot from 26 ft
0:00.0,,,83-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,83-77,,T. Black misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by A. Bogut,,83-77,,
11:22.0,D. Powell misses 2-pt shot from 3 ft,,83-77,,
11:21.0,Offensive rebound by S. Curry,,83-77,,
11:21.0,Offensive foul by S. Curry,,83-77,,
11:21.0,Turnover by S. Curry (offensive foul),,83-77,,
11:08.0,,,83-80,3,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Deng)
10:44.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Bogut),2,85-80,,
10:22.0,,,85-83,3,J. Clarkson makes 3-pt shot from 27 ft (assist by T. Black)
9:57.0,D. Powell makes 2-pt shot from 20 ft (assist by J. Barea),2,87-83,,
9:50.0,,,87-83,,Shooting foul by J. Anderson
9:50.0,,,87-83,,L. Williams misses free throw 1 of 2
9:50.0,,,87-83,,Offensive rebound by Team
9:50.0,,,87-84,1,L. Williams makes free throw 2 of 2
9:50.0,H. Barnes enters the game for A. Bogut,,87-83,,
9:26.0,J. Barea makes 2-pt shot from 17 ft,2,89-84,,
9:13.0,,,89-84,,L. Williams misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by D. Powell,,89-84,,
8:58.0,J. Barea misses 2-pt shot from 19 ft,,89-84,,
8:56.0,,,89-84,,Defensive rebound by L. Williams
8:45.0,,,89-87,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson)
8:16.0,S. Curry misses 3-pt shot from 25 ft,,89-87,,
8:13.0,Offensive rebound by J. Anderson,,89-87,,
8:11.0,Turnover by J. Barea (bad pass),,89-87,,
8:11.0,Official timeout,,89-87,,
8:11.0,A. Bogut enters the game for J. Barea,,89-87,,
8:11.0,W. Matthews enters the game for D. Powell,,89-87,,
7:56.0,,,89-89,2,J. Clarkson makes 2-pt shot from 5 ft
7:39.0,H. Barnes misses 3-pt shot from 24 ft,,89-89,,
7:37.0,,,89-89,,Defensive rebound by L. Williams
7:31.0,,,89-89,,Shooting foul by A. Bogut
7:31.0,,,89-90,1,L. Williams makes free throw 1 of 2
7:31.0,,,89-91,1,L. Williams makes free throw 2 of 2
7:15.0,,,89-91,,Personal foul by L. Deng (drawn by H. Barnes)
7:04.0,H. Barnes makes 2-pt shot from 11 ft,2,91-91,,
6:52.0,,,91-91,,L. Williams misses 2-pt shot from 14 ft
6:50.0,Defensive rebound by H. Barnes,,91-91,,
6:38.0,H. Barnes makes 2-pt shot from 18 ft (assist by S. Curry),2,93-91,,
6:38.0,,,93-91,,LA Lakers full timeout
6:38.0,,,93-91,,M. World Peace enters the game for L. Deng
6:24.0,,,93-91,,M. World Peace misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by W. Matthews,,93-91,,
6:01.0,H. Barnes makes 2-pt shot from 3 ft,2,95-91,,
5:42.0,,,95-91,,L. Williams misses 3-pt shot from 25 ft
5:41.0,,,95-91,,Offensive rebound by M. World Peace
5:39.0,,,95-91,,M. World Peace misses 2-pt shot at rim (block by J. Anderson)
5:39.0,Defensive rebound by Team,,95-91,,
5:39.0,,,95-91,,Loose ball foul by T. Black (drawn by W. Matthews)
5:30.0,Shooting foul by M. World Peace (drawn by H. Barnes),,95-91,,
5:30.0,H. Barnes makes free throw 1 of 2,1,96-91,,
5:30.0,H. Barnes misses free throw 2 of 2,,96-91,,
5:30.0,,,96-91,,J. Randle enters the game for M. World Peace
5:30.0,,,96-91,,N. Young enters the game for L. Williams
5:30.0,,,96-91,,D. Russell enters the game for T. Black
5:29.0,,,96-91,,Defensive rebound by J. Randle
5:15.0,,,96-91,,J. Clarkson misses 2-pt shot from 20 ft
5:14.0,,,96-91,,Offensive rebound by J. Randle
5:12.0,,,96-91,,Turnover by J. Randle (lost ball; steal by S. Curry)
4:53.0,J. Anderson misses 2-pt shot from 5 ft,,96-91,,
4:50.0,,,96-91,,Defensive rebound by J. Randle
4:46.0,,,96-91,,Offensive foul by J. Randle
4:46.0,,,96-91,,Turnover by J. Randle (offensive foul)
4:46.0,J. Barea enters the game for J. Anderson,,96-91,,
4:31.0,W. Matthews misses 2-pt shot from 20 ft,,96-91,,
4:29.0,Offensive rebound by W. Matthews,,96-91,,
4:27.0,W. Matthews makes 3-pt shot from 26 ft,3,99-91,,
4:27.0,,,99-91,,LA Lakers full timeout
4:27.0,D. Powell enters the game for A. Bogut,,99-91,,
4:16.0,,,99-91,,D. Russell misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by H. Barnes,,99-91,,
4:02.0,S. Curry makes 2-pt shot from 4 ft,2,101-91,,
3:32.0,,,101-93,2,J. Randle makes 2-pt shot from 4 ft
3:08.0,J. Barea misses 2-pt shot from 7 ft,,101-93,,
3:06.0,,,101-93,,Defensive rebound by J. Randle
2:59.0,,,101-93,,Turnover by J. Clarkson (lost ball)
2:59.0,Dallas full timeout,,101-93,,
2:59.0,,,101-93,,L. Williams enters the game for B. Ingram
2:44.0,Offensive charge foul by H. Barnes,,101-93,,
2:44.0,Turnover by H. Barnes (offensive foul),,101-93,,
2:35.0,,,101-93,,L. Williams misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by W. Matthews,,101-93,,
2:17.0,H. Barnes misses 2-pt shot from 15 ft,,101-93,,
2:16.0,Offensive rebound by D. Powell,,101-93,,
2:13.0,S. Curry misses 2-pt shot at rim,,101-93,,
2:12.0,,,101-93,,Defensive rebound by D. Russell
2:08.0,,,101-93,,N. Young misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by S. Curry,,101-93,,
1:50.0,J. Barea makes 3-pt shot from 26 ft,3,104-93,,
1:41.0,,,104-95,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
1:38.0,,,104-95,,Personal foul by J. Randle (drawn by W. Matthews)
1:25.0,,,104-95,,Personal foul by J. Randle
1:25.0,J. Barea makes free throw 1 of 2,1,105-95,,
1:25.0,J. Barea makes free throw 2 of 2,1,106-95,,
1:13.0,,,106-95,,L. Williams misses 3-pt shot from 25 ft
1:12.0,,,106-95,,Offensive rebound by J. Randle
1:08.0,,,106-95,,Turnover by J. Randle (lost ball; steal by D. Powell)
1:05.0,Turnover by D. Powell (bad pass; steal by L. Williams),,106-95,,
1:04.0,,,106-97,2,N. Young makes 2-pt shot from 2 ft (assist by L. Williams)
0:43.0,D. Powell makes 2-pt shot from 17 ft (assist by J. Barea),2,108-97,,
0:43.0,,,108-97,,LA Lakers full timeout
0:43.0,D. Finney-Smith enters the game for J. Barea,,108-97,,
0:38.0,,,108-97,,Turnover by J. Randle (bad pass; steal by W. Matthews)
0:18.0,,,108-97,,Personal foul by L. Williams
0:18.0,S. Curry misses free throw 1 of 2,,108-97,,
0:18.0,Offensive rebound by Team,,108-97,,
0:18.0,S. Curry makes free throw 2 of 2,1,109-97,,
0:18.0,J. Anderson enters the game for H. Barnes,,108-97,,
0:07.0,,,109-97,,D. Russell misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by D. Finney-Smith,,109-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
