time,Brooklyn,pts.away,score,pts.home,Cleveland
9:42.0,,,25-33,,C. Frye misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by B. Bogdanovic,,25-33,,
9:26.0,L. Scola misses 3-pt shot from 24 ft,,25-33,,
9:25.0,,,25-33,,Defensive rebound by L. James
9:19.0,,,25-36,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
8:57.0,Shooting foul by K. Felder (drawn by I. Whitehead),,25-36,,
8:57.0,I. Whitehead makes free throw 1 of 2,1,26-36,,
8:57.0,I. Whitehead makes free throw 2 of 2,1,27-36,,
8:44.0,,,27-36,,K. Korver misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by Q. Acy,,27-36,,
8:24.0,I. Whitehead misses 2-pt shot from 17 ft (block by K. Felder),,27-36,,
8:22.0,,,27-36,,Defensive rebound by C. Frye
8:17.0,,,27-36,,K. Felder misses 2-pt shot at rim
8:15.0,Defensive rebound by L. Scola,,27-36,,
8:09.0,Q. Acy makes 2-pt shot from 4 ft (assist by I. Whitehead),2,29-36,,
7:49.0,,,29-38,2,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James)
7:36.0,B. Bogdanovic misses 3-pt shot from 28 ft,,29-38,,
7:35.0,,,29-38,,Defensive rebound by C. Frye
7:20.0,,,29-38,,C. Frye misses 2-pt shot from 5 ft
7:18.0,Defensive rebound by I. Whitehead,,29-38,,
7:13.0,I. Whitehead makes 2-pt shot from 18 ft,2,31-38,,
7:04.0,,,31-38,,Cleveland full timeout
7:04.0,S. Dinwiddie enters the game for S. Kilpatrick,,31-38,,
7:04.0,R. Hollis-Jefferson enters the game for Q. Acy,,31-38,,
7:04.0,,,31-38,,K. Irving enters the game for K. Felder
6:48.0,,,31-40,2,K. Irving makes 2-pt shot from 16 ft
6:37.0,L. Scola makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,34-40,,
6:19.0,,,34-40,,K. Irving misses 2-pt shot from 13 ft
6:17.0,Defensive rebound by L. Scola,,34-40,,
6:03.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,36-40,,
5:43.0,,,36-40,,K. Korver misses 2-pt shot from 1 ft
5:40.0,,,36-40,,Offensive rebound by K. Korver
5:34.0,,,36-40,,Shooting foul by L. Scola (drawn by L. James)
5:34.0,,,36-41,1,L. James makes free throw 1 of 2
5:34.0,,,36-41,,L. James misses free throw 2 of 2
5:34.0,J. Hamilton enters the game for B. Bogdanovic,,36-41,,
5:34.0,R. Foye enters the game for L. Scola,,36-41,,
5:34.0,,,36-41,,I. Shumpert enters the game for R. Jefferson
5:34.0,,,36-41,,T. Thompson enters the game for C. Frye
5:32.0,Defensive rebound by J. Hamilton,,36-41,,
5:24.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,38-41,,
5:00.0,,,38-43,2,I. Shumpert makes 2-pt shot at rim
4:41.0,,,38-43,,K. Love enters the game for L. James
4:41.0,,,38-43,,J. McRae enters the game for K. Korver
4:41.0,S. Kilpatrick enters the game for I. Whitehead,,38-43,,
4:36.0,,,38-43,,Shooting block foul by T. Thompson (drawn by R. Hollis-Jefferson)
4:36.0,R. Hollis-Jefferson makes free throw 1 of 2,1,39-43,,
4:36.0,R. Hollis-Jefferson misses free throw 2 of 2,,39-43,,
4:34.0,,,39-43,,Defensive rebound by T. Thompson
4:19.0,,,39-46,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
4:05.0,R. Foye makes 3-pt shot from 25 ft,3,42-46,,
3:53.0,,,42-48,2,K. Irving makes 2-pt shot from 19 ft
3:37.0,J. Hamilton misses 2-pt shot from 12 ft,,42-48,,
3:37.0,,,42-48,,Defensive rebound by K. Irving
3:29.0,,,42-48,,K. Love misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by R. Hollis-Jefferson,,42-48,,
3:26.0,J. Hamilton makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,44-48,,
3:26.0,,,44-48,,Cleveland full timeout
3:09.0,,,44-48,,Shooting foul by J. Hamilton (drawn by T. Thompson)
3:09.0,,,44-48,,T. Thompson misses free throw 1 of 2
3:09.0,,,44-48,,Offensive rebound by Team
3:09.0,,,44-48,,T. Thompson misses free throw 2 of 2
3:08.0,Defensive rebound by J. Hamilton,,44-48,,
2:54.0,J. Hamilton misses 3-pt shot from 24 ft,,44-48,,
2:54.0,,,44-48,,Defensive rebound by K. Irving
2:43.0,,,44-48,,I. Shumpert misses 3-pt shot from 26 ft
2:42.0,,,44-48,,Offensive rebound by K. Love
2:42.0,,,44-48,,K. Love misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by J. Hamilton,,44-48,,
2:32.0,Turnover by S. Kilpatrick (palming),,44-48,,
2:32.0,Official timeout,,44-48,,
2:12.0,,,44-48,,K. Love misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by R. Foye,,44-48,,
2:03.0,J. Hamilton misses 2-pt shot from 6 ft,,44-48,,
2:02.0,Offensive rebound by J. Hamilton,,44-48,,
2:02.0,J. Hamilton makes 2-pt shot from 4 ft,2,46-48,,
1:36.0,,,46-48,,I. Shumpert misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by R. Foye,,46-48,,
1:32.0,Turnover by R. Foye (bad pass),,46-48,,
1:32.0,,,46-48,,L. James enters the game for T. Thompson
1:06.0,,,46-48,,I. Shumpert misses 3-pt shot from 25 ft
1:06.0,,,46-48,,Offensive rebound by Team
1:02.0,,,46-50,2,L. James makes 2-pt shot from 1 ft (assist by I. Shumpert)
0:49.0,,,46-50,,Shooting block foul by K. Love (drawn by S. Kilpatrick)
0:49.0,S. Kilpatrick misses free throw 1 of 2,,46-50,,
0:49.0,Offensive rebound by Team,,46-50,,
0:49.0,S. Kilpatrick makes free throw 2 of 2,1,47-50,,
0:49.0,,,46-50,,R. Jefferson enters the game for K. Love
0:37.0,,,47-52,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
0:24.0,R. Foye misses 3-pt shot from 26 ft,,47-52,,
0:23.0,,,47-52,,Defensive rebound by Team
0:00.0,,,47-55,3,R. Jefferson makes 3-pt shot from 23 ft (assist by L. James)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,R. Foye misses 3-pt shot from 23 ft,,47-55,,
11:46.0,,,47-55,,Defensive rebound by T. Thompson
11:35.0,,,47-55,,K. Irving misses 2-pt shot from 15 ft
11:35.0,,,47-55,,Offensive rebound by Team
11:22.0,,,47-55,,I. Shumpert misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by R. Foye,,47-55,,
11:04.0,J. Hamilton makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson),2,49-55,,
10:48.0,,,49-58,3,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson)
10:22.0,J. Hamilton makes 2-pt shot from 13 ft (assist by R. Foye),2,51-58,,
10:12.0,,,51-60,2,K. Irving makes 2-pt shot from 15 ft
10:07.0,J. Hamilton makes 2-pt shot at rim (assist by S. Dinwiddie),2,53-60,,
9:55.0,,,53-62,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
9:34.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,53-62,,
9:33.0,,,53-62,,Defensive rebound by T. Thompson
9:27.0,,,53-65,3,K. Love makes 3-pt shot from 27 ft (assist by L. James)
9:06.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,55-65,,
8:58.0,,,55-65,,K. Irving misses 2-pt shot from 10 ft
8:58.0,Defensive rebound by R. Hollis-Jefferson,,55-65,,
8:49.0,J. Hamilton misses 2-pt shot at rim,,55-65,,
8:48.0,,,55-65,,Defensive rebound by T. Thompson
8:30.0,,,55-67,2,I. Shumpert makes 2-pt shot from 19 ft (assist by K. Love)
8:27.0,Technical foul by R. Foye,,55-67,,
8:27.0,,,55-68,1,K. Irving makes technical free throw
8:17.0,Shooting foul by K. Irving (drawn by S. Dinwiddie),,55-68,,
8:17.0,S. Dinwiddie makes free throw 1 of 2,1,56-68,,
8:17.0,S. Dinwiddie makes free throw 2 of 2,1,57-68,,
8:01.0,,,57-68,,Shooting foul by B. Bogdanovic (drawn by L. James)
8:01.0,,,57-69,1,L. James makes free throw 1 of 2
8:01.0,,,57-70,1,L. James makes free throw 2 of 2
7:45.0,Turnover by B. Bogdanovic (lost ball; steal by I. Shumpert),,57-70,,
7:42.0,Personal foul by R. Hollis-Jefferson (drawn by L. James),,57-70,,
7:39.0,,,57-70,,Shooting foul by S. Dinwiddie (drawn by K. Irving)
7:39.0,,,57-71,1,K. Irving makes free throw 1 of 3
7:39.0,,,57-72,1,K. Irving makes free throw 2 of 3
7:39.0,,,57-73,1,K. Irving makes free throw 3 of 3
7:28.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,57-73,,
7:28.0,,,57-73,,Defensive rebound by K. Love
7:16.0,,,57-73,,K. Love misses 3-pt shot from 23 ft
7:15.0,,,57-73,,Offensive rebound by T. Thompson
7:03.0,,,57-75,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
6:53.0,,,57-75,,Personal foul by K. Irving (drawn by R. Hollis-Jefferson)
6:53.0,S. Kilpatrick enters the game for B. Bogdanovic,,57-75,,
6:42.0,S. Dinwiddie makes 3-pt shot from 29 ft,3,60-75,,
6:25.0,,,60-77,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
6:12.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,60-77,,
6:11.0,,,60-77,,Defensive rebound by K. Love
6:07.0,,,60-77,,Shooting foul by S. Kilpatrick (drawn by K. Irving)
6:07.0,Brooklyn full timeout,,60-77,,
6:07.0,,,60-79,2,K. Irving makes 2-pt shot from 5 ft
6:07.0,,,60-80,1,K. Irving makes free throw 1 of 1
5:54.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,63-80,,
5:37.0,,,63-82,2,L. James makes 2-pt shot at rim (assist by K. Irving)
5:25.0,R. Foye misses 2-pt shot from 1 ft,,63-82,,
5:23.0,,,63-82,,Defensive rebound by K. Love
5:17.0,,,63-84,2,L. James makes 2-pt shot from 13 ft
4:56.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,63-84,,
4:54.0,,,63-84,,Defensive rebound by K. Love
4:45.0,,,63-86,2,L. James makes 2-pt shot from 16 ft
4:28.0,S. Kilpatrick misses 3-pt shot from 26 ft,,63-86,,
4:28.0,,,63-86,,Defensive rebound by K. Irving
4:23.0,L. Scola enters the game for J. Hamilton,,63-86,,
4:23.0,I. Whitehead enters the game for S. Dinwiddie,,63-86,,
4:23.0,Jump ball: R. Hollis-Jefferson vs. K. Irving (I. Whitehead gains possession),,,,Jump ball: R. Hollis-Jefferson vs. K. Irving (I. Whitehead gains possession)
4:23.0,,,63-86,,Turnover by K. Irving (lost ball; steal by R. Hollis-Jefferson)
4:06.0,I. Whitehead makes 2-pt shot from 1 ft,2,65-86,,
3:47.0,,,65-86,,I. Shumpert misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by L. Scola,,65-86,,
3:32.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by R. Foye),3,68-86,,
3:13.0,,,68-86,,Turnover by L. James (bad pass; steal by L. Scola)
3:09.0,,,68-86,,Personal foul by I. Shumpert (drawn by I. Whitehead)
3:09.0,Q. Acy enters the game for R. Foye,,68-86,,
3:09.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,68-86,,
3:09.0,,,68-86,,R. Jefferson enters the game for L. James
3:09.0,,,68-86,,K. Korver enters the game for I. Shumpert
2:48.0,L. Scola makes 3-pt shot from 25 ft (assist by I. Whitehead),3,71-86,,
2:22.0,,,71-86,,Turnover by K. Korver (bad pass; steal by B. Bogdanovic)
2:15.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,73-86,,
2:15.0,,,73-86,,Cleveland full timeout
1:56.0,,,73-86,,K. Irving misses 2-pt shot from 22 ft
1:55.0,Defensive rebound by S. Kilpatrick,,73-86,,
1:51.0,Turnover by S. Kilpatrick (bad pass; steal by K. Love),,73-86,,
1:38.0,,,73-86,,Turnover by K. Irving (bad pass)
1:25.0,I. Whitehead misses 2-pt shot from 7 ft,,73-86,,
1:23.0,,,73-86,,Defensive rebound by T. Thompson
1:15.0,,,73-89,3,K. Irving makes 3-pt shot from 26 ft (assist by R. Jefferson)
0:56.0,S. Kilpatrick misses 2-pt shot from 3 ft (block by K. Love),,73-89,,
0:54.0,,,73-89,,Defensive rebound by K. Love
0:48.0,,,73-92,3,K. Irving makes 3-pt shot from 29 ft
0:32.0,B. Bogdanovic misses 2-pt shot from 19 ft,,73-92,,
0:32.0,,,73-92,,Defensive rebound by T. Thompson
0:14.0,,,73-94,2,K. Irving makes 2-pt shot from 1 ft
0:03.0,L. Scola misses 3-pt shot from 26 ft,,73-94,,
0:03.0,,,73-94,,Defensive rebound by K. Korver
0:01.0,,,73-94,,Turnover by K. Irving (traveling)
0:00.0,I. Whitehead misses 2-pt shot from 20 ft,,73-94,,
0:00.0,Offensive rebound by Team,,73-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,,,73-96,2,L. James makes 2-pt shot from 2 ft
11:55.0,,,73-96,,Shooting foul by B. Bogdanovic (drawn by L. James)
11:55.0,,,73-96,,L. James misses free throw 1 of 1
11:54.0,Defensive rebound by Q. Acy,,73-96,,
11:42.0,I. Whitehead makes 3-pt shot from 26 ft (assist by L. Scola),3,76-96,,
11:20.0,,,76-96,,L. James misses 3-pt shot from 28 ft
11:19.0,,,76-96,,Offensive rebound by C. Frye
11:15.0,Inbound foul by S. Kilpatrick,,76-96,,
11:15.0,,,76-97,1,K. Korver makes free throw 1 of 1
11:11.0,,,76-97,,K. Korver misses 2-pt shot from 21 ft
11:10.0,Defensive rebound by I. Whitehead,,76-97,,
10:47.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,79-97,,
10:30.0,,,79-100,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
10:17.0,I. Whitehead makes 3-pt shot from 25 ft,3,82-100,,
10:01.0,,,82-100,,Turnover by R. Jefferson (lost ball)
9:46.0,Q. Acy makes 3-pt shot from 24 ft (assist by L. Scola),3,85-100,,
9:31.0,,,85-102,2,L. James makes 2-pt shot from 1 ft
9:18.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by L. Scola),2,87-102,,
8:56.0,,,87-104,2,L. James makes 2-pt shot from 14 ft
8:38.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,89-104,,
8:22.0,,,89-106,2,L. James makes 2-pt shot from 20 ft
8:22.0,Brooklyn full timeout,,89-106,,
8:22.0,S. Dinwiddie enters the game for I. Whitehead,,89-106,,
8:03.0,S. Kilpatrick makes 2-pt shot from 15 ft,2,91-106,,
7:48.0,,,91-109,3,K. Korver makes 3-pt shot from 23 ft (assist by L. James)
7:36.0,B. Bogdanovic misses 3-pt shot from 27 ft,,91-109,,
7:35.0,,,91-109,,Defensive rebound by L. James
7:20.0,,,91-112,3,K. Felder makes 3-pt shot from 25 ft (assist by L. James)
7:12.0,L. Scola misses 3-pt shot from 25 ft,,91-112,,
7:11.0,,,91-112,,Defensive rebound by L. James
7:05.0,,,91-112,,Turnover by L. James (bad pass)
6:42.0,S. Kilpatrick misses 2-pt shot from 2 ft,,91-112,,
6:40.0,,,91-112,,Defensive rebound by C. Frye
6:30.0,,,91-112,,L. James misses 2-pt shot from 10 ft
6:28.0,Defensive rebound by L. Scola,,91-112,,
6:23.0,S. Kilpatrick misses 2-pt shot from 16 ft,,91-112,,
6:21.0,,,91-112,,Defensive rebound by R. Jefferson
6:09.0,,,91-112,,Turnover by L. James (bad pass; steal by S. Kilpatrick)
6:02.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,94-112,,
6:02.0,,,94-112,,Cleveland full timeout
6:02.0,I. Whitehead enters the game for B. Bogdanovic,,94-112,,
6:02.0,R. Foye enters the game for S. Dinwiddie,,94-112,,
5:50.0,,,94-114,2,K. Korver makes 2-pt shot from 21 ft (assist by L. James)
5:38.0,R. Foye misses 3-pt shot from 25 ft,,94-114,,
5:38.0,,,94-114,,Defensive rebound by K. Felder
5:32.0,,,94-114,,C. Frye misses 3-pt shot from 23 ft
5:31.0,,,94-114,,Offensive rebound by C. Frye
5:22.0,,,94-114,,R. Jefferson misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by L. Scola,,94-114,,
5:15.0,Turnover by Q. Acy (offensive foul),,94-114,,
5:15.0,Offensive charge foul by Q. Acy,,94-114,,
4:59.0,,,94-114,,K. Korver misses 2-pt shot from 12 ft
4:58.0,,,94-114,,Offensive rebound by K. Felder
4:58.0,,,94-114,,K. Felder misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by Q. Acy,,94-114,,
4:49.0,,,94-114,,Personal foul by R. Jefferson (drawn by S. Kilpatrick)
4:49.0,C. McCullough enters the game for Q. Acy,,94-114,,
4:49.0,,,94-114,,J. McRae enters the game for L. James
4:41.0,S. Kilpatrick makes 2-pt shot from 8 ft,2,96-114,,
4:26.0,,,96-116,2,K. Korver makes 2-pt shot from 18 ft (assist by K. Felder)
4:13.0,R. Foye makes 2-pt shot at rim,2,98-116,,
3:55.0,,,98-116,,Turnover by J. McRae (bad pass; steal by L. Scola)
3:51.0,Shooting foul by R. Jefferson (drawn by L. Scola),,98-116,,
3:51.0,L. Scola makes free throw 1 of 2,1,99-116,,
3:51.0,L. Scola makes free throw 2 of 2,1,100-116,,
3:37.0,,,100-116,,Turnover by K. Felder (lost ball; steal by C. McCullough)
3:31.0,C. McCullough makes 2-pt shot at rim (assist by I. Whitehead),2,102-116,,
3:19.0,,,102-116,,K. Felder misses 3-pt shot from 25 ft
3:18.0,,,102-116,,Offensive rebound by C. Frye
3:18.0,,,102-118,2,C. Frye makes 2-pt shot from 1 ft
3:06.0,Offensive foul by L. Scola,,102-118,,
3:06.0,Turnover by L. Scola (offensive foul),,102-118,,
3:06.0,,,102-118,,D. Liggins enters the game for K. Korver
2:51.0,,,102-118,,C. Frye misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by R. Foye,,102-118,,
2:46.0,R. Foye makes 3-pt shot from 24 ft,3,105-118,,
2:27.0,,,105-120,2,K. Felder makes 2-pt shot from 1 ft
2:15.0,R. Foye makes 3-pt shot from 23 ft,3,108-120,,
1:51.0,,,108-122,2,K. Felder makes 2-pt shot from 1 ft
1:40.0,R. Foye makes 2-pt shot from 5 ft (assist by L. Scola),2,110-122,,
1:19.0,,,110-122,,C. Frye misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by R. Foye,,110-122,,
1:14.0,S. Kilpatrick misses 2-pt shot from 3 ft (block by C. Frye),,110-122,,
1:12.0,Offensive rebound by L. Scola,,110-122,,
