time,Dallas,pts.away,score,pts.home,Boston
7:42.0,D. Finney-Smith misses 2-pt shot from 2 ft,,5-11,,
7:41.0,,,5-11,,Defensive rebound by M. Smart
7:30.0,,,5-11,,K. Olynyk misses 2-pt shot from 4 ft
7:29.0,Defensive rebound by A. Bogut,,5-11,,
7:10.0,H. Barnes makes 2-pt shot from 8 ft,2,7-11,,
6:58.0,,,7-11,,Shooting foul by D. Williams (drawn by M. Smart)
6:58.0,,,7-11,,M. Smart misses free throw 1 of 2
6:58.0,,,7-11,,Offensive rebound by Team
6:58.0,,,7-12,1,M. Smart makes free throw 2 of 2
6:58.0,J. Barea enters the game for D. Finney-Smith,,7-11,,
6:46.0,W. Matthews misses 3-pt shot from 25 ft,,7-12,,
6:45.0,,,7-12,,Defensive rebound by M. Smart
6:36.0,,,7-12,,I. Thomas misses 2-pt shot from 4 ft
6:35.0,,,7-12,,Offensive rebound by I. Thomas
6:29.0,,,7-12,,A. Bradley misses 2-pt shot from 17 ft
6:28.0,,,7-12,,Offensive rebound by Team
6:28.0,D. Powell enters the game for A. Bogut,,7-12,,
6:28.0,,,7-12,,J. Jerebko enters the game for A. Johnson
6:25.0,,,7-12,,A. Bradley misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by D. Powell,,7-12,,
6:09.0,H. Barnes misses 2-pt shot from 13 ft,,7-12,,
6:08.0,,,7-12,,Defensive rebound by A. Bradley
5:56.0,,,7-15,3,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart)
5:42.0,W. Matthews misses 2-pt shot from 2 ft,,7-15,,
5:41.0,,,7-15,,Defensive rebound by A. Bradley
5:33.0,,,7-15,,I. Thomas misses 2-pt shot from 1 ft
5:32.0,,,7-15,,Offensive rebound by A. Bradley
5:32.0,,,7-17,2,A. Bradley makes 2-pt shot from 1 ft
5:32.0,Dallas full timeout,,7-17,,
5:32.0,S. Curry enters the game for D. Williams,,7-17,,
5:18.0,H. Barnes makes 2-pt shot from 14 ft (assist by J. Barea),2,9-17,,
5:02.0,,,9-19,2,K. Olynyk makes 2-pt shot from 2 ft
4:48.0,J. Barea misses 2-pt shot from 1 ft,,9-19,,
4:47.0,,,9-19,,Defensive rebound by A. Bradley
4:42.0,,,9-19,,A. Bradley misses 2-pt shot from 2 ft (block by D. Powell)
4:41.0,,,9-19,,Offensive rebound by Team
4:41.0,,,9-19,,T. Rozier enters the game for M. Smart
4:41.0,A. Bogut enters the game for H. Barnes,,9-19,,
4:37.0,,,9-19,,I. Thomas misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by D. Powell,,9-19,,
4:22.0,J. Barea makes 3-pt shot from 25 ft (assist by A. Bogut),3,12-19,,
4:10.0,,,12-21,2,J. Jerebko makes 2-pt shot from 18 ft (assist by I. Thomas)
3:51.0,A. Bogut misses 2-pt shot from 5 ft,,12-21,,
3:50.0,,,12-21,,Defensive rebound by J. Jerebko
3:43.0,,,12-21,,Turnover by I. Thomas (bad pass)
3:35.0,J. Barea misses 3-pt shot from 26 ft,,12-21,,
3:34.0,Offensive rebound by D. Powell,,12-21,,
3:27.0,W. Matthews misses 3-pt shot from 25 ft,,12-21,,
3:26.0,,,12-21,,Defensive rebound by K. Olynyk
3:03.0,,,12-24,3,A. Bradley makes 3-pt shot from 23 ft
2:37.0,W. Matthews makes 3-pt shot from 25 ft (assist by A. Bogut),3,15-24,,
2:20.0,,,15-24,,Shooting foul by A. Bogut (drawn by I. Thomas)
2:20.0,,,15-24,,Boston full timeout
2:20.0,,,15-24,,I. Thomas misses free throw 1 of 2
2:20.0,,,15-24,,Offensive rebound by Team
2:20.0,,,15-25,1,I. Thomas makes free throw 2 of 2
2:20.0,,,15-24,,J. Brown enters the game for K. Olynyk
2:20.0,,,15-24,,T. Zeller enters the game for A. Bradley
2:04.0,W. Matthews misses 3-pt shot from 25 ft,,15-25,,
2:03.0,,,15-25,,Defensive rebound by I. Thomas
1:58.0,,,15-27,2,J. Brown makes 2-pt shot at rim (assist by I. Thomas)
1:37.0,J. Barea makes 2-pt shot from 21 ft,2,17-27,,
1:10.0,,,17-29,2,J. Brown makes 2-pt shot from 10 ft
0:53.0,J. Barea misses 2-pt shot from 13 ft,,17-29,,
0:52.0,,,17-29,,Defensive rebound by T. Zeller
0:42.0,,,17-29,,T. Zeller misses 2-pt shot from 19 ft
0:41.0,Defensive rebound by A. Bogut,,17-29,,
0:30.0,J. Barea misses 2-pt shot from 3 ft (block by T. Rozier),,17-29,,
0:29.0,,,17-29,,Defensive rebound by T. Rozier
0:22.0,,,17-29,,Turnover by T. Rozier (bad pass; steal by J. Barea)
0:00.0,Turnover by S. Curry (bad pass),,17-29,,
0:00.0,J. Anderson enters the game for W. Matthews,,17-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,17-29,,T. Rozier misses 2-pt shot from 19 ft
11:42.0,,,17-29,,Offensive rebound by M. Smart
11:37.0,,,17-29,,Turnover by J. Brown (traveling)
11:24.0,,,17-29,,Personal foul by J. Jerebko (drawn by D. Powell)
11:10.0,H. Barnes misses 2-pt shot from 6 ft,,17-29,,
11:09.0,,,17-29,,Defensive rebound by J. Brown
11:04.0,,,17-29,,M. Smart misses 3-pt shot from 26 ft
11:03.0,,,17-29,,Offensive rebound by J. Brown
10:59.0,,,17-29,,M. Smart misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by S. Curry,,17-29,,
10:38.0,D. Powell misses 2-pt shot from 3 ft,,17-29,,
10:37.0,,,17-29,,Defensive rebound by M. Smart
10:22.0,,,17-29,,J. Brown misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by J. Anderson,,17-29,,
10:11.0,S. Curry makes 2-pt shot from 23 ft,2,19-29,,
9:49.0,,,19-29,,Turnover by T. Rozier (bad pass; steal by D. Powell)
9:41.0,D. Powell misses 3-pt shot from 24 ft,,19-29,,
9:41.0,,,19-29,,Defensive rebound by M. Smart
9:30.0,,,19-29,,J. Jerebko misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by J. Barea,,19-29,,
9:17.0,,,19-29,,Personal foul by M. Smart
9:17.0,,,19-29,,J. Young enters the game for J. Jerebko
9:12.0,Offensive foul by D. Powell,,19-29,,
9:12.0,Turnover by D. Powell (offensive foul),,19-29,,
9:02.0,Personal foul by S. Curry (drawn by M. Smart),,19-29,,
9:02.0,D. Williams enters the game for J. Barea,,19-29,,
8:50.0,,,19-29,,M. Smart misses 3-pt shot from 25 ft
8:48.0,,,19-29,,Offensive rebound by T. Zeller
8:48.0,,,19-31,2,T. Zeller makes 2-pt shot from 3 ft
8:30.0,D. Powell misses 2-pt shot from 17 ft,,19-31,,
8:29.0,,,19-31,,Defensive rebound by T. Rozier
8:23.0,,,19-31,,Turnover by T. Rozier (lost ball)
8:23.0,Official timeout,,19-31,,
8:02.0,H. Barnes misses 2-pt shot from 2 ft,,19-31,,
8:02.0,Offensive rebound by Team,,19-31,,
7:58.0,D. Powell misses 2-pt shot from 19 ft (block by M. Smart),,19-31,,
7:58.0,,,19-31,,Defensive rebound by J. Brown
7:44.0,,,19-31,,J. Young misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by D. Powell,,19-31,,
7:30.0,S. Curry makes 2-pt shot from 22 ft,2,21-31,,
7:08.0,,,21-33,2,T. Zeller makes 2-pt shot from 5 ft
6:51.0,D. Williams misses 2-pt shot from 17 ft,,21-33,,
6:51.0,,,21-33,,Defensive rebound by T. Zeller
6:37.0,,,21-33,,T. Zeller misses 2-pt shot from 3 ft
6:36.0,,,21-33,,Offensive rebound by T. Zeller
6:35.0,,,21-33,,T. Zeller misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by S. Curry,,21-33,,
6:25.0,S. Curry misses 2-pt shot from 20 ft,,21-33,,
6:24.0,,,21-33,,Defensive rebound by T. Rozier
6:11.0,,,21-33,,T. Zeller misses 2-pt shot from 2 ft (block by J. Anderson)
6:10.0,Defensive rebound by D. Powell,,21-33,,
6:04.0,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,23-33,,
5:56.0,,,23-33,,Boston full timeout
5:56.0,,,23-33,,A. Bradley enters the game for T. Rozier
5:56.0,,,23-33,,K. Olynyk enters the game for J. Brown
5:56.0,,,23-33,,A. Johnson enters the game for T. Zeller
5:56.0,A. Bogut enters the game for D. Williams,,23-33,,
5:56.0,J. Barea enters the game for D. Powell,,23-33,,
5:56.0,W. Matthews enters the game for S. Curry,,23-33,,
5:42.0,,,23-33,,M. Smart misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by A. Bogut,,23-33,,
5:25.0,H. Barnes misses 2-pt shot from 5 ft,,23-33,,
5:25.0,,,23-33,,Defensive rebound by A. Johnson
5:12.0,,,23-33,,A. Johnson misses 2-pt shot from 4 ft
5:10.0,Defensive rebound by J. Barea,,23-33,,
4:57.0,H. Barnes misses 3-pt shot from 26 ft,,23-33,,
4:57.0,,,23-33,,Defensive rebound by A. Bradley
4:52.0,,,23-35,2,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Bradley)
4:26.0,W. Matthews misses 3-pt shot from 26 ft,,23-35,,
4:26.0,,,23-35,,Defensive rebound by A. Bradley
4:17.0,,,23-35,,A. Bradley misses 2-pt shot from 5 ft
4:16.0,,,23-35,,Offensive rebound by Team
4:16.0,Loose ball foul by H. Barnes (drawn by A. Johnson),,23-35,,
4:02.0,,,23-35,,K. Olynyk misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by H. Barnes,,23-35,,
3:38.0,A. Bogut makes 2-pt shot from 4 ft (assist by J. Barea),2,25-35,,
3:17.0,,,25-37,2,M. Smart makes 2-pt shot from 5 ft
2:55.0,H. Barnes makes 2-pt shot from 20 ft,2,27-37,,
2:38.0,,,27-39,2,A. Johnson makes 2-pt shot from 2 ft (assist by M. Smart)
2:38.0,Dallas full timeout,,27-39,,
2:38.0,,,27-39,,I. Thomas enters the game for J. Young
2:38.0,S. Curry enters the game for J. Anderson,,27-39,,
2:25.0,S. Curry misses 3-pt shot from 26 ft,,27-39,,
2:24.0,,,27-39,,Defensive rebound by K. Olynyk
2:06.0,,,27-39,,Turnover by M. Smart (bad pass)
1:47.0,A. Bogut makes 2-pt shot from 2 ft,2,29-39,,
1:33.0,,,29-39,,Turnover by A. Johnson (bad pass; steal by W. Matthews)
1:27.0,H. Barnes misses 2-pt shot from 15 ft,,29-39,,
1:26.0,,,29-39,,Defensive rebound by A. Bradley
1:10.0,,,29-39,,A. Bradley misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by Team,,29-39,,
1:09.0,,,29-39,,Loose ball foul by A. Johnson (drawn by W. Matthews)
0:57.0,W. Matthews makes 2-pt shot from 10 ft,2,31-39,,
0:46.0,,,31-39,,I. Thomas misses 2-pt shot from 17 ft
0:45.0,Defensive rebound by S. Curry,,31-39,,
0:38.0,Offensive foul by A. Bogut,,31-39,,
0:38.0,Turnover by A. Bogut (offensive foul),,31-39,,
0:23.0,,,31-39,,I. Thomas misses 2-pt shot from 5 ft
0:22.0,Defensive rebound by A. Bogut,,31-39,,
0:01.0,J. Barea misses 2-pt shot from 6 ft,,31-39,,
0:00.0,Offensive rebound by Team,,31-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,31-39,,Turnover by A. Bradley (lost ball; steal by H. Barnes)
11:28.0,H. Barnes misses 2-pt shot from 17 ft,,31-39,,
11:28.0,,,31-39,,Defensive rebound by K. Olynyk
11:14.0,,,31-39,,I. Thomas misses 2-pt shot from 16 ft
11:13.0,,,31-39,,Offensive rebound by I. Thomas
11:04.0,,,31-39,,Turnover by I. Thomas (bad pass)
10:44.0,J. Barea misses 3-pt shot from 25 ft,,31-39,,
10:43.0,,,31-39,,Defensive rebound by A. Bradley
10:31.0,,,31-39,,Offensive foul by K. Olynyk
10:31.0,,,31-39,,Turnover by K. Olynyk (offensive foul)
10:14.0,,,31-39,,Personal foul by K. Olynyk (drawn by H. Barnes)
10:02.0,D. Finney-Smith misses 2-pt shot from 14 ft,,31-39,,
10:01.0,,,31-39,,Defensive rebound by A. Bradley
9:43.0,,,31-39,,K. Olynyk misses 2-pt shot from 5 ft
9:43.0,,,31-39,,Offensive rebound by A. Johnson
9:39.0,,,31-41,2,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Johnson)
9:18.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Barea),3,34-41,,
9:04.0,,,34-41,,A. Bradley misses 2-pt shot from 15 ft
9:03.0,Defensive rebound by W. Matthews,,34-41,,
8:48.0,A. Bogut misses 2-pt shot from 2 ft,,34-41,,
8:48.0,,,34-41,,Defensive rebound by A. Johnson
8:34.0,,,34-41,,I. Thomas misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by D. Finney-Smith,,34-41,,
8:22.0,A. Bogut misses 2-pt shot from 7 ft,,34-41,,
8:21.0,,,34-41,,Defensive rebound by Team
8:21.0,,,34-41,,J. Jerebko enters the game for A. Johnson
8:21.0,Loose ball foul by A. Bogut (drawn by A. Johnson),,34-41,,
8:10.0,,,34-43,2,K. Olynyk makes 2-pt shot from 18 ft (assist by M. Smart)
7:44.0,W. Matthews misses 3-pt shot from 25 ft,,34-43,,
7:43.0,,,34-43,,Defensive rebound by K. Olynyk
7:31.0,,,34-46,3,J. Jerebko makes 3-pt shot from 26 ft (assist by I. Thomas)
7:31.0,Dallas full timeout,,34-46,,
7:31.0,D. Powell enters the game for A. Bogut,,34-46,,
7:18.0,Shooting foul by K. Olynyk (drawn by H. Barnes),,34-46,,
7:18.0,H. Barnes makes free throw 1 of 2,1,35-46,,
7:18.0,H. Barnes makes free throw 2 of 2,1,36-46,,
6:57.0,,,36-46,,Turnover by K. Olynyk (lost ball; steal by W. Matthews)
6:47.0,H. Barnes misses 2-pt shot from 2 ft,,36-46,,
6:46.0,,,36-46,,Defensive rebound by J. Jerebko
6:22.0,,,36-46,,I. Thomas misses 2-pt shot from 19 ft
6:21.0,Defensive rebound by W. Matthews,,36-46,,
6:11.0,D. Powell misses 2-pt shot from 18 ft,,36-46,,
6:10.0,Offensive rebound by D. Finney-Smith,,36-46,,
6:02.0,Shooting foul by I. Thomas (drawn by H. Barnes),,36-46,,
6:02.0,H. Barnes makes free throw 1 of 2,1,37-46,,
6:02.0,H. Barnes makes free throw 2 of 2,1,38-46,,
6:02.0,S. Curry enters the game for J. Barea,,37-46,,
5:49.0,,,38-46,,I. Thomas misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by D. Powell,,38-46,,
5:30.0,H. Barnes makes 2-pt shot from 8 ft,2,40-46,,
5:29.0,,,40-46,,Boston full timeout
5:29.0,,,40-46,,T. Rozier enters the game for K. Olynyk
5:29.0,,,40-46,,A. Johnson enters the game for I. Thomas
5:15.0,,,40-48,2,A. Bradley makes 2-pt shot from 21 ft (assist by A. Johnson)
4:57.0,D. Powell misses 2-pt shot from 3 ft (block by T. Rozier),,40-48,,
4:56.0,Offensive rebound by Team,,40-48,,
4:48.0,H. Barnes makes 2-pt shot from 13 ft,2,42-48,,
4:31.0,,,42-48,,A. Bradley misses 2-pt shot from 14 ft
4:30.0,,,42-48,,Offensive rebound by A. Bradley
4:27.0,,,42-48,,A. Bradley misses 2-pt shot from 3 ft
4:26.0,,,42-48,,Offensive rebound by Team
4:26.0,Loose ball foul by D. Finney-Smith (drawn by A. Johnson),,42-48,,
4:10.0,,,42-48,,Turnover by A. Bradley (lost ball; steal by H. Barnes)
4:01.0,,,42-48,,Def 3 sec tech foul by A. Johnson
4:01.0,W. Matthews makes technical free throw,1,43-48,,
4:01.0,,,43-48,,G. Green enters the game for M. Smart
3:52.0,,,43-48,,Personal foul by A. Bradley (drawn by H. Barnes)
3:44.0,D. Powell makes 2-pt shot from 16 ft (assist by S. Curry),2,45-48,,
3:19.0,,,45-48,,G. Green misses 2-pt shot from 5 ft
3:18.0,,,45-48,,Offensive rebound by G. Green
3:18.0,,,45-50,2,G. Green makes 2-pt shot from 1 ft
2:56.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,48-50,,
2:38.0,,,48-53,3,T. Rozier makes 3-pt shot from 25 ft (assist by G. Green)
2:18.0,Shooting foul by G. Green (drawn by D. Powell),,48-53,,
2:18.0,D. Powell makes free throw 1 of 2,1,49-53,,
2:18.0,D. Powell misses free throw 2 of 2,,49-53,,
2:18.0,,,49-53,,Defensive rebound by J. Jerebko
2:00.0,,,49-53,,Shooting foul by D. Powell (drawn by A. Johnson)
2:00.0,,,49-54,1,A. Johnson makes free throw 1 of 2
2:00.0,,,49-55,1,A. Johnson makes free throw 2 of 2
2:00.0,A. Bogut enters the game for H. Barnes,,49-54,,
2:00.0,J. Barea enters the game for D. Finney-Smith,,49-54,,
1:45.0,Turnover by S. Curry (bad pass; steal by A. Johnson),,49-55,,
1:36.0,,,49-57,2,A. Johnson makes 2-pt shot from 1 ft (assist by G. Green)
1:20.0,J. Barea misses 2-pt shot from 19 ft,,49-57,,
1:19.0,,,49-57,,Defensive rebound by J. Jerebko
1:12.0,,,49-57,,G. Green misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by S. Curry,,49-57,,
0:47.0,W. Matthews makes 3-pt shot from 26 ft (assist by J. Barea),3,52-57,,
0:30.0,,,52-57,,T. Rozier misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by D. Powell,,52-57,,
0:09.0,J. Barea makes 2-pt shot from 2 ft,2,54-57,,
0:02.0,,,54-57,,A. Bradley misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by A. Bogut,,54-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,J. Anderson makes 2-pt shot at rim (assist by J. Barea),2,56-57,,
11:38.0,,,56-57,,Shooting foul by A. Bogut (drawn by I. Thomas)
11:38.0,,,56-58,1,I. Thomas makes free throw 1 of 2
11:38.0,,,56-59,1,I. Thomas makes free throw 2 of 2
11:38.0,,,56-58,,J. Brown enters the game for J. Jerebko
11:26.0,A. Bogut makes 2-pt shot from 2 ft (assist by J. Barea),2,58-59,,
11:14.0,,,58-59,,I. Thomas misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by J. Anderson,,58-59,,
10:53.0,J. Anderson makes 2-pt shot from 1 ft (assist by A. Bogut),2,60-59,,
10:39.0,,,60-61,2,K. Olynyk makes 2-pt shot from 2 ft (assist by G. Green)
10:22.0,Turnover by H. Barnes (lost ball; steal by J. Brown),,60-61,,
10:21.0,Personal foul by A. Bogut (drawn by J. Brown),,60-61,,
10:21.0,D. Powell enters the game for A. Bogut,,60-61,,
10:11.0,,,60-63,2,T. Rozier makes 2-pt shot from 1 ft
9:47.0,,,60-63,,Personal foul by T. Rozier (drawn by D. Powell)
9:40.0,D. Powell misses 2-pt shot from 17 ft,,60-63,,
9:39.0,,,60-63,,Defensive rebound by G. Green
9:29.0,,,60-63,,G. Green misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by D. Powell,,60-63,,
9:13.0,Turnover by J. Anderson (bad pass; steal by G. Green),,60-63,,
9:09.0,,,60-63,,Offensive charge foul by J. Brown
9:09.0,,,60-63,,Turnover by J. Brown (offensive foul)
8:55.0,H. Barnes misses 2-pt shot from 3 ft,,60-63,,
8:53.0,Offensive rebound by J. Anderson,,60-63,,
8:43.0,J. Barea makes 2-pt shot from 18 ft,2,62-63,,
8:32.0,,,62-63,,Offensive foul by J. Brown
8:32.0,,,62-63,,Turnover by J. Brown (offensive foul)
8:32.0,Official timeout,,62-63,,
8:32.0,,,62-63,,M. Smart enters the game for J. Brown
8:32.0,,,62-63,,A. Johnson enters the game for G. Green
8:13.0,H. Barnes makes 2-pt shot from 15 ft,2,64-63,,
7:58.0,,,64-63,,M. Smart misses 2-pt shot from 3 ft
7:57.0,,,64-63,,Offensive rebound by A. Johnson
7:56.0,,,64-65,2,A. Johnson makes 2-pt shot from 2 ft
7:38.0,Turnover by J. Barea (lost ball; steal by M. Smart),,64-65,,
7:37.0,,,64-65,,Shooting foul by H. Barnes (drawn by M. Smart)
7:37.0,Dallas full timeout,,64-65,,
7:37.0,,,64-65,,M. Smart misses free throw 1 of 2
7:37.0,,,64-65,,Offensive rebound by Team
7:37.0,,,64-66,1,M. Smart makes free throw 2 of 2
7:37.0,W. Matthews enters the game for J. Barea,,64-65,,
7:20.0,H. Barnes makes 2-pt shot from 16 ft,2,66-66,,
7:01.0,,,66-66,,Turnover by I. Thomas (bad pass)
6:43.0,Shooting foul by T. Rozier (drawn by W. Matthews),,66-66,,
6:43.0,W. Matthews misses free throw 1 of 2,,66-66,,
6:43.0,Offensive rebound by Team,,66-66,,
6:43.0,W. Matthews makes free throw 2 of 2,1,67-66,,
6:43.0,,,66-66,,A. Bradley enters the game for T. Rozier
6:31.0,,,67-66,,A. Bradley misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by H. Barnes,,67-66,,
6:15.0,W. Matthews makes 3-pt shot from 25 ft,3,70-66,,
5:58.0,,,70-69,3,I. Thomas makes 3-pt shot from 25 ft
5:45.0,,,70-69,,Personal foul by M. Smart (drawn by H. Barnes)
5:45.0,,,70-69,,J. Jerebko enters the game for K. Olynyk
5:45.0,A. Bogut enters the game for D. Powell,,70-69,,
5:36.0,,,70-69,,Personal foul by M. Smart (drawn by H. Barnes)
5:27.0,H. Barnes makes 2-pt shot from 12 ft (assist by S. Curry),2,72-69,,
5:17.0,,,72-69,,Shooting foul by A. Bogut (drawn by I. Thomas)
5:17.0,,,72-70,1,I. Thomas makes free throw 1 of 3
5:17.0,,,72-71,1,I. Thomas makes free throw 2 of 3
5:17.0,,,72-72,1,I. Thomas makes free throw 3 of 3
5:17.0,D. Powell enters the game for A. Bogut,,72-69,,
5:04.0,W. Matthews misses 3-pt shot from 23 ft,,72-72,,
5:03.0,,,72-72,,Defensive rebound by J. Jerebko
4:49.0,,,72-74,2,I. Thomas makes 2-pt shot from 2 ft
4:30.0,H. Barnes makes 2-pt shot from 14 ft,2,74-74,,
4:12.0,,,74-74,,Shooting foul by J. Anderson (drawn by I. Thomas)
4:12.0,,,74-75,1,I. Thomas makes free throw 1 of 2
4:12.0,,,74-76,1,I. Thomas makes free throw 2 of 2
3:53.0,H. Barnes makes 2-pt shot from 18 ft,2,76-76,,
3:42.0,,,76-76,,Turnover by I. Thomas (lost ball; steal by D. Powell)
3:22.0,Turnover by H. Barnes (lost ball; steal by M. Smart),,76-76,,
3:17.0,,,76-78,2,I. Thomas makes 2-pt shot from 1 ft
3:17.0,Dallas full timeout,,76-78,,
3:04.0,H. Barnes misses 2-pt shot from 16 ft,,76-78,,
3:03.0,,,76-78,,Defensive rebound by Team
3:03.0,Personal foul by D. Powell (drawn by I. Thomas),,76-78,,
3:03.0,,,76-78,,I. Thomas misses free throw 1 of 2
3:03.0,,,76-78,,Offensive rebound by Team
3:03.0,,,76-79,1,I. Thomas makes free throw 2 of 2
2:40.0,S. Curry misses 2-pt shot from 3 ft,,76-79,,
2:39.0,,,76-79,,Defensive rebound by J. Jerebko
2:21.0,,,76-79,,A. Bradley misses 3-pt shot from 23 ft
2:18.0,,,76-79,,Offensive rebound by J. Jerebko
2:13.0,,,76-79,,Boston full timeout
2:07.0,,,76-81,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson)
1:52.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Curry),3,79-81,,
1:31.0,,,79-84,3,I. Thomas makes 3-pt shot from 29 ft
1:12.0,W. Matthews misses 3-pt shot from 27 ft,,79-84,,
1:09.0,,,79-84,,Defensive rebound by I. Thomas
1:06.0,,,79-86,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
1:06.0,Dallas full timeout,,79-86,,
0:56.0,S. Curry misses 2-pt shot from 13 ft,,79-86,,
0:55.0,,,79-86,,Defensive rebound by A. Bradley
0:41.0,Personal take foul by H. Barnes (drawn by I. Thomas),,79-86,,
0:41.0,,,79-87,1,I. Thomas makes free throw 1 of 2
0:41.0,,,79-88,1,I. Thomas makes free throw 2 of 2
0:41.0,Dallas full timeout,,79-88,,
0:39.0,H. Barnes makes 2-pt shot at rim (assist by J. Anderson),2,81-88,,
0:31.0,,,81-88,,Boston full timeout
0:31.0,,,81-88,,K. Olynyk enters the game for A. Johnson
0:31.0,D. Finney-Smith enters the game for D. Powell,,81-88,,
0:29.0,,,81-88,,Turnover by M. Smart (bad pass; steal by J. Anderson)
0:25.0,J. Anderson misses 2-pt shot from 1 ft,,81-88,,
0:24.0,,,81-88,,Defensive rebound by M. Smart
0:22.0,Personal take foul by H. Barnes (drawn by I. Thomas),,81-88,,
0:22.0,,,81-89,1,I. Thomas makes free throw 1 of 2
0:22.0,,,81-90,1,I. Thomas makes free throw 2 of 2
0:22.0,,,81-89,,A. Johnson enters the game for K. Olynyk
0:22.0,N. Brussino enters the game for H. Barnes,,81-89,,
