time,Boston,pts.away,score,pts.home,Miami
4:45.0,,,14-13,1,D. Williams makes free throw 2 of 2
4:45.0,K. Olynyk enters the game for A. Johnson,,14-12,,
4:32.0,K. Olynyk makes 2-pt shot from 13 ft (assist by I. Thomas),2,16-13,,
4:32.0,,,16-13,,Miami full timeout
4:18.0,,,16-13,,D. Williams misses 2-pt shot from 5 ft (block by K. Olynyk)
4:17.0,,,16-13,,Offensive rebound by Team
4:14.0,,,16-13,,Offensive charge foul by G. Dragic
4:14.0,,,16-13,,Turnover by G. Dragic (offensive foul)
4:14.0,,,16-13,,R. McGruder enters the game for G. Dragic
4:02.0,K. Olynyk misses 3-pt shot from 25 ft,,16-13,,
4:01.0,,,16-13,,Defensive rebound by J. Richardson
3:53.0,Personal foul by J. Brown (drawn by J. Richardson),,16-13,,
3:39.0,,,16-15,2,R. McGruder makes 2-pt shot from 1 ft (assist by H. Whiteside)
3:15.0,Turnover by M. Smart (bad pass; steal by R. McGruder),,16-15,,
3:09.0,,,16-15,,J. Richardson misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by K. Olynyk,,16-15,,
2:57.0,J. Brown misses 3-pt shot from 24 ft,,16-15,,
2:56.0,Offensive rebound by J. Brown,,16-15,,
2:52.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Brown),3,19-15,,
2:39.0,,,19-15,,J. Johnson enters the game for D. Williams
2:39.0,,,19-15,,W. Ellington enters the game for L. Babbitt
2:39.0,J. Jerebko enters the game for J. Crowder,,19-15,,
2:28.0,,,19-15,,Turnover by J. Johnson (lost ball)
2:12.0,I. Thomas misses 2-pt shot from 2 ft,,19-15,,
2:11.0,,,19-15,,Defensive rebound by R. McGruder
2:07.0,,,19-15,,Turnover by R. McGruder (bad pass)
2:00.0,,,19-15,,Personal block foul by H. Whiteside (drawn by K. Olynyk)
2:00.0,,,19-15,,J. McRoberts enters the game for H. Whiteside
2:00.0,T. Rozier enters the game for I. Thomas,,19-15,,
1:48.0,Turnover by K. Olynyk (bad pass; steal by J. Johnson),,19-15,,
1:36.0,,,19-15,,W. Ellington misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by T. Rozier,,19-15,,
1:17.0,J. Jerebko makes 2-pt shot from 2 ft,2,21-15,,
0:52.0,,,21-17,2,J. Johnson makes 2-pt shot from 9 ft
0:30.0,M. Smart misses 2-pt shot from 5 ft,,21-17,,
0:29.0,,,21-17,,Defensive rebound by J. McRoberts
0:21.0,,,21-19,2,J. Richardson makes 2-pt shot from 22 ft (assist by W. Ellington)
0:01.0,J. Brown misses 2-pt shot from 13 ft,,21-19,,
0:00.0,Offensive rebound by Team,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-19,,W. Ellington misses 3-pt shot from 26 ft
11:44.0,,,21-19,,Offensive rebound by J. McRoberts
11:43.0,,,21-21,2,J. McRoberts makes 2-pt shot from 1 ft
11:23.0,T. Rozier makes 2-pt shot from 15 ft,2,23-21,,
11:06.0,,,23-21,,W. Ellington misses 3-pt shot from 26 ft
11:05.0,Defensive rebound by A. Bradley,,23-21,,
10:53.0,K. Olynyk makes 3-pt shot from 23 ft (assist by M. Smart),3,26-21,,
10:40.0,,,26-21,,Offensive foul by J. McRoberts
10:40.0,,,26-21,,Turnover by J. McRoberts (offensive foul)
10:15.0,T. Rozier makes 3-pt shot from 25 ft (assist by K. Olynyk),3,29-21,,
9:51.0,Personal foul by K. Olynyk (drawn by J. McRoberts),,29-21,,
9:35.0,,,29-21,,J. McRoberts misses 2-pt shot from 14 ft
9:34.0,,,29-21,,Offensive rebound by J. Richardson
9:23.0,,,29-23,2,W. Ellington makes 2-pt shot from 2 ft (assist by J. McRoberts)
9:07.0,Turnover by K. Olynyk (traveling),,29-23,,
8:50.0,,,29-23,,Turnover by R. McGruder (bad pass)
8:50.0,Official timeout,,29-23,,
8:35.0,J. Jerebko makes 2-pt shot from 8 ft,2,31-23,,
8:14.0,,,31-23,,J. Richardson misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by Team,,31-23,,
8:13.0,,,31-23,,G. Dragic enters the game for R. McGruder
7:58.0,M. Smart makes 2-pt shot from 4 ft,2,33-23,,
7:38.0,,,33-25,2,G. Dragic makes 2-pt shot from 7 ft (assist by J. McRoberts)
7:23.0,M. Smart misses 2-pt shot from 3 ft,,33-25,,
7:23.0,Offensive rebound by Team,,33-25,,
7:23.0,,,33-25,,Loose ball foul by J. Richardson (drawn by K. Olynyk)
7:23.0,,,33-25,,H. Whiteside enters the game for J. McRoberts
7:14.0,T. Rozier misses 3-pt shot from 24 ft,,33-25,,
7:13.0,,,33-25,,Defensive rebound by H. Whiteside
6:58.0,,,33-25,,J. Johnson misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by A. Bradley,,33-25,,
6:37.0,A. Bradley misses 2-pt shot from 20 ft,,33-25,,
6:36.0,,,33-25,,Defensive rebound by J. Johnson
6:24.0,,,33-25,,J. Johnson misses 2-pt shot from 3 ft (block by K. Olynyk)
6:23.0,Defensive rebound by T. Rozier,,33-25,,
6:18.0,Turnover by T. Rozier (lost ball; steal by J. Richardson),,33-25,,
6:17.0,,,33-25,,Offensive charge foul by J. Johnson
6:17.0,,,33-25,,Turnover by J. Johnson (offensive foul)
6:17.0,I. Thomas enters the game for M. Smart,,33-25,,
6:17.0,J. Crowder enters the game for K. Olynyk,,33-25,,
6:17.0,T. Zeller enters the game for T. Rozier,,33-25,,
6:03.0,T. Zeller makes 2-pt shot from 3 ft (assist by A. Bradley),2,35-25,,
6:03.0,,,35-25,,Miami full timeout
6:03.0,,,35-25,,L. Babbitt enters the game for J. Johnson
6:03.0,,,35-25,,D. Williams enters the game for W. Ellington
5:47.0,,,35-25,,L. Babbitt misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by A. Bradley,,35-25,,
5:33.0,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas),2,37-25,,
5:21.0,,,37-25,,D. Williams misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by I. Thomas,,37-25,,
5:05.0,I. Thomas misses 3-pt shot from 25 ft,,37-25,,
5:04.0,Offensive rebound by J. Jerebko,,37-25,,
4:53.0,T. Zeller makes 2-pt shot from 2 ft (assist by J. Crowder),2,39-25,,
4:46.0,,,39-25,,Miami full timeout
4:46.0,,,39-25,,R. McGruder enters the game for J. Richardson
4:26.0,,,39-27,2,R. McGruder makes 2-pt shot from 5 ft
4:06.0,A. Bradley makes 2-pt shot from 2 ft,2,41-27,,
3:42.0,,,41-27,,H. Whiteside misses 2-pt shot from 6 ft
3:41.0,Defensive rebound by J. Crowder,,41-27,,
3:29.0,I. Thomas misses 3-pt shot from 25 ft,,41-27,,
3:28.0,,,41-27,,Defensive rebound by D. Williams
3:27.0,Personal foul by J. Jerebko (drawn by D. Williams),,41-27,,
3:13.0,,,41-27,,Turnover by R. McGruder (lost ball)
2:57.0,J. Crowder misses 2-pt shot from 10 ft,,41-27,,
2:56.0,,,41-27,,Defensive rebound by H. Whiteside
2:55.0,,,41-27,,G. Dragic misses 2-pt shot from 1 ft
2:54.0,,,41-27,,Offensive rebound by Team
2:53.0,Loose ball foul by I. Thomas (drawn by R. McGruder),,41-27,,
2:53.0,Boston full timeout,,41-27,,
2:53.0,M. Smart enters the game for J. Jerebko,,41-27,,
2:43.0,,,41-27,,G. Dragic misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by J. Crowder,,41-27,,
2:23.0,I. Thomas misses 3-pt shot from 23 ft,,41-27,,
2:22.0,,,41-27,,Defensive rebound by H. Whiteside
2:11.0,,,41-27,,H. Whiteside misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by M. Smart,,41-27,,
2:01.0,Turnover by M. Smart (discontinued dribble),,41-27,,
1:45.0,,,41-27,,D. Williams misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by I. Thomas,,41-27,,
1:38.0,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart),2,43-27,,
1:22.0,,,43-29,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:57.0,T. Zeller misses 2-pt shot from 19 ft,,43-29,,
0:56.0,,,43-29,,Defensive rebound by R. McGruder
0:50.0,,,43-29,,Turnover by R. McGruder (lost ball; steal by I. Thomas)
0:46.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,45-29,,
0:30.0,,,45-31,2,D. Williams makes 2-pt shot from 1 ft
0:06.0,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas),3,48-31,,
0:02.0,,,48-31,,G. Dragic misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by I. Thomas,,48-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-33,2,D. Williams makes 2-pt shot from 17 ft (assist by H. Whiteside)
11:22.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller),3,51-33,,
11:08.0,,,51-33,,Shooting foul by I. Thomas (drawn by G. Dragic)
11:08.0,,,51-35,2,G. Dragic makes 2-pt shot from 2 ft
11:08.0,,,51-36,1,G. Dragic makes free throw 1 of 1
10:45.0,J. Crowder makes 2-pt shot from 20 ft (assist by A. Bradley),2,53-36,,
10:30.0,,,53-38,2,D. Williams makes 2-pt shot from 16 ft (assist by G. Dragic)
10:16.0,A. Bradley makes 2-pt shot from 16 ft,2,55-38,,
9:51.0,,,55-40,2,G. Dragic makes 2-pt shot from 14 ft
9:36.0,A. Bradley misses 2-pt shot from 2 ft,,55-40,,
9:35.0,,,55-40,,Defensive rebound by H. Whiteside
9:24.0,,,55-40,,Shooting foul by A. Bradley (drawn by G. Dragic)
9:24.0,,,55-41,1,G. Dragic makes free throw 1 of 2
9:24.0,,,55-41,,G. Dragic misses free throw 2 of 2
9:23.0,Defensive rebound by J. Crowder,,55-41,,
9:10.0,I. Thomas misses 2-pt shot from 2 ft,,55-41,,
9:09.0,Offensive rebound by T. Zeller,,55-41,,
9:04.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,58-41,,
8:48.0,,,58-41,,L. Babbitt misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by A. Johnson,,58-41,,
8:38.0,T. Zeller makes 2-pt shot from 5 ft (assist by J. Crowder),2,60-41,,
8:38.0,,,60-41,,Miami full timeout
8:38.0,,,60-41,,J. Richardson enters the game for L. Babbitt
8:27.0,,,60-41,,H. Whiteside misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by T. Zeller,,60-41,,
8:08.0,J. Crowder misses 3-pt shot from 24 ft,,60-41,,
8:07.0,,,60-41,,Defensive rebound by J. Richardson
7:53.0,,,60-41,,D. Williams misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by A. Bradley,,60-41,,
7:38.0,I. Thomas misses 2-pt shot from 2 ft,,60-41,,
7:37.0,,,60-41,,Defensive rebound by H. Whiteside
7:35.0,Personal foul by J. Crowder (drawn by D. Williams),,60-41,,
7:24.0,,,60-44,3,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic)
7:07.0,T. Zeller makes 2-pt shot from 17 ft (assist by I. Thomas),2,62-44,,
6:54.0,,,62-46,2,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic)
6:35.0,A. Bradley misses 2-pt shot from 17 ft,,62-46,,
6:34.0,,,62-46,,Defensive rebound by D. Williams
6:28.0,,,62-49,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
6:17.0,I. Thomas misses 2-pt shot from 1 ft,,62-49,,
6:16.0,Offensive rebound by A. Johnson,,62-49,,
6:15.0,A. Johnson makes 2-pt shot from 1 ft,2,64-49,,
6:15.0,Shooting foul by D. Williams (drawn by A. Johnson),,64-49,,
6:15.0,A. Johnson misses free throw 1 of 1,,64-49,,
6:15.0,,,64-49,,J. Johnson enters the game for D. Williams
6:14.0,,,64-49,,Defensive rebound by J. Richardson
6:05.0,M. Smart enters the game for A. Johnson,,64-49,,
6:05.0,,,64-49,,W. Ellington enters the game for R. McGruder
6:00.0,,,64-49,,Shooting foul by T. Zeller (drawn by G. Dragic)
6:00.0,,,64-50,1,G. Dragic makes free throw 1 of 2
6:00.0,,,64-51,1,G. Dragic makes free throw 2 of 2
5:47.0,I. Thomas misses 2-pt shot from 2 ft,,64-51,,
5:46.0,,,64-51,,Defensive rebound by H. Whiteside
5:41.0,,,64-53,2,G. Dragic makes 2-pt shot from 1 ft
5:36.0,Boston full timeout,,64-53,,
5:36.0,K. Olynyk enters the game for T. Zeller,,64-53,,
5:26.0,Shooting foul by J. Johnson (drawn by K. Olynyk),,64-53,,
5:26.0,K. Olynyk makes free throw 1 of 2,1,65-53,,
5:26.0,K. Olynyk makes free throw 2 of 2,1,66-53,,
5:14.0,,,66-55,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
4:57.0,J. Crowder makes 3-pt shot from 24 ft (assist by K. Olynyk),3,69-55,,
4:40.0,,,69-55,,J. Johnson misses 2-pt shot from 17 ft
4:39.0,Defensive rebound by I. Thomas,,69-55,,
4:30.0,I. Thomas misses 3-pt shot from 25 ft,,69-55,,
4:29.0,,,69-55,,Defensive rebound by G. Dragic
4:08.0,,,69-58,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
3:49.0,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk),3,72-58,,
3:41.0,Shooting block foul by M. Smart (drawn by G. Dragic),,72-58,,
3:41.0,,,72-59,1,G. Dragic makes free throw 1 of 2
3:41.0,,,72-60,1,G. Dragic makes free throw 2 of 2
3:41.0,J. Brown enters the game for A. Bradley,,72-59,,
3:26.0,J. Crowder makes 2-pt shot from 18 ft (assist by K. Olynyk),2,74-60,,
3:16.0,,,74-60,,J. Richardson misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by K. Olynyk,,74-60,,
3:07.0,I. Thomas makes 2-pt shot from 2 ft,2,76-60,,
2:58.0,,,76-62,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:58.0,Shooting block foul by J. Brown (drawn by H. Whiteside),,76-62,,
2:58.0,,,76-63,1,H. Whiteside makes free throw 1 of 1
2:33.0,I. Thomas makes 2-pt shot from 8 ft,2,78-63,,
2:22.0,,,78-65,2,H. Whiteside makes 2-pt shot from 9 ft
2:22.0,,,78-65,,Shooting foul by K. Olynyk (drawn by H. Whiteside)
2:22.0,,,78-65,,H. Whiteside misses free throw 1 of 1
2:21.0,Defensive rebound by K. Olynyk,,78-65,,
2:19.0,Turnover by K. Olynyk (bad pass; steal by J. Richardson),,78-65,,
2:17.0,Loose ball foul by K. Olynyk (drawn by J. Richardson),,78-65,,
2:17.0,,,78-65,,J. Richardson misses free throw 1 of 2
2:17.0,,,78-65,,Offensive rebound by Team
2:17.0,,,78-66,1,J. Richardson makes free throw 2 of 2
2:17.0,J. Jerebko enters the game for J. Crowder,,78-65,,
2:06.0,I. Thomas misses 2-pt shot from 16 ft (block by H. Whiteside),,78-66,,
2:05.0,,,78-66,,Defensive rebound by Team
2:05.0,Loose ball foul by I. Thomas (drawn by H. Whiteside),,78-66,,
2:05.0,,,78-67,1,H. Whiteside makes free throw 1 of 2
2:05.0,,,78-68,1,H. Whiteside makes free throw 2 of 2
1:42.0,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas),3,81-68,,
1:29.0,,,81-68,,W. Ellington misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by J. Jerebko,,81-68,,
1:16.0,,,81-68,,Personal foul by H. Whiteside (drawn by I. Thomas)
1:16.0,,,81-68,,L. Babbitt enters the game for H. Whiteside
1:12.0,,,81-68,,R. McGruder enters the game for G. Dragic
1:07.0,Shooting foul by J. Johnson (drawn by I. Thomas),,81-68,,
1:07.0,I. Thomas makes free throw 1 of 2,1,82-68,,
1:07.0,I. Thomas makes free throw 2 of 2,1,83-68,,
0:49.0,,,83-68,,J. Johnson misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by J. Jerebko,,83-68,,
0:34.0,I. Thomas misses 3-pt shot from 25 ft,,83-68,,
0:32.0,,,83-68,,Defensive rebound by W. Ellington
0:26.0,,,83-71,3,J. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington)
0:03.0,M. Smart misses 2-pt shot from 22 ft,,83-71,,
0:02.0,Offensive rebound by Team,,83-71,,
0:02.0,Turnover by Team (shot clock),,83-71,,
0:00.0,,,83-73,2,W. Ellington makes 2-pt shot from 21 ft (assist by L. Babbitt)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-73,,Violation by L. Babbitt (kicked ball)
11:45.0,Offensive foul by M. Smart,,83-73,,
11:45.0,Turnover by M. Smart (offensive foul),,83-73,,
11:32.0,,,83-73,,J. Johnson misses 2-pt shot from 3 ft
11:31.0,Defensive rebound by K. Olynyk,,83-73,,
11:14.0,M. Smart makes 3-pt shot from 24 ft (assist by T. Rozier),3,86-73,,
11:01.0,Personal foul by M. Smart (drawn by W. Ellington),,86-73,,
11:01.0,,,86-73,,G. Dragic enters the game for J. Richardson
10:48.0,,,86-73,,L. Babbitt misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by T. Rozier,,86-73,,
10:42.0,M. Smart misses 3-pt shot from 25 ft,,86-73,,
10:41.0,,,86-73,,Defensive rebound by G. Dragic
10:23.0,,,86-75,2,G. Dragic makes 2-pt shot from 3 ft
10:10.0,,,86-75,,Personal foul by G. Dragic (drawn by K. Olynyk)
9:55.0,K. Olynyk makes 2-pt shot from 3 ft (assist by M. Smart),2,88-75,,
9:39.0,,,88-75,,L. Babbitt misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by K. Olynyk,,88-75,,
9:31.0,,,88-75,,Violation by L. Babbitt (kicked ball)
9:25.0,A. Bradley misses 2-pt shot from 16 ft,,88-75,,
9:24.0,,,88-75,,Defensive rebound by R. McGruder
9:17.0,,,88-75,,J. Johnson misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by K. Olynyk,,88-75,,
9:00.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,90-75,,
8:44.0,,,90-75,,Shooting foul by K. Olynyk (drawn by G. Dragic)
8:44.0,Official timeout,,90-75,,
8:44.0,,,90-76,1,G. Dragic makes free throw 1 of 2
8:44.0,,,90-77,1,G. Dragic makes free throw 2 of 2
8:44.0,,,90-75,,H. Whiteside enters the game for L. Babbitt
8:20.0,Shooting foul by H. Whiteside (drawn by M. Smart),,90-77,,
8:20.0,M. Smart makes free throw 1 of 3,1,91-77,,
8:20.0,M. Smart makes free throw 2 of 3,1,92-77,,
8:20.0,M. Smart misses free throw 3 of 3,,92-77,,
8:20.0,T. Zeller enters the game for K. Olynyk,,92-77,,
8:19.0,,,92-77,,Defensive rebound by H. Whiteside
8:03.0,,,92-77,,G. Dragic misses 2-pt shot from 8 ft
8:02.0,,,92-77,,Offensive rebound by H. Whiteside
8:01.0,Personal foul by T. Zeller (drawn by H. Whiteside),,92-77,,
7:50.0,,,92-79,2,W. Ellington makes 2-pt shot from 20 ft (assist by G. Dragic)
7:35.0,M. Smart makes 2-pt shot from 8 ft,2,94-79,,
7:22.0,,,94-81,2,G. Dragic makes 2-pt shot from 3 ft
6:59.0,T. Rozier misses 3-pt shot from 26 ft,,94-81,,
6:58.0,,,94-81,,Defensive rebound by J. Johnson
6:50.0,,,94-81,,G. Dragic misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by J. Jerebko,,94-81,,
6:39.0,M. Smart misses 3-pt shot from 25 ft,,94-81,,
6:38.0,,,94-81,,Defensive rebound by J. Johnson
6:33.0,,,94-81,,Turnover by R. McGruder (offensive foul)
6:33.0,,,94-81,,Offensive charge foul by R. McGruder
6:33.0,J. Crowder enters the game for J. Jerebko,,94-81,,
6:33.0,I. Thomas enters the game for T. Rozier,,94-81,,
6:22.0,I. Thomas misses 2-pt shot from 2 ft,,94-81,,
6:21.0,,,94-81,,Defensive rebound by H. Whiteside
6:14.0,,,94-81,,J. Johnson misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by T. Zeller,,94-81,,
6:13.0,,,94-81,,Personal foul by J. Johnson (drawn by T. Zeller)
6:06.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,96-81,,
6:06.0,,,96-81,,Miami full timeout
6:06.0,,,96-81,,J. Richardson enters the game for J. Johnson
5:51.0,,,96-83,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
5:33.0,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller),2,98-83,,
5:12.0,,,98-83,,R. McGruder misses 2-pt shot from 6 ft (block by T. Zeller)
5:11.0,,,98-83,,Offensive rebound by R. McGruder
5:09.0,,,98-83,,G. Dragic misses 2-pt shot from 12 ft
5:08.0,,,98-83,,Offensive rebound by H. Whiteside
5:08.0,Personal foul by A. Bradley (drawn by H. Whiteside),,98-83,,
5:00.0,,,98-86,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
4:43.0,A. Bradley misses 2-pt shot from 2 ft,,98-86,,
4:42.0,,,98-86,,Defensive rebound by H. Whiteside
4:34.0,,,98-86,,Offensive foul by J. Richardson
4:34.0,,,98-86,,Turnover by J. Richardson (offensive foul)
4:21.0,J. Crowder misses 2-pt shot from 18 ft,,98-86,,
4:20.0,,,98-86,,Defensive rebound by H. Whiteside
4:11.0,,,98-86,,W. Ellington misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by A. Bradley,,98-86,,
4:09.0,,,98-86,,Personal foul by H. Whiteside (drawn by T. Zeller)
3:58.0,Shooting foul by W. Ellington (drawn by I. Thomas),,98-86,,
3:58.0,I. Thomas makes free throw 1 of 2,1,99-86,,
3:58.0,I. Thomas makes free throw 2 of 2,1,100-86,,
3:51.0,,,100-88,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
3:49.0,Boston full timeout,,100-88,,
3:49.0,K. Olynyk enters the game for T. Zeller,,100-88,,
3:49.0,Violation by Team (jump ball),,100-88,,
3:27.0,K. Olynyk misses 2-pt shot from 11 ft (block by H. Whiteside),,100-88,,
3:26.0,,,100-88,,Defensive rebound by W. Ellington
3:18.0,,,100-88,,J. Richardson misses 3-pt shot from 25 ft
3:17.0,,,100-88,,Offensive rebound by H. Whiteside
3:17.0,Flagrant foul type 1 by M. Smart (drawn by H. Whiteside),,100-88,,
3:17.0,,,100-88,,H. Whiteside misses flagrant free throw 1 of 2
3:17.0,,,100-88,,Offensive rebound by Team
3:17.0,,,100-89,1,H. Whiteside makes flagrant free throw 2 of 2
3:17.0,T. Zeller enters the game for K. Olynyk,,100-88,,
3:06.0,,,100-89,,Shooting foul by T. Zeller (drawn by H. Whiteside)
3:06.0,,,100-89,,H. Whiteside misses free throw 1 of 2
3:06.0,,,100-89,,Offensive rebound by Team
3:06.0,,,100-89,,H. Whiteside misses free throw 2 of 2
3:05.0,Defensive rebound by M. Smart,,100-89,,
2:52.0,A. Bradley misses 2-pt shot from 20 ft,,100-89,,
2:51.0,Offensive rebound by T. Zeller,,100-89,,
2:50.0,Shooting foul by R. McGruder (drawn by T. Zeller),,100-89,,
2:50.0,T. Zeller makes free throw 1 of 2,1,101-89,,
