time,Indiana,pts.away,score,pts.home,Brooklyn
5:40.0,,,18-12,,Defensive rebound by J. Hamilton
5:35.0,Personal foul by P. George (drawn by J. Lin),,18-12,,
5:35.0,,,18-12,,Brooklyn full timeout
5:35.0,,,18-12,,J. Harris enters the game for J. Lin
5:35.0,,,18-12,,G. Vasquez enters the game for B. Bogdanovic
5:29.0,,,18-12,,J. Harris misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by M. Turner,,18-12,,
5:17.0,M. Ellis makes 2-pt shot from 2 ft (assist by T. Young),2,20-12,,
4:59.0,,,20-12,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
4:56.0,Defensive rebound by R. Stuckey,,20-12,,
4:48.0,R. Stuckey misses 2-pt shot from 5 ft,,20-12,,
4:47.0,,,20-12,,Defensive rebound by J. Harris
4:38.0,,,20-12,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by M. Turner,,20-12,,
4:35.0,Indiana full timeout,,20-12,,
4:35.0,J. Young enters the game for R. Stuckey,,20-12,,
4:35.0,L. Allen enters the game for T. Young,,20-12,,
4:22.0,P. George misses 2-pt shot from 5 ft,,20-12,,
4:21.0,,,20-12,,Defensive rebound by R. Hollis-Jefferson
4:06.0,,,20-12,,L. Scola misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by P. George,,20-12,,
3:49.0,Turnover by M. Ellis (bad pass; steal by L. Scola),,20-12,,
3:42.0,,,20-12,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by M. Turner,,20-12,,
3:34.0,M. Ellis misses 2-pt shot from 7 ft,,20-12,,
3:34.0,Offensive rebound by Team,,20-12,,
3:34.0,,,20-12,,Loose ball foul by G. Vasquez (drawn by L. Allen)
3:34.0,L. Allen misses free throw 1 of 2,,20-12,,
3:34.0,Offensive rebound by Team,,20-12,,
3:34.0,L. Allen misses free throw 2 of 2,,20-12,,
3:34.0,,,20-12,,S. Kilpatrick enters the game for R. Hollis-Jefferson
3:34.0,A. Jefferson enters the game for M. Turner,,20-12,,
3:33.0,,,20-12,,Defensive rebound by L. Scola
3:20.0,,,20-12,,J. Harris misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by A. Jefferson,,20-12,,
3:07.0,M. Ellis makes 2-pt shot from 19 ft (assist by A. Jefferson),2,22-12,,
2:46.0,,,22-15,3,J. Harris makes 3-pt shot from 25 ft (assist by J. Hamilton)
2:33.0,J. Young misses 2-pt shot from 18 ft,,22-15,,
2:31.0,,,22-15,,Defensive rebound by J. Hamilton
2:24.0,,,22-15,,L. Scola misses 2-pt shot from 6 ft (block by A. Jefferson)
2:23.0,Defensive rebound by A. Jefferson,,22-15,,
2:10.0,L. Allen misses 3-pt shot from 25 ft,,22-15,,
2:09.0,,,22-15,,Defensive rebound by S. Kilpatrick
1:56.0,,,22-15,,J. Hamilton misses 3-pt shot from 25 ft
1:55.0,,,22-15,,Offensive rebound by L. Scola
1:48.0,,,22-15,,G. Vasquez misses 2-pt shot from 7 ft (block by L. Allen)
1:46.0,,,22-15,,Offensive rebound by S. Kilpatrick
1:44.0,,,22-15,,S. Kilpatrick misses 2-pt shot from 3 ft
1:42.0,,,22-15,,Offensive rebound by J. Hamilton
1:40.0,,,22-17,2,J. Hamilton makes 2-pt shot from 2 ft
1:37.0,Turnover by M. Ellis (bad pass),,22-17,,
1:37.0,,,22-17,,J. Lin enters the game for G. Vasquez
1:37.0,,,22-17,,T. Booker enters the game for L. Scola
1:37.0,C. Miles enters the game for M. Ellis,,22-17,,
1:25.0,,,22-17,,J. Harris misses 2-pt shot from 1 ft
1:24.0,Defensive rebound by L. Allen,,22-17,,
1:05.0,A. Jefferson makes 2-pt shot from 2 ft,2,24-17,,
0:53.0,,,24-17,,Turnover by S. Kilpatrick (step out of bounds)
0:36.0,,,24-17,,Def 3 sec tech foul by S. Kilpatrick
0:36.0,P. George makes technical free throw,1,25-17,,
0:33.0,C. Miles makes 2-pt shot at rim (assist by A. Jefferson),2,27-17,,
0:13.0,,,27-20,3,J. Lin makes 3-pt shot from 26 ft
0:02.0,J. Young misses 2-pt shot from 19 ft,,27-20,,
0:01.0,,,27-20,,Defensive rebound by J. Hamilton
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-22,2,B. Lopez makes 2-pt shot from 6 ft
11:33.0,Turnover by A. Jefferson (lost ball; steal by B. Lopez),,27-22,,
11:29.0,,,27-24,2,S. Kilpatrick makes 2-pt shot at rim (assist by J. Lin)
11:12.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Young),3,30-24,,
11:03.0,,,30-24,,Shooting foul by A. Jefferson (drawn by B. Lopez)
11:03.0,,,30-25,1,B. Lopez makes free throw 1 of 2
11:03.0,,,30-26,1,B. Lopez makes free throw 2 of 2
10:52.0,,,30-26,,Personal foul by B. Bogdanovic (drawn by G. Robinson)
10:38.0,L. Allen misses 2-pt shot from 20 ft,,30-26,,
10:37.0,,,30-26,,Defensive rebound by Team
10:26.0,,,30-28,2,B. Lopez makes 2-pt shot from 3 ft
10:13.0,A. Jefferson misses 2-pt shot from 1 ft,,30-28,,
10:12.0,,,30-28,,Defensive rebound by T. Booker
10:08.0,,,30-28,,Turnover by T. Booker (bad pass)
10:08.0,T. Young enters the game for L. Allen,,30-28,,
9:52.0,J. Young misses 2-pt shot from 1 ft,,30-28,,
9:51.0,,,30-28,,Defensive rebound by Team
9:51.0,J. Teague enters the game for J. Young,,30-28,,
9:38.0,,,30-31,3,S. Kilpatrick makes 3-pt shot from 26 ft (assist by B. Lopez)
9:24.0,J. Teague makes 2-pt shot from 13 ft,2,32-31,,
9:05.0,,,32-31,,B. Lopez misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by C. Miles,,32-31,,
8:53.0,T. Young misses 2-pt shot from 8 ft,,32-31,,
8:52.0,Offensive rebound by G. Robinson,,32-31,,
8:50.0,G. Robinson misses 2-pt shot from 7 ft,,32-31,,
8:49.0,Offensive rebound by Team,,32-31,,
8:49.0,Official timeout,,32-31,,
8:37.0,Turnover by A. Jefferson (lost ball),,32-31,,
8:16.0,,,32-33,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
8:02.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,34-33,,
7:46.0,,,34-33,,Turnover by B. Lopez (bad pass; steal by G. Robinson)
7:39.0,C. Miles makes 2-pt shot from 2 ft (assist by G. Robinson),2,36-33,,
7:39.0,Shooting foul by B. Bogdanovic (drawn by C. Miles),,36-33,,
7:39.0,C. Miles makes free throw 1 of 1,1,37-33,,
7:39.0,M. Turner enters the game for A. Jefferson,,36-33,,
7:39.0,,,36-33,,J. Hamilton enters the game for T. Booker
7:39.0,,,36-33,,G. Vasquez enters the game for J. Lin
7:32.0,,,37-33,,Turnover by B. Lopez (3 sec)
7:32.0,,,37-33,,J. Harris enters the game for B. Bogdanovic
7:21.0,C. Miles misses 3-pt shot from 25 ft,,37-33,,
7:20.0,,,37-33,,Defensive rebound by S. Kilpatrick
7:08.0,,,37-33,,B. Lopez misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by Team,,37-33,,
6:59.0,,,37-33,,Personal foul by G. Vasquez (drawn by J. Teague)
6:59.0,,,37-33,,L. Scola enters the game for B. Lopez
6:53.0,G. Robinson makes 2-pt shot at rim (assist by T. Young),2,39-33,,
6:38.0,,,39-36,3,S. Kilpatrick makes 3-pt shot from 27 ft (assist by G. Vasquez)
6:22.0,G. Robinson misses 2-pt shot from 20 ft,,39-36,,
6:21.0,,,39-36,,Defensive rebound by G. Vasquez
6:19.0,,,39-36,,Offensive charge foul by S. Kilpatrick
6:19.0,,,39-36,,Turnover by S. Kilpatrick (offensive foul)
6:07.0,J. Teague misses 2-pt shot from 17 ft,,39-36,,
6:06.0,Offensive rebound by C. Miles,,39-36,,
6:04.0,Turnover by C. Miles (bad pass),,39-36,,
5:49.0,,,39-36,,Brooklyn full timeout
5:49.0,,,39-36,,R. Hollis-Jefferson enters the game for J. Harris
5:49.0,M. Ellis enters the game for C. Miles,,39-36,,
5:49.0,P. George enters the game for G. Robinson,,39-36,,
5:37.0,,,39-38,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft
5:29.0,,,39-38,,Personal foul by G. Vasquez (drawn by J. Teague)
5:29.0,,,39-38,,J. Lin enters the game for G. Vasquez
5:15.0,P. George misses 3-pt shot from 23 ft,,39-38,,
5:14.0,,,39-38,,Defensive rebound by J. Hamilton
5:06.0,,,39-41,3,J. Hamilton makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
4:53.0,J. Teague misses 2-pt shot from 7 ft,,39-41,,
4:49.0,Offensive rebound by M. Turner,,39-41,,
4:46.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,41-41,,
4:33.0,,,41-41,,J. Hamilton misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by M. Turner,,41-41,,
4:21.0,Turnover by M. Turner (offensive foul),,41-41,,
4:21.0,Offensive foul by M. Turner,,41-41,,
4:21.0,,,41-41,,J. Harris enters the game for S. Kilpatrick
4:08.0,,,41-43,2,L. Scola makes 2-pt shot from 3 ft (assist by J. Lin)
3:43.0,P. George misses 2-pt shot from 6 ft,,41-43,,
3:42.0,,,41-43,,Defensive rebound by L. Scola
3:22.0,,,41-43,,L. Scola misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by J. Teague,,41-43,,
3:20.0,,,41-43,,T. Booker enters the game for L. Scola
3:08.0,M. Ellis misses 2-pt shot from 18 ft,,41-43,,
3:07.0,,,41-43,,Defensive rebound by Team
2:55.0,Personal foul by M. Ellis (drawn by J. Lin),,41-43,,
2:55.0,Indiana full timeout,,41-43,,
2:41.0,,,41-46,3,J. Lin makes 3-pt shot from 27 ft (assist by J. Harris)
2:30.0,,,41-46,,Personal foul by J. Hamilton (drawn by P. George)
2:30.0,P. George makes free throw 1 of 2,1,42-46,,
2:30.0,P. George makes free throw 2 of 2,1,43-46,,
2:08.0,,,43-46,,J. Hamilton misses 3-pt shot from 24 ft
2:07.0,,,43-46,,Offensive rebound by R. Hollis-Jefferson
2:03.0,,,43-48,2,J. Lin makes 2-pt shot from 18 ft (assist by R. Hollis-Jefferson)
1:45.0,J. Teague misses 3-pt shot from 25 ft,,43-48,,
1:44.0,,,43-48,,Defensive rebound by T. Booker
1:38.0,,,43-48,,J. Harris misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by P. George,,43-48,,
1:31.0,M. Ellis misses 2-pt shot from 2 ft,,43-48,,
1:30.0,Offensive rebound by T. Young,,43-48,,
1:29.0,T. Young misses 2-pt shot from 1 ft,,43-48,,
1:28.0,,,43-48,,Defensive rebound by T. Booker
1:21.0,,,43-50,2,T. Booker makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
1:07.0,M. Turner makes 2-pt shot from 19 ft (assist by P. George),2,45-50,,
0:52.0,,,45-50,,J. Harris misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by J. Teague,,45-50,,
0:46.0,,,45-50,,Personal foul by J. Harris (drawn by M. Ellis)
0:46.0,M. Ellis misses free throw 1 of 2,,45-50,,
0:46.0,Offensive rebound by Team,,45-50,,
0:46.0,M. Ellis makes free throw 2 of 2,1,46-50,,
0:36.0,,,46-50,,Turnover by J. Harris (lost ball; steal by P. George)
0:31.0,M. Turner makes 2-pt shot from 3 ft (assist by M. Ellis),2,48-50,,
0:10.0,,,48-50,,J. Lin misses 2-pt shot from 1 ft (block by M. Turner)
0:10.0,,,48-50,,Offensive rebound by Team
0:10.0,,,48-50,,Brooklyn full timeout
0:10.0,C. Miles enters the game for M. Ellis,,48-50,,
0:09.0,,,48-52,2,T. Booker makes 2-pt shot at rim (assist by J. Lin)
0:01.0,P. George misses 3-pt shot from 26 ft,,48-52,,
0:00.0,Offensive rebound by Team,,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,48-54,2,B. Lopez makes 2-pt shot at rim (assist by T. Booker)
11:25.0,P. George makes 2-pt shot from 10 ft,2,50-54,,
11:09.0,,,50-54,,J. Lin misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by P. George,,50-54,,
11:02.0,P. George misses 3-pt shot from 25 ft,,50-54,,
11:01.0,,,50-54,,Defensive rebound by J. Lin
10:51.0,,,50-56,2,B. Lopez makes 2-pt shot from 3 ft (assist by J. Lin)
10:35.0,J. Teague makes 2-pt shot from 9 ft,2,52-56,,
10:15.0,,,52-56,,Turnover by B. Lopez (lost ball; steal by T. Young)
10:09.0,P. George makes 2-pt shot from 3 ft,2,54-56,,
9:54.0,,,54-56,,T. Booker misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by M. Turner,,54-56,,
9:46.0,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis),2,56-56,,
9:29.0,,,56-56,,T. Booker misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by J. Teague,,56-56,,
9:25.0,,,56-56,,Personal foul by T. Booker (drawn by J. Teague)
9:10.0,T. Young makes 3-pt shot from 23 ft,3,59-56,,
9:10.0,,,59-56,,Brooklyn full timeout
8:55.0,,,59-56,,T. Booker misses 2-pt shot from 3 ft (block by M. Turner)
8:53.0,,,59-56,,Offensive rebound by T. Booker
8:45.0,,,59-56,,Turnover by B. Lopez (lost ball; steal by J. Teague)
8:39.0,Turnover by J. Teague (bad pass; steal by T. Booker),,59-56,,
8:35.0,,,59-56,,Turnover by J. Lin (lost ball; steal by M. Ellis)
8:32.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,61-56,,
8:10.0,,,61-56,,B. Lopez misses 2-pt shot from 3 ft
8:09.0,,,61-56,,Offensive rebound by B. Lopez
8:07.0,,,61-56,,B. Lopez misses 2-pt shot at rim
8:06.0,,,61-56,,Offensive rebound by B. Lopez
8:03.0,,,61-58,2,B. Lopez makes 2-pt shot at rim
7:47.0,P. George misses 2-pt shot from 20 ft,,61-58,,
7:46.0,Offensive rebound by T. Young,,61-58,,
7:39.0,J. Teague misses 2-pt shot from 4 ft,,61-58,,
7:38.0,Offensive rebound by T. Young,,61-58,,
7:37.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Young),,61-58,,
7:37.0,T. Young misses free throw 1 of 2,,61-58,,
7:37.0,Offensive rebound by Team,,61-58,,
7:37.0,T. Young makes free throw 2 of 2,1,62-58,,
7:25.0,,,62-60,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Lin)
7:06.0,J. Teague misses 3-pt shot from 24 ft,,62-60,,
7:05.0,,,62-60,,Defensive rebound by T. Booker
7:03.0,,,62-60,,Offensive foul by B. Lopez
7:03.0,,,62-60,,Turnover by B. Lopez (offensive foul)
7:03.0,,,62-60,,J. Hamilton enters the game for B. Lopez
7:03.0,,,62-60,,L. Scola enters the game for T. Booker
6:53.0,M. Ellis makes 2-pt shot from 20 ft,2,64-60,,
6:32.0,,,64-60,,Turnover by L. Scola (lost ball; steal by M. Ellis)
6:29.0,M. Ellis misses 2-pt shot from 3 ft (block by J. Lin),,64-60,,
6:28.0,Offensive rebound by Team,,64-60,,
6:13.0,M. Turner misses 3-pt shot from 24 ft,,64-60,,
6:12.0,,,64-60,,Defensive rebound by L. Scola
5:53.0,,,64-60,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
5:52.0,,,64-60,,Offensive rebound by L. Scola
5:51.0,,,64-62,2,L. Scola makes 2-pt shot from 2 ft
5:43.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,66-62,,
5:33.0,Personal foul by P. George (drawn by J. Lin),,66-62,,
5:33.0,,,66-62,,Brooklyn full timeout
5:33.0,,,66-62,,J. Harris enters the game for J. Lin
5:33.0,,,66-62,,G. Vasquez enters the game for B. Bogdanovic
5:29.0,,,66-62,,Offensive foul by J. Hamilton
5:29.0,,,66-62,,Turnover by J. Hamilton (offensive foul)
5:17.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,69-62,,
5:02.0,,,69-65,3,J. Harris makes 3-pt shot from 25 ft (assist by G. Vasquez)
4:52.0,Turnover by J. Teague (lost ball; steal by J. Harris),,69-65,,
4:46.0,,,69-65,,G. Vasquez misses 2-pt shot from 3 ft
4:45.0,,,69-65,,Offensive rebound by R. Hollis-Jefferson
4:41.0,,,69-65,,L. Scola misses 2-pt shot from 13 ft
4:39.0,Defensive rebound by P. George,,69-65,,
4:35.0,J. Teague misses 2-pt shot from 5 ft,,69-65,,
4:34.0,Offensive rebound by M. Turner,,69-65,,
4:33.0,,,69-65,,Personal foul by J. Harris (drawn by M. Turner)
4:33.0,M. Turner makes free throw 1 of 2,1,70-65,,
4:33.0,M. Turner makes free throw 2 of 2,1,71-65,,
4:33.0,J. Young enters the game for J. Teague,,70-65,,
4:18.0,Personal foul by M. Turner (drawn by L. Scola),,71-65,,
4:18.0,C. Miles enters the game for T. Young,,71-65,,
4:09.0,,,71-65,,Shooting foul by J. Young (drawn by G. Vasquez)
4:09.0,,,71-65,,G. Vasquez misses free throw 1 of 3
4:09.0,,,71-65,,Offensive rebound by Team
4:09.0,,,71-66,1,G. Vasquez makes free throw 2 of 3
4:09.0,,,71-67,1,G. Vasquez makes free throw 3 of 3
4:09.0,,,71-66,,T. Booker enters the game for L. Scola
3:57.0,M. Ellis misses 2-pt shot from 22 ft,,71-67,,
3:56.0,,,71-67,,Defensive rebound by R. Hollis-Jefferson
3:43.0,,,71-67,,T. Booker misses 2-pt shot from 17 ft
3:42.0,Defensive rebound by J. Young,,71-67,,
3:34.0,P. George misses 2-pt shot from 21 ft,,71-67,,
3:33.0,Offensive rebound by C. Miles,,71-67,,
3:31.0,C. Miles makes 2-pt shot from 1 ft,2,73-67,,
3:18.0,,,73-67,,T. Booker misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by M. Turner,,73-67,,
3:11.0,P. George makes 2-pt shot from 3 ft,2,75-67,,
2:53.0,,,75-67,,Turnover by R. Hollis-Jefferson (bad pass; steal by P. George)
2:51.0,Indiana full timeout,,75-67,,
2:51.0,G. Robinson enters the game for M. Ellis,,75-67,,
2:38.0,C. Miles misses 3-pt shot from 25 ft,,75-67,,
2:37.0,,,75-67,,Defensive rebound by J. Harris
2:29.0,,,75-67,,Turnover by G. Vasquez (step out of bounds)
2:16.0,C. Miles misses 2-pt shot from 23 ft,,75-67,,
2:15.0,,,75-67,,Defensive rebound by R. Hollis-Jefferson
2:09.0,Personal foul by C. Miles (drawn by T. Booker),,75-67,,
2:09.0,,,75-67,,J. Lin enters the game for G. Vasquez
2:09.0,,,75-67,,S. Kilpatrick enters the game for R. Hollis-Jefferson
1:58.0,,,75-67,,S. Kilpatrick misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by G. Robinson,,75-67,,
1:50.0,Shooting foul by J. Lin (drawn by J. Young),,75-67,,
1:50.0,J. Young makes free throw 1 of 2,1,76-67,,
1:50.0,J. Young misses free throw 2 of 2,,76-67,,
1:50.0,K. Seraphin enters the game for M. Turner,,76-67,,
1:50.0,,,76-67,,B. Lopez enters the game for J. Hamilton
1:49.0,,,76-67,,Defensive rebound by T. Booker
1:36.0,,,76-69,2,B. Lopez makes 2-pt shot from 9 ft
1:18.0,P. George misses 3-pt shot from 25 ft,,76-69,,
1:17.0,Offensive rebound by Team,,76-69,,
0:59.0,J. Young misses 2-pt shot from 3 ft,,76-69,,
0:58.0,,,76-69,,Defensive rebound by J. Lin
0:43.0,,,76-69,,J. Lin misses 2-pt shot from 11 ft
0:42.0,Defensive rebound by K. Seraphin,,76-69,,
0:35.0,J. Young makes 3-pt shot from 25 ft (assist by P. George),3,79-69,,
0:27.0,,,79-69,,Shooting foul by J. Young (drawn by J. Lin)
0:27.0,,,79-70,1,J. Lin makes free throw 1 of 2
0:27.0,,,79-70,,J. Lin misses free throw 2 of 2
0:27.0,M. Turner enters the game for K. Seraphin,,79-70,,
0:27.0,,,79-70,,R. Hollis-Jefferson enters the game for J. Harris
0:26.0,Defensive rebound by J. Young,,79-70,,
0:06.0,Turnover by P. George (lost ball; steal by R. Hollis-Jefferson),,79-70,,
0:02.0,,,79-70,,Shooting foul by M. Turner (drawn by J. Lin)
0:02.0,,,79-71,1,J. Lin makes free throw 1 of 2
0:02.0,,,79-72,1,J. Lin makes free throw 2 of 2
0:02.0,K. Seraphin enters the game for M. Turner,,79-71,,
0:01.0,P. George misses 3-pt shot from 54 ft,,79-72,,
0:00.0,Offensive rebound by Team,,79-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,T. Young misses 3-pt shot from 23 ft,,79-72,,
11:44.0,,,79-72,,Defensive rebound by J. Harris
11:41.0,,,79-72,,Shooting foul by A. Jefferson (drawn by B. Lopez)
11:41.0,,,79-73,1,B. Lopez makes free throw 1 of 2
11:41.0,,,79-74,1,B. Lopez makes free throw 2 of 2
11:23.0,G. Robinson misses 2-pt shot from 11 ft,,79-74,,
11:22.0,,,79-74,,Defensive rebound by J. Lin
11:12.0,,,79-74,,T. Booker misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by C. Miles,,79-74,,
10:59.0,Shooting foul by T. Booker (drawn by T. Young),,79-74,,
10:59.0,T. Young makes free throw 1 of 2,1,80-74,,
10:59.0,T. Young makes free throw 2 of 2,1,81-74,,
10:50.0,,,81-74,,Turnover by J. Lin (lost ball)
10:50.0,,,81-74,,B. Bogdanovic enters the game for J. Harris
10:36.0,A. Jefferson misses 2-pt shot from 18 ft,,81-74,,
10:35.0,,,81-74,,Defensive rebound by J. Lin
10:30.0,Personal foul by C. Miles (drawn by S. Kilpatrick),,81-74,,
10:22.0,,,81-76,2,J. Lin makes 2-pt shot from 3 ft
10:07.0,J. Teague misses 2-pt shot from 1 ft,,81-76,,
10:05.0,,,81-76,,Defensive rebound by T. Booker
9:58.0,,,81-76,,B. Bogdanovic misses 2-pt shot from 20 ft
9:57.0,,,81-76,,Offensive rebound by B. Lopez
9:55.0,,,81-76,,B. Lopez misses 2-pt shot from 6 ft
9:54.0,Defensive rebound by T. Young,,81-76,,
9:46.0,C. Miles misses 3-pt shot from 24 ft,,81-76,,
9:44.0,,,81-76,,Defensive rebound by J. Lin
9:29.0,,,81-76,,S. Kilpatrick misses 2-pt shot from 3 ft
9:28.0,,,81-76,,Offensive rebound by T. Booker
9:27.0,Personal foul by C. Miles (drawn by T. Booker),,81-76,,
9:27.0,M. Ellis enters the game for G. Robinson,,81-76,,
9:21.0,Personal foul by J. Teague (drawn by J. Lin),,81-76,,
9:13.0,,,81-78,2,T. Booker makes 2-pt shot at rim (assist by J. Lin)
8:50.0,A. Jefferson misses 2-pt shot from 10 ft,,81-78,,
8:49.0,,,81-78,,Defensive rebound by J. Lin
8:41.0,,,81-78,,J. Lin misses 2-pt shot from 21 ft
8:40.0,Defensive rebound by C. Miles,,81-78,,
8:29.0,,,81-78,,Personal foul by T. Booker (drawn by C. Miles)
8:29.0,Official timeout,,81-78,,
8:29.0,,,81-78,,L. Scola enters the game for B. Lopez
8:29.0,,,81-78,,G. Vasquez enters the game for J. Lin
8:29.0,,,81-78,,J. Hamilton enters the game for T. Booker
8:21.0,A. Jefferson misses 2-pt shot from 19 ft,,81-78,,
8:20.0,,,81-78,,Defensive rebound by B. Bogdanovic
8:07.0,,,81-78,,J. Hamilton misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by C. Miles,,81-78,,
7:56.0,Turnover by A. Jefferson (traveling),,81-78,,
