time,Philadelphia,pts.away,score,pts.home,Indiana
6:25.0,S. Rodriguez misses 2-pt shot from 14 ft,,16-14,,
6:24.0,Offensive rebound by Team,,16-14,,
6:18.0,R. Covington misses 3-pt shot from 25 ft,,16-14,,
6:17.0,,,16-14,,Defensive rebound by M. Turner
6:08.0,,,16-16,2,P. George makes 2-pt shot from 15 ft
5:55.0,R. Covington makes 2-pt shot from 2 ft,2,18-16,,
5:43.0,,,18-16,,M. Turner misses 2-pt shot from 15 ft
5:43.0,Defensive rebound by N. Stauskas,,18-16,,
5:37.0,Turnover by N. Stauskas (bad pass; steal by J. Teague),,18-16,,
5:33.0,,,18-18,2,J. Teague makes 2-pt shot from 2 ft
5:09.0,D. Saric misses 2-pt shot from 23 ft,,18-18,,
5:07.0,,,18-18,,Defensive rebound by M. Turner
4:54.0,,,18-20,2,P. George makes 2-pt shot from 13 ft
4:41.0,Shooting foul by P. George (drawn by R. Holmes),,18-20,,
4:41.0,R. Holmes misses free throw 1 of 2,,18-20,,
4:41.0,Offensive rebound by Team,,18-20,,
4:41.0,R. Holmes misses free throw 2 of 2,,18-20,,
4:41.0,,,18-20,,Defensive rebound by A. Jefferson
4:41.0,,,18-20,,A. Jefferson enters the game for M. Turner
4:41.0,,,18-20,,M. Ellis enters the game for P. George
4:41.0,H. Thompson enters the game for R. Covington,,18-20,,
4:41.0,E. Ilyasova enters the game for D. Saric,,18-20,,
4:41.0,T. McConnell enters the game for S. Rodriguez,,18-20,,
4:27.0,,,18-20,,C. Miles misses 3-pt shot from 28 ft
4:27.0,Defensive rebound by R. Holmes,,18-20,,
4:08.0,E. Ilyasova misses 3-pt shot from 26 ft,,18-20,,
4:07.0,,,18-20,,Defensive rebound by C. Miles
4:01.0,,,18-20,,C. Miles misses 2-pt shot from 6 ft (block by R. Holmes)
3:59.0,Defensive rebound by T. McConnell,,18-20,,
3:50.0,T. McConnell misses 3-pt shot from 27 ft,,18-20,,
3:49.0,,,18-20,,Defensive rebound by M. Ellis
3:34.0,,,18-20,,A. Jefferson misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by H. Thompson,,18-20,,
3:28.0,Philadelphia full timeout,,18-20,,
3:28.0,,,18-20,,L. Allen enters the game for T. Young
3:28.0,J. Okafor enters the game for R. Holmes,,18-20,,
3:13.0,Turnover by J. Okafor (bad pass),,18-20,,
3:01.0,,,18-20,,J. Teague misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by E. Ilyasova,,18-20,,
2:54.0,Turnover by T. McConnell (lost ball; steal by J. Teague),,18-20,,
2:48.0,,,18-20,,Turnover by J. Teague (bad pass; steal by E. Ilyasova)
2:39.0,H. Thompson misses 3-pt shot from 26 ft,,18-20,,
2:39.0,,,18-20,,Defensive rebound by A. Jefferson
2:31.0,,,18-20,,Turnover by A. Jefferson (bad pass)
2:31.0,,,18-20,,A. Brooks enters the game for J. Teague
2:15.0,E. Ilyasova makes 3-pt shot from 27 ft (assist by N. Stauskas),3,21-20,,
1:59.0,,,21-22,2,A. Jefferson makes 2-pt shot from 5 ft
1:45.0,Turnover by N. Stauskas (bad pass; steal by A. Jefferson),,21-22,,
1:38.0,,,21-25,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis)
1:20.0,J. Okafor makes 2-pt shot from 1 ft,2,23-25,,
1:05.0,,,23-27,2,A. Jefferson makes 2-pt shot at rim (assist by A. Brooks)
0:57.0,Shooting foul by A. Brooks (drawn by E. Ilyasova),,23-27,,
0:57.0,E. Ilyasova misses free throw 1 of 2,,23-27,,
0:57.0,Offensive rebound by Team,,23-27,,
0:57.0,E. Ilyasova makes free throw 2 of 2,1,24-27,,
0:47.0,,,24-27,,L. Allen misses 2-pt shot at rim (block by J. Okafor)
0:46.0,Defensive rebound by J. Okafor,,24-27,,
0:41.0,H. Thompson makes 2-pt shot from 2 ft (assist by T. McConnell),2,26-27,,
0:32.0,,,26-29,2,A. Brooks makes 2-pt shot from 14 ft
0:17.0,J. Okafor misses 2-pt shot from 16 ft,,26-29,,
0:16.0,,,26-29,,Defensive rebound by C. Miles
0:02.0,,,26-31,2,A. Jefferson makes 2-pt shot from 7 ft (assist by A. Brooks)
0:00.0,T. McConnell misses 3-pt shot from 61 ft,,26-31,,
0:00.0,Offensive rebound by Team,,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,H. Thompson makes 2-pt shot from 4 ft,2,28-31,,
11:24.0,,,28-31,,M. Ellis misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by R. Holmes,,28-31,,
11:16.0,R. Holmes misses 3-pt shot from 25 ft,,28-31,,
11:15.0,,,28-31,,Defensive rebound by L. Allen
11:05.0,,,28-31,,Turnover by M. Ellis (bad pass; steal by R. Holmes)
10:58.0,Philadelphia full timeout,,28-31,,
10:51.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,31-31,,
10:35.0,Personal foul by N. Stauskas (drawn by M. Ellis),,31-31,,
10:30.0,,,31-31,,M. Ellis misses 2-pt shot from 1 ft (block by R. Holmes)
10:29.0,,,31-31,,Offensive rebound by L. Allen
10:22.0,,,31-31,,L. Allen misses 2-pt shot at rim
10:21.0,,,31-31,,Offensive rebound by A. Jefferson
10:21.0,,,31-33,2,A. Jefferson makes 2-pt shot at rim
10:10.0,H. Thompson makes 3-pt shot from 26 ft (assist by T. McConnell),3,34-33,,
9:59.0,,,34-33,,Shooting foul by H. Thompson (drawn by C. Miles)
9:59.0,,,34-34,1,C. Miles makes free throw 1 of 2
9:59.0,,,34-34,,C. Miles misses free throw 2 of 2
9:59.0,Defensive rebound by E. Ilyasova,,34-34,,
9:42.0,Turnover by N. Stauskas (bad pass; steal by A. Jefferson),,34-34,,
9:36.0,,,34-37,3,C. Miles makes 3-pt shot from 26 ft (assist by A. Brooks)
9:14.0,R. Holmes makes 2-pt shot from 1 ft (assist by H. Thompson),2,36-37,,
9:03.0,,,36-37,,A. Brooks misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by Team,,36-37,,
9:03.0,,,36-37,,Loose ball foul by A. Jefferson (drawn by R. Holmes)
9:03.0,,,36-37,,M. Turner enters the game for A. Jefferson
9:03.0,,,36-37,,P. George enters the game for C. Miles
9:03.0,G. Henderson enters the game for N. Stauskas,,36-37,,
8:50.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by H. Thompson),2,38-37,,
8:38.0,Personal foul by G. Henderson (drawn by P. George),,38-37,,
8:38.0,Official timeout,,38-37,,
8:31.0,,,38-37,,Offensive foul by P. George
8:31.0,,,38-37,,Turnover by P. George (offensive foul)
8:31.0,,,38-37,,C. Miles enters the game for P. George
8:13.0,T. McConnell makes 2-pt shot from 20 ft,2,40-37,,
8:01.0,,,40-37,,Turnover by M. Ellis (bad pass; steal by H. Thompson)
8:01.0,,,40-37,,Clear path foul by M. Ellis
8:01.0,T. McConnell misses clear path free throw 1 of 2,,40-37,,
8:01.0,Offensive rebound by Team,,40-37,,
8:01.0,T. McConnell makes clear path free throw 2 of 2,1,41-37,,
8:01.0,,,41-37,,J. Teague enters the game for L. Allen
8:01.0,,,41-37,,T. Young enters the game for A. Brooks
7:46.0,G. Henderson misses 2-pt shot from 16 ft,,41-37,,
7:46.0,,,41-37,,Defensive rebound by M. Ellis
7:36.0,,,41-37,,Turnover by M. Ellis (bad pass; steal by T. McConnell)
7:31.0,T. McConnell makes 2-pt shot at rim,2,43-37,,
7:21.0,,,43-37,,Offensive foul by M. Turner
7:21.0,,,43-37,,Turnover by M. Turner (offensive foul)
7:21.0,J. Okafor enters the game for R. Holmes,,43-37,,
7:07.0,J. Okafor makes 2-pt shot from 6 ft,2,45-37,,
6:50.0,,,45-37,,M. Ellis misses 2-pt shot from 18 ft
6:49.0,Defensive rebound by H. Thompson,,45-37,,
6:41.0,H. Thompson makes 2-pt shot from 21 ft (assist by T. McConnell),2,47-37,,
6:41.0,,,47-37,,Indiana full timeout
6:41.0,,,47-37,,G. Robinson enters the game for M. Ellis
6:33.0,Personal foul by T. McConnell (drawn by G. Robinson),,47-37,,
6:25.0,,,47-39,2,J. Teague makes 2-pt shot from 5 ft
6:11.0,T. McConnell misses 3-pt shot from 24 ft,,47-39,,
6:09.0,,,47-39,,Defensive rebound by C. Miles
5:52.0,,,47-41,2,J. Teague makes 2-pt shot from 7 ft
5:52.0,,,47-41,,Shooting foul by T. McConnell (drawn by J. Teague)
5:52.0,,,47-42,1,J. Teague makes free throw 1 of 1
5:52.0,D. Saric enters the game for E. Ilyasova,,47-41,,
5:52.0,S. Rodriguez enters the game for T. McConnell,,47-41,,
5:40.0,J. Okafor makes 2-pt shot from 2 ft (assist by G. Henderson),2,49-42,,
5:31.0,,,49-42,,M. Turner misses 2-pt shot from 20 ft
5:30.0,Defensive rebound by D. Saric,,49-42,,
5:17.0,J. Okafor misses 2-pt shot from 17 ft,,49-42,,
5:16.0,,,49-42,,Defensive rebound by M. Turner
5:11.0,,,49-42,,J. Teague misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by D. Saric,,49-42,,
4:59.0,S. Rodriguez misses 2-pt shot from 21 ft,,49-42,,
4:59.0,Offensive rebound by J. Okafor,,49-42,,
4:51.0,S. Rodriguez misses 3-pt shot from 26 ft,,49-42,,
4:50.0,,,49-42,,Defensive rebound by M. Turner
4:42.0,,,49-45,3,G. Robinson makes 3-pt shot from 27 ft (assist by J. Teague)
4:23.0,D. Saric misses 2-pt shot from 20 ft,,49-45,,
4:22.0,Offensive rebound by S. Rodriguez,,49-45,,
4:08.0,S. Rodriguez misses 2-pt shot from 19 ft,,49-45,,
4:08.0,,,49-45,,Defensive rebound by M. Turner
3:57.0,,,49-47,2,J. Teague makes 2-pt shot from 16 ft
3:56.0,Philadelphia full timeout,,49-47,,
3:56.0,R. Covington enters the game for H. Thompson,,49-47,,
3:48.0,Turnover by S. Rodriguez (traveling),,49-47,,
3:30.0,,,49-47,,C. Miles misses 2-pt shot from 21 ft
3:29.0,Defensive rebound by D. Saric,,49-47,,
3:20.0,G. Henderson makes 2-pt shot from 7 ft,2,51-47,,
3:11.0,R. Holmes enters the game for J. Okafor,,51-47,,
2:54.0,,,51-50,3,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague)
2:36.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,54-50,,
2:23.0,,,54-50,,M. Turner misses 2-pt shot at rim
2:21.0,,,54-50,,Offensive rebound by Team
2:20.0,Personal foul by R. Covington (drawn by C. Miles),,54-50,,
2:20.0,,,54-51,1,C. Miles makes free throw 1 of 2
2:20.0,,,54-52,1,C. Miles makes free throw 2 of 2
2:09.0,D. Saric misses 2-pt shot from 2 ft (block by M. Turner),,54-52,,
2:07.0,Offensive rebound by G. Henderson,,54-52,,
2:01.0,G. Henderson makes 2-pt shot from 16 ft,2,56-52,,
1:47.0,,,56-52,,T. Young misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by R. Covington,,56-52,,
1:40.0,,,56-52,,Personal foul by G. Robinson (drawn by G. Henderson)
1:29.0,Turnover by D. Saric (bad pass),,56-52,,
1:17.0,,,56-52,,Shooting foul by R. Holmes (drawn by J. Teague)
1:17.0,,,56-53,1,J. Teague makes free throw 1 of 2
1:17.0,,,56-54,1,J. Teague makes free throw 2 of 2
1:02.0,G. Henderson makes 2-pt shot from 15 ft,2,58-54,,
0:50.0,,,58-54,,G. Robinson misses 2-pt shot from 19 ft
0:50.0,Defensive rebound by R. Holmes,,58-54,,
0:31.0,G. Henderson makes 2-pt shot from 18 ft,2,60-54,,
0:25.0,,,60-54,,Indiana full timeout
0:25.0,E. Ilyasova enters the game for R. Holmes,,60-54,,
0:25.0,T. McConnell enters the game for S. Rodriguez,,60-54,,
0:15.0,,,60-54,,Offensive foul by M. Turner
0:15.0,,,60-54,,Turnover by M. Turner (offensive foul)
0:15.0,S. Rodriguez enters the game for T. McConnell,,60-54,,
0:15.0,,,60-54,,L. Allen enters the game for M. Turner
0:02.0,S. Rodriguez misses 2-pt shot from 17 ft,,60-54,,
0:00.0,Offensive rebound by R. Covington,,60-54,,
0:00.0,R. Covington misses 2-pt shot from 1 ft (block by C. Miles),,60-54,,
0:00.0,Offensive rebound by Team,,60-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,G. Henderson makes 2-pt shot from 12 ft,2,62-54,,
11:30.0,,,62-56,2,J. Teague makes 2-pt shot from 1 ft (assist by M. Turner)
11:08.0,J. Okafor makes 2-pt shot from 6 ft,2,64-56,,
10:53.0,,,64-58,2,M. Ellis makes 2-pt shot from 19 ft (assist by P. George)
10:43.0,Offensive foul by G. Henderson,,64-58,,
10:43.0,Turnover by G. Henderson (offensive foul),,64-58,,
10:24.0,,,64-60,2,M. Turner makes 2-pt shot from 1 ft
10:07.0,J. Okafor makes 2-pt shot from 7 ft,2,66-60,,
10:07.0,Shooting foul by M. Turner (drawn by J. Okafor),,66-60,,
10:07.0,J. Okafor misses free throw 1 of 1,,66-60,,
10:05.0,Offensive rebound by D. Saric,,66-60,,
9:56.0,Shooting foul by M. Turner (drawn by J. Okafor),,66-60,,
9:56.0,J. Okafor misses free throw 1 of 2,,66-60,,
9:56.0,Offensive rebound by Team,,66-60,,
9:56.0,J. Okafor misses free throw 2 of 2,,66-60,,
9:56.0,,,66-60,,Defensive rebound by P. George
9:56.0,,,66-60,,A. Jefferson enters the game for M. Turner
9:37.0,,,66-60,,P. George misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by J. Okafor,,66-60,,
9:26.0,J. Okafor makes 2-pt shot from 2 ft,2,68-60,,
9:09.0,,,68-60,,T. Young misses 2-pt shot from 3 ft
9:08.0,,,68-60,,Offensive rebound by P. George
9:00.0,,,68-60,,Turnover by P. George (bad pass; steal by S. Rodriguez)
8:49.0,S. Rodriguez misses 3-pt shot from 25 ft,,68-60,,
8:48.0,,,68-60,,Defensive rebound by P. George
8:37.0,,,68-62,2,A. Jefferson makes 2-pt shot from 3 ft (assist by J. Teague)
8:14.0,Turnover by J. Okafor (lost ball),,68-62,,
8:14.0,R. Holmes enters the game for J. Okafor,,68-62,,
7:51.0,,,68-62,,M. Ellis misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by G. Henderson,,68-62,,
7:42.0,G. Henderson misses 2-pt shot from 1 ft,,68-62,,
7:42.0,,,68-62,,Defensive rebound by T. Young
7:38.0,,,68-62,,Shooting foul by S. Rodriguez (drawn by T. Young)
7:38.0,,,68-63,1,T. Young makes free throw 1 of 2
7:38.0,,,68-63,,T. Young misses free throw 2 of 2
7:38.0,Defensive rebound by D. Saric,,68-63,,
7:38.0,N. Stauskas enters the game for G. Henderson,,68-63,,
7:24.0,Turnover by D. Saric (bad pass; steal by T. Young),,68-63,,
7:16.0,,,68-63,,T. Young misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by D. Saric,,68-63,,
7:11.0,Offensive foul by D. Saric,,68-63,,
7:11.0,Turnover by D. Saric (offensive foul),,68-63,,
7:11.0,Violation by Team (jump ball),,68-63,,
6:56.0,,,68-63,,P. George misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by S. Rodriguez,,68-63,,
6:45.0,R. Covington makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,71-63,,
6:24.0,,,71-65,2,A. Jefferson makes 2-pt shot from 1 ft (assist by T. Young)
6:10.0,S. Rodriguez misses 3-pt shot from 27 ft,,71-65,,
6:08.0,,,71-65,,Defensive rebound by T. Young
5:55.0,,,71-67,2,A. Jefferson makes 2-pt shot from 2 ft
5:48.0,Turnover by R. Holmes (lost ball),,71-67,,
5:48.0,,,71-67,,Indiana full timeout
5:48.0,T. McConnell enters the game for D. Saric,,71-67,,
5:48.0,E. Ilyasova enters the game for S. Rodriguez,,71-67,,
5:35.0,,,71-69,2,A. Jefferson makes 2-pt shot from 8 ft (assist by P. George)
5:18.0,R. Covington makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,74-69,,
4:55.0,,,74-71,2,T. Young makes 2-pt shot from 6 ft (assist by P. George)
4:38.0,R. Covington misses 3-pt shot from 24 ft,,74-71,,
4:38.0,,,74-71,,Defensive rebound by T. Young
4:28.0,,,74-73,2,J. Teague makes 2-pt shot from 3 ft
4:12.0,R. Holmes makes 2-pt shot from 9 ft (assist by T. McConnell),2,76-73,,
4:03.0,Personal foul by R. Holmes (drawn by A. Jefferson),,76-73,,
4:03.0,,,76-73,,C. Miles enters the game for M. Ellis
3:56.0,,,76-75,2,P. George makes 2-pt shot from 22 ft (assist by J. Teague)
3:41.0,R. Covington makes 3-pt shot from 26 ft (assist by E. Ilyasova),3,79-75,,
3:23.0,,,79-77,2,J. Teague makes 2-pt shot from 3 ft
3:23.0,Shooting block foul by E. Ilyasova (drawn by J. Teague),,79-77,,
3:23.0,,,79-78,1,J. Teague makes free throw 1 of 1
3:23.0,Philadelphia full timeout,,79-78,,
3:23.0,H. Thompson enters the game for R. Covington,,79-78,,
3:06.0,Shooting foul by A. Jefferson (drawn by R. Holmes),,79-78,,
3:06.0,R. Holmes misses free throw 1 of 2,,79-78,,
3:06.0,Offensive rebound by Team,,79-78,,
3:06.0,R. Holmes misses free throw 2 of 2,,79-78,,
3:06.0,,,79-78,,Defensive rebound by P. George
2:43.0,,,79-78,,Turnover by P. George (lost ball; steal by R. Holmes)
2:33.0,T. McConnell makes 2-pt shot from 1 ft,2,81-78,,
2:08.0,,,81-80,2,P. George makes 2-pt shot from 18 ft
1:46.0,H. Thompson misses 3-pt shot from 26 ft (block by T. Young),,81-80,,
1:44.0,,,81-80,,Defensive rebound by C. Miles
1:40.0,,,81-82,2,T. Young makes 2-pt shot at rim (assist by C. Miles)
1:24.0,R. Holmes makes 3-pt shot from 23 ft (assist by H. Thompson),3,84-82,,
1:00.0,,,84-84,2,A. Jefferson makes 2-pt shot from 8 ft
0:44.0,E. Ilyasova misses 2-pt shot from 23 ft,,84-84,,
0:43.0,,,84-84,,Defensive rebound by P. George
0:34.0,,,84-84,,J. Teague misses 2-pt shot from 2 ft
0:34.0,,,84-84,,Offensive rebound by A. Jefferson
0:34.0,Loose ball foul by H. Thompson (drawn by A. Jefferson),,84-84,,
0:34.0,,,84-84,,A. Brooks enters the game for J. Teague
0:34.0,,,84-84,,L. Allen enters the game for T. Young
0:24.0,,,84-84,,P. George misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by R. Holmes,,84-84,,
0:03.0,N. Stauskas misses 3-pt shot from 26 ft,,84-84,,
0:01.0,Offensive rebound by H. Thompson,,84-84,,
0:01.0,H. Thompson misses 2-pt shot at rim,,84-84,,
0:00.0,,,84-84,,Defensive rebound by A. Jefferson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,84-84,,A. Jefferson misses 2-pt shot from 4 ft
11:40.0,,,84-84,,Offensive rebound by L. Allen
11:40.0,,,84-84,,L. Allen misses 2-pt shot from 1 ft
11:40.0,,,84-84,,Offensive rebound by Team
11:30.0,,,84-84,,C. Miles misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by H. Thompson,,84-84,,
11:11.0,E. Ilyasova misses 2-pt shot from 18 ft,,84-84,,
11:10.0,,,84-84,,Defensive rebound by A. Brooks
10:53.0,,,84-87,3,C. Miles makes 3-pt shot from 26 ft (assist by A. Brooks)
10:31.0,H. Thompson misses 3-pt shot from 23 ft,,84-87,,
10:29.0,,,84-87,,Defensive rebound by M. Ellis
10:10.0,,,84-87,,Turnover by C. Miles (bad pass; steal by S. Rodriguez)
10:05.0,S. Rodriguez makes 2-pt shot from 1 ft,2,86-87,,
9:40.0,,,86-87,,A. Jefferson misses 2-pt shot from 13 ft
9:39.0,Defensive rebound by G. Henderson,,86-87,,
9:25.0,E. Ilyasova misses 2-pt shot from 22 ft,,86-87,,
9:25.0,,,86-87,,Defensive rebound by A. Jefferson
9:14.0,,,86-90,3,M. Ellis makes 3-pt shot from 24 ft (assist by C. Miles)
9:13.0,Philadelphia full timeout,,86-90,,
9:13.0,D. Saric enters the game for E. Ilyasova,,86-90,,
9:13.0,,,86-90,,M. Turner enters the game for A. Jefferson
8:59.0,S. Rodriguez misses 3-pt shot from 27 ft,,86-90,,
8:58.0,,,86-90,,Defensive rebound by M. Ellis
8:46.0,,,86-92,2,M. Ellis makes 2-pt shot from 21 ft
8:26.0,G. Henderson misses 2-pt shot from 19 ft,,86-92,,
8:26.0,,,86-92,,Defensive rebound by M. Turner
8:12.0,,,86-94,2,M. Turner makes 2-pt shot from 20 ft (assist by A. Brooks)
7:51.0,,,86-94,,Shooting block foul by C. Miles (drawn by J. Okafor)
7:51.0,J. Okafor misses free throw 1 of 2,,86-94,,
7:51.0,Offensive rebound by Team,,86-94,,
7:51.0,J. Okafor makes free throw 2 of 2,1,87-94,,
7:51.0,R. Covington enters the game for G. Henderson,,86-94,,
7:39.0,,,87-94,,Turnover by M. Ellis (bad pass; steal by J. Okafor)
7:23.0,H. Thompson makes 3-pt shot from 23 ft (assist by D. Saric),3,90-94,,
7:06.0,,,90-94,,A. Brooks misses 2-pt shot from 2 ft (block by J. Okafor)
7:02.0,Defensive rebound by D. Saric,,90-94,,
6:54.0,R. Covington makes 2-pt shot from 10 ft (assist by S. Rodriguez),2,92-94,,
6:48.0,,,92-94,,Indiana full timeout
6:48.0,T. McConnell enters the game for J. Okafor,,92-94,,
6:48.0,R. Holmes enters the game for S. Rodriguez,,92-94,,
6:48.0,,,92-94,,J. Teague enters the game for C. Miles
6:48.0,,,92-94,,T. Young enters the game for L. Allen
6:48.0,,,92-94,,P. George enters the game for A. Brooks
6:37.0,,,92-94,,M. Ellis misses 2-pt shot from 14 ft
6:37.0,Defensive rebound by R. Covington,,92-94,,
6:22.0,Turnover by H. Thompson (bad pass; steal by T. Young),,92-94,,
6:15.0,,,92-94,,P. George misses 2-pt shot from 19 ft
6:13.0,Defensive rebound by H. Thompson,,92-94,,
5:54.0,Turnover by T. McConnell (bad pass; steal by T. Young),,92-94,,
5:49.0,,,92-96,2,P. George makes 2-pt shot from 2 ft (assist by M. Ellis)
5:27.0,Shooting foul by J. Teague (drawn by H. Thompson),,92-96,,
5:27.0,H. Thompson makes free throw 1 of 2,1,93-96,,
5:27.0,H. Thompson makes free throw 2 of 2,1,94-96,,
5:15.0,,,94-98,2,P. George makes 2-pt shot from 23 ft (assist by J. Teague)
4:55.0,H. Thompson makes 3-pt shot from 24 ft (assist by D. Saric),3,97-98,,
4:29.0,,,97-98,,P. George misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by R. Holmes,,97-98,,
4:14.0,D. Saric misses 2-pt shot from 16 ft,,97-98,,
4:13.0,Offensive rebound by H. Thompson,,97-98,,
4:10.0,H. Thompson makes 2-pt shot from 2 ft,2,99-98,,
3:49.0,,,99-98,,Turnover by P. George (lost ball; steal by R. Covington)
3:43.0,R. Covington misses 2-pt shot from 2 ft (block by M. Turner),,99-98,,
3:42.0,Offensive rebound by D. Saric,,99-98,,
3:32.0,T. McConnell makes 2-pt shot from 5 ft,2,101-98,,
3:06.0,,,101-98,,J. Teague misses 3-pt shot from 26 ft
3:04.0,Defensive rebound by R. Covington,,101-98,,
2:46.0,D. Saric makes 3-pt shot from 24 ft (assist by R. Covington),3,104-98,,
2:46.0,,,104-98,,Indiana full timeout
2:46.0,Official timeout,,104-98,,
2:46.0,J. Okafor enters the game for R. Holmes,,104-98,,
2:46.0,S. Rodriguez enters the game for T. McConnell,,104-98,,
2:46.0,G. Henderson enters the game for H. Thompson,,104-98,,
2:46.0,,,104-98,,C. Miles enters the game for T. Young
2:34.0,,,104-100,2,J. Teague makes 2-pt shot from 2 ft
2:09.0,S. Rodriguez misses 3-pt shot from 23 ft,,104-100,,
2:09.0,,,104-100,,Defensive rebound by P. George
1:52.0,,,104-100,,P. George misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by D. Saric,,104-100,,
1:35.0,D. Saric makes 2-pt shot from 20 ft,2,106-100,,
1:29.0,,,106-100,,Shooting foul by D. Saric (drawn by J. Teague)
1:29.0,,,106-101,1,J. Teague makes free throw 1 of 2
1:29.0,,,106-102,1,J. Teague makes free throw 2 of 2
1:10.0,S. Rodriguez misses 2-pt shot from 5 ft,,106-102,,
1:09.0,,,106-102,,Defensive rebound by Team
1:09.0,T. McConnell enters the game for S. Rodriguez,,106-102,,
1:09.0,R. Holmes enters the game for J. Okafor,,106-102,,
1:02.0,,,106-105,3,J. Teague makes 3-pt shot from 25 ft
1:02.0,Philadelphia full timeout,,106-105,,
1:02.0,S. Rodriguez enters the game for R. Holmes,,106-105,,
