time,Boston,pts.away,score,pts.home,Washington
9:26.0,J. Jerebko enters the game for T. Rozier,,29-39,,
9:11.0,Shooting foul by M. Morris (drawn by A. Horford),,29-40,,
9:11.0,A. Horford makes free throw 1 of 2,1,30-40,,
9:11.0,A. Horford makes free throw 2 of 2,1,31-40,,
8:57.0,Personal foul by M. Smart (drawn by T. Burke),,31-40,,
8:57.0,Official timeout,,31-40,,
8:42.0,,,31-40,,T. Burke misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by J. Brown,,31-40,,
8:38.0,Turnover by M. Smart (bad pass; steal by K. Oubre),,31-40,,
8:32.0,,,31-40,,T. Burke misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by M. Smart,,31-40,,
8:13.0,M. Smart misses 2-pt shot from 7 ft,,31-40,,
8:12.0,,,31-40,,Defensive rebound by T. Burke
8:08.0,,,31-43,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Burke)
7:50.0,,,31-43,,Def 3 sec tech foul by T. Satoransky
7:50.0,M. Smart makes technical free throw,1,32-43,,
7:50.0,,,32-43,,B. Beal enters the game for T. Satoransky
7:50.0,I. Thomas enters the game for J. Young,,32-43,,
7:38.0,I. Thomas makes 3-pt shot from 32 ft,3,35-43,,
7:23.0,,,35-43,,J. Smith misses 2-pt shot from 7 ft (block by J. Jerebko)
7:23.0,,,35-43,,Offensive rebound by Team
7:15.0,,,35-45,2,K. Oubre makes 2-pt shot at rim
7:09.0,J. Brown makes 2-pt shot from 1 ft (assist by I. Thomas),2,37-45,,
7:09.0,Shooting foul by K. Oubre (drawn by J. Brown),,37-45,,
7:09.0,J. Brown makes free throw 1 of 1,1,38-45,,
7:09.0,,,37-45,,J. Wall enters the game for T. Burke
6:58.0,,,38-45,,M. Morris misses 2-pt shot at rim
6:57.0,,,38-45,,Offensive rebound by J. Smith
6:46.0,,,38-47,2,J. Smith makes 2-pt shot from 14 ft (assist by B. Beal)
6:34.0,,,38-47,,M. Gortat enters the game for J. Smith
6:27.0,M. Smart misses 2-pt shot at rim,,38-47,,
6:26.0,Offensive rebound by J. Jerebko,,38-47,,
6:25.0,J. Jerebko makes 2-pt shot from 2 ft,2,40-47,,
6:06.0,,,40-49,2,B. Beal makes 2-pt shot from 3 ft
5:52.0,A. Horford makes 2-pt shot from 19 ft (assist by I. Thomas),2,42-49,,
5:41.0,,,42-49,,B. Beal misses 3-pt shot from 26 ft
5:40.0,,,42-49,,Offensive rebound by Team
5:40.0,Loose ball foul by A. Horford (drawn by M. Gortat),,42-49,,
5:40.0,,,42-49,,Washington full timeout
5:40.0,,,42-49,,O. Porter enters the game for K. Oubre
5:40.0,J. Crowder enters the game for M. Smart,,42-49,,
5:40.0,K. Olynyk enters the game for J. Jerebko,,42-49,,
5:28.0,,,42-49,,Turnover by B. Beal (lost ball; steal by I. Thomas)
5:22.0,J. Brown makes 3-pt shot from 27 ft (assist by I. Thomas),3,45-49,,
5:02.0,,,45-52,3,O. Porter makes 3-pt shot from 23 ft (assist by M. Morris)
4:47.0,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas),3,48-52,,
4:22.0,,,48-55,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
3:58.0,I. Thomas makes 2-pt shot from 18 ft,2,50-55,,
3:43.0,,,50-55,,Turnover by M. Morris (bad pass)
3:41.0,K. Olynyk makes 2-pt shot from 2 ft (assist by I. Thomas),2,52-55,,
3:39.0,,,52-55,,Washington full timeout
3:24.0,,,52-55,,Shooting foul by J. Crowder (drawn by B. Beal)
3:24.0,,,52-56,1,B. Beal makes free throw 1 of 2
3:24.0,,,52-57,1,B. Beal makes free throw 2 of 2
3:11.0,I. Thomas misses 2-pt shot from 2 ft,,52-57,,
3:10.0,,,52-57,,Defensive rebound by M. Gortat
2:58.0,,,52-57,,J. Wall misses 2-pt shot from 2 ft
2:57.0,,,52-57,,Offensive rebound by M. Gortat
2:56.0,,,52-59,2,M. Gortat makes 2-pt shot from 2 ft
2:47.0,I. Thomas makes 2-pt shot at rim,2,54-59,,
2:31.0,,,54-62,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
2:29.0,Boston full timeout,,54-62,,
2:29.0,M. Smart enters the game for J. Brown,,54-62,,
2:09.0,Shooting foul by J. Wall (drawn by I. Thomas),,54-62,,
2:09.0,I. Thomas makes free throw 1 of 2,1,55-62,,
2:09.0,I. Thomas makes free throw 2 of 2,1,56-62,,
1:58.0,,,56-62,,B. Beal misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by M. Smart,,56-62,,
1:45.0,I. Thomas misses 3-pt shot from 26 ft,,56-62,,
1:44.0,,,56-62,,Defensive rebound by O. Porter
1:30.0,,,56-62,,J. Wall misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by K. Olynyk,,56-62,,
1:21.0,M. Smart makes 3-pt shot from 23 ft (assist by J. Crowder),3,59-62,,
1:04.0,,,59-62,,M. Morris misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by J. Crowder,,59-62,,
1:00.0,M. Smart misses 3-pt shot from 25 ft,,59-62,,
0:59.0,,,59-62,,Defensive rebound by M. Morris
0:47.0,,,59-64,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
0:27.0,I. Thomas misses 2-pt shot from 2 ft,,59-64,,
0:26.0,Offensive rebound by M. Smart,,59-64,,
0:23.0,M. Smart misses 2-pt shot from 18 ft,,59-64,,
0:23.0,Offensive rebound by Team,,59-64,,
0:23.0,Turnover by Team (shot clock),,59-64,,
0:02.0,,,59-66,2,J. Wall makes 2-pt shot from 1 ft
0:02.0,Boston full timeout,,59-66,,
0:02.0,,,59-66,,T. Satoransky enters the game for M. Morris
0:02.0,,,59-66,,K. Oubre enters the game for J. Wall
0:00.0,K. Olynyk misses 3-pt shot from 32 ft,,59-66,,
0:00.0,Offensive rebound by Team,,59-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by M. Smart (bad pass),,59-66,,
11:30.0,,,59-68,2,B. Beal makes 2-pt shot from 9 ft
11:15.0,I. Thomas misses 2-pt shot from 5 ft (block by J. Wall),,59-68,,
11:13.0,,,59-68,,Defensive rebound by J. Wall
11:05.0,,,59-68,,B. Beal misses 3-pt shot from 27 ft
11:05.0,Defensive rebound by Team,,59-68,,
10:39.0,J. Crowder makes 2-pt shot from 20 ft (assist by A. Horford),2,61-68,,
10:16.0,,,61-68,,Shooting foul by J. Crowder (drawn by M. Morris)
10:16.0,,,61-69,1,M. Morris makes free throw 1 of 2
10:16.0,,,61-70,1,M. Morris makes free throw 2 of 2
9:56.0,M. Smart misses 2-pt shot from 1 ft (block by M. Morris),,61-70,,
9:54.0,Offensive rebound by J. Crowder,,61-70,,
9:50.0,J. Crowder makes 3-pt shot from 30 ft,3,64-70,,
9:41.0,,,64-70,,Offensive foul by B. Beal
9:41.0,,,64-70,,Turnover by B. Beal (offensive foul)
9:28.0,J. Crowder misses 3-pt shot from 22 ft,,64-70,,
9:27.0,,,64-70,,Defensive rebound by M. Morris
9:19.0,,,64-72,2,J. Wall makes 2-pt shot at rim
9:19.0,,,64-72,,Shooting foul by J. Crowder (drawn by J. Wall)
9:19.0,,,64-72,,J. Wall misses free throw 1 of 1
9:18.0,Defensive rebound by J. Crowder,,64-72,,
9:08.0,J. Brown misses 3-pt shot from 26 ft,,64-72,,
9:07.0,,,64-72,,Defensive rebound by M. Gortat
8:57.0,,,64-72,,J. Wall misses 2-pt shot from 1 ft
8:56.0,,,64-72,,Offensive rebound by M. Morris
8:55.0,,,64-74,2,M. Morris makes 2-pt shot at rim
8:43.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,66-74,,
8:19.0,,,66-76,2,J. Wall makes 2-pt shot at rim
8:06.0,Turnover by A. Horford (lost ball; steal by M. Gortat),,66-76,,
7:55.0,,,66-76,,Shooting foul by A. Horford (drawn by M. Gortat)
7:55.0,,,66-77,1,M. Gortat makes free throw 1 of 2
7:55.0,,,66-78,1,M. Gortat makes free throw 2 of 2
7:55.0,,,66-78,,Technical foul by M. Morris
7:55.0,I. Thomas makes technical free throw,1,67-78,,
7:41.0,A. Horford misses 2-pt shot from 7 ft,,67-78,,
7:40.0,,,67-78,,Defensive rebound by O. Porter
7:16.0,,,67-78,,J. Wall misses 3-pt shot from 28 ft
7:15.0,Defensive rebound by J. Brown,,67-78,,
7:10.0,I. Thomas makes 2-pt shot from 12 ft,2,69-78,,
6:41.0,,,69-78,,B. Beal misses 2-pt shot from 2 ft (block by A. Horford)
6:41.0,,,69-78,,Offensive rebound by Team
6:41.0,,,69-78,,Turnover by Team (shot clock)
6:41.0,J. Young enters the game for M. Smart,,69-78,,
6:27.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,69-78,,
6:23.0,,,69-80,2,J. Wall makes 2-pt shot at rim
6:09.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,71-80,,
5:53.0,Personal foul by J. Brown (drawn by M. Morris),,71-80,,
5:53.0,,,71-80,,K. Oubre enters the game for M. Morris
5:53.0,,,71-80,,Washington full timeout
5:47.0,,,71-80,,B. Beal misses 2-pt shot from 6 ft
5:46.0,Defensive rebound by J. Brown,,71-80,,
5:33.0,Turnover by J. Young (bad pass; steal by B. Beal),,71-80,,
5:31.0,,,71-80,,Shooting foul by I. Thomas (drawn by B. Beal)
5:31.0,,,71-80,,Violation by Team (jump ball)
5:31.0,,,71-81,1,B. Beal makes free throw 1 of 2
5:31.0,,,71-82,1,B. Beal makes free throw 2 of 2
5:09.0,J. Young misses 3-pt shot from 24 ft,,71-82,,
5:08.0,,,71-82,,Defensive rebound by O. Porter
4:54.0,,,71-82,,J. Wall misses 2-pt shot from 18 ft
4:53.0,Defensive rebound by J. Young,,71-82,,
4:48.0,Shooting foul by B. Beal (drawn by I. Thomas),,71-82,,
4:48.0,I. Thomas makes free throw 1 of 2,1,72-82,,
4:48.0,I. Thomas misses free throw 2 of 2,,72-82,,
4:48.0,K. Olynyk enters the game for A. Horford,,72-82,,
4:47.0,Offensive rebound by J. Young,,72-82,,
4:43.0,I. Thomas misses 2-pt shot from 16 ft,,72-82,,
4:43.0,,,72-82,,Defensive rebound by M. Gortat
4:28.0,,,72-84,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:12.0,Turnover by J. Brown (lost ball),,72-84,,
4:00.0,,,72-84,,K. Oubre misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by J. Brown,,72-84,,
3:56.0,Turnover by J. Brown (bad pass),,72-84,,
3:46.0,,,72-84,,Turnover by B. Beal (bad pass)
3:46.0,M. Smart enters the game for J. Brown,,72-84,,
3:46.0,T. Rozier enters the game for I. Thomas,,72-84,,
3:36.0,Shooting foul by K. Oubre (drawn by J. Crowder),,72-84,,
3:36.0,J. Crowder makes free throw 1 of 2,1,73-84,,
3:36.0,J. Crowder makes free throw 2 of 2,1,74-84,,
3:36.0,,,73-84,,T. Satoransky enters the game for B. Beal
3:21.0,,,74-84,,O. Porter misses 2-pt shot from 17 ft
3:20.0,Defensive rebound by M. Smart,,74-84,,
3:13.0,,,74-84,,Shooting block foul by O. Porter (drawn by J. Young)
3:13.0,J. Young makes free throw 1 of 2,1,75-84,,
3:13.0,J. Young makes free throw 2 of 2,1,76-84,,
3:13.0,,,75-84,,M. Morris enters the game for O. Porter
2:56.0,Boston full timeout,,76-84,,
2:56.0,J. Mickey enters the game for J. Crowder,,76-84,,
2:55.0,Jump ball: M. Morris vs. M. Smart (K. Olynyk gains possession),,,,Jump ball: M. Morris vs. M. Smart (K. Olynyk gains possession)
2:55.0,,,76-84,,Turnover by M. Morris (lost ball; steal by M. Smart)
2:35.0,M. Smart makes 2-pt shot from 2 ft,2,78-84,,
2:07.0,,,78-84,,Turnover by J. Wall (lost ball; steal by M. Smart)
1:59.0,T. Rozier misses 3-pt shot from 26 ft,,78-84,,
1:58.0,,,78-84,,Defensive rebound by T. Satoransky
1:48.0,,,78-84,,K. Oubre misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by K. Olynyk,,78-84,,
1:32.0,Turnover by J. Mickey (lost ball; steal by J. Wall),,78-84,,
1:27.0,,,78-86,2,J. Wall makes 2-pt shot from 1 ft
1:27.0,,,78-86,,Shooting foul by M. Smart (drawn by J. Wall)
1:27.0,,,78-87,1,J. Wall makes free throw 1 of 1
1:10.0,J. Young misses 2-pt shot from 15 ft,,78-87,,
1:09.0,,,78-87,,Defensive rebound by J. Wall
1:05.0,,,78-87,,Shooting foul by J. Young (drawn by J. Wall)
1:05.0,,,78-88,1,J. Wall makes free throw 1 of 2
1:05.0,,,78-89,1,J. Wall makes free throw 2 of 2
1:05.0,,,78-88,,J. Smith enters the game for M. Gortat
0:50.0,Offensive foul by K. Olynyk,,78-89,,
0:50.0,Turnover by K. Olynyk (offensive foul),,78-89,,
0:50.0,,,78-89,,T. Burke enters the game for J. Wall
0:32.0,,,78-89,,M. Morris misses 2-pt shot from 8 ft
0:31.0,Defensive rebound by J. Mickey,,78-89,,
0:26.0,T. Rozier makes 2-pt shot from 1 ft,2,80-89,,
0:05.0,,,80-91,2,T. Burke makes 2-pt shot from 19 ft
0:02.0,M. Smart misses 3-pt shot from 39 ft,,80-91,,
0:01.0,Offensive rebound by Team,,80-91,,
0:01.0,,,80-91,,Loose ball foul by J. Smith (drawn by K. Olynyk)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,80-91,,M. Morris misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by M. Smart,,80-91,,
11:41.0,,,80-91,,Personal foul by J. Smith (drawn by M. Smart)
11:31.0,K. Olynyk misses 3-pt shot from 24 ft,,80-91,,
11:30.0,,,80-91,,Defensive rebound by M. Morris
11:21.0,,,80-91,,Turnover by T. Burke (bad pass; steal by T. Rozier)
11:17.0,,,80-91,,Shooting block foul by J. Smith (drawn by I. Thomas)
11:17.0,I. Thomas makes free throw 1 of 2,1,81-91,,
11:17.0,I. Thomas makes free throw 2 of 2,1,82-91,,
11:17.0,J. Jerebko enters the game for K. Olynyk,,81-91,,
11:00.0,,,82-91,,Turnover by K. Oubre (lost ball; steal by M. Smart)
10:52.0,I. Thomas misses 3-pt shot from 28 ft,,82-91,,
10:51.0,Offensive rebound by J. Jerebko,,82-91,,
10:50.0,J. Jerebko makes 2-pt shot at rim,2,84-91,,
10:43.0,,,84-91,,Washington full timeout
10:28.0,,,84-91,,M. Morris misses 2-pt shot from 6 ft
10:27.0,Defensive rebound by J. Jerebko,,84-91,,
10:13.0,I. Thomas misses 2-pt shot from 1 ft (block by M. Morris),,84-91,,
10:12.0,Offensive rebound by J. Mickey,,84-91,,
10:09.0,J. Mickey misses 2-pt shot from 1 ft,,84-91,,
10:08.0,,,84-91,,Defensive rebound by M. Morris
9:57.0,,,84-93,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Burke)
9:57.0,,,84-93,,Shooting foul by J. Jerebko (drawn by M. Morris)
9:57.0,,,84-94,1,M. Morris makes free throw 1 of 1
9:57.0,,,84-93,,B. Beal enters the game for T. Satoransky
9:46.0,M. Smart makes 3-pt shot from 28 ft (assist by I. Thomas),3,87-94,,
9:28.0,,,87-94,,Turnover by B. Beal (bad pass; steal by I. Thomas)
9:18.0,I. Thomas misses 3-pt shot from 24 ft,,87-94,,
9:17.0,,,87-94,,Defensive rebound by M. Morris
9:13.0,,,87-96,2,B. Beal makes 2-pt shot at rim (assist by M. Morris)
8:52.0,Shooting foul by J. Smith (drawn by M. Smart),,87-96,,
8:52.0,M. Smart makes free throw 1 of 3,1,88-96,,
8:52.0,M. Smart makes free throw 2 of 3,1,89-96,,
8:52.0,M. Smart misses free throw 3 of 3,,89-96,,
8:52.0,A. Horford enters the game for J. Mickey,,89-96,,
8:52.0,,,89-96,,O. Porter enters the game for M. Morris
8:50.0,,,89-96,,Defensive rebound by B. Beal
8:37.0,,,89-96,,K. Oubre misses 2-pt shot from 3 ft
8:36.0,,,89-96,,Offensive rebound by T. Burke
8:34.0,,,89-98,2,T. Burke makes 2-pt shot from 2 ft
8:25.0,,,89-98,,Personal foul by K. Oubre (drawn by I. Thomas)
8:25.0,,,89-98,,J. Wall enters the game for T. Burke
8:12.0,I. Thomas misses 3-pt shot from 26 ft,,89-98,,
8:11.0,,,89-98,,Defensive rebound by J. Smith
8:03.0,,,89-101,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
8:01.0,Boston full timeout,,89-101,,
8:01.0,J. Crowder enters the game for T. Rozier,,89-101,,
7:47.0,A. Horford makes 2-pt shot from 9 ft,2,91-101,,
7:24.0,,,91-101,,O. Porter misses 2-pt shot from 10 ft
7:23.0,Defensive rebound by J. Jerebko,,91-101,,
7:12.0,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas),2,93-101,,
6:49.0,,,93-101,,J. Wall misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by Team,,93-101,,
6:47.0,,,93-101,,M. Gortat enters the game for J. Smith
6:28.0,A. Horford misses 2-pt shot from 13 ft,,93-101,,
6:27.0,,,93-101,,Defensive rebound by M. Gortat
6:25.0,Personal block foul by J. Jerebko (drawn by J. Wall),,93-101,,
6:15.0,,,93-103,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
6:03.0,I. Thomas makes 2-pt shot from 13 ft,2,95-103,,
5:52.0,Personal foul by I. Thomas (drawn by B. Beal),,95-103,,
5:44.0,Personal foul by I. Thomas (drawn by B. Beal),,95-103,,
5:35.0,,,95-103,,K. Oubre misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by J. Crowder,,95-103,,
5:23.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,95-103,,
5:19.0,,,95-105,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:02.0,J. Jerebko makes 2-pt shot at rim (assist by M. Smart),2,97-105,,
4:40.0,,,97-107,2,B. Beal makes 2-pt shot from 9 ft
4:23.0,I. Thomas misses 2-pt shot from 4 ft,,97-107,,
4:21.0,,,97-107,,Defensive rebound by K. Oubre
4:14.0,,,97-107,,J. Wall misses 2-pt shot from 1 ft
4:12.0,,,97-107,,Offensive rebound by M. Gortat
4:11.0,,,97-107,,M. Gortat misses 2-pt shot from 2 ft
4:10.0,Defensive rebound by A. Horford,,97-107,,
4:03.0,J. Jerebko misses 3-pt shot from 23 ft,,97-107,,
4:02.0,,,97-107,,Defensive rebound by M. Gortat
3:58.0,,,97-109,2,B. Beal makes 2-pt shot from 5 ft
3:58.0,,,97-109,,Shooting foul by M. Smart (drawn by B. Beal)
3:58.0,,,97-110,1,B. Beal makes free throw 1 of 1
3:55.0,J. Brown enters the game for M. Smart,,97-110,,
3:55.0,,,97-110,,M. Morris enters the game for O. Porter
3:42.0,A. Horford makes 3-pt shot from 27 ft (assist by I. Thomas),3,100-110,,
3:23.0,,,100-112,2,B. Beal makes 2-pt shot from 21 ft
3:05.0,I. Thomas misses 2-pt shot from 20 ft,,100-112,,
3:04.0,,,100-112,,Defensive rebound by B. Beal
2:58.0,,,100-112,,J. Wall misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by J. Crowder,,100-112,,
2:49.0,Turnover by J. Crowder (bad pass; steal by B. Beal),,100-112,,
2:45.0,,,100-114,2,B. Beal makes 2-pt shot at rim
2:29.0,Turnover by J. Crowder (bad pass),,100-114,,
2:29.0,Official timeout,,100-114,,
2:29.0,K. Olynyk enters the game for A. Horford,,100-114,,
2:29.0,T. Rozier enters the game for I. Thomas,,100-114,,
2:11.0,,,100-114,,Turnover by J. Wall (bad pass; steal by T. Rozier)
2:02.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Brown),2,102-114,,
1:34.0,,,102-114,,B. Beal misses 3-pt shot from 25 ft
1:34.0,,,102-114,,Offensive rebound by M. Morris
1:34.0,,,102-116,2,M. Morris makes 2-pt shot from 1 ft
1:22.0,J. Brown makes 2-pt shot at rim (assist by T. Rozier),2,104-116,,
1:02.0,,,104-118,2,J. Wall makes 2-pt shot at rim
