time,Toronto,pts.away,score,pts.home,Milwaukee
5:48.0,,,8-17,2,K. Middleton makes 2-pt shot from 3 ft (assist by M. Brogdon)
5:35.0,K. Lowry makes 2-pt shot at rim,2,10-17,,
5:15.0,,,10-20,3,G. Antetokounmpo makes 3-pt shot from 28 ft
4:53.0,K. Lowry misses 2-pt shot from 2 ft (block by G. Monroe),,10-20,,
4:53.0,Offensive rebound by Team,,10-20,,
4:53.0,,,10-20,,M. Beasley enters the game for K. Middleton
4:53.0,,,10-20,,M. Dellavedova enters the game for M. Brogdon
4:48.0,Turnover by Team (shot clock),,10-20,,
4:28.0,,,10-20,,M. Beasley misses 2-pt shot from 3 ft (block by D. Carroll)
4:26.0,Defensive rebound by P. Tucker,,10-20,,
4:22.0,Turnover by D. DeRozan (bad pass),,10-20,,
4:22.0,C. Joseph enters the game for K. Lowry,,10-20,,
4:22.0,P. Patterson enters the game for D. Carroll,,10-20,,
3:58.0,,,10-22,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell)
3:33.0,C. Joseph misses 3-pt shot from 24 ft,,10-22,,
3:32.0,,,10-22,,Defensive rebound by T. Snell
3:12.0,,,10-24,2,M. Dellavedova makes 2-pt shot from 1 ft
2:49.0,C. Joseph misses 2-pt shot from 9 ft,,10-24,,
2:47.0,,,10-24,,Defensive rebound by G. Monroe
2:32.0,,,10-26,2,M. Dellavedova makes 2-pt shot from 23 ft (assist by G. Antetokounmpo)
2:31.0,Toronto full timeout,,10-26,,
2:31.0,,,10-26,,Milwaukee full timeout
2:09.0,S. Ibaka makes 2-pt shot at rim (assist by P. Tucker),2,12-26,,
1:45.0,Personal foul by C. Joseph (drawn by M. Dellavedova),,12-26,,
1:39.0,,,12-29,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by G. Monroe)
1:18.0,D. DeRozan misses 2-pt shot from 12 ft,,12-29,,
1:16.0,,,12-29,,Defensive rebound by G. Antetokounmpo
1:09.0,,,12-29,,T. Snell misses 2-pt shot at rim (block by S. Ibaka)
1:09.0,,,12-29,,Offensive rebound by Team
1:08.0,,,12-29,,Offensive foul by M. Dellavedova
1:08.0,,,12-29,,Turnover by M. Dellavedova (offensive foul)
0:57.0,Offensive foul by P. Tucker,,12-29,,
0:57.0,Turnover by P. Tucker (offensive foul),,12-29,,
0:37.0,,,12-32,3,M. Beasley makes 3-pt shot from 26 ft (assist by M. Dellavedova)
0:21.0,S. Ibaka misses 2-pt shot from 5 ft,,12-32,,
0:20.0,,,12-32,,Defensive rebound by G. Monroe
0:03.0,,,12-32,,Turnover by M. Dellavedova (traveling)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by K. Lowry (bad pass; steal by G. Monroe),,12-32,,
11:24.0,,,12-34,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
11:00.0,J. Valanciunas misses 2-pt shot from 16 ft,,12-34,,
10:59.0,,,12-34,,Defensive rebound by M. Beasley
10:44.0,,,12-34,,M. Beasley misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by K. Lowry,,12-34,,
10:36.0,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph),3,15-34,,
10:14.0,,,15-36,2,G. Monroe makes 2-pt shot at rim
10:07.0,Turnover by C. Joseph (step out of bounds),,15-36,,
9:43.0,,,15-36,,G. Monroe misses 2-pt shot from 12 ft
9:42.0,Defensive rebound by P. Tucker,,15-36,,
9:32.0,J. Valanciunas misses 2-pt shot at rim,,15-36,,
9:30.0,,,15-36,,Defensive rebound by G. Monroe
9:20.0,,,15-39,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by K. Middleton)
9:20.0,Toronto full timeout,,15-39,,
9:20.0,J. Poeltl enters the game for J. Valanciunas,,15-39,,
9:20.0,D. Wright enters the game for P. Tucker,,15-39,,
8:54.0,C. Joseph misses 3-pt shot from 24 ft,,15-39,,
8:53.0,Offensive rebound by J. Poeltl,,15-39,,
8:36.0,P. Patterson misses 2-pt shot from 11 ft,,15-39,,
8:35.0,,,15-39,,Defensive rebound by K. Middleton
8:29.0,Personal block foul by J. Poeltl (drawn by M. Beasley),,15-39,,
8:22.0,,,15-41,2,K. Middleton makes 2-pt shot from 14 ft
8:06.0,,,15-41,,Personal block foul by M. Beasley (drawn by K. Lowry)
7:52.0,K. Lowry misses 2-pt shot from 1 ft,,15-41,,
7:50.0,,,15-41,,Defensive rebound by G. Monroe
7:46.0,,,15-41,,J. Terry misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by J. Poeltl,,15-41,,
7:42.0,D. Wright makes 2-pt shot from 1 ft,2,17-41,,
7:42.0,Shooting foul by M. Beasley (drawn by D. Wright),,17-41,,
7:42.0,D. Wright misses free throw 1 of 1,,17-41,,
7:38.0,,,17-41,,Defensive rebound by G. Monroe
7:24.0,,,17-43,2,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton)
7:08.0,P. Patterson misses 2-pt shot from 6 ft,,17-43,,
7:08.0,,,17-43,,Defensive rebound by Team
6:49.0,,,17-46,3,M. Beasley makes 3-pt shot from 26 ft (assist by K. Middleton)
6:44.0,,,17-46,,Personal block foul by G. Monroe (drawn by K. Lowry)
6:44.0,,,17-46,,G. Antetokounmpo enters the game for M. Beasley
6:44.0,D. DeRozan enters the game for C. Joseph,,17-46,,
6:34.0,Turnover by D. Wright (lost ball; steal by G. Monroe),,17-46,,
6:19.0,,,17-48,2,G. Monroe makes 2-pt shot from 1 ft
6:11.0,Toronto full timeout,,17-48,,
6:11.0,S. Ibaka enters the game for J. Poeltl,,17-48,,
5:54.0,Shooting foul by K. Middleton (drawn by D. DeRozan),,17-48,,
5:54.0,D. DeRozan makes free throw 1 of 2,1,18-48,,
5:54.0,D. DeRozan makes free throw 2 of 2,1,19-48,,
5:37.0,,,19-48,,J. Terry misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by P. Patterson,,19-48,,
5:28.0,D. DeRozan misses 2-pt shot from 16 ft,,19-48,,
5:27.0,,,19-48,,Defensive rebound by J. Terry
5:15.0,,,19-50,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
5:00.0,Shooting foul by J. Terry (drawn by D. DeRozan),,19-50,,
5:00.0,D. DeRozan makes free throw 1 of 2,1,20-50,,
5:00.0,D. DeRozan makes free throw 2 of 2,1,21-50,,
5:00.0,,,20-50,,M. Brogdon enters the game for M. Dellavedova
5:00.0,,,20-50,,T. Snell enters the game for J. Terry
4:41.0,,,21-50,,Shooting foul by P. Patterson (drawn by G. Monroe)
4:41.0,,,21-51,1,G. Monroe makes free throw 1 of 2
4:41.0,,,21-52,1,G. Monroe makes free throw 2 of 2
4:41.0,P. Tucker enters the game for P. Patterson,,21-51,,
4:21.0,Turnover by D. DeRozan (bad pass; steal by G. Antetokounmpo),,21-52,,
4:19.0,Personal foul by K. Lowry (drawn by G. Antetokounmpo),,21-52,,
4:12.0,,,21-52,,M. Brogdon misses 2-pt shot from 1 ft
4:10.0,,,21-52,,Offensive rebound by G. Monroe
4:10.0,,,21-52,,G. Monroe misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by S. Ibaka,,21-52,,
4:07.0,,,21-52,,Personal block foul by G. Antetokounmpo (drawn by D. Wright)
4:07.0,D. Wright makes free throw 1 of 2,1,22-52,,
4:07.0,D. Wright makes free throw 2 of 2,1,23-52,,
3:47.0,,,23-52,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. Lowry)
3:44.0,Defensive rebound by K. Lowry,,23-52,,
3:42.0,Shooting foul by G. Monroe (drawn by D. DeRozan),,23-52,,
3:42.0,D. DeRozan makes free throw 1 of 2,1,24-52,,
3:42.0,D. DeRozan makes free throw 2 of 2,1,25-52,,
3:42.0,,,24-52,,T. Maker enters the game for G. Monroe
3:20.0,Personal foul by S. Ibaka (drawn by T. Maker),,25-52,,
3:20.0,,,25-53,1,T. Maker makes free throw 1 of 2
3:20.0,,,25-54,1,T. Maker makes free throw 2 of 2
2:57.0,D. DeRozan misses 3-pt shot from 27 ft,,25-54,,
2:56.0,,,25-54,,Defensive rebound by K. Middleton
2:34.0,,,25-54,,K. Middleton misses 2-pt shot from 8 ft
2:33.0,Defensive rebound by D. Wright,,25-54,,
2:19.0,S. Ibaka misses 3-pt shot from 27 ft,,25-54,,
2:18.0,,,25-54,,Defensive rebound by K. Middleton
2:03.0,,,25-56,2,M. Brogdon makes 2-pt shot from 1 ft
2:03.0,Violation by S. Ibaka (def goaltending),,25-56,,
2:03.0,Technical foul by S. Ibaka,,25-56,,
2:03.0,,,25-57,1,K. Middleton makes technical free throw
2:03.0,Official timeout,,25-57,,
1:50.0,Shooting foul by T. Snell (drawn by D. DeRozan),,25-57,,
1:50.0,D. DeRozan makes free throw 1 of 2,1,26-57,,
1:50.0,D. DeRozan makes free throw 2 of 2,1,27-57,,
1:33.0,,,27-57,,Turnover by M. Brogdon (bad pass)
1:23.0,Turnover by K. Lowry (dbl dribble),,27-57,,
0:59.0,,,27-57,,G. Antetokounmpo misses 2-pt shot from 15 ft
0:58.0,,,27-57,,Offensive rebound by M. Brogdon
0:41.0,,,27-57,,K. Middleton misses 2-pt shot from 17 ft
0:40.0,Defensive rebound by P. Tucker,,27-57,,
0:36.0,Turnover by S. Ibaka (offensive foul),,27-57,,
0:36.0,Offensive foul by S. Ibaka,,27-57,,
0:26.0,,,27-57,,Offensive foul by T. Maker
0:26.0,,,27-57,,Turnover by T. Maker (offensive foul)
0:02.0,D. Wright makes 3-pt shot from 27 ft,3,30-57,,
0:00.0,,,30-57,,K. Middleton misses 3-pt shot from 38 ft
0:00.0,,,30-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,30-57,,Personal foul by T. Snell (drawn by D. DeRozan)
11:39.0,Offensive foul by S. Ibaka,,30-57,,
11:39.0,Turnover by S. Ibaka (offensive foul),,30-57,,
11:22.0,,,30-59,2,K. Middleton makes 2-pt shot from 14 ft (assist by M. Brogdon)
11:10.0,C. Joseph misses 2-pt shot from 2 ft,,30-59,,
11:08.0,,,30-59,,Defensive rebound by T. Maker
10:47.0,,,30-59,,T. Maker misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by S. Ibaka,,30-59,,
10:34.0,D. DeRozan misses 2-pt shot from 1 ft,,30-59,,
10:30.0,Offensive rebound by C. Joseph,,30-59,,
10:27.0,D. Carroll makes 3-pt shot from 27 ft (assist by C. Joseph),3,33-59,,
10:06.0,,,33-62,3,T. Maker makes 3-pt shot from 26 ft (assist by M. Brogdon)
9:42.0,Turnover by D. DeRozan (lost ball),,33-62,,
9:34.0,Personal foul by D. DeRozan (drawn by K. Middleton),,33-62,,
9:27.0,,,33-62,,Turnover by G. Antetokounmpo (bad pass)
9:27.0,Jump ball: C. Joseph vs. T. Maker,,,,Jump ball: C. Joseph vs. T. Maker
9:13.0,K. Lowry makes 3-pt shot from 27 ft (assist by C. Joseph),3,36-62,,
8:50.0,,,36-65,3,T. Snell makes 3-pt shot from 25 ft (assist by M. Brogdon)
8:25.0,D. Carroll misses 3-pt shot from 26 ft,,36-65,,
8:25.0,,,36-65,,Defensive rebound by Team
8:04.0,,,36-65,,K. Middleton misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by K. Lowry,,36-65,,
7:54.0,,,36-65,,Personal foul by T. Snell (drawn by D. DeRozan)
7:54.0,Toronto full timeout,,36-65,,
7:54.0,,,36-65,,M. Dellavedova enters the game for T. Snell
7:47.0,K. Lowry makes 2-pt shot from 1 ft,2,38-65,,
7:26.0,,,38-65,,M. Brogdon misses 3-pt shot from 27 ft
7:25.0,Defensive rebound by D. Carroll,,38-65,,
7:09.0,Shooting foul by M. Brogdon (drawn by K. Lowry),,38-65,,
7:09.0,K. Lowry misses free throw 1 of 2,,38-65,,
7:09.0,Offensive rebound by Team,,38-65,,
7:09.0,K. Lowry makes free throw 2 of 2,1,39-65,,
6:52.0,,,39-65,,Turnover by M. Brogdon (bad pass; steal by D. Carroll)
6:43.0,C. Joseph makes 2-pt shot from 16 ft,2,41-65,,
6:24.0,,,41-67,2,M. Brogdon makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
6:13.0,D. DeRozan misses 3-pt shot from 23 ft,,41-67,,
6:12.0,,,41-67,,Defensive rebound by G. Antetokounmpo
6:09.0,Personal take foul by C. Joseph (drawn by G. Antetokounmpo),,41-67,,
5:53.0,,,41-67,,M. Brogdon misses 2-pt shot from 3 ft (block by D. Carroll)
5:53.0,,,41-67,,Offensive rebound by Team
5:47.0,,,41-69,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by M. Brogdon)
5:24.0,Turnover by C. Joseph (bad pass; steal by G. Antetokounmpo),,41-69,,
5:23.0,,,41-69,,Shooting foul by K. Lowry (drawn by T. Maker)
5:23.0,,,41-70,1,T. Maker makes free throw 1 of 2
5:23.0,,,41-71,1,T. Maker makes free throw 2 of 2
5:23.0,D. Wright enters the game for C. Joseph,,41-70,,
5:23.0,P. Patterson enters the game for D. Carroll,,41-70,,
5:05.0,D. DeRozan misses 2-pt shot from 1 ft,,41-71,,
5:03.0,,,41-71,,Defensive rebound by M. Brogdon
4:57.0,Personal foul by D. Wright (drawn by K. Middleton),,41-71,,
4:50.0,,,41-71,,Shooting foul by D. Wright (drawn by G. Antetokounmpo)
4:50.0,,,41-71,,G. Antetokounmpo misses free throw 1 of 2
4:50.0,,,41-71,,Offensive rebound by Team
4:50.0,,,41-71,,G. Antetokounmpo misses free throw 2 of 2
4:48.0,Defensive rebound by S. Ibaka,,41-71,,
4:34.0,S. Ibaka makes 2-pt shot from 18 ft,2,43-71,,
4:24.0,Personal block foul by K. Lowry (drawn by G. Antetokounmpo),,43-71,,
4:24.0,,,43-72,1,G. Antetokounmpo makes free throw 1 of 2
4:24.0,,,43-72,,G. Antetokounmpo misses free throw 2 of 2
4:24.0,,,43-72,,G. Monroe enters the game for T. Maker
4:24.0,J. Valanciunas enters the game for S. Ibaka,,43-72,,
4:22.0,Defensive rebound by D. DeRozan,,43-72,,
4:00.0,K. Lowry misses 2-pt shot from 1 ft,,43-72,,
3:58.0,,,43-72,,Defensive rebound by G. Antetokounmpo
3:49.0,,,43-72,,Shooting foul by J. Valanciunas (drawn by G. Antetokounmpo)
3:49.0,,,43-72,,G. Antetokounmpo misses free throw 1 of 2
3:49.0,,,43-72,,Offensive rebound by Team
3:49.0,,,43-72,,G. Antetokounmpo misses free throw 2 of 2
3:47.0,Defensive rebound by J. Valanciunas,,43-72,,
3:27.0,Shooting foul by G. Monroe (drawn by J. Valanciunas),,43-72,,
3:27.0,J. Valanciunas misses free throw 1 of 2,,43-72,,
3:27.0,Offensive rebound by Team,,43-72,,
3:27.0,J. Valanciunas makes free throw 2 of 2,1,44-72,,
3:16.0,Personal foul by D. DeRozan (drawn by K. Middleton),,44-72,,
3:16.0,,,44-73,1,K. Middleton makes free throw 1 of 2
3:16.0,,,44-74,1,K. Middleton makes free throw 2 of 2
2:55.0,K. Lowry misses 3-pt shot from 24 ft,,44-74,,
2:53.0,,,44-74,,Defensive rebound by G. Antetokounmpo
2:44.0,,,44-74,,Milwaukee full timeout
2:44.0,N. Powell enters the game for K. Lowry,,44-74,,
2:44.0,,,44-74,,J. Terry enters the game for K. Middleton
2:38.0,,,44-74,,J. Terry misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by J. Valanciunas,,44-74,,
2:15.0,N. Powell misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,44-74,,
2:11.0,Offensive rebound by Team,,44-74,,
2:11.0,P. Patterson misses 2-pt shot from 17 ft,,44-74,,
2:09.0,,,44-74,,Defensive rebound by J. Terry
1:54.0,,,44-74,,Shooting foul by J. Valanciunas (drawn by G. Monroe)
1:54.0,,,44-75,1,G. Monroe makes free throw 1 of 2
1:54.0,,,44-76,1,G. Monroe makes free throw 2 of 2
1:37.0,D. Wright misses 3-pt shot from 24 ft,,44-76,,
1:36.0,,,44-76,,Defensive rebound by G. Antetokounmpo
1:17.0,,,44-76,,G. Monroe misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by J. Valanciunas,,44-76,,
1:08.0,P. Patterson misses 3-pt shot from 24 ft,,44-76,,
1:07.0,Offensive rebound by J. Valanciunas,,44-76,,
1:07.0,J. Valanciunas misses 2-pt shot from 2 ft,,44-76,,
1:05.0,,,44-76,,Defensive rebound by G. Antetokounmpo
0:44.0,,,44-78,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
0:37.0,D. DeRozan misses 2-pt shot from 15 ft,,44-78,,
0:34.0,,,44-78,,Defensive rebound by G. Monroe
0:29.0,,,44-78,,J. Terry misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by N. Powell,,44-78,,
0:24.0,N. Powell makes 2-pt shot from 1 ft,2,46-78,,
0:01.0,,,46-78,,G. Monroe misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by D. Wright,,46-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,46-78,,K. Middleton misses 2-pt shot from 23 ft
11:34.0,Defensive rebound by J. Valanciunas,,46-78,,
11:25.0,Offensive foul by J. Valanciunas,,46-78,,
11:25.0,Turnover by J. Valanciunas (offensive foul),,46-78,,
11:13.0,,,46-78,,K. Middleton misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by P. Patterson,,46-78,,
11:07.0,,,46-78,,Personal foul by M. Beasley (drawn by N. Powell)
11:07.0,N. Powell makes free throw 1 of 2,1,47-78,,
11:07.0,N. Powell makes free throw 2 of 2,1,48-78,,
10:52.0,,,48-80,2,M. Beasley makes 2-pt shot at rim (assist by G. Monroe)
10:42.0,Shooting foul by G. Monroe (drawn by N. Powell),,48-80,,
10:42.0,N. Powell makes free throw 1 of 2,1,49-80,,
10:42.0,N. Powell makes free throw 2 of 2,1,50-80,,
10:29.0,,,50-80,,M. Dellavedova misses 2-pt shot from 7 ft
10:28.0,Defensive rebound by N. Powell,,50-80,,
10:22.0,N. Powell misses 2-pt shot from 3 ft,,50-80,,
10:20.0,Offensive rebound by D. Wright,,50-80,,
10:20.0,D. Wright misses 2-pt shot from 2 ft,,50-80,,
10:18.0,,,50-80,,Defensive rebound by M. Beasley
10:07.0,,,50-82,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
9:57.0,D. Wright makes 3-pt shot from 25 ft,3,53-82,,
9:41.0,,,53-82,,G. Monroe misses 2-pt shot from 8 ft
9:40.0,Defensive rebound by J. Valanciunas,,53-82,,
9:22.0,,,53-82,,Personal foul by G. Monroe (drawn by J. Valanciunas)
9:13.0,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson),3,56-82,,
8:52.0,Official timeout,,56-82,,
8:51.0,,,56-82,,Turnover by M. Beasley (lost ball; steal by P. Patterson)
8:51.0,Jump ball: M. Beasley vs. P. Patterson (J. Valanciunas gains possession),,,,Jump ball: M. Beasley vs. P. Patterson (J. Valanciunas gains possession)
8:37.0,Turnover by K. Lowry (bad pass; steal by K. Middleton),,56-82,,
8:32.0,,,56-84,2,K. Middleton makes 2-pt shot from 1 ft
8:26.0,,,56-84,,Violation by M. Beasley (def goaltending)
8:26.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by N. Powell),2,58-84,,
8:07.0,,,58-84,,Offensive charge foul by G. Monroe
8:07.0,,,58-84,,Turnover by G. Monroe (offensive foul)
8:07.0,,,58-84,,T. Maker enters the game for G. Monroe
7:49.0,J. Valanciunas makes 2-pt shot at rim (assist by D. Wright),2,60-84,,
7:49.0,Shooting foul by M. Beasley (drawn by J. Valanciunas),,60-84,,
7:49.0,J. Valanciunas makes free throw 1 of 1,1,61-84,,
7:49.0,,,60-84,,G. Antetokounmpo enters the game for M. Beasley
7:49.0,,,60-84,,T. Snell enters the game for J. Terry
7:29.0,,,61-86,2,T. Snell makes 2-pt shot from 1 ft (assist by K. Middleton)
7:16.0,J. Valanciunas misses 2-pt shot from 3 ft,,61-86,,
7:14.0,,,61-86,,Defensive rebound by M. Dellavedova
7:04.0,Personal foul by K. Lowry (drawn by M. Dellavedova),,61-86,,
6:57.0,,,61-89,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by T. Maker)
6:46.0,N. Powell makes 2-pt shot at rim,2,63-89,,
6:31.0,,,63-91,2,G. Antetokounmpo makes 2-pt shot at rim
6:19.0,Turnover by D. Wright (lost ball; steal by K. Middleton),,63-91,,
6:16.0,,,63-91,,Shooting foul by K. Lowry (drawn by G. Antetokounmpo)
6:16.0,,,63-92,1,G. Antetokounmpo makes free throw 1 of 2
6:16.0,,,63-93,1,G. Antetokounmpo makes free throw 2 of 2
6:16.0,F. VanVleet enters the game for K. Lowry,,63-92,,
6:16.0,J. Poeltl enters the game for P. Patterson,,63-92,,
5:56.0,J. Poeltl misses 2-pt shot from 6 ft,,63-93,,
5:56.0,Offensive rebound by Team,,63-93,,
5:56.0,,,63-93,,Loose ball foul by M. Dellavedova (drawn by J. Valanciunas)
5:56.0,,,63-93,,Milwaukee full timeout
5:56.0,J. Valanciunas misses free throw 1 of 2,,63-93,,
5:56.0,Offensive rebound by Team,,63-93,,
5:56.0,J. Valanciunas makes free throw 2 of 2,1,64-93,,
5:56.0,,,63-93,,R. Vaughn enters the game for K. Middleton
5:56.0,,,63-93,,M. Beasley enters the game for G. Antetokounmpo
5:40.0,,,64-95,2,M. Beasley makes 2-pt shot from 17 ft
5:20.0,J. Valanciunas misses 2-pt shot from 1 ft,,64-95,,
5:17.0,,,64-95,,Defensive rebound by M. Beasley
5:09.0,,,64-95,,T. Snell misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by J. Valanciunas,,64-95,,
4:59.0,F. VanVleet misses 3-pt shot from 24 ft,,64-95,,
4:58.0,Offensive rebound by J. Poeltl,,64-95,,
4:57.0,J. Poeltl makes 2-pt shot at rim,2,66-95,,
4:37.0,,,66-95,,Turnover by M. Beasley (bad pass; steal by N. Powell)
4:32.0,N. Powell misses 2-pt shot from 3 ft,,66-95,,
4:30.0,Offensive rebound by D. Wright,,66-95,,
4:30.0,D. Wright makes 2-pt shot from 1 ft,2,68-95,,
4:04.0,,,68-98,3,R. Vaughn makes 3-pt shot from 28 ft (assist by M. Dellavedova)
3:46.0,Turnover by J. Valanciunas (bad pass),,68-98,,
3:46.0,L. Nogueira enters the game for J. Valanciunas,,68-98,,
3:46.0,,,68-98,,S. Hawes enters the game for T. Maker
3:39.0,,,68-98,,Turnover by M. Dellavedova (traveling)
3:39.0,,,68-98,,J. Terry enters the game for T. Snell
3:24.0,,,68-98,,Personal foul by S. Hawes (drawn by J. Poeltl)
3:24.0,J. Poeltl misses free throw 1 of 2,,68-98,,
3:24.0,Offensive rebound by Team,,68-98,,
3:24.0,J. Poeltl misses free throw 2 of 2,,68-98,,
3:24.0,,,68-98,,M. Brogdon enters the game for M. Dellavedova
3:22.0,Offensive rebound by N. Powell,,68-98,,
3:16.0,N. Powell misses 3-pt shot from 26 ft,,68-98,,
3:16.0,,,68-98,,Defensive rebound by Team
3:07.0,Personal foul by J. Poeltl (drawn by S. Hawes),,68-98,,
3:00.0,,,68-98,,M. Beasley misses 2-pt shot from 8 ft
2:59.0,Defensive rebound by J. Poeltl,,68-98,,
2:49.0,J. Poeltl misses 2-pt shot from 2 ft,,68-98,,
2:48.0,Offensive rebound by J. Poeltl,,68-98,,
2:48.0,J. Poeltl misses 2-pt shot at rim,,68-98,,
2:46.0,,,68-98,,Defensive rebound by S. Hawes
2:39.0,,,68-98,,R. Vaughn misses 2-pt shot from 4 ft
2:37.0,Defensive rebound by D. Wright,,68-98,,
2:31.0,N. Powell makes 2-pt shot from 1 ft,2,70-98,,
2:06.0,,,70-101,3,M. Beasley makes 3-pt shot from 23 ft (assist by M. Brogdon)
