time,Chicago,pts.away,score,pts.home,Charlotte
7:53.0,,,9-10,,Personal foul by M. Williams (drawn by R. Rondo)
7:45.0,R. Rondo makes 3-pt shot from 26 ft (assist by J. Butler),3,12-10,,
7:31.0,,,12-10,,K. Walker misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by B. Portis,,12-10,,
7:24.0,D. Wade makes 2-pt shot from 17 ft (assist by R. Rondo),2,14-10,,
7:08.0,,,14-13,3,J. Lamb makes 3-pt shot from 24 ft (assist by K. Walker)
6:56.0,R. Rondo makes 3-pt shot from 23 ft (assist by D. Wade),3,17-13,,
6:42.0,,,17-15,2,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker)
6:32.0,J. Butler makes 3-pt shot from 24 ft (assist by R. Rondo),3,20-15,,
6:14.0,,,20-15,,Turnover by C. Zeller (bad pass; steal by D. Wade)
5:57.0,B. Portis misses 2-pt shot from 9 ft,,20-15,,
5:56.0,,,20-15,,Defensive rebound by M. Williams
5:47.0,,,20-15,,C. Zeller misses 2-pt shot from 8 ft
5:46.0,,,20-15,,Offensive rebound by M. Williams
5:42.0,,,20-17,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
5:28.0,R. Rondo misses 3-pt shot from 23 ft,,20-17,,
5:27.0,,,20-17,,Defensive rebound by M. Williams
5:19.0,,,20-19,2,J. Lamb makes 2-pt shot from 1 ft
5:19.0,Chicago full timeout,,20-19,,
5:19.0,D. Valentine enters the game for B. Portis,,20-19,,
5:19.0,N. Mirotic enters the game for D. Wade,,20-19,,
5:19.0,,,20-19,,F. Kaminsky enters the game for M. Williams
5:19.0,,,20-19,,M. Belinelli enters the game for J. Lamb
4:59.0,R. Lopez misses 2-pt shot from 11 ft,,20-19,,
4:58.0,,,20-19,,Defensive rebound by C. Zeller
4:48.0,,,20-21,2,K. Walker makes 2-pt shot from 17 ft
4:33.0,D. Valentine misses 3-pt shot from 26 ft,,20-21,,
4:32.0,,,20-21,,Defensive rebound by C. Zeller
4:23.0,,,20-21,,K. Walker misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by N. Mirotic,,20-21,,
3:59.0,N. Mirotic misses 3-pt shot from 26 ft,,20-21,,
3:57.0,Offensive rebound by D. Valentine,,20-21,,
3:51.0,N. Mirotic misses 3-pt shot from 26 ft,,20-21,,
3:50.0,,,20-21,,Defensive rebound by C. Zeller
3:40.0,,,20-21,,Shooting foul by D. Valentine (drawn by M. Kidd-Gilchrist)
3:40.0,,,20-22,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:40.0,,,20-23,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:40.0,C. Felicio enters the game for R. Lopez,,20-22,,
3:23.0,Turnover by R. Rondo (bad pass),,20-23,,
3:08.0,,,20-23,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by C. Felicio,,20-23,,
2:55.0,Shooting foul by C. Zeller (drawn by J. Butler),,20-23,,
2:55.0,,,20-23,,Charlotte full timeout
2:55.0,J. Butler makes free throw 1 of 2,1,21-23,,
2:55.0,J. Butler makes free throw 2 of 2,1,22-23,,
2:55.0,,,20-23,,T. Graham enters the game for M. Kidd-Gilchrist
2:55.0,,,20-23,,M. Williams enters the game for C. Zeller
2:37.0,,,22-23,,F. Kaminsky misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by N. Mirotic,,22-23,,
2:28.0,,,22-23,,Personal foul by K. Walker (drawn by R. Rondo)
2:28.0,,,22-23,,B. Roberts enters the game for K. Walker
2:17.0,J. Butler misses 2-pt shot from 11 ft,,22-23,,
2:15.0,Offensive rebound by C. Felicio,,22-23,,
2:11.0,R. Rondo makes 2-pt shot from 1 ft (assist by C. Felicio),2,24-23,,
1:49.0,,,24-23,,Shooting foul by C. Felicio (drawn by T. Graham)
1:49.0,,,24-23,,T. Graham misses free throw 1 of 2
1:49.0,,,24-23,,Offensive rebound by Team
1:49.0,,,24-24,1,T. Graham makes free throw 2 of 2
1:27.0,D. Valentine makes 3-pt shot from 24 ft (assist by J. Butler),3,27-24,,
1:10.0,,,27-24,,M. Belinelli misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by J. Butler,,27-24,,
1:00.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler),3,30-24,,
0:43.0,,,30-24,,F. Kaminsky misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by J. Butler,,30-24,,
0:31.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo),3,33-24,,
0:13.0,,,33-24,,M. Williams misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by C. Felicio,,33-24,,
0:00.0,D. Valentine makes 3-pt shot from 23 ft (assist by J. Butler),3,36-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,36-26,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by M. Belinelli)
11:25.0,D. Wade makes 2-pt shot from 16 ft,2,38-26,,
11:03.0,,,38-26,,M. Belinelli misses 2-pt shot from 20 ft
11:02.0,Defensive rebound by C. Felicio,,38-26,,
10:56.0,Turnover by C. Felicio (lost ball),,38-26,,
10:41.0,Def 3 sec tech foul by C. Felicio,,38-26,,
10:41.0,,,38-27,1,M. Belinelli makes technical free throw
10:35.0,,,38-27,,M. Belinelli misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by N. Mirotic,,38-27,,
10:22.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Wade),3,41-27,,
10:03.0,,,41-27,,B. Roberts misses 2-pt shot from 20 ft
10:02.0,,,41-27,,Offensive rebound by M. Williams
10:01.0,Personal foul by C. Felicio (drawn by M. Belinelli),,41-27,,
9:49.0,,,41-29,2,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Roberts)
9:41.0,N. Mirotic makes 3-pt shot from 27 ft (assist by D. Valentine),3,44-29,,
9:41.0,,,44-29,,Charlotte full timeout
9:41.0,,,44-29,,M. Kidd-Gilchrist enters the game for T. Graham
9:41.0,,,44-29,,K. Walker enters the game for B. Roberts
9:23.0,,,44-29,,K. Walker misses 3-pt shot from 25 ft
9:22.0,,,44-29,,Offensive rebound by M. Williams
9:22.0,,,44-29,,Shooting foul by C. Felicio (drawn by M. Williams)
9:22.0,,,44-30,1,M. Williams makes free throw 1 of 2
9:22.0,,,44-31,1,M. Williams makes free throw 2 of 2
9:22.0,J. Lauvergne enters the game for C. Felicio,,44-30,,
9:07.0,N. Mirotic misses 3-pt shot from 23 ft,,44-31,,
9:06.0,,,44-31,,Defensive rebound by M. Belinelli
9:02.0,,,44-31,,M. Williams misses 2-pt shot from 1 ft (block by D. Wade)
9:02.0,Defensive rebound by Team,,44-31,,
9:02.0,,,44-31,,J. Lamb enters the game for M. Belinelli
8:47.0,D. Wade misses 2-pt shot from 19 ft,,44-31,,
8:46.0,,,44-31,,Defensive rebound by M. Williams
8:37.0,,,44-33,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
8:19.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Lauvergne),,44-33,,
8:19.0,J. Lauvergne makes free throw 1 of 2,1,45-33,,
8:19.0,J. Lauvergne misses free throw 2 of 2,,45-33,,
8:19.0,,,45-33,,C. Zeller enters the game for M. Williams
8:18.0,,,45-33,,Defensive rebound by M. Kidd-Gilchrist
8:06.0,,,45-35,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
7:50.0,N. Mirotic misses 3-pt shot from 23 ft,,45-35,,
7:49.0,,,45-35,,Defensive rebound by K. Walker
7:43.0,,,45-35,,K. Walker misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by N. Mirotic,,45-35,,
7:43.0,,,45-35,,Personal foul by M. Kidd-Gilchrist (drawn by N. Mirotic)
7:31.0,D. Wade misses 2-pt shot from 19 ft,,45-35,,
7:29.0,Offensive rebound by D. Valentine,,45-35,,
7:25.0,C. Payne misses 3-pt shot from 25 ft,,45-35,,
7:24.0,,,45-35,,Defensive rebound by M. Kidd-Gilchrist
7:15.0,,,45-35,,Turnover by J. Lamb (bad pass; steal by C. Payne)
7:09.0,C. Payne misses 2-pt shot from 1 ft,,45-35,,
7:07.0,Offensive rebound by J. Lauvergne,,45-35,,
7:05.0,J. Lauvergne misses 2-pt shot from 1 ft (block by C. Zeller),,45-35,,
7:05.0,,,45-35,,Defensive rebound by Team
6:45.0,,,45-35,,Shooting foul by N. Mirotic (drawn by M. Kidd-Gilchrist)
6:45.0,,,45-35,,M. Kidd-Gilchrist misses free throw 1 of 2
6:45.0,,,45-35,,Offensive rebound by Team
6:45.0,,,45-36,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:45.0,R. Lopez enters the game for J. Lauvergne,,45-35,,
6:45.0,J. Butler enters the game for C. Payne,,45-35,,
6:24.0,R. Lopez misses 2-pt shot from 6 ft,,45-36,,
6:23.0,Offensive rebound by N. Mirotic,,45-36,,
6:23.0,N. Mirotic misses 2-pt shot from 1 ft,,45-36,,
6:21.0,,,45-36,,Defensive rebound by J. Lamb
6:14.0,,,45-36,,J. Lamb misses 2-pt shot from 2 ft
6:12.0,,,45-36,,Offensive rebound by J. Lamb
6:12.0,,,45-36,,J. Lamb misses 2-pt shot at rim
6:11.0,,,45-36,,Offensive rebound by J. Lamb
6:09.0,,,45-38,2,J. Lamb makes 2-pt shot from 10 ft
6:09.0,Chicago full timeout,,45-38,,
6:09.0,R. Rondo enters the game for D. Wade,,45-38,,
5:52.0,D. Valentine makes 3-pt shot from 25 ft (assist by R. Rondo),3,48-38,,
5:31.0,,,48-40,2,J. Lamb makes 2-pt shot from 7 ft (assist by K. Walker)
5:15.0,N. Mirotic misses 3-pt shot from 27 ft,,48-40,,
5:14.0,,,48-40,,Defensive rebound by Team
5:14.0,,,48-40,,M. Williams enters the game for F. Kaminsky
5:14.0,B. Portis enters the game for N. Mirotic,,48-40,,
4:58.0,,,48-40,,M. Williams misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by D. Valentine,,48-40,,
4:52.0,D. Valentine misses 3-pt shot from 25 ft,,48-40,,
4:49.0,,,48-40,,Defensive rebound by M. Williams
4:43.0,,,48-40,,K. Walker misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by B. Portis,,48-40,,
4:31.0,Turnover by D. Valentine (bad pass; steal by J. Lamb),,48-40,,
4:23.0,,,48-40,,J. Lamb misses 3-pt shot from 24 ft
4:22.0,,,48-40,,Offensive rebound by M. Williams
4:04.0,,,48-40,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft
4:03.0,Defensive rebound by B. Portis,,48-40,,
3:59.0,J. Butler misses 2-pt shot from 1 ft,,48-40,,
3:59.0,Offensive rebound by Team,,48-40,,
3:59.0,D. Wade enters the game for D. Valentine,,48-40,,
3:59.0,,,48-40,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:58.0,,,48-40,,Personal foul by J. Lamb (drawn by J. Butler)
3:47.0,J. Butler misses 2-pt shot from 17 ft,,48-40,,
3:45.0,,,48-40,,Defensive rebound by M. Williams
3:32.0,,,48-40,,M. Belinelli misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by B. Portis,,48-40,,
3:23.0,Shooting foul by J. Lamb (drawn by D. Wade),,48-40,,
3:23.0,D. Wade makes free throw 1 of 2,1,49-40,,
3:23.0,D. Wade makes free throw 2 of 2,1,50-40,,
3:23.0,,,49-40,,T. Graham enters the game for J. Lamb
3:06.0,,,50-40,,T. Graham misses 3-pt shot from 23 ft
3:05.0,Defensive rebound by R. Rondo,,50-40,,
3:02.0,J. Butler makes 2-pt shot at rim (assist by B. Portis),2,52-40,,
3:02.0,,,52-40,,Charlotte full timeout
2:50.0,,,52-40,,K. Walker misses 2-pt shot from 15 ft
2:49.0,Defensive rebound by R. Rondo,,52-40,,
2:43.0,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-40,,
2:21.0,Personal foul by R. Rondo (drawn by M. Williams),,54-40,,
2:13.0,,,54-40,,K. Walker misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by Team,,54-40,,
1:51.0,D. Wade misses 3-pt shot from 25 ft,,54-40,,
1:50.0,,,54-40,,Defensive rebound by M. Williams
1:39.0,,,54-40,,M. Williams misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by R. Lopez,,54-40,,
1:29.0,R. Lopez misses 2-pt shot from 3 ft (block by M. Williams),,54-40,,
1:27.0,Offensive rebound by R. Rondo,,54-40,,
1:23.0,R. Rondo misses 2-pt shot from 3 ft,,54-40,,
1:22.0,,,54-40,,Defensive rebound by M. Williams
1:18.0,,,54-40,,Turnover by K. Walker (bad pass; steal by D. Wade)
1:13.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Wade),2,56-40,,
0:57.0,,,56-42,2,K. Walker makes 2-pt shot from 13 ft
0:41.0,Turnover by R. Rondo (bad pass; steal by C. Zeller),,56-42,,
0:35.0,,,56-45,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Belinelli)
0:35.0,Chicago full timeout,,56-45,,
0:35.0,D. Valentine enters the game for R. Rondo,,56-45,,
0:26.0,R. Lopez makes 2-pt shot from 8 ft (assist by J. Butler),2,58-45,,
0:05.0,,,58-48,3,K. Walker makes 3-pt shot from 25 ft
0:00.0,J. Butler misses 3-pt shot from 35 ft,,58-48,,
0:00.0,Offensive rebound by Team,,58-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,58-48,,C. Zeller misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by R. Rondo,,58-48,,
11:37.0,D. Wade misses 2-pt shot from 18 ft,,58-48,,
11:35.0,,,58-48,,Defensive rebound by M. Williams
11:22.0,,,58-50,2,C. Zeller makes 2-pt shot from 17 ft (assist by M. Williams)
10:58.0,R. Rondo makes 2-pt shot from 2 ft (assist by D. Wade),2,60-50,,
10:42.0,,,60-50,,K. Walker misses 2-pt shot from 17 ft
10:41.0,,,60-50,,Offensive rebound by M. Kidd-Gilchrist
10:38.0,,,60-52,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
10:21.0,R. Rondo misses 3-pt shot from 25 ft,,60-52,,
10:19.0,,,60-52,,Defensive rebound by M. Williams
10:13.0,,,60-54,2,M. Kidd-Gilchrist makes 2-pt shot at rim
10:04.0,B. Portis misses 2-pt shot from 14 ft,,60-54,,
10:03.0,,,60-54,,Defensive rebound by M. Williams
9:52.0,,,60-54,,Shooting foul by D. Wade (drawn by J. Lamb)
9:52.0,,,60-55,1,J. Lamb makes free throw 1 of 2
9:52.0,,,60-55,,J. Lamb misses free throw 2 of 2
9:50.0,Defensive rebound by R. Lopez,,60-55,,
9:37.0,J. Butler misses 3-pt shot from 25 ft,,60-55,,
9:36.0,Offensive rebound by R. Rondo,,60-55,,
9:32.0,D. Wade misses 3-pt shot from 24 ft,,60-55,,
9:31.0,,,60-55,,Defensive rebound by C. Zeller
9:18.0,,,60-57,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by J. Lamb)
9:18.0,Chicago full timeout,,60-57,,
9:00.0,B. Portis misses 2-pt shot from 3 ft (block by C. Zeller),,60-57,,
8:57.0,Offensive rebound by R. Rondo,,60-57,,
8:52.0,R. Rondo misses 2-pt shot from 10 ft,,60-57,,
8:51.0,,,60-57,,Defensive rebound by J. Lamb
8:45.0,,,60-57,,Turnover by J. Lamb (bad pass; steal by J. Butler)
8:42.0,Turnover by J. Butler (lost ball; steal by J. Lamb),,60-57,,
8:29.0,,,60-59,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker)
8:13.0,Shooting foul by M. Williams (drawn by D. Wade),,60-59,,
8:13.0,D. Wade makes free throw 1 of 2,1,61-59,,
8:13.0,D. Wade makes free throw 2 of 2,1,62-59,,
7:53.0,,,62-59,,Shooting foul by D. Wade (drawn by J. Lamb)
7:53.0,,,62-60,1,J. Lamb makes free throw 1 of 2
7:53.0,,,62-61,1,J. Lamb makes free throw 2 of 2
7:35.0,J. Butler makes 2-pt shot from 8 ft,2,64-61,,
7:21.0,,,64-61,,K. Walker misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by B. Portis,,64-61,,
7:16.0,Shooting foul by C. Zeller (drawn by D. Wade),,64-61,,
7:16.0,D. Wade makes free throw 1 of 2,1,65-61,,
7:16.0,D. Wade makes free throw 2 of 2,1,66-61,,
7:16.0,,,65-61,,M. Belinelli enters the game for J. Lamb
7:05.0,,,66-63,2,C. Zeller makes 2-pt shot from 5 ft (assist by K. Walker)
6:39.0,R. Rondo misses 3-pt shot from 25 ft,,66-63,,
6:36.0,,,66-63,,Defensive rebound by K. Walker
6:29.0,,,66-65,2,M. Williams makes 2-pt shot at rim (assist by K. Walker)
6:24.0,Chicago full timeout,,66-65,,
6:24.0,D. Valentine enters the game for D. Wade,,66-65,,
6:06.0,B. Portis makes 3-pt shot from 24 ft (assist by R. Lopez),3,69-65,,
5:54.0,,,69-65,,Shooting foul by R. Lopez (drawn by C. Zeller)
5:54.0,,,69-66,1,C. Zeller makes free throw 1 of 2
5:54.0,,,69-67,1,C. Zeller makes free throw 2 of 2
5:54.0,,,69-66,,F. Kaminsky enters the game for M. Williams
5:34.0,B. Portis misses 3-pt shot from 25 ft,,69-67,,
5:32.0,,,69-67,,Defensive rebound by C. Zeller
5:20.0,,,69-69,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
4:50.0,D. Valentine misses 3-pt shot from 25 ft,,69-69,,
4:49.0,,,69-69,,Defensive rebound by M. Kidd-Gilchrist
4:36.0,Personal foul by D. Valentine (drawn by M. Belinelli),,69-69,,
4:36.0,N. Mirotic enters the game for B. Portis,,69-69,,
4:30.0,,,69-69,,K. Walker misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by N. Mirotic,,69-69,,
4:22.0,,,69-69,,Personal foul by C. Zeller (drawn by R. Rondo)
4:22.0,,,69-69,,M. Williams enters the game for C. Zeller
4:06.0,J. Butler makes 2-pt shot at rim (assist by D. Valentine),2,71-69,,
3:55.0,,,71-69,,M. Williams misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by J. Butler,,71-69,,
3:45.0,R. Lopez makes 2-pt shot at rim (assist by R. Rondo),2,73-69,,
3:39.0,,,73-69,,Charlotte full timeout
3:39.0,C. Felicio enters the game for R. Lopez,,73-69,,
3:27.0,,,73-71,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Belinelli)
3:11.0,D. Valentine misses 3-pt shot from 25 ft,,73-71,,
3:09.0,,,73-71,,Defensive rebound by M. Williams
2:54.0,,,73-71,,M. Williams misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by D. Valentine,,73-71,,
2:45.0,C. Felicio makes 2-pt shot at rim (assist by J. Butler),2,75-71,,
2:30.0,,,75-71,,F. Kaminsky misses 2-pt shot at rim
2:29.0,Defensive rebound by C. Felicio,,75-71,,
2:24.0,R. Rondo misses 2-pt shot from 2 ft,,75-71,,
2:23.0,Offensive rebound by N. Mirotic,,75-71,,
2:23.0,Shooting foul by M. Kidd-Gilchrist (drawn by N. Mirotic),,75-71,,
2:23.0,N. Mirotic makes free throw 1 of 2,1,76-71,,
2:23.0,N. Mirotic makes free throw 2 of 2,1,77-71,,
2:23.0,,,76-71,,B. Weber enters the game for K. Walker
2:11.0,,,77-73,2,M. Belinelli makes 2-pt shot from 18 ft (assist by F. Kaminsky)
1:42.0,R. Rondo makes 2-pt shot from 2 ft,2,79-73,,
1:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Rondo),,79-73,,
1:42.0,R. Rondo makes free throw 1 of 1,1,80-73,,
1:42.0,,,79-73,,J. Lamb enters the game for M. Kidd-Gilchrist
1:32.0,Personal foul by D. Valentine (drawn by M. Belinelli),,80-73,,
1:32.0,,,80-74,1,M. Belinelli makes free throw 1 of 2
1:32.0,,,80-75,1,M. Belinelli makes free throw 2 of 2
1:32.0,C. Payne enters the game for R. Rondo,,80-74,,
1:07.0,N. Mirotic makes 2-pt shot from 22 ft,2,82-75,,
0:49.0,,,82-75,,M. Belinelli misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by C. Payne,,82-75,,
0:38.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Butler),2,84-75,,
0:38.0,Shooting foul by J. Lamb (drawn by N. Mirotic),,84-75,,
0:38.0,N. Mirotic makes free throw 1 of 1,1,85-75,,
0:28.0,,,85-75,,Turnover by J. Lamb (lost ball; steal by J. Butler)
0:25.0,J. Butler makes 2-pt shot at rim,2,87-75,,
0:06.0,,,87-77,2,B. Weber makes 2-pt shot from 7 ft
0:00.0,C. Payne misses 3-pt shot from 27 ft,,87-77,,
0:00.0,Offensive rebound by Team,,87-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,N. Mirotic misses 3-pt shot from 25 ft,,87-77,,
11:45.0,,,87-77,,Defensive rebound by F. Kaminsky
11:26.0,,,87-77,,J. Lamb misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by C. Felicio,,87-77,,
11:21.0,Turnover by D. Wade (lost ball; steal by B. Weber),,87-77,,
11:08.0,,,87-79,2,B. Weber makes 2-pt shot from 7 ft
10:56.0,D. Wade makes 2-pt shot from 2 ft (assist by C. Payne),2,89-79,,
10:33.0,,,89-79,,F. Kaminsky misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by C. Felicio,,89-79,,
10:19.0,D. Valentine misses 3-pt shot from 23 ft,,89-79,,
10:18.0,,,89-79,,Defensive rebound by B. Weber
10:06.0,Personal foul by C. Payne (drawn by M. Williams),,89-79,,
10:06.0,,,89-79,,M. Kidd-Gilchrist enters the game for M. Belinelli
9:52.0,,,89-79,,F. Kaminsky misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by C. Payne,,89-79,,
9:37.0,D. Wade makes 2-pt shot from 9 ft,2,91-79,,
9:18.0,,,91-81,2,J. Lamb makes 2-pt shot at rim
8:58.0,C. Payne misses 3-pt shot from 25 ft,,91-81,,
8:58.0,Offensive rebound by Team,,91-81,,
8:58.0,,,91-81,,Personal foul by F. Kaminsky (drawn by C. Felicio)
8:58.0,Official timeout,,91-81,,
8:58.0,,,91-81,,K. Walker enters the game for M. Williams
8:58.0,,,91-81,,C. Zeller enters the game for B. Weber
8:51.0,D. Wade makes 2-pt shot at rim,2,93-81,,
8:34.0,,,93-83,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
8:19.0,C. Payne misses 3-pt shot from 25 ft,,93-83,,
8:17.0,,,93-83,,Defensive rebound by K. Walker
8:07.0,,,93-83,,C. Zeller misses 2-pt shot from 8 ft (block by C. Felicio)
8:06.0,Defensive rebound by N. Mirotic,,93-83,,
8:01.0,C. Payne misses 2-pt shot from 21 ft,,93-83,,
7:57.0,,,93-83,,Defensive rebound by M. Kidd-Gilchrist
7:54.0,Personal foul by N. Mirotic (drawn by J. Lamb),,93-83,,
7:54.0,R. Lopez enters the game for C. Felicio,,93-83,,
7:54.0,R. Rondo enters the game for C. Payne,,93-83,,
7:41.0,,,93-85,2,K. Walker makes 2-pt shot from 1 ft
7:39.0,Offensive foul by R. Lopez,,93-85,,
7:39.0,Turnover by R. Lopez (offensive foul),,93-85,,
7:37.0,J. Butler enters the game for D. Valentine,,93-85,,
7:28.0,,,93-88,3,K. Walker makes 3-pt shot from 25 ft
7:27.0,Chicago full timeout,,93-88,,
7:15.0,D. Wade misses 2-pt shot from 16 ft,,93-88,,
7:14.0,,,93-88,,Defensive rebound by F. Kaminsky
7:01.0,,,93-88,,C. Zeller misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by R. Rondo,,93-88,,
6:54.0,Offensive charge foul by N. Mirotic,,93-88,,
6:54.0,Turnover by N. Mirotic (offensive foul),,93-88,,
6:36.0,,,93-88,,K. Walker misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by N. Mirotic,,93-88,,
6:24.0,D. Wade makes 2-pt shot from 10 ft (assist by R. Lopez),2,95-88,,
6:08.0,,,95-88,,K. Walker misses 2-pt shot from 2 ft (block by R. Lopez)
6:08.0,,,95-88,,Offensive rebound by C. Zeller
6:08.0,,,95-90,2,C. Zeller makes 2-pt shot from 1 ft
6:08.0,,,95-90,,Shooting foul by R. Rondo (drawn by C. Zeller)
6:08.0,,,95-91,1,C. Zeller makes free throw 1 of 1
6:08.0,,,95-90,,M. Williams enters the game for F. Kaminsky
5:45.0,J. Butler misses 2-pt shot from 16 ft,,95-91,,
5:44.0,,,95-91,,Defensive rebound by M. Williams
5:30.0,,,95-91,,K. Walker misses 2-pt shot from 1 ft (block by J. Butler)
5:28.0,Defensive rebound by D. Wade,,95-91,,
5:23.0,D. Wade misses 2-pt shot from 1 ft,,95-91,,
5:20.0,Offensive rebound by N. Mirotic,,95-91,,
5:20.0,N. Mirotic makes 2-pt shot from 1 ft,2,97-91,,
4:59.0,,,97-94,3,J. Lamb makes 3-pt shot from 25 ft (assist by M. Williams)
4:43.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,100-94,,
4:35.0,,,100-94,,Charlotte full timeout
4:35.0,D. Valentine enters the game for D. Wade,,100-94,,
4:19.0,,,100-94,,J. Lamb misses 3-pt shot from 25 ft
4:17.0,,,100-94,,Offensive rebound by M. Williams
4:17.0,,,100-96,2,M. Williams makes 2-pt shot from 1 ft
3:58.0,R. Rondo makes 2-pt shot from 1 ft,2,102-96,,
