time,Portland,pts.away,score,pts.home,San Antonio
4:53.0,,,67-66,2,M. Ginobili makes 2-pt shot from 9 ft
4:41.0,M. Plumlee misses 2-pt shot from 1 ft,,67-66,,
4:38.0,,,67-66,,Defensive rebound by J. Simmons
4:24.0,,,67-66,,P. Gasol misses 2-pt shot from 8 ft
4:24.0,Defensive rebound by Team,,67-66,,
4:24.0,,,67-66,,D. Lee enters the game for L. Aldridge
4:10.0,A. Aminu misses 3-pt shot from 25 ft,,67-66,,
4:09.0,,,67-66,,Defensive rebound by P. Gasol
3:54.0,,,67-66,,J. Simmons misses 2-pt shot from 3 ft
3:51.0,,,67-66,,Offensive rebound by M. Ginobili
3:49.0,,,67-69,3,M. Ginobili makes 3-pt shot from 27 ft
3:49.0,Portland full timeout,,67-69,,
3:49.0,E. Davis enters the game for M. Plumlee,,67-69,,
3:37.0,Offensive foul by E. Davis,,67-69,,
3:37.0,Turnover by E. Davis (offensive foul),,67-69,,
3:25.0,,,67-72,3,J. Simmons makes 3-pt shot from 26 ft (assist by P. Gasol)
3:04.0,S. Napier misses 2-pt shot from 18 ft,,67-72,,
3:03.0,,,67-72,,Defensive rebound by M. Ginobili
3:01.0,,,67-72,,Shooting foul by E. Turner (drawn by M. Ginobili)
3:01.0,,,67-73,1,M. Ginobili makes free throw 1 of 2
3:01.0,,,67-74,1,M. Ginobili makes free throw 2 of 2
3:01.0,M. Leonard enters the game for A. Aminu,,67-73,,
2:41.0,C. McCollum makes 2-pt shot from 7 ft,2,69-74,,
2:23.0,,,69-76,2,P. Mills makes 2-pt shot from 19 ft (assist by P. Gasol)
2:10.0,C. McCollum makes 2-pt shot from 1 ft,2,71-76,,
2:00.0,,,71-76,,Turnover by D. Lee (bad pass)
2:00.0,,,71-76,,L. Aldridge enters the game for P. Gasol
1:52.0,C. McCollum makes 2-pt shot from 19 ft,2,73-76,,
1:27.0,,,73-78,2,P. Mills makes 2-pt shot from 16 ft (assist by L. Aldridge)
1:11.0,C. McCollum misses 2-pt shot from 17 ft,,73-78,,
1:10.0,,,73-78,,Defensive rebound by M. Ginobili
1:03.0,,,73-78,,M. Ginobili misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by E. Davis,,73-78,,
0:59.0,,,73-78,,Personal foul by P. Mills
0:59.0,A. Crabbe enters the game for C. McCollum,,73-78,,
0:50.0,S. Napier misses 3-pt shot from 27 ft,,73-78,,
0:48.0,,,73-78,,Defensive rebound by P. Mills
0:28.0,,,73-80,2,D. Lee makes 2-pt shot from 9 ft (assist by M. Ginobili)
0:09.0,E. Turner misses 2-pt shot from 9 ft,,73-80,,
0:08.0,,,73-80,,Defensive rebound by M. Ginobili
0:00.0,,,73-80,,P. Mills misses 2-pt shot from 24 ft
0:00.0,,,73-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,73-82,2,L. Aldridge makes 2-pt shot from 13 ft (assist by P. Mills)
11:33.0,Turnover by A. Crabbe (bad pass; steal by D. Lee),,73-82,,
11:30.0,,,73-82,,Shooting foul by M. Leonard (drawn by J. Simmons)
11:30.0,,,73-82,,J. Simmons misses free throw 1 of 2
11:30.0,,,73-82,,Offensive rebound by Team
11:30.0,,,73-83,1,J. Simmons makes free throw 2 of 2
11:17.0,S. Napier misses 3-pt shot from 26 ft,,73-83,,
11:15.0,,,73-83,,Defensive rebound by D. Lee
11:04.0,,,73-83,,Shooting foul by E. Davis (drawn by L. Aldridge)
11:04.0,,,73-84,1,L. Aldridge makes free throw 1 of 2
11:04.0,,,73-85,1,L. Aldridge makes free throw 2 of 2
11:04.0,C. McCollum enters the game for S. Napier,,73-84,,
11:04.0,A. Aminu enters the game for M. Leonard,,73-84,,
10:46.0,E. Turner makes 2-pt shot from 2 ft,2,75-85,,
10:26.0,,,75-88,3,J. Simmons makes 3-pt shot from 23 ft (assist by P. Mills)
10:11.0,Turnover by C. McCollum (bad pass; steal by P. Mills),,75-88,,
10:07.0,Personal foul by A. Aminu (drawn by J. Simmons),,75-88,,
10:07.0,,,75-88,,K. Anderson enters the game for D. Lee
10:07.0,M. Plumlee enters the game for E. Davis,,75-88,,
9:56.0,,,75-88,,K. Anderson misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by E. Turner,,75-88,,
9:51.0,,,75-88,,Personal foul by J. Simmons (drawn by E. Turner)
9:46.0,C. McCollum makes 2-pt shot from 11 ft (assist by M. Plumlee),2,77-88,,
9:45.0,,,77-88,,San Antonio full timeout
9:26.0,,,77-90,2,J. Simmons makes 2-pt shot from 17 ft
9:07.0,E. Turner misses 2-pt shot from 3 ft (block by J. Simmons),,77-90,,
9:06.0,,,77-90,,Defensive rebound by K. Anderson
8:46.0,,,77-93,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
8:46.0,Portland full timeout,,77-93,,
8:46.0,M. Harkless enters the game for E. Turner,,77-93,,
8:46.0,,,77-93,,T. Parker enters the game for P. Mills
8:43.0,,,77-93,,Personal foul by L. Aldridge (drawn by M. Plumlee)
8:35.0,A. Crabbe misses 2-pt shot from 21 ft,,77-93,,
8:34.0,,,77-93,,Defensive rebound by K. Anderson
8:15.0,,,77-93,,D. Green misses 2-pt shot from 9 ft
8:14.0,Defensive rebound by A. Aminu,,77-93,,
8:03.0,C. McCollum misses 2-pt shot from 16 ft (block by D. Green),,77-93,,
8:03.0,Offensive rebound by Team,,77-93,,
7:56.0,A. Aminu misses 2-pt shot from 4 ft,,77-93,,
7:55.0,,,77-93,,Defensive rebound by K. Anderson
7:35.0,,,77-93,,Turnover by D. Green (bad pass; steal by M. Harkless)
7:28.0,Shooting foul by J. Simmons (drawn by M. Plumlee),,77-93,,
7:28.0,M. Plumlee makes free throw 1 of 2,1,78-93,,
7:28.0,M. Plumlee makes free throw 2 of 2,1,79-93,,
7:10.0,,,79-95,2,K. Anderson makes 2-pt shot at rim (assist by T. Parker)
6:59.0,C. McCollum misses 2-pt shot from 7 ft,,79-95,,
6:58.0,,,79-95,,Defensive rebound by D. Green
6:48.0,,,79-97,2,T. Parker makes 2-pt shot from 2 ft
6:35.0,A. Aminu misses 2-pt shot from 4 ft (block by K. Anderson),,79-97,,
6:35.0,Offensive rebound by Team,,79-97,,
6:35.0,,,79-97,,M. Ginobili enters the game for J. Simmons
6:35.0,E. Turner enters the game for M. Plumlee,,79-97,,
6:35.0,Jump ball: A. Aminu vs. K. Anderson (A. Crabbe gains possession),,,,Jump ball: A. Aminu vs. K. Anderson (A. Crabbe gains possession)
6:25.0,E. Turner makes 2-pt shot from 16 ft,2,81-97,,
6:10.0,,,81-97,,T. Parker misses 2-pt shot from 6 ft
6:09.0,Defensive rebound by A. Aminu,,81-97,,
5:55.0,A. Crabbe makes 3-pt shot from 26 ft (assist by A. Aminu),3,84-97,,
5:38.0,,,84-97,,Shooting foul by A. Aminu (drawn by L. Aldridge)
5:38.0,,,84-98,1,L. Aldridge makes free throw 1 of 2
5:38.0,,,84-99,1,L. Aldridge makes free throw 2 of 2
5:26.0,C. McCollum misses 3-pt shot from 26 ft,,84-99,,
5:24.0,,,84-99,,Defensive rebound by K. Anderson
5:06.0,,,84-102,3,T. Parker makes 3-pt shot from 24 ft (assist by D. Green)
4:48.0,A. Aminu misses 3-pt shot from 25 ft,,84-102,,
4:47.0,,,84-102,,Defensive rebound by M. Ginobili
4:37.0,,,84-104,2,T. Parker makes 2-pt shot from 19 ft (assist by M. Ginobili)
4:15.0,Shooting foul by M. Ginobili (drawn by E. Turner),,84-104,,
4:15.0,E. Turner makes free throw 1 of 2,1,85-104,,
4:15.0,E. Turner makes free throw 2 of 2,1,86-104,,
3:56.0,,,86-104,,K. Anderson misses 2-pt shot from 21 ft
3:55.0,Defensive rebound by A. Aminu,,86-104,,
3:47.0,M. Harkless misses 2-pt shot from 2 ft (block by L. Aldridge),,86-104,,
3:45.0,,,86-104,,Defensive rebound by L. Aldridge
3:25.0,,,86-104,,Shooting foul by M. Harkless (drawn by T. Parker)
3:25.0,,,86-104,,T. Parker misses free throw 1 of 2
3:25.0,,,86-104,,Offensive rebound by Team
3:25.0,,,86-104,,T. Parker misses free throw 2 of 2
3:25.0,,,86-104,,D. Dedmon enters the game for L. Aldridge
3:25.0,,,86-104,,J. Simmons enters the game for M. Ginobili
3:24.0,Defensive rebound by E. Turner,,86-104,,
3:13.0,E. Turner misses 2-pt shot from 19 ft,,86-104,,
3:12.0,,,86-104,,Defensive rebound by J. Simmons
2:55.0,,,86-104,,T. Parker misses 2-pt shot from 16 ft
