time,Dallas,pts.away,score,pts.home,New Orleans
5:01.0,,,6-13,,E. Moore enters the game for D. Cousins
5:01.0,,,6-13,,D. Cunningham enters the game for T. Frazier
4:48.0,W. Matthews makes 2-pt shot from 2 ft,2,8-14,,
4:37.0,,,8-14,,A. Davis misses 2-pt shot from 17 ft
4:35.0,Defensive rebound by W. Matthews,,8-14,,
4:16.0,H. Barnes misses 2-pt shot from 16 ft,,8-14,,
4:14.0,Offensive rebound by H. Barnes,,8-14,,
4:04.0,N. Noel makes 2-pt shot at rim,2,10-14,,
3:42.0,,,10-16,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
3:22.0,,,10-16,,Personal foul by D. Cunningham (drawn by H. Barnes)
3:22.0,D. Harris enters the game for N. Noel,,10-16,,
3:22.0,J. Barea enters the game for S. Curry,,10-16,,
3:22.0,D. Powell enters the game for Y. Ferrell,,10-16,,
3:18.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,12-16,,
3:01.0,,,12-16,,J. Holiday misses 2-pt shot from 11 ft
2:58.0,Defensive rebound by Team,,12-16,,
2:57.0,,,12-16,,New Orleans full timeout
2:57.0,D. Nowitzki enters the game for H. Barnes,,12-16,,
2:57.0,D. Finney-Smith enters the game for W. Matthews,,12-16,,
2:37.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,14-16,,
2:22.0,,,14-16,,E. Moore misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by D. Nowitzki,,14-16,,
2:10.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by J. Barea),3,17-16,,
1:55.0,,,17-16,,D. Cunningham misses 3-pt shot from 24 ft
1:53.0,,,17-16,,Offensive rebound by A. Davis
1:51.0,,,17-18,2,A. Davis makes 2-pt shot from 1 ft
1:39.0,D. Harris misses 2-pt shot from 2 ft (block by E. Moore),,17-18,,
1:38.0,Offensive rebound by Team,,17-18,,
1:38.0,,,17-18,,D. Cousins enters the game for S. Hill
1:38.0,,,17-18,,T. Frazier enters the game for A. Davis
1:38.0,,,17-18,,J. Crawford enters the game for J. Holiday
1:35.0,Turnover by J. Barea (bad pass; steal by D. Cunningham),,17-18,,
1:32.0,,,17-20,2,D. Cousins makes 2-pt shot from 2 ft (assist by T. Frazier)
1:19.0,J. Barea makes 2-pt shot from 2 ft,2,19-20,,
1:06.0,,,19-23,3,J. Crawford makes 3-pt shot from 25 ft
0:49.0,,,19-23,,Personal foul by T. Frazier (drawn by D. Nowitzki)
0:38.0,D. Nowitzki makes 2-pt shot from 22 ft (assist by J. Barea),2,21-23,,
0:31.0,Personal foul by D. Harris (drawn by E. Moore),,21-23,,
0:31.0,,,21-24,1,E. Moore makes free throw 1 of 2
0:31.0,,,21-25,1,E. Moore makes free throw 2 of 2
0:17.0,J. Barea makes 2-pt shot from 10 ft,2,23-25,,
0:02.0,,,23-27,2,D. Cousins makes 2-pt shot from 2 ft
0:00.0,D. Harris misses 3-pt shot from 46 ft,,23-27,,
0:00.0,Offensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Powell misses 2-pt shot from 16 ft,,23-27,,
11:44.0,,,23-27,,Defensive rebound by D. Cousins
11:18.0,,,23-27,,E. Moore misses 2-pt shot from 22 ft
11:15.0,Defensive rebound by D. Finney-Smith,,23-27,,
11:10.0,D. Nowitzki makes 2-pt shot from 2 ft (assist by J. Barea),2,25-27,,
10:49.0,,,25-27,,D. Cousins misses 2-pt shot from 19 ft
10:49.0,Defensive rebound by J. Barea,,25-27,,
10:44.0,J. Barea misses 2-pt shot from 17 ft,,25-27,,
10:42.0,,,25-27,,Defensive rebound by T. Frazier
10:37.0,,,25-29,2,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier)
10:18.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,27-29,,
10:10.0,,,27-32,3,E. Moore makes 3-pt shot from 26 ft (assist by J. Crawford)
9:53.0,J. Barea misses 3-pt shot from 25 ft,,27-32,,
9:53.0,,,27-32,,Defensive rebound by D. Cousins
9:39.0,,,27-32,,E. Moore misses 2-pt shot from 10 ft
9:38.0,,,27-32,,Offensive rebound by D. Cousins
9:37.0,,,27-32,,D. Cousins misses 2-pt shot at rim
9:36.0,Defensive rebound by J. Barea,,27-32,,
9:33.0,,,27-32,,Personal foul by E. Moore (drawn by D. Powell)
9:33.0,J. Uthoff enters the game for D. Nowitzki,,27-32,,
9:28.0,J. Uthoff misses 2-pt shot from 23 ft,,27-32,,
9:23.0,Offensive rebound by Team,,27-32,,
9:22.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,29-32,,
9:08.0,Personal foul by D. Harris (drawn by J. Crawford),,29-32,,
9:08.0,Technical foul by D. Harris (drawn by J. Crawford),,29-32,,
9:08.0,Technical foul by D. Harris (drawn by J. Crawford),,29-32,,
9:08.0,Technical foul by Team,,29-32,,
9:08.0,Technical foul by Team,,29-32,,
9:08.0,,,29-32,,J. Crawford misses technical free throw
9:08.0,,,29-32,,Offensive rebound by Team
9:08.0,,,29-32,,J. Crawford misses technical free throw
9:08.0,,,29-32,,Offensive rebound by Team
9:08.0,,,29-33,1,J. Crawford makes technical free throw
9:08.0,,,29-34,1,J. Crawford makes technical free throw
9:08.0,W. Matthews enters the game for D. Harris,,29-34,,
8:59.0,,,29-34,,Shooting foul by D. Powell (drawn by D. Cousins)
8:59.0,,,29-36,2,D. Cousins makes 2-pt shot from 1 ft (assist by J. Crawford)
8:59.0,Official timeout,,29-36,,
8:59.0,,,29-37,1,D. Cousins makes free throw 1 of 1
8:59.0,,,29-36,,J. Holiday enters the game for E. Moore
8:43.0,J. Barea makes 2-pt shot from 7 ft,2,31-37,,
8:22.0,,,31-40,3,D. Cunningham makes 3-pt shot from 25 ft (assist by D. Cousins)
8:05.0,J. Uthoff misses 2-pt shot from 4 ft,,31-40,,
8:03.0,Offensive rebound by J. Uthoff,,31-40,,
8:02.0,J. Uthoff makes 2-pt shot from 2 ft,2,33-40,,
7:46.0,,,33-43,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Crawford)
7:37.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by J. Uthoff),3,36-43,,
7:15.0,,,36-43,,D. Cousins misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by J. Uthoff,,36-43,,
7:05.0,D. Finney-Smith misses 3-pt shot from 23 ft,,36-43,,
7:01.0,,,36-43,,Defensive rebound by Team
6:51.0,,,36-46,3,J. Crawford makes 3-pt shot from 28 ft (assist by D. Cousins)
6:48.0,Dallas full timeout,,36-46,,
6:48.0,D. Nowitzki enters the game for J. Barea,,36-46,,
6:48.0,N. Noel enters the game for D. Powell,,36-46,,
6:48.0,H. Barnes enters the game for D. Finney-Smith,,36-46,,
6:48.0,S. Curry enters the game for J. Uthoff,,36-46,,
6:48.0,,,36-46,,S. Hill enters the game for T. Frazier
6:35.0,W. Matthews misses 2-pt shot from 2 ft,,36-46,,
6:34.0,Offensive rebound by N. Noel,,36-46,,
6:33.0,N. Noel makes 2-pt shot from 2 ft,2,38-46,,
6:22.0,,,38-46,,J. Crawford misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by N. Noel,,38-46,,
5:59.0,Shooting foul by J. Crawford (drawn by D. Nowitzki),,38-46,,
5:59.0,D. Nowitzki makes free throw 1 of 2,1,39-46,,
5:59.0,D. Nowitzki makes free throw 2 of 2,1,40-46,,
5:59.0,,,39-46,,A. Davis enters the game for D. Cunningham
5:48.0,,,40-46,,S. Hill misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by W. Matthews,,40-46,,
5:35.0,D. Nowitzki misses 2-pt shot from 4 ft,,40-46,,
5:33.0,,,40-46,,Defensive rebound by A. Davis
5:29.0,,,40-46,,D. Cousins misses 2-pt shot at rim
5:28.0,Defensive rebound by D. Nowitzki,,40-46,,
5:22.0,S. Curry misses 3-pt shot from 24 ft,,40-46,,
5:18.0,,,40-46,,Defensive rebound by A. Davis
5:05.0,,,40-46,,Shooting foul by D. Nowitzki (drawn by D. Cousins)
5:05.0,,,40-46,,D. Cousins misses free throw 1 of 2
5:05.0,,,40-46,,Offensive rebound by Team
5:05.0,,,40-47,1,D. Cousins makes free throw 2 of 2
4:52.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,43-47,,
4:33.0,,,43-49,2,A. Davis makes 2-pt shot from 10 ft (assist by J. Crawford)
4:24.0,S. Curry misses 3-pt shot from 26 ft,,43-49,,
4:21.0,,,43-49,,Defensive rebound by J. Holiday
4:08.0,,,43-49,,A. Davis misses 2-pt shot from 8 ft
4:07.0,Defensive rebound by D. Nowitzki,,43-49,,
3:49.0,N. Noel misses 2-pt shot from 20 ft,,43-49,,
3:47.0,,,43-49,,Defensive rebound by J. Holiday
3:37.0,,,43-49,,Shooting foul by N. Noel (drawn by D. Cousins)
3:37.0,,,43-50,1,D. Cousins makes free throw 1 of 2
3:37.0,,,43-50,,D. Cousins misses free throw 2 of 2
3:36.0,Defensive rebound by D. Nowitzki,,43-50,,
3:14.0,D. Nowitzki misses 2-pt shot from 14 ft,,43-50,,
3:12.0,,,43-50,,Defensive rebound by D. Cousins
3:00.0,,,43-52,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:42.0,,,43-52,,Personal foul by S. Hill (drawn by H. Barnes)
2:42.0,,,43-52,,New Orleans full timeout
2:32.0,H. Barnes misses 2-pt shot from 2 ft,,43-52,,
2:31.0,Offensive rebound by N. Noel,,43-52,,
2:30.0,N. Noel misses 2-pt shot from 3 ft,,43-52,,
2:29.0,,,43-52,,Defensive rebound by D. Cousins
2:18.0,,,43-54,2,J. Holiday makes 2-pt shot from 2 ft
2:05.0,D. Nowitzki misses 2-pt shot from 17 ft,,43-54,,
2:00.0,,,43-54,,Defensive rebound by Team
1:50.0,,,43-57,3,J. Holiday makes 3-pt shot from 25 ft
1:30.0,H. Barnes makes 2-pt shot from 2 ft,2,45-57,,
1:30.0,Shooting foul by J. Crawford (drawn by H. Barnes),,45-57,,
1:30.0,H. Barnes makes free throw 1 of 1,1,46-57,,
1:16.0,,,46-57,,Turnover by J. Crawford (bad pass; steal by S. Curry)
1:15.0,W. Matthews makes 3-pt shot from 26 ft,3,49-57,,
1:03.0,,,49-59,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
0:51.0,S. Curry misses 3-pt shot from 26 ft,,49-59,,
0:49.0,Offensive rebound by H. Barnes,,49-59,,
0:48.0,H. Barnes makes 2-pt shot from 2 ft,2,51-59,,
0:39.0,,,51-59,,A. Davis misses 2-pt shot from 1 ft (block by N. Noel)
0:38.0,,,51-59,,Offensive rebound by J. Crawford
0:32.0,Shooting block foul by N. Noel (drawn by J. Holiday),,51-59,,
0:32.0,,,51-60,1,J. Holiday makes free throw 1 of 2
0:32.0,,,51-60,,J. Holiday misses free throw 2 of 2
0:32.0,D. Powell enters the game for N. Noel,,51-60,,
0:30.0,Defensive rebound by H. Barnes,,51-60,,
0:08.0,H. Barnes misses 2-pt shot from 7 ft,,51-60,,
0:07.0,,,51-60,,Defensive rebound by D. Cousins
0:01.0,,,51-63,3,D. Cousins makes 3-pt shot from 29 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,H. Barnes makes 2-pt shot from 11 ft (assist by S. Curry),2,53-63,,
11:28.0,,,53-63,,Turnover by T. Frazier (bad pass; steal by N. Noel)
11:24.0,N. Noel makes 2-pt shot at rim,2,55-63,,
11:24.0,Shooting foul by T. Frazier (drawn by N. Noel),,55-63,,
11:24.0,N. Noel makes free throw 1 of 1,1,56-63,,
11:01.0,,,56-63,,D. Cousins misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by D. Nowitzki,,56-63,,
10:49.0,S. Curry makes 2-pt shot from 13 ft,2,58-63,,
10:45.0,,,58-63,,New Orleans full timeout
10:22.0,,,58-63,,A. Davis misses 2-pt shot from 15 ft
10:22.0,Defensive rebound by D. Nowitzki,,58-63,,
9:59.0,H. Barnes misses 2-pt shot from 7 ft,,58-63,,
9:58.0,,,58-63,,Defensive rebound by A. Davis
9:46.0,,,58-63,,A. Davis misses 2-pt shot from 8 ft
9:45.0,Defensive rebound by N. Noel,,58-63,,
9:32.0,D. Nowitzki misses 2-pt shot from 19 ft,,58-63,,
9:30.0,,,58-63,,Defensive rebound by D. Cousins
9:16.0,Personal foul by N. Noel (drawn by D. Cousins),,58-63,,
9:06.0,,,58-63,,D. Cousins misses 2-pt shot from 2 ft
9:05.0,,,58-63,,Offensive rebound by D. Cousins
9:04.0,,,58-63,,D. Cousins misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by Team,,58-63,,
9:03.0,,,58-63,,Loose ball foul by D. Cousins (drawn by D. Nowitzki)
9:03.0,Y. Ferrell enters the game for N. Noel,,58-63,,
8:44.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,61-63,,
8:24.0,,,61-65,2,D. Cousins makes 2-pt shot from 1 ft
8:24.0,,,61-65,,Shooting foul by D. Nowitzki (drawn by D. Cousins)
8:24.0,,,61-66,1,D. Cousins makes free throw 1 of 1
8:14.0,S. Curry misses 2-pt shot from 18 ft,,61-66,,
8:11.0,Offensive rebound by H. Barnes,,61-66,,
8:05.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,64-66,,
7:44.0,,,64-69,3,S. Hill makes 3-pt shot from 27 ft (assist by J. Holiday)
7:27.0,H. Barnes misses 2-pt shot from 18 ft,,64-69,,
7:25.0,,,64-69,,Defensive rebound by D. Cousins
7:13.0,,,64-72,3,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis)
7:10.0,Dallas full timeout,,64-72,,
6:58.0,H. Barnes misses 2-pt shot from 8 ft,,64-72,,
6:57.0,,,64-72,,Defensive rebound by D. Cousins
6:43.0,,,64-72,,S. Hill misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by Y. Ferrell,,64-72,,
6:36.0,Y. Ferrell makes 3-pt shot from 25 ft,3,67-72,,
6:16.0,,,67-74,2,D. Cousins makes 2-pt shot from 18 ft (assist by J. Holiday)
6:00.0,Shooting foul by T. Frazier (drawn by D. Nowitzki),,67-74,,
6:00.0,D. Nowitzki makes free throw 1 of 3,1,68-74,,
6:00.0,D. Nowitzki makes free throw 2 of 3,1,69-74,,
6:00.0,D. Nowitzki makes free throw 3 of 3,1,70-74,,
6:00.0,,,69-74,,E. Moore enters the game for T. Frazier
5:48.0,,,70-74,,Shooting foul by W. Matthews (drawn by A. Davis)
5:48.0,,,70-75,1,A. Davis makes free throw 1 of 2
5:48.0,,,70-76,1,A. Davis makes free throw 2 of 2
5:48.0,D. Powell enters the game for D. Nowitzki,,70-75,,
5:26.0,Y. Ferrell misses 2-pt shot from 16 ft (block by A. Davis),,70-76,,
5:24.0,,,70-76,,Defensive rebound by A. Davis
5:08.0,,,70-76,,Shooting foul by S. Curry (drawn by A. Davis)
5:08.0,,,70-77,1,A. Davis makes free throw 1 of 2
5:08.0,,,70-78,1,A. Davis makes free throw 2 of 2
5:08.0,,,70-77,,D. Cunningham enters the game for D. Cousins
4:52.0,Y. Ferrell misses 2-pt shot from 3 ft,,70-78,,
4:48.0,,,70-78,,Defensive rebound by S. Hill
4:41.0,,,70-78,,Shooting foul by D. Powell (drawn by A. Davis)
4:41.0,,,70-79,1,A. Davis makes free throw 1 of 2
4:41.0,,,70-80,1,A. Davis makes free throw 2 of 2
4:41.0,J. Barea enters the game for S. Curry,,70-79,,
4:24.0,H. Barnes makes 2-pt shot from 2 ft,2,72-80,,
4:15.0,,,72-82,2,A. Davis makes 2-pt shot from 16 ft
3:57.0,Turnover by W. Matthews (bad pass; steal by A. Davis),,72-82,,
3:53.0,,,72-84,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:52.0,Dallas full timeout,,72-84,,
3:38.0,Turnover by H. Barnes (bad pass; steal by E. Moore),,72-84,,
3:35.0,,,72-84,,E. Moore misses 3-pt shot from 25 ft
3:33.0,,,72-84,,Offensive rebound by D. Cunningham
3:29.0,,,72-84,,Shooting foul by H. Barnes (drawn by D. Cunningham)
3:29.0,,,72-84,,D. Cunningham misses free throw 1 of 2
3:29.0,,,72-84,,Offensive rebound by Team
3:29.0,,,72-84,,D. Cunningham misses free throw 2 of 2
3:27.0,Defensive rebound by H. Barnes,,72-84,,
3:09.0,W. Matthews makes 2-pt shot from 6 ft (assist by H. Barnes),2,74-84,,
2:59.0,,,74-84,,J. Holiday misses 2-pt shot from 14 ft
2:58.0,Defensive rebound by D. Powell,,74-84,,
2:39.0,Jump ball: A. Davis vs. Y. Ferrell (E. Moore gains possession),,,,Jump ball: A. Davis vs. Y. Ferrell (E. Moore gains possession)
2:39.0,Turnover by Y. Ferrell (lost ball; steal by A. Davis),,74-84,,
2:34.0,,,74-84,,Turnover by J. Holiday (bad pass; steal by Y. Ferrell)
2:30.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by W. Matthews),3,77-84,,
2:13.0,,,77-84,,E. Moore misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by W. Matthews,,77-84,,
2:04.0,Y. Ferrell makes 3-pt shot from 25 ft,3,80-84,,
1:47.0,D. Finney-Smith enters the game for H. Barnes,,80-84,,
1:47.0,S. Curry enters the game for W. Matthews,,80-84,,
1:47.0,,,80-84,,J. Crawford enters the game for S. Hill
1:47.0,Jump ball: Y. Ferrell vs. J. Holiday (E. Moore gains possession),,,,Jump ball: Y. Ferrell vs. J. Holiday (E. Moore gains possession)
1:44.0,,,80-84,,A. Davis misses 2-pt shot from 10 ft
1:43.0,Defensive rebound by D. Powell,,80-84,,
1:27.0,,,80-84,,Personal foul by A. Davis (drawn by D. Powell)
1:27.0,,,80-84,,D. Cousins enters the game for A. Davis
1:27.0,,,80-84,,T. Frazier enters the game for J. Holiday
1:21.0,J. Barea makes 2-pt shot from 9 ft,2,82-84,,
0:56.0,,,82-84,,E. Moore misses 3-pt shot from 26 ft
0:54.0,,,82-84,,Offensive rebound by D. Cunningham
0:53.0,,,82-86,2,D. Cunningham makes 2-pt shot from 2 ft
0:35.0,D. Powell misses 3-pt shot from 26 ft,,82-86,,
0:32.0,Offensive rebound by Y. Ferrell,,82-86,,
0:32.0,,,82-86,,Personal foul by T. Frazier (drawn by Y. Ferrell)
0:32.0,Y. Ferrell makes free throw 1 of 2,1,83-86,,
0:32.0,Y. Ferrell misses free throw 2 of 2,,83-86,,
0:31.0,,,83-86,,Defensive rebound by D. Cousins
0:19.0,,,83-89,3,D. Cunningham makes 3-pt shot from 23 ft (assist by D. Cousins)
0:01.0,Turnover by J. Barea (bad pass; steal by D. Cunningham),,83-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-91,2,T. Frazier makes 2-pt shot from 16 ft (assist by E. Moore)
11:30.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,85-91,,
11:14.0,,,85-91,,J. Crawford misses 2-pt shot from 16 ft
11:12.0,,,85-91,,Offensive rebound by T. Frazier
11:00.0,,,85-91,,D. Cousins misses 2-pt shot from 3 ft (block by D. Finney-Smith)
10:58.0,,,85-91,,Offensive rebound by Team
10:56.0,,,85-93,2,D. Cousins makes 2-pt shot from 2 ft (assist by E. Moore)
10:42.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,88-93,,
10:26.0,,,88-93,,Shooting foul by D. Nowitzki (drawn by D. Cousins)
10:26.0,,,88-94,1,D. Cousins makes free throw 1 of 2
10:26.0,,,88-95,1,D. Cousins makes free throw 2 of 2
10:15.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,91-95,,
10:12.0,,,91-95,,New Orleans full timeout
9:59.0,,,91-97,2,D. Cousins makes 2-pt shot from 15 ft (assist by T. Frazier)
9:42.0,D. Finney-Smith makes 2-pt shot at rim (assist by J. Barea),2,93-97,,
9:31.0,,,93-97,,D. Cunningham misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by D. Finney-Smith,,93-97,,
9:16.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,96-97,,
8:57.0,Personal foul by D. Finney-Smith (drawn by D. Cousins),,96-97,,
8:57.0,,,96-97,,J. Holiday enters the game for T. Frazier
8:57.0,,,96-97,,A. Davis enters the game for D. Cousins
8:57.0,,,96-97,,S. Hill enters the game for E. Moore
8:45.0,,,96-99,2,D. Cunningham makes 2-pt shot from 5 ft (assist by J. Holiday)
8:27.0,Shooting foul by S. Hill (drawn by D. Nowitzki),,96-99,,
8:27.0,D. Nowitzki makes free throw 1 of 2,1,97-99,,
8:27.0,D. Nowitzki makes free throw 2 of 2,1,98-99,,
8:27.0,W. Matthews enters the game for S. Curry,,97-99,,
8:18.0,,,98-99,,A. Davis misses 3-pt shot from 25 ft
8:13.0,,,98-99,,Offensive rebound by S. Hill
8:01.0,,,98-99,,J. Holiday misses 2-pt shot from 2 ft (block by Y. Ferrell)
8:00.0,Defensive rebound by D. Finney-Smith,,98-99,,
7:55.0,,,98-99,,Personal foul by D. Cunningham (drawn by Y. Ferrell)
7:55.0,N. Noel enters the game for D. Finney-Smith,,98-99,,
7:55.0,H. Barnes enters the game for D. Nowitzki,,98-99,,
7:55.0,,,98-99,,D. Cousins enters the game for D. Cunningham
7:43.0,Y. Ferrell makes 2-pt shot from 14 ft,2,100-99,,
7:17.0,,,100-101,2,J. Holiday makes 2-pt shot from 5 ft
7:04.0,N. Noel misses 2-pt shot at rim,,100-101,,
7:04.0,,,100-101,,Defensive rebound by D. Cousins
6:59.0,Personal foul by W. Matthews (drawn by J. Crawford),,100-101,,
6:51.0,,,100-104,3,J. Crawford makes 3-pt shot from 26 ft (assist by J. Holiday)
6:27.0,Shooting foul by J. Crawford (drawn by H. Barnes),,100-104,,
6:27.0,H. Barnes makes free throw 1 of 2,1,101-104,,
6:27.0,H. Barnes makes free throw 2 of 2,1,102-104,,
6:16.0,Personal foul by Y. Ferrell (drawn by A. Davis),,102-104,,
6:07.0,,,102-106,2,A. Davis makes 2-pt shot from 12 ft
5:53.0,J. Barea misses 3-pt shot from 25 ft,,102-106,,
5:51.0,,,102-106,,Defensive rebound by Team
5:51.0,Official timeout,,102-106,,
5:51.0,S. Curry enters the game for J. Barea,,102-106,,
5:32.0,,,102-108,2,D. Cousins makes 2-pt shot from 2 ft (assist by A. Davis)
5:16.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by S. Curry),3,105-108,,
4:52.0,,,105-111,3,S. Hill makes 3-pt shot from 24 ft (assist by J. Holiday)
4:24.0,S. Curry makes 2-pt shot from 2 ft,2,107-111,,
4:04.0,,,107-113,2,J. Holiday makes 2-pt shot from 1 ft
