time,Chicago,pts.away,score,pts.home,Milwaukee
9:35.0,,,22-38,,Personal block foul by J. Terry (drawn by J. Butler)
9:31.0,Turnover by D. Wade (bad pass),,22-38,,
9:10.0,,,22-38,,G. Monroe misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by J. Butler,,22-38,,
8:53.0,Turnover by D. Valentine (bad pass; steal by G. Antetokounmpo),,22-38,,
8:49.0,,,22-40,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Teletovic)
8:24.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Wade),2,24-40,,
8:07.0,,,24-40,,J. Terry misses 2-pt shot from 18 ft
8:05.0,,,24-40,,Offensive rebound by M. Dellavedova
8:02.0,,,24-40,,M. Dellavedova misses 2-pt shot from 2 ft
8:00.0,,,24-40,,Offensive rebound by G. Antetokounmpo
8:00.0,,,24-42,2,G. Antetokounmpo makes 2-pt shot at rim
7:48.0,D. Wade makes 2-pt shot from 11 ft,2,26-42,,
7:31.0,,,26-45,3,M. Teletovic makes 3-pt shot from 29 ft (assist by M. Dellavedova)
7:19.0,D. Valentine misses 3-pt shot from 25 ft,,26-45,,
7:18.0,,,26-45,,Defensive rebound by J. Terry
7:06.0,,,26-47,2,G. Monroe makes 2-pt shot from 1 ft
7:06.0,Chicago full timeout,,26-47,,
7:06.0,R. Lopez enters the game for D. Valentine,,26-47,,
7:06.0,T. Gibson enters the game for C. Felicio,,26-47,,
7:06.0,R. Rondo enters the game for D. McDermott,,26-47,,
7:06.0,,,26-47,,M. Brogdon enters the game for M. Dellavedova
7:06.0,,,26-47,,J. Parker enters the game for M. Teletovic
6:46.0,J. Butler misses 3-pt shot from 27 ft,,26-47,,
6:45.0,,,26-47,,Defensive rebound by G. Antetokounmpo
6:27.0,,,26-49,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
6:13.0,R. Rondo makes 2-pt shot from 5 ft,2,28-49,,
5:48.0,,,28-52,3,J. Parker makes 3-pt shot from 26 ft (assist by J. Terry)
5:25.0,R. Rondo misses 3-pt shot from 24 ft,,28-52,,
5:25.0,Offensive rebound by Team,,28-52,,
5:25.0,Official timeout,,28-52,,
5:25.0,D. McDermott enters the game for D. Wade,,28-52,,
5:25.0,,,28-52,,J. Henson enters the game for G. Monroe
5:25.0,,,28-52,,T. Snell enters the game for J. Terry
5:07.0,Shooting foul by G. Antetokounmpo (drawn by T. Gibson),,28-52,,
5:07.0,T. Gibson makes free throw 1 of 2,1,29-52,,
5:07.0,T. Gibson makes free throw 2 of 2,1,30-52,,
4:46.0,,,30-54,2,G. Antetokounmpo makes 2-pt shot from 14 ft
4:33.0,,,30-54,,Personal foul by J. Henson (drawn by R. Lopez)
4:23.0,J. Butler misses 3-pt shot from 25 ft,,30-54,,
4:22.0,,,30-54,,Defensive rebound by G. Antetokounmpo
4:15.0,,,30-54,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by D. McDermott,,30-54,,
4:06.0,D. McDermott misses 2-pt shot from 2 ft,,30-54,,
4:05.0,,,30-54,,Defensive rebound by J. Henson
4:01.0,,,30-56,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
3:51.0,,,30-56,,Personal foul by J. Parker (drawn by J. Butler)
3:51.0,J. Butler misses free throw 1 of 2,,30-56,,
3:51.0,Offensive rebound by Team,,30-56,,
3:51.0,J. Butler makes free throw 2 of 2,1,31-56,,
3:51.0,D. Valentine enters the game for D. McDermott,,30-56,,
3:40.0,,,31-58,2,T. Snell makes 2-pt shot at rim (assist by M. Brogdon)
3:16.0,J. Butler misses 2-pt shot from 1 ft,,31-58,,
3:15.0,Offensive rebound by T. Gibson,,31-58,,
3:15.0,,,31-58,,Violation by J. Henson (def goaltending)
3:15.0,T. Gibson makes 2-pt shot from 1 ft,2,33-58,,
3:00.0,,,33-58,,T. Snell misses 2-pt shot from 1 ft
2:59.0,,,33-58,,Offensive rebound by G. Antetokounmpo
2:59.0,,,33-58,,G. Antetokounmpo misses 2-pt shot from 1 ft
2:58.0,,,33-58,,Offensive rebound by J. Henson
2:58.0,,,33-58,,J. Henson misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by D. Valentine,,33-58,,
2:57.0,,,33-58,,Personal foul by J. Henson (drawn by D. Valentine)
2:57.0,,,33-58,,Milwaukee full timeout
2:57.0,D. Valentine makes free throw 1 of 2,1,34-58,,
2:57.0,D. Valentine makes free throw 2 of 2,1,35-58,,
2:31.0,,,35-58,,G. Antetokounmpo misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by R. Lopez,,35-58,,
2:27.0,,,35-58,,Personal foul by G. Antetokounmpo (drawn by T. Gibson)
2:27.0,T. Gibson misses free throw 1 of 2,,35-58,,
2:27.0,Offensive rebound by Team,,35-58,,
2:27.0,T. Gibson makes free throw 2 of 2,1,36-58,,
2:27.0,,,35-58,,M. Dellavedova enters the game for G. Antetokounmpo
2:14.0,,,36-61,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon)
1:46.0,T. Gibson misses 2-pt shot from 2 ft,,36-61,,
1:44.0,Offensive rebound by T. Gibson,,36-61,,
1:42.0,T. Gibson makes 2-pt shot from 1 ft,2,38-61,,
1:28.0,,,38-61,,J. Henson misses 2-pt shot from 4 ft
1:27.0,Defensive rebound by R. Lopez,,38-61,,
1:09.0,T. Gibson makes 2-pt shot from 12 ft (assist by R. Rondo),2,40-61,,
0:57.0,,,40-63,2,M. Dellavedova makes 2-pt shot from 4 ft
0:53.0,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo),2,42-63,,
0:53.0,Shooting foul by J. Parker (drawn by J. Butler),,42-63,,
0:53.0,J. Butler makes free throw 1 of 1,1,43-63,,
0:30.0,,,43-63,,J. Parker misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by D. Valentine,,43-63,,
0:20.0,,,43-63,,Violation by J. Henson (def goaltending)
0:20.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Rondo),2,45-63,,
0:20.0,,,45-63,,Technical foul by J. Henson
0:20.0,J. Butler misses technical free throw,,45-63,,
0:20.0,,,45-63,,Offensive rebound by Team
0:09.0,Personal foul by R. Rondo (drawn by J. Parker),,45-63,,
0:09.0,,,45-63,,Milwaukee full timeout
0:02.0,,,45-63,,J. Henson misses 3-pt shot from 25 ft
0:01.0,,,45-63,,Offensive rebound by M. Brogdon
0:01.0,,,45-63,,Shooting foul by T. Gibson (drawn by M. Brogdon)
0:01.0,,,45-63,,M. Brogdon misses free throw 1 of 2
0:01.0,,,45-63,,Offensive rebound by Team
0:01.0,,,45-64,1,M. Brogdon makes free throw 2 of 2
0:01.0,,,45-63,,M. Teletovic enters the game for J. Henson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,T. Gibson misses 2-pt shot from 1 ft,,45-64,,
11:33.0,,,45-64,,Defensive rebound by J. Parker
11:32.0,Personal foul by R. Lopez (drawn by T. Snell),,45-64,,
11:17.0,,,45-66,2,M. Dellavedova makes 2-pt shot from 7 ft
11:00.0,R. Rondo makes 3-pt shot from 24 ft (assist by J. Butler),3,48-66,,
10:50.0,Personal foul by R. Rondo (drawn by G. Antetokounmpo),,48-66,,
10:40.0,,,48-66,,J. Parker misses 2-pt shot from 3 ft (block by R. Lopez)
10:37.0,,,48-66,,Offensive rebound by J. Parker
10:36.0,,,48-66,,J. Parker misses 2-pt shot from 2 ft
10:36.0,,,48-66,,Offensive rebound by J. Henson
10:36.0,Personal foul by R. Lopez (drawn by J. Henson),,48-66,,
10:34.0,Personal block foul by R. Rondo (drawn by G. Antetokounmpo),,48-66,,
10:20.0,,,48-68,2,J. Parker makes 2-pt shot at rim
10:03.0,R. Lopez makes 2-pt shot from 3 ft (assist by D. Wade),2,50-68,,
9:46.0,,,50-68,,M. Dellavedova misses 2-pt shot from 6 ft
9:45.0,,,50-68,,Offensive rebound by J. Henson
9:35.0,,,50-68,,G. Antetokounmpo misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by R. Lopez,,50-68,,
9:24.0,Turnover by R. Rondo (bad pass),,50-68,,
9:13.0,,,50-70,2,M. Dellavedova makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
8:57.0,J. Butler misses 2-pt shot from 15 ft,,50-70,,
8:57.0,,,50-70,,Defensive rebound by Team
8:57.0,Loose ball foul by T. Gibson (drawn by G. Antetokounmpo),,50-70,,
8:57.0,,,50-71,1,G. Antetokounmpo makes free throw 1 of 2
8:57.0,,,50-72,1,G. Antetokounmpo makes free throw 2 of 2
8:39.0,R. Rondo misses 3-pt shot from 25 ft,,50-72,,
8:38.0,,,50-72,,Defensive rebound by J. Henson
8:24.0,,,50-72,,T. Snell misses 2-pt shot from 16 ft
8:23.0,,,50-72,,Offensive rebound by J. Henson
8:23.0,,,50-72,,J. Henson misses 2-pt shot from 1 ft (block by T. Gibson)
8:23.0,,,50-72,,Offensive rebound by Team
8:10.0,,,50-72,,M. Dellavedova misses 2-pt shot from 9 ft
8:08.0,,,50-72,,Offensive rebound by J. Henson
8:08.0,,,50-72,,J. Henson misses 2-pt shot at rim
8:06.0,Defensive rebound by T. Gibson,,50-72,,
8:04.0,Turnover by D. Wade (lost ball),,50-72,,
7:53.0,,,50-74,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
7:33.0,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo),,50-74,,
7:30.0,,,50-76,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
7:30.0,Chicago full timeout,,50-76,,
7:16.0,D. Wade misses 3-pt shot from 28 ft,,50-76,,
7:16.0,Offensive rebound by Team,,50-76,,
7:16.0,,,50-76,,Loose ball foul by J. Henson (drawn by R. Lopez)
7:07.0,R. Lopez makes 2-pt shot from 1 ft,2,52-76,,
6:42.0,,,52-76,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by D. Wade,,52-76,,
6:33.0,D. Wade misses 3-pt shot from 30 ft,,52-76,,
6:32.0,,,52-76,,Defensive rebound by G. Antetokounmpo
6:26.0,,,52-76,,Turnover by G. Antetokounmpo (bad pass; steal by D. Wade)
6:17.0,D. Wade makes 2-pt shot from 5 ft,2,54-76,,
5:57.0,,,54-76,,J. Parker misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by R. Rondo,,54-76,,
5:48.0,J. Butler misses 2-pt shot from 11 ft,,54-76,,
5:47.0,,,54-76,,Defensive rebound by G. Antetokounmpo
5:32.0,,,54-76,,T. Snell misses 2-pt shot from 1 ft
5:31.0,,,54-76,,Offensive rebound by J. Henson
5:25.0,,,54-78,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:02.0,Shooting foul by M. Dellavedova (drawn by T. Gibson),,54-78,,
5:02.0,T. Gibson makes free throw 1 of 2,1,55-78,,
5:02.0,T. Gibson makes free throw 2 of 2,1,56-78,,
5:02.0,,,55-78,,M. Brogdon enters the game for M. Dellavedova
5:02.0,,,55-78,,G. Monroe enters the game for J. Henson
5:02.0,B. Portis enters the game for R. Lopez,,55-78,,
5:02.0,D. McDermott enters the game for D. Wade,,55-78,,
4:37.0,,,56-78,,T. Snell misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by J. Butler,,56-78,,
4:26.0,J. Butler makes 2-pt shot from 5 ft (assist by D. McDermott),2,58-78,,
4:06.0,,,58-80,2,M. Brogdon makes 2-pt shot from 13 ft
3:51.0,Turnover by B. Portis (bad pass; steal by G. Monroe),,58-80,,
3:49.0,C. Felicio enters the game for T. Gibson,,58-80,,
3:49.0,,,58-80,,M. Teletovic enters the game for G. Antetokounmpo
3:49.0,D. Valentine enters the game for R. Rondo,,58-80,,
3:39.0,,,58-80,,M. Teletovic misses 2-pt shot from 5 ft
3:38.0,Defensive rebound by B. Portis,,58-80,,
3:34.0,Shooting foul by G. Monroe (drawn by J. Butler),,58-80,,
3:34.0,J. Butler makes free throw 1 of 2,1,59-80,,
3:34.0,J. Butler makes free throw 2 of 2,1,60-80,,
3:24.0,,,60-80,,Turnover by M. Brogdon (bad pass; steal by J. Butler)
3:22.0,Shooting foul by M. Teletovic (drawn by J. Butler),,60-80,,
3:22.0,J. Butler makes free throw 1 of 2,1,61-80,,
3:22.0,J. Butler makes free throw 2 of 2,1,62-80,,
3:14.0,,,62-80,,Turnover by M. Brogdon (bad pass; steal by C. Felicio)
3:03.0,D. McDermott misses 2-pt shot from 1 ft (block by G. Monroe),,62-80,,
3:00.0,,,62-80,,Defensive rebound by J. Parker
2:50.0,,,62-82,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
2:32.0,B. Portis makes 2-pt shot at rim (assist by D. Valentine),2,64-82,,
2:16.0,,,64-84,2,T. Snell makes 2-pt shot at rim (assist by G. Monroe)
1:57.0,Turnover by J. Butler (traveling),,64-84,,
1:57.0,,,64-84,,Milwaukee full timeout
1:57.0,,,64-84,,J. Terry enters the game for T. Snell
1:57.0,D. Wade enters the game for J. Butler,,64-84,,
1:36.0,,,64-84,,Shooting foul by D. Wade (drawn by J. Parker)
1:36.0,,,64-84,,J. Parker misses free throw 1 of 2
1:36.0,,,64-84,,Offensive rebound by Team
1:36.0,,,64-85,1,J. Parker makes free throw 2 of 2
1:17.0,D. Valentine misses 2-pt shot from 5 ft,,64-85,,
1:15.0,,,64-85,,Defensive rebound by G. Monroe
1:05.0,,,64-88,3,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Brogdon)
0:49.0,D. Wade misses 2-pt shot from 9 ft,,64-88,,
0:47.0,,,64-88,,Defensive rebound by G. Monroe
0:35.0,,,64-88,,M. Brogdon misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by B. Portis,,64-88,,
0:19.0,D. Wade makes 2-pt shot from 2 ft (assist by D. Valentine),2,66-88,,
0:02.0,,,66-88,,M. Brogdon misses 2-pt shot from 19 ft (block by D. Wade)
0:01.0,Defensive rebound by D. Valentine,,66-88,,
0:00.0,D. Valentine misses 3-pt shot from 59 ft,,66-88,,
0:00.0,Offensive rebound by Team,,66-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,66-90,2,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon)
11:19.0,D. McDermott makes 3-pt shot from 26 ft (assist by D. Wade),3,69-90,,
10:59.0,,,69-93,3,J. Terry makes 3-pt shot from 24 ft (assist by M. Brogdon)
10:40.0,D. Valentine misses 2-pt shot from 17 ft,,69-93,,
10:38.0,,,69-93,,Defensive rebound by G. Antetokounmpo
10:35.0,,,69-93,,Offensive charge foul by G. Antetokounmpo
10:35.0,,,69-93,,Turnover by G. Antetokounmpo (offensive foul)
10:23.0,Shooting foul by M. Teletovic (drawn by B. Portis),,69-93,,
10:23.0,B. Portis makes free throw 1 of 2,1,70-93,,
10:23.0,B. Portis makes free throw 2 of 2,1,71-93,,
10:01.0,,,71-95,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
9:51.0,,,71-95,,Personal foul by J. Terry (drawn by D. McDermott)
9:46.0,Shooting foul by J. Terry (drawn by D. Wade),,71-95,,
9:46.0,D. Wade misses free throw 1 of 2,,71-95,,
9:46.0,Offensive rebound by Team,,71-95,,
9:46.0,D. Wade misses free throw 2 of 2,,71-95,,
9:45.0,,,71-95,,Defensive rebound by G. Monroe
9:30.0,,,71-95,,M. Teletovic misses 3-pt shot from 27 ft
9:29.0,Defensive rebound by C. Felicio,,71-95,,
9:22.0,D. Wade makes 2-pt shot from 6 ft,2,73-95,,
9:04.0,,,73-95,,M. Teletovic misses 2-pt shot from 6 ft
9:02.0,Defensive rebound by D. McDermott,,73-95,,
8:54.0,Shooting foul by M. Teletovic (drawn by D. Wade),,73-95,,
8:54.0,Official timeout,,73-95,,
8:54.0,D. Wade makes free throw 1 of 2,1,74-95,,
8:54.0,D. Wade makes free throw 2 of 2,1,75-95,,
8:54.0,,,73-95,,M. Dellavedova enters the game for M. Brogdon
8:37.0,,,75-95,,M. Teletovic misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by C. Felicio,,75-95,,
8:26.0,D. Wade makes 2-pt shot from 12 ft,2,77-95,,
8:05.0,,,77-95,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by B. Portis,,77-95,,
7:55.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Wade),2,79-95,,
7:38.0,,,79-95,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:36.0,,,79-95,,Offensive rebound by G. Antetokounmpo
7:36.0,,,79-95,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by B. Portis,,79-95,,
7:31.0,D. Wade makes 2-pt shot from 15 ft,2,81-95,,
7:31.0,,,81-95,,Milwaukee full timeout
7:31.0,J. Butler enters the game for D. Valentine,,81-95,,
7:31.0,,,81-95,,J. Parker enters the game for M. Teletovic
7:14.0,,,81-95,,J. Parker misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by Team,,81-95,,
7:14.0,,,81-95,,Loose ball foul by G. Antetokounmpo (drawn by D. Wade)
7:14.0,D. Wade makes free throw 1 of 2,1,82-95,,
7:14.0,D. Wade makes free throw 2 of 2,1,83-95,,
7:14.0,,,82-95,,T. Snell enters the game for J. Terry
6:56.0,,,83-95,,G. Monroe misses 2-pt shot at rim
6:55.0,Defensive rebound by Team,,83-95,,
6:32.0,B. Portis misses 3-pt shot from 24 ft,,83-95,,
6:30.0,Offensive rebound by D. McDermott,,83-95,,
6:19.0,J. Butler misses 2-pt shot from 18 ft,,83-95,,
6:16.0,,,83-95,,Defensive rebound by G. Antetokounmpo
6:05.0,,,83-97,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
5:38.0,D. Wade misses 3-pt shot from 27 ft,,83-97,,
5:37.0,,,83-97,,Defensive rebound by G. Antetokounmpo
5:31.0,Shooting block foul by D. McDermott (drawn by J. Parker),,83-97,,
5:31.0,,,83-98,1,J. Parker makes free throw 1 of 2
5:31.0,,,83-99,1,J. Parker makes free throw 2 of 2
5:31.0,R. Rondo enters the game for D. Wade,,83-98,,
5:31.0,,,83-98,,J. Henson enters the game for G. Monroe
5:15.0,J. Butler misses 2-pt shot from 13 ft,,83-99,,
5:13.0,Offensive rebound by C. Felicio,,83-99,,
5:12.0,C. Felicio makes 2-pt shot at rim,2,85-99,,
5:01.0,,,85-99,,Turnover by M. Dellavedova (bad pass; steal by J. Butler)
4:56.0,Shooting foul by T. Snell (drawn by J. Butler),,85-99,,
4:56.0,J. Butler makes free throw 1 of 2,1,86-99,,
4:56.0,J. Butler makes free throw 2 of 2,1,87-99,,
4:42.0,Personal foul by D. McDermott (drawn by T. Snell),,87-99,,
4:37.0,,,87-99,,J. Parker misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by R. Rondo,,87-99,,
4:33.0,B. Portis makes 2-pt shot from 1 ft (assist by R. Rondo),2,89-99,,
4:33.0,Shooting foul by T. Snell (drawn by B. Portis),,89-99,,
4:33.0,B. Portis misses free throw 1 of 1,,89-99,,
4:29.0,,,89-99,,Defensive rebound by T. Snell
4:22.0,Violation by B. Portis (def goaltending),,89-99,,
4:22.0,,,89-101,2,T. Snell makes 2-pt shot at rim (assist by M. Dellavedova)
4:13.0,D. McDermott makes 3-pt shot from 30 ft (assist by J. Butler),3,92-101,,
