time,Utah,pts.away,score,pts.home,Orlando
5:42.0,,,52-51,3,S. Ibaka makes 3-pt shot from 25 ft
5:30.0,D. Favors misses 2-pt shot from 14 ft,,52-51,,
5:28.0,Offensive rebound by Team,,52-51,,
5:28.0,,,52-51,,Orlando full timeout
5:28.0,,,52-51,,A. Gordon enters the game for J. Green
5:28.0,J. Ingles enters the game for D. Favors,,52-51,,
5:28.0,T. Lyles enters the game for R. Hood,,52-51,,
5:19.0,Turnover by G. Hayward (bad pass),,52-51,,
5:07.0,Personal foul by J. Ingles (drawn by E. Fournier),,52-51,,
5:07.0,,,52-52,1,E. Fournier makes free throw 1 of 2
5:07.0,,,52-53,1,E. Fournier makes free throw 2 of 2
4:53.0,G. Hayward makes 2-pt shot from 3 ft,2,54-53,,
4:32.0,,,54-53,,N. Vucevic misses 2-pt shot from 5 ft (block by R. Gobert)
4:30.0,,,54-53,,Offensive rebound by S. Ibaka
4:29.0,,,54-55,2,S. Ibaka makes 2-pt shot from 3 ft
4:08.0,,,54-55,,Personal foul by E. Payton (drawn by G. Hayward)
4:08.0,,,54-55,,D. Augustin enters the game for E. Payton
4:08.0,,,54-55,,B. Biyombo enters the game for N. Vucevic
3:57.0,S. Mack misses 2-pt shot from 11 ft,,54-55,,
3:56.0,Offensive rebound by S. Mack,,54-55,,
3:46.0,,,54-55,,Personal foul by E. Fournier (drawn by S. Mack)
3:37.0,T. Lyles misses 3-pt shot from 26 ft,,54-55,,
3:36.0,,,54-55,,Defensive rebound by B. Biyombo
3:15.0,,,54-55,,E. Fournier misses 2-pt shot from 3 ft
3:13.0,Defensive rebound by T. Lyles,,54-55,,
2:56.0,T. Lyles makes 2-pt shot from 2 ft,2,56-55,,
2:36.0,,,56-55,,A. Gordon misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by S. Mack,,56-55,,
2:16.0,Shooting foul by B. Biyombo (drawn by G. Hayward),,56-55,,
2:16.0,Utah full timeout,,56-55,,
2:16.0,G. Hayward makes free throw 1 of 2,1,57-55,,
2:16.0,G. Hayward makes free throw 2 of 2,1,58-55,,
2:16.0,,,56-55,,D. Rudez enters the game for S. Ibaka
2:16.0,D. Favors enters the game for R. Gobert,,56-55,,
2:02.0,,,58-57,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
1:46.0,S. Mack misses 3-pt shot from 26 ft,,58-57,,
1:45.0,,,58-57,,Defensive rebound by A. Gordon
1:28.0,,,58-59,2,D. Augustin makes 2-pt shot from 2 ft
1:16.0,Turnover by T. Lyles (bad pass; steal by E. Fournier),,58-59,,
1:13.0,,,58-61,2,E. Fournier makes 2-pt shot at rim
0:51.0,D. Favors misses 2-pt shot from 16 ft,,58-61,,
0:50.0,,,58-61,,Defensive rebound by B. Biyombo
0:43.0,,,58-61,,Turnover by D. Augustin (lost ball; steal by S. Mack)
0:36.0,G. Hayward misses 2-pt shot from 2 ft (block by B. Biyombo),,58-61,,
0:34.0,,,58-61,,Defensive rebound by D. Rudez
0:32.0,,,58-64,3,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier)
0:13.0,G. Hayward misses 3-pt shot from 26 ft,,58-64,,
0:12.0,,,58-64,,Defensive rebound by E. Fournier
0:05.0,,,58-64,,Turnover by E. Fournier (lost ball; steal by J. Ingles)
0:01.0,S. Mack makes 2-pt shot from 2 ft (assist by G. Hayward),2,60-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,R. Hood misses 3-pt shot from 26 ft,,60-64,,
11:46.0,,,60-64,,Defensive rebound by A. Gordon
11:27.0,,,60-64,,A. Gordon misses 2-pt shot from 16 ft
11:26.0,Defensive rebound by D. Favors,,60-64,,
11:10.0,Shooting foul by C. Watson (drawn by D. Favors),,60-64,,
11:10.0,D. Favors makes free throw 1 of 2,1,61-64,,
11:10.0,D. Favors makes free throw 2 of 2,1,62-64,,
10:54.0,,,62-64,,A. Gordon misses 2-pt shot from 14 ft
10:53.0,,,62-64,,Offensive rebound by Team
10:53.0,Loose ball foul by S. Mack (drawn by B. Biyombo),,62-64,,
10:45.0,,,62-66,2,D. Augustin makes 2-pt shot from 3 ft
10:27.0,Turnover by D. Favors (bad pass; steal by C. Watson),,62-66,,
10:22.0,,,62-66,,C. Watson misses 2-pt shot from 2 ft (block by R. Hood)
10:20.0,Defensive rebound by S. Mack,,62-66,,
10:13.0,S. Mack makes 2-pt shot from 3 ft (assist by T. Lyles),2,64-66,,
10:01.0,,,64-66,,D. Augustin misses 3-pt shot from 26 ft
10:00.0,,,64-66,,Offensive rebound by A. Gordon
9:58.0,,,64-68,2,A. Gordon makes 2-pt shot at rim
9:48.0,Shooting foul by B. Biyombo (drawn by S. Mack),,64-68,,
9:48.0,S. Mack makes free throw 1 of 2,1,65-68,,
9:48.0,S. Mack makes free throw 2 of 2,1,66-68,,
9:37.0,,,66-68,,Shooting foul by S. Mack (drawn by D. Augustin)
9:37.0,,,66-68,,D. Augustin misses free throw 1 of 3
9:37.0,,,66-68,,Offensive rebound by Team
9:37.0,,,66-69,1,D. Augustin makes free throw 2 of 3
9:37.0,,,66-70,1,D. Augustin makes free throw 3 of 3
9:37.0,D. Exum enters the game for S. Mack,,66-69,,
9:26.0,D. Exum misses 2-pt shot at rim (block by B. Biyombo),,66-70,,
9:24.0,Offensive rebound by D. Exum,,66-70,,
9:23.0,D. Exum makes 2-pt shot from 2 ft,2,68-70,,
9:12.0,Personal foul by D. Exum (drawn by D. Augustin),,68-70,,
9:03.0,,,68-70,,Offensive foul by D. Augustin
9:03.0,,,68-70,,Turnover by D. Augustin (offensive foul)
8:47.0,,,68-70,,Personal foul by B. Biyombo (drawn by D. Exum)
8:47.0,Official timeout,,68-70,,
8:47.0,,,68-70,,E. Fournier enters the game for C. Watson
8:41.0,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles),3,71-70,,
8:23.0,Personal foul by T. Lyles (drawn by D. Augustin),,71-70,,
8:23.0,R. Gobert enters the game for D. Favors,,71-70,,
8:11.0,,,71-70,,B. Biyombo misses 2-pt shot from 18 ft
8:09.0,Defensive rebound by R. Hood,,71-70,,
7:52.0,R. Hood makes 2-pt shot at rim,2,73-70,,
7:42.0,Personal foul by J. Johnson (drawn by B. Biyombo),,73-70,,
7:42.0,,,73-70,,B. Biyombo misses free throw 1 of 2
7:42.0,,,73-70,,Offensive rebound by Team
7:42.0,,,73-71,1,B. Biyombo makes free throw 2 of 2
7:42.0,G. Hayward enters the game for J. Johnson,,73-70,,
7:20.0,R. Hood makes 2-pt shot from 22 ft,2,75-71,,
7:13.0,,,75-71,,Orlando full timeout
7:13.0,,,75-71,,S. Ibaka enters the game for D. Augustin
7:13.0,,,75-71,,E. Payton enters the game for D. Rudez
7:03.0,,,75-71,,E. Fournier misses 2-pt shot from 10 ft
7:00.0,,,75-71,,Offensive rebound by E. Fournier
6:59.0,,,75-71,,E. Fournier misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by Team,,75-71,,
6:58.0,,,75-71,,Loose ball foul by B. Biyombo (drawn by T. Lyles)
6:44.0,D. Exum misses 3-pt shot from 24 ft,,75-71,,
6:43.0,Offensive rebound by R. Gobert,,75-71,,
6:35.0,R. Hood misses 2-pt shot from 19 ft,,75-71,,
6:34.0,Offensive rebound by T. Lyles,,75-71,,
6:16.0,R. Hood misses 3-pt shot from 30 ft,,75-71,,
6:14.0,,,75-71,,Defensive rebound by B. Biyombo
6:04.0,,,75-71,,S. Ibaka misses 2-pt shot from 8 ft
6:02.0,Defensive rebound by R. Gobert,,75-71,,
5:45.0,D. Exum misses 3-pt shot from 25 ft,,75-71,,
5:44.0,,,75-71,,Defensive rebound by B. Biyombo
5:36.0,,,75-71,,E. Payton misses 2-pt shot from 2 ft
5:34.0,,,75-71,,Offensive rebound by E. Payton
5:33.0,,,75-71,,E. Payton misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by D. Exum,,75-71,,
5:22.0,Turnover by D. Exum (bad pass; steal by A. Gordon),,75-71,,
5:20.0,,,75-71,,Shooting foul by T. Lyles (drawn by B. Biyombo)
5:20.0,,,75-71,,B. Biyombo misses free throw 1 of 2
5:20.0,,,75-71,,Offensive rebound by Team
5:20.0,,,75-72,1,B. Biyombo makes free throw 2 of 2
5:20.0,D. Favors enters the game for T. Lyles,,75-71,,
5:20.0,S. Mack enters the game for D. Exum,,75-71,,
5:20.0,,,75-71,,J. Green enters the game for A. Gordon
4:59.0,G. Hayward misses 3-pt shot from 26 ft,,75-72,,
4:58.0,,,75-72,,Defensive rebound by J. Green
4:40.0,,,75-72,,S. Ibaka misses 2-pt shot from 11 ft (block by D. Favors)
4:38.0,Defensive rebound by G. Hayward,,75-72,,
4:19.0,D. Favors misses 2-pt shot from 17 ft,,75-72,,
4:18.0,,,75-72,,Defensive rebound by B. Biyombo
4:09.0,,,75-72,,S. Ibaka misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by R. Hood,,75-72,,
3:53.0,,,75-72,,Personal foul by E. Fournier (drawn by R. Hood)
3:53.0,R. Hood makes free throw 1 of 2,1,76-72,,
3:53.0,R. Hood makes free throw 2 of 2,1,77-72,,
3:53.0,,,76-72,,D. Augustin enters the game for E. Payton
3:53.0,,,76-72,,N. Vucevic enters the game for B. Biyombo
3:35.0,,,77-72,,N. Vucevic misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by R. Gobert,,77-72,,
3:20.0,S. Mack makes 3-pt shot from 25 ft (assist by G. Hayward),3,80-72,,
3:00.0,,,80-72,,D. Augustin misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by G. Hayward,,80-72,,
2:34.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Gobert),2,82-72,,
2:34.0,,,82-72,,Orlando full timeout
2:34.0,Utah full timeout,,82-72,,
2:14.0,,,82-72,,N. Vucevic misses 2-pt shot from 5 ft
2:12.0,Defensive rebound by D. Favors,,82-72,,
1:49.0,R. Hood misses 3-pt shot from 26 ft,,82-72,,
1:48.0,,,82-72,,Defensive rebound by N. Vucevic
1:35.0,,,82-72,,E. Fournier misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by G. Hayward,,82-72,,
1:17.0,D. Favors misses 2-pt shot from 2 ft,,82-72,,
1:16.0,,,82-72,,Defensive rebound by E. Fournier
