time,Minnesota,pts.away,score,pts.home,New York
1:20.0,,,14-25,,D. Rose misses 2-pt shot from 4 ft (block by C. Aldrich)
1:19.0,Defensive rebound by R. Rubio,,14-25,,
1:12.0,S. Muhammad makes 2-pt shot from 20 ft (assist by N. Bjelica),2,16-25,,
1:00.0,,,16-25,,Turnover by K. Porzingis (bad pass)
0:48.0,N. Bjelica misses 3-pt shot from 24 ft,,16-25,,
0:48.0,,,16-25,,Defensive rebound by J. Holiday
0:43.0,Personal foul by C. Aldrich (drawn by D. Rose),,16-25,,
0:43.0,,,16-26,1,D. Rose makes free throw 1 of 2
0:43.0,,,16-27,1,D. Rose makes free throw 2 of 2
0:43.0,,,16-26,,S. Vujacic enters the game for J. Holiday
0:34.0,A. Wiggins misses 2-pt shot from 7 ft,,16-27,,
0:33.0,Offensive rebound by Team,,16-27,,
0:33.0,,,16-27,,Loose ball foul by M. Kuzminskas (drawn by C. Aldrich)
0:30.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,18-27,,
0:12.0,,,18-30,3,S. Vujacic makes 3-pt shot from 25 ft (assist by K. Porzingis)
0:01.0,S. Muhammad makes 3-pt shot from 24 ft (assist by N. Bjelica),3,21-30,,
0:00.0,,,21-30,,D. Rose misses 3-pt shot from 79 ft
0:00.0,,,21-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,K. Dunn makes 2-pt shot from 3 ft,2,23-30,,
11:29.0,,,23-30,,Turnover by B. Jennings (bad pass; steal by C. Aldrich)
11:20.0,Z. LaVine misses 2-pt shot from 15 ft,,23-30,,
11:19.0,Offensive rebound by C. Aldrich,,23-30,,
11:05.0,N. Bjelica misses 3-pt shot from 26 ft,,23-30,,
11:05.0,,,23-30,,Defensive rebound by W. Hernangomez
10:54.0,,,23-30,,W. Hernangomez misses 2-pt shot from 5 ft (block by C. Aldrich)
10:53.0,Defensive rebound by S. Muhammad,,23-30,,
10:51.0,Turnover by S. Muhammad (bad pass; steal by S. Vujacic),,23-30,,
10:30.0,,,23-32,2,W. Hernangomez makes 2-pt shot at rim (assist by S. Vujacic)
10:09.0,C. Aldrich makes 2-pt shot from 7 ft (assist by K. Dunn),2,25-32,,
9:57.0,,,25-32,,B. Jennings misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by C. Aldrich,,25-32,,
9:46.0,C. Aldrich makes 2-pt shot from 7 ft,2,27-32,,
9:28.0,,,27-34,2,B. Jennings makes 2-pt shot from 1 ft (assist by W. Hernangomez)
9:06.0,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Dunn),3,30-34,,
8:52.0,,,30-34,,B. Jennings misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by C. Aldrich,,30-34,,
8:31.0,Z. LaVine misses 3-pt shot from 24 ft,,30-34,,
8:30.0,,,30-34,,Defensive rebound by K. Porzingis
8:23.0,,,30-36,2,W. Hernangomez makes 2-pt shot at rim (assist by B. Jennings)
8:07.0,S. Muhammad misses 3-pt shot from 24 ft,,30-36,,
8:06.0,,,30-36,,Defensive rebound by B. Jennings
7:59.0,,,30-39,3,S. Vujacic makes 3-pt shot from 25 ft (assist by B. Jennings)
7:50.0,Minnesota full timeout,,30-39,,
7:50.0,,,30-39,,K. O'Quinn enters the game for W. Hernangomez
7:38.0,N. Bjelica makes 2-pt shot from 7 ft,2,32-39,,
7:24.0,,,32-39,,Turnover by K. Porzingis (traveling)
7:05.0,N. Bjelica makes 2-pt shot from 21 ft (assist by K. Dunn),2,34-39,,
6:47.0,Def 3 sec tech foul by C. Aldrich,,34-39,,
6:47.0,,,34-40,1,K. Porzingis makes technical free throw
6:35.0,,,34-42,2,M. Kuzminskas makes 2-pt shot at rim
6:23.0,N. Bjelica makes 2-pt shot from 4 ft (assist by K. Dunn),2,36-42,,
6:15.0,Personal foul by K. Dunn (drawn by B. Jennings),,36-42,,
6:15.0,G. Dieng enters the game for C. Aldrich,,36-42,,
6:09.0,,,36-42,,C. Anthony enters the game for M. Kuzminskas
6:09.0,A. Wiggins enters the game for S. Muhammad,,36-42,,
6:09.0,Violation by Team (jump ball),,36-42,,
6:07.0,,,36-42,,K. Porzingis misses 2-pt shot from 18 ft
6:06.0,,,36-42,,Offensive rebound by Team
6:06.0,Loose ball foul by N. Bjelica (drawn by K. O'Quinn),,36-42,,
6:06.0,K. Towns enters the game for N. Bjelica,,36-42,,
5:52.0,,,36-45,3,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis)
5:35.0,Turnover by K. Towns (bad pass; steal by S. Vujacic),,36-45,,
5:28.0,,,36-48,3,C. Anthony makes 3-pt shot from 25 ft (assist by S. Vujacic)
5:15.0,Minnesota full timeout,,36-48,,
5:15.0,,,36-48,,D. Rose enters the game for S. Vujacic
5:07.0,A. Wiggins makes 2-pt shot from 18 ft (assist by Z. LaVine),2,38-48,,
4:53.0,,,38-51,3,K. Porzingis makes 3-pt shot from 23 ft (assist by B. Jennings)
4:37.0,Z. LaVine misses 2-pt shot from 2 ft,,38-51,,
4:36.0,Offensive rebound by G. Dieng,,38-51,,
4:35.0,G. Dieng makes 2-pt shot at rim,2,40-51,,
4:19.0,,,40-53,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by B. Jennings)
4:02.0,A. Wiggins makes 2-pt shot from 1 ft,2,42-53,,
3:42.0,,,42-53,,Turnover by D. Rose (step out of bounds)
3:42.0,R. Rubio enters the game for K. Dunn,,42-53,,
3:21.0,A. Wiggins misses 3-pt shot from 26 ft,,42-53,,
3:20.0,,,42-53,,Defensive rebound by K. Porzingis
3:08.0,Personal foul by Z. LaVine (drawn by C. Anthony),,42-53,,
3:08.0,,,42-53,,L. Thomas enters the game for K. Porzingis
2:51.0,,,42-55,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by L. Thomas)
2:42.0,Z. LaVine makes 2-pt shot from 8 ft (assist by K. Towns),2,44-55,,
2:42.0,,,44-55,,Shooting block foul by K. O'Quinn (drawn by Z. LaVine)
2:42.0,Official timeout,,44-55,,
2:42.0,Z. LaVine makes free throw 1 of 1,1,45-55,,
2:30.0,,,45-57,2,C. Anthony makes 2-pt shot from 19 ft (assist by B. Jennings)
2:14.0,A. Wiggins misses 2-pt shot from 21 ft,,45-57,,
2:12.0,,,45-57,,Defensive rebound by K. O'Quinn
2:02.0,,,45-57,,L. Thomas misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by G. Dieng,,45-57,,
1:47.0,Shooting foul by C. Anthony (drawn by A. Wiggins),,45-57,,
1:47.0,A. Wiggins makes free throw 1 of 2,1,46-57,,
1:47.0,A. Wiggins misses free throw 2 of 2,,46-57,,
1:45.0,,,46-57,,Defensive rebound by C. Anthony
1:29.0,,,46-57,,C. Anthony misses 2-pt shot from 1 ft
1:28.0,,,46-57,,Offensive rebound by K. O'Quinn
1:27.0,,,46-59,2,K. O'Quinn makes 2-pt shot from 1 ft
1:18.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,48-59,,
1:04.0,,,48-62,3,L. Thomas makes 3-pt shot from 22 ft (assist by D. Rose)
0:52.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,48-62,,
0:52.0,K. Towns makes free throw 1 of 2,1,49-62,,
0:52.0,K. Towns makes free throw 2 of 2,1,50-62,,
0:33.0,,,50-62,,Shooting foul by G. Dieng (drawn by D. Rose)
0:33.0,,,50-62,,D. Rose misses free throw 1 of 2
0:33.0,,,50-62,,Offensive rebound by Team
0:33.0,,,50-62,,D. Rose misses free throw 2 of 2
0:33.0,Defensive rebound by K. Towns,,50-62,,
0:17.0,,,50-62,,Personal foul by K. O'Quinn (drawn by Z. LaVine)
0:17.0,Z. LaVine makes free throw 1 of 2,1,51-62,,
0:17.0,Z. LaVine makes free throw 2 of 2,1,52-62,,
0:17.0,,,52-62,,New York full timeout
0:17.0,,,51-62,,K. Porzingis enters the game for K. O'Quinn
0:17.0,N. Bjelica enters the game for G. Dieng,,51-62,,
0:17.0,K. Dunn enters the game for K. Towns,,51-62,,
0:01.0,,,52-62,,C. Anthony misses 2-pt shot from 11 ft
0:00.0,,,52-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by K. Towns (traveling),,52-62,,
11:28.0,,,52-62,,K. Porzingis misses 2-pt shot from 20 ft
11:28.0,Defensive rebound by K. Towns,,52-62,,
11:18.0,K. Towns makes 3-pt shot from 25 ft (assist by Z. LaVine),3,55-62,,
10:57.0,,,55-64,2,D. Rose makes 2-pt shot from 12 ft
10:41.0,Offensive foul by G. Dieng,,55-64,,
10:41.0,Turnover by G. Dieng (offensive foul),,55-64,,
10:23.0,,,55-67,3,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Anthony)
10:12.0,Offensive foul by G. Dieng,,55-67,,
10:12.0,Turnover by G. Dieng (offensive foul),,55-67,,
10:12.0,C. Aldrich enters the game for G. Dieng,,55-67,,
9:50.0,,,55-69,2,D. Rose makes 2-pt shot from 21 ft (assist by K. Porzingis)
9:41.0,Shooting foul by K. Porzingis (drawn by K. Towns),,55-69,,
9:41.0,K. Towns makes free throw 1 of 2,1,56-69,,
9:41.0,K. Towns makes free throw 2 of 2,1,57-69,,
9:29.0,,,57-69,,J. Holiday misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by A. Wiggins,,57-69,,
9:22.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,57-69,,
9:22.0,A. Wiggins makes free throw 1 of 2,1,58-69,,
9:22.0,A. Wiggins makes free throw 2 of 2,1,59-69,,
9:08.0,,,59-69,,Turnover by J. Holiday (bad pass)
8:52.0,Z. LaVine makes 2-pt shot from 16 ft (assist by C. Aldrich),2,61-69,,
8:37.0,,,61-69,,D. Rose misses 2-pt shot from 1 ft (block by C. Aldrich)
8:36.0,Defensive rebound by C. Aldrich,,61-69,,
8:32.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,61-69,,
8:32.0,A. Wiggins makes free throw 1 of 2,1,62-69,,
8:32.0,A. Wiggins makes free throw 2 of 2,1,63-69,,
8:14.0,,,63-69,,C. Anthony misses 2-pt shot from 7 ft
8:13.0,,,63-69,,Offensive rebound by K. O'Quinn
8:12.0,,,63-71,2,K. O'Quinn makes 2-pt shot from 1 ft
8:01.0,C. Aldrich misses 2-pt shot from 6 ft (block by K. Porzingis),,63-71,,
7:59.0,,,63-71,,Defensive rebound by K. O'Quinn
7:50.0,,,63-73,2,K. O'Quinn makes 2-pt shot at rim (assist by D. Rose)
7:48.0,Minnesota full timeout,,63-73,,
7:33.0,K. Towns misses 2-pt shot from 20 ft,,63-73,,
7:33.0,Offensive rebound by C. Aldrich,,63-73,,
7:32.0,Shooting foul by K. Porzingis (drawn by K. Towns),,63-73,,
7:32.0,K. Towns misses free throw 1 of 2,,63-73,,
7:32.0,Offensive rebound by Team,,63-73,,
7:32.0,K. Towns makes free throw 2 of 2,1,64-73,,
7:12.0,,,64-75,2,D. Rose makes 2-pt shot from 4 ft
6:58.0,Z. LaVine misses 3-pt shot from 25 ft,,64-75,,
6:57.0,,,64-75,,Defensive rebound by J. Holiday
6:53.0,,,64-75,,Shooting foul by R. Rubio (drawn by J. Holiday)
6:53.0,,,64-76,1,J. Holiday makes free throw 1 of 2
6:53.0,,,64-77,1,J. Holiday makes free throw 2 of 2
6:41.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,64-77,,
6:41.0,K. Towns makes free throw 1 of 2,1,65-77,,
6:41.0,K. Towns makes free throw 2 of 2,1,66-77,,
6:21.0,,,66-77,,K. O'Quinn misses 2-pt shot from 2 ft (block by K. Towns)
6:20.0,Defensive rebound by C. Aldrich,,66-77,,
6:17.0,Z. LaVine misses 2-pt shot from 2 ft (block by K. Porzingis),,66-77,,
6:15.0,,,66-77,,Defensive rebound by D. Rose
6:09.0,,,66-80,3,C. Anthony makes 3-pt shot from 26 ft (assist by D. Rose)
6:05.0,Minnesota full timeout,,66-80,,
6:05.0,,,66-80,,W. Hernangomez enters the game for K. O'Quinn
5:56.0,A. Wiggins misses 2-pt shot from 16 ft,,66-80,,
5:54.0,Offensive rebound by C. Aldrich,,66-80,,
5:54.0,C. Aldrich misses 2-pt shot from 1 ft,,66-80,,
5:51.0,Offensive rebound by C. Aldrich,,66-80,,
5:51.0,C. Aldrich makes 2-pt shot from 1 ft,2,68-80,,
5:37.0,,,68-80,,Turnover by K. Porzingis (lost ball)
5:16.0,K. Towns makes 3-pt shot from 26 ft (assist by A. Wiggins),3,71-80,,
4:58.0,,,71-83,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Rose)
4:48.0,K. Towns misses 2-pt shot from 1 ft,,71-83,,
4:47.0,,,71-83,,Defensive rebound by J. Holiday
4:40.0,,,71-83,,J. Holiday misses 3-pt shot from 26 ft
4:39.0,Defensive rebound by Z. LaVine,,71-83,,
4:23.0,Shooting foul by W. Hernangomez (drawn by A. Wiggins),,71-83,,
4:23.0,A. Wiggins makes free throw 1 of 2,1,72-83,,
4:23.0,A. Wiggins makes free throw 2 of 2,1,73-83,,
4:23.0,S. Muhammad enters the game for Z. LaVine,,72-83,,
4:09.0,,,73-85,2,C. Anthony makes 2-pt shot from 16 ft (assist by D. Rose)
3:54.0,K. Towns makes 2-pt shot from 1 ft,2,75-85,,
3:38.0,,,75-87,2,D. Rose makes 2-pt shot from 15 ft
3:35.0,,,75-87,,Personal foul by D. Rose (drawn by C. Aldrich)
3:35.0,C. Aldrich makes free throw 1 of 2,1,76-87,,
3:35.0,C. Aldrich makes free throw 2 of 2,1,77-87,,
3:22.0,,,77-87,,Shooting foul by K. Towns (drawn by K. Porzingis)
3:22.0,,,77-88,1,K. Porzingis makes free throw 1 of 2
3:22.0,,,77-89,1,K. Porzingis makes free throw 2 of 2
3:22.0,,,77-88,,B. Jennings enters the game for D. Rose
3:07.0,A. Wiggins makes 2-pt shot from 7 ft,2,79-89,,
2:55.0,,,79-89,,Shooting foul by A. Wiggins (drawn by C. Anthony)
2:55.0,,,79-90,1,C. Anthony makes free throw 1 of 2
2:55.0,,,79-91,1,C. Anthony makes free throw 2 of 2
2:55.0,,,79-90,,M. Kuzminskas enters the game for K. Porzingis
2:44.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,82-91,,
2:34.0,Violation by C. Aldrich (kicked ball),,82-91,,
2:26.0,,,82-91,,C. Anthony misses 2-pt shot from 19 ft
2:25.0,Defensive rebound by K. Towns,,82-91,,
2:10.0,K. Dunn enters the game for R. Rubio,,82-91,,
2:10.0,N. Bjelica enters the game for K. Towns,,82-91,,
2:07.0,N. Bjelica makes 2-pt shot at rim (assist by S. Muhammad),2,84-91,,
1:51.0,,,84-94,3,C. Anthony makes 3-pt shot from 23 ft (assist by B. Jennings)
1:33.0,A. Wiggins misses 2-pt shot from 18 ft,,84-94,,
1:33.0,Offensive rebound by N. Bjelica,,84-94,,
1:30.0,N. Bjelica misses 2-pt shot from 1 ft,,84-94,,
1:29.0,,,84-94,,Defensive rebound by W. Hernangomez
1:26.0,,,84-94,,Turnover by B. Jennings (bad pass; steal by A. Wiggins)
1:15.0,A. Wiggins misses 3-pt shot from 26 ft,,84-94,,
1:15.0,Offensive rebound by C. Aldrich,,84-94,,
1:04.0,K. Dunn misses 2-pt shot from 23 ft,,84-94,,
1:03.0,,,84-94,,Defensive rebound by C. Anthony
0:47.0,,,84-96,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by B. Jennings)
0:37.0,K. Dunn makes 2-pt shot from 6 ft,2,86-96,,
0:31.0,,,86-96,,M. Kuzminskas misses 3-pt shot from 23 ft
0:30.0,,,86-96,,Offensive rebound by W. Hernangomez
0:30.0,,,86-98,2,W. Hernangomez makes 2-pt shot from 1 ft
0:15.0,C. Aldrich makes 2-pt shot from 1 ft (assist by A. Wiggins),2,88-98,,
0:05.0,Personal foul by A. Wiggins (drawn by C. Anthony),,88-98,,
0:05.0,,,88-98,,New York full timeout
0:02.0,,,88-98,,C. Anthony misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by S. Muhammad,,88-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,88-98,,Turnover by K. Porzingis (bad pass)
11:28.0,Z. LaVine makes 3-pt shot from 24 ft (assist by C. Aldrich),3,91-98,,
11:13.0,Personal foul by C. Aldrich (drawn by W. Hernangomez),,91-98,,
11:05.0,,,91-98,,S. Vujacic misses 3-pt shot from 25 ft
11:04.0,,,91-98,,Offensive rebound by Team
10:52.0,,,91-98,,W. Hernangomez misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by N. Bjelica,,91-98,,
10:46.0,Shooting foul by K. Porzingis (drawn by K. Dunn),,91-98,,
10:46.0,K. Dunn makes free throw 1 of 2,1,92-98,,
10:46.0,K. Dunn makes free throw 2 of 2,1,93-98,,
10:35.0,Personal foul by S. Muhammad (drawn by M. Kuzminskas),,93-98,,
10:29.0,,,93-98,,Turnover by B. Jennings (traveling)
10:05.0,S. Muhammad misses 3-pt shot from 23 ft,,93-98,,
10:04.0,,,93-98,,Defensive rebound by W. Hernangomez
9:47.0,,,93-98,,Turnover by W. Hernangomez (bad pass; steal by C. Aldrich)
9:43.0,,,93-98,,K. O'Quinn enters the game for W. Hernangomez
9:39.0,Z. LaVine misses 2-pt shot from 19 ft,,93-98,,
9:39.0,,,93-98,,Defensive rebound by B. Jennings
9:27.0,,,93-100,2,K. O'Quinn makes 2-pt shot from 18 ft (assist by B. Jennings)
9:12.0,Z. LaVine makes 2-pt shot from 17 ft,2,95-100,,
8:54.0,,,95-100,,B. Jennings misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by K. Dunn,,95-100,,
8:46.0,N. Bjelica misses 3-pt shot from 26 ft,,95-100,,
8:45.0,,,95-100,,Defensive rebound by B. Jennings
8:34.0,,,95-100,,Turnover by K. O'Quinn (bad pass; steal by Z. LaVine)
8:24.0,S. Muhammad makes 3-pt shot from 24 ft (assist by N. Bjelica),3,98-100,,
8:06.0,,,98-100,,Turnover by B. Jennings (lost ball; steal by K. Dunn)
8:01.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,100-100,,
8:01.0,,,100-100,,New York full timeout
8:01.0,,,100-100,,J. Holiday enters the game for S. Vujacic
8:01.0,,,100-100,,D. Rose enters the game for B. Jennings
7:42.0,,,100-100,,M. Kuzminskas misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by C. Aldrich,,100-100,,
7:18.0,S. Muhammad misses 2-pt shot from 7 ft,,100-100,,
7:17.0,Offensive rebound by N. Bjelica,,100-100,,
7:11.0,S. Muhammad misses 3-pt shot from 24 ft,,100-100,,
7:10.0,,,100-100,,Defensive rebound by D. Rose
7:02.0,,,100-100,,Shooting foul by K. Dunn (drawn by D. Rose)
7:02.0,,,100-100,,D. Rose misses free throw 1 of 2
7:02.0,,,100-100,,Offensive rebound by Team
7:02.0,,,100-101,1,D. Rose makes free throw 2 of 2
6:45.0,Turnover by S. Muhammad (bad pass; steal by D. Rose),,100-101,,
6:39.0,,,100-101,,J. Holiday misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by C. Aldrich,,100-101,,
6:34.0,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn),2,102-101,,
6:18.0,,,102-101,,Shooting foul by K. Dunn (drawn by K. Porzingis)
6:18.0,,,102-101,,K. Porzingis misses free throw 1 of 2
6:18.0,,,102-101,,Offensive rebound by Team
6:18.0,,,102-101,,K. Porzingis misses free throw 2 of 2
6:18.0,,,102-101,,C. Anthony enters the game for M. Kuzminskas
6:17.0,,,102-101,,Offensive rebound by K. O'Quinn
6:17.0,,,102-101,,K. O'Quinn misses 2-pt shot from 2 ft
6:15.0,,,102-101,,Offensive rebound by K. O'Quinn
6:13.0,,,102-103,2,K. O'Quinn makes 2-pt shot from 2 ft
5:54.0,N. Bjelica misses 3-pt shot from 26 ft,,102-103,,
5:53.0,,,102-103,,Defensive rebound by K. O'Quinn
5:42.0,,,102-103,,K. Porzingis misses 3-pt shot from 28 ft
5:41.0,,,102-103,,Offensive rebound by Team
5:41.0,Personal foul by C. Aldrich (drawn by K. O'Quinn),,102-103,,
5:41.0,Official timeout,,102-103,,
5:41.0,,,102-104,1,K. O'Quinn makes free throw 1 of 2
5:41.0,,,102-105,1,K. O'Quinn makes free throw 2 of 2
5:41.0,K. Towns enters the game for S. Muhammad,,102-103,,
5:41.0,A. Wiggins enters the game for N. Bjelica,,102-103,,
5:26.0,K. Towns misses 3-pt shot from 24 ft,,102-105,,
5:25.0,Offensive rebound by Team,,102-105,,
5:25.0,,,102-105,,Loose ball foul by K. Porzingis (drawn by C. Aldrich)
