time,Chicago,pts.away,score,pts.home,Philadelphia
9:34.0,,,26-24,,T. McConnell misses 2-pt shot from 16 ft
9:32.0,Defensive rebound by D. Valentine,,26-24,,
9:24.0,D. Valentine misses 3-pt shot from 24 ft,,26-24,,
9:22.0,Offensive rebound by D. Wade,,26-24,,
9:19.0,B. Portis makes 2-pt shot from 2 ft (assist by D. Wade),2,28-24,,
9:00.0,,,28-24,,N. Stauskas misses 2-pt shot from 16 ft
8:59.0,Defensive rebound by B. Portis,,28-24,,
8:53.0,Turnover by D. Wade (lost ball; steal by J. Okafor),,28-24,,
8:49.0,Personal foul by D. Valentine (drawn by D. Saric),,28-24,,
8:49.0,Official timeout,,28-24,,
8:49.0,,,28-25,1,D. Saric makes free throw 1 of 2
8:49.0,,,28-26,1,D. Saric makes free throw 2 of 2
8:49.0,R. Rondo enters the game for D. Valentine,,28-24,,
8:49.0,,,28-24,,R. Covington enters the game for N. Stauskas
8:41.0,R. Lopez misses 2-pt shot from 4 ft (block by J. Okafor),,28-26,,
8:41.0,Offensive rebound by Team,,28-26,,
8:41.0,,,28-26,,Personal foul by G. Henderson (drawn by B. Portis)
8:32.0,D. Wade makes 2-pt shot from 17 ft,2,30-26,,
8:15.0,,,30-26,,G. Henderson misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by B. Portis,,30-26,,
8:03.0,D. Wade makes 2-pt shot from 13 ft (assist by B. Portis),2,32-26,,
8:03.0,Shooting foul by D. Saric (drawn by D. Wade),,32-26,,
8:03.0,D. Wade misses free throw 1 of 1,,32-26,,
8:03.0,,,32-26,,J. Bayless enters the game for T. McConnell
8:02.0,,,32-26,,Defensive rebound by J. Okafor
7:49.0,,,32-28,2,D. Saric makes 2-pt shot from 1 ft
7:27.0,D. Wade misses 2-pt shot from 11 ft,,32-28,,
7:23.0,Offensive rebound by R. Lopez,,32-28,,
7:23.0,R. Lopez makes 2-pt shot from 1 ft,2,34-28,,
7:06.0,,,34-28,,Turnover by J. Okafor (bad pass; steal by R. Rondo)
7:00.0,R. Lopez misses 2-pt shot from 12 ft,,34-28,,
6:57.0,Offensive rebound by B. Portis,,34-28,,
6:55.0,B. Portis makes 2-pt shot at rim,2,36-28,,
6:41.0,,,36-28,,D. Saric misses 2-pt shot from 2 ft
6:39.0,Defensive rebound by R. Rondo,,36-28,,
6:30.0,R. Lopez makes 2-pt shot from 2 ft (assist by R. Rondo),2,38-28,,
6:30.0,,,38-28,,Philadelphia full timeout
6:30.0,T. Gibson enters the game for B. Portis,,38-28,,
6:30.0,J. Butler enters the game for D. Wade,,38-28,,
6:30.0,,,38-28,,E. Ilyasova enters the game for D. Saric
6:15.0,,,38-28,,J. Bayless misses 2-pt shot from 13 ft
6:13.0,,,38-28,,Offensive rebound by J. Okafor
6:13.0,,,38-30,2,J. Okafor makes 2-pt shot from 2 ft
5:57.0,R. Lopez misses 2-pt shot from 19 ft,,38-30,,
5:55.0,,,38-30,,Defensive rebound by E. Ilyasova
5:46.0,,,38-30,,G. Henderson misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by R. Rondo,,38-30,,
5:37.0,I. Canaan misses 3-pt shot from 23 ft,,38-30,,
5:36.0,Offensive rebound by R. Lopez,,38-30,,
5:36.0,,,38-30,,Personal foul by J. Okafor (drawn by R. Lopez)
5:36.0,R. Lopez makes free throw 1 of 2,1,39-30,,
5:36.0,R. Lopez makes free throw 2 of 2,1,40-30,,
5:24.0,,,40-30,,Offensive charge foul by R. Covington
5:24.0,,,40-30,,Turnover by R. Covington (offensive foul)
5:24.0,,,40-30,,N. Stauskas enters the game for R. Covington
5:12.0,R. Lopez misses 2-pt shot from 9 ft,,40-30,,
5:11.0,Offensive rebound by Team,,40-30,,
5:11.0,,,40-30,,Personal foul by E. Ilyasova (drawn by T. Gibson)
5:11.0,T. Gibson makes free throw 1 of 2,1,41-30,,
5:11.0,T. Gibson makes free throw 2 of 2,1,42-30,,
4:55.0,,,42-30,,G. Henderson misses 2-pt shot from 13 ft
4:54.0,Defensive rebound by R. Lopez,,42-30,,
4:38.0,Shooting foul by J. Okafor (drawn by I. Canaan),,42-30,,
4:38.0,,,42-30,,Technical foul by G. Henderson
4:38.0,J. Butler makes technical free throw,1,43-30,,
4:38.0,I. Canaan makes free throw 1 of 2,1,44-30,,
4:38.0,I. Canaan makes free throw 2 of 2,1,45-30,,
4:38.0,,,43-30,,R. Holmes enters the game for J. Okafor
4:19.0,,,45-33,3,E. Ilyasova makes 3-pt shot from 26 ft
4:02.0,I. Canaan misses 3-pt shot from 25 ft,,45-33,,
4:00.0,,,45-33,,Defensive rebound by J. Bayless
3:56.0,,,45-35,2,J. Bayless makes 2-pt shot from 1 ft
3:54.0,Chicago full timeout,,45-35,,
3:54.0,D. Wade enters the game for I. Canaan,,45-35,,
3:54.0,N. Mirotic enters the game for R. Lopez,,45-35,,
3:40.0,D. Wade misses 3-pt shot from 27 ft,,45-35,,
3:38.0,,,45-35,,Defensive rebound by E. Ilyasova
3:30.0,,,45-37,2,E. Ilyasova makes 2-pt shot from 4 ft
3:12.0,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo),2,47-37,,
3:12.0,Shooting foul by R. Holmes (drawn by T. Gibson),,47-37,,
3:12.0,T. Gibson misses free throw 1 of 1,,47-37,,
3:11.0,,,47-37,,Defensive rebound by E. Ilyasova
2:50.0,,,47-37,,E. Ilyasova misses 3-pt shot from 27 ft
2:47.0,Defensive rebound by R. Rondo,,47-37,,
2:41.0,Offensive charge foul by T. Gibson,,47-37,,
2:41.0,Turnover by T. Gibson (offensive foul),,47-37,,
2:31.0,,,47-37,,J. Bayless misses 2-pt shot from 17 ft
2:29.0,Defensive rebound by J. Butler,,47-37,,
2:19.0,J. Butler makes 2-pt shot from 4 ft,2,49-37,,
2:10.0,,,49-39,2,J. Bayless makes 2-pt shot at rim
2:02.0,J. Butler misses 3-pt shot from 26 ft,,49-39,,
2:01.0,,,49-39,,Defensive rebound by N. Stauskas
1:52.0,,,49-39,,N. Stauskas misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by T. Gibson,,49-39,,
1:44.0,R. Rondo makes 2-pt shot from 1 ft,2,51-39,,
1:37.0,,,51-39,,Turnover by R. Holmes (bad pass; steal by R. Rondo)
1:33.0,R. Rondo misses 2-pt shot from 10 ft,,51-39,,
1:32.0,,,51-39,,Defensive rebound by J. Bayless
1:18.0,,,51-39,,E. Ilyasova misses 2-pt shot from 1 ft (block by D. Wade)
1:15.0,,,51-39,,Offensive rebound by E. Ilyasova
1:15.0,,,51-41,2,E. Ilyasova makes 2-pt shot from 1 ft
1:04.0,T. Gibson misses 2-pt shot from 8 ft (block by R. Holmes),,51-41,,
1:02.0,,,51-41,,Defensive rebound by N. Stauskas
0:59.0,,,51-43,2,N. Stauskas makes 2-pt shot from 2 ft
0:49.0,Shooting foul by J. Bayless (drawn by R. Rondo),,51-43,,
0:49.0,R. Rondo misses free throw 1 of 3,,51-43,,
0:49.0,Offensive rebound by Team,,51-43,,
0:49.0,R. Rondo makes free throw 2 of 3,1,52-43,,
0:49.0,R. Rondo makes free throw 3 of 3,1,53-43,,
0:49.0,,,52-43,,H. Thompson enters the game for G. Henderson
0:39.0,,,53-43,,Shooting foul by R. Rondo (drawn by E. Ilyasova)
0:39.0,,,53-43,,E. Ilyasova misses free throw 1 of 2
0:39.0,,,53-43,,Offensive rebound by Team
0:39.0,,,53-44,1,E. Ilyasova makes free throw 2 of 2
0:30.0,J. Butler makes 2-pt shot from 14 ft,2,55-44,,
0:06.0,,,55-47,3,J. Bayless makes 3-pt shot from 26 ft
0:01.0,Shooting foul by H. Thompson (drawn by J. Butler),,55-47,,
0:01.0,J. Butler makes free throw 1 of 2,1,56-47,,
0:01.0,J. Butler makes free throw 2 of 2,1,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,57-50,3,G. Henderson makes 3-pt shot from 26 ft
11:09.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,59-50,,
10:48.0,,,59-50,,J. Okafor misses 2-pt shot from 16 ft
10:46.0,,,59-50,,Offensive rebound by J. Bayless
10:39.0,,,59-50,,R. Covington misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by D. Wade,,59-50,,
10:22.0,Shooting foul by G. Henderson (drawn by T. Gibson),,59-50,,
10:22.0,T. Gibson makes free throw 1 of 2,1,60-50,,
10:22.0,T. Gibson makes free throw 2 of 2,1,61-50,,
10:12.0,Personal foul by T. Gibson (drawn by G. Henderson),,61-50,,
10:02.0,,,61-50,,J. Bayless misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by T. Gibson,,61-50,,
9:55.0,T. Gibson makes 2-pt shot at rim (assist by R. Rondo),2,63-50,,
9:38.0,,,63-52,2,G. Henderson makes 2-pt shot from 2 ft (assist by E. Ilyasova)
9:28.0,D. Wade misses 2-pt shot from 15 ft,,63-52,,
9:26.0,,,63-52,,Defensive rebound by J. Okafor
9:22.0,Personal foul by D. Wade (drawn by J. Bayless),,63-52,,
9:03.0,,,63-52,,J. Okafor misses 2-pt shot from 1 ft (block by T. Gibson)
9:00.0,Defensive rebound by D. Wade,,63-52,,
8:49.0,R. Rondo makes 2-pt shot from 1 ft (assist by J. Butler),2,65-52,,
8:41.0,,,65-52,,Turnover by G. Henderson (step out of bounds)
8:24.0,R. Lopez misses 2-pt shot from 20 ft,,65-52,,
8:22.0,,,65-52,,Defensive rebound by E. Ilyasova
8:09.0,,,65-52,,Turnover by E. Ilyasova (bad pass; steal by D. Wade)
8:06.0,D. Wade makes 2-pt shot at rim,2,67-52,,
8:06.0,,,67-52,,Philadelphia full timeout
8:06.0,,,67-52,,N. Stauskas enters the game for G. Henderson
7:50.0,Violation by R. Lopez (def goaltending),,67-52,,
7:50.0,,,67-54,2,N. Stauskas makes 2-pt shot from 2 ft (assist by J. Okafor)
7:35.0,R. Lopez makes 2-pt shot from 18 ft (assist by R. Rondo),2,69-54,,
7:18.0,,,69-54,,Shooting foul by R. Rondo (drawn by E. Ilyasova)
7:18.0,,,69-55,1,E. Ilyasova makes free throw 1 of 2
7:18.0,,,69-56,1,E. Ilyasova makes free throw 2 of 2
6:57.0,R. Rondo misses 2-pt shot from 1 ft,,69-56,,
6:56.0,,,69-56,,Defensive rebound by E. Ilyasova
6:44.0,,,69-59,3,N. Stauskas makes 3-pt shot from 27 ft (assist by E. Ilyasova)
6:23.0,J. Butler makes 2-pt shot from 13 ft (assist by R. Rondo),2,71-59,,
6:02.0,,,71-59,,N. Stauskas misses 2-pt shot from 21 ft
6:00.0,Defensive rebound by D. Wade,,71-59,,
5:52.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson),2,73-59,,
5:52.0,,,73-59,,Philadelphia full timeout
5:52.0,,,73-59,,S. Rodriguez enters the game for J. Bayless
5:37.0,,,73-59,,S. Rodriguez misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by T. Gibson,,73-59,,
5:24.0,Shooting foul by N. Stauskas (drawn by D. Wade),,73-59,,
5:24.0,D. Wade makes free throw 1 of 2,1,74-59,,
5:24.0,D. Wade makes free throw 2 of 2,1,75-59,,
5:06.0,,,75-59,,N. Stauskas misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by T. Gibson,,75-59,,
4:56.0,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo),2,77-59,,
4:36.0,,,77-59,,Turnover by S. Rodriguez (bad pass; steal by D. Wade)
4:28.0,J. Butler makes 2-pt shot from 2 ft (assist by D. Wade),2,79-59,,
4:15.0,,,79-61,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by N. Stauskas)
3:49.0,R. Lopez misses 2-pt shot from 16 ft (block by N. Stauskas),,79-61,,
3:49.0,Offensive rebound by Team,,79-61,,
3:49.0,Turnover by Team (shot clock),,79-61,,
3:49.0,,,79-61,,R. Holmes enters the game for J. Okafor
3:49.0,,,79-61,,H. Thompson enters the game for R. Covington
3:49.0,,,79-61,,T. McConnell enters the game for S. Rodriguez
3:49.0,N. Mirotic enters the game for R. Lopez,,79-61,,
3:49.0,I. Canaan enters the game for D. Wade,,79-61,,
3:35.0,,,79-63,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by N. Stauskas)
3:21.0,D. Valentine enters the game for R. Rondo,,79-63,,
3:21.0,,,79-63,,D. Saric enters the game for E. Ilyasova
3:12.0,J. Butler makes 2-pt shot from 16 ft,2,81-63,,
2:56.0,,,81-63,,Turnover by T. McConnell (bad pass)
2:56.0,Chicago full timeout,,81-63,,
2:56.0,B. Portis enters the game for T. Gibson,,81-63,,
2:46.0,J. Butler makes 2-pt shot from 2 ft,2,83-63,,
2:46.0,Shooting foul by D. Saric (drawn by J. Butler),,83-63,,
2:46.0,J. Butler makes free throw 1 of 1,1,84-63,,
2:30.0,,,84-63,,Turnover by D. Saric (bad pass; steal by D. Valentine)
2:24.0,I. Canaan misses 2-pt shot from 3 ft,,84-63,,
2:21.0,,,84-63,,Defensive rebound by H. Thompson
2:16.0,,,84-63,,Turnover by N. Stauskas (bad pass; steal by J. Butler)
2:11.0,B. Portis misses 2-pt shot from 1 ft (block by N. Stauskas),,84-63,,
2:07.0,Offensive rebound by N. Mirotic,,84-63,,
2:04.0,I. Canaan misses 3-pt shot from 27 ft,,84-63,,
2:02.0,,,84-63,,Defensive rebound by R. Holmes
1:49.0,,,84-63,,D. Saric misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by I. Canaan,,84-63,,
1:32.0,Turnover by N. Mirotic (lost ball; steal by H. Thompson),,84-63,,
1:26.0,,,84-63,,Turnover by N. Stauskas (bad pass; steal by I. Canaan)
1:17.0,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis),3,87-63,,
1:04.0,,,87-63,,Shooting foul by I. Canaan (drawn by N. Stauskas)
1:04.0,,,87-64,1,N. Stauskas makes free throw 1 of 2
1:04.0,,,87-64,,N. Stauskas misses free throw 2 of 2
1:04.0,,,87-64,,J. Bayless enters the game for H. Thompson
1:02.0,Defensive rebound by I. Canaan,,87-64,,
0:47.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,90-64,,
0:32.0,,,90-64,,R. Holmes misses 2-pt shot from 9 ft
0:30.0,Defensive rebound by I. Canaan,,90-64,,
0:16.0,I. Canaan misses 3-pt shot from 22 ft,,90-64,,
0:14.0,,,90-64,,Defensive rebound by D. Saric
0:01.0,,,90-64,,D. Saric misses 2-pt shot from 1 ft
0:00.0,,,90-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,D. Valentine misses 2-pt shot from 12 ft,,90-64,,
11:37.0,,,90-64,,Defensive rebound by T. McConnell
11:32.0,,,90-64,,T. McConnell misses 2-pt shot from 1 ft
11:30.0,,,90-64,,Offensive rebound by R. Holmes
11:30.0,,,90-66,2,R. Holmes makes 2-pt shot at rim
11:10.0,Turnover by I. Canaan (lost ball; steal by T. McConnell),,90-66,,
11:06.0,,,90-66,,Shooting foul by D. Wade (drawn by J. Bayless)
11:06.0,,,90-67,1,J. Bayless makes free throw 1 of 2
11:06.0,,,90-68,1,J. Bayless makes free throw 2 of 2
11:06.0,,,90-67,,H. Thompson enters the game for N. Stauskas
10:48.0,D. Wade makes 2-pt shot from 17 ft,2,92-68,,
10:30.0,,,92-70,2,J. Bayless makes 2-pt shot from 9 ft (assist by D. Saric)
10:16.0,N. Mirotic misses 2-pt shot from 14 ft,,92-70,,
10:15.0,,,92-70,,Defensive rebound by H. Thompson
9:59.0,,,92-70,,Turnover by D. Saric (bad pass)
9:59.0,,,92-70,,T. Luwawu-Cabarrot enters the game for T. McConnell
9:49.0,D. Wade makes 2-pt shot from 14 ft,2,94-70,,
9:30.0,,,94-70,,J. Bayless misses 2-pt shot from 2 ft
9:29.0,,,94-70,,Offensive rebound by R. Holmes
9:29.0,,,94-70,,R. Holmes misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by D. Valentine,,94-70,,
9:20.0,D. Wade makes 3-pt shot from 23 ft,3,97-70,,
8:58.0,,,97-70,,J. Bayless misses 2-pt shot from 15 ft
8:57.0,,,97-70,,Offensive rebound by R. Holmes
8:57.0,,,97-72,2,R. Holmes makes 2-pt shot from 1 ft
8:57.0,,,97-72,,Shooting foul by B. Portis (drawn by R. Holmes)
8:57.0,Official timeout,,97-72,,
8:57.0,,,97-73,1,R. Holmes makes free throw 1 of 1
8:45.0,D. Wade makes 2-pt shot from 15 ft,2,99-73,,
8:36.0,,,99-73,,Turnover by J. Bayless (lost ball)
8:23.0,D. Wade makes 2-pt shot from 19 ft,2,101-73,,
8:10.0,,,101-73,,R. Holmes misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by N. Mirotic,,101-73,,
7:59.0,D. Wade misses 3-pt shot from 26 ft,,101-73,,
7:57.0,,,101-73,,Defensive rebound by H. Thompson
7:50.0,,,101-73,,Shooting foul by B. Portis (drawn by R. Holmes)
7:50.0,,,101-74,1,R. Holmes makes free throw 1 of 2
7:50.0,,,101-75,1,R. Holmes makes free throw 2 of 2
7:50.0,,,101-74,,S. Rodriguez enters the game for J. Bayless
7:50.0,,,101-74,,E. Ilyasova enters the game for D. Saric
7:34.0,B. Portis misses 2-pt shot from 17 ft,,101-75,,
7:31.0,,,101-75,,Defensive rebound by S. Rodriguez
7:19.0,,,101-75,,H. Thompson misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by I. Canaan,,101-75,,
7:13.0,N. Mirotic makes 2-pt shot from 2 ft (assist by I. Canaan),2,103-75,,
7:13.0,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Mirotic),,103-75,,
7:13.0,N. Mirotic misses free throw 1 of 1,,103-75,,
7:13.0,,,103-75,,J. Okafor enters the game for R. Holmes
7:13.0,J. Grant enters the game for D. Wade,,103-75,,
7:13.0,C. Felicio enters the game for B. Portis,,103-75,,
7:11.0,,,103-75,,Defensive rebound by E. Ilyasova
6:54.0,,,103-75,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft (block by C. Felicio)
6:53.0,Defensive rebound by C. Felicio,,103-75,,
6:40.0,D. Valentine misses 3-pt shot from 24 ft,,103-75,,
6:38.0,,,103-75,,Defensive rebound by T. Luwawu-Cabarrot
6:20.0,,,103-78,3,H. Thompson makes 3-pt shot from 26 ft (assist by T. Luwawu-Cabarrot)
6:06.0,N. Mirotic misses 3-pt shot from 25 ft,,103-78,,
6:04.0,,,103-78,,Defensive rebound by J. Okafor
5:58.0,,,103-80,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Rodriguez)
5:43.0,D. Valentine makes 2-pt shot from 22 ft (assist by C. Felicio),2,105-80,,
5:24.0,,,105-80,,S. Rodriguez misses 2-pt shot from 22 ft
5:22.0,Defensive rebound by I. Canaan,,105-80,,
5:05.0,Turnover by I. Canaan (lost ball),,105-80,,
5:05.0,,,105-80,,Philadelphia full timeout
4:49.0,,,105-80,,Shooting foul by J. Grant (drawn by T. Luwawu-Cabarrot)
