time,LA Lakers,pts.away,score,pts.home,New York
6:33.0,,,14-8,,Defensive rebound by D. Rose
6:14.0,,,14-8,,C. Lee misses 2-pt shot from 6 ft
6:13.0,Defensive rebound by B. Ingram,,14-8,,
6:07.0,N. Young misses 3-pt shot from 24 ft,,14-8,,
6:06.0,Offensive rebound by L. Nance,,14-8,,
6:02.0,B. Ingram makes 3-pt shot from 25 ft (assist by D. Russell),3,17-8,,
6:02.0,,,17-8,,New York full timeout
6:02.0,,,17-8,,W. Hernangomez enters the game for K. O'Quinn
5:49.0,,,17-8,,K. Porzingis misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by L. Nance,,17-8,,
5:33.0,B. Ingram misses 3-pt shot from 25 ft,,17-8,,
5:33.0,Offensive rebound by T. Black,,17-8,,
5:30.0,,,17-8,,Personal block foul by W. Hernangomez (drawn by B. Ingram)
5:19.0,N. Young makes 3-pt shot from 25 ft (assist by D. Russell),3,20-8,,
5:04.0,,,20-10,2,D. Rose makes 2-pt shot from 2 ft
5:04.0,,,20-10,,Shooting foul by T. Black (drawn by D. Rose)
5:04.0,,,20-11,1,D. Rose makes free throw 1 of 1
5:04.0,L. Deng enters the game for B. Ingram,,20-10,,
4:46.0,L. Nance misses 2-pt shot from 11 ft,,20-11,,
4:45.0,,,20-11,,Defensive rebound by D. Rose
4:39.0,Personal foul by T. Black (drawn by K. Porzingis),,20-11,,
4:39.0,I. Zubac enters the game for T. Black,,20-11,,
4:39.0,J. Clarkson enters the game for N. Young,,20-11,,
4:39.0,Violation by Team (jump ball),,20-11,,
4:32.0,,,20-11,,W. Hernangomez misses 2-pt shot at rim (block by I. Zubac)
4:31.0,Defensive rebound by J. Clarkson,,20-11,,
4:22.0,I. Zubac misses 2-pt shot from 8 ft,,20-11,,
4:21.0,,,20-11,,Defensive rebound by C. Anthony
4:17.0,Personal foul by I. Zubac (drawn by W. Hernangomez),,20-11,,
4:04.0,,,20-11,,C. Anthony misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by Team,,20-11,,
3:55.0,L. Deng misses 3-pt shot from 26 ft,,20-11,,
3:54.0,,,20-11,,Defensive rebound by W. Hernangomez
3:44.0,,,20-13,2,C. Anthony makes 2-pt shot from 9 ft
3:44.0,,,20-13,,Shooting foul by L. Deng (drawn by C. Anthony)
3:44.0,,,20-13,,C. Anthony misses free throw 1 of 1
3:44.0,,,20-13,,J. Holiday enters the game for C. Lee
3:44.0,L. Williams enters the game for D. Russell,,20-13,,
3:43.0,Defensive rebound by I. Zubac,,20-13,,
3:31.0,I. Zubac misses 2-pt shot from 1 ft,,20-13,,
3:30.0,,,20-13,,Defensive rebound by W. Hernangomez
3:20.0,,,20-13,,K. Porzingis misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by J. Clarkson,,20-13,,
3:05.0,L. Deng misses 2-pt shot from 19 ft,,20-13,,
3:04.0,,,20-13,,Defensive rebound by Team
3:03.0,,,20-13,,M. Kuzminskas enters the game for K. Porzingis
2:53.0,,,20-13,,C. Anthony misses 2-pt shot from 13 ft
2:52.0,,,20-13,,Offensive rebound by Team
2:52.0,LA Lakers full timeout,,20-13,,
2:39.0,,,20-13,,C. Anthony misses 2-pt shot from 19 ft
2:38.0,Defensive rebound by L. Nance,,20-13,,
2:15.0,L. Nance misses 2-pt shot from 8 ft,,20-13,,
2:13.0,,,20-13,,Defensive rebound by C. Anthony
2:03.0,,,20-13,,D. Rose misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by I. Zubac,,20-13,,
1:51.0,J. Clarkson makes 2-pt shot from 2 ft,2,22-13,,
1:44.0,Personal foul by L. Williams,,22-13,,
1:44.0,,,22-13,,J. Holiday misses free throw 1 of 2
1:44.0,,,22-13,,Offensive rebound by Team
1:44.0,,,22-14,1,J. Holiday makes free throw 2 of 2
1:44.0,,,22-13,,B. Jennings enters the game for D. Rose
1:30.0,I. Zubac misses 2-pt shot from 6 ft,,22-14,,
1:29.0,,,22-14,,Defensive rebound by W. Hernangomez
1:16.0,,,22-16,2,C. Anthony makes 2-pt shot from 2 ft
1:09.0,L. Williams makes 2-pt shot from 2 ft,2,24-16,,
0:58.0,,,24-18,2,W. Hernangomez makes 2-pt shot from 4 ft
0:52.0,,,24-18,,Personal foul by C. Anthony (drawn by J. Clarkson)
0:44.0,I. Zubac misses 2-pt shot from 2 ft,,24-18,,
0:42.0,Offensive rebound by I. Zubac,,24-18,,
0:42.0,I. Zubac makes 2-pt shot from 2 ft,2,26-18,,
0:36.0,Personal foul by J. Clarkson (drawn by B. Jennings),,26-18,,
0:36.0,,,26-18,,B. Jennings misses free throw 1 of 2
0:36.0,,,26-18,,Offensive rebound by Team
0:36.0,,,26-19,1,B. Jennings makes free throw 2 of 2
0:30.0,L. Williams makes 3-pt shot from 25 ft,3,29-19,,
0:10.0,,,29-19,,Turnover by C. Anthony (lost ball; steal by L. Nance)
0:00.0,J. Clarkson misses 3-pt shot from 26 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Clarkson misses 2-pt shot from 1 ft,,29-19,,
11:35.0,,,29-19,,Defensive rebound by W. Hernangomez
11:28.0,,,29-21,2,J. Holiday makes 2-pt shot from 1 ft (assist by B. Jennings)
11:18.0,L. Nance misses 2-pt shot from 2 ft,,29-21,,
11:17.0,,,29-21,,Defensive rebound by K. Porzingis
11:10.0,,,29-21,,W. Hernangomez misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by L. Nance,,29-21,,
10:58.0,L. Deng makes 2-pt shot from 9 ft,2,31-21,,
10:58.0,Shooting foul by M. Kuzminskas (drawn by L. Deng),,31-21,,
10:58.0,L. Deng makes free throw 1 of 1,1,32-21,,
10:47.0,,,32-23,2,M. Kuzminskas makes 2-pt shot from 6 ft
10:33.0,L. Deng misses 3-pt shot from 23 ft,,32-23,,
10:32.0,,,32-23,,Defensive rebound by W. Hernangomez
10:19.0,,,32-23,,W. Hernangomez misses 2-pt shot from 3 ft (block by I. Zubac)
10:18.0,Defensive rebound by I. Zubac,,32-23,,
10:13.0,J. Clarkson misses 2-pt shot from 2 ft,,32-23,,
10:11.0,Offensive rebound by L. Nance,,32-23,,
10:10.0,L. Nance makes 2-pt shot from 2 ft,2,34-23,,
10:02.0,,,34-23,,M. Kuzminskas misses 2-pt shot from 2 ft (block by L. Deng)
10:00.0,,,34-23,,Offensive rebound by M. Kuzminskas
9:59.0,,,34-23,,M. Kuzminskas misses 2-pt shot at rim (block by I. Zubac)
9:57.0,Defensive rebound by I. Zubac,,34-23,,
9:51.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Williams),2,36-23,,
9:37.0,,,36-25,2,W. Hernangomez makes 2-pt shot at rim (assist by B. Jennings)
9:25.0,L. Williams misses 2-pt shot from 4 ft (block by J. Holiday),,36-25,,
9:24.0,Offensive rebound by L. Williams,,36-25,,
9:23.0,Turnover by L. Williams (lost ball; steal by W. Hernangomez),,36-25,,
9:18.0,,,36-25,,J. Holiday misses 2-pt shot from 2 ft (block by I. Zubac)
9:17.0,,,36-25,,Offensive rebound by Team
9:17.0,Loose ball foul by L. Nance (drawn by K. Porzingis),,36-25,,
9:17.0,LA Lakers full timeout,,36-25,,
9:17.0,T. Black enters the game for I. Zubac,,36-25,,
9:17.0,,,36-25,,M. Plumlee enters the game for W. Hernangomez
9:05.0,,,36-25,,J. Holiday misses 3-pt shot from 22 ft
9:04.0,Defensive rebound by L. Deng,,36-25,,
8:53.0,Shooting foul by M. Plumlee,,36-25,,
8:53.0,L. Williams makes 3-pt shot from 24 ft,3,39-25,,
8:53.0,L. Williams makes free throw 1 of 1,1,40-25,,
8:41.0,,,40-25,,Shooting foul by L. Nance (drawn by K. Porzingis)
8:41.0,,,40-25,,K. Porzingis misses free throw 1 of 2
8:41.0,,,40-25,,Offensive rebound by Team
8:41.0,,,40-26,1,K. Porzingis makes free throw 2 of 2
8:41.0,,,40-25,,D. Rose enters the game for J. Holiday
8:24.0,T. Black makes 2-pt shot from 2 ft (assist by L. Williams),2,42-26,,
8:15.0,,,42-26,,M. Kuzminskas misses 3-pt shot from 24 ft
8:14.0,,,42-26,,Offensive rebound by Team
8:14.0,Loose ball foul by T. Black (drawn by M. Plumlee),,42-26,,
8:14.0,J. Randle enters the game for L. Nance,,42-26,,
8:00.0,,,42-26,,D. Rose misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by T. Black,,42-26,,
7:53.0,Shooting foul by M. Plumlee (drawn by J. Clarkson),,42-26,,
7:53.0,J. Clarkson makes free throw 1 of 2,1,43-26,,
7:53.0,J. Clarkson makes free throw 2 of 2,1,44-26,,
7:53.0,,,43-26,,C. Anthony enters the game for M. Kuzminskas
7:53.0,,,43-26,,K. O'Quinn enters the game for M. Plumlee
7:35.0,,,44-26,,K. Porzingis misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by T. Black,,44-26,,
7:26.0,L. Williams makes 3-pt shot from 23 ft (assist by J. Randle),3,47-26,,
7:26.0,,,47-26,,New York full timeout
7:26.0,B. Ingram enters the game for L. Deng,,47-26,,
7:16.0,,,47-26,,Turnover by K. Porzingis (step out of bounds)
6:51.0,J. Randle makes 2-pt shot from 10 ft,2,49-26,,
6:32.0,,,49-26,,Shooting foul by J. Randle (drawn by K. O'Quinn)
6:32.0,,,49-27,1,K. O'Quinn makes free throw 1 of 2
6:32.0,,,49-28,1,K. O'Quinn makes free throw 2 of 2
6:16.0,J. Clarkson makes 2-pt shot from 12 ft,2,51-28,,
6:02.0,,,51-28,,B. Jennings misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by T. Black,,51-28,,
5:59.0,J. Randle misses 2-pt shot from 1 ft (block by K. Porzingis),,51-28,,
5:58.0,Offensive rebound by Team,,51-28,,
5:43.0,J. Clarkson misses 3-pt shot from 25 ft,,51-28,,
5:42.0,,,51-28,,Defensive rebound by K. Porzingis
5:36.0,,,51-28,,Turnover by D. Rose (bad pass)
5:36.0,,,51-28,,C. Lee enters the game for K. Porzingis
5:23.0,T. Black makes 2-pt shot from 1 ft (assist by L. Williams),2,53-28,,
5:07.0,,,53-28,,K. O'Quinn misses 2-pt shot from 14 ft
5:06.0,Defensive rebound by J. Clarkson,,53-28,,
4:58.0,T. Black misses 2-pt shot at rim,,53-28,,
4:56.0,,,53-28,,Defensive rebound by D. Rose
4:54.0,,,53-30,2,B. Jennings makes 2-pt shot from 1 ft (assist by C. Lee)
4:38.0,L. Williams misses 3-pt shot from 25 ft,,53-30,,
4:36.0,Offensive rebound by T. Black,,53-30,,
4:35.0,T. Black misses 2-pt shot from 1 ft,,53-30,,
4:32.0,Offensive rebound by T. Black,,53-30,,
4:32.0,T. Black misses 2-pt shot from 1 ft,,53-30,,
4:32.0,Offensive rebound by J. Clarkson,,53-30,,
4:32.0,T. Black misses 2-pt shot from 1 ft,,53-30,,
4:32.0,Offensive rebound by T. Black,,53-30,,
4:29.0,J. Clarkson makes 2-pt shot from 2 ft,2,55-30,,
4:15.0,,,55-30,,C. Lee misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by J. Clarkson,,55-30,,
4:05.0,J. Randle makes 2-pt shot from 1 ft,2,57-30,,
4:05.0,,,57-30,,New York full timeout
4:05.0,,,57-30,,W. Hernangomez enters the game for K. O'Quinn
4:05.0,I. Zubac enters the game for T. Black,,57-30,,
3:45.0,,,57-32,2,C. Anthony makes 2-pt shot from 1 ft
3:22.0,J. Randle misses 2-pt shot from 2 ft,,57-32,,
3:21.0,,,57-32,,Defensive rebound by W. Hernangomez
3:11.0,,,57-32,,C. Anthony misses 2-pt shot from 19 ft
3:10.0,Defensive rebound by B. Ingram,,57-32,,
3:00.0,B. Ingram misses 2-pt shot from 2 ft,,57-32,,
2:59.0,,,57-32,,Defensive rebound by C. Lee
2:49.0,,,57-35,3,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose)
2:49.0,LA Lakers full timeout,,57-35,,
2:49.0,Official timeout,,57-35,,
2:49.0,,,57-35,,J. Holiday enters the game for B. Jennings
2:49.0,N. Young enters the game for J. Clarkson,,57-35,,
2:49.0,D. Russell enters the game for L. Williams,,57-35,,
2:34.0,I. Zubac makes 2-pt shot at rim (assist by D. Russell),2,59-35,,
2:13.0,,,59-37,2,C. Anthony makes 2-pt shot from 19 ft
1:52.0,N. Young misses 2-pt shot from 22 ft,,59-37,,
1:50.0,,,59-37,,Defensive rebound by C. Lee
1:39.0,,,59-37,,W. Hernangomez misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by D. Russell,,59-37,,
1:33.0,J. Randle misses 2-pt shot at rim,,59-37,,
1:32.0,,,59-37,,Defensive rebound by W. Hernangomez
1:23.0,,,59-40,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Anthony)
1:03.0,N. Young misses 3-pt shot from 24 ft,,59-40,,
1:02.0,,,59-40,,Defensive rebound by W. Hernangomez
0:48.0,,,59-42,2,C. Anthony makes 2-pt shot from 1 ft
0:48.0,,,59-42,,Shooting foul by I. Zubac (drawn by C. Anthony)
0:48.0,,,59-43,1,C. Anthony makes free throw 1 of 1
0:39.0,,,59-43,,Personal foul by W. Hernangomez (drawn by I. Zubac)
0:29.0,B. Ingram makes 2-pt shot from 3 ft (assist by J. Randle),2,61-43,,
0:17.0,Personal foul by J. Randle (drawn by C. Anthony),,61-43,,
0:17.0,,,61-44,1,C. Anthony makes free throw 1 of 2
0:17.0,,,61-45,1,C. Anthony makes free throw 2 of 2
0:17.0,L. Williams enters the game for B. Ingram,,61-44,,
0:05.0,D. Russell misses 2-pt shot from 10 ft,,61-45,,
0:03.0,,,61-45,,Defensive rebound by C. Anthony
0:00.0,,,61-45,,C. Lee misses 3-pt shot from 26 ft
0:00.0,,,61-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,N. Young misses 3-pt shot from 24 ft,,61-45,,
11:32.0,Offensive rebound by T. Black,,61-45,,
11:20.0,J. Randle misses 2-pt shot from 10 ft,,61-45,,
11:19.0,,,61-45,,Defensive rebound by W. Hernangomez
11:03.0,,,61-47,2,K. Porzingis makes 2-pt shot from 14 ft (assist by C. Anthony)
10:46.0,N. Young makes 3-pt shot from 25 ft (assist by D. Russell),3,64-47,,
10:26.0,,,64-47,,D. Rose misses 2-pt shot from 3 ft
10:25.0,,,64-47,,Offensive rebound by W. Hernangomez
10:25.0,,,64-47,,Shooting foul by J. Randle (drawn by W. Hernangomez)
10:25.0,,,64-48,1,W. Hernangomez makes free throw 1 of 2
10:25.0,,,64-49,1,W. Hernangomez makes free throw 2 of 2
10:18.0,B. Ingram misses 2-pt shot at rim,,64-49,,
10:17.0,Offensive rebound by J. Randle,,64-49,,
10:17.0,J. Randle makes 2-pt shot from 1 ft,2,66-49,,
10:09.0,,,66-49,,Shooting foul by J. Randle (drawn by C. Anthony)
10:09.0,,,66-49,,C. Anthony misses free throw 1 of 2
10:09.0,,,66-49,,Offensive rebound by Team
10:09.0,,,66-50,1,C. Anthony makes free throw 2 of 2
9:50.0,J. Randle misses 2-pt shot from 3 ft,,66-50,,
9:49.0,Offensive rebound by T. Black,,66-50,,
9:49.0,T. Black makes 2-pt shot at rim,2,68-50,,
9:36.0,,,68-52,2,K. Porzingis makes 2-pt shot from 7 ft
9:20.0,Turnover by B. Ingram (bad pass),,68-52,,
9:20.0,L. Nance enters the game for J. Randle,,68-52,,
9:06.0,,,68-52,,C. Anthony misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by N. Young,,68-52,,
8:55.0,B. Ingram misses 3-pt shot from 24 ft,,68-52,,
8:54.0,Offensive rebound by D. Russell,,68-52,,
8:53.0,N. Young misses 3-pt shot from 25 ft,,68-52,,
8:52.0,Offensive rebound by Team,,68-52,,
8:52.0,,,68-52,,Loose ball foul by C. Anthony (drawn by B. Ingram)
8:48.0,Shooting foul by W. Hernangomez (drawn by T. Black),,68-52,,
8:48.0,T. Black misses free throw 1 of 2,,68-52,,
8:48.0,Offensive rebound by Team,,68-52,,
8:48.0,T. Black makes free throw 2 of 2,1,69-52,,
8:37.0,,,69-52,,D. Rose misses 2-pt shot from 12 ft
8:36.0,Defensive rebound by N. Young,,69-52,,
8:29.0,N. Young misses 3-pt shot from 25 ft,,69-52,,
8:28.0,,,69-52,,Defensive rebound by K. Porzingis
8:17.0,,,69-54,2,C. Lee makes 2-pt shot from 10 ft
7:57.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Nance),2,71-54,,
7:57.0,Shooting foul by K. Porzingis (drawn by B. Ingram),,71-54,,
7:57.0,B. Ingram misses free throw 1 of 1,,71-54,,
7:56.0,,,71-54,,Defensive rebound by K. Porzingis
7:36.0,,,71-54,,Turnover by C. Anthony (bad pass; steal by L. Nance)
7:35.0,Turnover by L. Nance (bad pass),,71-54,,
7:23.0,,,71-54,,Turnover by C. Anthony (traveling)
7:13.0,B. Ingram makes 2-pt shot at rim (assist by D. Russell),2,73-54,,
6:59.0,,,73-54,,K. Porzingis misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by N. Young,,73-54,,
6:53.0,T. Black makes 2-pt shot at rim (assist by B. Ingram),2,75-54,,
6:41.0,Personal foul by B. Ingram (drawn by C. Anthony),,75-54,,
6:41.0,,,75-54,,K. O'Quinn enters the game for W. Hernangomez
6:38.0,Personal foul by D. Russell (drawn by C. Anthony),,75-54,,
6:31.0,,,75-54,,Turnover by K. Porzingis (bad pass)
6:21.0,Shooting foul by C. Lee (drawn by D. Russell),,75-54,,
6:21.0,D. Russell makes free throw 1 of 2,1,76-54,,
6:21.0,D. Russell makes free throw 2 of 2,1,77-54,,
6:07.0,,,77-54,,C. Anthony misses 2-pt shot from 22 ft
6:06.0,,,77-54,,Offensive rebound by K. O'Quinn
6:05.0,,,77-54,,Shooting foul by N. Young (drawn by K. O'Quinn)
6:05.0,,,77-55,1,K. O'Quinn makes free throw 1 of 2
6:05.0,,,77-56,1,K. O'Quinn makes free throw 2 of 2
5:47.0,N. Young misses 2-pt shot from 2 ft,,77-56,,
5:46.0,Offensive rebound by N. Young,,77-56,,
5:45.0,N. Young makes 2-pt shot from 1 ft,2,79-56,,
5:37.0,,,79-56,,Turnover by D. Rose (bad pass)
5:37.0,,,79-56,,New York full timeout
5:37.0,,,79-56,,B. Jennings enters the game for K. Porzingis
5:37.0,,,79-56,,J. Holiday enters the game for C. Lee
5:20.0,B. Ingram misses 2-pt shot from 11 ft,,79-56,,
5:17.0,Offensive rebound by B. Ingram,,79-56,,
5:09.0,Shooting foul by B. Jennings (drawn by N. Young),,79-56,,
5:09.0,N. Young makes free throw 1 of 2,1,80-56,,
5:09.0,N. Young makes free throw 2 of 2,1,81-56,,
4:51.0,,,81-56,,Turnover by J. Holiday (bad pass; steal by N. Young)
4:45.0,N. Young makes 2-pt shot from 21 ft,2,83-56,,
4:29.0,,,83-58,2,J. Holiday makes 2-pt shot from 18 ft (assist by D. Rose)
4:19.0,Turnover by Team (turnover),,83-58,,
4:19.0,,,83-58,,M. Kuzminskas enters the game for D. Rose
4:19.0,L. Deng enters the game for T. Black,,83-58,,
4:02.0,,,83-60,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony)
3:49.0,N. Young misses 3-pt shot from 23 ft,,83-60,,
3:48.0,,,83-60,,Defensive rebound by B. Jennings
3:34.0,,,83-60,,Shooting foul by L. Nance (drawn by C. Anthony)
3:34.0,,,83-61,1,C. Anthony makes free throw 1 of 2
3:34.0,,,83-62,1,C. Anthony makes free throw 2 of 2
3:34.0,J. Clarkson enters the game for D. Russell,,83-61,,
3:28.0,,,83-62,,Personal foul by J. Holiday (drawn by N. Young)
3:28.0,N. Young makes free throw 1 of 2,1,84-62,,
3:28.0,N. Young makes free throw 2 of 2,1,85-62,,
3:11.0,,,85-64,2,C. Anthony makes 2-pt shot from 17 ft
2:55.0,N. Young misses 3-pt shot from 25 ft,,85-64,,
2:54.0,Offensive rebound by L. Nance,,85-64,,
2:41.0,J. Clarkson misses 2-pt shot from 2 ft,,85-64,,
2:41.0,Offensive rebound by L. Nance,,85-64,,
2:41.0,L. Nance makes 2-pt shot at rim,2,87-64,,
2:32.0,,,87-66,2,B. Jennings makes 2-pt shot from 3 ft
2:32.0,,,87-66,,Shooting foul by L. Deng (drawn by B. Jennings)
2:32.0,LA Lakers full timeout,,87-66,,
2:32.0,,,87-66,,B. Jennings misses free throw 1 of 1
2:32.0,L. Williams enters the game for N. Young,,87-66,,
2:31.0,Defensive rebound by L. Deng,,87-66,,
2:21.0,,,87-66,,Personal foul by K. O'Quinn
2:21.0,L. Williams makes free throw 1 of 2,1,88-66,,
2:21.0,L. Williams makes free throw 2 of 2,1,89-66,,
2:01.0,,,89-66,,C. Anthony misses 2-pt shot from 14 ft
2:00.0,Defensive rebound by L. Nance,,89-66,,
1:48.0,Turnover by L. Williams (bad pass; steal by C. Anthony),,89-66,,
1:42.0,,,89-69,3,J. Holiday makes 3-pt shot from 23 ft (assist by C. Anthony)
1:21.0,L. Nance makes 2-pt shot from 4 ft (assist by J. Clarkson),2,91-69,,
1:13.0,,,91-69,,Shooting foul by L. Nance (drawn by K. O'Quinn)
1:13.0,,,91-70,1,K. O'Quinn makes free throw 1 of 2
1:13.0,,,91-71,1,K. O'Quinn makes free throw 2 of 2
1:02.0,Shooting foul by C. Anthony (drawn by L. Nance),,91-71,,
1:02.0,L. Nance makes free throw 1 of 2,1,92-71,,
1:02.0,L. Nance makes free throw 2 of 2,1,93-71,,
0:49.0,,,93-71,,K. O'Quinn misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by B. Ingram,,93-71,,
0:39.0,J. Clarkson makes 2-pt shot from 2 ft,2,95-71,,
0:19.0,,,95-73,2,C. Anthony makes 2-pt shot from 9 ft
0:04.0,L. Williams makes 2-pt shot from 7 ft,2,97-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,97-75,2,W. Hernangomez makes 2-pt shot from 2 ft
11:32.0,J. Clarkson misses 2-pt shot at rim,,97-75,,
11:30.0,,,97-75,,Defensive rebound by W. Hernangomez
11:24.0,,,97-77,2,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings)
11:24.0,LA Lakers full timeout,,97-77,,
11:24.0,I. Zubac enters the game for B. Ingram,,97-77,,
11:08.0,Turnover by L. Williams (bad pass; steal by W. Hernangomez),,97-77,,
11:04.0,,,97-79,2,M. Kuzminskas makes 2-pt shot at rim (assist by B. Jennings)
10:41.0,L. Deng misses 3-pt shot from 26 ft,,97-79,,
10:40.0,,,97-79,,Defensive rebound by B. Jennings
10:33.0,,,97-79,,Turnover by B. Jennings (bad pass; steal by L. Williams)
10:31.0,Turnover by L. Williams (dbl dribble),,97-79,,
10:16.0,,,97-79,,Turnover by W. Hernangomez (bad pass; steal by I. Zubac)
10:09.0,J. Clarkson makes 2-pt shot from 3 ft,2,99-79,,
10:01.0,,,99-79,,Shooting foul by I. Zubac (drawn by B. Jennings)
10:01.0,,,99-80,1,B. Jennings makes free throw 1 of 2
10:01.0,,,99-81,1,B. Jennings makes free throw 2 of 2
9:45.0,L. Nance misses 2-pt shot at rim (block by W. Hernangomez),,99-81,,
9:45.0,,,99-81,,Defensive rebound by J. Holiday
9:43.0,,,99-81,,Turnover by J. Holiday (bad pass; steal by L. Deng)
9:39.0,L. Williams makes 2-pt shot from 4 ft,2,101-81,,
9:22.0,,,101-84,3,J. Holiday makes 3-pt shot from 23 ft (assist by W. Hernangomez)
9:10.0,,,101-84,,Personal foul by W. Hernangomez
9:00.0,J. Clarkson misses 2-pt shot from 8 ft,,101-84,,
8:59.0,,,101-84,,Defensive rebound by K. Porzingis
8:53.0,,,101-84,,B. Jennings misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by L. Williams,,101-84,,
8:42.0,L. Williams misses 2-pt shot from 8 ft,,101-84,,
8:41.0,,,101-84,,Defensive rebound by K. Porzingis
8:40.0,Personal foul by J. Clarkson (drawn by B. Jennings),,101-84,,
8:24.0,,,101-84,,J. Holiday misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by L. Nance,,101-84,,
8:03.0,I. Zubac makes 2-pt shot at rim (assist by J. Clarkson),2,103-84,,
8:02.0,,,103-84,,New York full timeout
7:45.0,,,103-86,2,K. Porzingis makes 2-pt shot from 13 ft
7:45.0,,,103-86,,Shooting foul by L. Nance (drawn by K. Porzingis)
7:45.0,,,103-87,1,K. Porzingis makes free throw 1 of 1
7:32.0,Shooting foul by M. Kuzminskas,,103-87,,
7:32.0,L. Williams makes free throw 1 of 2,1,104-87,,
7:32.0,L. Williams makes free throw 2 of 2,1,105-87,,
