time,Oklahoma City,pts.away,score,pts.home,Memphis
8:38.0,,,26-31,,Z. Randolph misses 2-pt shot from 2 ft (block by N. Collison)
8:38.0,,,26-31,,Offensive rebound by Team
8:33.0,Personal foul by N. Collison (drawn by Z. Randolph),,26-31,,
8:33.0,,,26-31,,M. Gasol enters the game for Z. Randolph
8:17.0,,,26-33,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
8:07.0,Turnover by E. Kanter (lost ball; steal by C. Parsons),,26-33,,
8:02.0,,,26-35,2,T. Allen makes 2-pt shot from 2 ft (assist by C. Parsons)
7:46.0,Shooting foul by T. Allen (drawn by R. Westbrook),,26-35,,
7:46.0,R. Westbrook makes free throw 1 of 2,1,27-35,,
7:46.0,R. Westbrook misses free throw 2 of 2,,27-35,,
7:46.0,,,27-35,,Defensive rebound by Team
7:46.0,D. Sabonis enters the game for E. Kanter,,27-35,,
7:46.0,S. Adams enters the game for N. Collison,,27-35,,
7:32.0,,,27-35,,T. Allen misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by S. Christon,,27-35,,
7:28.0,Shooting foul by T. Daniels (drawn by R. Westbrook),,27-35,,
7:28.0,R. Westbrook makes free throw 1 of 2,1,28-35,,
7:28.0,R. Westbrook makes free throw 2 of 2,1,29-35,,
7:20.0,Personal foul by S. Christon (drawn by T. Daniels),,29-35,,
7:20.0,,,29-35,,A. Harrison enters the game for T. Allen
7:04.0,,,29-35,,A. Harrison misses 2-pt shot from 14 ft
7:01.0,Defensive rebound by S. Adams,,29-35,,
6:55.0,Shooting foul by T. Daniels (drawn by R. Westbrook),,29-35,,
6:55.0,R. Westbrook makes free throw 1 of 2,1,30-35,,
6:55.0,R. Westbrook misses free throw 2 of 2,,30-35,,
6:55.0,,,30-35,,V. Carter enters the game for C. Parsons
6:55.0,A. Morrow enters the game for S. Christon,,30-35,,
6:54.0,,,30-35,,Defensive rebound by Team
6:49.0,,,30-35,,Memphis full timeout
6:28.0,,,30-37,2,M. Gasol makes 2-pt shot from 17 ft (assist by A. Harrison)
6:03.0,R. Westbrook makes 3-pt shot from 27 ft,3,33-37,,
5:49.0,,,33-39,2,M. Gasol makes 2-pt shot from 7 ft
5:31.0,Turnover by D. Sabonis (bad pass),,33-39,,
5:17.0,,,33-39,,M. Gasol misses 2-pt shot from 11 ft
5:15.0,Defensive rebound by J. Grant,,33-39,,
5:07.0,R. Westbrook makes 2-pt shot from 1 ft,2,35-39,,
4:51.0,,,35-39,,Shooting foul by D. Sabonis (drawn by V. Carter)
4:51.0,,,35-39,,V. Carter misses free throw 1 of 2
4:51.0,,,35-39,,Offensive rebound by Team
4:51.0,,,35-40,1,V. Carter makes free throw 2 of 2
4:43.0,Shooting foul by V. Carter (drawn by R. Westbrook),,35-40,,
4:43.0,R. Westbrook makes free throw 1 of 2,1,36-40,,
4:43.0,R. Westbrook makes free throw 2 of 2,1,37-40,,
4:43.0,,,36-40,,Z. Randolph enters the game for J. Green
4:30.0,,,37-40,,T. Daniels misses 2-pt shot from 1 ft (block by D. Sabonis)
4:27.0,,,37-40,,Offensive rebound by T. Daniels
4:24.0,,,37-43,3,V. Carter makes 3-pt shot from 25 ft
4:11.0,R. Westbrook misses 3-pt shot from 25 ft,,37-43,,
4:11.0,Offensive rebound by Team,,37-43,,
4:11.0,,,37-43,,Loose ball foul by T. Daniels (drawn by S. Adams)
4:11.0,S. Adams misses free throw 1 of 2,,37-43,,
4:11.0,Offensive rebound by Team,,37-43,,
4:11.0,S. Adams misses free throw 2 of 2,,37-43,,
4:11.0,,,37-43,,T. Allen enters the game for T. Daniels
4:08.0,,,37-43,,Defensive rebound by Z. Randolph
3:54.0,,,37-45,2,Z. Randolph makes 2-pt shot from 19 ft (assist by V. Carter)
3:31.0,R. Westbrook misses 2-pt shot from 15 ft,,37-45,,
3:30.0,,,37-45,,Defensive rebound by T. Allen
3:25.0,,,37-45,,T. Allen misses 2-pt shot at rim (block by D. Sabonis)
3:25.0,,,37-45,,Offensive rebound by Team
3:25.0,,,37-45,,J. Ennis enters the game for V. Carter
3:25.0,N. Collison enters the game for D. Sabonis,,37-45,,
3:14.0,,,37-45,,Turnover by T. Allen (bad pass)
3:01.0,R. Westbrook misses 2-pt shot from 10 ft,,37-45,,
3:00.0,Offensive rebound by S. Adams,,37-45,,
2:56.0,A. Morrow misses 2-pt shot from 6 ft (block by M. Gasol),,37-45,,
2:54.0,,,37-45,,Defensive rebound by A. Harrison
2:52.0,,,37-45,,Shooting foul by J. Grant (drawn by J. Ennis)
2:52.0,Technical foul by A. Morrow,,37-45,,
2:52.0,Oklahoma City full timeout,,37-45,,
2:52.0,,,37-46,1,M. Gasol makes technical free throw
2:52.0,,,37-47,1,J. Ennis makes free throw 1 of 2
2:52.0,,,37-48,1,J. Ennis makes free throw 2 of 2
2:52.0,A. Roberson enters the game for J. Grant,,37-45,,
2:42.0,Turnover by S. Adams (lost ball; steal by M. Gasol),,37-48,,
2:21.0,,,37-51,3,A. Harrison makes 3-pt shot from 27 ft
2:08.0,,,37-51,,Personal foul by M. Gasol (drawn by S. Adams)
2:08.0,S. Adams misses free throw 1 of 2,,37-51,,
2:08.0,Offensive rebound by Team,,37-51,,
2:08.0,S. Adams makes free throw 2 of 2,1,38-51,,
1:51.0,,,38-51,,J. Ennis misses 2-pt shot from 1 ft
1:50.0,,,38-51,,Offensive rebound by Z. Randolph
1:46.0,,,38-51,,Z. Randolph misses 2-pt shot from 21 ft
1:43.0,,,38-51,,Offensive rebound by T. Allen
1:43.0,,,38-51,,T. Allen misses 2-pt shot from 2 ft
1:39.0,,,38-51,,Offensive rebound by T. Allen
1:39.0,,,38-53,2,T. Allen makes 2-pt shot from 1 ft
1:19.0,R. Westbrook misses 2-pt shot from 6 ft,,38-53,,
1:17.0,Offensive rebound by S. Adams,,38-53,,
1:17.0,S. Adams misses 2-pt shot from 1 ft,,38-53,,
1:16.0,Offensive rebound by S. Adams,,38-53,,
1:14.0,Oklahoma City full timeout,,38-53,,
1:09.0,R. Westbrook misses 2-pt shot from 1 ft,,38-53,,
1:08.0,,,38-53,,Defensive rebound by M. Gasol
1:00.0,,,38-53,,T. Allen misses 2-pt shot from 2 ft
1:00.0,,,38-53,,Offensive rebound by T. Allen
1:00.0,,,38-53,,T. Allen misses 2-pt shot from 2 ft
0:59.0,,,38-53,,Offensive rebound by T. Allen
0:59.0,,,38-53,,T. Allen misses 2-pt shot from 1 ft
0:57.0,Defensive rebound by S. Adams,,38-53,,
0:52.0,R. Westbrook misses 3-pt shot from 25 ft,,38-53,,
0:48.0,Offensive rebound by R. Westbrook,,38-53,,
0:43.0,S. Adams misses 2-pt shot from 1 ft,,38-53,,
0:40.0,,,38-53,,Defensive rebound by J. Ennis
0:40.0,,,38-55,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Ennis)
0:29.0,S. Adams misses 2-pt shot at rim (block by M. Gasol),,38-55,,
0:29.0,Offensive rebound by S. Adams,,38-55,,
0:29.0,Shooting foul by M. Gasol (drawn by S. Adams),,38-55,,
0:29.0,S. Adams misses free throw 1 of 2,,38-55,,
0:29.0,Offensive rebound by Team,,38-55,,
0:29.0,S. Adams makes free throw 2 of 2,1,39-55,,
0:28.0,,,39-55,,Memphis full timeout
0:28.0,D. Sabonis enters the game for S. Adams,,39-55,,
0:28.0,,,39-55,,V. Carter enters the game for T. Allen
0:08.0,,,39-55,,A. Harrison misses 2-pt shot from 1 ft
0:07.0,,,39-55,,Offensive rebound by A. Harrison
0:06.0,,,39-55,,Z. Randolph misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by A. Roberson,,39-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,R. Westbrook misses 2-pt shot from 2 ft (block by M. Gasol),,39-55,,
11:42.0,Offensive rebound by S. Adams,,39-55,,
11:39.0,,,39-55,,Personal foul by A. Harrison (drawn by R. Westbrook)
11:23.0,A. Morrow misses 3-pt shot from 26 ft,,39-55,,
11:23.0,,,39-55,,Defensive rebound by Team
11:16.0,Personal foul by R. Westbrook (drawn by A. Harrison),,39-55,,
11:08.0,,,39-55,,Shooting foul by D. Sabonis (drawn by J. Green)
11:08.0,,,39-56,1,J. Green makes free throw 1 of 2
11:08.0,Violation by A. Roberson (lane),,39-56,,
11:08.0,,,39-56,,J. Green misses free throw 2 of 2
11:06.0,Defensive rebound by R. Westbrook,,39-56,,
10:55.0,A. Morrow makes 2-pt shot from 8 ft (assist by D. Sabonis),2,41-56,,
10:42.0,,,41-56,,M. Gasol misses 2-pt shot from 8 ft
10:40.0,Defensive rebound by A. Roberson,,41-56,,
10:34.0,E. Kanter enters the game for D. Sabonis,,41-56,,
10:34.0,Jump ball: S. Adams vs. M. Gasol (E. Kanter gains possession),,,,Jump ball: S. Adams vs. M. Gasol (E. Kanter gains possession)
10:28.0,,,41-56,,Personal foul by J. Green (drawn by E. Kanter)
10:22.0,A. Roberson makes 2-pt shot from 2 ft (assist by S. Adams),2,43-56,,
10:00.0,,,43-56,,C. Parsons misses 2-pt shot from 10 ft (block by S. Adams)
9:59.0,Defensive rebound by S. Adams,,43-56,,
9:52.0,R. Westbrook makes 2-pt shot from 22 ft,2,45-56,,
9:40.0,Personal foul by A. Morrow (drawn by M. Gasol),,45-56,,
9:33.0,Personal foul by R. Westbrook (drawn by A. Harrison),,45-56,,
9:21.0,,,45-56,,Turnover by T. Allen (bad pass; steal by A. Roberson)
9:04.0,Turnover by S. Adams (3 sec),,45-56,,
8:44.0,,,45-56,,A. Harrison misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by Team,,45-56,,
8:31.0,R. Westbrook misses 3-pt shot from 26 ft,,45-56,,
8:30.0,,,45-56,,Defensive rebound by M. Gasol
8:09.0,,,45-58,2,M. Gasol makes 2-pt shot from 11 ft
7:38.0,R. Westbrook misses 3-pt shot from 27 ft,,45-58,,
7:37.0,,,45-58,,Defensive rebound by T. Allen
7:23.0,,,45-61,3,J. Green makes 3-pt shot from 24 ft (assist by C. Parsons)
7:03.0,Turnover by S. Adams (bad pass),,45-61,,
6:46.0,,,45-61,,M. Gasol misses 2-pt shot from 12 ft
6:45.0,,,45-61,,Offensive rebound by T. Allen
6:41.0,,,45-61,,Shooting foul by A. Roberson (drawn by J. Green)
6:41.0,,,45-61,,J. Green misses free throw 1 of 2
6:41.0,,,45-61,,Offensive rebound by Team
6:41.0,Technical foul by R. Westbrook,,45-61,,
6:41.0,Technical foul by R. Westbrook,,45-61,,
6:41.0,,,45-61,,M. Gasol misses technical free throw
6:41.0,,,45-61,,Offensive rebound by Team
6:41.0,,,45-62,1,M. Gasol makes technical free throw
6:41.0,,,45-63,1,J. Green makes free throw 2 of 2
6:41.0,S. Christon enters the game for R. Westbrook,,45-61,,
6:22.0,E. Kanter misses 2-pt shot from 5 ft (block by M. Gasol),,45-63,,
6:22.0,,,45-63,,Defensive rebound by Team
6:22.0,,,45-63,,J. Ennis enters the game for C. Parsons
6:04.0,,,45-65,2,M. Gasol makes 2-pt shot from 8 ft
5:49.0,S. Adams misses 2-pt shot from 1 ft,,45-65,,
5:47.0,,,45-65,,Defensive rebound by M. Gasol
5:35.0,,,45-65,,Offensive charge foul by A. Harrison
5:35.0,,,45-65,,Turnover by A. Harrison (offensive foul)
5:35.0,,,45-65,,Memphis full timeout
5:35.0,A. Abrines enters the game for S. Adams,,45-65,,
5:35.0,J. Lauvergne enters the game for A. Morrow,,45-65,,
5:20.0,Turnover by J. Lauvergne (bad pass),,45-65,,
5:02.0,,,45-65,,M. Gasol misses 2-pt shot from 20 ft
5:01.0,Defensive rebound by A. Abrines,,45-65,,
4:53.0,Shooting foul by J. Green (drawn by E. Kanter),,45-65,,
4:53.0,E. Kanter makes free throw 1 of 2,1,46-65,,
4:53.0,E. Kanter makes free throw 2 of 2,1,47-65,,
4:35.0,,,47-67,2,M. Gasol makes 2-pt shot from 1 ft
4:22.0,Shooting foul by T. Allen (drawn by A. Abrines),,47-67,,
4:22.0,A. Abrines makes free throw 1 of 2,1,48-67,,
4:22.0,A. Abrines makes free throw 2 of 2,1,49-67,,
4:22.0,,,48-67,,V. Carter enters the game for T. Allen
4:22.0,,,48-67,,Z. Randolph enters the game for J. Green
4:00.0,,,49-67,,M. Gasol misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by E. Kanter,,49-67,,
3:47.0,E. Kanter makes 2-pt shot from 1 ft,2,51-67,,
3:24.0,,,51-69,2,Z. Randolph makes 2-pt shot from 14 ft
3:10.0,J. Lauvergne misses 3-pt shot from 25 ft,,51-69,,
3:09.0,,,51-69,,Defensive rebound by M. Gasol
2:48.0,,,51-69,,M. Gasol misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by A. Roberson,,51-69,,
2:41.0,A. Roberson misses 2-pt shot from 4 ft (block by V. Carter),,51-69,,
2:41.0,Offensive rebound by Team,,51-69,,
2:41.0,Oklahoma City full timeout,,51-69,,
2:41.0,J. Grant enters the game for A. Roberson,,51-69,,
2:36.0,E. Kanter makes 2-pt shot from 2 ft,2,53-69,,
2:36.0,Shooting foul by M. Gasol (drawn by E. Kanter),,53-69,,
2:36.0,E. Kanter makes free throw 1 of 1,1,54-69,,
2:21.0,,,54-69,,Shooting foul by J. Lauvergne (drawn by M. Gasol)
2:21.0,,,54-70,1,M. Gasol makes free throw 1 of 2
2:21.0,,,54-71,1,M. Gasol makes free throw 2 of 2
2:08.0,J. Grant misses 2-pt shot from 2 ft (block by A. Harrison),,54-71,,
2:08.0,Offensive rebound by Team,,54-71,,
2:05.0,E. Kanter makes 2-pt shot from 22 ft (assist by S. Christon),2,56-71,,
1:48.0,,,56-71,,Shooting foul by S. Christon (drawn by A. Harrison)
1:48.0,,,56-72,1,A. Harrison makes free throw 1 of 2
1:48.0,,,56-73,1,A. Harrison makes free throw 2 of 2
1:29.0,E. Kanter makes 2-pt shot from 2 ft,2,58-73,,
1:10.0,,,58-73,,M. Gasol misses 2-pt shot from 10 ft
1:09.0,Defensive rebound by E. Kanter,,58-73,,
0:50.0,A. Abrines misses 3-pt shot from 25 ft,,58-73,,
0:49.0,Offensive rebound by Team,,58-73,,
0:49.0,,,58-73,,Loose ball foul by M. Gasol (drawn by E. Kanter)
0:49.0,E. Kanter makes free throw 1 of 2,1,59-73,,
0:49.0,E. Kanter misses free throw 2 of 2,,59-73,,
0:49.0,,,59-73,,T. Allen enters the game for A. Harrison
0:48.0,,,59-73,,Defensive rebound by Z. Randolph
0:26.0,,,59-75,2,M. Gasol makes 2-pt shot from 10 ft (assist by V. Carter)
0:07.0,Shooting foul by T. Allen (drawn by A. Abrines),,59-75,,
0:07.0,A. Abrines makes free throw 1 of 2,1,60-75,,
0:07.0,A. Abrines makes free throw 2 of 2,1,61-75,,
0:07.0,,,60-75,,T. Daniels enters the game for M. Gasol
0:07.0,,,60-75,,A. Harrison enters the game for T. Allen
0:01.0,,,61-78,3,A. Harrison makes 3-pt shot from 26 ft
0:00.0,S. Christon misses 3-pt shot from 66 ft,,61-78,,
0:00.0,Offensive rebound by Team,,61-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,61-80,2,Z. Randolph makes 2-pt shot from 13 ft
11:24.0,Turnover by A. Abrines (bad pass; steal by T. Allen),,61-80,,
11:19.0,,,61-80,,Offensive foul by Z. Randolph
11:19.0,,,61-80,,Turnover by Z. Randolph (offensive foul)
10:53.0,S. Christon misses 3-pt shot from 25 ft,,61-80,,
10:53.0,,,61-80,,Defensive rebound by V. Carter
10:42.0,,,61-80,,Z. Randolph misses 2-pt shot from 12 ft
10:38.0,Defensive rebound by E. Kanter,,61-80,,
10:32.0,Shooting foul by V. Carter (drawn by J. Grant),,61-80,,
10:32.0,J. Grant misses free throw 1 of 2,,61-80,,
10:32.0,Offensive rebound by Team,,61-80,,
10:32.0,J. Grant makes free throw 2 of 2,1,62-80,,
10:20.0,,,62-82,2,T. Daniels makes 2-pt shot from 20 ft (assist by Z. Randolph)
10:00.0,E. Kanter misses 2-pt shot from 13 ft,,62-82,,
10:00.0,,,62-82,,Defensive rebound by T. Allen
9:51.0,,,62-82,,T. Daniels misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by E. Kanter,,62-82,,
9:39.0,Turnover by E. Kanter (bad pass),,62-82,,
9:39.0,S. Adams enters the game for J. Lauvergne,,62-82,,
9:24.0,,,62-85,3,J. Green makes 3-pt shot from 26 ft (assist by T. Daniels)
9:02.0,S. Adams misses 2-pt shot from 6 ft,,62-85,,
9:00.0,,,62-85,,Defensive rebound by Z. Randolph
8:42.0,,,62-87,2,Z. Randolph makes 2-pt shot from 14 ft
8:40.0,Oklahoma City full timeout,,62-87,,
8:40.0,D. Sabonis enters the game for E. Kanter,,62-87,,
8:40.0,,,62-87,,M. Gasol enters the game for J. Green
8:29.0,Turnover by S. Christon (bad pass; steal by V. Carter),,62-87,,
8:14.0,,,62-87,,Z. Randolph misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by S. Adams,,62-87,,
7:58.0,A. Abrines misses 2-pt shot from 10 ft,,62-87,,
7:58.0,Offensive rebound by Team,,62-87,,
7:58.0,,,62-87,,Loose ball foul by V. Carter (drawn by S. Adams)
7:50.0,A. Abrines misses 3-pt shot from 23 ft,,62-87,,
7:49.0,,,62-87,,Defensive rebound by M. Gasol
7:25.0,,,62-87,,Z. Randolph misses 2-pt shot from 2 ft (block by J. Grant)
7:22.0,,,62-87,,Offensive rebound by Z. Randolph
7:22.0,,,62-87,,Z. Randolph misses 2-pt shot at rim (block by S. Adams)
7:18.0,Defensive rebound by S. Adams,,62-87,,
7:11.0,D. Sabonis misses 2-pt shot from 1 ft,,62-87,,
7:10.0,,,62-87,,Defensive rebound by Z. Randolph
6:58.0,,,62-89,2,T. Daniels makes 2-pt shot from 1 ft (assist by V. Carter)
6:42.0,D. Sabonis misses 3-pt shot from 27 ft,,62-89,,
6:41.0,Offensive rebound by S. Adams,,62-89,,
6:38.0,S. Adams misses 2-pt shot from 1 ft (block by M. Gasol),,62-89,,
6:37.0,,,62-89,,Defensive rebound by M. Gasol
6:25.0,,,62-89,,Turnover by T. Allen (bad pass)
6:25.0,,,62-89,,A. Harrison enters the game for T. Allen
6:16.0,Shooting foul by V. Carter (drawn by J. Grant),,62-89,,
6:16.0,J. Grant makes free throw 1 of 2,1,63-89,,
6:16.0,J. Grant makes free throw 2 of 2,1,64-89,,
6:16.0,,,63-89,,J. Ennis enters the game for V. Carter
6:16.0,K. Singler enters the game for S. Adams,,63-89,,
6:07.0,,,64-89,,Turnover by A. Harrison (bad pass; steal by S. Christon)
5:56.0,A. Abrines makes 3-pt shot from 24 ft (assist by D. Sabonis),3,67-89,,
5:56.0,,,67-89,,Memphis full timeout
5:56.0,,,67-89,,J. Green enters the game for M. Gasol
5:42.0,,,67-89,,T. Daniels misses 3-pt shot from 24 ft
