time,Washington,pts.away,score,pts.home,Denver
10:58.0,B. Jennings misses free throw 1 of 2,,37-28,,
10:58.0,Offensive rebound by Team,,37-28,,
10:58.0,B. Jennings misses free throw 2 of 2,,37-28,,
10:56.0,,,37-28,,Defensive rebound by J. Hernangomez
10:43.0,,,37-28,,Turnover by E. Mudiay (traveling)
10:30.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Jennings),2,39-28,,
10:21.0,,,39-28,,Shooting foul by K. Oubre (drawn by W. Barton)
10:21.0,,,39-29,1,W. Barton makes free throw 1 of 2
10:21.0,,,39-29,,W. Barton misses free throw 2 of 2
10:18.0,,,39-29,,Offensive rebound by W. Barton
10:12.0,,,39-32,3,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton)
9:59.0,B. Jennings misses 2-pt shot from 19 ft,,39-32,,
9:57.0,,,39-32,,Defensive rebound by E. Mudiay
9:48.0,,,39-35,3,D. Arthur makes 3-pt shot from 26 ft (assist by W. Barton)
9:48.0,,,39-35,,Shooting foul by T. Satoransky (drawn by D. Arthur)
9:48.0,,,39-35,,D. Arthur misses free throw 1 of 1
9:46.0,Defensive rebound by K. Oubre,,39-35,,
9:23.0,T. Satoransky makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,42-35,,
9:14.0,,,42-35,,E. Mudiay misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by B. Jennings,,42-35,,
9:06.0,B. Bogdanovic misses 3-pt shot from 23 ft,,42-35,,
9:02.0,,,42-35,,Defensive rebound by J. Hernangomez
9:01.0,,,42-35,,Offensive charge foul by J. Hernangomez
9:01.0,,,42-35,,Turnover by J. Hernangomez (offensive foul)
8:45.0,T. Satoransky misses 2-pt shot from 2 ft,,42-35,,
8:44.0,,,42-35,,Defensive rebound by W. Barton
8:31.0,,,42-37,2,E. Mudiay makes 2-pt shot from 1 ft
8:26.0,Washington full timeout,,42-37,,
8:26.0,,,42-37,,W. Chandler enters the game for J. Hernangomez
8:26.0,,,42-37,,G. Harris enters the game for W. Barton
8:07.0,B. Jennings misses 3-pt shot from 26 ft,,42-37,,
8:07.0,,,42-37,,Defensive rebound by J. Murray
8:02.0,,,42-39,2,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Murray)
7:52.0,Shooting foul by D. Arthur (drawn by I. Mahinmi),,42-39,,
7:52.0,I. Mahinmi misses free throw 1 of 2,,42-39,,
7:52.0,Offensive rebound by Team,,42-39,,
7:52.0,I. Mahinmi makes free throw 2 of 2,1,43-39,,
7:52.0,B. Beal enters the game for T. Satoransky,,42-39,,
7:52.0,M. Morris enters the game for B. Bogdanovic,,42-39,,
7:30.0,,,43-39,,J. Murray misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by M. Morris,,43-39,,
7:13.0,B. Jennings misses 3-pt shot from 25 ft,,43-39,,
7:13.0,,,43-39,,Defensive rebound by J. Murray
7:06.0,,,43-39,,J. Murray misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by M. Morris,,43-39,,
6:55.0,B. Beal misses 2-pt shot from 4 ft,,43-39,,
6:53.0,Offensive rebound by I. Mahinmi,,43-39,,
6:53.0,I. Mahinmi makes 2-pt shot from 1 ft,2,45-39,,
6:33.0,,,45-41,2,W. Chandler makes 2-pt shot from 12 ft
6:12.0,M. Morris makes 2-pt shot from 19 ft (assist by B. Jennings),2,47-41,,
5:55.0,,,47-41,,E. Mudiay misses 2-pt shot from 12 ft
5:55.0,Defensive rebound by M. Morris,,47-41,,
5:51.0,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings),2,49-41,,
5:50.0,,,49-41,,Denver full timeout
5:50.0,J. Wall enters the game for B. Jennings,,49-41,,
5:50.0,M. Gortat enters the game for K. Oubre,,49-41,,
5:50.0,O. Porter enters the game for I. Mahinmi,,49-41,,
5:50.0,,,49-41,,J. Nelson enters the game for D. Arthur
5:50.0,,,49-41,,M. Plumlee enters the game for J. Murray
5:50.0,,,49-41,,J. Hernangomez enters the game for E. Mudiay
5:32.0,,,49-41,,G. Harris misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by M. Gortat,,49-41,,
5:18.0,Turnover by J. Wall (bad pass; steal by J. Hernangomez),,49-41,,
5:13.0,Personal foul by M. Morris (drawn by M. Plumlee),,49-41,,
5:04.0,,,49-41,,J. Nelson misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by M. Gortat,,49-41,,
4:43.0,B. Beal misses 2-pt shot from 20 ft,,49-41,,
4:42.0,Offensive rebound by Team,,49-41,,
4:37.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,52-41,,
4:21.0,,,52-41,,W. Chandler misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by M. Gortat,,52-41,,
4:06.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,54-41,,
3:55.0,,,54-41,,G. Harris misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by M. Gortat,,54-41,,
3:53.0,Turnover by M. Gortat (bad pass; steal by J. Hernangomez),,54-41,,
3:52.0,Personal foul by J. Wall,,54-41,,
3:52.0,,,54-41,,J. Hernangomez misses free throw 1 of 2
3:52.0,,,54-41,,Offensive rebound by Team
3:52.0,,,54-42,1,J. Hernangomez makes free throw 2 of 2
3:42.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,56-42,,
3:42.0,,,56-42,,Denver full timeout
3:24.0,,,56-42,,M. Plumlee misses 2-pt shot from 4 ft
3:23.0,Defensive rebound by M. Gortat,,56-42,,
3:15.0,O. Porter misses 3-pt shot from 24 ft,,56-42,,
3:15.0,Offensive rebound by M. Morris,,56-42,,
3:10.0,J. Wall misses 3-pt shot from 24 ft,,56-42,,
3:10.0,Offensive rebound by M. Gortat,,56-42,,
3:07.0,M. Gortat misses 2-pt shot from 3 ft,,56-42,,
3:07.0,Offensive rebound by M. Gortat,,56-42,,
3:01.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,59-42,,
2:39.0,,,59-44,2,J. Nelson makes 2-pt shot from 2 ft (assist by M. Plumlee)
2:18.0,M. Gortat makes 2-pt shot from 4 ft (assist by M. Morris),2,61-44,,
2:14.0,,,61-44,,Turnover by J. Nelson (bad pass; steal by O. Porter)
2:14.0,,,61-44,,Personal foul by J. Nelson (drawn by O. Porter)
2:14.0,,,61-44,,D. Arthur enters the game for J. Hernangomez
1:58.0,O. Porter makes 2-pt shot from 15 ft,2,63-44,,
1:45.0,,,63-46,2,W. Chandler makes 2-pt shot from 3 ft (assist by J. Nelson)
1:45.0,,,63-46,,Shooting foul by O. Porter (drawn by W. Chandler)
1:45.0,,,63-46,,W. Chandler misses free throw 1 of 1
1:43.0,Defensive rebound by M. Gortat,,63-46,,
1:19.0,J. Wall misses 2-pt shot from 23 ft,,63-46,,
1:18.0,,,63-46,,Defensive rebound by J. Nelson
1:12.0,,,63-48,2,W. Chandler makes 2-pt shot from 6 ft (assist by J. Nelson)
1:04.0,Washington full timeout,,63-48,,
0:56.0,B. Beal misses 2-pt shot from 2 ft,,63-48,,
0:54.0,Offensive rebound by J. Wall,,63-48,,
0:48.0,,,63-48,,Shooting block foul by D. Arthur (drawn by M. Morris)
0:48.0,M. Morris makes free throw 1 of 2,1,64-48,,
0:48.0,M. Morris makes free throw 2 of 2,1,65-48,,
0:48.0,B. Jennings enters the game for J. Wall,,64-48,,
0:48.0,K. Oubre enters the game for O. Porter,,64-48,,
0:31.0,,,65-48,,W. Chandler misses 2-pt shot from 8 ft
0:31.0,,,65-48,,Offensive rebound by M. Plumlee
0:31.0,,,65-50,2,M. Plumlee makes 2-pt shot from 1 ft
0:10.0,B. Beal makes 2-pt shot from 3 ft,2,67-50,,
0:01.0,,,67-50,,J. Nelson misses 2-pt shot from 7 ft
0:00.0,,,67-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,67-50,,Shooting foul by M. Gortat (drawn by M. Plumlee)
11:51.0,,,67-51,1,M. Plumlee makes free throw 1 of 2
11:51.0,,,67-51,,M. Plumlee misses free throw 2 of 2
11:49.0,Defensive rebound by M. Morris,,67-51,,
11:26.0,M. Gortat misses 2-pt shot from 12 ft,,67-51,,
11:25.0,,,67-51,,Defensive rebound by J. Hernangomez
11:23.0,,,67-51,,Turnover by J. Nelson (bad pass)
11:13.0,Turnover by J. Wall (bad pass; steal by W. Chandler),,67-51,,
11:07.0,,,67-53,2,W. Chandler makes 2-pt shot from 4 ft
10:58.0,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal),3,70-53,,
10:46.0,,,70-55,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:29.0,M. Gortat makes 2-pt shot from 10 ft (assist by J. Wall),2,72-55,,
10:15.0,,,72-55,,Turnover by M. Plumlee (bad pass; steal by O. Porter)
10:10.0,O. Porter makes 2-pt shot at rim,2,74-55,,
9:48.0,,,74-55,,W. Chandler misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by O. Porter,,74-55,,
9:41.0,B. Beal misses 3-pt shot from 26 ft,,74-55,,
9:40.0,,,74-55,,Defensive rebound by J. Hernangomez
9:34.0,,,74-55,,Turnover by J. Hernangomez (bad pass; steal by O. Porter)
9:31.0,O. Porter makes 2-pt shot from 2 ft (assist by B. Beal),2,76-55,,
9:31.0,,,76-55,,Denver full timeout
9:31.0,,,76-55,,W. Barton enters the game for J. Hernangomez
9:17.0,,,76-57,2,G. Harris makes 2-pt shot from 1 ft
8:57.0,B. Beal makes 2-pt shot from 2 ft,2,78-57,,
8:34.0,,,78-59,2,J. Nelson makes 2-pt shot from 2 ft
8:13.0,M. Morris makes 2-pt shot from 15 ft (assist by O. Porter),2,80-59,,
7:58.0,,,80-61,2,W. Chandler makes 2-pt shot from 16 ft (assist by J. Nelson)
7:46.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,83-61,,
7:31.0,,,83-63,2,G. Harris makes 2-pt shot at rim (assist by W. Chandler)
7:14.0,J. Wall makes 2-pt shot from 5 ft,2,85-63,,
7:06.0,,,85-63,,Shooting foul by O. Porter (drawn by J. Nelson)
7:06.0,,,85-63,,J. Nelson misses free throw 1 of 2
7:06.0,,,85-63,,Offensive rebound by Team
7:06.0,,,85-64,1,J. Nelson makes free throw 2 of 2
6:47.0,B. Beal misses 2-pt shot from 18 ft,,85-64,,
6:46.0,Offensive rebound by B. Beal,,85-64,,
6:39.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,87-64,,
6:15.0,,,87-64,,M. Plumlee misses 2-pt shot from 17 ft
6:14.0,Defensive rebound by O. Porter,,87-64,,
6:06.0,Shooting foul by J. Nelson (drawn by M. Gortat),,87-64,,
6:06.0,M. Gortat misses free throw 1 of 2,,87-64,,
6:06.0,Offensive rebound by Team,,87-64,,
6:06.0,M. Gortat misses free throw 2 of 2,,87-64,,
6:06.0,,,87-64,,D. Arthur enters the game for M. Plumlee
6:04.0,,,87-64,,Defensive rebound by D. Arthur
5:45.0,,,87-66,2,W. Chandler makes 2-pt shot at rim (assist by J. Nelson)
5:30.0,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall),2,89-66,,
5:16.0,,,89-66,,W. Chandler misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by B. Beal,,89-66,,
5:07.0,Shooting foul by W. Chandler (drawn by M. Gortat),,89-66,,
5:07.0,M. Gortat misses free throw 1 of 2,,89-66,,
5:07.0,Offensive rebound by Team,,89-66,,
5:07.0,M. Gortat makes free throw 2 of 2,1,90-66,,
4:56.0,,,90-69,3,W. Barton makes 3-pt shot from 26 ft (assist by J. Nelson)
4:39.0,Turnover by M. Morris (bad pass),,90-69,,
4:23.0,,,90-69,,Turnover by J. Nelson (bad pass)
4:07.0,J. Wall makes 2-pt shot at rim,2,92-69,,
3:57.0,,,92-69,,Turnover by D. Arthur (bad pass)
3:57.0,,,92-69,,J. Murray enters the game for J. Nelson
3:44.0,Turnover by J. Wall (bad pass; steal by W. Barton),,92-69,,
3:38.0,,,92-72,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
3:38.0,Washington full timeout,,92-72,,
3:38.0,K. Oubre enters the game for M. Morris,,92-72,,
3:38.0,B. Bogdanovic enters the game for B. Beal,,92-72,,
3:14.0,Turnover by Team (shot clock),,92-72,,
3:02.0,,,92-75,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
2:48.0,B. Bogdanovic misses 3-pt shot from 24 ft,,92-75,,
2:45.0,,,92-75,,Defensive rebound by W. Chandler
2:37.0,,,92-78,3,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris)
2:13.0,J. Wall makes 2-pt shot from 18 ft,2,94-78,,
1:59.0,,,94-78,,D. Arthur misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by M. Gortat,,94-78,,
1:40.0,O. Porter makes 3-pt shot from 25 ft (assist by K. Oubre),3,97-78,,
1:28.0,,,97-80,2,J. Murray makes 2-pt shot from 2 ft
1:16.0,Offensive foul by M. Gortat,,97-80,,
1:16.0,Turnover by M. Gortat (offensive foul),,97-80,,
1:16.0,I. Mahinmi enters the game for M. Gortat,,97-80,,
0:59.0,,,97-82,2,J. Murray makes 2-pt shot from 17 ft (assist by W. Chandler)
0:35.0,J. Wall misses 2-pt shot from 22 ft,,97-82,,
0:34.0,,,97-82,,Defensive rebound by W. Chandler
0:18.0,,,97-85,3,J. Murray makes 3-pt shot from 25 ft
0:05.0,,,97-85,,Personal take foul by J. Murray (drawn by J. Wall)
0:01.0,J. Wall misses 3-pt shot from 25 ft,,97-85,,
0:00.0,Offensive rebound by Team,,97-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Bogdanovic misses 2-pt shot from 9 ft,,97-85,,
11:44.0,,,97-85,,Defensive rebound by J. Hernangomez
11:38.0,,,97-85,,J. Murray misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by K. Oubre,,97-85,,
11:18.0,K. Oubre misses 3-pt shot from 23 ft,,97-85,,
11:17.0,,,97-85,,Defensive rebound by M. Plumlee
11:02.0,,,97-87,2,M. Plumlee makes 2-pt shot at rim (assist by D. Arthur)
10:37.0,B. Bogdanovic misses 2-pt shot from 21 ft,,97-87,,
10:37.0,Offensive rebound by Team,,97-87,,
10:37.0,B. Beal enters the game for O. Porter,,97-87,,
10:25.0,K. Oubre makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,99-87,,
9:58.0,,,99-87,,J. Murray misses 2-pt shot from 9 ft
9:56.0,,,99-87,,Offensive rebound by M. Plumlee
9:55.0,,,99-87,,W. Barton misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by Team,,99-87,,
9:34.0,Turnover by B. Beal (lost ball),,99-87,,
9:22.0,,,99-87,,W. Barton misses 2-pt shot from 7 ft
9:21.0,Defensive rebound by K. Oubre,,99-87,,
9:01.0,K. Oubre misses 2-pt shot from 10 ft (block by J. Hernangomez),,99-87,,
8:59.0,,,99-87,,Defensive rebound by D. Arthur
8:47.0,,,99-87,,Turnover by J. Murray (lost ball; steal by B. Jennings)
8:41.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Jennings),2,101-87,,
8:20.0,,,101-87,,D. Arthur misses 2-pt shot from 20 ft
8:18.0,Defensive rebound by B. Jennings,,101-87,,
8:12.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Jennings),2,103-87,,
8:12.0,,,103-87,,Denver full timeout
7:51.0,,,103-89,2,J. Murray makes 2-pt shot from 3 ft (assist by M. Plumlee)
7:37.0,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre),3,106-89,,
7:13.0,,,106-92,3,J. Murray makes 3-pt shot from 24 ft
7:01.0,B. Jennings makes 2-pt shot from 6 ft,2,108-92,,
6:45.0,,,108-92,,Turnover by M. Plumlee (lost ball; steal by I. Mahinmi)
6:39.0,B. Jennings misses 3-pt shot from 27 ft,,108-92,,
6:37.0,,,108-92,,Defensive rebound by M. Plumlee
6:30.0,,,108-92,,J. Murray misses 3-pt shot from 26 ft
6:30.0,,,108-92,,Offensive rebound by J. Hernangomez
6:26.0,,,108-92,,J. Hernangomez misses 2-pt shot from 1 ft
6:24.0,,,108-92,,Offensive rebound by M. Plumlee
6:24.0,,,108-94,2,M. Plumlee makes 2-pt shot from 2 ft
6:08.0,Turnover by I. Mahinmi (lost ball; steal by M. Plumlee),,108-94,,
6:08.0,Violation by B. Jennings (kicked ball),,108-94,,
6:08.0,,,108-94,,G. Harris enters the game for W. Barton
6:07.0,J. Wall enters the game for B. Jennings,,108-94,,
6:07.0,M. Gortat enters the game for I. Mahinmi,,108-94,,
5:57.0,,,108-94,,J. Murray misses 2-pt shot from 18 ft
5:57.0,Defensive rebound by B. Bogdanovic,,108-94,,
5:44.0,M. Gortat misses 2-pt shot from 1 ft,,108-94,,
5:43.0,,,108-94,,Defensive rebound by J. Murray
5:41.0,,,108-97,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray)
5:41.0,Washington full timeout,,108-97,,
5:41.0,O. Porter enters the game for K. Oubre,,108-97,,
5:24.0,B. Beal misses 3-pt shot from 25 ft,,108-97,,
5:23.0,Offensive rebound by M. Gortat,,108-97,,
5:18.0,J. Wall misses 3-pt shot from 24 ft,,108-97,,
5:17.0,,,108-97,,Defensive rebound by M. Plumlee
5:07.0,,,108-97,,M. Plumlee misses 2-pt shot from 4 ft
5:06.0,,,108-97,,Offensive rebound by M. Plumlee
5:05.0,Loose ball foul by O. Porter (drawn by D. Arthur),,108-97,,
5:05.0,M. Morris enters the game for B. Bogdanovic,,108-97,,
4:45.0,,,108-97,,J. Murray misses 2-pt shot from 15 ft
4:45.0,Defensive rebound by M. Gortat,,108-97,,
4:30.0,J. Wall makes 2-pt shot from 15 ft,2,110-97,,
4:05.0,,,110-100,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Hernangomez)
3:47.0,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall),2,112-100,,
3:33.0,,,112-100,,M. Plumlee misses 2-pt shot from 3 ft
3:32.0,Defensive rebound by M. Morris,,112-100,,
3:32.0,,,112-100,,Personal foul by M. Plumlee (drawn by M. Gortat)
3:32.0,,,112-100,,W. Chandler enters the game for D. Arthur
3:12.0,J. Wall misses 2-pt shot from 18 ft,,112-100,,
3:11.0,,,112-100,,Defensive rebound by W. Chandler
3:06.0,,,112-100,,Shooting foul by M. Morris (drawn by M. Plumlee)
3:06.0,,,112-102,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Murray)
3:06.0,,,112-103,1,M. Plumlee makes free throw 1 of 1
2:41.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris),2,114-103,,
2:29.0,,,114-103,,J. Murray misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by B. Beal,,114-103,,
2:21.0,,,114-103,,Personal foul by W. Chandler (drawn by M. Gortat)
2:21.0,Official timeout,,114-103,,
2:08.0,Flagrant foul type 1 by M. Morris (drawn by M. Plumlee),,114-103,,
2:08.0,Turnover by M. Morris (offensive foul),,114-103,,
2:08.0,Washington full timeout,,114-103,,
2:08.0,,,114-103,,M. Plumlee misses flagrant free throw 1 of 2
2:08.0,,,114-103,,Offensive rebound by Team
2:08.0,,,114-104,1,M. Plumlee makes flagrant free throw 2 of 2
2:08.0,B. Bogdanovic enters the game for M. Morris,,114-103,,
1:50.0,,,114-106,2,J. Murray makes 2-pt shot from 5 ft
