time,Memphis,pts.away,score,pts.home,Detroit
6:50.0,T. Allen makes 2-pt shot at rim (assist by M. Gasol),2,9-8,,
6:37.0,V. Carter enters the game for C. Parsons,,9-8,,
6:28.0,Personal foul by J. Green (drawn by M. Morris),,9-8,,
6:28.0,A. Harrison enters the game for M. Conley,,9-8,,
6:22.0,Personal foul by T. Allen (drawn by T. Harris),,9-8,,
6:14.0,,,9-8,,K. Caldwell-Pope misses 2-pt shot from 12 ft
6:13.0,Defensive rebound by J. Green,,9-8,,
5:58.0,Turnover by M. Gasol (bad pass; steal by T. Harris),,9-8,,
5:52.0,,,9-10,2,I. Smith makes 2-pt shot at rim
5:38.0,M. Gasol makes 2-pt shot from 18 ft (assist by A. Harrison),2,11-10,,
5:21.0,,,11-10,,Turnover by M. Morris (lost ball)
5:21.0,,,11-10,,J. Leuer enters the game for M. Morris
5:21.0,Z. Randolph enters the game for J. Green,,11-10,,
5:05.0,M. Gasol makes 2-pt shot from 5 ft,2,13-10,,
4:47.0,,,13-10,,I. Smith misses 2-pt shot from 11 ft
4:47.0,,,13-10,,Offensive rebound by Team
4:47.0,J. Ennis enters the game for T. Allen,,13-10,,
4:40.0,,,13-12,2,I. Smith makes 2-pt shot from 8 ft (assist by J. Leuer)
4:28.0,Z. Randolph misses 2-pt shot at rim,,13-12,,
4:28.0,,,13-12,,Defensive rebound by J. Leuer
4:23.0,,,13-12,,Turnover by I. Smith (bad pass; steal by M. Gasol)
4:21.0,Turnover by M. Gasol (bad pass),,13-12,,
4:21.0,Offensive foul by M. Gasol,,13-12,,
4:03.0,,,13-14,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
3:40.0,V. Carter makes 2-pt shot from 19 ft (assist by M. Gasol),2,15-14,,
3:25.0,,,15-14,,K. Caldwell-Pope misses 2-pt shot from 13 ft
3:25.0,Defensive rebound by Team,,15-14,,
3:25.0,,,15-14,,A. Baynes enters the game for A. Drummond
3:03.0,Shooting foul by I. Smith (drawn by M. Gasol),,15-14,,
3:03.0,M. Gasol makes free throw 1 of 2,1,16-14,,
3:03.0,M. Gasol makes free throw 2 of 2,1,17-14,,
2:48.0,,,17-14,,J. Leuer misses 2-pt shot from 9 ft
2:47.0,Defensive rebound by Z. Randolph,,17-14,,
2:37.0,M. Gasol makes 3-pt shot from 25 ft (assist by Z. Randolph),3,20-14,,
2:20.0,,,20-14,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by M. Gasol,,20-14,,
2:08.0,Shooting foul by A. Baynes (drawn by M. Gasol),,20-14,,
2:08.0,Memphis full timeout,,20-14,,
2:08.0,M. Gasol makes free throw 1 of 2,1,21-14,,
2:08.0,M. Gasol misses free throw 2 of 2,,21-14,,
2:07.0,,,21-14,,Defensive rebound by T. Harris
1:49.0,,,21-14,,Turnover by T. Harris (lost ball)
1:49.0,J. Martin enters the game for M. Gasol,,21-14,,
1:34.0,Z. Randolph makes 2-pt shot from 15 ft,2,23-14,,
1:21.0,,,23-14,,K. Caldwell-Pope misses 2-pt shot at rim
1:19.0,,,23-14,,Offensive rebound by K. Caldwell-Pope
1:17.0,,,23-14,,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by J. Ennis)
1:15.0,Defensive rebound by J. Ennis,,23-14,,
1:07.0,J. Ennis makes 3-pt shot from 27 ft (assist by Z. Randolph),3,26-14,,
0:57.0,,,26-17,3,J. Leuer makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
0:41.0,Z. Randolph misses 2-pt shot from 16 ft,,26-17,,
0:40.0,,,26-17,,Defensive rebound by T. Harris
0:33.0,,,26-19,2,A. Baynes makes 2-pt shot from 7 ft (assist by I. Smith)
0:22.0,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison),3,29-19,,
0:05.0,,,29-19,,I. Smith misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by Z. Randolph,,29-19,,
0:00.0,Z. Randolph misses 3-pt shot from 82 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Ennis misses 2-pt shot from 5 ft,,29-19,,
11:35.0,,,29-19,,Defensive rebound by M. Morris
11:21.0,,,29-19,,R. Jackson misses 2-pt shot from 8 ft
11:21.0,Defensive rebound by A. Harrison,,29-19,,
11:10.0,C. Parsons makes 2-pt shot from 1 ft (assist by A. Harrison),2,31-19,,
10:57.0,,,31-19,,J. Leuer misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by J. Ennis,,31-19,,
10:44.0,Z. Randolph misses 2-pt shot from 21 ft,,31-19,,
10:44.0,Offensive rebound by Z. Randolph,,31-19,,
10:44.0,Z. Randolph misses 2-pt shot from 21 ft (block by J. Leuer),,31-19,,
10:44.0,Offensive rebound by J. Martin,,31-19,,
10:39.0,J. Martin makes 2-pt shot at rim,2,33-19,,
10:32.0,,,33-19,,Detroit full timeout
10:32.0,T. Daniels enters the game for J. Ennis,,33-19,,
10:25.0,,,33-19,,Turnover by S. Johnson (step out of bounds)
10:08.0,C. Parsons misses 2-pt shot from 14 ft,,33-19,,
10:07.0,,,33-19,,Defensive rebound by A. Drummond
10:01.0,,,33-19,,Turnover by R. Jackson (bad pass; steal by Z. Randolph)
9:50.0,Shooting foul by R. Jackson (drawn by A. Harrison),,33-19,,
9:50.0,A. Harrison makes free throw 1 of 2,1,34-19,,
9:50.0,A. Harrison makes free throw 2 of 2,1,35-19,,
9:47.0,Personal foul by A. Harrison (drawn by R. Jackson),,35-19,,
9:33.0,,,35-19,,Shooting foul by T. Daniels (drawn by M. Morris)
9:33.0,,,35-20,1,M. Morris makes free throw 1 of 2
9:33.0,,,35-21,1,M. Morris makes free throw 2 of 2
9:10.0,Z. Randolph makes 2-pt shot from 1 ft,2,37-21,,
8:58.0,,,37-21,,R. Jackson misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by T. Daniels,,37-21,,
8:41.0,Z. Randolph misses 2-pt shot from 18 ft,,37-21,,
8:40.0,Offensive rebound by A. Harrison,,37-21,,
8:31.0,T. Daniels misses 3-pt shot from 26 ft,,37-21,,
8:31.0,,,37-21,,Defensive rebound by Team
8:20.0,Personal foul by J. Martin (drawn by M. Morris),,37-21,,
8:08.0,,,37-21,,Shooting foul by J. Martin (drawn by M. Morris)
8:08.0,,,37-21,,M. Morris misses free throw 1 of 2
8:08.0,,,37-21,,Offensive rebound by Team
8:08.0,,,37-22,1,M. Morris makes free throw 2 of 2
7:51.0,A. Harrison makes 3-pt shot from 25 ft (assist by C. Parsons),3,40-22,,
7:39.0,,,40-22,,Shooting foul by J. Martin (drawn by R. Jackson)
7:39.0,,,40-23,1,R. Jackson makes free throw 1 of 2
7:39.0,,,40-24,1,R. Jackson makes free throw 2 of 2
7:39.0,M. Gasol enters the game for J. Martin,,40-23,,
7:25.0,Turnover by M. Gasol (lost ball; steal by A. Drummond),,40-24,,
7:15.0,,,40-26,2,J. Leuer makes 2-pt shot from 10 ft (assist by R. Jackson)
7:11.0,Memphis full timeout,,40-26,,
7:11.0,T. Allen enters the game for C. Parsons,,40-26,,
7:02.0,T. Allen misses 2-pt shot from 3 ft (block by S. Johnson),,40-26,,
7:01.0,,,40-26,,Defensive rebound by S. Johnson
6:55.0,,,40-28,2,M. Morris makes 2-pt shot from 16 ft (assist by R. Jackson)
6:33.0,Turnover by A. Harrison (traveling),,40-28,,
6:33.0,J. Green enters the game for Z. Randolph,,40-28,,
6:16.0,,,40-30,2,R. Jackson makes 2-pt shot from 5 ft
5:56.0,M. Gasol misses 2-pt shot from 17 ft,,40-30,,
5:55.0,,,40-30,,Defensive rebound by M. Morris
5:51.0,,,40-30,,Shooting foul by M. Gasol (drawn by A. Drummond)
5:51.0,,,40-31,1,A. Drummond makes free throw 1 of 2
5:51.0,,,40-31,,A. Drummond misses free throw 2 of 2
5:51.0,Defensive rebound by Team,,40-31,,
5:51.0,M. Conley enters the game for A. Harrison,,40-31,,
5:51.0,V. Carter enters the game for T. Daniels,,40-31,,
5:39.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,42-31,,
5:25.0,,,42-33,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
5:03.0,M. Conley misses 3-pt shot from 25 ft,,42-33,,
5:03.0,,,42-33,,Defensive rebound by A. Drummond
4:51.0,,,42-36,3,R. Jackson makes 3-pt shot from 24 ft
4:27.0,V. Carter misses 3-pt shot from 26 ft,,42-36,,
4:27.0,,,42-36,,Defensive rebound by Team
4:16.0,,,42-36,,R. Jackson misses 2-pt shot from 19 ft
4:16.0,,,42-36,,Offensive rebound by A. Drummond
4:15.0,,,42-36,,A. Drummond misses 2-pt shot from 1 ft
4:11.0,,,42-36,,Offensive rebound by Team
4:11.0,Loose ball foul by J. Green (drawn by J. Leuer),,42-36,,
4:11.0,,,42-37,1,J. Leuer makes free throw 1 of 2
4:11.0,,,42-38,1,J. Leuer makes free throw 2 of 2
4:00.0,,,42-38,,Personal foul by S. Johnson (drawn by V. Carter)
3:55.0,,,42-38,,Personal foul by R. Jackson (drawn by V. Carter)
3:52.0,,,42-38,,Personal foul by S. Johnson (drawn by V. Carter)
3:42.0,J. Green makes 3-pt shot from 26 ft (assist by M. Conley),3,45-38,,
3:16.0,,,45-38,,A. Drummond misses 2-pt shot from 9 ft
3:16.0,Defensive rebound by M. Conley,,45-38,,
3:01.0,J. Green misses 2-pt shot from 7 ft,,45-38,,
3:01.0,,,45-38,,Defensive rebound by A. Drummond
2:50.0,,,45-40,2,R. Jackson makes 2-pt shot from 7 ft
2:26.0,J. Green misses 3-pt shot from 27 ft,,45-40,,
2:26.0,,,45-40,,Defensive rebound by A. Drummond
2:14.0,,,45-40,,Turnover by J. Leuer (bad pass; steal by M. Conley)
2:03.0,M. Conley makes 3-pt shot from 25 ft,3,48-40,,
1:40.0,,,48-40,,J. Leuer misses 2-pt shot from 8 ft
1:40.0,Defensive rebound by M. Conley,,48-40,,
1:26.0,V. Carter misses 3-pt shot from 25 ft,,48-40,,
1:26.0,,,48-40,,Defensive rebound by Team
1:26.0,Official timeout,,48-40,,
1:26.0,,,48-40,,I. Smith enters the game for R. Jackson
1:26.0,,,48-40,,K. Caldwell-Pope enters the game for S. Johnson
1:13.0,,,48-40,,M. Morris misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by J. Green,,48-40,,
0:55.0,J. Green misses 2-pt shot from 16 ft,,48-40,,
0:54.0,,,48-40,,Defensive rebound by J. Leuer
0:46.0,,,48-40,,Shooting foul by J. Green (drawn by A. Drummond)
0:46.0,,,48-41,1,A. Drummond makes free throw 1 of 2
0:46.0,,,48-42,1,A. Drummond makes free throw 2 of 2
0:46.0,J. Ennis enters the game for J. Green,,48-41,,
0:27.0,M. Gasol makes 2-pt shot from 15 ft,2,50-42,,
0:08.0,,,50-44,2,I. Smith makes 2-pt shot from 1 ft
0:01.0,Shooting foul by J. Leuer (drawn by M. Gasol),,50-44,,
0:01.0,,,50-44,,Violation by Team (jump ball)
0:01.0,M. Gasol makes free throw 1 of 3,1,51-44,,
0:01.0,M. Gasol makes free throw 2 of 3,1,52-44,,
0:01.0,M. Gasol makes free throw 3 of 3,1,53-44,,
0:01.0,,,53-44,,I. Smith misses 3-pt shot from 33 ft
0:00.0,,,53-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,C. Parsons misses 3-pt shot from 26 ft,,53-44,,
11:34.0,,,53-44,,Defensive rebound by K. Caldwell-Pope
11:26.0,,,53-44,,M. Morris misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by M. Conley,,53-44,,
11:15.0,M. Conley makes 3-pt shot from 25 ft,3,56-44,,
10:51.0,,,56-46,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
10:39.0,M. Conley misses 2-pt shot from 7 ft,,56-46,,
10:38.0,,,56-46,,Defensive rebound by T. Harris
10:29.0,,,56-49,3,R. Jackson makes 3-pt shot from 26 ft (assist by T. Harris)
10:05.0,M. Gasol makes 2-pt shot from 1 ft (assist by C. Parsons),2,58-49,,
9:43.0,,,58-51,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by T. Harris)
9:18.0,M. Conley misses 3-pt shot from 27 ft,,58-51,,
9:18.0,,,58-51,,Defensive rebound by M. Morris
9:02.0,,,58-51,,T. Harris misses 2-pt shot from 15 ft
8:59.0,,,58-51,,Offensive rebound by A. Drummond
8:57.0,,,58-51,,A. Drummond misses 2-pt shot from 2 ft (block by M. Gasol)
8:57.0,,,58-51,,Offensive rebound by A. Drummond
8:57.0,,,58-51,,Shooting foul by T. Allen (drawn by A. Drummond)
8:57.0,,,58-52,1,A. Drummond makes free throw 1 of 2
8:57.0,,,58-52,,A. Drummond misses free throw 2 of 2
8:57.0,Defensive rebound by J. Green,,58-52,,
8:35.0,M. Gasol makes 2-pt shot at rim (assist by J. Green),2,60-52,,
8:11.0,,,60-52,,R. Jackson misses 2-pt shot at rim
8:11.0,,,60-52,,Offensive rebound by A. Drummond
8:11.0,,,60-52,,Shooting foul by M. Conley (drawn by A. Drummond)
8:11.0,,,60-53,1,A. Drummond makes free throw 1 of 2
8:11.0,,,60-54,1,A. Drummond makes free throw 2 of 2
7:57.0,T. Allen misses 2-pt shot from 7 ft,,60-54,,
7:57.0,Offensive rebound by J. Green,,60-54,,
7:56.0,Turnover by J. Green (back court),,60-54,,
7:44.0,,,60-54,,M. Morris misses 2-pt shot from 15 ft
7:43.0,Defensive rebound by M. Gasol,,60-54,,
7:37.0,,,60-54,,Personal foul by R. Jackson (drawn by M. Conley)
7:28.0,J. Green makes 3-pt shot from 27 ft (assist by M. Gasol),3,63-54,,
7:08.0,,,63-54,,Shooting foul by M. Conley (drawn by M. Morris)
7:08.0,,,63-55,1,M. Morris makes free throw 1 of 2
7:08.0,,,63-56,1,M. Morris makes free throw 2 of 2
7:08.0,J. Ennis enters the game for C. Parsons,,63-55,,
6:50.0,M. Conley misses 2-pt shot at rim,,63-56,,
6:50.0,,,63-56,,Defensive rebound by A. Drummond
6:41.0,,,63-59,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
6:14.0,M. Gasol makes 2-pt shot from 14 ft,2,65-59,,
5:57.0,,,65-61,2,R. Jackson makes 2-pt shot at rim (assist by A. Drummond)
5:40.0,Shooting foul by A. Drummond (drawn by M. Gasol),,65-61,,
5:40.0,,,65-61,,Detroit full timeout
5:40.0,M. Gasol makes free throw 1 of 2,1,66-61,,
5:40.0,M. Gasol misses free throw 2 of 2,,66-61,,
5:40.0,A. Harrison enters the game for M. Conley,,65-61,,
5:39.0,,,66-61,,Defensive rebound by A. Drummond
5:15.0,,,66-61,,R. Jackson misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by J. Green,,66-61,,
5:04.0,Offensive foul by T. Allen,,66-61,,
5:04.0,Turnover by T. Allen (offensive foul),,66-61,,
4:47.0,,,66-61,,T. Harris misses 2-pt shot from 1 ft
4:47.0,Defensive rebound by J. Ennis,,66-61,,
4:30.0,T. Allen misses 2-pt shot from 1 ft,,66-61,,
4:30.0,,,66-61,,Defensive rebound by M. Morris
4:21.0,,,66-61,,Turnover by M. Morris (bad pass; steal by J. Ennis)
4:16.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,68-61,,
4:02.0,,,68-61,,T. Harris misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by J. Green,,68-61,,
3:54.0,Shooting foul by R. Jackson (drawn by A. Harrison),,68-61,,
3:54.0,A. Harrison makes free throw 1 of 2,1,69-61,,
3:54.0,A. Harrison makes free throw 2 of 2,1,70-61,,
3:54.0,,,69-61,,I. Smith enters the game for R. Jackson
3:54.0,,,69-61,,J. Leuer enters the game for M. Morris
3:54.0,V. Carter enters the game for T. Allen,,69-61,,
3:38.0,,,70-61,,J. Leuer misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by M. Gasol,,70-61,,
3:24.0,M. Gasol makes 2-pt shot from 15 ft (assist by J. Ennis),2,72-61,,
3:24.0,,,72-61,,Detroit full timeout
3:10.0,,,72-61,,T. Harris misses 2-pt shot from 7 ft
3:09.0,Defensive rebound by J. Ennis,,72-61,,
2:56.0,J. Green misses 3-pt shot from 23 ft,,72-61,,
2:55.0,,,72-61,,Defensive rebound by I. Smith
2:47.0,,,72-61,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by J. Green,,72-61,,
2:33.0,,,72-61,,Personal foul by J. Leuer (drawn by M. Gasol)
2:33.0,Z. Randolph enters the game for J. Green,,72-61,,
2:24.0,Shooting foul by I. Smith (drawn by A. Harrison),,72-61,,
2:24.0,A. Harrison makes free throw 1 of 2,1,73-61,,
2:24.0,A. Harrison makes free throw 2 of 2,1,74-61,,
2:09.0,,,74-61,,J. Leuer misses 2-pt shot from 18 ft
2:09.0,Defensive rebound by M. Gasol,,74-61,,
1:59.0,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison),3,77-61,,
1:58.0,,,77-61,,Detroit full timeout
1:58.0,,,77-61,,S. Johnson enters the game for A. Drummond
1:58.0,,,77-61,,A. Baynes enters the game for K. Caldwell-Pope
1:45.0,,,77-61,,S. Johnson misses 2-pt shot from 10 ft (block by J. Ennis)
1:45.0,,,77-61,,Offensive rebound by Team
1:37.0,,,77-61,,Turnover by S. Johnson (bad pass; steal by M. Gasol)
1:32.0,J. Ennis misses 2-pt shot from 1 ft,,77-61,,
1:31.0,,,77-61,,Defensive rebound by I. Smith
1:27.0,,,77-61,,Turnover by I. Smith (traveling)
1:10.0,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph),2,79-61,,
0:51.0,,,79-63,2,J. Leuer makes 2-pt shot from 14 ft
0:30.0,Z. Randolph misses 2-pt shot from 1 ft,,79-63,,
0:29.0,,,79-63,,Defensive rebound by T. Harris
0:24.0,,,79-63,,J. Leuer misses 2-pt shot from 18 ft
0:23.0,Defensive rebound by A. Harrison,,79-63,,
0:03.0,Z. Randolph misses 3-pt shot from 23 ft,,79-63,,
0:02.0,,,79-63,,Defensive rebound by J. Leuer
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,79-65,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
11:52.0,,,79-65,,Shooting foul by J. Martin (drawn by J. Leuer)
11:52.0,,,79-66,1,J. Leuer makes free throw 1 of 1
11:39.0,T. Daniels makes 3-pt shot from 26 ft (assist by Z. Randolph),3,82-66,,
11:19.0,,,82-66,,Shooting foul by J. Martin (drawn by J. Leuer)
11:19.0,,,82-67,1,J. Leuer makes free throw 1 of 2
11:19.0,,,82-68,1,J. Leuer makes free throw 2 of 2
11:09.0,,,82-68,,Personal foul by S. Johnson (drawn by T. Daniels)
10:54.0,Z. Randolph misses 2-pt shot from 8 ft,,82-68,,
10:53.0,,,82-68,,Defensive rebound by J. Leuer
10:46.0,,,82-68,,M. Morris misses 3-pt shot from 26 ft
10:46.0,,,82-68,,Offensive rebound by I. Smith
10:34.0,,,82-68,,Turnover by I. Smith (bad pass; steal by J. Ennis)
10:28.0,J. Ennis makes 2-pt shot at rim (assist by A. Harrison),2,84-68,,
10:12.0,,,84-68,,Shooting foul by A. Harrison (drawn by M. Morris)
10:12.0,,,84-69,1,M. Morris makes free throw 1 of 2
10:12.0,,,84-70,1,M. Morris makes free throw 2 of 2
10:12.0,T. Allen enters the game for J. Ennis,,84-69,,
9:59.0,Turnover by Z. Randolph (bad pass),,84-70,,
9:45.0,,,84-70,,I. Smith misses 2-pt shot from 7 ft
9:44.0,Defensive rebound by T. Allen,,84-70,,
9:36.0,T. Daniels misses 3-pt shot from 25 ft,,84-70,,
9:35.0,,,84-70,,Defensive rebound by J. Leuer
9:24.0,,,84-70,,S. Johnson misses 2-pt shot from 1 ft
9:24.0,,,84-70,,Offensive rebound by S. Johnson
9:23.0,,,84-70,,S. Johnson misses 2-pt shot from 2 ft
9:20.0,,,84-70,,Offensive rebound by Team
9:15.0,,,84-70,,Shooting foul by T. Allen (drawn by M. Morris)
9:15.0,,,84-71,1,M. Morris makes free throw 1 of 2
9:15.0,,,84-72,1,M. Morris makes free throw 2 of 2
9:12.0,Memphis full timeout,,84-72,,
8:52.0,Z. Randolph makes 2-pt shot from 19 ft (assist by A. Harrison),2,86-72,,
8:32.0,,,86-74,2,J. Leuer makes 2-pt shot from 12 ft
8:17.0,T. Daniels misses 3-pt shot from 25 ft,,86-74,,
8:17.0,Offensive rebound by T. Allen,,86-74,,
8:10.0,T. Daniels misses 3-pt shot from 27 ft,,86-74,,
8:09.0,,,86-74,,Defensive rebound by A. Baynes
8:02.0,,,86-74,,J. Leuer misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by Z. Randolph,,86-74,,
7:46.0,Z. Randolph misses 2-pt shot from 20 ft,,86-74,,
7:46.0,,,86-74,,Defensive rebound by I. Smith
7:46.0,Personal foul by Z. Randolph (drawn by I. Smith),,86-74,,
7:46.0,,,86-74,,I. Smith misses free throw 1 of 2
7:46.0,,,86-74,,Offensive rebound by Team
7:46.0,,,86-75,1,I. Smith makes free throw 2 of 2
7:46.0,,,86-74,,A. Drummond enters the game for J. Leuer
7:46.0,,,86-74,,K. Caldwell-Pope enters the game for A. Baynes
7:46.0,,,86-74,,T. Harris enters the game for S. Johnson
7:46.0,M. Gasol enters the game for J. Martin,,86-74,,
7:22.0,T. Allen misses 2-pt shot from 5 ft,,86-75,,
7:22.0,Offensive rebound by Team,,86-75,,
7:21.0,Turnover by Team (shot clock),,86-75,,
7:21.0,,,86-75,,R. Jackson enters the game for I. Smith
6:57.0,,,86-75,,R. Jackson misses 2-pt shot from 1 ft
6:57.0,,,86-75,,Offensive rebound by Team
6:36.0,,,86-77,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
6:24.0,,,86-77,,Personal foul by M. Morris (drawn by T. Daniels)
6:24.0,M. Conley enters the game for A. Harrison,,86-77,,
6:13.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,88-77,,
6:04.0,Personal foul by Z. Randolph (drawn by R. Jackson),,88-77,,
6:04.0,,,88-78,1,R. Jackson makes free throw 1 of 2
6:04.0,,,88-79,1,R. Jackson makes free throw 2 of 2
6:04.0,J. Green enters the game for Z. Randolph,,88-78,,
5:48.0,T. Daniels misses 3-pt shot from 26 ft,,88-79,,
5:48.0,Offensive rebound by J. Green,,88-79,,
5:40.0,J. Green misses 2-pt shot from 1 ft,,88-79,,
5:39.0,,,88-79,,Defensive rebound by T. Harris
5:28.0,,,88-81,2,R. Jackson makes 2-pt shot from 15 ft
5:12.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Conley),3,91-81,,
4:54.0,,,91-81,,M. Morris misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by M. Conley,,91-81,,
4:40.0,,,91-81,,Personal foul by A. Drummond (drawn by M. Gasol)
4:40.0,Official timeout,,91-81,,
4:40.0,J. Ennis enters the game for T. Allen,,91-81,,
4:38.0,Offensive foul by M. Conley,,91-81,,
4:38.0,Turnover by M. Conley (offensive foul),,91-81,,
4:26.0,Personal foul by M. Conley (drawn by M. Morris),,91-81,,
4:26.0,,,91-81,,M. Morris misses free throw 1 of 2
4:26.0,,,91-81,,Offensive rebound by Team
4:26.0,,,91-81,,M. Morris misses free throw 2 of 2
4:26.0,Defensive rebound by J. Ennis,,91-81,,
4:24.0,Memphis full timeout,,91-81,,
4:24.0,,,91-81,,J. Leuer enters the game for T. Harris
4:12.0,T. Daniels misses 2-pt shot from 18 ft,,91-81,,
4:12.0,,,91-81,,Defensive rebound by A. Drummond
4:00.0,,,91-81,,A. Drummond misses 2-pt shot from 1 ft (block by M. Gasol)
3:58.0,Defensive rebound by M. Conley,,91-81,,
3:35.0,M. Gasol makes 2-pt shot from 16 ft,2,93-81,,
3:20.0,,,93-81,,Turnover by R. Jackson (bad pass; steal by T. Daniels)
3:00.0,M. Conley misses 2-pt shot from 6 ft,,93-81,,
3:00.0,,,93-81,,Defensive rebound by M. Morris
3:00.0,Personal foul by J. Green (drawn by M. Morris),,93-81,,
3:00.0,,,93-81,,M. Morris misses free throw 1 of 2
3:00.0,,,93-81,,Offensive rebound by Team
3:00.0,,,93-82,1,M. Morris makes free throw 2 of 2
3:00.0,A. Harrison enters the game for J. Ennis,,93-81,,
3:00.0,,,93-81,,I. Smith enters the game for R. Jackson
2:41.0,M. Conley misses 3-pt shot from 26 ft,,93-82,,
2:40.0,,,93-82,,Defensive rebound by Team
2:28.0,,,93-82,,A. Drummond misses 2-pt shot at rim
2:28.0,,,93-82,,Offensive rebound by A. Drummond
2:28.0,,,93-82,,Shooting foul by M. Gasol (drawn by A. Drummond)
2:28.0,,,93-82,,A. Drummond misses free throw 1 of 2
2:28.0,,,93-82,,Offensive rebound by Team
2:28.0,,,93-83,1,A. Drummond makes free throw 2 of 2
2:01.0,M. Gasol misses 2-pt shot from 2 ft,,93-83,,
2:00.0,Offensive rebound by J. Green,,93-83,,
1:57.0,J. Green misses 2-pt shot at rim,,93-83,,
1:55.0,,,93-83,,Defensive rebound by A. Drummond
