time,Cleveland,pts.away,score,pts.home,Indiana
1:41.0,K. Irving misses 2-pt shot from 1 ft (block by K. Seraphin),,19-27,,
1:41.0,Offensive rebound by Team,,19-27,,
1:38.0,K. Korver misses 2-pt shot from 17 ft,,19-27,,
1:38.0,,,19-27,,Defensive rebound by K. Seraphin
1:30.0,,,19-29,2,K. Seraphin makes 2-pt shot from 1 ft (assist by G. Robinson)
1:14.0,K. Irving makes 3-pt shot from 27 ft,3,22-29,,
0:56.0,,,22-29,,J. Teague misses 2-pt shot from 10 ft
0:55.0,,,22-29,,Offensive rebound by K. Seraphin
0:55.0,,,22-29,,Shooting foul by K. Korver (drawn by K. Seraphin)
0:55.0,,,22-31,2,K. Seraphin makes 2-pt shot at rim
0:55.0,,,22-32,1,K. Seraphin makes free throw 1 of 1
0:44.0,K. Korver makes 3-pt shot from 23 ft (assist by K. Irving),3,25-32,,
0:33.0,,,25-35,3,G. Robinson makes 3-pt shot from 23 ft (assist by K. Seraphin)
0:22.0,C. Frye makes 2-pt shot at rim (assist by K. Korver),2,27-35,,
0:03.0,,,27-37,2,G. Robinson makes 2-pt shot from 3 ft (assist by J. Teague)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,27-37,,Personal foul by M. Ellis (drawn by I. Shumpert)
11:45.0,C. Frye misses 3-pt shot from 28 ft,,27-37,,
11:44.0,,,27-37,,Defensive rebound by L. Stephenson
11:27.0,,,27-40,3,L. Stephenson makes 3-pt shot from 26 ft (assist by K. Seraphin)
11:15.0,C. Frye misses 3-pt shot from 26 ft,,27-40,,
11:15.0,,,27-40,,Defensive rebound by L. Stephenson
11:07.0,,,27-40,,L. Stephenson misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by L. James,,27-40,,
10:58.0,L. James misses 2-pt shot from 1 ft,,27-40,,
10:58.0,,,27-40,,Defensive rebound by P. George
10:52.0,Personal block foul by C. Frye (drawn by M. Ellis),,27-40,,
10:52.0,K. Love enters the game for C. Frye,,27-40,,
10:52.0,J. Smith enters the game for I. Shumpert,,27-40,,
10:52.0,T. Thompson enters the game for K. Korver,,27-40,,
10:52.0,,,27-40,,T. Young enters the game for G. Robinson
10:42.0,,,27-40,,P. George misses 2-pt shot from 16 ft
10:41.0,Defensive rebound by L. James,,27-40,,
10:29.0,Turnover by L. James (bad pass),,27-40,,
10:14.0,,,27-40,,K. Seraphin misses 2-pt shot from 5 ft
10:14.0,Defensive rebound by L. James,,27-40,,
10:07.0,L. James makes 2-pt shot at rim,2,29-40,,
10:07.0,Shooting foul by K. Seraphin (drawn by L. James),,29-40,,
10:07.0,L. James misses free throw 1 of 1,,29-40,,
10:07.0,,,29-40,,Defensive rebound by K. Seraphin
9:53.0,,,29-40,,Turnover by T. Young (bad pass; steal by D. Williams)
9:45.0,K. Love misses 3-pt shot from 25 ft,,29-40,,
9:44.0,,,29-40,,Defensive rebound by M. Ellis
9:20.0,,,29-40,,K. Seraphin misses 2-pt shot from 11 ft
9:18.0,Defensive rebound by L. James,,29-40,,
9:08.0,K. Love misses 2-pt shot from 17 ft,,29-40,,
9:08.0,Offensive rebound by Team,,29-40,,
9:08.0,,,29-40,,Loose ball foul by K. Seraphin (drawn by T. Thompson)
9:08.0,,,29-40,,M. Turner enters the game for K. Seraphin
9:01.0,L. James makes 3-pt shot from 23 ft (assist by D. Williams),3,32-40,,
8:43.0,,,32-40,,M. Turner misses 2-pt shot from 19 ft
8:42.0,,,32-40,,Offensive rebound by M. Turner
8:40.0,,,32-42,2,M. Turner makes 2-pt shot from 4 ft
8:28.0,J. Smith misses 3-pt shot from 27 ft,,32-42,,
8:28.0,,,32-42,,Defensive rebound by Team
8:28.0,Official timeout,,32-42,,
8:17.0,,,32-44,2,M. Ellis makes 2-pt shot from 6 ft
8:17.0,,,32-44,,Shooting foul by T. Thompson (drawn by M. Ellis)
8:17.0,,,32-45,1,M. Ellis makes free throw 1 of 1
7:54.0,J. Smith misses 2-pt shot from 18 ft,,32-45,,
7:54.0,,,32-45,,Defensive rebound by P. George
7:50.0,Personal block foul by D. Williams (drawn by M. Ellis),,32-45,,
7:50.0,K. Irving enters the game for J. Smith,,32-45,,
7:38.0,,,32-45,,M. Ellis misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by K. Love,,32-45,,
7:26.0,Shooting foul by P. George (drawn by L. James),,32-45,,
7:26.0,L. James makes 2-pt shot from 5 ft,2,34-45,,
7:26.0,L. James makes free throw 1 of 1,1,35-45,,
7:14.0,,,35-45,,L. Stephenson misses 3-pt shot from 26 ft
7:13.0,,,35-45,,Offensive rebound by T. Young
7:10.0,,,35-48,3,P. George makes 3-pt shot from 25 ft (assist by T. Young)
6:55.0,Shooting foul by M. Ellis (drawn by K. Irving),,35-48,,
6:55.0,K. Irving misses free throw 1 of 2,,35-48,,
6:55.0,Offensive rebound by Team,,35-48,,
6:55.0,K. Irving makes free throw 2 of 2,1,36-48,,
6:41.0,Personal foul by K. Irving (drawn by T. Young),,36-48,,
6:40.0,,,36-50,2,P. George makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:28.0,K. Irving misses 3-pt shot from 26 ft,,36-50,,
6:27.0,,,36-50,,Defensive rebound by P. George
6:18.0,,,36-50,,P. George misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by D. Williams,,36-50,,
5:55.0,L. James misses 3-pt shot from 25 ft,,36-50,,
5:55.0,,,36-50,,Defensive rebound by P. George
5:54.0,Personal take foul by D. Williams (drawn by P. George),,36-50,,
5:54.0,,,36-50,,Indiana full timeout
5:54.0,,,36-51,1,P. George makes free throw 1 of 2
5:54.0,,,36-52,1,P. George makes free throw 2 of 2
5:54.0,K. Korver enters the game for D. Williams,,36-50,,
5:45.0,Offensive foul by L. James,,36-52,,
5:45.0,Turnover by L. James (offensive foul),,36-52,,
5:30.0,,,36-54,2,P. George makes 2-pt shot from 19 ft
5:08.0,T. Thompson misses 2-pt shot from 1 ft (block by T. Young),,36-54,,
5:08.0,Offensive rebound by Team,,36-54,,
5:08.0,J. Smith enters the game for K. Love,,36-54,,
5:03.0,T. Thompson makes 2-pt shot from 15 ft,2,38-54,,
4:49.0,,,38-54,,Shooting foul by J. Smith (drawn by P. George)
4:49.0,,,38-55,1,P. George makes free throw 1 of 2
4:49.0,,,38-56,1,P. George makes free throw 2 of 2
4:38.0,K. Irving misses 2-pt shot from 2 ft,,38-56,,
4:37.0,,,38-56,,Defensive rebound by L. Stephenson
4:32.0,,,38-56,,P. George misses 3-pt shot from 24 ft
4:29.0,,,38-56,,Offensive rebound by T. Young
4:27.0,,,38-56,,Turnover by T. Young (bad pass; steal by K. Korver)
4:23.0,K. Irving makes 2-pt shot from 2 ft,2,40-56,,
4:13.0,,,40-59,3,M. Ellis makes 3-pt shot from 24 ft (assist by P. George)
3:54.0,K. Irving misses 3-pt shot from 27 ft,,40-59,,
3:52.0,,,40-59,,Defensive rebound by Team
3:52.0,,,40-59,,J. Teague enters the game for L. Stephenson
3:26.0,,,40-59,,M. Ellis misses 3-pt shot from 26 ft
3:25.0,,,40-59,,Offensive rebound by T. Young
3:21.0,,,40-62,3,P. George makes 3-pt shot from 24 ft (assist by T. Young)
3:20.0,Cleveland full timeout,,40-62,,
3:09.0,K. Korver makes 3-pt shot from 26 ft (assist by K. Irving),3,43-62,,
2:55.0,Personal foul by J. Smith,,43-62,,
2:55.0,,,43-63,1,P. George makes free throw 1 of 2
2:55.0,,,43-64,1,P. George makes free throw 2 of 2
2:55.0,K. Love enters the game for T. Thompson,,43-63,,
2:38.0,L. James misses 2-pt shot from 4 ft,,43-64,,
2:37.0,,,43-64,,Defensive rebound by M. Turner
2:28.0,,,43-64,,M. Turner misses 2-pt shot at rim (block by L. James)
2:28.0,Defensive rebound by Team,,43-64,,
2:17.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,46-64,,
2:01.0,,,46-66,2,T. Young makes 2-pt shot from 3 ft (assist by M. Ellis)
1:39.0,L. James misses 2-pt shot from 7 ft (block by M. Turner),,46-66,,
1:38.0,,,46-66,,Defensive rebound by P. George
1:35.0,,,46-66,,Turnover by P. George (bad pass)
1:23.0,K. Irving misses 2-pt shot from 23 ft,,46-66,,
1:23.0,,,46-66,,Defensive rebound by P. George
1:09.0,,,46-69,3,J. Teague makes 3-pt shot from 27 ft
1:01.0,K. Irving misses 2-pt shot from 1 ft,,46-69,,
1:01.0,,,46-69,,Defensive rebound by M. Turner
0:50.0,,,46-72,3,P. George makes 3-pt shot from 24 ft
0:25.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,49-72,,
0:06.0,,,49-72,,Indiana full timeout
0:06.0,R. Jefferson enters the game for L. James,,49-72,,
0:06.0,D. Jones enters the game for K. Love,,49-72,,
0:06.0,T. Thompson enters the game for J. Smith,,49-72,,
0:06.0,,,49-72,,L. Stephenson enters the game for M. Ellis
0:03.0,,,49-72,,Shooting foul by D. Jones (drawn by P. George)
0:03.0,,,49-73,1,P. George makes free throw 1 of 2
0:03.0,,,49-74,1,P. George makes free throw 2 of 2
0:03.0,,,49-73,,M. Ellis enters the game for L. Stephenson
0:01.0,Turnover by T. Thompson (bad pass; steal by J. Teague),,49-74,,
0:00.0,,,49-74,,J. Teague misses 3-pt shot from 40 ft
0:00.0,,,49-74,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,52-74,,
11:15.0,,,52-74,,C. Miles misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by T. Thompson,,52-74,,
10:59.0,K. Irving misses 3-pt shot from 28 ft (block by M. Turner),,52-74,,
10:59.0,,,52-74,,Defensive rebound by T. Young
10:48.0,,,52-76,2,J. Teague makes 2-pt shot from 5 ft
10:29.0,,,52-76,,Personal foul by J. Teague (drawn by K. Irving)
10:20.0,L. James misses 2-pt shot from 11 ft,,52-76,,
10:20.0,Offensive rebound by Team,,52-76,,
10:20.0,,,52-76,,Loose ball foul by M. Turner (drawn by T. Thompson)
10:14.0,K. Irving makes 2-pt shot at rim (assist by K. Love),2,54-76,,
10:14.0,,,54-76,,Violation by M. Turner (def goaltending)
9:49.0,,,54-76,,J. Teague misses 3-pt shot from 27 ft
9:46.0,,,54-76,,Offensive rebound by Team
9:38.0,,,54-76,,M. Turner misses 2-pt shot from 21 ft
9:35.0,,,54-76,,Offensive rebound by T. Young
9:29.0,,,54-76,,Shooting foul by T. Thompson (drawn by J. Teague)
9:29.0,,,54-77,1,J. Teague makes free throw 1 of 2
9:29.0,,,54-77,,J. Teague misses free throw 2 of 2
9:29.0,Defensive rebound by T. Thompson,,54-77,,
9:17.0,Shooting foul by M. Turner (drawn by L. James),,54-77,,
9:17.0,L. James makes free throw 1 of 2,1,55-77,,
9:17.0,L. James makes free throw 2 of 2,1,56-77,,
8:53.0,,,56-77,,J. Teague misses 2-pt shot from 1 ft
8:52.0,,,56-77,,Offensive rebound by T. Young
8:52.0,,,56-77,,T. Young misses 2-pt shot from 2 ft
8:51.0,,,56-77,,Offensive rebound by T. Young
8:51.0,,,56-77,,T. Young misses 2-pt shot from 2 ft
8:50.0,,,56-77,,Offensive rebound by T. Young
8:48.0,,,56-77,,T. Young misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by K. Love,,56-77,,
8:37.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,59-77,,
8:09.0,,,59-77,,M. Turner misses 2-pt shot from 17 ft
8:07.0,,,59-77,,Offensive rebound by T. Young
8:04.0,,,59-77,,M. Turner misses 2-pt shot at rim
8:01.0,Defensive rebound by K. Love,,59-77,,
7:51.0,L. James makes 3-pt shot from 23 ft (assist by J. Smith),3,62-77,,
7:50.0,,,62-77,,Indiana full timeout
7:50.0,,,62-77,,K. Seraphin enters the game for M. Turner
7:34.0,,,62-79,2,C. Miles makes 2-pt shot from 20 ft (assist by P. George)
7:16.0,K. Irving misses 3-pt shot from 26 ft,,62-79,,
7:15.0,,,62-79,,Defensive rebound by Team
6:58.0,,,62-79,,C. Miles misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by Team,,62-79,,
6:43.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,64-79,,
6:25.0,,,64-81,2,T. Young makes 2-pt shot from 1 ft (assist by P. George)
6:08.0,K. Irving misses 2-pt shot from 3 ft,,64-81,,
6:06.0,Offensive rebound by T. Thompson,,64-81,,
6:06.0,T. Thompson makes 2-pt shot at rim,2,66-81,,
5:54.0,,,66-81,,K. Seraphin misses 2-pt shot from 1 ft (block by T. Thompson)
5:53.0,,,66-81,,Offensive rebound by T. Young
5:43.0,,,66-81,,P. George misses 2-pt shot from 14 ft
5:42.0,,,66-81,,Offensive rebound by T. Young
5:42.0,Personal foul by J. Smith,,66-81,,
5:42.0,,,66-81,,L. Stephenson enters the game for C. Miles
5:29.0,,,66-81,,P. George misses 2-pt shot from 20 ft (block by L. James)
5:29.0,Defensive rebound by T. Thompson,,66-81,,
5:29.0,,,66-81,,Personal foul by P. George (drawn by T. Thompson)
5:29.0,,,66-81,,Technical foul by Team
5:29.0,K. Irving makes technical free throw,1,67-81,,
5:16.0,K. Irving misses 2-pt shot from 1 ft,,67-81,,
5:16.0,Offensive rebound by T. Thompson,,67-81,,
5:14.0,T. Thompson misses 2-pt shot from 1 ft,,67-81,,
5:13.0,,,67-81,,Defensive rebound by K. Seraphin
5:01.0,,,67-84,3,J. Teague makes 3-pt shot from 25 ft (assist by P. George)
4:47.0,K. Love misses 3-pt shot from 24 ft,,67-84,,
4:46.0,,,67-84,,Defensive rebound by L. Stephenson
4:37.0,,,67-87,3,L. Stephenson makes 3-pt shot from 23 ft (assist by P. George)
4:36.0,Cleveland full timeout,,67-87,,
4:17.0,L. James misses 3-pt shot from 28 ft,,67-87,,
4:17.0,Offensive rebound by Team,,67-87,,
4:17.0,,,67-87,,Loose ball foul by P. George (drawn by K. Love)
4:17.0,K. Love makes free throw 1 of 2,1,68-87,,
4:17.0,K. Love makes free throw 2 of 2,1,69-87,,
4:17.0,D. Williams enters the game for K. Irving,,68-87,,
4:07.0,,,69-87,,Turnover by L. Stephenson (bad pass; steal by L. James)
4:00.0,L. James makes 2-pt shot at rim,2,71-87,,
3:41.0,,,71-87,,P. George misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by K. Love,,71-87,,
3:32.0,D. Williams makes 3-pt shot from 23 ft (assist by L. James),3,74-87,,
3:12.0,,,74-87,,J. Teague misses 2-pt shot from 1 ft
3:11.0,,,74-87,,Offensive rebound by K. Seraphin
3:11.0,,,74-87,,K. Seraphin misses 2-pt shot at rim
3:11.0,Defensive rebound by K. Love,,74-87,,
2:55.0,K. Love misses 2-pt shot from 14 ft,,74-87,,
2:54.0,,,74-87,,Defensive rebound by P. George
2:31.0,,,74-87,,P. George misses 3-pt shot from 28 ft (block by T. Thompson)
2:30.0,,,74-87,,Offensive rebound by P. George
2:29.0,,,74-87,,P. George misses 3-pt shot from 28 ft
2:29.0,,,74-87,,Offensive rebound by Team
2:29.0,,,74-87,,Turnover by Team (shot clock)
2:29.0,C. Frye enters the game for K. Love,,74-87,,
2:29.0,,,74-87,,G. Robinson enters the game for J. Teague
2:22.0,J. Smith makes 3-pt shot from 24 ft (assist by C. Frye),3,77-87,,
2:00.0,,,77-87,,Shooting foul by L. James (drawn by K. Seraphin)
2:00.0,,,77-87,,K. Seraphin misses free throw 1 of 2
2:00.0,,,77-87,,Offensive rebound by Team
2:00.0,,,77-87,,K. Seraphin misses free throw 2 of 2
2:00.0,Defensive rebound by J. Smith,,77-87,,
1:46.0,Shooting foul by K. Seraphin (drawn by L. James),,77-87,,
1:46.0,L. James misses free throw 1 of 2,,77-87,,
1:46.0,Offensive rebound by Team,,77-87,,
1:46.0,L. James misses free throw 2 of 2,,77-87,,
1:46.0,,,77-87,,Defensive rebound by P. George
1:46.0,,,77-87,,M. Turner enters the game for K. Seraphin
1:46.0,,,77-87,,C. Miles enters the game for T. Young
1:30.0,,,77-87,,L. Stephenson misses 2-pt shot from 5 ft
1:29.0,Defensive rebound by L. James,,77-87,,
1:21.0,J. Smith misses 3-pt shot from 26 ft,,77-87,,
1:19.0,Offensive rebound by T. Thompson,,77-87,,
1:19.0,Shooting foul by M. Turner (drawn by T. Thompson),,77-87,,
1:19.0,T. Thompson makes free throw 1 of 2,1,78-87,,
1:19.0,T. Thompson misses free throw 2 of 2,,78-87,,
1:19.0,,,78-87,,Defensive rebound by P. George
1:19.0,,,78-87,,K. Seraphin enters the game for M. Turner
1:02.0,,,78-87,,Offensive foul by K. Seraphin
1:02.0,,,78-87,,Turnover by K. Seraphin (offensive foul)
0:53.0,L. James makes 3-pt shot from 32 ft,3,81-87,,
0:41.0,,,81-87,,C. Miles misses 3-pt shot from 27 ft
0:41.0,,,81-87,,Offensive rebound by Team
0:41.0,Loose ball foul by C. Frye (drawn by K. Seraphin),,81-87,,
0:41.0,,,81-88,1,K. Seraphin makes free throw 1 of 2
0:41.0,,,81-89,1,K. Seraphin makes free throw 2 of 2
0:41.0,,,81-88,,T. Young enters the game for P. George
0:41.0,K. Korver enters the game for T. Thompson,,81-88,,
0:31.0,L. James makes 3-pt shot from 27 ft,3,84-89,,
0:16.0,,,84-89,,Shooting foul by L. James (drawn by L. Stephenson)
0:16.0,,,84-90,1,L. Stephenson makes free throw 1 of 2
0:16.0,,,84-91,1,L. Stephenson makes free throw 2 of 2
0:02.0,L. James misses 3-pt shot from 27 ft,,84-91,,
0:01.0,,,84-91,,Defensive rebound by Team
0:00.0,,,84-91,,L. Stephenson misses 3-pt shot from 78 ft
0:00.0,,,84-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,84-93,2,P. George makes 2-pt shot from 19 ft
11:27.0,C. Frye makes 2-pt shot from 21 ft (assist by L. James),2,86-93,,
11:10.0,,,86-93,,Shooting foul by I. Shumpert (drawn by P. George)
11:10.0,,,86-94,1,P. George makes free throw 1 of 3
11:10.0,,,86-95,1,P. George makes free throw 2 of 3
11:10.0,,,86-96,1,P. George makes free throw 3 of 3
10:56.0,L. James misses 3-pt shot from 27 ft,,86-96,,
10:56.0,,,86-96,,Defensive rebound by P. George
10:49.0,,,86-96,,K. Seraphin misses 2-pt shot from 4 ft
10:49.0,,,86-96,,Offensive rebound by Team
10:49.0,Loose ball foul by K. Korver (drawn by G. Robinson),,86-96,,
10:39.0,,,86-96,,L. Stephenson misses 2-pt shot from 19 ft
10:37.0,,,86-96,,Offensive rebound by P. George
10:20.0,,,86-96,,P. George misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by C. Frye,,86-96,,
10:13.0,Shooting foul by T. Young (drawn by L. James),,86-96,,
10:13.0,L. James makes free throw 1 of 2,1,87-96,,
10:13.0,L. James makes free throw 2 of 2,1,88-96,,
9:50.0,,,88-96,,L. Stephenson misses 3-pt shot from 27 ft
9:49.0,Defensive rebound by L. James,,88-96,,
9:36.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,91-96,,
9:24.0,,,91-96,,Indiana full timeout
9:24.0,,,91-96,,M. Ellis enters the game for G. Robinson
9:24.0,,,91-96,,M. Turner enters the game for K. Seraphin
9:06.0,,,91-96,,M. Ellis misses 3-pt shot from 27 ft
9:06.0,,,91-96,,Offensive rebound by Team
9:06.0,,,91-96,,Turnover by Team (shot clock)
8:59.0,Shooting foul by M. Ellis (drawn by C. Frye),,91-96,,
8:59.0,C. Frye makes free throw 1 of 3,1,92-96,,
8:59.0,C. Frye makes free throw 2 of 3,1,93-96,,
8:59.0,C. Frye makes free throw 3 of 3,1,94-96,,
8:40.0,,,94-98,2,M. Ellis makes 2-pt shot from 19 ft
8:16.0,L. James makes 2-pt shot from 1 ft,2,96-98,,
7:58.0,,,96-98,,M. Turner misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by I. Shumpert,,96-98,,
7:45.0,C. Frye misses 3-pt shot from 23 ft,,96-98,,
7:43.0,,,96-98,,Defensive rebound by T. Young
7:23.0,,,96-98,,L. Stephenson misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by C. Frye,,96-98,,
7:16.0,Cleveland full timeout,,96-98,,
7:16.0,,,96-98,,C. Miles enters the game for T. Young
7:16.0,,,96-98,,J. Teague enters the game for L. Stephenson
6:59.0,L. James makes 2-pt shot at rim,2,98-98,,
6:32.0,,,98-98,,P. George misses 2-pt shot from 17 ft (block by I. Shumpert)
6:31.0,Defensive rebound by I. Shumpert,,98-98,,
6:27.0,L. James makes 2-pt shot at rim,2,100-98,,
6:18.0,,,100-101,3,J. Teague makes 3-pt shot from 28 ft
6:18.0,,,100-101,,Shooting foul by D. Williams (drawn by J. Teague)
6:18.0,,,100-101,,J. Teague misses free throw 1 of 1
6:18.0,Defensive rebound by L. James,,100-101,,
6:05.0,K. Korver misses 2-pt shot from 20 ft,,100-101,,
6:04.0,,,100-101,,Defensive rebound by J. Teague
5:57.0,,,100-101,,J. Teague misses 2-pt shot from 8 ft (block by D. Williams)
5:57.0,,,100-101,,Offensive rebound by Team
5:40.0,,,100-101,,M. Turner misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by L. James,,100-101,,
5:32.0,C. Frye makes 3-pt shot from 26 ft (assist by L. James),3,103-101,,
5:15.0,,,103-104,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
4:55.0,L. James misses 2-pt shot from 4 ft (block by M. Ellis),,103-104,,
4:55.0,Offensive rebound by Team,,103-104,,
4:55.0,Cleveland full timeout,,103-104,,
4:52.0,L. James makes 2-pt shot from 2 ft (assist by D. Williams),2,105-104,,
4:31.0,Personal foul by I. Shumpert (drawn by J. Teague),,105-104,,
