time,Cleveland,pts.away,score,pts.home,New York
7:28.0,K. Love makes 3-pt shot from 28 ft (assist by L. James),3,17-13,,
7:14.0,,,17-13,,Turnover by B. Jennings (bad pass; steal by L. James)
7:12.0,,,17-13,,Personal foul by C. Anthony (drawn by L. James)
6:59.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,20-13,,
6:48.0,,,20-13,,Turnover by J. Noah (bad pass; steal by K. Love)
6:44.0,L. James makes 2-pt shot from 1 ft,2,22-13,,
6:43.0,,,22-13,,New York full timeout
6:21.0,,,22-13,,C. Anthony misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by K. Love,,22-13,,
6:16.0,L. James makes 2-pt shot at rim (assist by K. Love),2,24-13,,
5:56.0,,,24-15,2,J. Noah makes 2-pt shot from 3 ft (assist by C. Anthony)
5:33.0,Turnover by L. James (bad pass; steal by C. Lee),,24-15,,
5:29.0,,,24-15,,Turnover by C. Lee (lost ball)
5:29.0,,,24-15,,L. Thomas enters the game for K. Porzingis
5:09.0,Shooting foul by B. Jennings (drawn by K. Irving),,24-15,,
5:09.0,K. Irving makes free throw 1 of 2,1,25-15,,
5:09.0,K. Irving makes free throw 2 of 2,1,26-15,,
4:52.0,,,26-15,,C. Lee misses 3-pt shot from 24 ft
4:51.0,,,26-15,,Offensive rebound by J. Noah
4:48.0,,,26-15,,B. Jennings misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by K. Irving,,26-15,,
4:41.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,29-15,,
4:23.0,,,29-15,,Turnover by C. Anthony (bad pass; steal by T. Thompson)
4:07.0,Shooting foul by C. Anthony (drawn by K. Love),,29-15,,
4:07.0,K. Love makes free throw 1 of 3,1,30-15,,
4:07.0,K. Love makes free throw 2 of 3,1,31-15,,
4:07.0,K. Love makes free throw 3 of 3,1,32-15,,
4:07.0,,,31-15,,K. Porzingis enters the game for C. Anthony
4:07.0,,,31-15,,K. O'Quinn enters the game for J. Noah
3:50.0,,,32-17,2,B. Jennings makes 2-pt shot from 1 ft
3:38.0,Shooting foul by B. Jennings (drawn by K. Irving),,32-17,,
3:38.0,K. Irving makes free throw 1 of 2,1,33-17,,
3:38.0,K. Irving makes free throw 2 of 2,1,34-17,,
3:21.0,,,34-17,,K. Porzingis misses 2-pt shot from 12 ft
3:20.0,Defensive rebound by Team,,34-17,,
3:20.0,I. Shumpert enters the game for D. Liggins,,34-17,,
3:11.0,K. Love misses 3-pt shot from 27 ft,,34-17,,
3:10.0,,,34-17,,Defensive rebound by C. Lee
3:01.0,,,34-17,,B. Jennings misses 2-pt shot from 14 ft
3:00.0,Defensive rebound by L. James,,34-17,,
2:54.0,I. Shumpert misses 2-pt shot from 1 ft,,34-17,,
2:53.0,Offensive rebound by L. James,,34-17,,
2:48.0,K. Love misses 3-pt shot from 23 ft,,34-17,,
2:47.0,,,34-17,,Defensive rebound by K. O'Quinn
2:39.0,,,34-19,2,C. Lee makes 2-pt shot from 23 ft (assist by K. O'Quinn)
2:38.0,Cleveland full timeout,,34-19,,
2:38.0,M. Dunleavy enters the game for L. James,,34-19,,
2:38.0,R. Jefferson enters the game for K. Irving,,34-19,,
2:21.0,Turnover by K. Love (lost ball),,34-19,,
2:06.0,,,34-19,,C. Lee misses 3-pt shot from 25 ft
2:05.0,,,34-19,,Offensive rebound by K. O'Quinn
1:49.0,,,34-21,2,B. Jennings makes 2-pt shot from 18 ft
1:29.0,I. Shumpert misses 3-pt shot from 24 ft,,34-21,,
1:28.0,,,34-21,,Defensive rebound by L. Thomas
1:19.0,,,34-21,,Turnover by B. Jennings (lost ball; steal by T. Thompson)
1:15.0,I. Shumpert misses 2-pt shot at rim,,34-21,,
1:14.0,,,34-21,,Defensive rebound by L. Thomas
1:08.0,,,34-24,3,L. Thomas makes 3-pt shot from 26 ft (assist by B. Jennings)
0:46.0,K. Love makes 2-pt shot from 12 ft,2,36-24,,
0:32.0,,,36-24,,K. Porzingis misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by M. Dunleavy,,36-24,,
0:10.0,K. Love misses 2-pt shot from 3 ft (block by K. Porzingis),,36-24,,
0:09.0,,,36-24,,Defensive rebound by B. Jennings
0:04.0,,,36-24,,Shooting foul by R. Jefferson (drawn by C. Lee)
0:04.0,,,36-25,1,C. Lee makes free throw 1 of 2
0:04.0,,,36-26,1,C. Lee makes free throw 2 of 2
0:04.0,,,36-25,,S. Vujacic enters the game for B. Jennings
0:04.0,L. James enters the game for T. Thompson,,36-25,,
0:04.0,,,36-25,,J. Holiday enters the game for K. Porzingis
0:01.0,I. Shumpert misses 3-pt shot from 29 ft,,36-26,,
0:00.0,Offensive rebound by Team,,36-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by S. Vujacic (drawn by L. James),,36-26,,
11:47.0,L. James makes free throw 1 of 2,1,37-26,,
11:47.0,L. James misses free throw 2 of 2,,37-26,,
11:46.0,,,37-26,,Defensive rebound by S. Vujacic
11:28.0,,,37-26,,Turnover by J. Holiday (bad pass; steal by C. Frye)
11:17.0,R. Jefferson misses 2-pt shot from 3 ft,,37-26,,
11:16.0,,,37-26,,Defensive rebound by S. Vujacic
11:01.0,,,37-28,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Holiday)
10:49.0,C. Frye misses 3-pt shot from 26 ft,,37-28,,
10:48.0,,,37-28,,Defensive rebound by K. Porzingis
10:27.0,,,37-28,,S. Vujacic misses 2-pt shot from 2 ft
10:26.0,Defensive rebound by I. Shumpert,,37-28,,
10:20.0,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James),3,40-28,,
10:01.0,,,40-28,,K. O'Quinn misses 2-pt shot from 13 ft
10:00.0,Defensive rebound by R. Jefferson,,40-28,,
9:56.0,Shooting foul by K. O'Quinn (drawn by L. James),,40-28,,
9:56.0,L. James makes free throw 1 of 2,1,41-28,,
9:56.0,L. James makes free throw 2 of 2,1,42-28,,
9:56.0,,,40-28,,C. Anthony enters the game for K. O'Quinn
9:34.0,,,42-31,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony)
9:24.0,Shooting foul by L. Thomas (drawn by I. Shumpert),,42-31,,
9:24.0,I. Shumpert makes free throw 1 of 2,1,43-31,,
9:24.0,I. Shumpert makes free throw 2 of 2,1,44-31,,
9:02.0,,,44-31,,C. Anthony misses 2-pt shot from 3 ft (block by L. James)
9:01.0,Defensive rebound by M. Dunleavy,,44-31,,
8:46.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,47-31,,
8:35.0,Personal foul by L. James (drawn by C. Anthony),,47-31,,
8:35.0,Official timeout,,47-31,,
8:35.0,K. Irving enters the game for R. Jefferson,,47-31,,
8:23.0,,,47-33,2,K. Porzingis makes 2-pt shot from 14 ft
8:07.0,Turnover by K. Irving (bad pass; steal by J. Holiday),,47-33,,
8:05.0,Personal foul by K. Irving (drawn by J. Holiday),,47-33,,
8:05.0,,,47-33,,B. Jennings enters the game for S. Vujacic
7:54.0,,,47-33,,L. Thomas misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by I. Shumpert,,47-33,,
7:42.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,50-33,,
7:26.0,,,50-33,,K. Porzingis misses 3-pt shot from 26 ft
7:25.0,,,50-33,,Offensive rebound by C. Anthony
7:24.0,Personal foul by L. James (drawn by C. Anthony),,50-33,,
7:24.0,,,50-33,,C. Lee enters the game for L. Thomas
7:24.0,R. Jefferson enters the game for M. Dunleavy,,50-33,,
7:09.0,,,50-35,2,K. Porzingis makes 2-pt shot from 10 ft (assist by C. Lee)
6:56.0,C. Frye misses 2-pt shot from 23 ft,,50-35,,
6:55.0,,,50-35,,Defensive rebound by Team
6:47.0,,,50-35,,Shooting foul by I. Shumpert (drawn by B. Jennings)
6:47.0,,,50-36,1,B. Jennings makes free throw 1 of 2
6:47.0,,,50-37,1,B. Jennings makes free throw 2 of 2
6:37.0,R. Jefferson misses 3-pt shot from 24 ft,,50-37,,
6:36.0,,,50-37,,Defensive rebound by K. Porzingis
6:30.0,,,50-39,2,B. Jennings makes 2-pt shot from 2 ft
6:15.0,,,50-39,,Def 3 sec tech foul by K. Porzingis
6:15.0,K. Irving makes technical free throw,1,51-39,,
6:15.0,K. Love enters the game for C. Frye,,51-39,,
6:15.0,T. Thompson enters the game for I. Shumpert,,51-39,,
6:02.0,K. Love misses 3-pt shot from 24 ft,,51-39,,
6:01.0,,,51-39,,Defensive rebound by J. Holiday
5:48.0,,,51-42,3,J. Holiday makes 3-pt shot from 24 ft (assist by C. Lee)
5:36.0,K. Irving misses 3-pt shot from 27 ft,,51-42,,
5:35.0,,,51-42,,Defensive rebound by C. Anthony
5:30.0,,,51-42,,New York full timeout
5:19.0,,,51-42,,K. Porzingis misses 2-pt shot from 12 ft
5:18.0,Defensive rebound by T. Thompson,,51-42,,
5:02.0,Turnover by L. James (lost ball),,51-42,,
4:49.0,,,51-42,,Turnover by C. Anthony (lost ball; steal by K. Love)
4:42.0,Shooting foul by C. Anthony (drawn by L. James),,51-42,,
4:42.0,L. James misses free throw 1 of 2,,51-42,,
4:42.0,Offensive rebound by Team,,51-42,,
4:42.0,L. James makes free throw 2 of 2,1,52-42,,
4:42.0,,,51-42,,L. Thomas enters the game for C. Anthony
4:29.0,,,52-44,2,B. Jennings makes 2-pt shot from 19 ft
4:17.0,K. Irving makes 2-pt shot from 12 ft,2,54-44,,
4:10.0,,,54-44,,B. Jennings misses 3-pt shot from 26 ft
4:09.0,,,54-44,,Offensive rebound by C. Lee
4:04.0,,,54-46,2,L. Thomas makes 2-pt shot from 17 ft (assist by C. Lee)
3:41.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,57-46,,
3:25.0,,,57-46,,L. Thomas misses 2-pt shot from 14 ft
3:24.0,Defensive rebound by R. Jefferson,,57-46,,
3:20.0,K. Irving misses 2-pt shot from 1 ft,,57-46,,
3:19.0,Offensive rebound by T. Thompson,,57-46,,
3:19.0,T. Thompson misses 2-pt shot from 2 ft,,57-46,,
3:17.0,,,57-46,,Defensive rebound by B. Jennings
2:56.0,,,57-46,,Turnover by K. Porzingis (lost ball)
2:56.0,Cleveland full timeout,,57-46,,
2:46.0,R. Jefferson misses 2-pt shot from 2 ft (block by K. Porzingis),,57-46,,
2:45.0,Offensive rebound by T. Thompson,,57-46,,
2:39.0,K. Irving misses 2-pt shot from 3 ft,,57-46,,
2:37.0,Offensive rebound by T. Thompson,,57-46,,
2:37.0,T. Thompson misses 2-pt shot from 1 ft,,57-46,,
2:35.0,,,57-46,,Defensive rebound by J. Holiday
2:14.0,,,57-48,2,C. Lee makes 2-pt shot from 16 ft
1:55.0,R. Jefferson makes 2-pt shot from 8 ft,2,59-48,,
1:38.0,,,59-48,,B. Jennings misses 2-pt shot from 20 ft
1:37.0,Defensive rebound by K. Irving,,59-48,,
1:32.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,61-48,,
1:09.0,,,61-48,,B. Jennings misses 2-pt shot from 1 ft (block by T. Thompson)
1:08.0,,,61-48,,Offensive rebound by J. Holiday
1:04.0,,,61-48,,L. Thomas misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by T. Thompson,,61-48,,
0:59.0,L. James makes 2-pt shot from 1 ft,2,63-48,,
0:59.0,,,63-48,,New York full timeout
0:59.0,I. Shumpert enters the game for L. James,,63-48,,
0:59.0,,,63-48,,K. O'Quinn enters the game for L. Thomas
0:40.0,,,63-48,,J. Holiday misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by T. Thompson,,63-48,,
0:27.0,K. Irving misses 2-pt shot from 10 ft,,63-48,,
0:25.0,,,63-48,,Defensive rebound by J. Holiday
0:02.0,,,63-48,,C. Lee misses 3-pt shot from 23 ft
0:00.0,,,63-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Love misses 3-pt shot from 24 ft,,63-48,,
11:40.0,Offensive rebound by D. Liggins,,63-48,,
11:35.0,K. Love makes 3-pt shot from 23 ft (assist by D. Liggins),3,66-48,,
11:14.0,,,66-48,,C. Anthony misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by T. Thompson,,66-48,,
11:07.0,K. Love misses 3-pt shot from 26 ft,,66-48,,
11:06.0,,,66-48,,Defensive rebound by C. Anthony
10:57.0,,,66-48,,C. Anthony misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by T. Thompson,,66-48,,
10:55.0,,,66-48,,Personal foul by J. Noah (drawn by T. Thompson)
10:40.0,K. Irving misses 2-pt shot from 17 ft,,66-48,,
10:39.0,Offensive rebound by T. Thompson,,66-48,,
10:30.0,K. Love misses 3-pt shot from 23 ft,,66-48,,
10:29.0,,,66-48,,Defensive rebound by B. Jennings
10:21.0,,,66-48,,Turnover by B. Jennings (lost ball; steal by D. Liggins)
10:17.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,68-48,,
9:54.0,,,68-48,,K. Porzingis misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by L. James,,68-48,,
9:48.0,,,68-48,,Personal foul by K. Porzingis (drawn by K. Love)
9:42.0,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson),3,71-48,,
9:29.0,,,71-50,2,J. Noah makes 2-pt shot at rim (assist by C. Lee)
9:09.0,T. Thompson misses 2-pt shot at rim,,71-50,,
9:08.0,,,71-50,,Defensive rebound by J. Noah
9:03.0,,,71-50,,K. Porzingis misses 2-pt shot at rim
9:02.0,,,71-50,,Offensive rebound by Team
8:59.0,,,71-50,,B. Jennings misses 2-pt shot from 18 ft
8:58.0,Defensive rebound by T. Thompson,,71-50,,
8:54.0,Shooting foul by K. Porzingis (drawn by L. James),,71-50,,
8:54.0,L. James misses free throw 1 of 2,,71-50,,
8:54.0,Offensive rebound by Team,,71-50,,
8:54.0,L. James makes free throw 2 of 2,1,72-50,,
8:41.0,,,72-52,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Noah)
8:20.0,L. James misses 2-pt shot from 16 ft,,72-52,,
8:18.0,Offensive rebound by Team,,72-52,,
8:09.0,K. Irving misses 2-pt shot from 10 ft,,72-52,,
8:08.0,Offensive rebound by T. Thompson,,72-52,,
8:08.0,T. Thompson misses 2-pt shot from 1 ft,,72-52,,
8:07.0,,,72-52,,Defensive rebound by J. Noah
7:52.0,,,72-52,,K. Porzingis misses 2-pt shot from 15 ft
7:51.0,Defensive rebound by T. Thompson,,72-52,,
7:41.0,Turnover by K. Irving (bad pass; steal by C. Lee),,72-52,,
7:27.0,,,72-52,,C. Lee misses 2-pt shot from 11 ft
7:26.0,,,72-52,,Offensive rebound by K. Porzingis
7:26.0,,,72-52,,K. Porzingis misses 2-pt shot at rim
7:25.0,Defensive rebound by L. James,,72-52,,
7:20.0,,,72-52,,Personal foul by K. Porzingis (drawn by L. James)
7:13.0,K. Love misses 2-pt shot from 12 ft,,72-52,,
7:12.0,,,72-52,,Defensive rebound by C. Anthony
7:03.0,Personal foul by T. Thompson (drawn by B. Jennings),,72-52,,
7:00.0,Personal foul by D. Liggins (drawn by B. Jennings),,72-52,,
6:47.0,,,72-52,,C. Anthony misses 2-pt shot from 10 ft (block by L. James)
6:46.0,Defensive rebound by T. Thompson,,72-52,,
6:38.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,75-52,,
6:37.0,,,75-52,,New York full timeout
6:37.0,,,75-52,,M. Kuzminskas enters the game for K. Porzingis
6:22.0,,,75-52,,Offensive foul by C. Anthony
6:22.0,,,75-52,,Turnover by C. Anthony (offensive foul)
6:07.0,K. Irving misses 3-pt shot from 24 ft,,75-52,,
6:06.0,,,75-52,,Defensive rebound by J. Noah
5:55.0,,,75-54,2,C. Anthony makes 2-pt shot from 20 ft
5:29.0,D. Liggins makes 3-pt shot from 23 ft (assist by K. Irving),3,78-54,,
5:15.0,,,78-54,,B. Jennings misses 2-pt shot from 8 ft
5:14.0,Defensive rebound by T. Thompson,,78-54,,
5:09.0,K. Irving misses 2-pt shot from 1 ft,,78-54,,
5:08.0,Offensive rebound by L. James,,78-54,,
5:02.0,K. Irving makes 3-pt shot from 25 ft (assist by D. Liggins),3,81-54,,
4:51.0,,,81-54,,M. Kuzminskas misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by Team,,81-54,,
4:49.0,,,81-54,,W. Hernangomez enters the game for J. Noah
4:37.0,Shooting foul by M. Kuzminskas (drawn by K. Love),,81-54,,
4:37.0,K. Love makes free throw 1 of 2,1,82-54,,
4:37.0,K. Love makes free throw 2 of 2,1,83-54,,
4:24.0,,,83-54,,Turnover by M. Kuzminskas (traveling)
4:15.0,Turnover by K. Love (bad pass; steal by W. Hernangomez),,83-54,,
4:07.0,,,83-57,3,B. Jennings makes 3-pt shot from 26 ft (assist by C. Lee)
4:06.0,Cleveland full timeout,,83-57,,
3:44.0,K. Love misses 3-pt shot from 22 ft,,83-57,,
3:43.0,Offensive rebound by T. Thompson,,83-57,,
3:42.0,,,83-57,,Personal foul by C. Lee (drawn by T. Thompson)
3:42.0,T. Thompson misses free throw 1 of 2,,83-57,,
3:42.0,Offensive rebound by Team,,83-57,,
3:42.0,T. Thompson makes free throw 2 of 2,1,84-57,,
3:21.0,,,84-57,,M. Kuzminskas misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by L. James,,84-57,,
3:12.0,Shooting foul by C. Lee (drawn by L. James),,84-57,,
3:12.0,L. James makes free throw 1 of 2,1,85-57,,
3:12.0,L. James makes free throw 2 of 2,1,86-57,,
3:12.0,,,85-57,,K. O'Quinn enters the game for C. Anthony
3:12.0,,,85-57,,S. Vujacic enters the game for B. Jennings
3:12.0,C. Frye enters the game for K. Love,,85-57,,
2:58.0,,,86-57,,Offensive foul by S. Vujacic
2:58.0,,,86-57,,Turnover by S. Vujacic (offensive foul)
2:47.0,Shooting foul by S. Vujacic (drawn by L. James),,86-57,,
2:47.0,L. James makes free throw 1 of 2,1,87-57,,
2:47.0,L. James misses free throw 2 of 2,,87-57,,
2:46.0,,,87-57,,Defensive rebound by K. O'Quinn
2:36.0,Personal foul by D. Liggins (drawn by S. Vujacic),,87-57,,
2:23.0,,,87-59,2,K. O'Quinn makes 2-pt shot from 9 ft (assist by S. Vujacic)
2:15.0,Turnover by L. James (bad pass; steal by M. Kuzminskas),,87-59,,
2:07.0,,,87-62,3,C. Lee makes 3-pt shot from 25 ft (assist by S. Vujacic)
1:58.0,L. James misses 3-pt shot from 25 ft,,87-62,,
1:57.0,,,87-62,,Defensive rebound by W. Hernangomez
1:51.0,,,87-65,3,C. Lee makes 3-pt shot from 23 ft (assist by S. Vujacic)
1:50.0,Cleveland full timeout,,87-65,,
1:34.0,K. Irving makes 2-pt shot from 1 ft,2,89-65,,
1:20.0,Violation by K. Irving (kicked ball),,89-65,,
1:20.0,I. Shumpert enters the game for K. Irving,,89-65,,
1:11.0,,,89-65,,K. O'Quinn misses 2-pt shot from 15 ft
1:10.0,Defensive rebound by T. Thompson,,89-65,,
1:04.0,Turnover by L. James (bad pass),,89-65,,
0:49.0,,,89-65,,M. Kuzminskas misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by I. Shumpert,,89-65,,
0:39.0,Turnover by I. Shumpert (bad pass),,89-65,,
0:28.0,,,89-65,,S. Vujacic misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by D. Liggins,,89-65,,
0:07.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,92-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by C. Frye (drawn by K. Porzingis),,92-65,,
11:41.0,Violation by C. Frye (kicked ball),,92-65,,
11:30.0,,,92-65,,B. Jennings misses 2-pt shot from 12 ft
11:29.0,Defensive rebound by T. Thompson,,92-65,,
11:10.0,,,92-65,,Personal foul by S. Vujacic (drawn by K. Irving)
11:01.0,K. Irving makes 2-pt shot from 15 ft,2,94-65,,
10:53.0,,,94-67,2,B. Jennings makes 2-pt shot from 1 ft
10:53.0,,,94-67,,Shooting foul by C. Frye (drawn by B. Jennings)
10:53.0,,,94-68,1,B. Jennings makes free throw 1 of 1
10:42.0,K. Irving makes 2-pt shot from 1 ft,2,96-68,,
10:42.0,Shooting foul by K. Porzingis (drawn by K. Irving),,96-68,,
10:42.0,K. Irving makes free throw 1 of 1,1,97-68,,
10:16.0,,,97-68,,J. Holiday misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by I. Shumpert,,97-68,,
10:10.0,Shooting foul by J. Holiday (drawn by T. Thompson),,97-68,,
10:10.0,T. Thompson makes free throw 1 of 2,1,98-68,,
10:10.0,T. Thompson makes free throw 2 of 2,1,99-68,,
10:10.0,,,98-68,,M. Ndour enters the game for C. Anthony
10:10.0,,,98-68,,W. Hernangomez enters the game for K. Porzingis
10:10.0,,,98-68,,M. Kuzminskas enters the game for B. Jennings
10:10.0,,,98-68,,R. Baker enters the game for S. Vujacic
10:10.0,,,98-68,,K. O'Quinn enters the game for J. Holiday
10:10.0,K. Felder enters the game for K. Irving,,98-68,,
9:51.0,,,99-70,2,R. Baker makes 2-pt shot from 15 ft (assist by M. Kuzminskas)
9:38.0,K. Felder misses 2-pt shot from 14 ft,,99-70,,
9:37.0,,,99-70,,Defensive rebound by K. O'Quinn
9:33.0,,,99-70,,Turnover by K. O'Quinn (bad pass; steal by I. Shumpert)
9:30.0,Turnover by I. Shumpert (bad pass; steal by M. Ndour),,99-70,,
9:23.0,,,99-70,,W. Hernangomez misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by R. Jefferson,,99-70,,
9:03.0,K. Felder misses 2-pt shot from 1 ft,,99-70,,
9:02.0,,,99-70,,Defensive rebound by R. Baker
9:01.0,Personal foul by T. Thompson (drawn by R. Baker),,99-70,,
8:47.0,Personal foul by I. Shumpert (drawn by M. Kuzminskas),,99-70,,
8:47.0,Official timeout,,99-70,,
8:37.0,,,99-73,3,W. Hernangomez makes 3-pt shot from 25 ft (assist by R. Baker)
8:17.0,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Felder),3,102-73,,
8:03.0,,,102-73,,R. Baker misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by T. Thompson,,102-73,,
7:54.0,Cleveland full timeout,,102-73,,
7:54.0,C. Andersen enters the game for T. Thompson,,102-73,,
7:54.0,M. Dunleavy enters the game for R. Jefferson,,102-73,,
7:54.0,J. Jones enters the game for C. Frye,,102-73,,
7:46.0,M. Dunleavy misses 3-pt shot from 25 ft,,102-73,,
7:44.0,,,102-73,,Defensive rebound by K. O'Quinn
7:31.0,,,102-73,,Shooting foul by K. Felder (drawn by R. Baker)
7:31.0,,,102-74,1,R. Baker makes free throw 1 of 2
7:31.0,,,102-74,,R. Baker misses free throw 2 of 2
7:30.0,Defensive rebound by I. Shumpert,,102-74,,
7:08.0,C. Andersen makes 2-pt shot from 2 ft (assist by K. Felder),2,104-74,,
6:51.0,,,104-74,,W. Hernangomez misses 2-pt shot from 1 ft (block by C. Andersen)
6:50.0,Defensive rebound by I. Shumpert,,104-74,,
6:43.0,J. Jones makes 3-pt shot from 24 ft (assist by M. Dunleavy),3,107-74,,
6:29.0,,,107-74,,Turnover by M. Kuzminskas (lost ball; steal by I. Shumpert)
6:22.0,K. Felder misses 3-pt shot from 23 ft,,107-74,,
6:21.0,,,107-74,,Defensive rebound by M. Ndour
6:09.0,,,107-74,,R. Baker misses 2-pt shot from 6 ft
6:08.0,,,107-74,,Offensive rebound by K. O'Quinn
6:03.0,,,107-77,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by K. O'Quinn)
5:47.0,K. Felder makes 2-pt shot from 18 ft,2,109-77,,
5:34.0,,,109-79,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by M. Ndour)
5:10.0,M. Dunleavy makes 3-pt shot from 25 ft,3,112-79,,
4:55.0,,,112-79,,R. Baker misses 3-pt shot from 27 ft
4:54.0,,,112-79,,Offensive rebound by W. Hernangomez
4:52.0,,,112-79,,Shooting foul by M. Dunleavy (drawn by W. Hernangomez)
4:52.0,,,112-80,1,W. Hernangomez makes free throw 1 of 2
4:52.0,,,112-81,1,W. Hernangomez makes free throw 2 of 2
4:43.0,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Felder),3,115-81,,
4:28.0,,,115-81,,R. Baker misses 3-pt shot from 26 ft
4:25.0,,,115-81,,Offensive rebound by Team
4:12.0,,,115-84,3,R. Baker makes 3-pt shot from 25 ft (assist by K. O'Quinn)
4:00.0,Turnover by K. Felder (palming),,115-84,,
3:46.0,,,115-84,,Shooting foul by I. Shumpert (drawn by M. Kuzminskas)
3:46.0,,,115-85,1,M. Kuzminskas makes free throw 1 of 2
3:46.0,,,115-86,1,M. Kuzminskas makes free throw 2 of 2
3:31.0,Offensive foul by I. Shumpert,,115-86,,
3:31.0,Turnover by I. Shumpert (offensive foul),,115-86,,
3:11.0,,,115-86,,M. Kuzminskas misses 2-pt shot from 10 ft
3:10.0,,,115-86,,Offensive rebound by W. Hernangomez
3:10.0,,,115-86,,W. Hernangomez misses 2-pt shot from 2 ft
3:09.0,,,115-86,,Offensive rebound by W. Hernangomez
3:09.0,,,115-88,2,W. Hernangomez makes 2-pt shot from 2 ft
