time,San Antonio,pts.away,score,pts.home,Atlanta
3:30.0,,,19-14,,Defensive rebound by P. Millsap
3:24.0,,,19-14,,K. Korver misses 2-pt shot from 14 ft
3:23.0,,,19-14,,Offensive rebound by D. Howard
3:23.0,,,19-16,2,D. Howard makes 2-pt shot at rim
3:23.0,San Antonio full timeout,,19-16,,
3:23.0,,,19-16,,M. Delaney enters the game for D. Howard
3:23.0,,,19-16,,M. Muscala enters the game for D. Schroder
3:11.0,,,19-16,,Personal foul by T. Sefolosha (drawn by K. Leonard)
2:59.0,K. Leonard makes 2-pt shot from 2 ft (assist by D. Lee),2,21-16,,
2:46.0,,,21-16,,K. Korver misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by M. Ginobili,,21-16,,
2:32.0,K. Leonard misses 3-pt shot from 23 ft,,21-16,,
2:32.0,Offensive rebound by Team,,21-16,,
2:14.0,D. Lee misses 2-pt shot from 6 ft (block by T. Sefolosha),,21-16,,
2:13.0,Offensive rebound by D. Lee,,21-16,,
2:12.0,D. Lee misses 2-pt shot from 2 ft,,21-16,,
2:11.0,,,21-16,,Defensive rebound by M. Delaney
2:03.0,,,21-18,2,P. Millsap makes 2-pt shot from 1 ft
2:03.0,,,21-18,,Shooting foul by K. Leonard (drawn by P. Millsap)
2:03.0,,,21-18,,P. Millsap misses free throw 1 of 1
2:03.0,Defensive rebound by Team,,21-18,,
2:03.0,D. Dedmon enters the game for L. Aldridge,,21-18,,
2:03.0,K. Anderson enters the game for K. Leonard,,21-18,,
2:03.0,,,21-18,,T. Hardaway enters the game for T. Sefolosha
1:46.0,M. Ginobili misses 2-pt shot from 17 ft,,21-18,,
1:42.0,,,21-18,,Defensive rebound by T. Hardaway
1:36.0,,,21-18,,M. Delaney misses 2-pt shot from 4 ft
1:33.0,Defensive rebound by D. Dedmon,,21-18,,
1:26.0,P. Mills makes 2-pt shot from 18 ft (assist by M. Ginobili),2,23-18,,
1:10.0,,,23-20,2,K. Korver makes 2-pt shot from 20 ft (assist by P. Millsap)
0:54.0,D. Lee makes 2-pt shot from 5 ft (assist by P. Mills),2,25-20,,
0:34.0,,,25-23,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Muscala)
0:11.0,D. Lee makes 2-pt shot from 13 ft (assist by K. Anderson),2,27-23,,
0:00.0,,,27-25,2,M. Delaney makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by D. Lee (bad pass; steal by K. Humphries),,27-25,,
11:28.0,T. Parker enters the game for P. Mills,,27-25,,
11:28.0,J. Simmons enters the game for M. Ginobili,,27-25,,
11:25.0,,,27-25,,Offensive foul by M. Delaney
11:25.0,,,27-25,,Turnover by M. Delaney (offensive foul)
11:08.0,Offensive foul by D. Dedmon,,27-25,,
11:08.0,Turnover by D. Dedmon (offensive foul),,27-25,,
10:56.0,,,27-25,,K. Korver misses 2-pt shot from 16 ft
10:56.0,,,27-25,,Offensive rebound by Team
10:56.0,Personal foul by D. Dedmon (drawn by M. Muscala),,27-25,,
10:56.0,Personal foul by K. Anderson (drawn by T. Hardaway),,27-25,,
10:43.0,,,27-25,,M. Muscala misses 2-pt shot from 7 ft
10:41.0,Defensive rebound by D. Dedmon,,27-25,,
10:34.0,T. Parker misses 2-pt shot from 3 ft (block by M. Muscala),,27-25,,
10:31.0,,,27-25,,Defensive rebound by K. Korver
10:27.0,,,27-28,3,K. Korver makes 3-pt shot from 24 ft
10:24.0,San Antonio full timeout,,27-28,,
9:59.0,D. Lee misses 2-pt shot from 9 ft,,27-28,,
9:57.0,,,27-28,,Defensive rebound by K. Humphries
9:42.0,,,27-28,,K. Humphries misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by J. Simmons,,27-28,,
9:23.0,D. Dedmon misses 2-pt shot from 11 ft,,27-28,,
9:21.0,,,27-28,,Defensive rebound by M. Delaney
9:15.0,,,27-30,2,M. Muscala makes 2-pt shot from 18 ft (assist by M. Delaney)
9:01.0,Turnover by D. Lee (lost ball; steal by M. Muscala),,27-30,,
8:55.0,,,27-33,3,K. Korver makes 3-pt shot from 26 ft (assist by M. Delaney)
8:27.0,T. Parker misses 3-pt shot from 25 ft,,27-33,,
8:26.0,,,27-33,,Defensive rebound by K. Humphries
8:21.0,,,27-36,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Korver)
8:20.0,San Antonio full timeout,,27-36,,
8:20.0,,,27-36,,T. Sefolosha enters the game for K. Korver
8:20.0,K. Leonard enters the game for K. Anderson,,27-36,,
8:20.0,P. Gasol enters the game for D. Lee,,27-36,,
8:20.0,L. Aldridge enters the game for D. Dedmon,,27-36,,
8:02.0,T. Parker makes 2-pt shot from 18 ft,2,29-36,,
7:48.0,,,29-36,,Turnover by M. Delaney (lost ball; steal by P. Gasol)
7:35.0,T. Parker misses 2-pt shot from 18 ft,,29-36,,
7:35.0,Offensive rebound by Team,,29-36,,
7:35.0,,,29-36,,Loose ball foul by T. Hardaway (drawn by L. Aldridge)
7:27.0,Shooting foul by T. Sefolosha (drawn by K. Leonard),,29-36,,
7:27.0,K. Leonard makes free throw 1 of 2,1,30-36,,
7:27.0,K. Leonard makes free throw 2 of 2,1,31-36,,
7:07.0,,,31-36,,T. Sefolosha misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by Team,,31-36,,
6:45.0,J. Simmons misses 3-pt shot from 24 ft,,31-36,,
6:43.0,Offensive rebound by J. Simmons,,31-36,,
6:37.0,K. Leonard misses 3-pt shot from 24 ft,,31-36,,
6:36.0,,,31-36,,Defensive rebound by M. Delaney
6:27.0,,,31-38,2,M. Delaney makes 2-pt shot from 16 ft
6:03.0,T. Parker makes 3-pt shot from 23 ft (assist by J. Simmons),3,34-38,,
5:45.0,,,34-38,,Shooting foul by T. Parker (drawn by T. Sefolosha)
5:45.0,Official timeout,,34-38,,
5:45.0,,,34-38,,T. Sefolosha misses free throw 1 of 2
5:45.0,,,34-38,,Offensive rebound by Team
5:45.0,,,34-39,1,T. Sefolosha makes free throw 2 of 2
5:45.0,,,34-38,,P. Millsap enters the game for M. Delaney
5:45.0,,,34-38,,K. Bazemore enters the game for M. Muscala
5:45.0,,,34-38,,D. Howard enters the game for T. Hardaway
5:45.0,,,34-38,,D. Schroder enters the game for K. Humphries
5:45.0,D. Green enters the game for J. Simmons,,34-38,,
5:33.0,,,34-39,,Personal foul by P. Millsap (drawn by L. Aldridge)
5:33.0,M. Ginobili enters the game for K. Leonard,,34-39,,
5:33.0,,,34-39,,K. Korver enters the game for T. Sefolosha
5:19.0,D. Green misses 3-pt shot from 24 ft,,34-39,,
5:18.0,,,34-39,,Defensive rebound by D. Howard
5:00.0,,,34-39,,K. Bazemore misses 2-pt shot from 21 ft
4:58.0,Defensive rebound by L. Aldridge,,34-39,,
4:49.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,37-39,,
4:48.0,,,37-39,,Atlanta full timeout
4:29.0,,,37-39,,P. Millsap misses 2-pt shot from 14 ft
4:26.0,Defensive rebound by D. Green,,37-39,,
4:17.0,P. Gasol misses 2-pt shot from 14 ft,,37-39,,
4:16.0,,,37-39,,Defensive rebound by K. Korver
4:00.0,,,37-39,,K. Bazemore misses 2-pt shot from 13 ft
3:59.0,,,37-39,,Offensive rebound by Team
3:59.0,P. Mills enters the game for T. Parker,,37-39,,
3:48.0,,,37-39,,P. Millsap misses 2-pt shot from 14 ft
3:46.0,Defensive rebound by P. Gasol,,37-39,,
3:33.0,P. Mills misses 3-pt shot from 22 ft,,37-39,,
3:32.0,,,37-39,,Defensive rebound by P. Millsap
3:20.0,,,37-39,,D. Schroder misses 2-pt shot from 4 ft (block by P. Gasol)
3:17.0,Defensive rebound by P. Gasol,,37-39,,
3:05.0,L. Aldridge makes 2-pt shot from 5 ft,2,39-39,,
2:40.0,,,39-41,2,D. Schroder makes 2-pt shot from 10 ft
2:18.0,L. Aldridge makes 2-pt shot from 14 ft,2,41-41,,
1:59.0,,,41-41,,Shooting foul by D. Green (drawn by P. Millsap)
1:59.0,,,41-42,1,P. Millsap makes free throw 1 of 2
1:59.0,,,41-42,,P. Millsap misses free throw 2 of 2
1:59.0,,,41-42,,T. Hardaway enters the game for K. Bazemore
1:59.0,,,41-42,,M. Delaney enters the game for D. Schroder
1:59.0,K. Leonard enters the game for D. Green,,41-42,,
1:59.0,,,41-42,,T. Sefolosha enters the game for K. Korver
1:58.0,Defensive rebound by L. Aldridge,,41-42,,
1:46.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,43-42,,
1:39.0,Personal foul by P. Gasol (drawn by D. Howard),,43-42,,
1:39.0,,,43-42,,D. Howard misses free throw 1 of 2
1:39.0,,,43-42,,Offensive rebound by Team
1:39.0,,,43-42,,D. Howard misses free throw 2 of 2
1:37.0,Defensive rebound by L. Aldridge,,43-42,,
1:14.0,P. Gasol makes 2-pt shot from 23 ft (assist by P. Mills),2,45-42,,
1:08.0,,,45-42,,Offensive foul by D. Howard
1:08.0,,,45-42,,Turnover by D. Howard (offensive foul)
0:57.0,K. Leonard misses 2-pt shot from 12 ft,,45-42,,
0:55.0,,,45-42,,Defensive rebound by T. Hardaway
0:52.0,,,45-44,2,T. Hardaway makes 2-pt shot at rim
0:45.0,,,45-44,,Personal foul by D. Howard
0:45.0,,,45-44,,Technical foul by D. Howard
0:45.0,K. Leonard makes technical free throw,1,46-44,,
0:45.0,,,46-44,,M. Muscala enters the game for D. Howard
0:34.0,Offensive charge foul by P. Gasol,,46-44,,
0:34.0,Turnover by P. Gasol (offensive foul),,46-44,,
0:34.0,,,46-44,,K. Korver enters the game for T. Sefolosha
0:34.0,D. Lee enters the game for P. Gasol,,46-44,,
0:30.0,,,46-44,,M. Delaney misses 2-pt shot from 22 ft
0:27.0,Defensive rebound by D. Lee,,46-44,,
0:10.0,D. Lee misses 2-pt shot from 2 ft (block by P. Millsap),,46-44,,
0:08.0,Offensive rebound by K. Leonard,,46-44,,
0:04.0,M. Ginobili misses 3-pt shot from 24 ft,,46-44,,
0:02.0,,,46-44,,Defensive rebound by K. Korver
0:00.0,,,46-44,,M. Muscala misses 3-pt shot from 53 ft
0:00.0,,,46-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. Aldridge misses 2-pt shot from 17 ft,,46-44,,
11:39.0,,,46-44,,Defensive rebound by K. Bazemore
11:34.0,,,46-44,,K. Bazemore misses 2-pt shot from 8 ft (block by L. Aldridge)
11:30.0,Defensive rebound by T. Parker,,46-44,,
11:25.0,D. Green misses 3-pt shot from 24 ft,,46-44,,
11:24.0,,,46-44,,Defensive rebound by P. Millsap
11:20.0,,,46-46,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
11:01.0,T. Parker makes 2-pt shot from 19 ft (assist by D. Green),2,48-46,,
10:48.0,,,48-48,2,P. Millsap makes 2-pt shot from 10 ft (assist by D. Schroder)
10:48.0,,,48-48,,Shooting foul by K. Leonard (drawn by P. Millsap)
10:48.0,,,48-49,1,P. Millsap makes free throw 1 of 1
10:37.0,T. Parker makes 2-pt shot from 2 ft,2,50-49,,
10:21.0,,,50-49,,Turnover by D. Schroder (back court)
10:21.0,Technical foul by Team,,50-49,,
10:21.0,,,50-50,1,D. Schroder makes technical free throw
10:14.0,,,50-50,,Personal foul by T. Sefolosha (drawn by K. Leonard)
9:56.0,D. Green misses 3-pt shot from 25 ft,,50-50,,
9:53.0,Offensive rebound by L. Aldridge,,50-50,,
9:42.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,52-50,,
9:21.0,,,52-52,2,P. Millsap makes 2-pt shot from 4 ft (assist by T. Sefolosha)
9:08.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,54-52,,
8:48.0,,,54-52,,D. Schroder misses 2-pt shot from 2 ft (block by L. Aldridge)
8:46.0,Defensive rebound by T. Parker,,54-52,,
8:42.0,Shooting foul by K. Bazemore (drawn by T. Parker),,54-52,,
8:42.0,T. Parker makes free throw 1 of 2,1,55-52,,
8:42.0,T. Parker misses free throw 2 of 2,,55-52,,
8:41.0,,,55-52,,Defensive rebound by T. Sefolosha
8:26.0,,,55-55,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
8:13.0,T. Parker makes 2-pt shot from 3 ft (assist by P. Gasol),2,57-55,,
8:02.0,,,57-55,,D. Schroder misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by P. Gasol,,57-55,,
7:55.0,Turnover by K. Leonard (lost ball; steal by T. Sefolosha),,57-55,,
7:55.0,Clear path foul by K. Leonard,,57-55,,
7:55.0,,,57-56,1,T. Sefolosha makes clear path free throw 1 of 2
7:55.0,,,57-57,1,T. Sefolosha makes clear path free throw 2 of 2
7:55.0,J. Simmons enters the game for K. Leonard,,57-57,,
7:55.0,,,57-57,,K. Korver enters the game for T. Sefolosha
7:47.0,,,57-57,,P. Millsap misses 2-pt shot from 3 ft
7:44.0,Defensive rebound by L. Aldridge,,57-57,,
7:36.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,59-57,,
7:13.0,Personal foul by J. Simmons (drawn by P. Millsap),,59-57,,
7:03.0,,,59-57,,P. Millsap misses 3-pt shot from 25 ft
7:02.0,,,59-57,,Offensive rebound by D. Howard
6:59.0,,,59-57,,K. Korver misses 3-pt shot from 26 ft
6:55.0,,,59-57,,Offensive rebound by K. Bazemore
6:55.0,,,59-59,2,K. Bazemore makes 2-pt shot from 1 ft
6:33.0,D. Green misses 3-pt shot from 25 ft,,59-59,,
6:32.0,,,59-59,,Defensive rebound by D. Howard
6:15.0,,,59-59,,Offensive charge foul by P. Millsap
6:15.0,,,59-59,,Turnover by P. Millsap (offensive foul)
6:15.0,San Antonio full timeout,,59-59,,
6:15.0,M. Ginobili enters the game for P. Gasol,,59-59,,
6:15.0,D. Lee enters the game for D. Green,,59-59,,
5:56.0,Shooting foul by D. Schroder (drawn by M. Ginobili),,59-59,,
5:56.0,M. Ginobili makes free throw 1 of 3,1,60-59,,
5:56.0,M. Ginobili makes free throw 2 of 3,1,61-59,,
5:56.0,M. Ginobili makes free throw 3 of 3,1,62-59,,
5:42.0,Personal foul by D. Lee (drawn by D. Howard),,62-59,,
5:42.0,P. Mills enters the game for T. Parker,,62-59,,
5:34.0,,,62-59,,D. Schroder misses 2-pt shot from 2 ft
5:31.0,,,62-59,,Offensive rebound by D. Howard
5:28.0,,,62-59,,D. Schroder misses 3-pt shot from 26 ft
5:27.0,,,62-59,,Offensive rebound by P. Millsap
5:27.0,,,62-59,,Turnover by Team (shot clock)
5:08.0,Turnover by L. Aldridge (step out of bounds),,62-59,,
4:50.0,,,62-59,,Shooting foul by M. Ginobili (drawn by K. Bazemore)
4:50.0,,,62-59,,K. Bazemore misses free throw 1 of 2
4:50.0,,,62-59,,Offensive rebound by Team
4:50.0,,,62-59,,K. Bazemore misses free throw 2 of 2
4:50.0,,,62-59,,M. Muscala enters the game for D. Howard
4:48.0,Defensive rebound by Team,,62-59,,
4:37.0,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Lee),2,64-59,,
4:24.0,,,64-59,,K. Bazemore misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by M. Ginobili,,64-59,,
4:12.0,D. Lee makes 2-pt shot at rim (assist by M. Ginobili),2,66-59,,
4:01.0,,,66-59,,Atlanta full timeout
4:01.0,,,66-59,,T. Hardaway enters the game for K. Bazemore
3:53.0,,,66-59,,M. Muscala misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by L. Aldridge,,66-59,,
3:45.0,M. Ginobili misses 3-pt shot from 25 ft,,66-59,,
3:44.0,,,66-59,,Defensive rebound by P. Millsap
3:36.0,,,66-59,,K. Korver misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by L. Aldridge,,66-59,,
3:16.0,L. Aldridge makes 2-pt shot from 14 ft,2,68-59,,
3:03.0,,,68-59,,Turnover by D. Schroder (bad pass; steal by D. Lee)
2:46.0,D. Lee misses 2-pt shot from 11 ft,,68-59,,
2:43.0,,,68-59,,Defensive rebound by M. Muscala
2:29.0,,,68-59,,P. Millsap misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by D. Lee,,68-59,,
2:07.0,L. Aldridge misses 2-pt shot from 18 ft,,68-59,,
2:05.0,,,68-59,,Defensive rebound by K. Korver
2:01.0,,,68-59,,Shooting foul by M. Ginobili (drawn by P. Millsap)
2:01.0,,,68-59,,P. Millsap misses free throw 1 of 2
2:01.0,,,68-59,,Offensive rebound by Team
2:01.0,,,68-60,1,P. Millsap makes free throw 2 of 2
2:01.0,K. Leonard enters the game for J. Simmons,,68-59,,
2:01.0,P. Gasol enters the game for L. Aldridge,,68-59,,
2:01.0,,,68-59,,M. Delaney enters the game for D. Schroder
1:48.0,P. Gasol misses 2-pt shot from 18 ft,,68-60,,
1:47.0,,,68-60,,Defensive rebound by M. Delaney
1:38.0,,,68-60,,Turnover by M. Delaney (bad pass; steal by M. Ginobili)
1:29.0,K. Leonard misses 2-pt shot from 2 ft,,68-60,,
1:29.0,,,68-60,,Defensive rebound by P. Millsap
1:27.0,,,68-60,,Turnover by P. Millsap (lost ball; steal by K. Leonard)
1:27.0,Jump ball: K. Leonard vs. P. Millsap (D. Lee gains possession),,,,Jump ball: K. Leonard vs. P. Millsap (D. Lee gains possession)
1:16.0,Shooting foul by M. Muscala (drawn by P. Gasol),,68-60,,
1:16.0,P. Gasol makes free throw 1 of 2,1,69-60,,
1:16.0,P. Gasol makes free throw 2 of 2,1,70-60,,
1:00.0,,,70-63,3,T. Hardaway makes 3-pt shot from 24 ft
0:41.0,D. Lee makes 2-pt shot from 5 ft,2,72-63,,
0:31.0,,,72-66,3,P. Millsap makes 3-pt shot from 24 ft (assist by M. Delaney)
0:11.0,,,72-66,,Personal foul by P. Millsap (drawn by P. Gasol)
0:11.0,P. Gasol makes free throw 1 of 2,1,73-66,,
0:11.0,P. Gasol makes free throw 2 of 2,1,74-66,,
0:01.0,,,74-69,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-71,2,P. Millsap makes 2-pt shot from 1 ft
11:29.0,Shooting foul by M. Muscala (drawn by K. Leonard),,74-71,,
11:29.0,K. Leonard misses free throw 1 of 2,,74-71,,
11:29.0,Offensive rebound by Team,,74-71,,
11:29.0,K. Leonard makes free throw 2 of 2,1,75-71,,
11:10.0,,,75-73,2,P. Millsap makes 2-pt shot from 8 ft
10:56.0,P. Mills misses 3-pt shot from 23 ft,,75-73,,
10:55.0,,,75-73,,Defensive rebound by Team
10:40.0,,,75-73,,Shooting foul by D. Lee (drawn by P. Millsap)
10:40.0,,,75-74,1,P. Millsap makes free throw 1 of 2
10:40.0,,,75-75,1,P. Millsap makes free throw 2 of 2
10:22.0,K. Leonard makes 2-pt shot from 21 ft (assist by P. Gasol),2,77-75,,
10:11.0,,,77-75,,Shooting foul by D. Lee (drawn by P. Millsap)
10:11.0,,,77-76,1,P. Millsap makes free throw 1 of 2
10:11.0,,,77-77,1,P. Millsap makes free throw 2 of 2
10:11.0,L. Aldridge enters the game for D. Lee,,77-76,,
9:57.0,P. Mills misses 3-pt shot from 23 ft,,77-77,,
9:55.0,Offensive rebound by K. Leonard,,77-77,,
9:47.0,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills),2,79-77,,
9:29.0,,,79-77,,P. Millsap misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by K. Leonard,,79-77,,
9:14.0,P. Mills makes 3-pt shot from 23 ft (assist by D. Green),3,82-77,,
9:13.0,,,82-77,,Atlanta full timeout
9:13.0,,,82-77,,D. Howard enters the game for M. Muscala
8:55.0,,,82-80,3,P. Millsap makes 3-pt shot from 23 ft (assist by T. Hardaway)
8:29.0,K. Leonard misses 3-pt shot from 25 ft,,82-80,,
8:23.0,,,82-80,,Defensive rebound by K. Korver
8:09.0,,,82-82,2,T. Hardaway makes 2-pt shot from 2 ft
7:55.0,K. Leonard misses 3-pt shot from 25 ft,,82-82,,
7:53.0,,,82-82,,Defensive rebound by K. Korver
7:50.0,,,82-84,2,T. Hardaway makes 2-pt shot at rim (assist by K. Korver)
7:50.0,San Antonio full timeout,,82-84,,
7:50.0,T. Parker enters the game for K. Leonard,,82-84,,
7:50.0,J. Simmons enters the game for P. Mills,,82-84,,
7:25.0,T. Parker makes 2-pt shot from 21 ft,2,84-84,,
7:02.0,,,84-84,,T. Hardaway misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by D. Green,,84-84,,
6:50.0,T. Parker makes 2-pt shot from 12 ft,2,86-84,,
6:31.0,,,86-84,,M. Delaney misses 2-pt shot from 20 ft
6:29.0,Defensive rebound by D. Green,,86-84,,
6:19.0,P. Gasol makes 2-pt shot from 18 ft (assist by T. Parker),2,88-84,,
6:03.0,,,88-84,,T. Hardaway misses 2-pt shot from 1 ft (block by J. Simmons)
6:03.0,,,88-84,,Offensive rebound by Team
6:03.0,,,88-84,,D. Schroder enters the game for M. Delaney
6:01.0,,,88-86,2,T. Hardaway makes 2-pt shot from 2 ft (assist by K. Korver)
5:39.0,P. Gasol misses 2-pt shot from 1 ft,,88-86,,
5:37.0,,,88-86,,Defensive rebound by P. Millsap
5:33.0,,,88-86,,Turnover by T. Hardaway (lost ball)
5:13.0,L. Aldridge makes 2-pt shot from 20 ft (assist by J. Simmons),2,90-86,,
4:53.0,,,90-88,2,D. Schroder makes 2-pt shot from 2 ft
4:28.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,93-88,,
4:13.0,,,93-88,,D. Schroder misses 2-pt shot from 16 ft
4:10.0,,,93-88,,Offensive rebound by P. Millsap
4:06.0,,,93-88,,P. Millsap misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by P. Gasol,,93-88,,
3:45.0,D. Green misses 3-pt shot from 24 ft,,93-88,,
3:43.0,,,93-88,,Defensive rebound by K. Korver
3:37.0,,,93-90,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
3:19.0,J. Simmons misses 3-pt shot from 24 ft,,93-90,,
3:18.0,,,93-90,,Defensive rebound by P. Millsap
3:08.0,,,93-90,,K. Korver misses 3-pt shot from 27 ft
3:06.0,Defensive rebound by J. Simmons,,93-90,,
