time,Indiana,pts.away,score,pts.home,Utah
1:48.0,M. Turner misses 2-pt shot from 13 ft,,46-58,,
1:47.0,,,46-58,,Defensive rebound by G. Hill
1:27.0,,,46-58,,J. Johnson misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by M. Ellis,,46-58,,
1:22.0,,,46-58,,Personal foul by G. Hayward (drawn by C. Miles)
1:05.0,M. Ellis misses 2-pt shot from 19 ft,,46-58,,
1:04.0,,,46-58,,Defensive rebound by G. Hill
0:54.0,,,46-58,,J. Ingles misses 2-pt shot from 3 ft
0:54.0,Defensive rebound by M. Turner,,46-58,,
0:48.0,,,46-58,,Personal foul by G. Hill (drawn by T. Young)
0:48.0,T. Young misses free throw 1 of 2,,46-58,,
0:48.0,Offensive rebound by Team,,46-58,,
0:48.0,T. Young makes free throw 2 of 2,1,47-58,,
0:48.0,L. Allen enters the game for M. Turner,,46-58,,
0:31.0,,,47-60,2,G. Hill makes 2-pt shot from 11 ft
0:15.0,J. Teague makes 3-pt shot from 25 ft,3,50-60,,
0:02.0,,,50-60,,G. Hill misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by M. Ellis,,50-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Teague misses 2-pt shot from 8 ft,,50-60,,
11:45.0,Offensive rebound by T. Young,,50-60,,
11:43.0,T. Young makes 2-pt shot from 5 ft,2,52-60,,
11:24.0,,,52-60,,Turnover by G. Hayward (bad pass)
11:09.0,P. George makes 2-pt shot from 18 ft,2,54-60,,
10:41.0,,,54-60,,G. Hill misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by M. Turner,,54-60,,
10:31.0,P. George makes 2-pt shot from 20 ft,2,56-60,,
10:31.0,,,56-60,,Utah full timeout
10:13.0,,,56-62,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
10:01.0,M. Turner makes 2-pt shot from 13 ft (assist by P. George),2,58-62,,
9:37.0,,,58-62,,G. Hayward misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by J. Teague,,58-62,,
9:28.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,60-62,,
9:02.0,,,60-62,,Turnover by D. Favors (bad pass; steal by G. Robinson)
8:58.0,Turnover by G. Robinson (lost ball),,60-62,,
8:41.0,,,60-64,2,G. Hill makes 2-pt shot from 6 ft
8:31.0,J. Teague misses 2-pt shot from 6 ft,,60-64,,
8:30.0,,,60-64,,Defensive rebound by R. Gobert
8:16.0,,,60-64,,Shooting foul by J. Teague (drawn by G. Hill)
8:16.0,,,60-65,1,G. Hill makes free throw 1 of 2
8:16.0,,,60-65,,G. Hill misses free throw 2 of 2
8:16.0,Defensive rebound by T. Young,,60-65,,
8:16.0,,,60-65,,B. Diaw enters the game for D. Favors
8:03.0,P. George misses 3-pt shot from 25 ft,,60-65,,
8:03.0,,,60-65,,Defensive rebound by J. Ingles
7:49.0,,,60-65,,B. Diaw misses 2-pt shot from 9 ft
7:49.0,Defensive rebound by M. Turner,,60-65,,
7:41.0,J. Teague misses 2-pt shot from 2 ft,,60-65,,
7:39.0,Offensive rebound by T. Young,,60-65,,
7:39.0,T. Young misses 2-pt shot at rim,,60-65,,
7:38.0,,,60-65,,Defensive rebound by B. Diaw
7:25.0,,,60-67,2,G. Hayward makes 2-pt shot from 15 ft
7:11.0,Turnover by J. Teague (bad pass; steal by G. Hill),,60-67,,
7:05.0,,,60-69,2,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles)
7:04.0,Indiana full timeout,,60-69,,
6:49.0,P. George misses 3-pt shot from 25 ft,,60-69,,
6:48.0,,,60-69,,Defensive rebound by G. Hill
6:36.0,,,60-72,3,G. Hill makes 3-pt shot from 25 ft
6:12.0,G. Robinson misses 3-pt shot from 23 ft (block by J. Ingles),,60-72,,
6:11.0,,,60-72,,Defensive rebound by G. Hayward
6:05.0,Personal foul by M. Turner (drawn by R. Gobert),,60-72,,
6:05.0,,,60-72,,A. Burks enters the game for J. Ingles
5:48.0,,,60-72,,A. Burks misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by T. Young,,60-72,,
5:23.0,J. Teague misses 2-pt shot from 4 ft (block by R. Gobert),,60-72,,
5:23.0,Offensive rebound by Team,,60-72,,
5:23.0,Turnover by Team (shot clock),,60-72,,
5:23.0,,,60-72,,D. Favors enters the game for R. Gobert
5:23.0,,,60-72,,J. Johnson enters the game for G. Hayward
5:00.0,,,60-72,,J. Johnson misses 2-pt shot from 4 ft
5:00.0,,,60-72,,Offensive rebound by B. Diaw
4:55.0,,,60-72,,A. Burks misses 3-pt shot from 25 ft
4:55.0,,,60-72,,Offensive rebound by A. Burks
4:49.0,,,60-72,,Shooting foul by T. Young (drawn by G. Hill)
4:49.0,,,60-73,1,G. Hill makes free throw 1 of 2
4:49.0,,,60-74,1,G. Hill makes free throw 2 of 2
4:49.0,M. Ellis enters the game for J. Teague,,60-73,,
4:49.0,C. Miles enters the game for G. Robinson,,60-73,,
4:38.0,P. George makes 2-pt shot from 16 ft,2,62-74,,
4:17.0,,,62-76,2,G. Hill makes 2-pt shot from 22 ft (assist by B. Diaw)
4:03.0,M. Ellis misses 2-pt shot from 11 ft,,62-76,,
4:02.0,Offensive rebound by M. Ellis,,62-76,,
3:58.0,T. Young makes 3-pt shot from 24 ft (assist by M. Turner),3,65-76,,
3:45.0,Personal foul by M. Ellis (drawn by G. Hill),,65-76,,
3:39.0,,,65-76,,Shooting foul by M. Ellis (drawn by G. Hill)
3:39.0,,,65-77,1,G. Hill makes free throw 1 of 3
3:39.0,,,65-78,1,G. Hill makes free throw 2 of 3
3:39.0,,,65-79,1,G. Hill makes free throw 3 of 3
3:28.0,Shooting foul by G. Hill (drawn by M. Turner),,65-79,,
3:28.0,M. Turner makes free throw 1 of 2,1,66-79,,
3:28.0,M. Turner makes free throw 2 of 2,1,67-79,,
3:28.0,,,66-79,,R. Neto enters the game for G. Hill
3:07.0,,,67-79,,A. Burks misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by P. George,,67-79,,
2:56.0,P. George misses 2-pt shot from 21 ft,,67-79,,
2:55.0,,,67-79,,Defensive rebound by A. Burks
2:47.0,,,67-81,2,A. Burks makes 2-pt shot from 7 ft
2:35.0,Turnover by M. Ellis (lost ball; steal by R. Neto),,67-81,,
2:31.0,,,67-81,,Turnover by R. Neto (bad pass; steal by M. Ellis)
2:24.0,C. Miles misses 3-pt shot from 23 ft,,67-81,,
2:24.0,,,67-81,,Defensive rebound by B. Diaw
2:02.0,,,67-83,2,B. Diaw makes 2-pt shot from 3 ft
1:47.0,,,67-83,,Personal foul by A. Burks (drawn by M. Turner)
1:47.0,,,67-83,,J. Ingles enters the game for A. Burks
1:40.0,M. Ellis makes 3-pt shot from 24 ft (assist by T. Young),3,70-83,,
1:29.0,,,70-83,,Turnover by R. Neto (lost ball)
1:17.0,M. Turner misses 3-pt shot from 25 ft,,70-83,,
1:16.0,,,70-83,,Defensive rebound by J. Ingles
0:58.0,,,70-85,2,B. Diaw makes 2-pt shot from 21 ft (assist by J. Johnson)
0:46.0,Turnover by C. Miles (lost ball; steal by D. Favors),,70-85,,
0:33.0,,,70-85,,D. Favors misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by M. Turner,,70-85,,
0:20.0,P. George makes 2-pt shot from 9 ft,2,72-85,,
0:01.0,,,72-85,,J. Johnson misses 3-pt shot from 23 ft
0:00.0,,,72-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-85,,G. Hill misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by A. Jefferson,,72-85,,
11:31.0,P. George misses 2-pt shot from 16 ft,,72-85,,
11:31.0,,,72-85,,Defensive rebound by T. Lyles
11:14.0,,,72-87,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hill)
11:14.0,,,72-87,,Shooting foul by P. George (drawn by R. Gobert)
11:14.0,,,72-88,1,R. Gobert makes free throw 1 of 1
11:00.0,C. Miles misses 3-pt shot from 24 ft,,72-88,,
11:00.0,,,72-88,,Defensive rebound by Team
10:53.0,Personal foul by C. Miles (drawn by T. Lyles),,72-88,,
10:46.0,,,72-90,2,G. Hill makes 2-pt shot from 11 ft
10:37.0,J. Teague makes 2-pt shot from 11 ft,2,74-90,,
10:20.0,,,74-90,,Turnover by T. Lyles (bad pass; steal by A. Jefferson)
10:12.0,M. Ellis makes 2-pt shot from 19 ft,2,76-90,,
9:47.0,,,76-90,,T. Lyles misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by P. George,,76-90,,
9:37.0,M. Ellis misses 2-pt shot from 21 ft,,76-90,,
9:36.0,,,76-90,,Defensive rebound by J. Ingles
9:17.0,,,76-90,,T. Lyles misses 2-pt shot from 4 ft
9:17.0,Defensive rebound by P. George,,76-90,,
9:13.0,,,76-90,,Personal foul by J. Johnson (drawn by P. George)
9:13.0,,,76-90,,G. Hayward enters the game for J. Johnson
9:13.0,,,76-90,,A. Burks enters the game for T. Lyles
9:13.0,T. Young enters the game for C. Miles,,76-90,,
9:01.0,P. George misses 2-pt shot from 16 ft,,76-90,,
9:00.0,,,76-90,,Defensive rebound by R. Gobert
8:56.0,Personal foul by P. George (drawn by G. Hill),,76-90,,
8:56.0,,,76-90,,Utah full timeout
8:56.0,Technical foul by Team,,76-90,,
8:56.0,,,76-91,1,G. Hayward makes technical free throw
8:44.0,,,76-91,,G. Hayward misses 2-pt shot from 2 ft (block by A. Jefferson)
8:44.0,Defensive rebound by T. Young,,76-91,,
8:38.0,J. Teague makes 2-pt shot from 2 ft,2,78-91,,
8:20.0,,,78-91,,Shooting foul by A. Jefferson (drawn by G. Hill)
8:20.0,,,78-91,,G. Hill misses free throw 1 of 2
8:20.0,,,78-91,,Offensive rebound by Team
8:20.0,,,78-92,1,G. Hill makes free throw 2 of 2
7:55.0,M. Ellis makes 2-pt shot from 3 ft,2,80-92,,
7:35.0,,,80-94,2,G. Hill makes 2-pt shot from 5 ft
7:25.0,,,80-94,,J. Johnson enters the game for J. Ingles
7:10.0,P. George makes 3-pt shot from 22 ft,3,83-94,,
6:51.0,Jump ball: G. Hayward vs. J. Teague (R. Gobert gains possession),,,,Jump ball: G. Hayward vs. J. Teague (R. Gobert gains possession)
6:43.0,,,83-94,,J. Johnson misses 2-pt shot from 22 ft
6:42.0,,,83-94,,Offensive rebound by Team
6:41.0,Personal foul by P. George (drawn by G. Hayward),,83-94,,
6:41.0,Technical foul by P. George (drawn by G. Hayward),,83-94,,
6:41.0,,,83-95,1,G. Hayward makes technical free throw
6:41.0,,,83-96,1,G. Hayward makes free throw 1 of 2
6:41.0,,,83-97,1,G. Hayward makes free throw 2 of 2
6:41.0,C. Miles enters the game for P. George,,83-94,,
6:41.0,,,83-95,,J. Ingles enters the game for G. Hill
6:38.0,,,83-97,,Personal foul by J. Ingles (drawn by J. Teague)
6:26.0,Turnover by T. Young (lost ball; steal by J. Johnson),,83-97,,
6:17.0,,,83-97,,G. Hayward misses 2-pt shot from 7 ft (block by C. Miles)
6:16.0,Defensive rebound by T. Young,,83-97,,
6:12.0,T. Young misses 2-pt shot at rim,,83-97,,
6:10.0,,,83-97,,Defensive rebound by J. Johnson
6:04.0,,,83-99,2,R. Gobert makes 2-pt shot at rim (assist by A. Burks)
6:04.0,Indiana full timeout,,83-99,,
6:04.0,M. Turner enters the game for A. Jefferson,,83-99,,
5:49.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague),3,86-99,,
5:30.0,,,86-99,,Shooting foul by M. Ellis (drawn by A. Burks)
5:30.0,,,86-100,1,A. Burks makes free throw 1 of 2
5:30.0,,,86-101,1,A. Burks makes free throw 2 of 2
5:16.0,M. Turner makes 2-pt shot from 5 ft (assist by T. Young),2,88-101,,
5:00.0,,,88-101,,Turnover by A. Burks (bad pass; steal by M. Ellis)
4:56.0,Turnover by T. Young (lost ball; steal by A. Burks),,88-101,,
4:44.0,,,88-101,,J. Ingles misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by M. Turner,,88-101,,
4:30.0,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague),2,90-101,,
4:30.0,,,90-101,,Utah full timeout
4:30.0,,,90-101,,G. Hill enters the game for A. Burks
4:30.0,,,90-101,,B. Diaw enters the game for J. Johnson
4:16.0,,,90-104,3,G. Hayward makes 3-pt shot from 24 ft (assist by B. Diaw)
4:05.0,Shooting foul by G. Hill (drawn by J. Teague),,90-104,,
4:05.0,J. Teague makes free throw 1 of 3,1,91-104,,
4:05.0,J. Teague makes free throw 2 of 3,1,92-104,,
4:05.0,J. Teague misses free throw 3 of 3,,92-104,,
4:04.0,,,92-104,,Defensive rebound by R. Gobert
3:47.0,,,92-104,,Turnover by R. Gobert (lost ball; steal by J. Teague)
3:41.0,,,92-104,,Personal foul by R. Gobert (drawn by M. Turner)
3:24.0,M. Ellis makes 2-pt shot from 16 ft,2,94-104,,
3:07.0,,,94-104,,Turnover by R. Gobert (lost ball; steal by M. Turner)
3:03.0,Turnover by T. Young (traveling),,94-104,,
2:48.0,,,94-106,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
2:27.0,J. Teague misses 2-pt shot from 11 ft,,94-106,,
2:26.0,,,94-106,,Defensive rebound by G. Hill
2:10.0,,,94-106,,G. Hayward misses 2-pt shot from 16 ft
2:10.0,,,94-106,,Offensive rebound by R. Gobert
2:10.0,Personal foul by T. Young (drawn by R. Gobert),,94-106,,
2:10.0,Technical foul by Team,,94-106,,
2:10.0,,,94-107,1,G. Hayward makes technical free throw
2:10.0,,,94-107,,R. Gobert misses free throw 1 of 2
2:10.0,,,94-107,,Offensive rebound by Team
2:10.0,,,94-107,,R. Gobert misses free throw 2 of 2
2:09.0,Defensive rebound by T. Young,,94-107,,
1:53.0,C. Miles misses 2-pt shot from 23 ft,,94-107,,
1:52.0,,,94-107,,Defensive rebound by R. Gobert
1:31.0,,,94-107,,J. Ingles misses 3-pt shot from 24 ft
