time,Miami,pts.away,score,pts.home,Minnesota
6:59.0,,,14-10,,Personal foul by A. Wiggins (drawn by H. Whiteside)
6:49.0,G. Dragic makes 3-pt shot from 24 ft (assist by D. Waiters),3,17-10,,
6:28.0,,,17-12,2,G. Dieng makes 2-pt shot from 9 ft (assist by B. Rush)
6:20.0,H. Whiteside makes 2-pt shot from 11 ft (assist by R. McGruder),2,19-12,,
6:00.0,,,19-14,2,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio)
5:49.0,Miami full timeout,,19-14,,
5:28.0,G. Dragic makes 3-pt shot from 24 ft,3,22-14,,
5:20.0,,,22-16,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
5:07.0,Shooting foul by K. Towns (drawn by J. Johnson),,22-16,,
5:07.0,J. Johnson misses free throw 1 of 2,,22-16,,
5:07.0,Offensive rebound by Team,,22-16,,
5:07.0,J. Johnson misses free throw 2 of 2,,22-16,,
5:07.0,,,22-16,,Defensive rebound by G. Dieng
4:52.0,,,22-16,,Shooting foul by J. Johnson (drawn by K. Towns)
4:52.0,,,22-17,1,K. Towns makes free throw 1 of 2
4:52.0,,,22-18,1,K. Towns makes free throw 2 of 2
4:38.0,D. Waiters misses 2-pt shot from 3 ft,,22-18,,
4:35.0,,,22-18,,Defensive rebound by K. Towns
4:24.0,,,22-18,,K. Towns misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by H. Whiteside,,22-18,,
4:16.0,J. Johnson makes 2-pt shot from 3 ft,2,24-18,,
3:55.0,,,24-18,,B. Rush misses 2-pt shot from 19 ft
3:54.0,,,24-18,,Offensive rebound by K. Towns
3:53.0,,,24-18,,Shooting foul by J. Johnson (drawn by K. Towns)
3:53.0,,,24-18,,K. Towns misses free throw 1 of 2
3:53.0,,,24-18,,Offensive rebound by Team
3:53.0,,,24-19,1,K. Towns makes free throw 2 of 2
3:53.0,T. Johnson enters the game for D. Waiters,,24-18,,
3:53.0,O. White enters the game for J. Johnson,,24-18,,
3:42.0,T. Johnson misses 2-pt shot from 2 ft,,24-19,,
3:41.0,Offensive rebound by O. White,,24-19,,
3:37.0,R. McGruder makes 3-pt shot from 24 ft (assist by O. White),3,27-19,,
3:23.0,,,27-21,2,R. Rubio makes 2-pt shot at rim
3:07.0,,,27-21,,Violation by G. Dieng (kicked ball)
3:07.0,,,27-21,,N. Bjelica enters the game for G. Dieng
3:07.0,,,27-21,,S. Muhammad enters the game for B. Rush
2:57.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,29-21,,
2:57.0,Shooting foul by R. Rubio (drawn by H. Whiteside),,29-21,,
2:57.0,,,29-21,,Minnesota full timeout
2:57.0,H. Whiteside makes free throw 1 of 1,1,30-21,,
2:51.0,,,30-23,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
2:28.0,H. Whiteside misses 2-pt shot from 17 ft,,30-23,,
2:27.0,Offensive rebound by R. McGruder,,30-23,,
2:22.0,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic),3,33-23,,
2:03.0,Personal foul by O. White (drawn by S. Muhammad),,33-23,,
2:03.0,,,33-24,1,S. Muhammad makes free throw 1 of 2
2:03.0,,,33-25,1,S. Muhammad makes free throw 2 of 2
2:03.0,,,33-24,,T. Jones enters the game for R. Rubio
1:43.0,H. Whiteside misses 2-pt shot from 3 ft,,33-25,,
1:42.0,Offensive rebound by R. McGruder,,33-25,,
1:42.0,R. McGruder makes 2-pt shot from 1 ft,2,35-25,,
1:22.0,,,35-25,,A. Wiggins misses 2-pt shot from 18 ft
1:20.0,,,35-25,,Offensive rebound by K. Towns
1:15.0,,,35-27,2,K. Towns makes 2-pt shot from 1 ft (assist by S. Muhammad)
1:03.0,G. Dragic makes 2-pt shot from 19 ft,2,37-27,,
0:49.0,,,37-29,2,K. Towns makes 2-pt shot from 18 ft
0:40.0,O. White makes 2-pt shot from 1 ft (assist by T. Johnson),2,39-29,,
0:40.0,Shooting foul by N. Bjelica (drawn by O. White),,39-29,,
0:40.0,O. White makes free throw 1 of 1,1,40-29,,
0:40.0,W. Reed enters the game for H. Whiteside,,39-29,,
0:40.0,W. Ellington enters the game for G. Dragic,,39-29,,
0:26.0,,,40-31,2,A. Wiggins makes 2-pt shot from 15 ft
0:05.0,Turnover by T. Johnson (bad pass; steal by K. Towns),,40-31,,
0:03.0,Personal foul by R. McGruder (drawn by S. Muhammad),,40-31,,
0:03.0,,,40-32,1,S. Muhammad makes free throw 1 of 2
0:03.0,,,40-33,1,S. Muhammad makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,W. Reed misses 2-pt shot from 5 ft,,40-33,,
11:36.0,Offensive rebound by W. Reed,,40-33,,
11:28.0,Shooting foul by C. Aldrich (drawn by D. Waiters),,40-33,,
11:28.0,D. Waiters makes free throw 1 of 2,1,41-33,,
11:28.0,D. Waiters makes free throw 2 of 2,1,42-33,,
11:13.0,,,42-33,,S. Muhammad misses 2-pt shot at rim
11:12.0,,,42-33,,Offensive rebound by C. Aldrich
11:08.0,Shooting block foul by O. White (drawn by N. Bjelica),,42-33,,
11:08.0,,,42-33,,N. Bjelica misses free throw 1 of 2
11:08.0,,,42-33,,Offensive rebound by Team
11:08.0,,,42-33,,N. Bjelica misses free throw 2 of 2
11:08.0,Defensive rebound by W. Reed,,42-33,,
10:56.0,Turnover by O. White (bad pass; steal by C. Aldrich),,42-33,,
10:48.0,,,42-35,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones)
10:30.0,D. Waiters makes 2-pt shot from 1 ft,2,44-35,,
10:22.0,Personal foul by O. White (drawn by S. Muhammad),,44-35,,
10:22.0,L. Babbitt enters the game for O. White,,44-35,,
10:18.0,,,44-35,,Turnover by N. Bjelica (bad pass; steal by D. Waiters)
10:15.0,,,44-35,,Personal take foul by N. Bjelica (drawn by D. Waiters)
10:07.0,D. Waiters misses 3-pt shot from 25 ft,,44-35,,
10:06.0,,,44-35,,Defensive rebound by C. Aldrich
9:54.0,,,44-35,,S. Muhammad misses 2-pt shot from 1 ft
9:53.0,,,44-35,,Offensive rebound by S. Muhammad
9:52.0,,,44-37,2,S. Muhammad makes 2-pt shot from 1 ft
9:32.0,W. Reed misses 2-pt shot from 15 ft,,44-37,,
9:31.0,,,44-37,,Defensive rebound by B. Rush
9:23.0,,,44-37,,Turnover by B. Rush (bad pass)
9:14.0,T. Johnson misses 2-pt shot from 18 ft,,44-37,,
9:13.0,Offensive rebound by W. Reed,,44-37,,
9:02.0,W. Ellington makes 3-pt shot from 23 ft (assist by D. Waiters),3,47-37,,
8:54.0,,,47-37,,Minnesota full timeout
8:45.0,Violation by W. Reed (def goaltending),,47-37,,
8:45.0,,,47-39,2,N. Bjelica makes 2-pt shot from 4 ft
8:32.0,W. Ellington misses 2-pt shot from 21 ft,,47-39,,
8:31.0,,,47-39,,Defensive rebound by N. Bjelica
8:23.0,,,47-41,2,B. Rush makes 2-pt shot from 14 ft (assist by T. Jones)
8:04.0,T. Johnson misses 2-pt shot from 2 ft,,47-41,,
8:03.0,Offensive rebound by W. Reed,,47-41,,
8:03.0,W. Reed makes 2-pt shot at rim,2,49-41,,
7:50.0,,,49-43,2,T. Jones makes 2-pt shot from 21 ft
7:34.0,D. Waiters misses 2-pt shot from 16 ft,,49-43,,
7:33.0,,,49-43,,Defensive rebound by N. Bjelica
7:19.0,,,49-45,2,T. Jones makes 2-pt shot from 7 ft
7:10.0,Miami full timeout,,49-45,,
7:10.0,,,49-45,,R. Rubio enters the game for N. Bjelica
7:10.0,J. Johnson enters the game for L. Babbitt,,49-45,,
7:10.0,H. Whiteside enters the game for W. Reed,,49-45,,
6:59.0,Turnover by J. Johnson (bad pass; steal by T. Jones),,49-45,,
6:54.0,,,49-45,,S. Muhammad misses 2-pt shot from 1 ft (block by D. Waiters)
6:53.0,,,49-45,,Offensive rebound by Team
6:44.0,,,49-45,,Offensive foul by S. Muhammad
6:44.0,,,49-45,,Turnover by S. Muhammad (offensive foul)
6:44.0,G. Dragic enters the game for T. Johnson,,49-45,,
6:44.0,,,49-45,,K. Towns enters the game for C. Aldrich
6:34.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,52-45,,
6:14.0,,,52-45,,S. Muhammad misses 2-pt shot from 9 ft
6:13.0,Defensive rebound by H. Whiteside,,52-45,,
6:07.0,D. Waiters makes 2-pt shot from 2 ft,2,54-45,,
5:44.0,,,54-45,,T. Jones misses 3-pt shot from 27 ft
5:44.0,Defensive rebound by Team,,54-45,,
5:44.0,,,54-45,,A. Wiggins enters the game for S. Muhammad
5:33.0,G. Dragic misses 2-pt shot from 2 ft,,54-45,,
5:31.0,,,54-45,,Defensive rebound by K. Towns
5:23.0,,,54-45,,Shooting foul by G. Dragic (drawn by A. Wiggins)
5:23.0,,,54-46,1,A. Wiggins makes free throw 1 of 2
5:23.0,,,54-47,1,A. Wiggins makes free throw 2 of 2
5:23.0,R. McGruder enters the game for D. Waiters,,54-46,,
5:02.0,W. Ellington misses 2-pt shot from 22 ft,,54-47,,
5:01.0,Offensive rebound by H. Whiteside,,54-47,,
4:59.0,H. Whiteside misses 2-pt shot from 4 ft,,54-47,,
4:58.0,,,54-47,,Defensive rebound by A. Wiggins
4:47.0,,,54-47,,Shooting foul by H. Whiteside (drawn by K. Towns)
4:47.0,,,54-48,1,K. Towns makes free throw 1 of 2
4:47.0,,,54-48,,K. Towns misses free throw 2 of 2
4:47.0,Defensive rebound by H. Whiteside,,54-48,,
4:34.0,,,54-48,,Personal foul by T. Jones (drawn by J. Johnson)
4:25.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,56-48,,
4:07.0,,,56-50,2,R. Rubio makes 2-pt shot from 19 ft
3:46.0,Turnover by H. Whiteside (lost ball; steal by R. Rubio),,56-50,,
3:39.0,,,56-50,,Turnover by R. Rubio (bad pass; steal by G. Dragic)
3:35.0,R. McGruder misses 2-pt shot from 1 ft,,56-50,,
3:34.0,Offensive rebound by G. Dragic,,56-50,,
3:33.0,G. Dragic makes 2-pt shot from 1 ft,2,58-50,,
3:13.0,,,58-50,,R. Rubio misses 2-pt shot from 15 ft
3:12.0,,,58-50,,Offensive rebound by A. Wiggins
3:07.0,,,58-50,,A. Wiggins misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by W. Ellington,,58-50,,
2:57.0,Turnover by G. Dragic (lost ball),,58-50,,
2:57.0,,,58-50,,Minnesota full timeout
2:46.0,,,58-52,2,A. Wiggins makes 2-pt shot from 2 ft
2:29.0,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic),3,61-52,,
2:13.0,,,61-55,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
1:53.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,63-55,,
1:38.0,,,63-55,,A. Wiggins misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by G. Dragic,,63-55,,
1:29.0,G. Dragic makes 2-pt shot from 17 ft,2,65-55,,
1:07.0,,,65-55,,A. Wiggins misses 2-pt shot from 20 ft
1:06.0,Defensive rebound by W. Ellington,,65-55,,
1:01.0,R. McGruder makes 3-pt shot from 23 ft (assist by J. Johnson),3,68-55,,
0:46.0,,,68-55,,K. Towns misses 2-pt shot from 6 ft
0:45.0,Defensive rebound by J. Johnson,,68-55,,
0:30.0,Turnover by G. Dragic (bad pass; steal by T. Jones),,68-55,,
0:26.0,,,68-57,2,K. Towns makes 2-pt shot at rim (assist by B. Rush)
0:19.0,Miami full timeout,,68-57,,
0:19.0,D. Waiters enters the game for J. Johnson,,68-57,,
0:06.0,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters),3,71-57,,
0:01.0,,,71-57,,A. Wiggins misses 2-pt shot from 4 ft (block by D. Waiters)
0:00.0,,,71-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,L. Babbitt misses 2-pt shot from 14 ft,,71-57,,
11:47.0,,,71-57,,Defensive rebound by B. Rush
11:30.0,,,71-59,2,A. Wiggins makes 2-pt shot from 14 ft
11:14.0,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside),2,73-59,,
10:57.0,,,73-61,2,A. Wiggins makes 2-pt shot from 15 ft
10:39.0,D. Waiters misses 2-pt shot from 17 ft,,73-61,,
10:38.0,Offensive rebound by R. McGruder,,73-61,,
10:29.0,H. Whiteside misses 2-pt shot from 1 ft,,73-61,,
10:28.0,,,73-61,,Defensive rebound by K. Towns
10:09.0,,,73-63,2,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio)
9:56.0,R. McGruder misses 3-pt shot from 25 ft,,73-63,,
9:55.0,,,73-63,,Defensive rebound by R. Rubio
9:44.0,,,73-65,2,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio)
9:27.0,L. Babbitt misses 3-pt shot from 25 ft,,73-65,,
9:26.0,,,73-65,,Defensive rebound by B. Rush
9:17.0,,,73-65,,Shooting foul by H. Whiteside (drawn by K. Towns)
9:17.0,,,73-65,,K. Towns misses free throw 1 of 2
9:17.0,,,73-65,,Offensive rebound by Team
9:17.0,,,73-66,1,K. Towns makes free throw 2 of 2
9:05.0,Turnover by D. Waiters (lost ball; steal by R. Rubio),,73-66,,
9:02.0,Personal foul by L. Babbitt (drawn by R. Rubio),,73-66,,
8:54.0,,,73-66,,Shooting foul by G. Dragic (drawn by R. Rubio)
8:54.0,,,73-67,1,R. Rubio makes free throw 1 of 2
8:54.0,,,73-68,1,R. Rubio makes free throw 2 of 2
8:37.0,G. Dragic makes 3-pt shot from 25 ft (assist by R. McGruder),3,76-68,,
8:17.0,,,76-70,2,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio)
8:06.0,L. Babbitt misses 3-pt shot from 26 ft,,76-70,,
8:05.0,,,76-70,,Defensive rebound by G. Dieng
7:55.0,,,76-70,,Turnover by A. Wiggins (lost ball; steal by D. Waiters)
7:49.0,G. Dragic misses 2-pt shot from 18 ft (block by K. Towns),,76-70,,
7:48.0,,,76-70,,Defensive rebound by K. Towns
7:28.0,,,76-70,,B. Rush misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by H. Whiteside,,76-70,,
7:10.0,G. Dragic makes 2-pt shot from 15 ft,2,78-70,,
6:48.0,,,78-70,,R. Rubio misses 3-pt shot from 24 ft
6:47.0,,,78-70,,Offensive rebound by K. Towns
6:44.0,,,78-70,,Turnover by K. Towns (lost ball; steal by R. McGruder)
6:25.0,J. Johnson enters the game for L. Babbitt,,78-70,,
6:22.0,D. Waiters misses 2-pt shot from 18 ft,,78-70,,
6:21.0,,,78-70,,Defensive rebound by G. Dieng
6:16.0,,,78-70,,Shooting foul by G. Dragic (drawn by R. Rubio)
6:16.0,,,78-71,1,R. Rubio makes free throw 1 of 2
6:16.0,,,78-72,1,R. Rubio makes free throw 2 of 2
6:06.0,Turnover by J. Johnson (bad pass; steal by B. Rush),,78-72,,
6:00.0,,,78-72,,Turnover by B. Rush (lost ball)
5:47.0,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder),2,80-72,,
5:47.0,Shooting foul by K. Towns (drawn by H. Whiteside),,80-72,,
5:47.0,,,80-72,,Minnesota full timeout
5:47.0,H. Whiteside makes free throw 1 of 1,1,81-72,,
5:47.0,T. Johnson enters the game for G. Dragic,,80-72,,
5:39.0,,,81-74,2,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio)
5:22.0,Offensive foul by J. Johnson,,81-74,,
5:22.0,Turnover by J. Johnson (offensive foul),,81-74,,
5:22.0,,,81-74,,T. Jones enters the game for R. Rubio
5:11.0,,,81-74,,A. Wiggins misses 2-pt shot from 19 ft
5:10.0,Defensive rebound by D. Waiters,,81-74,,
5:02.0,Shooting foul by T. Jones (drawn by T. Johnson),,81-74,,
5:02.0,T. Johnson makes free throw 1 of 2,1,82-74,,
5:02.0,T. Johnson misses free throw 2 of 2,,82-74,,
5:00.0,Offensive rebound by Team,,82-74,,
4:56.0,Shooting foul by G. Dieng (drawn by D. Waiters),,82-74,,
4:56.0,D. Waiters makes free throw 1 of 2,1,83-74,,
4:56.0,D. Waiters makes free throw 2 of 2,1,84-74,,
4:34.0,,,84-77,3,K. Towns makes 3-pt shot from 24 ft (assist by T. Jones)
4:33.0,Miami full timeout,,84-77,,
4:23.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters),2,86-77,,
3:59.0,,,86-77,,K. Towns misses 2-pt shot from 4 ft
3:57.0,Defensive rebound by H. Whiteside,,86-77,,
3:44.0,Turnover by H. Whiteside (lost ball; steal by G. Dieng),,86-77,,
3:37.0,,,86-79,2,G. Dieng makes 2-pt shot at rim (assist by T. Jones)
3:17.0,D. Waiters misses 3-pt shot from 26 ft,,86-79,,
3:15.0,,,86-79,,Defensive rebound by G. Dieng
2:59.0,,,86-79,,T. Jones misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by H. Whiteside,,86-79,,
2:48.0,D. Waiters makes 2-pt shot from 2 ft,2,88-79,,
2:27.0,,,88-82,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Jones)
2:10.0,J. Johnson misses 2-pt shot from 2 ft,,88-82,,
2:09.0,Offensive rebound by T. Johnson,,88-82,,
2:03.0,J. Johnson misses 2-pt shot from 1 ft,,88-82,,
2:02.0,,,88-82,,Defensive rebound by G. Dieng
1:50.0,,,88-84,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
1:32.0,T. Johnson makes 2-pt shot from 21 ft,2,90-84,,
1:12.0,,,90-86,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
1:00.0,Turnover by J. Johnson (lost ball),,90-86,,
1:00.0,W. Ellington enters the game for R. McGruder,,90-86,,
1:00.0,W. Reed enters the game for H. Whiteside,,90-86,,
1:00.0,,,90-86,,N. Bjelica enters the game for G. Dieng
0:45.0,,,90-86,,K. Towns misses 2-pt shot from 6 ft
0:44.0,Defensive rebound by W. Reed,,90-86,,
0:37.0,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters),3,93-86,,
0:20.0,,,93-86,,A. Wiggins misses 2-pt shot from 21 ft
0:19.0,,,93-86,,Offensive rebound by N. Bjelica
0:04.0,,,93-88,2,A. Wiggins makes 2-pt shot from 19 ft
0:01.0,J. Johnson misses 3-pt shot from 25 ft,,93-88,,
0:00.0,Offensive rebound by Team,,93-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,93-88,,G. Dieng misses 2-pt shot from 20 ft
11:36.0,,,93-88,,Offensive rebound by Team
11:36.0,,,93-88,,Turnover by Team (shot clock)
11:23.0,T. Johnson misses 3-pt shot from 24 ft,,93-88,,
11:22.0,,,93-88,,Defensive rebound by S. Muhammad
11:09.0,,,93-90,2,R. Rubio makes 2-pt shot from 1 ft
10:50.0,D. Waiters misses 2-pt shot from 19 ft,,93-90,,
10:49.0,,,93-90,,Defensive rebound by S. Muhammad
10:38.0,,,93-92,2,R. Rubio makes 2-pt shot from 20 ft
10:15.0,Turnover by W. Reed (bad pass; steal by N. Bjelica),,93-92,,
10:13.0,,,93-92,,Turnover by N. Bjelica (bad pass)
10:13.0,G. Dragic enters the game for W. Ellington,,93-92,,
10:13.0,R. McGruder enters the game for D. Waiters,,93-92,,
9:53.0,G. Dragic makes 3-pt shot from 25 ft,3,96-92,,
9:36.0,,,96-92,,S. Muhammad misses 2-pt shot at rim (block by W. Reed)
9:35.0,Defensive rebound by J. Johnson,,96-92,,
9:22.0,G. Dragic misses 3-pt shot from 25 ft,,96-92,,
9:20.0,Offensive rebound by W. Reed,,96-92,,
9:18.0,W. Reed misses 2-pt shot from 1 ft,,96-92,,
9:17.0,,,96-92,,Defensive rebound by G. Dieng
9:09.0,,,96-92,,T. Jones misses 2-pt shot from 5 ft
9:07.0,Defensive rebound by T. Johnson,,96-92,,
8:56.0,T. Johnson misses 2-pt shot from 5 ft,,96-92,,
8:55.0,,,96-92,,Defensive rebound by R. Rubio
8:48.0,,,96-92,,R. Rubio misses 2-pt shot from 16 ft
8:45.0,Defensive rebound by Team,,96-92,,
8:45.0,Miami full timeout,,96-92,,
8:26.0,Turnover by G. Dragic (bad pass; steal by N. Bjelica),,96-92,,
8:15.0,,,96-92,,S. Muhammad misses 2-pt shot from 1 ft
8:14.0,,,96-92,,Offensive rebound by Team
7:59.0,,,96-92,,Shooting foul by G. Dragic (drawn by T. Jones)
7:59.0,,,96-92,,T. Jones misses free throw 1 of 2
7:59.0,,,96-92,,Offensive rebound by Team
7:59.0,,,96-93,1,T. Jones makes free throw 2 of 2
7:43.0,J. Johnson makes 2-pt shot from 17 ft,2,98-93,,
7:15.0,,,98-95,2,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio)
7:04.0,W. Reed makes 2-pt shot at rim (assist by J. Johnson),2,100-95,,
7:04.0,Shooting foul by N. Bjelica (drawn by W. Reed),,100-95,,
7:04.0,W. Reed makes free throw 1 of 1,1,101-95,,
7:04.0,,,100-95,,K. Towns enters the game for G. Dieng
7:04.0,,,100-95,,A. Wiggins enters the game for N. Bjelica
6:47.0,,,101-97,2,K. Towns makes 2-pt shot from 14 ft (assist by R. Rubio)
6:32.0,W. Reed misses 2-pt shot at rim,,101-97,,
6:31.0,,,101-97,,Defensive rebound by R. Rubio
6:27.0,Personal block foul by T. Johnson (drawn by A. Wiggins),,101-97,,
6:27.0,H. Whiteside enters the game for W. Reed,,101-97,,
6:17.0,,,101-99,2,K. Towns makes 2-pt shot from 5 ft
5:58.0,H. Whiteside misses 2-pt shot from 5 ft,,101-99,,
5:57.0,,,101-99,,Defensive rebound by T. Jones
5:34.0,,,101-99,,K. Towns misses 2-pt shot from 1 ft (block by J. Johnson)
5:33.0,Defensive rebound by J. Johnson,,101-99,,
5:29.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,103-99,,
5:29.0,,,103-99,,Minnesota full timeout
5:16.0,,,103-99,,Shooting foul by T. Johnson (drawn by K. Towns)
5:16.0,,,103-100,1,K. Towns makes free throw 1 of 2
5:16.0,,,103-101,1,K. Towns makes free throw 2 of 2
4:53.0,T. Johnson misses 3-pt shot from 23 ft,,103-101,,
4:52.0,Offensive rebound by Team,,103-101,,
4:52.0,,,103-101,,Loose ball foul by K. Towns (drawn by H. Whiteside)
4:35.0,G. Dragic misses 3-pt shot from 26 ft,,103-101,,
4:33.0,Offensive rebound by Team,,103-101,,
4:33.0,D. Waiters enters the game for T. Johnson,,103-101,,
4:33.0,,,103-101,,Violation by Team (jump ball)
4:33.0,Jump ball: R. Rubio vs. H. Whiteside,,,,Jump ball: R. Rubio vs. H. Whiteside
4:25.0,G. Dragic makes 2-pt shot from 18 ft,2,105-101,,
4:09.0,,,105-103,2,A. Wiggins makes 2-pt shot from 1 ft
3:46.0,J. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic),3,108-103,,
3:31.0,,,108-103,,A. Wiggins misses 2-pt shot from 18 ft
3:30.0,,,108-103,,Offensive rebound by K. Towns
3:24.0,,,108-105,2,S. Muhammad makes 2-pt shot from 7 ft (assist by T. Jones)
2:57.0,D. Waiters misses 3-pt shot from 28 ft,,108-105,,
2:56.0,Offensive rebound by R. McGruder,,108-105,,
2:54.0,R. McGruder makes 2-pt shot from 2 ft,2,110-105,,
2:39.0,Personal foul by J. Johnson (drawn by A. Wiggins),,110-105,,
2:39.0,Miami full timeout,,110-105,,
2:32.0,,,110-105,,A. Wiggins misses 2-pt shot from 18 ft
2:31.0,Defensive rebound by H. Whiteside,,110-105,,
2:11.0,R. McGruder makes 2-pt shot from 7 ft (assist by G. Dragic),2,112-105,,
1:59.0,,,112-105,,Shooting foul by D. Waiters (drawn by R. Rubio)
1:59.0,,,112-106,1,R. Rubio makes free throw 1 of 2
1:59.0,,,112-107,1,R. Rubio makes free throw 2 of 2
1:45.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,114-107,,
1:25.0,,,114-107,,S. Muhammad misses 2-pt shot from 1 ft
1:24.0,Defensive rebound by J. Johnson,,114-107,,
1:04.0,J. Johnson misses 2-pt shot from 11 ft,,114-107,,
1:03.0,,,114-107,,Defensive rebound by A. Wiggins
0:52.0,,,114-107,,K. Towns misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by R. McGruder,,114-107,,
0:39.0,Turnover by J. Johnson (bad pass; steal by K. Towns),,114-107,,
0:34.0,,,114-110,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Jones)
0:30.0,,,114-110,,Personal take foul by A. Wiggins (drawn by J. Johnson)
0:30.0,Miami full timeout,,114-110,,
0:30.0,O. White enters the game for H. Whiteside,,114-110,,
0:30.0,Miami full timeout,,114-110,,
0:25.0,Turnover by O. White (bad pass; steal by A. Wiggins),,114-110,,
0:22.0,,,114-112,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
0:22.0,,,114-112,,Shooting foul by O. White (drawn by A. Wiggins)
0:22.0,,,114-113,1,A. Wiggins makes free throw 1 of 1
0:22.0,H. Whiteside enters the game for O. White,,114-112,,
