time,Memphis,pts.away,score,pts.home,New Orleans
11:41.0,,,23-21,,A. Ajinca misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by M. Conley,,23-21,,
11:28.0,T. Daniels misses 3-pt shot from 26 ft,,23-21,,
11:26.0,Offensive rebound by Z. Randolph,,23-21,,
11:23.0,Z. Randolph makes 2-pt shot from 2 ft,2,25-21,,
11:07.0,,,25-21,,J. Crawford misses 3-pt shot from 28 ft
11:06.0,Defensive rebound by Z. Randolph,,25-21,,
10:55.0,A. Harrison misses 2-pt shot from 2 ft,,25-21,,
10:55.0,,,25-21,,Defensive rebound by A. Ajinca
10:52.0,,,25-21,,Offensive charge foul by J. Crawford
10:52.0,,,25-21,,Turnover by J. Crawford (offensive foul)
10:40.0,Turnover by T. Daniels (bad pass; steal by E. Moore),,25-21,,
10:31.0,,,25-21,,D. Motiejunas misses 2-pt shot from 6 ft
10:29.0,Defensive rebound by Z. Randolph,,25-21,,
10:09.0,B. Wright makes 2-pt shot from 6 ft (assist by T. Daniels),2,27-21,,
9:52.0,,,27-21,,E. Moore misses 2-pt shot from 17 ft
9:52.0,Defensive rebound by A. Harrison,,27-21,,
9:35.0,T. Daniels makes 3-pt shot from 25 ft,3,30-21,,
9:28.0,,,30-21,,New Orleans full timeout
9:28.0,,,30-21,,D. Cousins enters the game for E. Moore
9:28.0,,,30-21,,A. Davis enters the game for A. Ajinca
9:28.0,,,30-21,,S. Hill enters the game for D. Motiejunas
9:17.0,,,30-21,,A. Davis misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by Z. Randolph,,30-21,,
9:14.0,Turnover by M. Conley (bad pass),,30-21,,
9:01.0,,,30-21,,S. Hill misses 2-pt shot from 3 ft (block by B. Wright)
9:01.0,,,30-21,,Offensive rebound by Team
9:01.0,V. Carter enters the game for A. Harrison,,30-21,,
8:51.0,,,30-21,,D. Cousins misses 2-pt shot from 20 ft
8:51.0,Defensive rebound by Z. Randolph,,30-21,,
8:30.0,Turnover by Z. Randolph (lost ball; steal by D. Cousins),,30-21,,
8:22.0,,,30-21,,Offensive foul by J. Crawford
8:22.0,,,30-21,,Turnover by J. Crawford (offensive foul)
8:08.0,T. Daniels misses 3-pt shot from 27 ft,,30-21,,
8:08.0,,,30-21,,Defensive rebound by A. Davis
8:00.0,,,30-21,,Turnover by S. Hill (lost ball; steal by V. Carter)
7:54.0,,,30-21,,Personal foul by S. Hill (drawn by M. Conley)
7:54.0,,,30-21,,J. Holiday enters the game for J. Crawford
7:48.0,M. Conley makes 3-pt shot from 27 ft (assist by Z. Randolph),3,33-21,,
7:33.0,,,33-24,3,D. Cousins makes 3-pt shot from 26 ft (assist by T. Frazier)
7:08.0,Z. Randolph misses 3-pt shot from 26 ft,,33-24,,
7:07.0,,,33-24,,Defensive rebound by J. Holiday
6:51.0,,,33-24,,D. Cousins misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by M. Conley,,33-24,,
6:47.0,Memphis full timeout,,33-24,,
6:47.0,W. Selden enters the game for T. Daniels,,33-24,,
6:47.0,M. Gasol enters the game for Z. Randolph,,33-24,,
6:47.0,,,33-24,,E. Moore enters the game for T. Frazier
6:42.0,,,33-24,,Personal foul by D. Cousins (drawn by B. Wright)
6:42.0,A. Harrison enters the game for M. Conley,,33-24,,
6:31.0,M. Gasol misses 2-pt shot from 21 ft,,33-24,,
6:30.0,Offensive rebound by A. Harrison,,33-24,,
6:14.0,V. Carter makes 2-pt shot from 15 ft,2,35-24,,
5:52.0,,,35-24,,D. Cousins misses 2-pt shot from 2 ft
5:49.0,,,35-24,,Offensive rebound by D. Cousins
5:49.0,,,35-24,,D. Cousins misses 2-pt shot from 2 ft
5:48.0,,,35-24,,Offensive rebound by D. Cousins
5:47.0,,,35-24,,D. Cousins misses 2-pt shot from 1 ft
5:46.0,,,35-24,,Offensive rebound by D. Cousins
5:44.0,,,35-26,2,D. Cousins makes 2-pt shot from 2 ft
5:19.0,A. Harrison misses 2-pt shot from 11 ft,,35-26,,
5:19.0,,,35-26,,Defensive rebound by D. Cousins
5:06.0,,,35-28,2,D. Cousins makes 2-pt shot from 6 ft
4:43.0,A. Harrison makes 2-pt shot from 16 ft,2,37-28,,
4:34.0,,,37-28,,A. Davis misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by M. Gasol,,37-28,,
4:13.0,W. Selden makes 2-pt shot from 2 ft (assist by M. Gasol),2,39-28,,
3:52.0,,,39-28,,Shooting foul by M. Gasol (drawn by D. Cousins)
3:52.0,Official timeout,,39-28,,
3:52.0,,,39-29,1,D. Cousins makes free throw 1 of 2
3:52.0,,,39-30,1,D. Cousins makes free throw 2 of 2
3:41.0,Shooting foul by S. Hill (drawn by B. Wright),,39-30,,
3:41.0,B. Wright misses free throw 1 of 2,,39-30,,
3:41.0,Offensive rebound by Team,,39-30,,
3:41.0,B. Wright makes free throw 2 of 2,1,40-30,,
3:26.0,,,40-32,2,J. Holiday makes 2-pt shot from 2 ft
3:04.0,W. Selden misses 3-pt shot from 25 ft,,40-32,,
3:04.0,,,40-32,,Defensive rebound by S. Hill
2:46.0,,,40-32,,S. Hill misses 3-pt shot from 29 ft
2:45.0,Defensive rebound by M. Gasol,,40-32,,
2:42.0,Memphis full timeout,,40-32,,
2:42.0,M. Conley enters the game for W. Selden,,40-32,,
2:42.0,Z. Randolph enters the game for B. Wright,,40-32,,
2:32.0,Offensive charge foul by A. Harrison,,40-32,,
2:32.0,Turnover by A. Harrison (offensive foul),,40-32,,
2:20.0,,,40-32,,Turnover by E. Moore (bad pass; steal by M. Gasol)
2:14.0,Z. Randolph misses 2-pt shot from 1 ft,,40-32,,
2:14.0,Offensive rebound by Z. Randolph,,40-32,,
2:14.0,Turnover by Z. Randolph (traveling),,40-32,,
2:04.0,,,40-32,,Turnover by E. Moore (traveling)
1:56.0,,,40-32,,Personal foul by D. Cousins (drawn by M. Conley)
1:56.0,,,40-32,,A. Ajinca enters the game for D. Cousins
1:44.0,M. Gasol misses 3-pt shot from 25 ft,,40-32,,
1:43.0,,,40-32,,Defensive rebound by Team
1:32.0,,,40-32,,J. Holiday misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by M. Conley,,40-32,,
1:10.0,V. Carter misses 3-pt shot from 24 ft,,40-32,,
1:10.0,,,40-32,,Defensive rebound by Team
1:02.0,Personal foul by A. Harrison (drawn by A. Davis),,40-32,,
0:57.0,,,40-32,,J. Holiday misses 2-pt shot from 2 ft
0:57.0,,,40-32,,Offensive rebound by A. Davis
0:57.0,,,40-34,2,A. Davis makes 2-pt shot from 2 ft
0:39.0,Shooting foul by E. Moore (drawn by A. Harrison),,40-34,,
0:39.0,A. Harrison misses free throw 1 of 2,,40-34,,
0:39.0,Offensive rebound by Team,,40-34,,
0:39.0,A. Harrison makes free throw 2 of 2,1,41-34,,
0:39.0,,,40-34,,J. Crawford enters the game for S. Hill
0:39.0,B. Wright enters the game for Z. Randolph,,40-34,,
0:30.0,,,41-34,,A. Davis misses 2-pt shot from 17 ft
0:28.0,Defensive rebound by M. Gasol,,41-34,,
0:02.0,M. Conley misses 3-pt shot from 31 ft,,41-34,,
0:02.0,,,41-34,,Defensive rebound by A. Davis
0:00.0,,,41-34,,A. Davis misses 3-pt shot from 46 ft
0:00.0,,,41-34,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,41-34,,Turnover by D. Cousins (lost ball; steal by M. Gasol)
11:16.0,M. Gasol makes 2-pt shot from 19 ft (assist by J. Green),2,43-34,,
11:00.0,,,43-34,,S. Hill misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by W. Selden,,43-34,,
10:47.0,M. Gasol misses 3-pt shot from 24 ft,,43-34,,
10:46.0,,,43-34,,Defensive rebound by A. Davis
10:41.0,Personal foul by J. Green (drawn by A. Davis),,43-34,,
10:32.0,,,43-36,2,A. Davis makes 2-pt shot from 14 ft (assist by S. Hill)
10:14.0,M. Conley makes 3-pt shot from 26 ft,3,46-36,,
9:54.0,,,46-38,2,A. Davis makes 2-pt shot from 10 ft
9:35.0,V. Carter misses 3-pt shot from 25 ft,,46-38,,
9:34.0,,,46-38,,Defensive rebound by Team
9:21.0,,,46-41,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
9:00.0,M. Gasol misses 2-pt shot from 16 ft,,46-41,,
9:00.0,,,46-41,,Defensive rebound by D. Cousins
8:49.0,,,46-41,,Shooting foul by J. Green (drawn by T. Frazier)
8:49.0,,,46-42,1,T. Frazier makes free throw 1 of 2
8:49.0,,,46-43,1,T. Frazier makes free throw 2 of 2
8:49.0,Z. Randolph enters the game for J. Green,,46-42,,
8:34.0,M. Conley misses 3-pt shot from 25 ft,,46-43,,
8:34.0,,,46-43,,Defensive rebound by A. Davis
8:23.0,,,46-45,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Frazier)
8:23.0,Memphis full timeout,,46-45,,
8:06.0,M. Conley misses 2-pt shot from 13 ft,,46-45,,
8:05.0,,,46-45,,Defensive rebound by D. Cousins
7:51.0,,,46-48,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
7:25.0,Turnover by M. Gasol (traveling),,46-48,,
7:25.0,A. Harrison enters the game for W. Selden,,46-48,,
7:15.0,,,46-48,,D. Cousins misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by M. Gasol,,46-48,,
7:02.0,Z. Randolph misses 2-pt shot from 16 ft,,46-48,,
7:02.0,,,46-48,,Defensive rebound by T. Frazier
6:58.0,,,46-50,2,D. Cousins makes 2-pt shot from 4 ft
6:58.0,,,46-50,,Shooting foul by V. Carter (drawn by D. Cousins)
6:58.0,,,46-51,1,D. Cousins makes free throw 1 of 1
6:58.0,B. Wright enters the game for M. Gasol,,46-50,,
6:33.0,M. Conley misses 2-pt shot from 7 ft,,46-51,,
6:32.0,,,46-51,,Defensive rebound by D. Cousins
6:13.0,,,46-51,,S. Hill misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by V. Carter,,46-51,,
6:04.0,,,46-51,,Personal foul by T. Frazier (drawn by V. Carter)
6:04.0,T. Daniels enters the game for M. Conley,,46-51,,
5:58.0,Turnover by A. Harrison (lost ball; steal by T. Frazier),,46-51,,
5:52.0,,,46-53,2,A. Davis makes 2-pt shot at rim (assist by T. Frazier)
5:31.0,Z. Randolph misses 2-pt shot from 16 ft,,46-53,,
5:30.0,,,46-53,,Defensive rebound by T. Frazier
5:14.0,,,46-55,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
5:14.0,Memphis full timeout,,46-55,,
5:14.0,Violation by Team (jump ball),,46-55,,
4:50.0,V. Carter misses 3-pt shot from 26 ft,,46-55,,
4:48.0,,,46-55,,Defensive rebound by D. Cousins
4:41.0,Personal foul by B. Wright (drawn by A. Davis),,46-55,,
4:30.0,,,46-55,,J. Holiday misses 3-pt shot from 23 ft
4:27.0,,,46-55,,Offensive rebound by S. Hill
4:27.0,,,46-57,2,S. Hill makes 2-pt shot at rim
4:19.0,Shooting foul by T. Frazier (drawn by A. Harrison),,46-57,,
4:19.0,A. Harrison makes free throw 1 of 3,1,47-57,,
4:19.0,A. Harrison misses free throw 2 of 3,,47-57,,
4:19.0,Offensive rebound by Team,,47-57,,
4:19.0,A. Harrison makes free throw 3 of 3,1,48-57,,
4:10.0,,,48-57,,Turnover by J. Holiday (bad pass; steal by B. Wright)
4:05.0,B. Wright makes 2-pt shot from 2 ft,2,50-57,,
3:51.0,,,50-57,,A. Davis misses 2-pt shot from 23 ft
3:51.0,Defensive rebound by A. Harrison,,50-57,,
3:41.0,Turnover by Z. Randolph (lost ball),,50-57,,
3:26.0,,,50-60,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday)
3:11.0,Turnover by A. Harrison (bad pass; steal by D. Cousins),,50-60,,
3:06.0,,,50-60,,S. Hill misses 2-pt shot at rim
3:06.0,Defensive rebound by Team,,50-60,,
3:06.0,,,50-60,,Personal foul by A. Davis (drawn by A. Harrison)
3:04.0,,,50-60,,A. Ajinca enters the game for A. Davis
2:45.0,T. Daniels misses 3-pt shot from 24 ft,,50-60,,
2:43.0,,,50-60,,Defensive rebound by D. Cousins
2:30.0,,,50-60,,D. Cousins misses 2-pt shot from 2 ft
2:29.0,,,50-60,,Offensive rebound by A. Ajinca
2:24.0,,,50-62,2,D. Cousins makes 2-pt shot from 2 ft
2:24.0,,,50-62,,Shooting foul by B. Wright (drawn by D. Cousins)
2:24.0,,,50-62,,New Orleans full timeout
2:24.0,,,50-62,,D. Cousins misses free throw 1 of 1
2:24.0,M. Gasol enters the game for V. Carter,,50-62,,
2:24.0,J. Ennis enters the game for Z. Randolph,,50-62,,
2:24.0,M. Conley enters the game for A. Harrison,,50-62,,
2:24.0,,,50-62,,E. Moore enters the game for T. Frazier
2:22.0,Defensive rebound by J. Ennis,,50-62,,
2:04.0,M. Conley makes 2-pt shot from 22 ft (assist by M. Gasol),2,52-62,,
1:48.0,,,52-62,,Offensive charge foul by D. Cousins
1:48.0,,,52-62,,Turnover by D. Cousins (offensive foul)
1:48.0,,,52-62,,A. Davis enters the game for D. Cousins
1:38.0,Turnover by M. Conley (bad pass; steal by J. Holiday),,52-62,,
1:30.0,,,52-62,,J. Holiday misses 2-pt shot from 3 ft
1:28.0,,,52-62,,Offensive rebound by A. Ajinca
1:12.0,,,52-65,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Holiday)
0:47.0,M. Gasol misses 2-pt shot from 20 ft,,52-65,,
0:46.0,,,52-65,,Defensive rebound by A. Davis
0:37.0,Personal foul by B. Wright (drawn by A. Davis),,52-65,,
0:37.0,,,52-65,,A. Davis misses free throw 1 of 2
0:37.0,,,52-65,,Offensive rebound by Team
0:37.0,,,52-66,1,A. Davis makes free throw 2 of 2
0:28.0,M. Conley makes 2-pt shot from 5 ft,2,54-66,,
0:05.0,,,54-66,,E. Moore misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by B. Wright,,54-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,T. Daniels makes 3-pt shot from 23 ft (assist by M. Conley),3,57-66,,
11:37.0,,,57-66,,T. Frazier misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by J. Ennis,,57-66,,
11:22.0,M. Gasol misses 3-pt shot from 27 ft,,57-66,,
11:22.0,,,57-66,,Defensive rebound by A. Davis
11:03.0,,,57-68,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Frazier)
10:45.0,J. Ennis misses 2-pt shot from 1 ft,,57-68,,
10:45.0,,,57-68,,Defensive rebound by A. Ajinca
10:37.0,,,57-68,,T. Frazier misses 2-pt shot from 2 ft
10:35.0,,,57-68,,Offensive rebound by A. Ajinca
10:35.0,,,57-68,,A. Ajinca misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by T. Daniels,,57-68,,
10:27.0,Turnover by M. Gasol (bad pass; steal by S. Hill),,57-68,,
10:24.0,,,57-68,,Turnover by S. Hill (bad pass; steal by J. Ennis)
10:18.0,B. Wright makes 2-pt shot at rim (assist by J. Ennis),2,59-68,,
9:59.0,,,59-68,,A. Ajinca misses 2-pt shot from 5 ft
9:58.0,Defensive rebound by M. Conley,,59-68,,
9:52.0,Shooting foul by A. Ajinca (drawn by M. Conley),,59-68,,
9:52.0,M. Conley makes free throw 1 of 2,1,60-68,,
9:52.0,M. Conley makes free throw 2 of 2,1,61-68,,
9:52.0,J. Green enters the game for B. Wright,,60-68,,
9:33.0,,,61-68,,A. Davis misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by J. Ennis,,61-68,,
9:21.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Gasol),3,64-68,,
9:21.0,,,64-68,,New Orleans full timeout
9:21.0,,,64-68,,D. Cousins enters the game for A. Ajinca
9:21.0,,,64-68,,J. Crawford enters the game for T. Frazier
9:21.0,,,64-68,,J. Holiday enters the game for S. Hill
9:03.0,,,64-71,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cousins)
8:37.0,J. Green misses 2-pt shot from 5 ft (block by D. Cousins),,64-71,,
8:34.0,,,64-71,,Defensive rebound by D. Cousins
8:21.0,,,64-71,,A. Davis misses 2-pt shot from 10 ft
8:20.0,,,64-71,,Offensive rebound by A. Davis
8:18.0,,,64-73,2,A. Davis makes 2-pt shot from 3 ft
8:05.0,Shooting foul by J. Crawford (drawn by J. Green),,64-73,,
8:05.0,J. Green makes free throw 1 of 2,1,65-73,,
8:05.0,J. Green makes free throw 2 of 2,1,66-73,,
8:05.0,V. Carter enters the game for M. Conley,,65-73,,
8:05.0,A. Harrison enters the game for T. Daniels,,65-73,,
7:56.0,,,66-75,2,D. Cousins makes 2-pt shot from 2 ft
7:56.0,,,66-75,,Shooting foul by M. Gasol (drawn by D. Cousins)
7:56.0,,,66-76,1,D. Cousins makes free throw 1 of 1
7:43.0,J. Green makes 2-pt shot from 17 ft,2,68-76,,
7:43.0,Shooting foul by D. Cousins (drawn by J. Green),,68-76,,
7:43.0,J. Green makes free throw 1 of 1,1,69-76,,
7:33.0,,,69-76,,J. Crawford misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by J. Ennis,,69-76,,
7:23.0,J. Ennis misses 3-pt shot from 26 ft,,69-76,,
7:22.0,,,69-76,,Defensive rebound by D. Cousins
7:04.0,,,69-76,,D. Cousins misses 2-pt shot from 7 ft (block by M. Gasol)
7:02.0,Defensive rebound by M. Gasol,,69-76,,
6:52.0,Offensive foul by A. Harrison,,69-76,,
6:52.0,Turnover by A. Harrison (offensive foul),,69-76,,
6:34.0,,,69-78,2,J. Holiday makes 2-pt shot from 6 ft
6:07.0,M. Gasol makes 2-pt shot at rim,2,71-78,,
6:01.0,,,71-80,2,J. Crawford makes 2-pt shot from 2 ft (assist by E. Moore)
5:48.0,J. Green misses 3-pt shot from 25 ft,,71-80,,
5:47.0,,,71-80,,Defensive rebound by J. Crawford
5:31.0,,,71-80,,J. Holiday misses 2-pt shot from 2 ft
5:31.0,,,71-80,,Offensive rebound by D. Cousins
5:31.0,,,71-82,2,D. Cousins makes 2-pt shot from 2 ft
5:31.0,,,71-82,,Shooting foul by J. Ennis (drawn by D. Cousins)
5:31.0,Official timeout,,71-82,,
5:31.0,,,71-83,1,D. Cousins makes free throw 1 of 1
5:31.0,M. Conley enters the game for J. Ennis,,71-82,,
5:31.0,T. Daniels enters the game for A. Harrison,,71-82,,
5:16.0,M. Gasol misses 2-pt shot from 1 ft,,71-83,,
5:15.0,,,71-83,,Defensive rebound by D. Cousins
4:58.0,,,71-85,2,D. Cousins makes 2-pt shot from 1 ft
4:58.0,,,71-85,,Shooting foul by J. Green (drawn by D. Cousins)
4:58.0,,,71-86,1,D. Cousins makes free throw 1 of 1
4:52.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley),3,74-86,,
4:29.0,,,74-86,,J. Holiday misses 3-pt shot from 25 ft
4:28.0,,,74-86,,Offensive rebound by A. Davis
4:28.0,,,74-88,2,A. Davis makes 2-pt shot at rim
4:10.0,J. Green makes 3-pt shot from 24 ft (assist by V. Carter),3,77-88,,
3:54.0,,,77-88,,D. Cousins misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by V. Carter,,77-88,,
3:43.0,M. Conley misses 2-pt shot from 8 ft,,77-88,,
3:43.0,Offensive rebound by Team,,77-88,,
3:43.0,,,77-88,,S. Hill enters the game for E. Moore
3:39.0,J. Green makes 2-pt shot from 2 ft (assist by V. Carter),2,79-88,,
3:20.0,,,79-88,,S. Hill misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by M. Conley,,79-88,,
3:06.0,T. Daniels makes 3-pt shot from 27 ft (assist by M. Conley),3,82-88,,
2:40.0,,,82-90,2,D. Cousins makes 2-pt shot from 2 ft
2:28.0,T. Daniels misses 3-pt shot from 26 ft,,82-90,,
2:28.0,,,82-90,,Defensive rebound by A. Davis
2:07.0,,,82-93,3,J. Crawford makes 3-pt shot from 27 ft (assist by J. Holiday)
1:43.0,M. Conley misses 3-pt shot from 23 ft,,82-93,,
1:43.0,,,82-93,,Defensive rebound by J. Holiday
1:20.0,,,82-93,,D. Cousins misses 3-pt shot from 27 ft
1:19.0,Defensive rebound by J. Green,,82-93,,
1:12.0,V. Carter misses 3-pt shot from 26 ft,,82-93,,
1:10.0,,,82-93,,Defensive rebound by J. Crawford
