time,Denver,pts.away,score,pts.home,Miami
1:18.0,W. Chandler makes 2-pt shot from 18 ft (assist by E. Mudiay),2,35-23,,
1:06.0,,,35-23,,J. Johnson misses 2-pt shot from 15 ft
1:05.0,Defensive rebound by W. Chandler,,35-23,,
1:00.0,E. Mudiay misses 2-pt shot from 2 ft (block by T. Johnson),,35-23,,
0:59.0,,,35-23,,Defensive rebound by J. Johnson
0:54.0,,,35-25,2,J. Johnson makes 2-pt shot from 2 ft
0:47.0,,,35-25,,Personal foul by W. Reed (drawn by M. Plumlee)
0:47.0,M. Plumlee makes free throw 1 of 2,1,36-25,,
0:47.0,M. Plumlee makes free throw 2 of 2,1,37-25,,
0:47.0,J. Murray enters the game for D. Gallinari,,36-25,,
0:47.0,J. Hernangomez enters the game for G. Harris,,36-25,,
0:36.0,,,37-25,,Shooting foul by E. Mudiay (drawn by G. Dragic)
0:36.0,,,37-26,1,G. Dragic makes free throw 1 of 3
0:36.0,,,37-27,1,G. Dragic makes free throw 2 of 3
0:36.0,,,37-28,1,G. Dragic makes free throw 3 of 3
0:22.0,Shooting foul by J. Johnson (drawn by M. Plumlee),,37-28,,
0:22.0,M. Plumlee misses free throw 1 of 2,,37-28,,
0:22.0,Offensive rebound by Team,,37-28,,
0:22.0,M. Plumlee misses free throw 2 of 2,,37-28,,
0:22.0,,,37-28,,Defensive rebound by O. White
0:22.0,,,37-28,,W. Ellington enters the game for J. Johnson
0:05.0,,,37-30,2,G. Dragic makes 2-pt shot from 7 ft
0:01.0,E. Mudiay misses 2-pt shot from 17 ft,,37-30,,
0:00.0,,,37-30,,Defensive rebound by W. Reed
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,W. Chandler makes 2-pt shot from 2 ft (assist by E. Mudiay),2,39-30,,
11:29.0,,,39-30,,T. Johnson misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by M. Plumlee,,39-30,,
11:18.0,E. Mudiay misses 2-pt shot from 2 ft,,39-30,,
11:17.0,,,39-30,,Defensive rebound by W. Reed
11:12.0,,,39-32,2,W. Reed makes 2-pt shot at rim (assist by G. Dragic)
10:56.0,W. Chandler makes 2-pt shot from 2 ft (assist by M. Plumlee),2,41-32,,
10:36.0,,,41-34,2,W. Ellington makes 2-pt shot from 16 ft (assist by T. Johnson)
10:17.0,W. Chandler makes 2-pt shot from 12 ft,2,43-34,,
9:54.0,,,43-37,3,W. Ellington makes 3-pt shot from 25 ft (assist by O. White)
9:47.0,W. Chandler misses 2-pt shot from 17 ft,,43-37,,
9:46.0,,,43-37,,Defensive rebound by W. Reed
9:40.0,,,43-37,,G. Dragic misses 2-pt shot from 1 ft
9:39.0,,,43-37,,Offensive rebound by W. Reed
9:38.0,,,43-39,2,W. Reed makes 2-pt shot from 1 ft
9:37.0,Denver full timeout,,43-39,,
9:37.0,,,43-39,,J. Johnson enters the game for O. White
9:16.0,M. Plumlee makes 2-pt shot at rim (assist by E. Mudiay),2,45-39,,
8:57.0,,,45-39,,W. Ellington misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by M. Plumlee,,45-39,,
8:44.0,M. Plumlee misses 2-pt shot from 8 ft,,45-39,,
8:43.0,Offensive rebound by W. Chandler,,45-39,,
8:37.0,J. Murray misses 3-pt shot from 25 ft,,45-39,,
8:36.0,,,45-39,,Defensive rebound by T. Johnson
8:16.0,,,45-39,,G. Dragic misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by W. Chandler,,45-39,,
8:04.0,E. Mudiay makes 2-pt shot from 8 ft,2,47-39,,
7:57.0,,,47-39,,Miami full timeout
7:57.0,K. Faried enters the game for J. Murray,,47-39,,
7:57.0,G. Harris enters the game for J. Hernangomez,,47-39,,
7:57.0,,,47-39,,J. Richardson enters the game for T. Johnson
7:45.0,,,47-41,2,W. Reed makes 2-pt shot at rim (assist by G. Dragic)
7:31.0,M. Plumlee makes 2-pt shot at rim (assist by E. Mudiay),2,49-41,,
7:10.0,,,49-41,,H. Whiteside enters the game for W. Reed
7:10.0,D. Gallinari enters the game for W. Chandler,,49-41,,
7:00.0,,,49-41,,W. Ellington misses 2-pt shot from 17 ft
6:59.0,,,49-41,,Offensive rebound by H. Whiteside
6:59.0,,,49-41,,Shooting foul by K. Faried (drawn by H. Whiteside)
6:59.0,,,49-42,1,H. Whiteside makes free throw 1 of 2
6:59.0,,,49-43,1,H. Whiteside makes free throw 2 of 2
6:59.0,N. Jokic enters the game for M. Plumlee,,49-42,,
6:44.0,Shooting foul by W. Ellington (drawn by G. Harris),,49-43,,
6:44.0,G. Harris makes free throw 1 of 2,1,50-43,,
6:44.0,G. Harris makes free throw 2 of 2,1,51-43,,
6:26.0,,,51-45,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson)
6:18.0,Turnover by E. Mudiay (step out of bounds),,51-45,,
6:05.0,,,51-45,,W. Ellington misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by N. Jokic,,51-45,,
5:49.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,53-45,,
5:41.0,,,53-45,,Shooting foul by G. Harris (drawn by G. Dragic)
5:41.0,,,53-47,2,G. Dragic makes 2-pt shot from 14 ft
5:41.0,,,53-47,,G. Dragic misses free throw 1 of 1
5:41.0,,,53-47,,R. McGruder enters the game for W. Ellington
5:40.0,Defensive rebound by D. Gallinari,,53-47,,
5:27.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,55-47,,
5:15.0,,,55-49,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
5:04.0,,,55-49,,Personal foul by G. Dragic (drawn by E. Mudiay)
5:04.0,E. Mudiay makes free throw 1 of 3,1,56-49,,
5:04.0,E. Mudiay makes free throw 2 of 3,1,57-49,,
5:04.0,E. Mudiay makes free throw 3 of 3,1,58-49,,
5:04.0,,,57-49,,T. Johnson enters the game for G. Dragic
4:49.0,,,58-51,2,R. McGruder makes 2-pt shot from 11 ft
4:39.0,K. Faried misses 2-pt shot from 8 ft,,58-51,,
4:38.0,,,58-51,,Defensive rebound by H. Whiteside
4:29.0,,,58-51,,Turnover by R. McGruder (lost ball; steal by N. Jokic)
4:27.0,Shooting foul by J. Richardson (drawn by E. Mudiay),,58-51,,
4:27.0,E. Mudiay makes free throw 1 of 2,1,59-51,,
4:27.0,E. Mudiay makes free throw 2 of 2,1,60-51,,
4:09.0,,,60-51,,Turnover by T. Johnson (bad pass; steal by N. Jokic)
4:04.0,E. Mudiay misses 2-pt shot from 2 ft,,60-51,,
4:03.0,,,60-51,,Defensive rebound by R. McGruder
3:55.0,,,60-53,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson)
3:44.0,W. Chandler enters the game for K. Faried,,60-53,,
3:29.0,N. Jokic misses 2-pt shot from 8 ft,,60-53,,
3:28.0,,,60-53,,Defensive rebound by R. McGruder
3:26.0,,,60-53,,T. Johnson misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by Team,,60-53,,
3:24.0,,,60-53,,Loose ball foul by H. Whiteside (drawn by W. Chandler)
3:24.0,J. Murray enters the game for E. Mudiay,,60-53,,
3:16.0,J. Murray makes 2-pt shot from 11 ft,2,62-53,,
3:04.0,,,62-55,2,J. Johnson makes 2-pt shot from 2 ft
2:44.0,N. Jokic makes 2-pt shot from 6 ft (assist by W. Chandler),2,64-55,,
2:34.0,,,64-55,,Turnover by J. Johnson (bad pass; steal by J. Murray)
2:27.0,G. Harris misses 2-pt shot from 2 ft (block by J. Richardson),,64-55,,
2:26.0,,,64-55,,Defensive rebound by R. McGruder
2:21.0,,,64-57,2,H. Whiteside makes 2-pt shot from 1 ft (assist by R. McGruder)
2:10.0,G. Harris misses 2-pt shot from 2 ft,,64-57,,
2:09.0,,,64-57,,Defensive rebound by J. Johnson
1:58.0,,,64-57,,J. Richardson misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by N. Jokic,,64-57,,
1:48.0,,,64-57,,Personal foul by R. McGruder (drawn by D. Gallinari)
1:48.0,Official timeout,,64-57,,
1:48.0,D. Gallinari makes free throw 1 of 2,1,65-57,,
1:48.0,D. Gallinari makes free throw 2 of 2,1,66-57,,
1:48.0,,,64-57,,G. Dragic enters the game for J. Richardson
1:48.0,,,64-57,,L. Babbitt enters the game for J. Johnson
1:28.0,,,66-57,,G. Dragic misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by J. Murray,,66-57,,
1:19.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,68-57,,
1:09.0,,,68-57,,Shooting foul by J. Murray (drawn by T. Johnson)
1:09.0,,,68-57,,T. Johnson misses free throw 1 of 2
1:09.0,,,68-57,,Offensive rebound by Team
1:09.0,,,68-58,1,T. Johnson makes free throw 2 of 2
1:09.0,,,68-57,,W. Reed enters the game for H. Whiteside
1:09.0,,,68-57,,J. Richardson enters the game for G. Dragic
1:09.0,,,68-57,,O. White enters the game for L. Babbitt
0:52.0,G. Harris misses 3-pt shot from 26 ft,,68-58,,
0:42.0,,,68-58,,Defensive rebound by W. Reed
0:36.0,,,68-58,,W. Reed misses 2-pt shot from 5 ft
0:35.0,Defensive rebound by N. Jokic,,68-58,,
0:23.0,D. Gallinari misses 2-pt shot from 6 ft,,68-58,,
0:21.0,,,68-58,,Defensive rebound by O. White
0:19.0,,,68-58,,Miami full timeout
0:19.0,M. Plumlee enters the game for N. Jokic,,68-58,,
0:19.0,,,68-58,,L. Babbitt enters the game for J. Richardson
0:19.0,,,68-58,,G. Dragic enters the game for T. Johnson
0:19.0,,,68-58,,W. Ellington enters the game for O. White
0:01.0,,,68-58,,Turnover by G. Dragic (bad pass; steal by G. Harris)
0:00.0,G. Harris misses 3-pt shot from 50 ft,,68-58,,
0:00.0,Offensive rebound by Team,,68-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by J. Murray (bad pass; steal by L. Babbitt),,68-58,,
11:42.0,,,68-60,2,G. Dragic makes 2-pt shot from 3 ft
11:23.0,J. Murray misses 2-pt shot from 3 ft (block by J. Richardson),,68-60,,
11:22.0,,,68-60,,Defensive rebound by L. Babbitt
11:14.0,,,68-60,,G. Dragic misses 2-pt shot from 22 ft
11:13.0,Defensive rebound by J. Murray,,68-60,,
10:52.0,K. Faried misses 2-pt shot from 8 ft,,68-60,,
10:51.0,,,68-60,,Defensive rebound by H. Whiteside
10:44.0,,,68-62,2,G. Dragic makes 2-pt shot from 16 ft (assist by H. Whiteside)
10:20.0,D. Gallinari makes 2-pt shot from 19 ft (assist by K. Faried),2,70-62,,
9:57.0,,,70-62,,L. Babbitt misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by D. Gallinari,,70-62,,
9:45.0,D. Gallinari makes 2-pt shot from 2 ft,2,72-62,,
9:28.0,,,72-62,,R. McGruder misses 2-pt shot from 6 ft
9:27.0,,,72-62,,Offensive rebound by H. Whiteside
9:24.0,,,72-62,,H. Whiteside misses 2-pt shot from 2 ft (block by K. Faried)
9:23.0,Defensive rebound by D. Gallinari,,72-62,,
9:16.0,K. Faried misses 2-pt shot from 1 ft,,72-62,,
9:15.0,,,72-62,,Defensive rebound by L. Babbitt
9:10.0,,,72-62,,Shooting foul by D. Gallinari (drawn by R. McGruder)
9:10.0,,,72-63,1,R. McGruder makes free throw 1 of 2
9:10.0,,,72-64,1,R. McGruder makes free throw 2 of 2
8:55.0,D. Gallinari makes 3-pt shot from 26 ft (assist by K. Faried),3,75-64,,
8:35.0,,,75-67,3,L. Babbitt makes 3-pt shot from 24 ft (assist by R. McGruder)
8:21.0,N. Jokic misses 3-pt shot from 24 ft,,75-67,,
8:20.0,,,75-67,,Defensive rebound by H. Whiteside
8:09.0,,,75-70,3,R. McGruder makes 3-pt shot from 25 ft (assist by L. Babbitt)
8:09.0,Denver full timeout,,75-70,,
8:03.0,,,75-70,,Personal foul by J. Richardson (drawn by D. Gallinari)
7:57.0,N. Jokic makes 2-pt shot from 20 ft (assist by D. Gallinari),2,77-70,,
7:42.0,,,77-73,3,L. Babbitt makes 3-pt shot from 25 ft (assist by H. Whiteside)
7:29.0,N. Jokic misses 2-pt shot from 7 ft,,77-73,,
7:28.0,,,77-73,,Defensive rebound by R. McGruder
7:22.0,,,77-75,2,R. McGruder makes 2-pt shot at rim
7:03.0,N. Jokic misses 2-pt shot from 3 ft (block by H. Whiteside),,77-75,,
7:02.0,,,77-75,,Defensive rebound by J. Richardson
6:51.0,,,77-75,,R. McGruder misses 2-pt shot from 13 ft
6:50.0,Defensive rebound by K. Faried,,77-75,,
6:38.0,J. Murray makes 2-pt shot from 11 ft,2,79-75,,
6:23.0,,,79-75,,Turnover by G. Dragic (bad pass; steal by K. Faried)
6:12.0,D. Gallinari misses 2-pt shot from 21 ft,,79-75,,
6:11.0,,,79-75,,Defensive rebound by R. McGruder
6:02.0,,,79-75,,J. Richardson misses 2-pt shot from 2 ft
6:01.0,,,79-75,,Offensive rebound by J. Richardson
6:01.0,,,79-75,,Shooting foul by J. Murray (drawn by J. Richardson)
6:01.0,,,79-75,,J. Richardson misses free throw 1 of 2
6:01.0,,,79-75,,Offensive rebound by Team
6:01.0,,,79-76,1,J. Richardson makes free throw 2 of 2
6:01.0,W. Chandler enters the game for K. Faried,,79-75,,
5:43.0,W. Chandler misses 3-pt shot from 24 ft,,79-76,,
5:42.0,,,79-76,,Defensive rebound by H. Whiteside
5:29.0,,,79-76,,Shooting foul by W. Chandler (drawn by H. Whiteside)
5:29.0,,,79-76,,H. Whiteside misses free throw 1 of 2
5:29.0,,,79-76,,Offensive rebound by Team
5:29.0,,,79-77,1,H. Whiteside makes free throw 2 of 2
5:29.0,,,79-76,,J. Johnson enters the game for L. Babbitt
5:29.0,,,79-76,,T. Johnson enters the game for J. Richardson
5:29.0,E. Mudiay enters the game for J. Murray,,79-76,,
5:16.0,G. Harris misses 3-pt shot from 25 ft,,79-77,,
5:15.0,,,79-77,,Defensive rebound by Team
5:02.0,,,79-79,2,G. Dragic makes 2-pt shot from 10 ft
4:49.0,E. Mudiay makes 2-pt shot from 1 ft,2,81-79,,
4:29.0,,,81-79,,H. Whiteside misses 2-pt shot from 2 ft
4:28.0,Defensive rebound by W. Chandler,,81-79,,
4:18.0,D. Gallinari misses 3-pt shot from 24 ft,,81-79,,
4:17.0,Offensive rebound by G. Harris,,81-79,,
4:07.0,D. Gallinari makes 2-pt shot from 12 ft (assist by E. Mudiay),2,83-79,,
4:07.0,,,83-79,,Miami full timeout
3:52.0,,,83-79,,J. Johnson misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by E. Mudiay,,83-79,,
3:39.0,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari),2,85-79,,
3:22.0,,,85-82,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson)
2:55.0,D. Gallinari makes 2-pt shot from 16 ft,2,87-82,,
2:42.0,Personal foul by E. Mudiay (drawn by T. Johnson),,87-82,,
2:42.0,,,87-82,,W. Reed enters the game for H. Whiteside
2:42.0,,,87-82,,J. Richardson enters the game for R. McGruder
2:42.0,M. Plumlee enters the game for N. Jokic,,87-82,,
2:28.0,,,87-85,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
2:16.0,Shooting foul by J. Johnson (drawn by D. Gallinari),,87-85,,
2:16.0,D. Gallinari makes free throw 1 of 2,1,88-85,,
2:16.0,D. Gallinari makes free throw 2 of 2,1,89-85,,
2:08.0,,,89-85,,W. Reed misses 2-pt shot from 5 ft
2:07.0,,,89-85,,Offensive rebound by W. Reed
2:06.0,,,89-87,2,W. Reed makes 2-pt shot at rim
1:42.0,W. Chandler misses 2-pt shot from 2 ft (block by J. Richardson),,89-87,,
1:41.0,Offensive rebound by Team,,89-87,,
1:41.0,J. Murray enters the game for G. Harris,,89-87,,
1:38.0,D. Gallinari misses 3-pt shot from 24 ft,,89-87,,
1:37.0,Offensive rebound by W. Chandler,,89-87,,
1:36.0,W. Chandler makes 2-pt shot from 1 ft,2,91-87,,
1:11.0,,,91-87,,G. Dragic misses 2-pt shot from 19 ft
1:10.0,,,91-87,,Offensive rebound by Team
1:10.0,,,91-87,,Turnover by Team (shot clock)
1:10.0,,,91-87,,W. Ellington enters the game for G. Dragic
0:59.0,,,91-87,,Personal foul by W. Ellington (drawn by E. Mudiay)
0:59.0,E. Mudiay makes free throw 1 of 3,1,92-87,,
0:59.0,E. Mudiay misses free throw 2 of 3,,92-87,,
0:59.0,Offensive rebound by Team,,92-87,,
0:59.0,E. Mudiay makes free throw 3 of 3,1,93-87,,
0:48.0,,,93-87,,W. Reed misses 2-pt shot at rim (block by M. Plumlee)
0:47.0,Defensive rebound by D. Gallinari,,93-87,,
0:45.0,Turnover by D. Gallinari (bad pass),,93-87,,
0:30.0,,,93-87,,Turnover by T. Johnson (lost ball; steal by D. Gallinari)
0:10.0,J. Murray misses 3-pt shot from 26 ft,,93-87,,
0:09.0,,,93-87,,Defensive rebound by T. Johnson
0:01.0,,,93-87,,W. Ellington misses 3-pt shot from 26 ft
0:00.0,,,93-87,,Offensive rebound by J. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,93-87,,Shooting foul by M. Plumlee (drawn by T. Johnson)
11:38.0,,,93-88,1,T. Johnson makes free throw 1 of 2
11:38.0,,,93-89,1,T. Johnson makes free throw 2 of 2
11:19.0,M. Plumlee misses 2-pt shot from 12 ft,,93-89,,
11:18.0,,,93-89,,Defensive rebound by W. Reed
11:09.0,,,93-89,,T. Johnson misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by W. Chandler,,93-89,,
10:55.0,W. Chandler misses 2-pt shot from 2 ft (block by W. Reed),,93-89,,
10:54.0,,,93-89,,Defensive rebound by W. Ellington
10:47.0,,,93-89,,J. Johnson misses 2-pt shot from 5 ft
10:43.0,Jump ball: K. Faried vs. W. Reed (T. Johnson gains possession),,,,Jump ball: K. Faried vs. W. Reed (T. Johnson gains possession)
10:43.0,,,93-89,,Offensive rebound by Team
10:31.0,,,93-91,2,W. Ellington makes 2-pt shot from 20 ft
10:14.0,Turnover by E. Mudiay (lost ball; steal by W. Reed),,93-91,,
10:08.0,,,93-94,3,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson)
10:08.0,Denver full timeout,,93-94,,
10:08.0,N. Jokic enters the game for M. Plumlee,,93-94,,
9:44.0,K. Faried makes 2-pt shot from 9 ft,2,95-94,,
9:27.0,,,95-94,,W. Ellington misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by J. Murray,,95-94,,
9:17.0,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic),2,97-94,,
9:01.0,,,97-94,,Shooting foul by J. Murray (drawn by T. Johnson)
9:01.0,,,97-96,2,T. Johnson makes 2-pt shot from 4 ft
9:01.0,,,97-97,1,T. Johnson makes free throw 1 of 1
8:51.0,Shooting foul by W. Reed (drawn by W. Chandler),,97-97,,
8:51.0,W. Chandler makes free throw 1 of 2,1,98-97,,
8:51.0,W. Chandler makes free throw 2 of 2,1,99-97,,
8:38.0,,,99-100,3,J. Richardson makes 3-pt shot from 25 ft (assist by T. Johnson)
8:10.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,101-100,,
7:49.0,,,101-100,,T. Johnson misses 2-pt shot from 8 ft (block by J. Murray)
7:48.0,Defensive rebound by W. Chandler,,101-100,,
7:43.0,E. Mudiay makes 2-pt shot from 1 ft (assist by W. Chandler),2,103-100,,
7:20.0,,,103-100,,Turnover by W. Reed (lost ball; steal by J. Murray)
7:17.0,Turnover by J. Murray (step out of bounds),,103-100,,
7:17.0,,,103-100,,O. White enters the game for T. Johnson
7:17.0,,,103-100,,G. Dragic enters the game for J. Johnson
7:17.0,,,103-100,,H. Whiteside enters the game for W. Reed
7:17.0,G. Harris enters the game for J. Murray,,103-100,,
6:58.0,,,103-102,2,J. Richardson makes 2-pt shot from 1 ft
6:43.0,,,103-102,,Personal foul by J. Richardson (drawn by N. Jokic)
6:43.0,D. Gallinari enters the game for W. Chandler,,103-102,,
6:43.0,,,103-102,,R. McGruder enters the game for W. Ellington
6:33.0,N. Jokic misses 3-pt shot from 23 ft,,103-102,,
6:32.0,,,103-102,,Defensive rebound by R. McGruder
6:21.0,,,103-102,,R. McGruder misses 3-pt shot from 25 ft
6:20.0,,,103-102,,Offensive rebound by H. Whiteside
6:06.0,,,103-102,,H. Whiteside misses 2-pt shot from 4 ft
6:05.0,Defensive rebound by G. Harris,,103-102,,
6:01.0,Turnover by G. Harris (lost ball; steal by J. Richardson),,103-102,,
5:56.0,Personal foul by K. Faried (drawn by O. White),,103-102,,
5:56.0,Official timeout,,103-102,,
5:56.0,W. Chandler enters the game for K. Faried,,103-102,,
5:45.0,,,103-102,,Turnover by J. Richardson (bad pass; steal by G. Harris)
5:34.0,D. Gallinari misses 3-pt shot from 25 ft,,103-102,,
5:33.0,,,103-102,,Defensive rebound by O. White
5:18.0,,,103-102,,O. White misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by E. Mudiay,,103-102,,
5:09.0,E. Mudiay misses 2-pt shot from 12 ft,,103-102,,
5:08.0,,,103-102,,Defensive rebound by J. Richardson
4:45.0,,,103-102,,G. Dragic misses 2-pt shot from 24 ft
4:44.0,Defensive rebound by E. Mudiay,,103-102,,
4:40.0,G. Harris makes 2-pt shot from 2 ft (assist by E. Mudiay),2,105-102,,
4:24.0,,,105-102,,J. Richardson misses 2-pt shot from 9 ft
