time,New Orleans,pts.away,score,pts.home,Boston
3:49.0,Offensive rebound by S. Hill,,21-15,,
3:49.0,S. Hill makes 2-pt shot at rim,2,23-15,,
3:29.0,,,23-15,,J. Crowder misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by D. Cunningham,,23-15,,
3:09.0,A. Davis makes 2-pt shot from 3 ft,2,25-15,,
3:04.0,Personal foul by B. Hield (drawn by I. Thomas),,25-15,,
3:04.0,E. Moore enters the game for S. Hill,,25-15,,
3:04.0,T. Jones enters the game for D. Cunningham,,25-15,,
3:04.0,,,25-15,,J. Brown enters the game for A. Horford
3:04.0,,,25-15,,T. Rozier enters the game for J. Crowder
3:04.0,,,25-15,,J. Jerebko enters the game for I. Thomas
2:55.0,,,25-15,,Boston full timeout
2:55.0,L. Galloway enters the game for B. Hield,,25-15,,
2:47.0,,,25-15,,J. Jerebko misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by A. Davis,,25-15,,
2:28.0,Turnover by J. Holiday (bad pass; steal by T. Rozier),,25-15,,
2:23.0,,,25-17,2,T. Rozier makes 2-pt shot at rim
2:06.0,,,25-17,,Personal foul by J. Jerebko (drawn by A. Davis)
1:59.0,E. Moore misses 3-pt shot from 24 ft,,25-17,,
1:58.0,,,25-17,,Defensive rebound by J. Jerebko
1:48.0,,,25-19,2,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Rozier)
1:36.0,A. Davis misses 2-pt shot from 11 ft,,25-19,,
1:36.0,Offensive rebound by A. Davis,,25-19,,
1:35.0,A. Davis makes 2-pt shot from 1 ft,2,27-19,,
1:35.0,Shooting foul by K. Olynyk (drawn by A. Davis),,27-19,,
1:35.0,A. Davis makes free throw 1 of 1,1,28-19,,
1:35.0,T. Evans enters the game for J. Holiday,,27-19,,
1:15.0,,,28-22,3,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart)
1:02.0,Turnover by E. Moore (bad pass; steal by M. Smart),,28-22,,
0:59.0,D. Motiejunas enters the game for A. Davis,,28-22,,
0:58.0,,,28-24,2,M. Smart makes 2-pt shot from 6 ft (assist by J. Brown)
0:58.0,,,28-24,,Shooting foul by L. Galloway (drawn by M. Smart)
0:58.0,,,28-25,1,M. Smart makes free throw 1 of 1
0:47.0,L. Galloway misses 2-pt shot from 22 ft,,28-25,,
0:45.0,,,28-25,,Defensive rebound by J. Brown
0:42.0,,,28-25,,J. Brown misses 2-pt shot from 4 ft (block by T. Evans)
0:41.0,,,28-25,,Offensive rebound by Team
0:40.0,,,28-28,3,M. Smart makes 3-pt shot from 24 ft
0:17.0,E. Moore makes 2-pt shot from 19 ft,2,30-28,,
0:17.0,Shooting foul by J. Brown (drawn by E. Moore),,30-28,,
0:17.0,E. Moore makes free throw 1 of 1,1,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,31-28,,J. Brown misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by D. Motiejunas,,31-28,,
11:40.0,Shooting foul by G. Green (drawn by T. Evans),,31-28,,
11:40.0,T. Evans makes free throw 1 of 2,1,32-28,,
11:40.0,T. Evans makes free throw 2 of 2,1,33-28,,
11:28.0,,,33-28,,Shooting foul by T. Evans (drawn by G. Green)
11:28.0,,,33-29,1,G. Green makes free throw 1 of 2
11:28.0,,,33-30,1,G. Green makes free throw 2 of 2
11:16.0,L. Galloway makes 2-pt shot from 18 ft (assist by D. Motiejunas),2,35-30,,
11:03.0,,,35-30,,G. Green misses 3-pt shot from 27 ft
11:02.0,Defensive rebound by Team,,35-30,,
10:49.0,Shooting foul by G. Green (drawn by D. Motiejunas),,35-30,,
10:49.0,D. Motiejunas misses free throw 1 of 2,,35-30,,
10:49.0,Offensive rebound by Team,,35-30,,
10:49.0,D. Motiejunas misses free throw 2 of 2,,35-30,,
10:49.0,,,35-30,,Defensive rebound by K. Olynyk
10:49.0,,,35-30,,I. Thomas enters the game for T. Rozier
10:35.0,,,35-30,,K. Olynyk misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by D. Motiejunas,,35-30,,
10:29.0,E. Moore misses 3-pt shot from 25 ft,,35-30,,
10:28.0,,,35-30,,Defensive rebound by J. Brown
10:20.0,,,35-30,,I. Thomas misses 3-pt shot from 28 ft
10:19.0,,,35-30,,Offensive rebound by J. Jerebko
10:16.0,,,35-33,3,G. Green makes 3-pt shot from 26 ft (assist by K. Olynyk)
9:59.0,L. Galloway misses 3-pt shot from 26 ft,,35-33,,
9:58.0,,,35-33,,Defensive rebound by J. Jerebko
9:49.0,,,35-33,,Turnover by I. Thomas (bad pass; steal by T. Evans)
9:38.0,T. Evans misses 3-pt shot from 26 ft,,35-33,,
9:37.0,,,35-33,,Defensive rebound by J. Jerebko
9:22.0,,,35-33,,Offensive charge foul by J. Brown
9:22.0,,,35-33,,Turnover by J. Brown (offensive foul)
9:17.0,Offensive charge foul by T. Evans,,35-33,,
9:17.0,Turnover by T. Evans (offensive foul),,35-33,,
9:03.0,,,35-33,,J. Brown misses 2-pt shot from 3 ft
9:02.0,Defensive rebound by L. Galloway,,35-33,,
8:44.0,T. Evans makes 2-pt shot at rim,2,37-33,,
8:33.0,,,37-33,,Shooting foul by D. Motiejunas (drawn by I. Thomas)
8:33.0,Official timeout,,37-33,,
8:33.0,,,37-34,1,I. Thomas makes free throw 1 of 2
8:33.0,,,37-35,1,I. Thomas makes free throw 2 of 2
8:33.0,,,37-33,,A. Horford enters the game for K. Olynyk
8:12.0,T. Jones misses 2-pt shot from 8 ft,,37-35,,
8:12.0,,,37-35,,Defensive rebound by J. Brown
8:02.0,,,37-35,,J. Brown misses 2-pt shot from 12 ft
8:01.0,Defensive rebound by T. Evans,,37-35,,
7:51.0,D. Motiejunas makes 3-pt shot from 27 ft (assist by T. Evans),3,40-35,,
7:31.0,,,40-37,2,G. Green makes 2-pt shot from 18 ft
7:17.0,L. Galloway misses 2-pt shot from 21 ft,,40-37,,
7:16.0,,,40-37,,Defensive rebound by A. Horford
7:05.0,,,40-39,2,J. Jerebko makes 2-pt shot from 2 ft
6:44.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by E. Moore),2,42-39,,
6:39.0,,,42-39,,J. Crowder enters the game for J. Brown
6:39.0,A. Davis enters the game for T. Jones,,42-39,,
6:39.0,J. Holiday enters the game for L. Galloway,,42-39,,
6:35.0,,,42-42,3,G. Green makes 3-pt shot from 26 ft (assist by J. Crowder)
6:23.0,J. Holiday makes 2-pt shot from 11 ft,2,44-42,,
6:09.0,,,44-42,,A. Horford misses 2-pt shot from 1 ft
6:07.0,,,44-42,,Offensive rebound by A. Horford
6:07.0,,,44-42,,A. Horford misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by T. Evans,,44-42,,
6:02.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,46-42,,
6:02.0,Shooting foul by J. Jerebko (drawn by A. Davis),,46-42,,
6:02.0,A. Davis makes free throw 1 of 1,1,47-42,,
6:02.0,,,46-42,,A. Johnson enters the game for J. Jerebko
5:48.0,,,47-42,,A. Horford misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by D. Motiejunas,,47-42,,
5:38.0,E. Moore makes 2-pt shot from 7 ft,2,49-42,,
5:35.0,,,49-42,,Boston full timeout
5:35.0,,,49-42,,M. Smart enters the game for G. Green
5:35.0,B. Hield enters the game for T. Evans,,49-42,,
5:35.0,D. Cunningham enters the game for D. Motiejunas,,49-42,,
5:24.0,,,49-42,,J. Crowder misses 3-pt shot from 27 ft
5:23.0,Defensive rebound by D. Cunningham,,49-42,,
5:06.0,Offensive charge foul by D. Cunningham,,49-42,,
5:06.0,Turnover by D. Cunningham (offensive foul),,49-42,,
4:46.0,,,49-45,3,M. Smart makes 3-pt shot from 27 ft (assist by A. Horford)
4:33.0,A. Davis misses 2-pt shot from 3 ft,,49-45,,
4:32.0,,,49-45,,Defensive rebound by A. Horford
4:20.0,,,49-47,2,A. Johnson makes 2-pt shot at rim (assist by A. Horford)
4:07.0,D. Cunningham misses 3-pt shot from 23 ft,,49-47,,
4:06.0,,,49-47,,Defensive rebound by M. Smart
3:57.0,,,49-47,,A. Johnson misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by B. Hield,,49-47,,
3:42.0,A. Davis makes 2-pt shot from 7 ft,2,51-47,,
3:19.0,,,51-47,,A. Horford misses 3-pt shot from 26 ft
3:18.0,,,51-47,,Offensive rebound by J. Crowder
3:14.0,,,51-47,,I. Thomas misses 2-pt shot from 16 ft
3:13.0,,,51-47,,Offensive rebound by A. Horford
3:05.0,,,51-47,,A. Johnson misses 2-pt shot from 4 ft
3:05.0,,,51-47,,Offensive rebound by Team
3:05.0,Loose ball foul by D. Cunningham (drawn by A. Horford),,51-47,,
2:59.0,,,51-49,2,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder)
2:38.0,,,51-49,,Personal foul by M. Smart (drawn by B. Hield)
2:38.0,New Orleans full timeout,,51-49,,
2:38.0,D. Motiejunas enters the game for D. Cunningham,,51-49,,
2:27.0,E. Moore misses 2-pt shot from 14 ft,,51-49,,
2:25.0,,,51-49,,Defensive rebound by Team
2:25.0,Loose ball foul by D. Motiejunas (drawn by A. Johnson),,51-49,,
2:13.0,,,51-49,,I. Thomas misses 3-pt shot from 27 ft
2:12.0,,,51-49,,Offensive rebound by Team
2:12.0,T. Evans enters the game for E. Moore,,51-49,,
2:05.0,,,51-52,3,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart)
1:50.0,J. Holiday misses 3-pt shot from 26 ft (block by I. Thomas),,51-52,,
1:49.0,,,51-52,,Defensive rebound by Team
1:49.0,Personal foul by J. Holiday (drawn by I. Thomas),,51-52,,
1:49.0,,,51-53,1,I. Thomas makes free throw 1 of 2
1:49.0,,,51-54,1,I. Thomas makes free throw 2 of 2
1:49.0,E. Moore enters the game for J. Holiday,,51-53,,
1:26.0,A. Davis misses 2-pt shot from 12 ft,,51-54,,
1:25.0,Offensive rebound by Team,,51-54,,
1:25.0,Turnover by Team (shot clock),,51-54,,
1:11.0,,,51-57,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford)
1:03.0,New Orleans full timeout,,51-57,,
0:48.0,T. Evans misses 2-pt shot from 4 ft,,51-57,,
0:48.0,Offensive rebound by Team,,51-57,,
0:48.0,,,51-57,,Loose ball foul by A. Horford (drawn by D. Motiejunas)
0:48.0,D. Motiejunas makes free throw 1 of 2,1,52-57,,
0:48.0,D. Motiejunas makes free throw 2 of 2,1,53-57,,
0:48.0,,,52-57,,K. Olynyk enters the game for A. Johnson
0:27.0,,,53-57,,I. Thomas misses 2-pt shot from 5 ft (block by E. Moore)
0:26.0,,,53-57,,Offensive rebound by I. Thomas
0:24.0,,,53-57,,M. Smart misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by A. Davis,,53-57,,
0:01.0,T. Evans misses 2-pt shot from 6 ft,,53-57,,
0:00.0,,,53-57,,Defensive rebound by I. Thomas
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,53-57,,A. Horford misses 2-pt shot from 2 ft
11:38.0,,,53-57,,Offensive rebound by A. Johnson
11:38.0,,,53-57,,A. Johnson misses 2-pt shot from 1 ft
11:37.0,,,53-57,,Offensive rebound by A. Johnson
11:37.0,,,53-57,,A. Johnson misses 2-pt shot at rim
11:36.0,Defensive rebound by S. Hill,,53-57,,
11:13.0,B. Hield misses 2-pt shot from 22 ft,,53-57,,
11:12.0,,,53-57,,Defensive rebound by J. Crowder
10:59.0,,,53-57,,M. Smart misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by D. Cunningham,,53-57,,
10:33.0,B. Hield misses 2-pt shot from 2 ft (block by A. Horford),,53-57,,
10:32.0,,,53-57,,Defensive rebound by A. Johnson
10:16.0,,,53-59,2,I. Thomas makes 2-pt shot from 3 ft
9:52.0,A. Davis makes 2-pt shot from 14 ft (assist by S. Hill),2,55-59,,
9:31.0,,,55-59,,Offensive foul by A. Johnson
9:31.0,,,55-59,,Turnover by A. Johnson (offensive foul)
9:22.0,J. Holiday misses 2-pt shot from 18 ft,,55-59,,
9:20.0,,,55-59,,Defensive rebound by A. Horford
9:11.0,,,55-62,3,I. Thomas makes 3-pt shot from 27 ft
8:49.0,Shooting foul by A. Johnson (drawn by J. Holiday),,55-62,,
8:49.0,J. Holiday makes free throw 1 of 2,1,56-62,,
8:49.0,J. Holiday makes free throw 2 of 2,1,57-62,,
8:41.0,Personal foul by J. Holiday (drawn by I. Thomas),,57-62,,
8:29.0,,,57-64,2,A. Horford makes 2-pt shot from 6 ft
8:19.0,Turnover by A. Davis (traveling),,57-64,,
8:05.0,,,57-64,,A. Horford misses 3-pt shot from 27 ft
8:04.0,,,57-64,,Offensive rebound by M. Smart
7:59.0,,,57-64,,J. Crowder misses 3-pt shot from 25 ft
7:58.0,,,57-64,,Offensive rebound by A. Horford
7:54.0,,,57-67,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford)
7:47.0,New Orleans full timeout,,57-67,,
7:47.0,D. Motiejunas enters the game for S. Hill,,57-67,,
7:37.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday),2,59-67,,
7:21.0,,,59-69,2,A. Horford makes 2-pt shot from 4 ft
7:21.0,,,59-69,,Shooting foul by D. Motiejunas (drawn by A. Horford)
7:21.0,,,59-70,1,A. Horford makes free throw 1 of 1
7:10.0,Turnover by J. Holiday (bad pass; steal by J. Crowder),,59-70,,
7:05.0,,,59-70,,A. Horford misses 2-pt shot from 3 ft
7:05.0,,,59-70,,Offensive rebound by A. Johnson
7:05.0,Personal foul by D. Cunningham (drawn by A. Johnson),,59-70,,
7:05.0,,,59-71,1,A. Johnson makes free throw 1 of 2
7:05.0,,,59-71,,A. Johnson misses free throw 2 of 2
7:05.0,Defensive rebound by A. Davis,,59-71,,
6:55.0,Turnover by A. Davis (bad pass; steal by I. Thomas),,59-71,,
6:48.0,,,59-71,,I. Thomas misses 3-pt shot from 27 ft
6:47.0,Defensive rebound by B. Hield,,59-71,,
6:35.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by B. Hield),2,61-71,,
6:21.0,,,61-74,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford)
6:21.0,,,61-74,,Shooting foul by B. Hield (drawn by M. Smart)
6:21.0,,,61-75,1,M. Smart makes free throw 1 of 1
6:07.0,D. Motiejunas misses 2-pt shot from 13 ft,,61-75,,
6:06.0,Offensive rebound by D. Motiejunas,,61-75,,
5:59.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,64-75,,
5:42.0,,,64-77,2,I. Thomas makes 2-pt shot from 10 ft
5:27.0,B. Hield misses 3-pt shot from 27 ft,,64-77,,
5:26.0,,,64-77,,Defensive rebound by M. Smart
5:20.0,,,64-77,,Shooting foul by D. Cunningham (drawn by A. Johnson)
5:20.0,,,64-77,,A. Johnson misses free throw 1 of 2
5:20.0,,,64-77,,Offensive rebound by Team
5:20.0,,,64-78,1,A. Johnson makes free throw 2 of 2
5:20.0,S. Hill enters the game for D. Cunningham,,64-77,,
5:03.0,B. Hield makes 3-pt shot from 26 ft (assist by A. Davis),3,67-78,,
4:51.0,,,67-78,,A. Horford misses 2-pt shot from 5 ft
4:50.0,,,67-78,,Offensive rebound by A. Johnson
4:46.0,,,67-81,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
4:33.0,,,67-81,,J. Brown enters the game for I. Thomas
4:22.0,J. Holiday misses 3-pt shot from 26 ft,,67-81,,
4:20.0,,,67-81,,Defensive rebound by J. Brown
4:11.0,,,67-81,,M. Smart misses 3-pt shot from 27 ft
4:10.0,Defensive rebound by A. Davis,,67-81,,
3:57.0,S. Hill makes 2-pt shot from 1 ft,2,69-81,,
3:36.0,,,69-81,,J. Crowder misses 2-pt shot from 19 ft
3:35.0,,,69-81,,Offensive rebound by A. Horford
3:30.0,,,69-83,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
3:13.0,B. Hield misses 3-pt shot from 28 ft,,69-83,,
3:11.0,,,69-83,,Defensive rebound by A. Johnson
2:58.0,,,69-83,,Boston full timeout
2:58.0,,,69-83,,K. Olynyk enters the game for A. Horford
2:58.0,,,69-83,,G. Green enters the game for M. Smart
2:52.0,,,69-86,3,J. Crowder makes 3-pt shot from 27 ft (assist by K. Olynyk)
2:39.0,,,69-86,,Personal foul by J. Crowder (drawn by A. Davis)
2:26.0,,,69-86,,Personal foul by J. Brown (drawn by A. Davis)
2:26.0,E. Moore enters the game for B. Hield,,69-86,,
2:16.0,Turnover by E. Moore (bad pass),,69-86,,
2:02.0,,,69-86,,J. Crowder misses 2-pt shot from 15 ft
2:01.0,Defensive rebound by A. Davis,,69-86,,
1:55.0,,,69-86,,Personal foul by K. Olynyk (drawn by A. Davis)
1:55.0,,,69-86,,T. Rozier enters the game for J. Crowder
1:55.0,L. Galloway enters the game for S. Hill,,69-86,,
1:55.0,,,69-86,,J. Jerebko enters the game for A. Johnson
1:55.0,T. Evans enters the game for J. Holiday,,69-86,,
1:43.0,E. Moore misses 3-pt shot from 24 ft,,69-86,,
1:42.0,,,69-86,,Defensive rebound by T. Rozier
1:25.0,,,69-86,,G. Green misses 2-pt shot from 3 ft (block by A. Davis)
1:24.0,Defensive rebound by Team,,69-86,,
1:24.0,,,69-86,,Loose ball foul by G. Green (drawn by A. Davis)
1:24.0,A. Davis makes free throw 1 of 2,1,70-86,,
1:24.0,A. Davis misses free throw 2 of 2,,70-86,,
1:23.0,,,70-86,,Defensive rebound by J. Jerebko
1:09.0,,,70-86,,T. Rozier misses 2-pt shot from 9 ft
1:08.0,Defensive rebound by A. Davis,,70-86,,
1:01.0,A. Davis misses 2-pt shot from 3 ft,,70-86,,
1:00.0,,,70-86,,Defensive rebound by G. Green
1:00.0,Personal foul by T. Evans (drawn by G. Green),,70-86,,
1:00.0,,,70-87,1,G. Green makes free throw 1 of 2
1:00.0,,,70-88,1,G. Green makes free throw 2 of 2
1:00.0,T. Jones enters the game for A. Davis,,70-87,,
0:38.0,T. Evans misses 3-pt shot from 25 ft,,70-88,,
0:37.0,,,70-88,,Defensive rebound by T. Rozier
0:30.0,,,70-90,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Brown)
0:19.0,L. Galloway makes 3-pt shot from 27 ft,3,73-90,,
0:07.0,,,73-90,,Shooting foul by T. Evans (drawn by G. Green)
0:07.0,,,73-91,1,G. Green makes free throw 1 of 3
0:07.0,,,73-92,1,G. Green makes free throw 2 of 3
0:07.0,,,73-93,1,G. Green makes free throw 3 of 3
0:00.0,T. Jones misses 3-pt shot from 26 ft,,73-93,,
0:00.0,Offensive rebound by Team,,73-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,L. Galloway makes 2-pt shot from 19 ft (assist by D. Motiejunas),2,75-93,,
11:25.0,,,75-93,,Turnover by J. Jerebko (bad pass; steal by D. Motiejunas)
11:19.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Evans),2,77-93,,
10:59.0,,,77-96,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Jerebko)
10:49.0,,,77-96,,Personal foul by T. Rozier (drawn by T. Jones)
10:49.0,,,77-96,,I. Thomas enters the game for J. Brown
10:34.0,L. Galloway misses 3-pt shot from 25 ft,,77-96,,
10:33.0,Offensive rebound by E. Moore,,77-96,,
10:23.0,T. Evans misses 2-pt shot from 5 ft,,77-96,,
10:22.0,Offensive rebound by D. Motiejunas,,77-96,,
10:19.0,D. Motiejunas makes 2-pt shot from 1 ft,2,79-96,,
10:05.0,,,79-98,2,I. Thomas makes 2-pt shot at rim
9:49.0,T. Jones makes 2-pt shot from 7 ft (assist by D. Motiejunas),2,81-98,,
9:34.0,,,81-101,3,I. Thomas makes 3-pt shot from 26 ft (assist by K. Olynyk)
9:28.0,,,81-101,,Shooting block foul by I. Thomas (drawn by L. Galloway)
9:28.0,L. Galloway makes free throw 1 of 2,1,82-101,,
9:28.0,L. Galloway makes free throw 2 of 2,1,83-101,,
9:28.0,A. Davis enters the game for D. Motiejunas,,82-101,,
9:15.0,,,83-101,,K. Olynyk misses 3-pt shot from 26 ft
9:12.0,,,83-101,,Offensive rebound by Team
9:06.0,,,83-101,,G. Green misses 2-pt shot from 4 ft (block by T. Jones)
9:05.0,,,83-101,,Offensive rebound by J. Jerebko
9:03.0,,,83-103,2,J. Jerebko makes 2-pt shot from 3 ft
8:46.0,T. Jones misses 2-pt shot from 2 ft,,83-103,,
8:44.0,,,83-103,,Defensive rebound by K. Olynyk
8:33.0,,,83-103,,I. Thomas misses 2-pt shot from 22 ft
8:32.0,Defensive rebound by T. Jones,,83-103,,
8:22.0,A. Davis makes 2-pt shot from 1 ft,2,85-103,,
8:22.0,Shooting foul by K. Olynyk (drawn by A. Davis),,85-103,,
8:22.0,Official timeout,,85-103,,
8:22.0,A. Davis makes free throw 1 of 1,1,86-103,,
8:22.0,,,85-103,,A. Horford enters the game for J. Jerebko
7:58.0,,,86-103,,I. Thomas misses 3-pt shot from 23 ft
7:57.0,,,86-103,,Offensive rebound by K. Olynyk
7:48.0,,,86-103,,G. Green misses 2-pt shot from 3 ft
7:47.0,Defensive rebound by A. Davis,,86-103,,
7:29.0,L. Galloway makes 3-pt shot from 27 ft (assist by T. Evans),3,89-103,,
7:05.0,,,89-103,,A. Horford misses 2-pt shot from 20 ft
7:04.0,Defensive rebound by T. Evans,,89-103,,
6:57.0,L. Galloway misses 3-pt shot from 26 ft,,89-103,,
6:55.0,,,89-103,,Defensive rebound by G. Green
6:44.0,,,89-105,2,I. Thomas makes 2-pt shot from 8 ft (assist by T. Rozier)
6:32.0,A. Davis misses 2-pt shot from 5 ft,,89-105,,
6:30.0,,,89-105,,Defensive rebound by G. Green
6:17.0,,,89-105,,K. Olynyk misses 2-pt shot from 17 ft
6:13.0,,,89-105,,Offensive rebound by T. Rozier
6:13.0,,,89-107,2,T. Rozier makes 2-pt shot from 1 ft
5:57.0,L. Galloway makes 3-pt shot from 24 ft (assist by A. Davis),3,92-107,,
5:37.0,,,92-107,,K. Olynyk misses 2-pt shot from 2 ft (block by A. Davis)
5:35.0,Defensive rebound by A. Davis,,92-107,,
5:31.0,Shooting foul by I. Thomas (drawn by L. Galloway),,92-107,,
5:31.0,,,92-107,,Boston full timeout
5:31.0,L. Galloway makes free throw 1 of 3,1,93-107,,
5:31.0,L. Galloway misses free throw 2 of 3,,93-107,,
5:31.0,Offensive rebound by Team,,93-107,,
5:31.0,L. Galloway makes free throw 3 of 3,1,94-107,,
5:31.0,D. Cunningham enters the game for T. Jones,,92-107,,
5:31.0,,,92-107,,M. Smart enters the game for T. Rozier
5:31.0,,,92-107,,J. Crowder enters the game for G. Green
5:17.0,,,94-109,2,I. Thomas makes 2-pt shot at rim (assist by A. Horford)
4:57.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,96-109,,
4:45.0,,,96-109,,A. Horford misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by L. Galloway,,96-109,,
